FI;PERSO;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_PC;ETP_PC_EXT;ETP_PC_PA_EXT;ETP_PA;ETP_PA_EXT;ETP_AUTRES;BOR;AN;RS;FI_EJ;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETPSAL_TOT_PUBLIC;ETP_PACT;EFFSAL;ETPSAL;EFFLIB;totetp1
010000198;M1010;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;2;0;1;0;0;0;0;0;2.5;0.84;;;3;3.34;0;3.34
010000198;M1180;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;0;0;0;0;0;0;0;0;0;0.31;;;0;0.31;0;0.31
010000198;M9999;0;1.25;2.34;0;0.06;0;0;0;0;0;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;2;0;1;0;0;0;0;0;2.5;1.15;3.65;0;3;3.65;0;3.65
010000214;M1010;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;6;1;0;2;0;0;0;0;6.1;1.61;;;9;7.71;0;7.71
010000214;M1070;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;0;1;0;0;0;0;0;0.35;0;;;1;0.35;0;0.35
010000214;M1150;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1;0;0;0;0;0;0;0;0.94;0;;;1;0.94;0;0.94
010000214;M1320;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1;0;0;1;0;0;0;0;1;0.05;;;2;1.05;0;1.05
010000214;M2030;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1;0;0;0;0;0;0;0;1;0;;;1;1;0;1
010000214;M3050;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;1;0;1;0;0;0;0;0;1.8;;;2;1.8;0;1.8
010000214;M3060;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;1;0;0;0;0;0;0;0;1;;;1;1;0;1
010000214;M9999;0;6.5;0;0;5.2;0.98;0;0.89;0;0.28;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;9;3;1;4;0;0;0;0;9.39;4.46;14.15;0;17;13.85;0;13.85
010000495;M1010;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;3;;;1;;;;;3;0.7;;;4;3.7;;3.7
010000495;M1320;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1;1;;1;;;;;1.4;1;;;3;2.4;;2.4
010000495;M2070;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;1;;;;;;0.02;;;;1;0.02;;0.02
010000495;M3020;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;7;13;8;8;;;;;11.38;17.96;;;36;29.34;;29.34
010000495;M3030;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;1;;;;;;0.26;;;1;0.26;;0.26
010000495;M3040;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1;;;;;;;;1;;;;1;1;;1
010000495;M3050;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;2;;1;;;;;;3.59;;;3;3.59;;3.59
010000495;M3060;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;1;;;;;;0.29;0.06;;;1;0.35;;0.35
010000495;M9999;;;;;;;;;;;Q20;2024;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;12;16;10;12;;;;;17.09;23.57;;;50;40.66;;40.66
010002129;M1010;;;;;;;;;;;Q20;2024;CLINIQUE LES ARBELLES;310025010;;2;;;;;;;0.19;1.37;;;2;1.56;;1.56
010002129;M1120;;;;;;;;;;;Q20;2024;CLINIQUE LES ARBELLES;310025010;;;;1;;;;;;0.14;;;1;0.14;;0.14
010002129;M1180;;;;;;;;;;;Q20;2024;CLINIQUE LES ARBELLES;310025010;1;;;;;;;;1;0.55;;;1;1.55;;1.55
010002129;M1190;;;;;;;;;;;Q20;2024;CLINIQUE LES ARBELLES;310025010;;;;1;;;;;0.07;0.8;;;1;0.87;;0.87
010002129;M1320;;;;;;;;;;;Q20;2024;CLINIQUE LES ARBELLES;310025010;1;;;;;;;;1.11;0.06;;;1;1.17;;1.17
010002129;M9999;;;;;;;;;;;Q20;2024;CLINIQUE LES ARBELLES;310025010;2;2;;2;;;;;2.37;2.92;;;6;5.29;;5.29
010005239;M1010;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;9;3;7;6;0;0;0;0;11.33;6.53;;;25;17.86;0;17.86
010005239;M1030;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;2;0;7;1;0;0;0;0;5.2;0.27;;;10;5.47;0;5.47
010005239;M1031;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;0;0;0;0;0;1.02;0;;;1;1.02;0;1.02
010005239;M1040;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;1;0;0;0;0;0;0.61;0;;;1;0.61;0;0.61
010005239;M1050;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;1;0;0;0;0;0;0;0;1.02;;;1;1.02;0;1.02
010005239;M1070;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;1;0;0;0;0;0;0.53;;;1;0.53;0;0.53
010005239;M1090;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;1;1;0;0;0;0;1.59;0.54;;;3;2.13;0;2.13
010005239;M1120;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;1;0;0;0;0;0;0.1;0;;;1;0.1;0;0.1
010005239;M1140;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;3;0;0;0;0;0;1.94;0;;;3;1.94;0;1.94
010005239;M1160;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;2;0;1;0;0;0;0;0;2.56;0;;;3;2.56;0;2.56
010005239;M1200;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;1;0;0;0;0;0;0.2;0;;;1;0.2;0;0.2
010005239;M1320;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;0;0;0;0;0;0;0.03;;;0;0.03;0;0.03
010005239;M1340;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;1;0;0;0;0;0;0.63;;;1;0.63;0;0.63
010005239;M2010;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;2;1;0;0;0;0;0;0;2.05;1.02;;;3;3.07;0;3.07
010005239;M2020;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;1;3;0;0;0;0;0.23;1.1;;;4;1.33;0;1.33
010005239;M2030;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;3;0;1;0;0;0;0;0;3.53;0;;;4;3.53;0;3.53
010005239;M2050;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;2;1;1;0;0;0;0;0;2.56;1.04;;;4;3.6;0;3.6
010005239;M2080;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;1;0;0;0;0;0;0;0;1.02;;;1;1.02;0;1.02
010005239;M2120;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;0;0;0;0;0;0;0.02;;;0;0.02;0;0.02
010005239;M3011;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;1;0;0;0;0;0.51;0.21;;;2;0.72;0;0.72
010005239;M3050;;;;;;;;;;;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;3;0;0;0;0;0;0;0;2.81;;;3;2.81;0;2.81
010005239;M9999;0;21.65;0;0;26.51;0.04;0.59;1.41;0;0;Q20;2024;CH DU HAUT BUGEY - GEOVREISSET;010008407;23;10;25;14;0;0;0;0;33.43;16.77;49.05;0;72;50.2;0;50.2
010005379;M1010;;;;;;;;;;;Q20;2024;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;;;1;;;;;1.27;0.47;;;2;1.74;;1.74
010005379;M3050;;;;;;;;;;;Q20;2024;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;;;;1;;;;;;0.5;;;1;0.5;;0.5
010005379;M9999;;;;;;;;;;;Q20;2024;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;;;2;;;;;1.27;0.97;;;3;2.24;;2.24
010006526;M1110;;;;;;;;;;;Q20;2024;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;;;0;1;;;;;0;0.41;;;1;0.41;;0.41
010006526;M9999;;;;;;;;;;;Q20;2024;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;;;0;1;;;;;0;0.41;;;1;0.41;;0.41
010007300;M1030;;;;;;;;;;;Q20;2024;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;4;1;;;;;;;5;
010007300;M1090;;;;;;;;;;;Q20;2024;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;1;1;;;;;0.25;0.47;;;2;0.72;;0.72
010007300;M2020;;;;;;;;;;;Q20;2024;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;2;1;;;;;;;3;
010007300;M2030;;;;;;;;;;;Q20;2024;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;1;;;;;;;;1;
010007300;M2040;;;;;;;;;;;Q20;2024;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;;1;;;;;;;1;
010007300;M2070;;;;;;;;;;;Q20;2024;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;2;1;;;;;;;3;
010007300;M2100;;;;;;;;;;;Q20;2024;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;2;;;;;;;;2;
010007300;M9999;;;;;;;;;;;Q20;2024;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;1;1;;;11;4;0.25;0.47;;;2;0.72;15;0.72
010008852;M1010;;;;;;;;;;;Q20;2024;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;3;1;1;;;;;;3.31;1.08;;;5;4.39;;4.39
010008852;M1180;;;;;;;;;;;Q20;2024;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;1;;;;;;;;1;0.08;;;1;1.08;;1.08
010008852;M3040;;;;;;;;;;;Q20;2024;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;1;;;;;;0.19;;;1;0.19;;0.19
010008852;M3050;;;;;;;;;;;Q20;2024;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;2;;;;;;0.5;;;2;0.5;;0.5
010008852;M9999;;;;;;;;;;;Q20;2024;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;4;1;1;3;;;;;4.31;1.85;;;9;6.16;;6.16
010009702;M1320;;;;;;;;;;;Q20;2024;USLD EMILE PELICAND;010780054;;3;1;1;;;;;0.4;1.31;;;5;1.71;;1.71
010009702;M9999;;1.45;;;0.26;;;;;;Q20;2024;USLD EMILE PELICAND;010780054;;3;1;1;;;;;0.4;1.31;1.71;;5;1.71;;1.71
010010171;M1010;;;;;;;;;;;Q20;2024;CLINIQUE DE CHATILLON;920039690;0;0;0;1;;;;;0;0.6;;;1;0.6;;0.6
010010171;M3020;;;;;;;;;;;Q20;2024;CLINIQUE DE CHATILLON;920039690;0;0;0;1;1;3;;;0.02;0.39;;;1;0.41;4;0.41
010010171;M9999;;;;;;;;;;;Q20;2024;CLINIQUE DE CHATILLON;920039690;0;0;0;2;1;3;;;0.02;0.99;;;2;1.01;4;1.01
010011385;M1110;;;;;;;;;;;Q20;2024;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;;;;;;;;;0.2;0.55;;;;0.75;;0.75
010011385;M3050;;;;;;;;;;;Q20;2024;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;;;;;;;;;0.05;0.04;;;;0.09;;0.09
010011385;M9999;;;;;;;;;;;Q20;2024;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;;;;;;;;;0.25;0.59;;;;0.84;;0.84
010011641;M1150;;;;;;;;;;;Q20;2024;CLINIQUE DU SOUFFLE LE PONTET;010000222;1;2;;;;;;;1.7;2;;;3;3.7;;3.7
010011641;M3050;;;;;;;;;;;Q20;2024;CLINIQUE DU SOUFFLE LE PONTET;010000222;;1;;;;;;;;1.2;;;1;1.2;;1.2
010011641;M9999;;;;;;;;;;;Q20;2024;CLINIQUE DU SOUFFLE LE PONTET;010000222;1;3;;;;;;;1.7;3.2;;;4;4.9;;4.9
010780195;M1010;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;1;1;2;1;0;0;0;0;2.4;1.35;;;5;3.75;0;3.75
010780195;M1030;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;5;1;4;0;0;0;;;0;0;10;0
010780195;M1040;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;5;1;3;2;0;0;;;0;0;11;0
010780195;M1090;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;2;2;0;0;0;0;;;0;0;4;0
010780195;M1130;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;0;1;0;0;;;0;0;1;0
010780195;M1150;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;2;2;0;0;0;0;;;0;0;4;0
010780195;M1160;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;16;1;0;0;;;0;0;17;0
010780195;M1210;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;7;0;0;0;0;0;;;0;0;7;0
010780195;M1340;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;1;5;;0;0;0;0.56;;;1;0.56;5;0.56
010780195;M2020;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;2;1;0;0;;;0;0;3;0
010780195;M2030;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;3;0;2;0;0;0;;;0;0;5;0
010780195;M2040;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;2;1;0;0;;;0;0;3;0
010780195;M2050;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;1;1;0;0;0;0;;;0;0;2;0
010780195;M2060;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;0;1;0;0;;;0;0;1;0
010780195;M2070;;;;;;;;;;;Q20;2024;CLINIQUE CONVERT;010000156;0;0;0;0;4;0;0;0;0;0;;;0;0;4;0
