BOR;AN;FI;RS;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMSAS;DRMLIB;REF;REF_TERR;REF_PED;REF_PSY;REF_GER;REF_AUT;NRML;NBLIB;NBSAL;NBINFLIB;NBINFSAL;NBMED;NBINF;CAR;SAMUSDIS
SMURSAMU;2024;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;1;0;0;0;;0;0;2;1;0;0;176;34;10;;;;220;46;34;1;4;7;130;11;28;105;25;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;1;0;0;0;;0;0;1;1;;;2155;165;70;;;;2390;1359;265;19;146;1118;800;42;168;469;331;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;1;0;0;0;;0;0;1;2;;;1691;241;;;;;1932;928;139;13;118;658;1200;;;365;835;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;1;0;0;0;;0;0;;1;;;1292;80;;;;;1372;621;110;11;52;434;856;;;484;372;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;1;1;0;0;0;130785512;0;0;;1;;;1140;85;;;;;1225;663;116;7;78;363;674;63;277;360;314;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;1;0;0;0;;0;0;;;;;1369;95;;;;;1464;143;132;132;;11;1369;121;279;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;1;0;0;0;;0;0;;2;;;1485;90;64;;;;1639;307;110;110;0;664;1178;113;424;791;387;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130044977;APHM ANTENNE SMUR DE MARIGNANE;130786049;1;0;0;0;1;130786049;0;0;1;1;;;1471;278;;;;;1749;971;109;14;82;766;467;45;72;216;251;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130044985;APHM ANTENNE SMUR DE LOUVAIN;130786049;1;0;0;0;1;130786049;0;0;1;;;1;1967;273;;;;;2240;1320;224;14;152;930;624;42;108;373;251;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130044993;APHM ANTENNE SMUR DE PLOMBIERES;130786049;1;0;0;0;1;130786049;0;0;1;;;;2506;105;;;;;2611;1757;271;19;201;1266;636;65;84;476;160;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130045008;APHM ANTENNE SMUR D'ENDOUME;130786049;1;0;0;0;1;130786049;0;0;1;;;;1364;96;;;;;1460;959;157;20;94;688;380;17;57;257;123;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130045016;APHM ANTENNE SMUR DE MARIGNANE;130786049;1;0;0;0;1;130786049;0;0;;;1;;0;;;235;55;;290;111;22;7;9;82;135;;;104;31;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130045040;APHM ANTENNE SMUR DE LAVERAN;130786049;1;0;0;0;1;130786049;0;0;2;;;;1636;226;17;;;;1879;772;152;12;85;523;325;37;72;200;125;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130780521;APHM HOPITAL NORD;130786049;1;0;0;0;1;130786049;0;0;;;;;1531;446;;;;;1977;603;96;8;68;431;392;35;60;311;79;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;130783293;APHM HOPITAL LA TIMONE;130786049;1;1;0;0;0;;0;1;8;4;1;;3068;1221;250;159;405;;5103;;261;24;160;1014;866;100;128;640;226;892989;0;776812;;758270;428533;109591;99743;0;;;;;;0;6;;;;6;;17058;0
SMURSAMU;2024;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;0;0;1;0;;0;0;;;;;295;861;;;;;1156;103;6;2;33;62;93;97;;90;4;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;1;0;0;0;;0;0;1;1;;;481;22;;;;;503;60;36;2;18;4;503;0;0;307;196;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;140000209;CHU CAEN;140000100;1;1;0;1;0;;0;1;3;3;;;2141;1249;251;;71;;3712;361;342;97;;;1341;111;712;989;352;391305;;351228;309582;195558;105491;15070;66776;0;;;;;;0;34;5;;12;39;12;1630;0
SMURSAMU;2024;140000233;CH FALAISE;140000118;1;1;0;0;0;;0;0;2;1;;;278;26;23;;;;327;153;45;23;41;44;194;13;51;123;71;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;1;0;0;0;;0;0;0;1;0;0;405;231;0;5;0;0;641;169;80;1;13;74;331;1;44;176;155;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;1;1;0;0;0;;0;0;0;1;0;0;423;15;0;0;0;0;438;93;77;0;16;0;330;24;45;254;76;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;1;1;0;0;0;;0;0;;1;;;461;62;;;;;523;95;71;;24;;345;37;58;196;149;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;150000032;CH DE SAINT-FLOUR;150780088;1;1;0;0;0;;0;0;0;2;0;0;397;80;0;0;0;0;477;217;56;1;24;119;305;23;58;238;67;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;150000040;CH HENRI MONDOR;150780096;1;1;0;0;0;;0;1;2;1;1;0;868;358;107;174;204;0;1711;407;94;3;77;233;562;34;90;506;56;94728;7877;85376;81716;69249;45168;7831;7918;0;;;;;;1;25;0;0;0;25;0;774;0
SMURSAMU;2024;150000164;CH DE MAURIAC;150780468;1;1;0;0;0;;0;0;0;2;0;0;317;114;8;;;;439;136;43;7;21;65;181;20;67;120;61;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;1;0;0;0;;0;1;3;3;0;0;1732;410;0;0;0;0;2142;650;256;58;46;290;1114;51;222;1069;56;204392;13895;187032;167854;104404;87416;20894;36104;0;;0;0;0;0;0;1;0;0;0;1;0;545;0
SMURSAMU;2024;160000303;CH HOPITAUX SUD-CHARENTE;160006037;1;1;0;0;0;;0;0;1;1;;;373;6;;;;;379;72;39;11;22;0;301;0;0;171;130;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;1;1;0;0;0;;0;0;1;1;;;394;83;;;;;477;169;61;;25;77;225;24;93;119;106;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;1;1;0;0;0;;0;0;1;0;0;0;537;3;;12;;;552;177;70;16;19;72;421;35;117;168;253;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;160015368;HOPITAUX DU GRAND COGNAC;160014411;1;1;0;0;0;;0;0;1;;1;;523;9;;0;0;;532;149;62;2;62;23;374;39;131;280;94;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;170000038;CENTRE HOSPITALIER JONZAC;170780050;1;1;0;0;0;;0;0;;2;;;493;26;;;;;519;228;65;3;44;116;257;32;24;135;122;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;1;1;0;0;;0;1;3;3;0;0;1468;388;135;128;98;14;2231;788;206;6;132;490;811;64;75;35;776;366990;21965;326851;257539;216188;185868;105175;60131;0;;;;;;0;0;0;0;0;0;0;1508;0
SMURSAMU;2024;170000095;CENTRE HOSPITALIER ST JEAN D'ANGELY;170780175;1;1;0;0;0;;0;0;;1;;;331;10;;;;;341;110;51;1;42;16;273;23;27;165;108;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;170000103;CH DE SAINTONGE - SAINTES;170780175;1;1;0;0;0;;0;0;3;1;0;0;778;632;200;9;5;0;1624;437;99;;87;251;350;8;2;320;30;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;1;1;0;0;0;;0;0;;2;;;674;27;;1;;;702;395;117;15;39;224;529;50;145;361;168;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;1;0;0;0;;0;0;;2;;;902;7;;;;;909;231;141;4;41;45;678;79;151;490;188;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;170024590;CH ROCHEFORT - SITE ST PIERRE OLERON;170780225;1;0;0;0;1;170780225;1;0;0;0;0;0;199;1;;;;;200;114;12;1;45;56;128;30;27;105;23;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;180000010;CH BOURGES - JACQUES COEUR;180000028;1;1;0;0;0;180000028;0;1;5;1;;;1706;572;203;;;;2481;345;94;10;67;164;475;;;467;8;207313;;207313;98302;112395;112395;;;0;;;;;;0;19;;;;19;;2228;1
SMURSAMU;2024;180000200;CH DE VIERZON;180000051;1;1;0;0;0;;0;0;;2;;;660;28;;;;;688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;180000283;CH SAINT AMAND-MONTROND;180000069;1;1;0;0;0;;0;0;;;;;614;32;56;;;;702;297;77;5;40;181;322;12;40;249;73;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;1;0;0;0;;0;0;2;3;0;0;842;297;145;0;0;0;1284;161;130;0;25;6;681;61;113;656;25;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;1;0;0;0;190000059;0;1;1;2;0;0;480;283;386;0;0;0;1149;79;74;0;5;0;372;21;54;291;81;132751;9619;86597;81799;84547;83727;56709;40017;1;2;0;0;0;0;0;18;1;0;0;19;0;2374;1
SMURSAMU;2024;190010892;CH TULLE - ANTENNE SMUR USSEL;190000059;1;0;0;0;1;190000059;0;0;1;1;0;0;391;201;1;0;0;0;593;57;32;2;23;1;313;24;75;261;52;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;1;0;1;0;;0;1;5;5;1;0;2707;816;561;99;452;0;4635;;;;;;;;;;;480532;30685;437308;390039;235859;219207;91149;46015;1;1;1;0;0;1;0;0;0;0;0;0;0;8006;0
SMURSAMU;2024;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;1;0;0;0;;0;0;1;1;0;0;733;134;57;;;;924;146;108;;38;;587;37;136;528;59;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;1;1;0;0;0;;0;0;0;1;0;0;219;4;57;0;0;0;280;133;52;3;37;48;197;10;35;123;74;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;1;1;0;0;0;;0;0;1;1;;;382;21;;;;;403;111;49;1;50;11;312;35;72;264;48;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;1;0;0;0;;0;1;3;3;1;0;1809;612;364;284;184;0;3253;919;218;5;71;619;1169;15;22;1056;113;333691;2383;305517;280972;168022;158074;79990;78084;0;;;;;;0;1;;0;;1;0;2300;0
SMURSAMU;2024;220000095;GHRE- SITE DINAN RENE PLEVEN;350000022;1;1;0;0;0;;0;0;1;1;;;769;34;263;4;;;1070;164;89;;19;76;609;16;80;380;229;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;1;1;0;0;0;;0;0;;1;;;488;20;;;;;508;87;73;1;13;;422;;;284;138;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;220000368;CENTRE HOSPITALIER LANNION;220000103;1;1;0;0;0;;0;0;;1;;;766;14;;;;;780;391;92;97;;;375;1;22;212;163;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;220000541;CENTRE HOSPITALIER PAIMPOL;220000020;1;1;0;0;0;;0;0;;1;;;378;10;;;;;388;67;49;2;16;;311;;;223;88;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;230000820;CENTRE HOSPITALIER GUERET;230780041;1;1;0;0;0;;0;1;1;3;0;0;543;385;189;0;0;0;1117;220;125;11;6;82;271;33;19;205;66;85520;5322;78330;73022;43244;36661;8647;1880;1;2;0;0;0;0;1;0;0;0;0;0;0;819;0
SMURSAMU;2024;240000372;C.H DE BERGERAC;240000059;1;1;0;0;0;;0;0;0;2;0;0;602;134;0;0;0;0;736;146;122;24;0;0;554;60;93;262;292;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;1;0;0;0;;0;1;2;4;1;;1254;468;285;198;141;;2346;610;280;55;24;238;774;47;104;710;64;259612;18773;232874;194686;161784;160388;35870;77473;0;;;;;;0;14;3;;;17;;1115;0
SMURSAMU;2024;240000687;CENTRE HOSPITALIER SARLAT;240000448;1;1;0;0;0;;0;0;;1;;;288;57;;;;;345;112;91;0;21;0;160;13;71;111;49;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;1;1;0;0;0;;0;0;;2;;;856;90;2;;;;948;417;82;7;20;273;690;110;129;558;132;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;1;0;0;0;;0;1;2;4;1;0;2444;365;;459;534;0;3802;;252;37;215;;3068;299;348;2594;474;681561;0;618612;475774;415217;304003;137942;109164;1;1;1;1;1;1;1;7;;;;7;;7595;0
SMURSAMU;2024;260000013;CH DE VALENCE;260000021;1;1;0;0;0;;0;1;2;2;1;0;1566;830;252;283;660;0;3591;391;295;11;55;30;1741;123;177;891;850;480791;2360;445675;426482;182329;145836;95554;50416;0;;;;;;0;29;;;;29;;1172;0
SMURSAMU;2024;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;1;1;0;0;0;;0;0;;2;;;1029;58;;11;1;;1099;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;1;0;0;0;;0;0;2;2;0;0;876;49;;;;;925;383;160;6;24;193;482;42;58;408;74;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;270000045;CH BERNAY;270000060;1;1;0;0;0;;0;0;;2;;;559;45;;;;;604;288;68;6;43;171;469;71;87;234;235;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;270000359;CH EURE SEINE EVREUX;270023724;1;1;0;0;0;;0;1;2;4;0;0;1365;940;82;0;6;0;2393;491;175;5;84;545;1198;173;94;911;287;366642;51228;315414;;250957;225861;112218;82150;0;;;;;;1;0;0;;;0;;6350;0
