BOR;AN;FI;RS;FI_EJ;URG;REG;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;dtTRANS;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;ACCSPE_PED;ACCSPE_PSY;ACCSPE_GER;ACCSPE_AUT;STAP;RMM;IMPL_SMUR_SITE;CONVURG24;FICONV;OUV_SEMAINE;AMPL_SEMAINE;OUV_SAM;AMPL_SAM;OUV_DIMFERIE;AMPL_DIMFERIE
URGENCES2;2024;020001061;CH CHÂTEAU-THIERRY;020004404;GEN;3;1;IAO;33233;3535;10701;6540;2131;680;;;;;;;573;233;28;7113;;8;2718;4782;2575;2420;0;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;020001087;CH HIRSON;020004495;GEN;;1;IAO;14957;1878;2865;;;;;;;;;;;;;;;4;1460;2715;1733;1038;;;;;;;;;;;;;;;
URGENCES2;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;GEN;1;1;IAO;9968;743;1350;;;;4;;;;;;;;;4;;6;2190;668;529;139;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;030000061;CH DE MOULINS;030780092;GEN;2;1;IAO;39924;4422;10334;11132;2864;1025;5;0;0;0;0;0;0;0;0;11137;;8;2928;4786;2502;2789;1;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;030000079;CH DE MONTLUCON;030780100;GEN;2;1;IAO;41066;5704;9849;7145;2918;866;159;5;0;;;;322;71;19;7626;;6;2190;2319;180;2410;1;0;0;1;0;;;;;;;;;;
URGENCES2;2024;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;3;1;IAOMAO;33615;6012;6003;9350;3316;760;412;19;4;;;;239;30;82;10001;;10;3660;4909;1918;3338;0;;0;0;0;1;;;;;;;;;
URGENCES2;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;GEN;2;1;IAO;20764;2576;4543;3869;1213;325;;;;;;;317;82;20;4186;;8;2920;2563;672;1932;0;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;GEN;3;1;IAO;14993;2178;2826;2616;1012;113;0;0;0;0;0;0;840;384;27;3456;;4;1464;1700;715;1062;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;3;1;IAOMAO;22954;2369;4884;3656;1139;115;315;6;5;0;0;0;653;100;151;4624;;6;2196;1925;669;1433;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;GEN;1;1;IAO;22113;2157;3952;5373;1064;512;122;3;0;0;0;0;33;3;5;5528;;3;1098;2297;1619;692;;;;;1;1;;;;;;;;;
URGENCES2;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;GEN;3;1;IAO;8642;1003;1831;1036;388;36;0;0;0;0;0;0;222;70;16;1258;;2;732;1053;756;303;1;1;1;;1;1;;;;;;;;;
URGENCES2;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;GEN;3;1;IAO;33779;4859;5987;10119;2702;1067;0;0;0;0;0;0;2377;932;104;12496;;10;3660;4352;1293;3269;0;0;0;;1;1;;;;;;;;;
URGENCES2;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;3;1;IAOMAO;47147;5154;15156;;;;4038;;;0;;;641;;;4679;;14;5124;3583;1061;3561;0;0;0;1;1;1;;;;;;;;;
URGENCES2;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;3;1;IAO;50151;7928;15043;8337;3299;1445;575;23;11;0;0;0;555;145;35;9467;;12;4392;3901;1160;4814;1;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;3;1;IAOMAO;49509;8953;8741;8664;3393;546;550;;;;;;966;;;10180;;12;4392;1652;1238;424;0;0;0;1;1;1;;;;;;;;;
URGENCES2;2024;060002102;CH LA PALMOSA DE MENTON;060791761;GEN;3;1;IAO;20009;3389;2617;2577;1094;8;26;6;0;0;0;0;546;135;61;3149;;4;1464;2381;1878;517;;;;;1;1;;;;;;;;;
URGENCES2;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;GEN;1;1;IAO;17674;2617;102;2777;788;5;;;;;;;175;42;5;2952;;4;1464;956;666;292;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;GEN;2;1;IAO;37926;4685;9162;;;;;;;;;;495;739;39;495;;5;1830;1463;1214;249;0;0;1;0;1;1;;;;;;;;;
URGENCES2;2024;060780715;CLINIQUE SAINT GEORGE;060000361;GEN;3;1;IAO;30662;3221;6969;3154;926;39;;;;;;;291;103;6;3445;;4;1460;83;79;4;1;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;GEN;3;1;IAO;14896;722;90;;;;;;;;;;;;;;;8;2920;2365;1976;391;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;PED;3;;;50880;;;;;;;;;;;;;;;8278;;8;2928;3645;2417;1230;;;;;;;;;;;;;;;
URGENCES2;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;;;;97363;15332;1442;;;;;;;;;;;;;;;19;6954;6760;4099;2721;;;;;;;;;;;;;;;
URGENCES2;2024;070000013;CH DE PRIVAS ARDECHE;070002878;GEN;3;1;IAO;16818;2309;2375;;;;;;;;;;;;;;;5;;2374;509;2141;0;0;0;0;1;;;;;;;;;;
URGENCES2;2024;070000179;CH ARDECHE NORD;070780358;GEN;2;1;IAO;32813;4056;8847;7382;2384;1193;130;1;9;;;;;;;7512;;14;5124;8544;3740;5923;1;1;0;0;0;1;;;;;;;;;
URGENCES2;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;GEN;3;1;IAOMAO;30154;4448;5526;;;;;;;;;;;;;;;10;3650;5414;1549;5150;1;0;1;0;0;1;;;;;;;;;
URGENCES2;2024;070780424;CLINIQUE PASTEUR;070000245;GEN;3;1;IAO;15668;922;1649;963;143;18;;;;;;;81;6;6;1044;;2;730;121;95;216;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;GEN;3;1;IAOMAO;18528;2008;4145;824;217;393;;;;;;;;;;824;;4;1464;3706;2032;1934;0;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;GEN;3;1;IAO;15883;1893;3089;1350;551;17;6;3;;;;;72;6;10;1428;;6;2196;2260;841;1675;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;GEN;3;1;IAO;60890;4837;17710;2896;499;722;;;;;;;;;;2896;;8;2928;8580;4734;4177;1;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;GEN;;1;IAOMAO;38970;5167;7320;12016;3044;780;0;0;0;0;0;0;44;4;9;12060;;8;2928;7640;3990;3664;1;;0;0;1;1;;;;;;;;;
URGENCES2;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;GEN;3;0;;11670;2570;1423;2397;;;;;;;;;;;;2397;;3;1095;1318;602;750;0;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;GEN;1;1;IAO;48146;5728;11774;11414;812;1960;17;17;0;0;0;0;1006;241;98;12437;;0;;1209;139;1573;1;0;0;;1;1;;;;;;;;;
URGENCES2;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;GEN;3;1;IAO;18128;3081;3625;3038;1595;1;0;0;0;0;0;0;362;145;61;3400;;4;1095;1070;316;799;0;0;0;1;1;0;;;;;;;;;
URGENCES2;2024;110000023;CH CARCASSONNE;110780061;GEN;3;1;IAOMAO;41883;5467;9264;8254;2477;1115;;;;;;;500;86;104;8754;;9;3285;4475;1650;2970;1;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;GEN;3;1;IAO;12407;969;2802;;;;;;;;;;;;;;;2;732;1142;607;562;0;0;0;0;0;1;;;;;;;;;
URGENCES2;2024;110000056;CH NARBONNE;110780137;GEN;2;1;IAO;49571;5785;13806;11068;3472;1226;;;;;;;1288;410;74;12356;;9;3294;9325;6058;3427;1;1;0;0;1;0;;;;;;;;;
URGENCES2;2024;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;GEN;3;1;IAO;19026;1727;2843;2127;709;45;;;;;;;;;;2127;;6;2190;1682;1216;476;0;0;0;;1;1;;;;;;;;;
URGENCES2;2024;110780483;POLYCL MONTREAL CARCASSONNE;110000155;GEN;;;;21100;2868;3450;;;;;;;;;;;;;;;4;1464;1555;1368;1929;;;;;;;;;;;;;;;
URGENCES2;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;GEN;1;1;IAO;23030;4471;4582;7351;2564;42;55;0;55;0;0;0;1694;764;56;9100;;4;1464;1932;565;1551;;;;;1;1;;;;;;;;;
URGENCES2;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;GEN;;1;IAO;13659;2167;2049;;;;;;;;;;;;;;;2;;1605;1262;352;;;;;1;0;;;;;;;;;
URGENCES2;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;GEN;2;1;IAO;9859;1233;1891;1023;439;17;6;5;0;0;0;0;538;124;56;1567;;2;730;39;23;17;0;0;0;0;;;;;;;;;;;
URGENCES2;2024;120004569;CH MILLAU;120004528;GEN;3;1;IAO;15407;2088;3039;2093;724;80;8;6;0;0;;;438;79;78;2539;;3;992;1002;268;749;1;1;1;1;0;1;;;;;;;;;
URGENCES2;2024;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;GEN;2;0;;8086;1252;1606;1379;532;49;4;2;;;;;217;43;35;1600;;2;;939;558;388;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;GEN;3;1;IAOMAO;56152;9273;18093;15365;4879;2604;503;29;2;2;1;1;508;234;47;16378;;7;2562;9266;4944;4727;;;;;1;1;;;;;;;;;
URGENCES2;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;GEN;3;1;IAO;42060;4096;15365;7828;2481;1504;127;108;;20;13;;1333;611;104;9308;;8;2928;3258;1559;1707;1;0;0;1;1;1;;;;;;;;;
URGENCES2;2024;130001225;HOPITAL DU PAYS SALONAIS;130782634;GEN;3;1;IAO;42840;5330;11154;11136;3227;;;;;;;;;;;11136;;6;2196;5964;1674;4378;1;0;1;1;;;;;;;;;;;
URGENCES2;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;GEN;3;1;IAOMAO;26409;3716;3601;5038;1743;121;;;;;;;912;163;113;5950;;4;1460;3111;1850;1275;0;1;1;0;1;1;;;;;;;;;
URGENCES2;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;GEN;;1;IAO;39633;4610;5618;4931;1926;0;290;6;0;;;0;536;53;0;5757;;4;;5129;3019;2164;1;1;1;1;1;;;;;;;;;;
URGENCES2;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;GEN;3;1;IAO;50993;5277;13610;6397;1100;1852;356;17;28;;;;616;31;141;7369;;8;2928;9030;4167;5219;0;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;130043664;HOPITAL EUROPEEN;130002157;GEN;;1;IAO;41370;3099;703;6978;1527;46;;;;;;;741;154;8;7719;;6;2196;3570;2621;953;0;0;1;1;1;1;;;;;;;;;
URGENCES2;2024;130780521;APHM HOPITAL NORD;130786049;GEN;3;1;IAO;103135;6457;37446;;;;;;;;;;;;;;;15;5490;10625;6466;4796;1;1;;1;1;1;;;;;;;;;
URGENCES2;2024;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;GEN;1;1;IAO;14516;3483;769;2932;1010;19;;;;;;;40;;;2972;;4;1460;422;197;225;0;0;1;0;1;1;;;;;;;;;
URGENCES2;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;GEN;3;1;IAO;10542;657;2452;276;275;0;2;1;0;0;0;0;165;39;0;443;;6;2196;298;167;144;0;0;0;0;0;1;;;;;;;;;
URGENCES2;2024;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;GEN;3;1;IAO;28228;2199;3103;2568;1111;26;0;;;0;0;0;344;78;5;2912;;6;2190;1823;965;891;0;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;130783293;APHM HOPITAL LA TIMONE;130786049;GEN;3;1;IAOMAO;95397;10688;1859;21389;5442;165;;;;;;;;;;21389;;29;10614;14908;6638;11893;0;0;1;1;1;1;;;;;;;;;
URGENCES2;2024;130784713;HP MARSEILLE BEAUREGARD VERT COTEAU;130038847;GEN;1;1;IAO;13125;3542;432;2310;812;25;;;;;;;652;402;;2962;;4;1460;0;0;0;0;0;0;1;1;1;;;;;;;;;
URGENCES2;2024;130785652;HOPITAL SAINT JOSEPH;130014228;GEN;3;1;IAO;65138;6372;29056;9690;3689;3799;;;;;;;;;;9690;;17;6222;7818;4404;3687;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;130786361;HOPITAL PRIVE DE PROVENCE;130002447;GEN;1;1;IAO;25059;2881;2443;4829;1325;46;;;;;;;96;15;5;4925;;6;;898;294;636;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;130786742;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;GEN;3;1;IAO;27413;4759;909;3897;1518;20;38;0;0;;;;472;210;4;4407;;10;3660;3416;1105;2575;0;1;1;1;1;1;;;;;;;;;
URGENCES2;2024;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;PED;3;1;IAO;39732;;;;;;;;;;;;;;;6501;;8;2928;2498;607;1951;;;;;;;;;;;;;;;
URGENCES2;2024;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;GEN;;;;35793;1539;16455;6439;745;1512;5;5;;;;;;;;6444;;7;2562;5338;2935;2710;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;140000209;CHU CAEN;140000100;GEN;3;1;IAOMAO;56874;9047;873;12149;3967;99;267;8;4;;;;589;98;6;13005;;12;4392;11838;4631;8437;0;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;140000209;CHU CAEN;140000100;PED;3;1;IAO;26183;;;;;;;;;;;;;;;3135;;3;1098;1357;782;579;;;;;;;;;;;;;;;
URGENCES2;2024;140000233;CH FALAISE;140000118;GEN;3;1;IAOMAO;15773;1983;5295;3242;947;922;10;5;0;0;0;0;483;87;35;3735;;2;732;3633;2002;1781;1;0;1;1;1;1;;;;;;;;;
URGENCES2;2024;140000373;CENTRE HOSPITALIER DE VIRE;140000159;GEN;3;1;IAO;12314;2085;1530;1635;901;0;13;7;0;11;3;0;448;108;14;2107;;2;732;3406;1668;1870;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;140016759;POLYCLINIQUE DU PARC;140003146;GEN;3;1;IAO;17778;1156;2255;1621;285;15;;;;;;;71;11;6;1692;;6;2190;720;595;141;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;140017237;HOPITAL PRIVE ST MARTIN;140003278;GEN;3;1;IAO;26436;3437;2870;2471;716;27;;;;;;;192;52;12;2663;;4;1260;230;36;226;0;0;0;1;1;1;;;;;;;;;
URGENCES2;2024;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;GEN;;1;IAO;21533;2921;4456;4115;1315;458;58;8;1;1;0;0;149;25;15;4323;;4;1464;2594;1294;1510;0;0;0;0;;;;;;;;;;;
URGENCES2;2024;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;GEN;3;1;IAO;14612;2641;1437;;;;;;;;;;;;;;;5;1830;3463;1274;3380;0;0;0;0;0;1;;;;;;;;;
URGENCES2;2024;150000032;CH DE SAINT-FLOUR;150780088;GEN;2;1;IAO;11831;1691;1973;1677;654;37;145;17;1;0;0;0;444;135;62;2266;;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;150000040;CH HENRI MONDOR;150780096;GEN;3;1;IAO;28111;3568;6532;6715;2048;1037;516;27;25;0;0;0;1;1;0;7232;;6;2196;1617;199;1676;1;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;150000164;CH DE MAURIAC;150780468;GEN;;;;8092;819;1775;;;;;;;;;;;;;;;6;2190;1395;415;1038;;;;;;;;;;;;;;;
URGENCES2;2024;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;GEN;2;1;IAOMAO;56724;6621;17803;10229;1407;3784;;;;;;;658;87;107;10887;;14;5120;3474;2243;1387;1;0;1;0;1;1;;;;;;;;;
URGENCES2;2024;160000303;CH HOPITAUX SUD-CHARENTE;160006037;GEN;2;1;IAO;10211;1565;1628;2006;692;11;;;;;;;;;;2006;;2;730;155;150;6;0;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;GEN;2;1;IAO;10567;1630;1739;1046;513;4;53;36;0;;;;578;132;4;1677;;2;732;891;891;0;0;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;GEN;;;;10897;1792;1741;;;;;;;;;;;;;;;2;730;593;363;264;;;;;;;;;;;;;;;
URGENCES2;2024;160015368;HOPITAUX DU GRAND COGNAC;160014411;GEN;3;1;IAOMAO;16248;2388;2080;4232;1357;84;1;1;0;;0;;;0;;4233;;7;2555;3825;2001;2094;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;170000038;CENTRE HOSPITALIER JONZAC;170780050;GEN;3;1;IAO;14213;2466;1806;1817;904;20;37;;;;;;;34;22;1854;;4;1464;1773;291;1792;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;GEN;3;1;IAO;51253;6901;12261;18227;3479;2084;404;732;57;;;;200;16;25;18831;;15;;4024;642;4129;1;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;170000095;CENTRE HOSPITALIER ST JEAN D'ANGELY;170780175;GEN;2;1;IAO;10805;1881;1095;937;496;1;30;8;0;0;0;0;133;17;6;1100;;3;1098;1777;251;2479;1;0;0;;1;1;;;;;;;;;
URGENCES2;2024;170000103;CH DE SAINTONGE - SAINTES;170780175;GEN;2;1;IAO;31117;4213;5544;6380;1893;882;156;1;2;1;0;0;235;35;30;6772;;8;2928;3817;466;4733;1;1;1;0;1;1;;;;;;;;;
URGENCES2;2024;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;GEN;3;1;IAO;35032;4663;9985;8782;2496;1272;1;;;;;;421;15;41;9204;;9;3294;3896;799;4295;;;;;0;1;;;;;;;;;
URGENCES2;2024;170022065;GCS URGENCES PAYS ROYANNAIS - ROYAN;170022057;GEN;3;1;IAO;18298;4235;1518;;;;;;;;;;3304;1332;12;3304;;;;;;;0;0;0;0;0;0;;;;;;;;;
URGENCES2;2024;170022818;GCS URGENCES PAYS ROYANNAIS -STGEORGES;170022057;GEN;1;1;IAO;4450;466;820;;;;;;;;;;111;36;3;111;;;;;;;0;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;170022826;GCS URGENCES PAYS ROYANNAIS - PASTEUR;170022057;GEN;1;1;IAO;10749;1464;1516;;;;;;;;;;1287;351;42;1287;;;;;;;;;;;1;1;;;;;;;;;
URGENCES2;2024;180000010;CH BOURGES - JACQUES COEUR;180000028;GEN;1;1;IAOMAO;52885;6551;9319;12317;;;;;;;;;;;;12317;;12;4380;5973;2166;5569;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;180000200;CH DE VIERZON;180000051;GEN;;1;IAOMAO;23546;2933;4971;23546;;;;;;;;;;;;23546;;4;1464;2164;496;1775;;;;;;;;;;;;;;;
URGENCES2;2024;180000283;CH SAINT AMAND-MONTROND;180000069;GEN;3;1;IAO;14827;2456;2501;2251;1155;2;1;0;0;;;;1076;374;29;3328;;5;1830;963;943;20;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;GEN;3;1;IAOMAO;45306;6557;8997;11002;3853;983;343;;;;;;;;;11345;;9;3283;2248;156;2440;;;;;;;;;;;;;;;
URGENCES2;2024;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;GEN;3;1;IAO;24337;3666;6398;6573;;;;;;;;;;;;6573;;6;2190;1811;305;1660;0;1;0;0;1;1;;;;;;;;;
URGENCES2;2024;190000091;CENTRE HOSPITALIER D'USSEL;190000075;GEN;;1;IAO;13736;2088;2193;2241;696;26;158;129;;5;2;0;465;138;3;2869;;1;365;553;138;425;;;;;1;1;;;;;;;;;
URGENCES2;2024;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;GEN;1;1;IAO;29449;3416;5616;3416;;;;;;;;;897;;;4313;;6;2190;2358;889;2018;1;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;GEN;1;1;IAOMAO;41193;7323;15;11731;3546;5;;;;0;0;0;2460;771;1;14191;;15;5490;4112;1667;2557;1;1;0;;1;1;;;;;;;;;
URGENCES2;2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;PED;3;1;IAO;22366;;;;;;;;;;;;;;;4468;;10;3660;4115;2498;1649;;;;;;;;;;;;;;;
URGENCES2;2024;210987657;HOSPICES CIVILS DE BEAUNE;210012175;GEN;3;1;IAOMAO;21977;3280;3988;5461;1708;579;;;;1;;;340;45;20;5802;;6;2196;2355;1188;1229;1;0;1;1;0;0;;;;;;;;;
URGENCES2;2024;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;GEN;2;1;IAO;11958;;;;;;;;;;;;;;;;;3;1098;1379;1082;302;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;GEN;3;1;IAO;23738;2732;5284;3619;1015;369;262;10;1;;;;426;172;78;4307;;6;2196;2340;1190;1174;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;GEN;3;1;IAO;76435;8336;24233;18735;4659;3389;1;;;;;;164;;;18900;;12;4392;4420;1636;3072;1;1;1;0;1;1;;;;;;;;;
URGENCES2;2024;220000095;GHRE- SITE DINAN RENE PLEVEN;350000022;GEN;3;1;IAO;27810;4244;5271;10024;3084;609;;;;;;;130;16;13;10154;;8;2920;7497;3918;4354;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;GEN;3;1;IAOMAO;24368;3022;4172;6205;1947;68;0;9;0;;;;1241;229;139;7446;;7;;5693;2895;2984;0;1;0;;1;1;;;;;;;;;
URGENCES2;2024;220000368;CENTRE HOSPITALIER LANNION;220000103;GEN;2;1;IAO;19260;3226;3189;4624;1802;387;3;2;;1;1;;514;74;22;5142;;6;2196;4241;1813;2588;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;220000541;CENTRE HOSPITALIER PAIMPOL;220000020;GEN;3;1;IAO;16107;2752;2700;3131;1368;1162;21;16;;;;;501;131;11;3653;;4;1464;2347;1225;1181;0;0;0;0;0;0;;;;;;;;;
URGENCES2;2024;230000820;CENTRE HOSPITALIER GUERET;230780041;GEN;;;;20618;3206;3352;6115;1954;358;14;9;0;0;0;0;0;0;0;6129;;6;2196;2006;488;1694;;;;;;;;;;;;;;;
URGENCES2;2024;230004657;SITE CROIX BLANCHE;230780058;GEN;3;1;IAO;7109;1986;961;;;;;;;;;;;;;;;2;730;1052;479;599;0;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;GEN;3;1;IAO;12814;2111;1158;2345;743;27;;;;;;;38;;;2383;;4;1464;600;472;128;0;0;0;;1;1;;;;;;;;;
