BOR;AN;FI;RS;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;AUTRAT;EMSP;PREM24;ASTSOI24;ASTMED24;TELESUR;TELECONS;INTHAD;CONVPUI;CBPUI;AUTSSR;AUTSOC;AUTPARTUM;AUTENF;ASSOCANCERO;PLATOT;READAPDEV;SEJ_HAD;JOU_HAD;FIL_HAD
HAD;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;0;;;;;40000;2;0;1;1;;0;0;;0;;0;1;0;0;0;20;;150;1825;114
HAD;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;0;;;;;278255;1;0;2;2;2;0;0;;1;1;0;1;0;0;0;40;;404;14067;312
HAD;2024;130021819;HAD CLARA SCHUMANN;130021769;0;;;;;710000;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;103;2;1390;37776;971
HAD;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;0;;;;;106800;1;0;1;1;1;;;;1;1;0;1;0;0;;26;;181;9433;121
HAD;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;0;;;;;385142;2;0;1;3;1;0;0;0;0;;0;1;0;0;0;60;;596;15857;299
HAD;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;0;;;;;1000000;2;1;1;1;1;1;1;1;0;;1;1;1;1;1;120;1;2541;30462;1550
HAD;2024;130785652;HOPITAL SAINT JOSEPH;130014228;0;;;;;584729;2;1;1;;1;0;0;1;0;;0;1;0;0;1;70;2;1624;20404;922
HAD;2024;130802143;HAD SOINS ASSISTANCE;130804396;0;;;;;1127000;1;0;1;1;1;0;0;;1;1;0;1;0;0;1;100;;1345;28591;650
HAD;2024;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;0;;;;;;2;1;;;;0;0;0;1;1;0;1;0;0;1;50;;381;16090;308
HAD;2024;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;0;0;;;;;2;;1;;;;;;0;;0;1;0;0;;23;;522;8343;381
HAD;2024;140000076;CH AUNAY-BAYEUX;140000092;0;;;;;55500;2;0;1;2;1;0;0;0;0;;1;1;0;0;1;12;1;189;4618;134
HAD;2024;140000209;CHU CAEN;140000100;0;;;;;;2;1;1;1;1;0;0;1;0;;;0;0;1;0;5;;102;1419;90
HAD;2024;140000233;CH FALAISE;140000118;0;;;;;;2;1;1;1;1;0;0;1;1;1;0;1;0;0;0;20;;331;5409;246
HAD;2024;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;4;500021274;500021282;610007312;53660;2;1;1;1;3;0;0;1;1;1;;1;0;0;1;20;;217;5760;171
HAD;2024;140002619;HAD SANTE CROIX ROUGE - CAEN;750721334;0;;;;;;1;0;;;;0;0;0;0;;1;1;0;0;1;80;2;1154;28643;785
HAD;2024;140016155;HAD DE BAYEUX;140000092;0;;;;;90000;2;0;1;2;1;0;0;;0;;1;1;0;0;1;40;1;263;9796;200
HAD;2024;140026709;HOPITAL PRIVE DU PAYS D'AUGE;140000415;0;;;;;;2;;;;;;;;0;;;1;0;0;;30;;538;9599;352
HAD;2024;150000040;CH HENRI MONDOR;150780096;1;3;150000040;;;144399;2;1;1;1;3;1;0;1;1;1;0;1;0;0;1;15;;957;6084;271
HAD;2024;160002036;HAD MUTUALISTE;160009908;0;;;;;351718;1;0;1;3;1;0;0;;1;5;1;1;0;0;1;128;1;1362;40187;897
HAD;2024;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;0;;;;;385000;2;1;;;;;;1;0;;;1;0;0;;110;;1049;28698;577
HAD;2024;170000103;CH DE SAINTONGE - SAINTES;170780175;1;3;170000095;170000038;170000129;290000;2;1;1;3;;0;0;1;1;1;1;1;0;0;0;98;1;1404;31090;693
HAD;2024;180000010;CH BOURGES - JACQUES COEUR;180000028;0;;;;;170322;2;1;1;1;1;0;1;1;0;0;0;1;0;0;1;30;;705;9478;280
HAD;2024;180008278;HAD DE VIERZON;310025010;0;;;;;350000;1;0;1;1;1;0;0;0;1;2;0;1;0;0;;100;;825;30343;539
HAD;2024;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;0;;;;;239784;2;1;1;1;2;0;0;1;1;1;0;1;0;0;1;80;;703;25790;563
HAD;2024;190010629;HAD RELAIS SANTE ONCORESE;190010579;0;;;;;241000;1;0;1;3;3;0;0;0;1;1;0;1;0;0;1;60;;1241;11734;270
HAD;2024;210003059;VYV3 BOURGOGNE HAD;210781266;0;;;;;240000;1;0;1;1;1;0;0;;1;1;0;1;0;0;;64;;689;11851;284
HAD;2024;210780789;CLINIQUE MUTUALISTE BENIGNE JOLY;210003208;0;;210780789;;;182082;2;0;1;1;1;0;0;;1;1;0;1;0;0;0;40;;350;10847;233
HAD;2024;210987657;HOSPICES CIVILS DE BEAUNE;210012175;0;;;;;;2;1;;;;0;0;1;1;1;0;1;0;0;;35;;480;9085;297
HAD;2024;210987731;CLCC GEORGES-FRANCOIS LECLERC;210780417;0;;;;;160000;2;1;1;1;1;0;0;1;1;1;0;0;0;0;1;14;;405;4238;119
HAD;2024;220000368;CENTRE HOSPITALIER LANNION;220000103;1;1;220000541;;;100000;2;1;1;1;1;0;0;1;1;2;0;1;0;1;0;45;1;389;13422;285
HAD;2024;220000541;CENTRE HOSPITALIER PAIMPOL;220000020;0;;;;;25000;2;1;1;1;1;0;0;1;1;1;;1;0;1;1;25;1;164;5153;132
HAD;2024;220019616;HAD DU PAYS BRIOCHIN;220019608;0;;;;;235826;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;120;2;1256;31889;985
HAD;2024;220020341;HAD DU PAYS DE GUINGAMP AUB SANTE;350000626;0;;;;;76502;1;0;1;1;1;0;0;0;1;1;1;1;0;0;;45;2;471;12628;361
HAD;2024;230782617;CRRF ANDRE LALANDE;920028560;1;4;230782617;;;115702;2;0;;1;3;0;0;0;1;1;1;1;1;1;1;35;1;451;11258;200
HAD;2024;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;0;;;;;182000;2;;;;;;;;0;;;1;0;0;;49;;1133;14636;601
HAD;2024;240000687;CENTRE HOSPITALIER SARLAT;240000448;0;;;;;75000;2;1;1;1;3;0;0;1;0;;0;1;0;0;0;30;;245;7139;195
HAD;2024;240011668;HAD DE LA CLINIQUE PASTEUR;240000612;1;1;240000612;;;;2;0;1;1;1;0;0;;0;;;0;0;0;;30;;482;14504;395
HAD;2024;250012069;HAD COMTOISE PONTARLIER;250001161;0;;;;;;1;0;1;1;1;0;0;;1;1;0;1;0;0;;40;;466;12271;227
HAD;2024;250016037;HAD COMTOISE ETUPES;250001161;0;;;;;;1;0;1;1;1;0;0;;1;1;0;1;0;0;;80;;622;25164;434
HAD;2024;250016045;HAD COMTOISE CHÂTILLON LE DUC;250001161;0;;;;;;1;0;1;1;1;0;0;;0;525000;0;1;0;0;0;90;;1168;31304;634
HAD;2024;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;0;;;;;192300;2;1;1;3;3;0;0;1;1;1;0;1;1;0;0;30;;367;9783;224
HAD;2024;260000146;CH DE CREST;260000054;0;;;;;500000;2;1;1;1;1;1;1;1;0;;1;1;1;1;1;179;2;2227;54294;1330
HAD;2024;270000441;CH VERNEUIL-SUR-AVRE;270000110;0;;;;;55000;2;0;1;1;3;0;0;;0;;0;1;0;0;0;25;;208;4027;166
HAD;2024;270016058;HAD EURE SEINE;750047367;0;;;;;270000;1;0;1;1;1;0;0;;1;1;1;1;1;1;1;46;2;396;17035;288
HAD;2024;270029416;HAD CH DE LA RISLE PONT AUDEMER;270000102;0;;;;;122143;2;1;1;1;;0;0;1;1;1;1;1;1;1;1;25;1;365;7319;294
HAD;2024;280001678;ASSAD HAD D'EURE ET LOIR;370001638;1;2;;;;432950;1;0;1;1;1;0;0;0;1;2;1;1;1;1;1;100;2;1626;26137;824
HAD;2024;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;0;;;;;300000;2;0;1;3;1;0;0;;1;1;1;1;1;1;1;120;2;1640;32845;1110
HAD;2024;290032838;HAD DES PAYS DE MORLAIX;350000626;0;;;;;154189;1;1;1;1;1;0;;1;1;1;1;1;1;1;;100;2;1113;26498;762
HAD;2024;290036375;HAD DU PONANT SITE CLINIQUE GD LARGE;290000447;0;;;;;;2;0;1;1;1;0;0;;0;;1;1;1;1;1;110;2;2352;36922;1525
HAD;2024;2A0001988;HAD AJACCIO ET GRAND AJACCIO;2A0001848;0;;;;;90000;1;0;1;1;2;0;0;;1;1;1;1;0;0;1;45;1;432;12135;203
HAD;2024;2A0002614;CENTRE HOSPITALIER DE SARTENE;2A0002606;0;;;;;60000;2;;;;;;;;0;;;0;0;0;;25;;223;6053;129
HAD;2024;2B0000038;CH CORTE;2B0004246;1;1;2B0004246;;;75000;1;0;1;1;1;0;0;;0;;1;0;0;0;0;30;1;275;11585;128
HAD;2024;2B0001739;HAD DE CORSE;2B0001689;0;;;;;142977;1;1;1;1;1;0;0;1;0;;1;1;0;1;0;60;2;748;19272;440
HAD;2024;2B0003289;HAD CENTRE RAOUL FRANCOIS MAYMARD;2B0003198;0;;;;;80000;1;0;1;1;1;0;0;;0;;0;1;0;0;0;160;;1622;52138;528
HAD;2024;300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;300780053;1;3;300000031;300000056;300000064;178000;2;1;1;1;1;0;0;1;0;;1;1;0;1;1;13;1;305;6642;125
HAD;2024;300000056;CH PONT ST ESPRIT;300780079;0;;;;;;2;0;1;1;1;0;0;0;1;1;1;1;0;0;;20;1;221;5460;85
HAD;2024;300000064;CH UZES;300780087;0;;;;;93000;2;0;1;1;1;0;0;;0;;;1;0;0;;8;;258;3023;201
HAD;2024;300012309;ADENE HAD NIMES;340027937;0;;;;;;1;0;1;1;1;1;1;;0;;1;1;1;0;1;50;2;479;13297;384
HAD;2024;300013745;ADENE HAD ALES;340027937;0;;;;;;1;0;1;1;1;1;1;0;0;;1;1;1;0;0;50;2;555;13998;444
HAD;2024;300013778;HAD 3G SANTE NIMES;300013760;0;;;;;405000;1;0;1;1;1;0;0;0;1;1;1;1;1;1;;166;1;2048;61036;1434
HAD;2024;310005459;HAD SANTE RELAIS DOMICILE;310021886;0;;;;;1318000;1;0;1;1;1;0;0;;1;2;1;1;1;0;1;200;1;2953;53901;1352
HAD;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;0;;;;;10;1;1;1;;1;1;1;1;1;1;0;0;0;1;0;10;;335;3477;295
HAD;2024;310780259;CL PASTEUR TOULOUSE;310000096;1;2;310780259;310780259;;1047191;2;1;1;1;1;0;0;1;0;;0;1;0;1;1;130;;2839;49756;1406
HAD;2024;320004328;HAD GERS CL PASTEUR;310000096;1;1;320004328;;;;2;1;1;1;1;0;0;1;0;;1;1;1;1;1;50;1;648;16477;433
HAD;2024;330000332;HOPITAL SUBURBAIN DU BOUSCAT;330780545;1;2;330000332;;;386000;2;0;1;1;1;0;1;;0;;1;1;0;1;1;200;1;2218;53028;1065
HAD;2024;330000340;MSP BORDEAUX BAGATELLE;330780552;0;;;;;;2;;;;;;;;0;;1;1;1;1;;230;1;5124;95291;2060
HAD;2024;330000589;CH SUD GIRONDE - SITE LANGON;330027509;0;;;;;136481;2;1;1;1;1;0;0;1;1;1;0;1;1;0;1;40;;564;9137;263
HAD;2024;330025958;HAD DES VIGNES ET DES RIVIERES;330025859;0;;;;;310469;1;0;1;1;1;0;1;;1;1;1;1;1;1;1;150;2;2857;56430;1132
HAD;2024;340000223;HOPITAL ST CLAIR SETE HBT;340011295;0;;;;;133000;2;1;1;;1;0;0;1;0;;0;1;0;0;1;40;;360;10019;244
HAD;2024;340016476;HAD BEZIERS HAD;340016468;0;;;;;300000;1;0;1;2;1;0;0;;1;1;1;1;0;0;;140;1;1531;46061;1160
HAD;2024;340017839;ADENE HAD MONTPELLIER;340027937;0;;;;;546961;1;0;1;1;1;1;1;;0;;1;1;0;0;0;100;2;811;22888;573
HAD;2024;340017847;HAD HOME SANTE 34;340018175;0;;;;;750000;1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;111;1;1161;40710;936
HAD;2024;340021211;HAD CH BEZIERS;340780055;1;1;340021211;;;339613;2;1;1;1;1;0;1;1;0;;1;1;1;1;1;20;1;284;11062;202
HAD;2024;340780154;POLYCL PASTEUR PEZENAS;340000116;0;;;;;;2;0;1;1;1;0;0;;1;1;;1;0;0;;90;;644;27088;462
HAD;2024;340782036;HOPITAL ST ELOI CHU MONTPELLIER;340780477;1;1;340796663;;;507500;2;1;1;1;1;1;0;1;0;;;1;1;1;;108;;1681;33499;963
HAD;2024;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;0;;;;;;2;;1;1;1;0;0;;0;;0;0;0;1;;6;;153;2075;135
HAD;2024;350042628;HAD 35;350042578;0;;;;;900000;1;0;1;1;1;0;;;1;2;1;1;1;1;;400;2;6282;127790;3228
HAD;2024;350044772;HAD SAINT MALO DINAN;350000626;0;;;;;272939;1;0;1;1;1;0;0;0;1;1;1;1;0;0;;130;2;1295;35863;912
HAD;2024;360000137;CH CHATEAUROUX;360000053;1;2;360000137;360000160;;200000;2;1;1;1;1;0;0;1;1;2;0;0;0;0;1;30;;849;10628;443
HAD;2024;370009938;HAD VAL DE LOIRE;440052041;0;;;;;620000;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;200;1;2507;60872;1598
HAD;2024;370103673;ASSAD HAD D'INDRE ET LOIRE;370001638;1;3;;;;616330;1;0;1;1;1;0;0;0;1;3;1;1;0;0;1;130;2;2079;38835;1124
HAD;2024;380000067;HOPITAL NORD - CHU38;380780080;0;0;;;;900000;2;1;2;2;1;0;0;1;0;;0;1;1;1;1;100;;3828;20067;925
HAD;2024;380000174;CH LUCIEN HUSSEL DE VIENNE;380781435;0;;;;;190960;2;1;;1;1;0;0;0;0;;0;1;0;0;1;40;;376;12602;251
HAD;2024;380000406;HOPITAL DE VOIRON - CHU38;380780080;0;;;;;175000;2;1;1;1;1;0;1;1;0;1;0;1;0;0;1;20;1;224;5610;118
HAD;2024;390004349;HAD COMTOISE LONS-LE-SAUNIER;250001161;0;;;;;;1;0;1;1;1;0;0;;1;1;0;1;0;0;;60;;377;9612;161
HAD;2024;400780250;CENTRE NOUVIELLE;400011177;0;;;;;154000;2;1;1;1;1;0;0;1;1;1;0;1;1;1;1;45;;334;11321;257
HAD;2024;400780888;SANTE SERVICE DAX -HAD-;400000535;1;1;400780888;400780888;;245000;1;0;1;1;1;0;0;;1;100;1;1;0;1;0;200;1;1079;67066;735
HAD;2024;410005003;HAD LOIR ET CHER;440052041;0;;;;;330700;1;0;1;1;1;0;0;;1;2;1;1;1;1;1;240;1;2341;73188;1612
HAD;2024;420000010;CH DE ROANNE;420780033;0;;;;;180000;2;1;2;2;2;0;0;1;1;1;0;1;0;0;1;50;;69;1287;55
HAD;2024;420002479;ADENE HOSPITALISATION A DOMICILE;340027937;0;;;;;3375923;1;0;1;1;1;1;1;0;1;2;1;1;1;1;0;190;2;1912;63831;1393
HAD;2024;420010258;GCS SANTE A DOM SAINT-PRIEST-EN-JAREZ;420010209;0;;;;;504425;1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;100;2;730;29747;549
HAD;2024;420018921;GCS HAD DU ROANNAIS;420018913;0;;;;;120000;1;0;1;1;1;0;0;;1;1;0;1;0;0;;40;;310;10091;215
HAD;2024;430000117;CH EMILE ROUX LE PUY;430000018;0;;;;;225000;2;0;1;2;1;0;1;;0;;0;1;1;0;0;50;;558;13697;387
HAD;2024;440000016;CH DE SAINT NAZAIRE;440000057;0;;;;;300000;2;1;1;1;1;0;0;1;1;2;0;1;0;0;1;90;;2260;25277;1283
HAD;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;0;;;;;;1;;1;1;1;;;;0;;;0;0;1;0;12;;912;5327;171
HAD;2024;440012128;HAD NANTES ET REGION;440003960;1;3;440012128;;;1095450;1;0;1;1;1;0;0;;1;2;0;1;1;0;1;300;2;5563;90833;3782
HAD;2024;450018528;ASSAD HAD DU LOIRET;370001638;1;2;;;;687063;1;0;1;1;1;0;0;0;1;4;;1;1;1;;110;1;1619;25400;1177
HAD;2024;450018536;HAD ORLEANS MONTARGIS;440052041;0;;;;;680000;1;1;1;1;1;0;0;1;1;2;1;1;1;0;;250;1;3265;88839;2252
HAD;2024;460007404;HAD 46 FIGEAC;460007396;1;6;460007404;460007404;460007404;182000;1;0;1;1;1;0;0;0;1;2;1;1;1;1;0;100;1;964;37580;702
HAD;2024;470009358;HOSPITALISATION A DOMICILE 47;470009309;1;3;470009358;470009358;470009358;331970;1;0;1;1;1;0;0;;0;;1;1;0;1;0;110;2;1107;35014;768
HAD;2024;480001825;HAD LOZERE MENDE;750047367;0;;;;;77000;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;49;2;397;18039;267
HAD;2024;490000312;HAD SAINT SAUVEUR;490012176;0;;;;;514597;1;0;1;1;2;0;0;0;1;1;1;1;1;1;1;150;2;4293;47787;2332
HAD;2024;490016334;HAD MAUGES BOCAGE CHOLETAIS;490016326;1;1;490016334;;;270948;1;0;1;1;1;0;0;;1;1;1;1;0;0;1;75;2;1775;22636;1236
HAD;2024;490016870;HAD SAUMUROIS;440052041;0;;;;;113000;1;0;1;1;1;0;0;;1;1;1;1;0;0;1;60;1;794;15620;502
HAD;2024;500000021;HOPITAUX DU SUD MANCHE;500000054;0;;;;;115000;2;1;1;1;1;0;0;1;0;;1;1;0;0;1;30;2;569;10105;374
HAD;2024;500000187;CHPC - SITE CHERBOURG;500000013;0;;500000187;;;180784;2;1;1;1;2;0;0;1;1;1;0;1;0;0;1;30;;927;8983;330
HAD;2024;500000450;CH - SAINT-LO;500000112;1;2;500000112;500000112;;;2;1;1;1;1;0;0;1;0;;0;1;0;0;0;45;;625;13175;470
HAD;2024;500021274;HAD DU CH DE VIRE SITE DE MORTAIN;140000159;1;4;140000373;500021282;610007312;17723;2;1;1;;3;0;0;1;1;1;0;1;0;0;;10;;95;2714;55
HAD;2024;500021282;HAD DU CH DE VIRE SITE DE VILLEDIEU;140000159;1;4;140000373;610007312;500021274;26423;2;1;;1;3;0;0;1;1;1;0;1;0;0;1;10;;89;3341;69
HAD;2024;510000250;CENTRE HOSPITALIER VITRY LE FRANCOIS;510000078;1;1;520000068;;;118000;2;0;1;1;1;0;0;0;1;1;0;1;0;0;1;30;;266;6723;148
HAD;2024;510002298;HAD DE REIMS CROIX ROUGE FRANCAISE;750721334;0;;;;;250000;1;0;1;1;1;0;0;;1;1;;1;0;0;;90;;799;16284;363
HAD;2024;510017098;HAD EPERNAY;510000060;0;;;;;100000;2;0;1;1;1;0;0;;1;1;0;1;0;0;1;30;;358;5070;194
HAD;2024;510020548;HAD CHALONS-EN-CHAMPAGNE;750047367;0;;;;;110000;1;0;1;1;1;0;0;;1;1;1;1;1;1;1;40;2;496;14733;285
HAD;2024;520003823;HAD CHAUMONT LANGRES;750047367;0;;;;;110000;1;0;1;1;1;0;0;;1;1;1;1;1;1;1;40;2;386;14900;244
HAD;2024;530000017;CH HAUT ANJOU SITE CHATEAU GONTIER;530000025;0;;;;;;2;1;1;1;3;0;0;1;1;1;0;1;0;0;1;20;;465;5579;327
HAD;2024;530000173;CH DU NORD MAYENNE;530000074;0;;;;;;2;;;;;;;;0;;0;0;0;0;;12;;205;4123;168
HAD;2024;530000264;CENTRE HOSPITALIER DE LAVAL;530000371;1;2;530000173;530000017;;150000;2;1;1;1;1;0;0;1;1;1;0;1;0;0;;35;;587;9219;430
HAD;2024;540000155;CENTRE HOSPITALIER DE LUNEVILLE;540000080;0;0;;;;120000;2;1;1;1;1;0;0;1;1;1;1;1;1;0;1;50;2;629;18129;419
HAD;2024;540001096;CH DE MT ST MARTIN (GROUPE SOS SANTE);570010181;0;;;;;120000;2;1;1;1;1;0;0;1;0;;0;1;0;0;0;10;;262;7275;208
HAD;2024;540010568;HAD HADAN AGGLOMERATION NANCEIENNE;540010519;0;;;;;413000;1;0;1;1;1;0;0;0;1;3;;0;0;0;1;220;;2682;60486;1692
HAD;2024;540020146;CENTRE DE REEDUCATION FLORENTIN;540006707;0;0;;;;500;1;1;1;1;1;0;0;1;0;;1;1;0;0;0;60;1;689;19863;594
HAD;2024;540025046;HAD HADAN SITE JOEUF;540010519;0;;;;;190292;1;0;1;1;1;0;0;0;1;1;0;0;0;0;;30;;340;7231;240
HAD;2024;550000012;CH VERDUN/ST MIHIEL-HOP ST NICOLAS;550006795;0;;;;;100000;2;1;1;1;1;0;0;1;0;;0;1;1;0;1;30;;565;11790;341
HAD;2024;550000434;CH BLD FV SITE BLD;550003354;1;1;550000434;;;75000;2;1;1;1;1;1;1;1;1;1;0;1;0;0;1;150;1;642;40898;483
HAD;2024;560000192;CENTRE HOSPITALIER DE PLOERMEL;560000044;0;;;;;124030;2;1;1;1;1;0;1;1;0;;1;1;0;0;0;40;2;558;12046;414
HAD;2024;560008799;HÔPITAL PRIVÉ OCÉANE;560013989;0;;;;;390000;2;1;1;1;1;0;1;1;0;;1;1;1;1;1;180;1;1855;49417;1237
HAD;2024;560018509;HAD DE L'AVEN A ETEL;560018459;0;;;;;310547;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;200;2;1856;66078;1398
HAD;2024;560022188;HAD CENTRE BRETAGNE;350000626;0;;;;;132483;1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;80;2;643;18783;431
HAD;2024;570000091;HOPITAL FILIERIS DE FREYMING-MERLEBACH;750050759;0;;;;;255000;2;1;1;1;1;0;0;1;0;;1;1;1;1;0;60;1;699;20210;475
HAD;2024;570000117;CH SAINT-NICOLAS DE SARREBOURG;570015099;0;;;;;;2;1;1;1;1;0;0;1;0;;0;1;0;0;;60;;683;18754;411
HAD;2024;570000349;HOPITAL BEL AIR DE THIONVILLE - CHR;570005165;0;;;;;217925;2;1;1;1;1;;;1;0;;0;1;1;1;0;13;;88;1923;82
HAD;2024;570000901;HOPITAL ROBERT PAX DE SARREGUEMINES;570000158;0;;;;;100236;2;1;1;1;1;0;0;1;0;;0;1;0;0;1;35;;282;7544;206
HAD;2024;570026252;HOPITAL ROBERT SCHUMAN DE VANTOUX -HPM;570023630;0;;;;;350000;2;1;2;2;1;0;0;1;1;1;0;1;1;0;;90;;1651;30517;1165
HAD;2024;580001899;HOSP. A DOMICILE NIVERNAIS MORVAN;750721334;0;;;;;140000;1;0;1;1;1;0;0;0;0;;1;1;0;0;0;50;2;373;14832;236
HAD;2024;590025128;HAD DU HAINAUT;620001834;0;;;;;367866;1;0;1;1;;0;0;;1;1;0;1;0;0;1;120;;1721;40703;1131
HAD;2024;590025458;HAD DU CH D'HAZEBROUCK;590782652;0;;;;;209322;2;0;1;1;1;0;0;;0;;0;1;0;0;1;30;;1191;23878;742
