BOR;AN;FI;RS;FI_EJ;ETPSAL_TOT;ETPSAL_URG;ETPSAL_SMUR;ETPSAL_SAMU;EFFLIB_TOT;EFFLIB_URG;EFFLIB_SMUR;EFFLIB_SAMU;COM_SMUR_SU;MOD;PERSO
PCAMEDURG_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;15.31;10.08;5.23;;;;;;1;2;M9999
PCAMEDURG_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;2.94;1.94;1;;;;;;0;;N1200
PCAMEDURG_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;1.8;1.6;0.2;;;;;;1;2;N2120
PCAMEDURG_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;13.99;13.99;;;;;;;;;N2500
PCAMEDURG_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;3;3;;;;;;;;;N2620
PCAMEDURG_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;0.5;0.5;;;;;;;;;N3120
PCAMEDURG_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;20.05;19.05;1;;;;;;1;1;NIDE
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;8.26;4.13;4.13;;;;;;;;M9999
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;4.25;2.75;1.5;;;;;;1;2;N1200
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;1;0.5;0.5;;;;;;1;2;N2120
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;7.29;5.65;1.64;;;;;;;;N2500
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;0.49;0.49;;;;;;;1;2;N2620
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;0.5;0.5;;;;;;;;;N3120
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;4;;4;;;;;;;;N5140
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;39.64;27.81;11.83;;;;;;1;2;N9999
PCAMEDURG_P;2024;020001087;CH HIRSON;020004495;16.41;13.42;2.99;;;;;;1;2;NIDE
PCAMEDURG_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;0;0;;;5;5;;;0;;M9999
PCAMEDURG_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;2;2;;;0;0;;;0;;N1200
PCAMEDURG_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;1;;;0;0;;;0;;N2120
PCAMEDURG_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;5.5;5.5;;;;;;;;;N2500
PCAMEDURG_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;17.5;17.5;;;;;;;;;N9999
PCAMEDURG_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;9;9;;;;;;;;;NIDE
PCAMEDURG_P;2024;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;5;5;;;;;;;1;;M9999
PCAMEDURG_P;2024;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;5;5;;;;;;;;;N2500
PCAMEDURG_P;2024;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;5;5;;;;;;;1;;NIDE
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;23.04;13.31;4.74;4.99;0;0;0;0;1;3;M9999
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;4.99;0;0;4.99;0;0;0;0;;;MREG
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;2;2;0;0;0;0;0;0;0;;N1200
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;24.4;;;24.4;0;;;0;;;N1230
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;3.5;2.5;0.2;0.8;0;0;0;0;0;;N2120
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;14.63;14.63;0;0;0;0;0;0;;;N2500
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;7.8;;7.8;0;0;;0;0;;;N5140
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;99.02;56.58;13.58;28.86;0;0;0;0;;;N9999
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;38.9;32.32;5.58;1;0;0;0;0;1;3;NIDE
PCAMEDURG_P;2024;030000061;CH DE MOULINS;030780092;2;;;2;0;;;0;;;NOPE
PCAMEDURG_P;2024;030000079;CH DE MONTLUCON;030780100;15.94;7.26;8.68;;;;;;1;3;M9999
PCAMEDURG_P;2024;030000079;CH DE MONTLUCON;030780100;3;2;1;;;;;;1;;N1200
PCAMEDURG_P;2024;030000079;CH DE MONTLUCON;030780100;1.24;0.83;0.41;;;;;;1;3;N2120
PCAMEDURG_P;2024;030000079;CH DE MONTLUCON;030780100;18.19;18.19;0;;;;;;;;N2500
PCAMEDURG_P;2024;030000079;CH DE MONTLUCON;030780100;7;;7;;;;;;;;N5140
PCAMEDURG_P;2024;030000079;CH DE MONTLUCON;030780100;65.93;49.86;16.07;;;;;;1;3;N9999
PCAMEDURG_P;2024;030000079;CH DE MONTLUCON;030780100;32.23;24.58;7.65;;;;;;1;1;NIDE
PCAMEDURG_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;14.64;13.76;0.88;;;;;;1;3;M9999
PCAMEDURG_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;11.1;10.6;0.5;;;;;;0;;N1200
PCAMEDURG_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1.21;0.75;0.46;;;;;;1;;N2120
PCAMEDURG_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;33.78;29.23;4.55;;;;;;;;N2500
PCAMEDURG_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;0.8;0.8;;;;;;;;;N3120
PCAMEDURG_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;134.29;117.07;17.22;;;;;;1;;N9999
PCAMEDURG_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;48.48;36.76;11.72;;;;;;0;;NIDE
PCAMEDURG_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;8.61;8.11;0.5;;;;;;;;M9999
PCAMEDURG_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1.99;1.99;;;;;;;;;N1200
PCAMEDURG_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;1;;;;;;;;;N2120
PCAMEDURG_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;12.22;12.22;;;;;;;;;N2500
PCAMEDURG_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;50.91;50.61;0.3;;;;;;;;N9999
PCAMEDURG_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;29.52;29.22;0.3;;;;;;;;NIDE
PCAMEDURG_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;8.31;6.18;2.13;;;;;;1;2;M9999
PCAMEDURG_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;0.66;0.66;;;;;;;0;;N1200
PCAMEDURG_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;0.3;0.3;;;;;;;0;;N2120
PCAMEDURG_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;8.7;8.7;;;;;;;;;N2500
PCAMEDURG_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;;1;;;;;;;;N5140
PCAMEDURG_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;29.86;26;3.86;;;;;;1;2;N9999
PCAMEDURG_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;16.15;12.29;3.86;;;;;;1;2;NIDE
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;;;;;;;1;2;M1140
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;0.4;0.2;0.2;;;;;;;;M3020
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;17.38;10.06;3.87;3.45;;;;;1;2;M9999
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;3.45;;;3.45;;;;;1;2;MREG
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1.9;1.39;;0.51;;;;;1;2;N1200
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;18.36;;;18.36;;;;;;;N1230
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1.5;1.5;;;;;;;1;2;N2120
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;9.19;9.19;;;;;;;;;N2500
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1.5;1.5;;;;;;;1;2;N2620
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;0.14;0.14;;;;;;;;;N3120
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;4.71;;4.71;;;;;;;;N5140
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;61.48;35.27;7.34;18.87;;;;;1;2;N9999
PCAMEDURG_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;24.18;21.55;2.63;;;;;;1;2;NIDE
PCAMEDURG_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;16.44;9.34;7.1;;;;;;1;;M9999
PCAMEDURG_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;3.98;3.98;;;;;;;0;;N1200
PCAMEDURG_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;0.05;0.05;;;;;;;0;;N2120
PCAMEDURG_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;10.2;10.2;;;;;;;;;N2500
PCAMEDURG_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;43.98;39.69;4.29;;;;;;0;;N9999
PCAMEDURG_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;18.02;14.01;4.01;;;;;;0;;NIDE
PCAMEDURG_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;3.3;3.3;;;;;;;;;M9999
PCAMEDURG_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;0.07;0.07;;;;;;;;;N1200
PCAMEDURG_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;0.38;0.38;;;;;;;;;N2120
PCAMEDURG_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1.05;1.05;;;;;;;;;N2500
PCAMEDURG_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;11;11;;;;;;;;;N9999
PCAMEDURG_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;8.93;8.93;;;;;;;;;NIDE
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;29.82;20.45;6.73;2.64;;;;;;;M9999
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;2.64;;;2.64;;;;;;;MREG
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;10.19;7.74;;2.45;;;;;;;N1200
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;15.11;;;15.11;;;;;;;N1230
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1.87;1.2;0.1;0.57;;;;;;;N2120
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;15.96;15.61;;0.35;;;;;;;N2500
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;5.89;;5.89;;;;;;;;N5140
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;80.95;52.45;9.4;19.1;;;;;;;N9999
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;31.1;21.7;9.22;0.18;;;;;;;NIDE
PCAMEDURG_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;2.2;;;2.2;;;;;;;NOPE
PCAMEDURG_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;19.33;17.8;1.53;;;;;;1;;M9999
PCAMEDURG_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1.13;1.13;;;;;;;1;;N1200
PCAMEDURG_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;2.19;2.19;;;;;;;1;;N2120
PCAMEDURG_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;15.27;15.27;;;;;;;;;N2500
PCAMEDURG_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;0.18;0.18;;;;;;;;;N3120
PCAMEDURG_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;60.71;57.24;3.47;;;;;;1;;N9999
PCAMEDURG_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;39.81;36.34;3.47;;;;;;1;;NIDE
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;;;;;;;;;M3020
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;20.4;16.1;4.3;;;;;;1;1;M9999
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1.67;1.67;;;;;;;;;N1200
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;2.03;2.03;;;;;;;;;N2120
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;23.23;23.23;;;;;;;;;N2500
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;0.08;0.08;;;;;;;;;N3120
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;6;;6;;;;;;;;N5140
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;88.46;77.76;10.7;;;;;;;;N9999
PCAMEDURG_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;36.14;31.44;4.7;;;;;;;;NIDE
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;0.45;0.45;;;;;;;0;;M1140
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;18.01;15.62;2.39;;;;;;1;1;M9999
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;10.67;10.67;;;;;;;0;;N1200
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;1.2;1;0.2;;;;;;1;2;N2120
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;30.8;30.8;;;;;;;;;N2500
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;0.5;0.5;;;;;;;;;N3120
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;4.5;;4.5;;;;;;;;N5140
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;107.41;97.86;9.55;;;;;;0;;N9999
PCAMEDURG_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;44.52;39.67;4.85;;;;;;1;2;NIDE
PCAMEDURG_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;12.52;11.82;0.7;;;;;;0;;M9999
PCAMEDURG_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;1.3;1.3;;;;;;;0;;N1200
PCAMEDURG_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;0.39;0.33;0.06;;;;;;0;;N2120
PCAMEDURG_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;8.19;8.19;;;;;;;;;N2500
PCAMEDURG_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;1;1;;;;;;;0;;N2620
PCAMEDURG_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;28.64;23.53;5.11;;;;;;0;;N9999
PCAMEDURG_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;18.17;12.67;5.5;;;;;;0;;NIDE
PCAMEDURG_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;0.11;0.11;;;8;8;;;;;M9999
PCAMEDURG_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;3.67;3.67;;;;;;;;;N1200
PCAMEDURG_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;0.3;0.3;;;;;;;;;N2120
PCAMEDURG_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;4.87;4.87;;;;;;;;;N2500
PCAMEDURG_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;17.56;17.56;;;;;;;;;N9999
PCAMEDURG_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;8.72;8.72;;;;;;;;;NIDE
PCAMEDURG_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;;;;;13;13;;;;;M9999
PCAMEDURG_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;2;2;;;;;;;;;N1200
PCAMEDURG_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;3;3;;;;;;;;;N2120
PCAMEDURG_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;0.07;0.07;;;;;;;;;N2500
PCAMEDURG_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;6.63;6.63;;;;;;;;;N2620
PCAMEDURG_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;1.42;1.42;;;;;;;;;N3120
PCAMEDURG_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;23.73;23.73;;;;;;;;;N9999
PCAMEDURG_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;10.61;10.61;;;;;;;;;NIDE
PCAMEDURG_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;;;;;12;12;;;;;M9999
PCAMEDURG_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;5;5;;;;;;;;;N1200
PCAMEDURG_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;1;1;;;;;;;;;N2120
PCAMEDURG_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;5.1;5.1;;;;;;;;;N2500
PCAMEDURG_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;2;2;;;;;;;;;N2620
PCAMEDURG_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;26.78;26.78;;;;;;;;;N9999
PCAMEDURG_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;11.42;11.42;;;;;;;;;NIDE
PCAMEDURG_P;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1.5;1.5;;;7;7;;;;;M9999
PCAMEDURG_P;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;6.9;6.9;;;;;;;;;N1200
PCAMEDURG_P;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;0.5;0.5;;;;;;;;;N2120
PCAMEDURG_P;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1.25;1.25;;;;;;;;;N2500
PCAMEDURG_P;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1.5;1.5;;;;;;;;;N2620
PCAMEDURG_P;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;7.2;7.2;;;;;;;;;NIDE
