BOR;AN;FI;RS;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFLIB_PM;ETPSAL_PM;GAR_PM;AST_PM;EFFLIB_NEU;ETPSAL_NEU;GAR_NEU;AST_NEU;EFFLIB_PNM;ETPSAL_PNM
MCOAVC;2024;590780284;GCS GHICL HÔPITAL ST PHILIBERT;590051801;1;22;651;5766;;4.41;0;1;;4.41;0;1;;24.58
MCOAVC;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;1;0;1553;12124;;3.43;;;;3.43;;;;57.79
MCOAVC;2024;590801106;HOPITAL VICTOR PROVO;590782421;1;23;913;6720;;;;;;;;;;0.14
MCOAVC;2024;590804696;CENTRE HOSPITALIER DE TOURCOING;590781902;1;12;426;3016;;1;0;1;;1;0;1;;16.01
MCOAVC;2024;600000194;CH BEAUVAIS;600100713;1;20;842;6650;;0.6;;;;0.6;;;;1.41
MCOAVC;2024;600000467;CH GHPSO CREIL;600101984;1;10;400;3465;;3.68;0;1;;3.68;0;1;;19.01
MCOAVC;2024;600113476;CH CHICN COMPIÈGNE;600100721;1;11;540;2957;;5.38;;;;5.28;;;;46.57
MCOAVC;2024;610000051;CHICAM - SITE ALENCON;610780082;1;6;276;2165;;2.6;;;;1;;;;7.46
MCOAVC;2024;620000034;CH ARRAS;620100057;1;18;808;4345;;1.5;1;0;;1.5;1;0;;46.88
MCOAVC;2024;620000224;CH BETHUNE;620100651;1;18;598;3948;;2;0;1;;2;0;1;;
MCOAVC;2024;620000257;CH LENS;620100685;1;27;955;8832;;3;0;1;;3;0;1;;35.17
MCOAVC;2024;620000323;CH CALAIS;620101337;1;15;613;5716;;0.99;0;1;;0.99;0;1;;14.75
MCOAVC;2024;620000653;CH BOULOGNE-SUR-MER;620103440;1;6;932;5432;;4.08;0;1;;3.98;0;1;;12
MCOAVC;2024;630000404;HOPITAL GABRIEL MONTPIED - CHU63;630780989;1;26;955;8499;;10.02;1;0;;9.93;1;0;;56.73
MCOAVC;2024;640000162;CH COTE BASQUE;640780417;1;8;1004;3840;;0.9;;;;0.9;;;;23.27
MCOAVC;2024;640000600;CENTRE HOSPITALIER DE PAU;640781290;1;24;1070;8212;;3.56;0;1;;;;;;4.95
MCOAVC;2024;660000084;CH PERPIGNAN;660780180;1;42;1483;13393;;10.75;;;;10.45;;;;28.03
MCOAVC;2024;670000157;CENTRE HOSPITALIER DE HAGUENAU;670780337;1;14;480;4221;;1.5;0;1;;1.5;0;1;;26.57
MCOAVC;2024;670783273;HOPITAL DE HAUTEPIERRE;670780055;1;34;1523;12123;;7.4;1;0;;7.4;1;0;;80.09
MCOAVC;2024;680000684;HOPITAL LOUIS PASTEUR;680000973;1;15;591;4975;;10.44;0;1;;10.44;0;1;;6.06
MCOAVC;2024;680004546;HOPITAL EMILE MULLER;680020336;1;15;424;6316;;1.4;;;;0.8;;;;13.81
MCOAVC;2024;690000575;CH NORD OUEST - VILLEFRANCHE;690782222;1;14;481;3505;;2.48;0;1;;2.48;0;1;;14.14
MCOAVC;2024;690784178;HOPITAL PIERRE WERTHEIMER - HCL;690781810;1;51;1920;12966;;4.74;0;0;;4.74;0;0;;65.77
MCOAVC;2024;690784194;HOPITAL DES CHARPENNES - HCL;690781810;1;14;158;2624;;0.4;0;0;;;;;;12.19
MCOAVC;2024;700000029;GH HAUTE SAONE SITE VESOUL;700004591;1;4;240;1319;1;1.2;;1;1;1.2;;1;;17.2
MCOAVC;2024;710978263;CH WILLIAM MOREY CHALON SUR SAONE;710780958;1;8;844;1862;0;9.31;1;0;0;9.31;1;0;;
MCOAVC;2024;720000033;CENTRE HOSPITALIER DU MANS;720000025;1;18;681;6058;0;3.37;0;1;0;1.47;;1;;26.47
MCOAVC;2024;730000031;CHMS - SITE CHAMBERY MCO;730000015;1;24;1248;7769;;3.07;;;;3.07;;;;35.8
MCOAVC;2024;740000237;CH ANNECY-GENEVOIS SITE ANNECY;740781133;1;15;530;4367;;1.63;1;0;;1.63;1;0;;26.98
MCOAVC;2024;740000302;CH ANNECY-GENEVOIS SITE ST JULIEN EN G;740781133;1;9;39;619;;0.1;;;;0.1;;;;5.03
MCOAVC;2024;740781141;CH ALPES LEMAN;740790258;1;11;377;4234;;0.22;0;1;;0.22;;;;
MCOAVC;2024;750000499;CH SAINTE ANNE;750062036;1;40;1133;8040;;5.95;0;0;;;0;0;;
MCOAVC;2024;750000523;GH PARIS SITE SAINT JOSEPH;750150120;1;35;1301;9371;;16.6;1;1;;16.4;1;0;;90.2
MCOAVC;2024;750000549;HOPITAL FONDATION A DE ROTHSCHILD;750150229;1;28;2068;8258;;9.9;1;1;;5.57;1;1;;50.88
MCOAVC;2024;750100042;GHU APHP NUP SITE LARIBOISIERE;750712184;1;33;1757;10807;;5.2;1;1;;5.2;1;1;;47
MCOAVC;2024;750100125;GHU APHP SUN SITE PITIE SALPETRIERE;750712184;1;32;1991;10259;;13.02;1;0;;13.02;1;0;;84.38
MCOAVC;2024;750100232;GHU APHP NUP SITE BICHAT C BERNARD;750712184;1;16;564;5181;;8.5;1;0;;8.5;1;0;;7
MCOAVC;2024;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;760780239;1;30;1387;9426;;2.7;0;1;;2.7;0;1;;70.36
MCOAVC;2024;760805770;HOPITAL JACQUES MONOD CH LE HAVRE;760780726;1;20;1035;6681;;7.89;;;;7.06;;;;33.71
MCOAVC;2024;770000446;CH DE MEAUX SITE SAINT FARON;770021145;1;26;661;8766;;3.11;1;0;;3.11;1;0;;0.92
MCOAVC;2024;780000287;CH FRANCOIS QUESNAY MANTES;780110011;1;18;653;5997;;2.22;;;;;;;;13.81
MCOAVC;2024;780000311;CHI POISSY ST GERMAIN SITE DE POISSY;780001236;1;12;405;4268;;3.95;0;1;;3.32;0;1;;13.11
MCOAVC;2024;780800256;CH DE VERSAILLES SITE ANDRE MIGNOT;780110078;1;24;705;5536;;4.5;1;0;;4.5;1;0;;21
MCOAVC;2024;790000087;CENTRE HOSPITALIER DE NIORT;790000012;1;20;931;6870;;6.13;0;1;;6.13;0;1;;35.79
MCOAVC;2024;800006124;CHU AMIENS SUD;800000044;1;30;1233;10104;;3.47;0;;;3.47;0;;;51.36
MCOAVC;2024;810000224;CL CLAUDE BERNARD ALBI;810000471;1;4;219;1187;5;;0;0;5;;0;0;;7
MCOAVC;2024;810000505;CH ALBI;810000331;1;6;429;1421;;1.2;0;1;;1.2;0;1;;2.99
MCOAVC;2024;810000521;CHIC CASTRES MAZAMET SITE AUTAN;810000380;1;4;318;672;;1.05;0;1;;1.05;0;1;;10.66
MCOAVC;2024;820000032;CH MONTAUBAN;820000016;1;6;672;2567;;0.87;0;1;;0.87;0;1;;19.85
MCOAVC;2024;830000345;CHITS CH SAINTE MUSSE;830100616;1;16;654;4533;;1.7;;;;1.7;;;;11.35
MCOAVC;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;1;10;277;1910;;7.6;1;0;;7.6;1;0;;25.4
MCOAVC;2024;840001861;CH D'AVIGNON HENRI DUFFAUT;840006597;1;17;827;7273;;1.68;0;1;;1.68;0;1;;29.26
MCOAVC;2024;850000142;CHD SITE LA ROCHE SUR YON;850000019;1;18;664;6135;;2.44;0;0;;2.03;0;0;;
MCOAVC;2024;860000223;CHU LA MILETRIE;860014208;1;20;1059;9048;;2.9;1;0;;1.4;1;1;;18.7
MCOAVC;2024;870000064;C H U DUPUYTREN LIMOGES;870000015;1;26;874;7921;;1.68;1;1;;1.68;1;1;0;51.39
MCOAVC;2024;880000021;CHI E.DURKHEIM - PLATEAU DE LA JUSTICE;880007059;1;16;629;5361;;8.6;1;;;8.6;1;;;30.8
MCOAVC;2024;900003039;HNFC SITE TREVENANS;900000365;1;4;356;4949;;2.9;0;1;;2.9;0;0;;2.35
MCOAVC;2024;910000306;CH D ORSAY;910110055;1;;273;3754;;2.22;;;;2.22;;;;
MCOAVC;2024;910020254;CH SUD FRANCILIEN SITE JEAN JAURES;910002773;1;43;1464;10267;;13.54;0;0;;10.01;0;0;;4.3
MCOAVC;2024;910026780;HOPITAL PARIS-SACLAY;910110055;1;29;361;4331;;2.1;;;;2.1;;;;9.81
MCOAVC;2024;920000650;HOPITAL FOCH;920150059;1;21;996;4953;;5;1;1;;5;;;;22.25
MCOAVC;2024;920100054;GHU APHP UPS SITE RAYMOND POINCARE;750712184;1;20;1022;6612;;6.29;1;1;;;1;1;;48.39
MCOAVC;2024;930000328;CH GENERAL DELAFONTAINE;930110051;1;26;992;9259;;14.08;1;0;;13.08;1;0;;64.4
MCOAVC;2024;930000336;CHI ROBERT BALLANGER;930110069;1;20;963;10047;;3.36;;;;3.36;;;;49.05
MCOAVC;2024;940100027;GHU APHP HM SITE HENRI MONDOR;750712184;1;23;857;7064;;12.4;1;1;;12.4;1;1;;56.34
MCOAVC;2024;940100043;GHU APHP UPS SITE KREMLIN BICETRE APHP;750712184;1;12;916;4766;;4.6;1;1;;4.6;1;1;;70.22
MCOAVC;2024;950000331;CH GENERAL DE GONESSE;950110049;1;38;1074;12119;;15.79;1;0;;15.11;1;0;;56.27
MCOAVC;2024;950000364;CH NOVO SITE RENE DUBOS;950110080;1;27;759;5843;;7.16;;;;;;;;
MCOAVC;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;1;11;727;5701;0;3;1;1;0;3;1;1;0;11.9
MCOAVC;2024;970211215;CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN;970211207;1;17;574;7164;;;1;1;;1.9;;;;11.44
MCOAVC;2024;970300026;CENTRE HOSPITALIER DE CAYENNE;970302022;1;3;271;625;0;2.51;;;0;1.67;;;0;25.95
MCOAVC;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;1;17;792;5655;;0.85;0;1;;0.25;0;1;;13.54
MCOAVC;2024;970400057;CHU SITE SUD (SAINT PIERRE);970408589;1;20;980;6244;;2;;;;2;;;;39.83
