BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;GARDED;ASTDED
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;13.59;;;;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;M1030;1.25;;1;0;0;0
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;M1140;1.62;;1;0;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;M2050;5.42;2;1;0;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;MIVG;0.18;;;;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;1.4;;;;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2340;3.46;;;;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2530;28.44;;;;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2700;0.34;;;;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2800;26.08;;;;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N280H;14.34;;;;;
PERINAT_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;14.38;;;;;
PERINAT_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;M1140;0.5;;0;0;;
PERINAT_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;M2050;1.16;;0;0;;
PERINAT_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;MAUT;0.66;;;;;
PERINAT_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;MIVG;1;;;;;
PERINAT_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2700;0.07;;;;;
PERINAT_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2800;1.03;;;;;
PERINAT_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;1.82;;;;;
PERINAT_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M2050;0;1;0;0;;
PERINAT_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1030;;14;0;1;;0
PERINAT_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1140;2.35;8;0;1;;
PERINAT_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;M2050;;11;0;1;;
PERINAT_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2340;1.86;;;;;
PERINAT_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2530;13.02;;;;;
PERINAT_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2700;2.6;;;;;
PERINAT_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2800;11.38;;;;;
PERINAT_P;2024;060780590;CLINIQUE DU PALAIS;060000270;M1030;;5;0;0;;
PERINAT_P;2024;060780590;CLINIQUE DU PALAIS;060000270;M2050;;3;0;0;;
PERINAT_P;2024;060780590;CLINIQUE DU PALAIS;060000270;MIVG;;2;;;;
PERINAT_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;N2340;1;;;;;
PERINAT_P;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;M1030;;5;1;;;
PERINAT_P;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;M1140;;7;1;;;
PERINAT_P;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;M2050;;22;1;;;
PERINAT_P;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;MAUT;44.04;;;;;
PERINAT_P;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;N2700;0.51;;;;;
PERINAT_P;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;M2050;;1;0;0;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1140;10.24;;1;;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M2050;5.31;;1;;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MAUT;0.27;;;;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2200;32.44;;;;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2340;37.77;;;;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2530;53.85;;;;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2700;2;;;;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2800;54.96;;;;;
PERINAT_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;NAUT;46.46;;;;;
PERINAT_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;M1140;1.05;;0;0;;
PERINAT_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;M2050;0.2;;0;0;;
PERINAT_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;N2530;0.8;;;;;
PERINAT_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;N2800;3.44;;;;;
PERINAT_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;NAUT;1.6;;;;;
PERINAT_P;2024;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;N2800;1.88;;;;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;M1140;0.35;;0;0;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;M2050;5.14;;0;1;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;N2200;2.41;;;;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;N2340;2.16;;;;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;N2530;12.65;;;;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;N2700;0.27;;;;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;N2800;8.68;;;;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;N280H;8.68;;;;;
PERINAT_P;2024;070000179;CH ARDECHE NORD;070780358;NAUT;7.77;;;;;
PERINAT_P;2024;070000195;CH DE TOURNON SUR RHONE;070780374;M1140;0.42;;0;;;
PERINAT_P;2024;070000195;CH DE TOURNON SUR RHONE;070780374;M2050;0.19;;;;;
PERINAT_P;2024;070000195;CH DE TOURNON SUR RHONE;070780374;N2530;6.48;;;;;
PERINAT_P;2024;070000195;CH DE TOURNON SUR RHONE;070780374;N2700;0.1;;;;;
PERINAT_P;2024;070000195;CH DE TOURNON SUR RHONE;070780374;N2800;5.3;;;;;
PERINAT_P;2024;070000195;CH DE TOURNON SUR RHONE;070780374;NAUT;1.46;;;;;
PERINAT_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;M2050;5;;;;;
PERINAT_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2200;0.49;;;;;
PERINAT_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2530;11.72;;;;;
PERINAT_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2700;0.1;;;;;
PERINAT_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2800;14.48;;;;;
PERINAT_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;NAUT;6.33;;;;;
PERINAT_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M2050;0.49;;0;0;;
PERINAT_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;MAUT;0.25;;;;;
PERINAT_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2800;3.42;;;;;
PERINAT_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;1.53;;;;;
PERINAT_P;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;M2050;0.01;;;;;
PERINAT_P;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;MIVG;0.01;;;;;
PERINAT_P;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2800;3.3;;;;;
PERINAT_P;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;NAUT;1;;;;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1030;;;1;0;1;0
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1140;0.97;;1;0;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M2050;6.11;;1;0;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;MAUT;13.49;;;;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2200;10.62;;;;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2340;11.57;;;;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2530;11.71;;;;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2800;20.19;;;;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N280H;13.26;;;;;
PERINAT_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NAUT;11.04;;;;;
PERINAT_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;M1140;3.57;;1;1;;
PERINAT_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;M2050;9.24;;1;1;;
PERINAT_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2200;2.49;;;;;
PERINAT_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2340;2.34;;;;;
PERINAT_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2530;1.73;;;;;
PERINAT_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2800;24.72;;;;;
PERINAT_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;NAUT;22.12;;;;;
PERINAT_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1030;;;1;;0;
PERINAT_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1140;0.4;;;1;;
PERINAT_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M2050;2.22;;;1;;
PERINAT_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;MIVG;2.22;;;;;
PERINAT_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2530;3.03;;;;;
PERINAT_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2800;7.47;;;;;
PERINAT_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N280H;7.47;;;;;
