BOR;AN;FI;RS;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALHYB;SAL24HYB;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15
BLOCS;2024;020000535;CH CHAUNY;020000287;1;3;;1;;;;;;1;;;;5;;;1;;;6;;;475;913;1388;917;;256;119;375;223;;6;0;6;6;;6;57;63;1;;654;720;1374;524;;0;1;1;0;
BLOCS;2024;020001061;CH CHÂTEAU-THIERRY;020004404;1;4;;1;;;;;;1;;;;6;;;1;;;6;;;1090;2613;3703;3212;1420;364;42;406;192;;44;0;44;1;;1;0;1;1;;1164;1071;2235;1042;604;2;29;31;1;
BLOCS;2024;020001087;CH HIRSON;020004495;0;0;;;;;;;;;;;;0;;0;;;;;;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;1;0;1;0;;0;0;0;0;
BLOCS;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;6;;0;;0;;0;;2;;1;;9;;;1;;;12;;;2631;5336;7967;6815;;0;0;0;0;;27;0;27;1;;88;284;372;63;;1295;5664;6959;4179;;7;91;98;64;
BLOCS;2024;030000061;CH DE MOULINS;030780092;1;5;;1;1;1;;;;1;;;;8;1;;1;;;12;;;2325;1337;3662;2600;1342;654;93;747;363;;312;0;312;7;1;114;30;144;95;0;1717;947;2664;1794;848;5;70;75;0;83
BLOCS;2024;030000079;CH DE MONTLUCON;030780100;1;3;;1;;1;;0;;2;;0;;7;;0;1;1;;8;2;;2752;1124;3876;3088;;705;101;806;327;;977;57;1034;0;;17;268;285;8;;1509;1160;2669;1383;;2;15;17;4;
BLOCS;2024;030000087;CH JACQUES LACARIN VICHY;030780118;3;6;0;1;1;2;0;0;0;3;0;0;0;12;1;0;3;0;0;14;0;0;4480;2590;7070;6086;;686;71;757;288;;1072;320;1392;1;;258;710;968;235;;2333;5898;8231;5631;;6;89;95;6;
BLOCS;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;1;5;;;;1;;;;1;;;;7;;;1;;;12;;;1994;6274;8268;7408;;3;7;10;10;;0;0;0;0;;2;47;49;0;;1044;2879;3923;2756;;3;314;317;0;
BLOCS;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;10;1;;;1;1;;;4;1;;;15;3;;1;1;;16;5;;2657;6038;8695;7123;;0;4;4;4;;40;0;40;0;;79;42;121;69;;1701;3155;4856;3997;;3;339;342;41;
BLOCS;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;1;8;;;;;;;;1;;;;9;;;1;;;15;;;2269;2655;4924;4424;;0;0;0;0;;3;0;3;0;;138;124;262;118;;959;3764;4723;3584;;4;3;7;5;
BLOCS;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;5;5;1;1;0;0;0;0;0;0;0;0;6;6;0;1;1;0;9;9;0;1807;985;2792;2129;;429;51;480;219;;50;4;54;4;;6;3;9;8;;691;1101;1792;888;;11;16;27;0;
BLOCS;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;4;4;1;1;0;0;0;0;1;1;0;0;6;6;0;1;1;0;7;7;0;1443;1261;2704;2341;744;207;36;243;115;0;0;0;0;0;0;0;0;0;0;0;649;2287;2936;1574;184;3;1;4;1;28
BLOCS;2024;040780470;CLINIQUE TOUTES AURES;040000192;1;3;0;0;;0;;0;;1;;0;;4;0;;1;;;6;;;378;4119;4497;3594;;0;0;0;0;;0;0;0;0;;1;54;55;1;;245;1920;2165;1415;;0;82;82;0;
BLOCS;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;1;6;0;0;0;0;0;0;0;2;0;2;0;10;0;0;1;0;0;17;0;0;2250;9489;11739;10594;;0;0;0;0;;0;0;0;0;;11;309;320;8;;430;4799;5229;3420;;2;78;80;13;
BLOCS;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;1;2;;1;;0;;2;;0;;0;;5;;1;1;;1;8;;2;1951;2421;4372;2767;;201;44;245;136;;0;0;0;0;;1;1;2;1;;523;1105;1628;1093;;7;13;20;0;
BLOCS;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;8;1;1;1;;;;;1;;;;10;2;;1;1;;12;12;;4368;2032;6400;5064;;627;148;775;397;;48;0;48;1;;0;2;2;0;;1627;1955;3582;2404;;3;61;64;3;
BLOCS;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;6;1;1;1;1;;1;;1;;;;10;2;1;1;1;1;9;9;9;3349;2864;6213;4407;;1402;158;1560;463;;61;0;61;0;;13;0;13;5;;1316;1429;2745;1759;;2;141;143;2;
BLOCS;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;2;5;0;1;1;2;1;0;0;1;0;1;0;10;2;0;1;0;0;12;0;0;4107;2211;6318;5207;74;723;136;859;378;0;1552;110;1662;218;0;78;77;155;66;0;1717;2657;4374;2071;81;3;8;11;1;0
BLOCS;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;5;;;;1;;;;1;;1;;8;;;1;;;6;;;3736;2550;6286;3627;;0;0;0;0;;2;0;2;1;;33;0;33;3;;369;813;1182;761;;24;2;26;1;
BLOCS;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;4;8;0;1;1;2;;;;2;;1;;14;1;;2;;;16;;;3753;4808;8561;3983;4684;944;161;1105;437;38;1421;9;1430;191;1;128;35;163;113;1;2602;2345;4947;2819;2796;24;161;185;0;930
BLOCS;2024;060002102;CH LA PALMOSA DE MENTON;060791761;1;3;1;0;0;0;0;0;0;1;0;1;0;5;1;0;1;0;0;6;0;0;963;996;1959;1772;547;0;8;8;8;;0;0;0;0;;1;2;3;1;;551;1922;2473;1618;71;1;59;60;0;
BLOCS;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;1;2;0;;;;;;;;;;;2;0;;1;;;2;;;961;1162;2123;1847;;0;0;0;0;;0;0;0;0;;0;0;0;0;;128;312;440;57;;3;51;54;3;
BLOCS;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;1;10;2;0;0;0;0;0;0;2;0;0;0;12;2;0;4;1;0;21;2;0;3675;18900;22575;20113;;0;6;6;6;;0;0;0;0;;17;107;124;9;;164;5517;5681;3019;;5;285;290;6;
BLOCS;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;1;6;;;;;;;;;;;;6;;;1;;;9;;;1317;7421;8738;7871;;0;0;0;0;;0;0;0;0;;0;0;0;0;;34;281;315;146;;2;14;16;0;
BLOCS;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;4;9;1;;;2;1;;;4;1;;;15;3;;4;1;;28;7;;4555;5408;9963;6768;;0;0;0;0;;2;5;7;7;;2523;312;2835;2473;;4357;9892;14249;8522;;169;129;298;78;
BLOCS;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;4;18;2;2;2;1;;;;3;;1;;25;4;;5;1;1;43;2;8;8347;18312;26659;23237;;165;71;236;235;;0;0;0;0;;346;97;443;369;;1491;12298;13789;8679;;15;227;242;36;
BLOCS;2024;060780590;CLINIQUE DU PALAIS;060000270;1;5;0;0;0;0;0;0;0;2;0;0;0;7;0;0;1;0;0;11;0;0;1759;3397;5156;4674;;0;31;31;31;;0;0;0;0;;13;109;122;12;;1076;5184;6260;4124;;3;26;29;6;
BLOCS;2024;060780715;CLINIQUE SAINT GEORGE;060000361;6;24;2;;;5;1;1;;2;1;1;;33;4;7;6;1;3;48;12;19;11163;24785;35948;31089;;2;50;52;51;;2722;132;2854;2558;;385;235;620;540;;3003;10677;13680;8358;;40;406;446;184;
BLOCS;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;3;7;7;;;2;2;;;2;2;;;11;11;;2;;;18;;;2903;9404;12307;11108;;0;0;0;0;;36;1;37;16;;32;96;128;21;;1469;9832;11301;5930;;10;78;88;80;
BLOCS;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;1;6;;2;;0;;;;1;;;;9;;;2;;;13;;;4785;5410;10195;6942;;868;230;1098;1073;;0;0;0;0;;0;9;9;0;;385;6213;6598;4498;;2;91;93;6;
BLOCS;2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;1;5;;;;;;;;;;;;5;;;1;;;8;;;2078;2560;4638;3826;;0;0;0;0;;0;0;0;0;;2;0;2;1;;404;329;733;180;;7;8;15;0;
BLOCS;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;3;6;2;;;;;;;2;;1;;9;2;2;2;;1;14;;3;2851;6298;9149;8664;;0;9;9;9;;0;0;0;0;;0;1;1;0;;681;6510;7191;3701;;0;49;49;14;
BLOCS;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;2;24;2;0;0;5;0;0;0;1;0;1;0;31;2;;3;1;0;39;6;0;15693;10383;26076;21219;10002;1;0;1;1;114;1455;130;1585;236;7;740;730;1470;1022;12;2016;895;2911;1447;8080;47;37;84;26;2739
BLOCS;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;6;0;0;;2;;0;;4;;;;12;0;;2;;;18;;;4118;2403;6521;4141;;2751;692;3443;1521;;9;4;13;0;;484;173;657;78;;2614;5549;8163;4405;;130;101;231;15;
BLOCS;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;0;4;0;0;137;6;143;9;;0;0;0;0;;0;0;0;0;;0;0;0;0;;196;33;229;46;;0;0;0;0;
BLOCS;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;1;2;1;;;3;1;1;;;;2;;8;2;;1;1;;10;5;;810;11;821;613;;0;0;0;0;;2653;178;2831;2322;;75;1;76;72;;95;0;95;40;;0;0;0;0;
BLOCS;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;2;11;3;;;2;;;;3;;1;;17;3;;2;1;;35;5;;5560;10039;15599;12472;;0;0;0;0;;17;0;17;0;;140;431;571;202;;3047;11800;14847;8947;;35;609;644;77;
BLOCS;2024;070000013;CH DE PRIVAS ARDECHE;070002878;1;3;1;;;3;;3;;1;;;;10;1;;1;1;;5;5;;1210;1428;2638;2245;;0;7;7;7;;0;0;0;0;;7;1;8;8;;742;1222;1964;1389;;1;38;39;37;
BLOCS;2024;070000179;CH ARDECHE NORD;070780358;1;4;;;;;;;;1;;;;5;;;1;;;9;;;1413;2542;3955;3033;;462;34;496;171;;82;1;83;3;;6;339;345;4;;715;1840;2555;1552;;2;17;19;0;
BLOCS;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;3;1;1;;;;;;1;;;;5;1;;1;;;6;;;2065;1444;3509;2900;;441;102;543;276;;43;0;43;0;;1;0;1;1;;761;602;1363;754;;2;22;24;2;
BLOCS;2024;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;1;4;;;;;;;;1;;;;5;;;1;;;8;;;1038;3152;4190;3664;;0;3;3;1;;0;0;0;0;;554;319;873;544;;257;3210;3467;2166;;0;13;13;1;
BLOCS;2024;070780424;CLINIQUE PASTEUR;070000245;1;12;;0;;1;;1;;1;;1;;16;;;1;;;20;;;4318;11064;15382;13238;;2;19;21;20;;73;0;73;1;;922;758;1680;1035;;985;1170;2155;1913;;25;80;105;33;
BLOCS;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;9;0;0;148;427;575;208;2440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;446;655;357;459;3;15;18;0;17
BLOCS;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;3;;0;;0;;0;;1;;0;;4;;;1;;;6;;;1396;1507;2903;2189;452;0;0;0;0;;0;0;0;0;;0;7;7;0;;425;1841;2266;1255;79;3;16;19;1;
BLOCS;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;2;6;2;2;1;2;;;;2;;;;12;3;1;1;;1;11;;6;5019;3585;8604;6857;6061;1287;130;1417;489;36;586;7;593;0;0;76;7;83;50;0;2633;2214;4847;2836;3021;15;31;46;3;238
BLOCS;2024;080010465;GCS TERRIT ARDEN NORD SITE CH SEDAN;080010242;1;;;;;;;;;;;;;;;1;;;1;;;2;0;194;194;173;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;385;385;244;;0;0;0;0;
BLOCS;2024;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;1;4;;;;1;;;;1;;1;;7;;;1;;;8;;;2068;6701;8769;8406;;0;0;0;0;;0;0;0;0;;26;0;26;25;;185;4193;4378;2806;;0;18;18;4;
BLOCS;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;6;;1;;;;;;2;;;;9;;0;1;;0;12;;0;2861;2834;5695;4051;;603;136;739;376;;3;0;3;1;;9;477;486;9;;1066;2621;3687;2142;;14;51;65;0;
BLOCS;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;3;1;;;;;;;;;;;3;1;;1;;;4;;;1159;1619;2778;2306;;126;20;146;54;;0;0;0;0;;0;0;0;0;;128;355;483;229;;1;28;29;26;
BLOCS;2024;100000082;CLINIQUE DU PAYS DE SEINE;100001148;1;4;4;;;;;;;1;;;;5;4;;1;1;;9;9;;329;1158;1487;1127;;0;1;1;1;;0;0;0;0;;0;0;0;0;;156;702;858;508;;0;2;2;0;
BLOCS;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;7;1;2;1;1;1;1;1;2;0;;;13;4;;1;1;;10;6;;4260;2217;6477;4845;2491;1682;224;1906;769;59;1124;92;1216;62;4;222;28;250;219;0;2143;1005;3148;1662;2798;6;62;68;0;824
BLOCS;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;1;10;;;;;;;;1;;;;11;;3;1;;1;17;;16;5051;9681;14732;13246;;0;0;0;0;;81;3;84;0;;217;406;623;222;;1323;4153;5476;3792;;15;119;134;49;
BLOCS;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;1;;0;2;2;0;0;0;0;1;1;0;0;3;3;;2;2;;3;3;;31;27;58;36;;285;41;326;134;;0;0;0;0;;0;0;0;0;;86;173;259;118;;1;1;2;0;
BLOCS;2024;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;1;5;;;;;;;;1;;1;;7;;;1;;;7;;;4222;9098;13320;11978;;2;12;14;7;;0;0;0;0;;3;64;67;0;;890;6121;7011;2945;;5;151;156;44;
BLOCS;2024;100013010;GCS PAYS DE SEINE - ET EXPLOITANT;100012996;1;4;4;;;;;;;1;;;;5;4;;1;1;;9;9;;280;1053;1333;1056;;0;0;0;0;;0;0;0;0;;0;0;0;0;;90;675;765;422;;0;0;0;0;
BLOCS;2024;110000023;CH CARCASSONNE;110780061;2;6;;1;1;;;1;;3;;;;11;1;;1;;;16;;;3729;1888;5617;4790;2820;991;209;1200;509;6;1328;61;1389;38;0;275;116;391;259;0;1675;2532;4207;2291;430;5;39;44;10;297
BLOCS;2024;110000056;CH NARBONNE;110780137;2;6;;1;;0;;0;;2;;;;9;;;1;;;12;;;3372;1775;5147;4769;;542;123;665;298;;66;0;66;2;;2;78;80;1;;1069;2946;4015;2262;;2;22;24;0;
BLOCS;2024;110000247;CH LEZIGNAN CORBIERES;110780772;1;0;;0;;0;;0;;1;0;0;;1;0;;1;0;;4;0;;2;1;3;1;;0;0;0;0;;0;0;0;0;;0;0;0;0;;85;609;694;382;;0;0;0;0;
BLOCS;2024;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;7;;;;;;;;2;;;;9;;;1;;;16;;;3818;8655;12473;10707;;0;0;0;0;;47;0;47;10;;739;489;1228;758;;1661;6543;8204;5186;;51;1164;1215;39;
BLOCS;2024;110780483;POLYCL MONTREAL CARCASSONNE;110000155;1;7;;;;;;;;1;;1;;9;;;1;;;10;;;3275;8575;11850;9995;;3;14;17;13;;7;0;7;0;;44;156;200;42;;1150;6396;7546;4782;;19;69;88;34;
BLOCS;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;8;1;1;1;2;1;;;3;1;;;14;4;;2;1;;19;15;;3728;3226;6954;5160;2797;932;91;1023;385;37;1304;23;1327;1;37;125;1380;1505;104;10;1901;3228;5129;3278;1829;4;39;43;27;381
BLOCS;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;5;1;1;1;0;;;;1;;0;;7;2;0;1;1;;11;11;;1713;3986;5699;4963;;219;54;273;123;;6;0;6;0;;0;0;0;0;;935;3017;3952;2526;;1;6;7;1;
BLOCS;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;1;;;;;;;;1;;;;2;;;1;;;2;;;8;58;66;4;;0;0;0;0;;0;0;0;0;;0;0;0;0;;1;37;38;21;;0;0;0;0;
BLOCS;2024;120004569;CH MILLAU;120004528;1;4;1;1;1;;;;;1;1;;;6;3;;1;1;;10;10;;1594;2559;4153;3356;;171;15;186;70;;24;1;25;0;;0;0;0;0;;556;2421;2977;1877;;0;0;0;0;
BLOCS;2024;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;1;1;1;1;;;;;;;1;1;3;3;2;1;;1;3;;2;92;766;858;741;;97;3;100;32;;0;0;0;0;;0;0;0;0;;83;501;584;352;;0;0;0;0;
BLOCS;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;3;12;;1;1;2;;;;2;;2;;19;1;;3;;;22;;;5911;5045;10956;8466;5832;1334;384;1718;849;1;2349;556;2905;84;5;201;24;225;178;;2739;2869;5608;3207;2765;13;170;183;5;1053
BLOCS;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;2;4;0;1;1;0;0;;0;1;0;0;0;6;1;0;1;0;0;5;0;0;1872;1786;3658;2561;;678;109;787;333;;0;0;0;0;;16;1;17;17;;955;1653;2608;1546;;0;3;3;3;
BLOCS;2024;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;4;1;2;1;;;;;2;1;1;;9;3;;1;1;;9;2;;1755;1246;3001;2557;;820;141;961;386;;27;0;27;0;;1;23;24;1;;896;2496;3392;1579;;4;2;6;0;
BLOCS;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;2;9;;;;;;;;3;;;;12;;;2;;;21;;;6646;4329;10975;7002;;0;0;0;0;;1;2;3;1;;144;0;144;100;;4707;5591;10298;7212;;210;5;215;82;
BLOCS;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;1;3;;0;;0;;0;;0;;0;;3;;;1;;;6;;;1215;909;2124;1793;1053;638;95;733;304;0;0;0;0;0;0;0;0;0;0;0;425;253;678;554;120;0;0;0;0;0
BLOCS;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;2;4;;1;1;1;;;;1;;1;;8;1;;1;;;6;;;2009;3846;5855;3479;;438;71;509;212;;105;1;106;0;;0;0;0;0;;1431;1964;3395;1939;455;1;7;8;0;1
BLOCS;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;2;5;1;1;1;;;;;1;;;;7;2;;2;1;;10;4;;3150;2212;5362;4102;50;508;226;734;716;;163;0;163;1;;5;324;329;5;;1486;2606;4092;2605;16;7;45;52;5;
BLOCS;2024;130008253;CLINIQUE DE VITROLLES;130001084;1;7;;1;1;;;;;;;;;8;1;;1;;;12;;;891;5255;6146;6146;;928;26;954;238;;0;0;0;0;;26;9;35;35;;6;171;177;176;;9;383;392;1;
BLOCS;2024;130041767;EUROMED CARDIO;130041262;1;0;;;;2;;;;;;;;2;;;1;;;2;;;37;0;37;17;0;0;0;0;0;0;1276;13;1289;1106;0;48;2;50;47;0;45;0;45;23;0;0;0;0;0;0
BLOCS;2024;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;1;1;0;0;0;2;2;0;0;0;0;4;0;7;2;;1;;;5;;;118;55;173;3;;0;0;0;0;;1132;19;1151;938;;5;0;5;5;;6;0;6;1;;0;0;0;0;
BLOCS;2024;130043664;HOPITAL EUROPEEN;130002157;1;23;;;;2;;;;6;;;;31;;;2;;;44;;;9785;16617;26402;21290;1651;5;6;11;11;0;52;1;53;12;0;810;449;1259;928;0;5284;18264;23548;13321;2832;131;836;967;122;243
BLOCS;2024;130044753;CLINIQUE MONTICELLI VELODROME;130810336;3;11;;;;;;;;;;1;;12;;;2;;;18;;;2054;19736;21790;21164;;0;0;0;0;;0;0;0;0;;2;2;4;4;;2;179;181;20;;1;444;445;0;
BLOCS;2024;130050917;GCS CLINIQUE JEANNE D'ARC;130050891;1;4;0;0;0;0;0;0;0;1;0;0;0;5;0;;1;0;;8;0;;1735;3028;4763;3547;;0;0;0;0;;0;0;0;0;;11;0;11;11;;301;4086;4387;2492;;0;2;2;0;
BLOCS;2024;130780521;APHM HOPITAL NORD;130786049;3;29;13;3;1;1;1;;;9;4;1;;43;19;;7;;;52;;;10849;7906;18755;15581;;1963;498;2461;1126;;2218;177;2395;67;;857;243;1100;552;;5698;6008;11706;6708;;193;91;284;40;
BLOCS;2024;130781370;CLINIQUE JEANNE D'ARC;130000532;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;;0;0;0;;;11;0;11;;;312;0;312;;;0;0;0;;
BLOCS;2024;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;4;13;13;0;0;3;3;0;0;2;1;1;0;19;17;6;3;2;1;36;5;18;4196;6036;10232;9151;;0;6;6;6;;1090;12;1102;882;;438;292;730;455;;1319;6723;8042;4630;;1;154;155;4;
BLOCS;2024;130781867;CLINIQUE DE LA CIOTAT;130000813;2;6;1;;;1;;;;2;;1;;10;1;;2;;;16;;;1129;6489;7618;5292;;0;0;0;0;;0;0;0;0;;1;62;63;0;;324;3024;3348;2121;;0;4;4;2;
BLOCS;2024;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;1;6;1;0;0;1;1;0;0;2;1;0;0;9;3;;1;0;;13;0;;1382;2368;3750;2861;;0;0;0;0;;823;178;1001;970;;454;85;539;464;;1163;4792;5955;3857;;0;0;0;0;
BLOCS;2024;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130000987;1;5;;0;;1;;0;;2;;;;8;;;1;;;12;;;1109;6606;7715;6762;;0;0;0;0;;4;0;4;0;;84;5;89;87;;591;5794;6385;3299;;0;81;81;66;
BLOCS;2024;130782675;CLINIQUE VIGNOLI;130001233;1;6;0;0;0;;0;0;0;1;0;1;0;8;0;;1;;;11;;;611;5113;5724;4756;;0;0;0;0;;0;0;0;0;;166;7;173;169;;450;4514;4964;2765;;0;80;80;2;
BLOCS;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;2;17;;3;1;2;;0;;2;;2;;26;1;;4;1;;29;7;;8927;3035;11962;9278;;1975;1013;2988;1680;;6;3;9;2;;152;3;155;51;;5171;4318;9489;2965;;77;348;425;6;
BLOCS;2024;130783293;APHM HOPITAL LA TIMONE;130786049;2;19;19;0;0;9;9;1;1;4;0;3;0;36;29;;3;1;;42;16;;15093;4616;19709;14354;;2;0;2;2;;3171;437;3608;885;;1947;724;2671;1593;;5501;3264;8765;3698;;210;206;416;85;
BLOCS;2024;130783327;CLINIQUE BOUCHARD;130001415;4;11;0;1;1;;;;;;;;;12;1;9;3;1;2;23;2;15;3456;9372;12828;10430;;494;135;629;567;;1;0;1;1;;32;516;548;91;;1357;10181;11538;6834;;4;212;216;15;
