BOR;AN;FI;RS;FI_EJ;PN_A1;PN_A2;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A76;PN_A77;PN_A25;PN_A24;PN_A26;PN_A27;PN_A28;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2024;010009702;USLD EMILE PELICAND;010780054;;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;15;14;4998;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010010171;CLINIQUE DE CHATILLON;920039690;0.1;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;0.08;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010780195;CLINIQUE CONVERT;010000156;0.5;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;;0;;;;0;;;;0;;;;
PN;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0.1;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;0.34;0.23;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;1;8;1;1;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010780294;NEPHROCARE CH BELLEY;690000278;0.02;0.11;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;0.2;0.15;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010780492;CRF ROMANS-FERRARI;360000707;0.2;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;0.18;0.22;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010789576;USLD;010780096;0.05;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000089;CH GUISE;020000022;0.1;0.1;1;0.1;0;0;0;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000097;CH LA FÈRE;020000048;0.7;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;0.33;0;0;;;;;0;0;;;;;;;;;0;;;0;;;1;0;1;1;1;38;22;0;;;;1;1;2;;;;;0.12;;;0.04;0.04;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000162;CH SAINT-QUENTIN;020000063;5.5;0.8;1;0.5;151;0;1;1;0;;;;;;;;;0;;;0;;;1;0;0;1;1;536;181;0;0;0;;7;1;3;3;;12;2;0.6;0.6;;11.52;2.03;0;;;;1;14;7;4860;0;;;;1;13;1179;1;1;0;;;;1;589;277;1;0;;;;
PN;2024;020000246;CH VERVINS;020000071;0.25;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1;0.5;0;;;;;0;0;;;;;;;;;0;;;0;;;1;0;1;1;1;396;119;1;3;3;;1;1;;;;;;0.5;0.5;;0.24;0.24;1;15;145;5323;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0.16;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;0.16;0.04;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000394;CH LAON;020000253;1.76;0;1;2;213;0;0;0;1;;3868;473;0;;1983;500;;0;;;0;;;1;0;1;1;1;356;241;0;;;;1;1;1;1;;;;0.16;0.16;;1;1;0;;;;0;;;;0;;;;1;19;1272;1;3.63;1;3.67;507;59;1;280;97;0.9;0;;;;
PN;2024;020000519;CH SOISSONS;020000261;1.8;1;1;1;384;0;1;0;0;;;;;;;;;0;;;0;;;1;0;1;1;1;270;190;0;4;;;;;;;;;;0.5;;;;;0;;;;0;;;;0;;;;1;40;834;1;0.7;1;3.3;245;53;1;2322;377;3.7;0;;;;
PN;2024;020000535;CH CHAUNY;020000287;0.1;0;0;;;;;0;0;;;;;;;;;0;;;0;;;1;0;0;0;1;111;89;0;;;;;;;;;;;0.03;0.03;;;;0;;;;0;;;;0;;;;0;;;1;1.6;1;0.11;413;54;1;311;249;0.52;0;;;;
PN;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;1;2;1;1;116;0;1;1;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;1.2;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020001061;CH CHÂTEAU-THIERRY;020004404;1;0.1;1;0.3;96;1;1;0;1;020000295;447;96;736;2766;116;78;1;0;;;0;;;1;0;0;0;1;81;80;0;;;;;;2;;2;2;1;0.4;;0.4;1;0.5;0;;;;0;;;;0;;;;1;15;4;0;;1;2.1;512;341;1;1463;276;2;0;;;;
PN;2024;020001087;CH HIRSON;020004495;0.3;0.2;1;1.25;39;1;0;0;0;;;;;;;;;0;;;0;;;1;0;1;0;1;130;70;0;;;;;;1;;;2;2;0.2;;;0.3;0.3;0;;;;0;;;;0;;;;0;;;0;;1;2.64;106;61;1;1508;331;1.1;0;;;;
PN;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;0.25;0.15;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020004297;HAD AMSAM SOISSONS;020005179;0.1;0.03;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;0;0;0;;;;;1;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;4920;820;3.82;0;;;;
PN;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;0.8;0.25;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;6.35;0;;;;0;;;;0;;;;
PN;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;0.2;0.15;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020010898;HAD CRF CHAUNY;750721334;0.05;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;0.1;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;020016341;SSR RENAISSANCE SOISSONS;750814030;1;0.5;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;030000012;CH DE NERIS LES BAINS;030780100;0.3;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;030000061;CH DE MOULINS;030780092;3.64;0.77;1;1.61;257;1;0;0;1;690029194;2274;95;1102;1656;121;567;2;0;;;0;;;1;1;0;1;1;508;261;1;0;0;0;1;0;2;2;0;2;2;0.6;0.6;0;1.89;0.89;0;;;;1;15;11;5447;0;;;;1;39;2655;1;3.83;1;2.97;412;0;1;2140;533;2.97;1;26;0;0;0
PN;2024;030000079;CH DE MONTLUCON;030780100;1.77;1.2;1;1.5;200;0;0;1;1;;638;100;0;0;39;70;1;0;;;0;;;1;1;0;1;1;428;234;0;2;2;;3;2;;;;;;0.4;0.4;;1.5;1;0;;;;0;;;;0;;;;1;12;1564;1;1.55;1;1.5;58;29;1;2599;552;2.8;0;;;;
PN;2024;030000087;CH JACQUES LACARIN VICHY;030780118;2.75;2.9;1;1.68;265;0;1;1;0;;;;;;;;;0;;;0;;;1;1;0;1;2;974;685;1;1;;1;10;3;3;3;;3;1;0.7;0.6;0.1;5.57;2.08;1;10;82;3625;0;;;;0;;;;1;18;929;1;0.65;1;1.78;2092;560;1;4540;832;1.78;0;;;;
PN;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;0.4;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;1.5;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;276;34;0.1;0;;;;
PN;2024;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;0;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.15;0;;;;0;;;;0;;;;
PN;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;0.5;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;12;4;5361;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;0;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;;0;;;;0;;;;0;;;;
PN;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;0.6;0.13;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.25;0;;;;0;;;;0;;;;
PN;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;1;0;;;;0;;;;0;;;;
PN;2024;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;;;0;;;;;1;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;1;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.5;0;;;;0;;;;0;;;;
PN;2024;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;0.04;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;3.1;0.3;1;3.1;368;0;0;;0;;;;;;;;;0;;;0;;;1;0;0;0;1;302;217;1;;;;;;1;;;1;1;0.4;0;0;1.5;0.5;0;;;;0;;;;0;;;;0;;;1;0.5;0;;;;0;;;;0;;;;
PN;2024;040000119;EPS LUMIERE DE RIEZ;040780231;;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;1;;;;1;;;;0;;;;
PN;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;4.36;0.3;1;2.17;152;0;0;1;1;;358;0;253;253;18;133;1;0;;;0;;;1;0;0;1;1;565;180;0;;;;1;1;2;1;;4;;0.51;0.5;;2.21;1;0;;;;0;;;;0;;;;0;;;1;1.05;1;3;389;98;1;289;429;1.56;0;;;;
PN;2024;040780389;CLINIQUE JEAN GIONO;040000150;0.4;0.11;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;040780405;CENTRE DES CARMES;040000168;0.1;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;14;2;5035;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;040780470;CLINIQUE TOUTES AURES;040000192;0.5;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;0.1;0.04;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;040780520;CLINIQUE LE VERDON;310025010;0.1;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;0.1;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1;10;36;2376;0;;;;1;4;2;1;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;0.1;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;0.2;0.08;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;1;5;1;1;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;0.2;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050000066;CENTRE MEDICAL LA SOURCE;050000082;0.01;0.3;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;0.2;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;1;0;1;1;1;1500;40;1;6;;6;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.1;0;;;;0;;;;0;;;;
PN;2024;050000132;CH BUECH DURANCE;050007145;0.7;0.7;1;2.3;123;1;1;1;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;1;2;208;2;1;870;190;0.1;0;;;;
PN;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;1;0.1;1;2.62;975;1;1;1;0;;;;;;;;;0;;;0;;;1;1;0;1;1;1480;673;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;;0;;;;1;7;285;0;;1;1.5;191;;1;447;164;0.5;0;;;;
PN;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;0.5;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;192;71;0.2;0;;;;
PN;2024;050000298;SSR LA GUISANE;050009067;0.55;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;2.7;1.6;1;2.5;388;1;0;1;1;050000132;733;78;29;68;138;148;3;0;;;0;;;1;1;0;1;1;1480;673;1;0;0;0;;;1;0;1;8;4;0.42;0;0.42;4.06;2.18;1;10;64;3660;1;12;11;4392;0;;;;1;14;1727;1;2.23;1;4.15;867;209;1;2322;482;2.2;0;;;;
PN;2024;050000454;LE FUTUR ANTERIEUR;050000645;0.13;0.04;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;050000678;0.22;0.11;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050000637;CLINIQUE MONTJOY;050001163;0.2;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050000991;CENTRE MEDICAL CHANT'OURS;050000546;0.92;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;2896;552;4.01;0;;;;
PN;2024;050001064;CENTRE MEDICAL LA DURANCE;050000561;0.05;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;050002351;CENTRE RHONE AZUR GAP;130037815;0.2;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;060000296;LA MAISON DU MINEUR;060780640;0.06;0.06;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;0.08;0.04;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;2.6;1;1;2.45;369;1;0;1;1;;2746;573;572;1562;2931;1570;3;0;;;0;;;1;1;0;1;1;559;255;1;;;;1;1;1;1;;1;1;0.5;0.5;;1.75;1.75;0;;;;0;;;;0;;;;1;8;611;1;3;1;0.4;475;193;1;6094;497;5.2;1;100;;0.2;
PN;2024;060000494;CH SAINT LAZARE DE TENDE;060780921;0.1;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;2.8;0.5;1;1.3;202;0;0;0;0;;;;;;;;;0;;;0;;;1;1;0;1;1;565;179;1;1;1;;2;1;;;;3;1;1;1;;3.26;1.38;0;;;;0;;;;0;;;;0;;;1;3.38;1;4.42;2812;200;1;1622;797;1;0;;;;
