"FI";"FI_EJ";"RS_ET";"AN";"LIT_MED";"LIT_CHI";"LIT_OBS";"LIT_MCO";"SEJHC_MED";"SEJHC_CHI";"SEJHC_OBS";"SEJHC_MCO";"JOU_MED";"JOU_CHI";"JOU_OBS";"JOU_MCO";"PLA_MED";"PLA_CHI";"PLA_OBS";"PLA_MCO";"SEJHP_MED";"SEJHP_CHI";"SEJHP_OBS";"SEJHP_MCO";"SEANCES_MED";"SPED";"UGER";"UNV";"USURV";"CAP_HC_GEN";"CAP_HC_INF";"CAP_HC_PEN";"CAP_HC_TOT";"SEJ_HTP_GEN";"SEJ_HTP_INF";"SEJ_HTP_PEN";"SEJ_HTP_TOT";"CAP_HDJ_GEN";"CAP_HDJ_INF";"CAP_HDJ_PEN";"CAP_HDJ_TOT";"VEN_HDJ_GEN";"VEN_HDJ_INF";"VEN_HDJ_PEN";"VEN_HDJ_TOT";"CAP_HDN_GEN";"CAP_HDN_INF";"CAP_HDN_TOT";"VEN_HDN_GEN";"VEN_HDN_INF";"VEN_HDN_TOT";"NB_CATTP_GEN";"NB_CATTP_INF";"NB_CATTP_TOT";"ACT_CATTP_GEN";"ACT_CATTP_INF";"ACT_CATTP_TOT";"NB_CMP_CONSULT_GEN";"NB_CMP_CONSULT_INF";"NB_CMP_CONSULT_TOT";"ACT_CMP_CONSULT_GEN";"ACT_CMP_CONSULT_INF";"ACT_CMP_CONSULT_TOT";"FIL_AMB_GEN";"FIL_AMB_INF";"FIL_AMB_PEN";"FIL_AMB_TOT";"FIL_TOT_GEN";"FIL_TOT_INF";"FIL_TOT_PEN";"FIL_TOT_TOT";"NB_USMP_1";"ACT_PEN";"NB_UHSA";"NB_SMPR";"NB_USMP_2";"LIT_SSR";"SEJHC_SSR";"JOUHC_SSR";"PLA_SSR";"JOUHP_SSR";"LIT_USLD";"ENT";"JOU_USLD";"PLATOT_HAD";"SEJ_HAD";"JOU_HAD";"FIL_HAD";"AUTGEN";"PASSU_GEN";"AUTPED";"PASSU_PED";"GEN";"PED";"ANT";"SAMU";"REA";"SEJ_REASI";"SEJ_SURV";"CPPR";"TYPE1";"SEJACC";"TYPE2";"SEJ_NEO";"TYPE3";"SEJ_REA";"TRT_HEMO_CENTRE";"SEAN_HEMO_CENTRE";"TRT_INSUFF_REN";"SEM_TRT_INSUFF_REN";"CHIMIO";"SEAN_CHIMIO";"RTH";"SEAN_RADIO";"CHIRCAR";"CARDIO_INT";"NEUROCHIR";"NEURO_INT";"GREFFE";"AMP";"PRIS";"EFFSAL_SPEMED";"EFFSAL_DT_MEDGEN";"EFFSAL_DT_URG";"EFFSAL_DT_ANESTREA";"EFFSAL_SPECHI";"EFFSAL_DT_GYNOBS";"EFFSAL_PSY";"EFFSAL_ODON";"EFFSAL_PHARMA";"EFFSAL_AUT";"EFFSAL_TOT";"EFFLIB_SPEMED";"EFFLIB_DT_MEDGEN";"EFFLIB_DT_URG";"EFFLIB_DT_ANESTREA";"EFFLIB_SPECHI";"EFFLIB_DT_GYNOBS";"EFFLIB_PSY";"EFFLIB_ODON";"EFFLIB_PHARMA";"EFFLIB_AUT";"EFFLIB_TOT";"ETPSAL_SPEMED";"ETPSAL_DT_MEDGEN";"ETPSAL_DT_URG";"ETPSAL_DT_ANESTREA";"ETPSAL_SPECHI";"ETPSAL_DT_GYNOBS";"ETPSAL_PSY";"ETPSAL_ODON";"ETPSAL_PHARMA";"ETPSAL_AUT";"ETPSAL_TOT";"EFF_INT";"ETP_INT";"EFFPNM_SAG";"EFFPNM_CAD";"EFFPNM_INFAVECSPE";"EFFPNM_INFSANSSPE";"EFFPNM_AID";"EFFPNM_ASH";"EFFPNM_PSYCHO";"EFFPNM_REEDU";"EFFPNM_SOINS";"EFFPNM_DIR";"EFFPNM_DIRSOI";"EFFPNM_AUTADM";"EFFPNM_EDU";"EFFPNM_DTSOC";"EFFPNM_PERSPHARMA";"EFFPNM_PERSLABO";"EFFPNM_PERSRADIO";"EFFPNM_AUTMEDTEC";"EFFPNM_TEC";"EFFPNM_TOT_HORS_SOINS";"EFFPNM_TOT_PNM";"ETPPNM_SAG";"ETPPNM_CAD";"ETPPNM_INFAVECSPE";"ETPPNM_INFSANSSPE";"ETPPNM_AID";"ETPPNM_ASH";"ETPPNM_PSYCHO";"ETPPNM_REEDU";"ETPPNM_SOINS";"ETPPNM_DIR";"ETPPNM_DIRSOI";"ETPPNM_AUTADM";"ETPPNM_EDU";"ETPPNM_DTSOC";"ETPPNM_PERSPHARMA";"ETPPNM_PERSLABO";"ETPPNM_PERSRADIO";"ETPPNM_AUTMEDTEC";"ETPPNM_TEC";"ETPPNM_TOT_HORS_SOINS";"ETPPNM_TOT_PNM";"BIOGENSPE";"MICROBIO";"HEMATO";"IMMUNO";"GENE";"ASSISTMED";"ANOTO";"PHARMA_A7";"PHARMA_B7";"PHARMA_C7";"PHARMA_D7";"PHARMA_E7";"PHARMA_A11";"PHARMA_A20";"PHARMA_A26";"NB_SCAN";"NB_IRM";"NB_CAM";"NB_TOMO";"NB_MAMM";"NB_LITHO";"NB_RADIO";"NB_VASC";"ACT_SCAN";"ACT_IRM";"ACT_CAM";"ACT_TOMO";"ACT_MAMM";"ACT_LITHO";"ACT_RADIO";"ACT_VASC";"SAL_INTERV";"SALTOT24";"SALAMBU";"ACT_BLOCS";"SURV_TOT";"POST_REVEIL"
"030000095";"030780126";"CH DE BOURBON L'ARCHAMBAULT";"2024";8;;;8;149;0;0;149;1963;0;0;1963;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;40;444;13297;6;153;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;2;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1,29;1,19;0;0;0;0;0;0;1;0;2,29;;;0;2;0;12;13;18;0;5;50;0;0;21;2;1;3;0;0;0;24;50;100;0;1,38;0;9,76;11,89;16,86;0;3,8;43,69;0;0;15,79;1,67;0,77;3,44;0;0;0;21,5;42,4;86,09;;;;;;;;8;;40;;181;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"040000036";"040780132";"HL DE BARCELONNETTE";"2024";5;;;5;79;0;0;79;744;0;0;744;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;10;119;3552;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;1;0;0;0;0;0;0;1;0;2;8;8;0;0;0;0;0;0;0;0;8;0,5;0,5;0;0;0;0;0;0;0,35;0;0,85;;;0;1;0;11;11;24;0;2;49;1;0;5;0;0;1;0;0;0;6;13;62;0;0,58;0;4,5;3,21;6,04;0;0,45;14,78;0,36;0;1,27;0;0;0,32;0;0;0;1,04;2,99;17,77;;;;;;;;5;;10;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"040000044";"040780140";"EPS DUCELIA DE CASTELLANE";"2024";4;;;4;116;0;0;116;911;0;0;911;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;70;2115;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0;9;18;17;0;0;45;0;0;4;0;0;0;0;0;0;8;12;57;0;0,11;0;3;1,81;1,79;0;0;6,71;0;0;1,43;0;0;0;0;0;0;0,52;1,95;8,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"040000119";"040780231";"EPS LUMIERE DE RIEZ";"2024";4;0;0;4;159;0;0;159;1106;0;0;1106;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;15;249;5078;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;3;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;1,48;1,48;0;0;0;0;0;0;1,07;0;2,55;;;0;2;0;9;6;3;0;2;22;1;0;3;0;0;2;0;0;0;17;23;45;0;1,16;0;9,5;6;3;0;1,71;21,37;1;0;3;0;0;1,25;0;0;0;16,5;21,75;43,12;;;;;;;;4;;15;;63;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"040000127";"040780249";"EPS VALLEE DE LA BLANCHE";"2024";4;;;4;80;0;0;80;793;0;0;793;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0;1;7;4;0;0;13;2;0;1;0;0;0;0;0;0;3;6;19;0;0,1;0;1;5,38;1,58;0;0;8,06;0,2;0;0,8;0;0;0;0;0;0;0,32;1,32;9,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"050000223";"050000108";"HL D'AIGUILLES";"2024";4;;;4;40;0;0;40;1158;0;0;1158;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;2;2;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0,12;0,12;0;0;0;0;0;0;0,1;0;0,22;;;0;1;0;6;11;7;0;0;25;1;0;5;1;0;1;0;0;0;17;25;50;0;0,1;0;1,58;3,79;5,37;0;0;10,84;0,58;0;0,83;0,08;0;0,12;0;0;0;4,89;6,5;17,34;;;;;;;;4;;;;71;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"050000256";"050000124";"CH D'EMBRUN";"2024";21;;;21;1555;0;0;1555;6400;0;0;6400;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;20;263;6469;0;0;30;21;10980;;;;;1;8642;0;;;;;;0;;;1;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;0;8;2;4;0;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;0;0;6,28;1,73;3,3;0;0;0;0;0;1;0,03;7,31;1;0,83;1;3;0;39;41;17;2;6;109;1;1;35;1;1;3;0;3;0;49;93;202;0,96;2,28;0;27,51;33,2;14,27;0,38;4,46;83,06;1;0,1;29,87;0,83;0,83;2,56;0;3,16;0;44,3;81,82;164,88;;;;;;;;21;;20;30;116;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;;
"040000135";"050002948";"CHIC DES ALPES DU SUD SITE DE SISTERON";"2024";20;;;20;2155;0;0;2155;7406;0;0;7406;1;;;1;2;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;15;181;4924;10;1606;;;;;;;;1;14993;0;;1;0;0;0;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;13;1;8;0;0;0;0;0;1;0;14;0;0;0;0;0;0;0;0;0;0;0;12,37;0,36;8,18;0;0,6;0;0;0;1,62;0,56;16,31;5;2,86;2;3;1;45;41;18;0;3;113;0;0;16;1;0;5;8;8;1;27;66;179;0,4;1,45;1,69;40,44;35,66;16,8;0;3,05;99,49;0;0;16,42;0,26;0;3,55;7,21;7,24;0,2;25,47;60,35;159,84;;;;;;;;24;0;15;0;53;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;;;;;;
"060001625";"060006889";"CENTRE JEAN CHANTON ROQUEBILLIERE";"2024";8;;;8;146;0;0;146;1594;0;0;1594;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;19;154;5337;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;3;0;0;0;0;0;0;1;1;5;1;1;0;0;0;0;0;0;0;0;1;2,24;2,24;0;0;0;0;0;0;0,5;0,05;2,79;;;0;2;0;11;9;6;1;3;32;1;0;2;0;0;2;0;0;0;1;6;38;0;1,54;0;9,03;8,67;3,05;0,09;1,24;23,62;1;0;1,12;0;0;0,43;0;0;0;1;3,55;27,17;;;;;;;;8;;19;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"060000163";"060780327";"HL ST MAUR ST ETIENNE DE TINEE";"2024";4;;;4;52;0;0;52;662;0;0;662;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;47;2069;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;4;0,65;0,65;0;0;0;0;0;0;0;0;0,65;;;0;1;0;7;15;6;0;1;30;1;0;6;0;0;0;0;0;0;14;21;51;0;0,41;0;2,05;2,87;1,21;0;0,25;6,79;0,14;0;0,89;0;0;0;0;0;0;3,02;4,05;10,84;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
