BOR;AN;FI;RS;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;UNIT;ETPSAL_MED;EFFLIB_MED;ETPSAL_INFSP;EFFLIB_INFSP;ETPSAL_INFNS;EFFLIB_INFNS;ETPSAL_AID;EFFLIB_AID;ETPSAL_KINE;EFFLIB_KINE;ETPSAL_APNM;EFFLIB_APNM
REA;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SIADU;14;4392;746;;;2340;;;;;6.9;;;;6.04;;6.6;;;;;
REA;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SITOT;14;4392;746;;;2340;;;;;;;;;;;;;;;;
REA;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;USICADU;8;2440;631;;;1981;;;;;;;;;;;;;;;;
REA;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;USIPADU;6;1952;115;;;359;;;;;;;;;;;;;;;;
REA;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SIADU;5;1839;117;;;595;;;;;0.42;;;;9.51;;7.65;;;;0.95;
REA;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SITOT;5;1839;117;;;595;;;;;;;;;;;;;;;;
REA;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;USIHADU;5;1839;117;;;595;;;;;;;;;;;;;;;;
REA;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;REAADU;8;2913;596;604;41;2439;9;42;114;;4.12;;;;21.12;;8.82;;0.6;;3.05;
REA;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;SIADU;12;4392;1121;;;2995;;;;;3.35;;;;17.14;;14.1;;;;2.4;
REA;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;SITOT;12;4392;1121;;;2995;;;;;;;;;;;;;;;;
REA;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;USICADU;8;2928;901;;;2040;;;;;;;;;;;;;;;;
REA;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;USINVADU;4;1464;220;;;955;;;;;;;;;;;;;;;;
REA;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;REAADU;8;2928;393;401;11;2383;10;40;64;;0;14;0.7;;14.52;;7.77;;;5;2.01;
REA;2024;060780715;CLINIQUE SAINT GEORGE;060000361;SIADU;8;;1350;;;2325;;;;;;;1;;4.8;;4.8;;;;2;
REA;2024;060780715;CLINIQUE SAINT GEORGE;060000361;SITOT;8;;1350;;;2325;;;;;;;;;;;;;;;;
REA;2024;060780715;CLINIQUE SAINT GEORGE;060000361;USICADU;8;;1350;;;2325;;;;;;;;;;;;;;;;
REA;2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;REAENF;5;1830;314;325;36;1174;13;;;;4.89;;7.55;;9.45;;10.67;;;;4.2;
REA;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;AUTSIADU;6;2196;365;;;2199;;;;;;;;;;;;;;;;
REA;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;REAADU;20;7320;1112;1498;458;7849;17;41;85;;9.55;;0.2;;46.2;;31.61;;3;;12.77;
REA;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SIADU;35;12810;2467;;;8404;;;;;3.81;;0.18;;50.72;;40.1;;2.36;;12.78;
REA;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SITOT;35;12810;2467;;;8404;;;;;;;;;;;;;;;;
REA;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;USICADU;10;3660;1295;;;3116;;;;;;;;;;;;;;;;
REA;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;USINVADU;8;2928;585;;;2447;;;;;;;;;;;;;;;;
REA;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;USIPADU;11;4026;222;;;642;;;;;;;;;;;;;;;;
REA;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;AUTSIADU;8;;492;;;2652;;;;;;;;;;;;;;;;
REA;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;REAADU;17;5885;665;699;41;4586;50;49;62;;9.84;;;;34.14;;24.21;;2.06;;11.74;
REA;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SIADU;48;;1094;;;10221;;;;;3.65;;;;35.57;;26.77;;1.06;;15.16;
REA;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SIPED;4;;44;;;290;;;;;0.83;;4.61;;4.57;;0.5;;;;7.4;
REA;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SITOT;52;;1138;;;10511;;;;;;;;;;;;;;;;
REA;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;USIHADU;26;;531;;;7449;;;;;;;;;;;;;;;;
REA;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;USIHPED;4;;44;;;290;;;;;;;;;;;;;;;;
REA;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;USIPADU;14;;71;;;120;;;;;;;;;;;;;;;;
REA;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;REAADU;8;2928;886;909;36;3024;11;26;231;;;;1;;17.44;;9.88;;;;3.21;
REA;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SIADU;8;2928;1220;;;3305;;;;;;;0.4;;7.4;;6.24;;;;1.34;
REA;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SITOT;8;2928;1220;;;3305;;;;;;;;;;;;;;;;
REA;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;USICADU;8;2928;1220;;;3305;;;;;;;;;;;;;;;;
REA;2024;070000179;CH ARDECHE NORD;070780358;REAADU;12;4392;603;626;31;3184;8;35;152;;3.31;0;0.87;0;20.43;0;14.12;0;0;0;2.54;
REA;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;REAADU;8;2920;212;214;9;1348;12;39;54;;1.05;;;;11.55;;9.97;;0.3;;4.09;
REA;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;AUTSIADU;1;365;53;;;274;;;;;;;;;;;;;;;;
REA;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;REAADU;10;3498;486;499;17;4091;27;46;61;;5.13;;;;37.57;;27.81;;1.71;;1.83;1
REA;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SIADU;20;6578;907;;;4506;;;;;1.05;;;;8.38;;7.17;;;;1.01;2
REA;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SITOT;20;6578;907;;;4506;;;;;;;;;;;;;;;;
REA;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;USICADU;12;4932;816;;;4138;;;;;;;;;;;;;;;;
REA;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;USIPADU;7;1281;38;;;94;;;;;;;;;;;;;;;;
REA;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;REAADU;8;3426;574;593;30;3158;5;33;136;;3;;;;20.04;;14.65;;;;0.78;
REA;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;AUTSIADU;6;;138;;;1786;;;;;;;;;;;;;;;;
REA;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SIADU;6;;138;;;1786;;;;;;;;;;;;;;;;
REA;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SIPED;;;0;;;0;;;;;5.02;;0.24;;10.06;;7.24;;0.81;;3.7;
REA;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SITOT;6;;138;;;1786;;;;;;;;;;;;;;;;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;REAADU;12;4380;561;585;27;3474;8;43;99;;4.94;;0;;26.44;;21.11;;0;;6.44;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SIADU;28;8582;1501;;;7633;;;;;3.03;;0;;28.97;;11.83;;0;;1.01;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SIPED;4;368;143;;;320;;;;;0;;0;;;;;;;;;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SITOT;32;8950;1644;;;7953;;;;;;;;;;;;;;;;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;USICADU;14;5110;1039;;;4608;;;;;;;;;;;;;;;;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;USIHADU;4;1460;78;;;1472;;;;;;;;;;;;;;;;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;USINVADU;4;1460;275;;;1162;;;;;;;;;;;;;;;;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;USIPADU;6;552;109;;;391;;;;;;;;;;;;;;;;
REA;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;USIPPED;4;368;143;;;320;;;;;;;;;;;;;;;;
REA;2024;110000023;CH CARCASSONNE;110780061;REAADU;8;2928;407;424;30;2337;1;42;42;;5.46;;0.67;;21.1;;13.31;;0;;0.35;
REA;2024;110000023;CH CARCASSONNE;110780061;SIADU;16;5840;1482;;;5367;;;;;1.77;;0.3;;24.42;;17.38;;;;;
REA;2024;110000023;CH CARCASSONNE;110780061;SITOT;16;5840;1482;;;5367;;;;;;;;;;;;;;;;
REA;2024;110000023;CH CARCASSONNE;110780061;USICADU;8;2920;820;;;2567;;;;;;;;;;;;;;;;
REA;2024;110000023;CH CARCASSONNE;110780061;USINVADU;8;2920;662;;;2800;;;;;;;;;;;;;;;;
REA;2024;110000056;CH NARBONNE;110780137;REAADU;8;2928;237;244;6;2398;3;39;12;;4.86;;;;18.04;;10.45;;;;1.49;
REA;2024;110000056;CH NARBONNE;110780137;SIADU;14;3904;1187;;;2571;;;;;2.19;;;;9.02;;5.23;;;;0.74;
REA;2024;110000056;CH NARBONNE;110780137;SITOT;14;3904;1187;;;2571;;;;;;;;;;;;;;;;
REA;2024;110000056;CH NARBONNE;110780137;USICADU;6;2196;677;;;1385;;;;;;;;;;;;;;;;
REA;2024;110000056;CH NARBONNE;110780137;USINVADU;4;1464;477;;;1076;;;;;;;;;;;;;;;;
REA;2024;110000056;CH NARBONNE;110780137;USIPADU;4;244;33;;;110;;;;;;;;;;;;;;;;
REA;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;REAADU;8;2928;580;588;40;2628;13;44;147;;6.06;;1.1;;22.27;;15.16;;0.56;;3.68;
REA;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SIADU;16;5856;1243;;;5035;;;;;6;4;1.61;;24.65;;14.83;;0.68;;3.38;
REA;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SITOT;16;5856;1243;;;5035;;;;;;;;;;;;;;;;
REA;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;USICADU;8;2928;660;;;2834;;;;;;;;;;;;;;;;
REA;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;USINVADU;8;2928;583;;;2201;;;;;;;;;;;;;;;;
REA;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;SIADU;8;488;61;;;357;;;;;1;;;;15.4;;6.72;;;;0.67;
REA;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;SITOT;8;488;61;;;357;;;;;;;;;;;;;;;;
REA;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;USIPADU;8;488;61;;;357;;;;;;;;;;;;;;;;
REA;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;REAADU;20;7299;979;993;116;5216;8;37;165;;13.78;;;;47.99;;30.14;;1.9;;3.13;
REA;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SIADU;24;8628;2783;;;6353;;;;;3.64;;;;41.04;;31.79;;0.92;;3.01;
REA;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SITOT;24;8628;2783;;;6353;;;;;;;;;;;;;;;;
REA;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;USICADU;16;5700;2094;;;4366;;;;;;;;;;;;;;;;
REA;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;USIHADU;4;1464;88;;;881;;;;;;;;;;;;;;;;
REA;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;USINVADU;4;1464;601;;;1106;;;;;;;;;;;;;;;;
REA;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;REAADU;8;2928;359;368;15;2169;27;44;75;;4.67;0;;;23.06;;15.64;;0;1;1.6;
REA;2024;130001225;HOPITAL DU PAYS SALONAIS;130782634;REAADU;8;2928;247;249;9;2742;4;43;41;;5.2;;;;27.3;;16.86;;0.5;;4.7;
REA;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;REAADU;10;3657;394;436;13;2903;21;42;26;;15.53;;1.5;;26.3;;12.25;;1.38;;6.02;
REA;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;SIADU;60;21922;1483;;;21887;;;;;22.11;;7.96;;76.72;;28.08;;;;11.79;
REA;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;SITOT;60;21922;1483;;;21887;;;;;;;;;;;;;;;;
REA;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;USIHADU;60;21922;1483;;;21887;;;;;;;;;;;;;;;;
REA;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;REAADU;9;3285;393;405;14;2871;9;42;70;;3.67;;;;19.67;;12.78;;;;2.48;
REA;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;SIADU;6;2190;703;;;1517;;;;;1.36;;;;5.11;;3;;;;1.36;
REA;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;SITOT;6;2190;703;;;1517;;;;;;;;;;;;;;;;
REA;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;USICADU;6;2190;703;;;1517;;;;;;;;;;;;;;;;
REA;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;REAADU;8;2928;319;326;14;3319;7;44;63;;5.16;;;;15.26;;11.71;;0.35;;4.44;
REA;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;SIADU;10;3660;521;;;1752;;;;;3.58;;0.25;;13.78;;12;;0.4;;4.09;
REA;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;SITOT;10;3660;521;;;1752;;;;;;;;;;;;;;;;
REA;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;USICADU;6;2196;498;;;1663;;;;;;;;;;;;;;;;
REA;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;USIPADU;4;1464;23;;;89;;;;;;;;;;;;;;;;
REA;2024;130041767;EUROMED CARDIO;130041262;SIADU;12;4392;1029;;;3623;;;;;;10;;;13.44;;10.34;;;;;
REA;2024;130041767;EUROMED CARDIO;130041262;SITOT;12;4392;1029;;;3623;;;;;;;;;;;;;;;;
REA;2024;130041767;EUROMED CARDIO;130041262;USICADU;12;4392;1029;;;3623;;;;;;;;;;;;;;;;
REA;2024;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;SIADU;16;5856;1111;;;3855;;;;;;;;;;;;;;;;
REA;2024;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;SITOT;16;5856;1111;;;3855;;;;;;;;;;;;;;;;
REA;2024;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;USICADU;16;5856;1111;;;3855;;;;;;;;;;;;;;;;
REA;2024;130043664;HOPITAL EUROPEEN;130002157;REAADU;20;7147;612;648;20;6047;12;45;110;;0.24;10;;;69.76;;42.34;;;;15.6;
REA;2024;130780521;APHM HOPITAL NORD;130786049;AUTSIADU;2;732;2527;;;839;;;;;;;;;;;;;;;;
REA;2024;130780521;APHM HOPITAL NORD;130786049;REAADU;39;14266;1773;1909;143;12418;16;39;123;;28.18;;8.38;;124.67;;63.91;;;;30;
REA;2024;130780521;APHM HOPITAL NORD;130786049;SIADU;14;5124;4404;;;3955;;;;;1.88;;1.76;;14.96;;11.29;;;;4.09;
REA;2024;130780521;APHM HOPITAL NORD;130786049;SITOT;14;5124;4404;;;3955;;;;;;;;;;;;;;;;
REA;2024;130780521;APHM HOPITAL NORD;130786049;USICADU;12;4392;1877;;;3116;;;;;;;;;;;;;;;;
REA;2024;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;REAADU;12;4380;360;385;10;2938;3;45;101;;;6;;;20.16;;16.53;;;1;1.25;1
REA;2024;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;SIADU;8;2920;841;;;2518;;;;;;37;;;9.14;;5.11;;;1;0.25;1
REA;2024;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;SITOT;8;2920;841;;;2518;;;;;;;;;;;;;;;;
REA;2024;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;USICADU;8;2920;841;;;2518;;;;;;;;;;;;;;;;
REA;2024;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;SIADU;12;4015;993;;;2890;;;;;;11;;;24.87;;16.63;;;1;1.52;
REA;2024;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;SITOT;12;4015;993;;;2890;;;;;;;;;;;;;;;;
REA;2024;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;USICADU;12;4015;993;;;2890;;;;;;;;;;;;;;;;
REA;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;AUTSIADU;8;;520;;;2928;;;;;;;;;;;;;;;;
REA;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;SIADU;12;;640;;;4392;;;;;1.46;;0.08;;22.67;;12.16;;;;3;
REA;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;SITOT;12;;640;;;4392;;;;;;;;;;;;;;;;
REA;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;USIHADU;4;;120;;;1464;;;;;;;;;;;;;;;;
REA;2024;130783293;APHM HOPITAL LA TIMONE;130786049;AUTSIADU;2;;3100;;;732;;;;;;;;;;;;;;;;
REA;2024;130783293;APHM HOPITAL LA TIMONE;130786049;REAADU;62;22678;3023;3201;328;19605;13;37;163;;21.46;;10.36;;190.63;;102.1;;;;19.5;
REA;2024;130783293;APHM HOPITAL LA TIMONE;130786049;SIADU;38;;5438;;;13372;;;;;5.81;;1.67;;49.06;;39.86;;;;5.41;
REA;2024;130783293;APHM HOPITAL LA TIMONE;130786049;SITOT;38;;5438;;;13372;;;;;;;;;;;;;;;;
REA;2024;130783293;APHM HOPITAL LA TIMONE;130786049;USICADU;20;;1311;;;7320;;;;;;;;;;;;;;;;
REA;2024;130783293;APHM HOPITAL LA TIMONE;130786049;USINVADU;16;;1027;;;5320;;;;;;;;;;;;;;;;
