BOR;AN;FI;RS;FI_EJ;PERSO;ETPS;NBLIB_MOY
HAD_P;2024;020010898;HAD CRF CHAUNY;750721334;NCOOR;0.83;
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;M3050;;31
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;M9999;0.8;31
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;MCOOR;0.8;
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2210;4.16;76
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2410;;23
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2510;24.09;
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2710;0.5;
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N9999;47.26;99
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;NAUT;12.45;
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;NCOOR;5.06;
HAD_P;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;NLIAI;1;
HAD_P;2024;030000061;CH DE MOULINS;030780092;M9999;0.91;
HAD_P;2024;030000061;CH DE MOULINS;030780092;MCOOR;0.91;
HAD_P;2024;030000061;CH DE MOULINS;030780092;N2120;0.8;
HAD_P;2024;030000061;CH DE MOULINS;030780092;N2210;;32
HAD_P;2024;030000061;CH DE MOULINS;030780092;N2510;2.95;
HAD_P;2024;030000061;CH DE MOULINS;030780092;N9999;11.91;32
HAD_P;2024;030000061;CH DE MOULINS;030780092;NAUT;0.8;
HAD_P;2024;030000061;CH DE MOULINS;030780092;NCOOR;3.68;
HAD_P;2024;030000061;CH DE MOULINS;030780092;NLIAI;3.68;
HAD_P;2024;030000079;CH DE MONTLUCON;030780100;M9999;0.5;
HAD_P;2024;030000079;CH DE MONTLUCON;030780100;MCOOR;0.5;
HAD_P;2024;030000079;CH DE MONTLUCON;030780100;N2120;0.4;
HAD_P;2024;030000079;CH DE MONTLUCON;030780100;N3120;0.25;
HAD_P;2024;030000079;CH DE MONTLUCON;030780100;N9999;7.22;
HAD_P;2024;030000079;CH DE MONTLUCON;030780100;NAUT;1.16;
HAD_P;2024;030000079;CH DE MONTLUCON;030780100;NCOOR;5.41;
HAD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;1.2;
HAD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;MCOOR;1.2;
HAD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;1;
HAD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2210;5.66;
HAD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;3.23;
HAD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N3120;0.3;
HAD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;12.49;
HAD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;2.3;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;1.72;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MAUT;1.72;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2120;0.1;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2210;9.52;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2510;4.83;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2710;0.53;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N3120;1;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;17.27;
HAD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;1.29;
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;0.1;0
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MAUT;0.1;0
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2120;0.5;
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2210;7.22;4
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2410;0;2
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2510;5.4;
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2710;0.25;
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N3120;0.1;
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N9999;14.39;6
HAD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;0.92;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;0.6;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;MCOOR;0.6;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;0.34;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2210;8.88;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2450;0.05;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2510;5.84;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2710;0.15;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N3120;0.1;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;16.47;
HAD_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;1.11;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;M9999;1;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;MCOOR;1;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;N2120;1;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;N2210;9.66;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;N2510;5.34;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;N2710;0.5;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;N3120;0.3;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;N9999;18.92;
HAD_P;2024;060006558;HAD ARNAULT TZANCK;060798865;NCOOR;2.12;
HAD_P;2024;060785243;HAD NICE & REGION;060001484;M3050;1.08;26
HAD_P;2024;060785243;HAD NICE & REGION;060001484;M9999;4.58;26
HAD_P;2024;060785243;HAD NICE & REGION;060001484;MCOOR;3.5;
HAD_P;2024;060785243;HAD NICE & REGION;060001484;N2120;0.43;
HAD_P;2024;060785243;HAD NICE & REGION;060001484;N2210;25.22;142
HAD_P;2024;060785243;HAD NICE & REGION;060001484;N2410;;21
HAD_P;2024;060785243;HAD NICE & REGION;060001484;N2510;17.76;
HAD_P;2024;060785243;HAD NICE & REGION;060001484;N2710;;2
HAD_P;2024;060785243;HAD NICE & REGION;060001484;N3120;5.36;
HAD_P;2024;060785243;HAD NICE & REGION;060001484;N9999;100.17;166
HAD_P;2024;060785243;HAD NICE & REGION;060001484;NAUT;43.16;1
HAD_P;2024;060785243;HAD NICE & REGION;060001484;NCOOR;7.24;
HAD_P;2024;060785243;HAD NICE & REGION;060001484;NLIAI;1;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;M9999;2.11;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;MCOOR;2.11;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2120;0.23;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2210;6.58;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2450;0.4;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2460;0.9;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2510;3.64;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N3120;1.06;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N9999;17.63;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;NAUT;3.82;
HAD_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;NCOOR;1;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;M3050;0.2;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;M9999;0.5;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;MCOOR;0.3;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2120;0.5;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2210;7;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2450;1;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2510;4;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2710;0.2;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N3120;0.2;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N9999;15.6;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;NAUT;1.7;
HAD_P;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;NCOOR;1;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;M3050;0.6;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;M9999;2.1;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;MCOOR;1.5;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2120;2;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2210;14;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2510;6;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2710;0.5;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N3120;0.6;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N9999;32.38;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;NAUT;5.48;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;NCOOR;2.8;
HAD_P;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;NLIAI;1;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;M9999;2.41;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;MCOOR;2.41;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2210;8.51;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2510;5.84;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2710;0.5;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N3120;0.6;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N9999;19.93;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;NAUT;3.48;
HAD_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;NCOOR;1;
HAD_P;2024;100007699;HAD GHAM;100006279;N2120;0.35;
HAD_P;2024;100007699;HAD GHAM;100006279;N2210;9;
HAD_P;2024;100007699;HAD GHAM;100006279;N2510;7;
HAD_P;2024;100007699;HAD GHAM;100006279;N3120;0.16;
HAD_P;2024;100007699;HAD GHAM;100006279;N9999;20.48;0
HAD_P;2024;100007699;HAD GHAM;100006279;NAUT;1.97;0
HAD_P;2024;100007699;HAD GHAM;100006279;NCOOR;2;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;M3050;0.5;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;M9999;1.5;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;MCOOR;1;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;N2120;1;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;N2210;8.5;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;N2510;8.25;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;N2710;0.5;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;N3120;0.5;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;N9999;24.75;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;NCOOR;4;
HAD_P;2024;100010578;GCS PATCS HAD;100010347;NLIAI;2;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;M9999;0.2;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;MCOOR;0.2;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N2120;0.5;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N2210;6.85;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N2710;0.01;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N3120;0.1;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N9999;8.81;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;NAUT;0.68;
HAD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;NCOOR;0.67;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;M9999;2.2;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;MCOOR;2.2;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2120;1;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2210;10.7;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2510;10.7;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2710;0.2;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N3120;0.2;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N9999;28.8;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;NAUT;2;
HAD_P;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;NCOOR;4;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;M9999;1.9;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;MCOOR;1.9;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;N2410;0.3;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;N2460;1;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;N2510;8.1;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;N2710;0.4;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;N3120;0.9;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;N9999;11.7;
HAD_P;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;NLIAI;1;
HAD_P;2024;120783618;HAD RODEZ;120784616;M3050;0.64;
HAD_P;2024;120783618;HAD RODEZ;120784616;M9999;1.92;
HAD_P;2024;120783618;HAD RODEZ;120784616;MCOOR;1.28;
HAD_P;2024;120783618;HAD RODEZ;120784616;N2120;1;
HAD_P;2024;120783618;HAD RODEZ;120784616;N2710;0.8;
HAD_P;2024;120783618;HAD RODEZ;120784616;N3120;0.8;
HAD_P;2024;120783618;HAD RODEZ;120784616;N9999;10.8;
HAD_P;2024;120783618;HAD RODEZ;120784616;NAUT;2.2;
HAD_P;2024;120783618;HAD RODEZ;120784616;NCOOR;6;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M3050;0.4;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M9999;1.85;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;MCOOR;1.45;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2120;1;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2210;4.53;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2510;1.6;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2710;0.5;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N3120;0.8;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N9999;10.57;
HAD_P;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;NAUT;2.14;
HAD_P;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;M9999;1.2;0
HAD_P;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;MCOOR;0.2;0
HAD_P;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2210;2.68;
HAD_P;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2510;1;
HAD_P;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2800;1;0
HAD_P;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N9999;5.08;
HAD_P;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;NAUT;0.8;
HAD_P;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;NCOOR;0.6;
HAD_P;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;M3050;1;
HAD_P;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;M9999;1;
HAD_P;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;N2210;4.99;
HAD_P;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;N9999;10.33;
HAD_P;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;NAUT;3.92;
HAD_P;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;NCOOR;1.42;
HAD_P;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;M9999;0.7;
HAD_P;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;MCOOR;0.7;
HAD_P;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2120;0.36;
HAD_P;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2210;2.83;
HAD_P;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2510;2.23;
HAD_P;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N9999;5.92;
HAD_P;2024;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;NAUT;0.5;
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;M3050;0.8;
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;M9999;1.6;11
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;MCOOR;0.8;11
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;N2210;;44
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;N2510;2;
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;N2710;0.11;
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;N3120;0.5;
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;N9999;9.91;44
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;NAUT;3.3;
HAD_P;2024;130021488;HAD BOUCHES DU RHONE EST SITE POLYSIAN;130021439;NCOOR;4;
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;M9999;2.5;
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;MCOOR;2.5;
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;N2210;;301
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;N2410;;68
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;N2450;;4
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;N2460;;2
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;N2510;5.4;
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;N3120;2;
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;N9999;34.1;375
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;NAUT;11.1;
HAD_P;2024;130021819;HAD CLARA SCHUMANN;130021769;NCOOR;15.6;
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;M3050;;3
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;M9999;0.59;3
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;MCOOR;0.59;
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2210;4.51;17
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2410;;3
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2510;4.73;
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2710;;1
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N3120;1;
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N9999;17.2;21
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;NAUT;4.95;
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;NCOOR;1.05;
HAD_P;2024;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;NLIAI;0.96;
HAD_P;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;M3050;0.5;
HAD_P;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;M9999;1.8;
HAD_P;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;MCOOR;1.3;
HAD_P;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;N2120;1;
HAD_P;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;N2450;0.1;
HAD_P;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;N3120;0.24;
HAD_P;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;N9999;5.34;
HAD_P;2024;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;NCOOR;3;
