BOR;AN;FI;RS;FI_EJ;PERSO;EFFLIB;ETPSAL;GAR;AST
BLOCS_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2310;;25.81;0;0
BLOCS_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2320;;19.54;0;0
BLOCS_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2510;;11.13;0;0
BLOCS_P;2024;020000162;CH SAINT-QUENTIN;020000063;NAUT;;52.81;0;0
BLOCS_P;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M100H;3;;;1
BLOCS_P;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M200H;25;;;1
BLOCS_P;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2200;;7.09;;1
BLOCS_P;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2320;;1.05;;1
BLOCS_P;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2510;;1.35;;
BLOCS_P;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;NAUT;;2.07;;
BLOCS_P;2024;020000394;CH LAON;020000253;M1030;;7.87;1;0
BLOCS_P;2024;020000394;CH LAON;020000253;N2200;;13.33;1;1
BLOCS_P;2024;020000394;CH LAON;020000253;N2310;;8.36;1;1
BLOCS_P;2024;020000394;CH LAON;020000253;N2320;;10.56;1;1
BLOCS_P;2024;020000394;CH LAON;020000253;N2510;;8.14;0;0
BLOCS_P;2024;020000394;CH LAON;020000253;NAUT;;5.22;0;0
BLOCS_P;2024;020000519;CH SOISSONS;020000261;M1030;;3.39;;
BLOCS_P;2024;020000519;CH SOISSONS;020000261;M200H;;6.38;;
BLOCS_P;2024;020000519;CH SOISSONS;020000261;N2200;;11.38;;
BLOCS_P;2024;020000519;CH SOISSONS;020000261;N2310;;9.88;;
BLOCS_P;2024;020000519;CH SOISSONS;020000261;N2320;;10.6;;
BLOCS_P;2024;020000519;CH SOISSONS;020000261;N2510;;8;;
BLOCS_P;2024;020000519;CH SOISSONS;020000261;N4160;;2;;
BLOCS_P;2024;020000519;CH SOISSONS;020000261;NAUT;;3.5;;
BLOCS_P;2024;020000535;CH CHAUNY;020000287;M100H;;0.27;0;1
BLOCS_P;2024;020000535;CH CHAUNY;020000287;M1030;;6.19;1;0
BLOCS_P;2024;020000535;CH CHAUNY;020000287;M200H;;1.29;0;1
BLOCS_P;2024;020000535;CH CHAUNY;020000287;N2200;;2.58;;
BLOCS_P;2024;020000535;CH CHAUNY;020000287;N2310;;0.83;1;
BLOCS_P;2024;020000535;CH CHAUNY;020000287;N2320;;3.96;1;
BLOCS_P;2024;020000535;CH CHAUNY;020000287;N2510;;4;;
BLOCS_P;2024;020000535;CH CHAUNY;020000287;N4160;;1.2;;
BLOCS_P;2024;020000535;CH CHAUNY;020000287;NAUT;;12.29;;
BLOCS_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;M100H;2;0.36;0;1
BLOCS_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;M1030;;2.15;1;0
BLOCS_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;M200H;6;2.38;0;1
BLOCS_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N2200;;12.98;;
BLOCS_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N2310;;11.88;;1
BLOCS_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N2320;;1;;1
BLOCS_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M100H;18;;0;1
BLOCS_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M1030;5;0;0;1
BLOCS_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M200H;24;0;0;1
BLOCS_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2200;;10.6;0;1
BLOCS_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2320;;3.66;0;1
BLOCS_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2510;;11.41;0;0
BLOCS_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N4160;;1.18;0;
BLOCS_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NAUT;;13.14;0;0
BLOCS_P;2024;030000061;CH DE MOULINS;030780092;M100H;;0.75;0;1
BLOCS_P;2024;030000061;CH DE MOULINS;030780092;M1030;;5.91;1;0
BLOCS_P;2024;030000061;CH DE MOULINS;030780092;M200H;;6.9;0;1
BLOCS_P;2024;030000061;CH DE MOULINS;030780092;N2200;;4.45;1;1
BLOCS_P;2024;030000061;CH DE MOULINS;030780092;N2310;;11.62;1;0
BLOCS_P;2024;030000061;CH DE MOULINS;030780092;N2320;;17.54;1;1
BLOCS_P;2024;030000061;CH DE MOULINS;030780092;N2510;;10.06;0;1
BLOCS_P;2024;030000061;CH DE MOULINS;030780092;NAUT;;3.35;0;0
BLOCS_P;2024;030000079;CH DE MONTLUCON;030780100;M1030;;5.96;1;
BLOCS_P;2024;030000079;CH DE MONTLUCON;030780100;N2200;;8.44;;
BLOCS_P;2024;030000079;CH DE MONTLUCON;030780100;N2310;;9.71;;
BLOCS_P;2024;030000079;CH DE MONTLUCON;030780100;N2320;;6.82;;
BLOCS_P;2024;030000079;CH DE MONTLUCON;030780100;N2510;;7.8;;
BLOCS_P;2024;030000079;CH DE MONTLUCON;030780100;N4160;;1.05;;
BLOCS_P;2024;030000079;CH DE MONTLUCON;030780100;NAUT;;1;;
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M1030;;9.43;1;0
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M200H;;23.49;0;1
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;;30.78;0;1
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2310;;19.26;0;1
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2320;;11.86;0;1
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;;13.42;0;0
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;;3.67;0;0
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N4160;;0.5;0;0
BLOCS_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;;11.54;0;1
BLOCS_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;M100H;5;;0;0
BLOCS_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;M1030;5;;0;1
BLOCS_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;M200H;27;;0;1
BLOCS_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2200;;12.73;0;1
BLOCS_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2320;;3.84;0;1
BLOCS_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2510;;3.07;0;1
BLOCS_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;N4160;;1;0;1
BLOCS_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;NAUT;;10.78;0;0
BLOCS_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M100H;13;;0;1
BLOCS_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1030;5;;0;1
BLOCS_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M200H;17;;0;1
BLOCS_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2200;;17.29;0;1
BLOCS_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2320;;3.1;0;1
BLOCS_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2510;;5.33;0;0
BLOCS_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N4160;;1;0;1
BLOCS_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;NAUT;;5.83;0;0
BLOCS_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;M100H;17;;0;0
BLOCS_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;M1030;4;;0;1
BLOCS_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;M200H;12;;0;1
BLOCS_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;N2200;;4.6;0;1
BLOCS_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;N2320;;10.1;0;1
BLOCS_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;N2510;;4.8;0;1
BLOCS_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;N4160;;1;0;1
BLOCS_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;NAUT;;1;0;0
BLOCS_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M100H;0;0.3;0;0
BLOCS_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M200H;0;2.04;0;1
BLOCS_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2200;0;7.92;0;0
BLOCS_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2310;0;10.12;0;0
BLOCS_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2320;0;5.9;0;0
BLOCS_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2510;0;0.73;0;0
BLOCS_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N4160;0;0.94;0;0
BLOCS_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;0;5.63;0;0
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M100H;;0.2;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M1030;;6.56;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M200H;;1.5;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2200;;7.39;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2310;;6.86;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2320;;5.7;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2510;;12.24;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4130;;;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4160;;1;0;1
BLOCS_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;;7.12;0;1
BLOCS_P;2024;040780470;CLINIQUE TOUTES AURES;040000192;M1030;2;;;1
BLOCS_P;2024;040780470;CLINIQUE TOUTES AURES;040000192;M200H;21;;0;0
BLOCS_P;2024;040780470;CLINIQUE TOUTES AURES;040000192;N2200;;8;0;1
BLOCS_P;2024;040780470;CLINIQUE TOUTES AURES;040000192;N2310;2;;;0
BLOCS_P;2024;040780470;CLINIQUE TOUTES AURES;040000192;N2320;;1;;1
BLOCS_P;2024;040780470;CLINIQUE TOUTES AURES;040000192;N4160;;1;;0
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M100H;2;;0;1
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M1030;10;;1;1
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M200H;33;;0;1
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2200;;10;0;0
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2310;5;1;0;0
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2320;;11;0;1
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2510;;1;0;0
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N4160;;3;0;1
BLOCS_P;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;NAUT;;7;0;0
BLOCS_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;M100H;;1.43;;
BLOCS_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;M1030;;3.2;;
BLOCS_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;M200H;;4.33;;
BLOCS_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2200;;7.15;;
BLOCS_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2310;;9.47;;
BLOCS_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2320;;8.03;;
BLOCS_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2510;;5.46;;
BLOCS_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;NAUT;;3.5;;
BLOCS_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M100H;;;1;0
BLOCS_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1030;;10.23;1;0
BLOCS_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M200H;;;0;1
BLOCS_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2200;;14.57;1;1
BLOCS_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2310;;21.69;1;1
BLOCS_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2320;;13.55;1;1
BLOCS_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2510;;15.69;1;0
BLOCS_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;;7.03;0;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M100H;0;0.5;;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1030;0;11.35;;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M200H;0;2.87;;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2200;0;13.09;;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2310;0;15.99;;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2320;0;10;;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2510;0;2.88;;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N4160;0;0.3;;
BLOCS_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;0;8.32;;
BLOCS_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1030;;9.89;1;0
BLOCS_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M200H;;25.3;0;1
BLOCS_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2200;;18.36;0;1
BLOCS_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2310;;15.65;0;1
BLOCS_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2320;;9.99;0;1
BLOCS_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2510;;7.74;0;0
BLOCS_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;;14.65;0;0
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M100H;;0.6;0;0
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1030;;5.09;0;1
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M200H;;3.1;0;1
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2200;;13.5;0;1
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2310;;11.35;0;1
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2320;;4.6;0;1
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2510;;9.31;0;1
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4130;;0.17;0;1
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4160;;0;0;1
BLOCS_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;NAUT;;4.19;0;0
BLOCS_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;M100H;;4.57;0;1
BLOCS_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;M1030;;6.02;;
BLOCS_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;M200H;;15.07;0;1
BLOCS_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;;29.06;1;1
BLOCS_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2310;;15.69;1;1
BLOCS_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2320;;10.75;0;1
BLOCS_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N2510;;13.1;1;0
BLOCS_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;;15.9;0;0
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;M100H;;1.72;0;0
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;M1030;;5.06;0;1
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;M200H;;8.39;0;1
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2200;;6.3;0;1
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2310;;6.13;0;1
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2320;;5.98;0;1
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2510;;7.02;0;1
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N4160;;1;0;
BLOCS_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;;1.56;0;0
BLOCS_P;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M100H;;0.21;0;0
BLOCS_P;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M1030;;2.18;0;0
BLOCS_P;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M200H;;2.1;0;1
BLOCS_P;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2200;;4.87;;
BLOCS_P;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2310;;4.27;;
BLOCS_P;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2320;;1.9;;
BLOCS_P;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2510;;3.49;;
BLOCS_P;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;NAUT;;0.28;;
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M100H;;2.3;0;1
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M1030;10;0;0;1
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M200H;;0;0;1
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2200;0;36.08;0;1
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2310;0;0;0;1
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2320;0;0.57;0;1
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2510;0;4.06;0;0
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N4160;0;2;0;1
BLOCS_P;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;NAUT;0;20.34;0;0
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;M100H;5;;0;1
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;M1030;4;;0;1
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;M200H;38;;0;1
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;N2200;;10;0;1
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;N2310;2;;0;0
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;N2320;;;0;1
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4130;;1;0;0
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4160;;1;0;0
BLOCS_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;NAUT;;6;0;0
BLOCS_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;M100H;19;;0;1
BLOCS_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;M1030;14;0.14;1;1
BLOCS_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;M200H;27;0;0;1
BLOCS_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;N2200;;30.86;0;1
BLOCS_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;N2320;;;0;1
BLOCS_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;N2510;;8.9;0;0
BLOCS_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;N4160;;2.58;0;1
BLOCS_P;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;NAUT;;4.74;0;0
BLOCS_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1030;14;;0;1
BLOCS_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;M200H;71;;0;1
BLOCS_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2200;;54.16;0;1
BLOCS_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2510;;11.28;0;0
BLOCS_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;N4160;;3.07;0;0
BLOCS_P;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;NAUT;;1;0;0
BLOCS_P;2024;060780590;CLINIQUE DU PALAIS;060000270;M100H;1;;0;1
BLOCS_P;2024;060780590;CLINIQUE DU PALAIS;060000270;M1030;6;;0;1
