BOR;AN;FI;RS;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A26;DIM_A27;DIM_A18;DIM_A19;DIM_A20;DIM_A28;DIM_A29;DIM_A30;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A31;DIM_A25;DIM_A32
INFOMED;2024;020000089;CH GUISE;020000022;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;020000162;2;;0.2;0.2
INFOMED;2024;020000097;CH LA FÈRE;020000048;;;1;;;;;;1;;;;;;;;;;;1;1;;;;;1;0;;0.2;;0.4;
INFOMED;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;;;1;;;1;;;1;;;;0;0;0;0;0;0;0;;;;;;;;1;020004495;0.25;;0.25;
INFOMED;2024;020000162;CH SAINT-QUENTIN;020000063;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4.5;0;1.6;1.6
INFOMED;2024;020000246;CH VERVINS;020000071;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;020004495;0.25;;0.1;
INFOMED;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;;;;;;;1;0;0;;;;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;;2.17;2.17;;
INFOMED;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;;0.5;;;
INFOMED;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;;;;;;;;;;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;;0.1;0.1;0.1;
INFOMED;2024;020000394;CH LAON;020000253;0;0;1;;;;0;0;1;;;;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;;4.47;;0.25;
INFOMED;2024;020000519;CH SOISSONS;020000261;1;1;0;;;;1;0;0;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;2.56;3;1.9;1.48
INFOMED;2024;020000535;CH CHAUNY;020000287;0;1;0;;;;0;0;1;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;020000162;3;;0.3;
INFOMED;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;020004404;2;;;
INFOMED;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;;;;;;;1;;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;;0.2;
INFOMED;2024;020001061;CH CHÂTEAU-THIERRY;020004404;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;3.17;3.17;0.8;0.8
INFOMED;2024;020001087;CH HIRSON;020004495;;;1;;;1;;;1;;;;0;0;0;0;0;;;1;1;0;;;;0;0;;2;;0.5;
INFOMED;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;;0.2;;0.1;
INFOMED;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;;1;;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;;1.01;;0.1;
INFOMED;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;;0.08;0;0.07;0.07
INFOMED;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;;;;;1;;;;;;;;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;;0.2;;0.05;0.05
INFOMED;2024;030000061;CH DE MOULINS;030780092;;1;;0;;;0;;;0;;;0;0;0;0;0;;;1;0;0;1;1;1;1;0;;7.06;;1.9;
INFOMED;2024;030000079;CH DE MONTLUCON;030780100;;1;;1;;;1;;;1;;;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;030780282;5.3;;2;
INFOMED;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1;;;1;;;1;;;1;;;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;;5.53;5.03;1.25;1.25
INFOMED;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;030000061;0.65;0.65;0.1;0.1
INFOMED;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;030780100;1;1;0.2;0.2
INFOMED;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;;;;;;;0;0;1;;;;0;0;0;0;0;;;;;;;;;;;;1.1;;0.1;
INFOMED;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;0;0;1;0;0;0;0;0;1;;;;0;0;0;0;0;;;0;0;0;0;0;0;1;1;030780092;1;;0.1;
INFOMED;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;0;0;1;;;;0;0;1;;;;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;;1.4;1.4;0;0
INFOMED;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;;1;;;;;;1;;;;;0;0;0;0;0;;;1;1;0;;;;1;0;;3;3;;
INFOMED;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;;2;;0.03;
INFOMED;2024;040000044;EPS DUCELIA DE CASTELLANE;040780140;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;;;;;;
INFOMED;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;0;1;0;0;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;1;1;1;0;0;0;0;0;;3;3;0.6;0.15
INFOMED;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;;;;;;1;;;;;;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;;;;;
INFOMED;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;0;1;0;;;;;;;1;0;0;0;0;0;0;0;0;0;;1;1;1;0;1;0;1;040780215;7.09;7.09;1;1
INFOMED;2024;040780389;CLINIQUE JEAN GIONO;040000150;;;;;;;1;0;0;;;;1;1;0;1;1;0;0;0;;;;;;0;0;;1;1;1;1
INFOMED;2024;040780405;CENTRE DES CARMES;040000168;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;;2;;0.2;0
INFOMED;2024;040780470;CLINIQUE TOUTES AURES;040000192;0;1;0;;;;;;;;;;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;;1;0;0.5;0
INFOMED;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;;;;;;;;1;;;;;1;1;1;1;1;1;1;;0;0;1;0;0;0;0;;;;;
INFOMED;2024;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;;;;;;;0;0;1;;;;0;;0;1;0;0;0;0;0;0;0;0;0;0;0;;0.6;0;;
INFOMED;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;1;0;;0.5;;0.5;
INFOMED;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;;;;;;;;1;;;;;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;1;;0.1;
INFOMED;2024;050000066;CENTRE MEDICAL LA SOURCE;050000082;;;;;;;;1;;;;;1;1;1;1;1;;;;1;1;1;1;1;0;0;;0.3;;0.1;
INFOMED;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;;3;;0.19;
INFOMED;2024;050000132;CH BUECH DURANCE;050007145;;;;;;;;;;1;;;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;;1.4;;0.2;
INFOMED;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;;;1;;;;;;;;1;;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;050002948;3;3;;
INFOMED;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;;1;;;;;;1;;;;;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;;1;;;
INFOMED;2024;050000298;SSR LA GUISANE;050009067;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;;0.8;;0.1;
INFOMED;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;;;1;;;1;;;;;;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;;9;5;1.2;0.6
INFOMED;2024;050000454;LE FUTUR ANTERIEUR;050000645;;;;;;;;;;;;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0.1;;0.06;
INFOMED;2024;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;050000678;0;0;0;0;0;;0;1;0;0;0;;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;050000637;CLINIQUE MONTJOY;050001163;;;;;;;0;0;1;;;;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;0.1;;0.2;
INFOMED;2024;050000991;CENTRE MEDICAL CHANT'OURS;050000546;;;;;;;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;;1;;;0.15
INFOMED;2024;050001064;CENTRE MEDICAL LA DURANCE;050000561;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;;0.1;;0.15;
INFOMED;2024;050008630;HJ L'ESCALE BRIANCON;050000116;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;050002948;3;3;0.4;0.4
INFOMED;2024;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;060780327;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;060785003;0;0;0;0
INFOMED;2024;060000296;LA MAISON DU MINEUR;060780640;;;;;;;;;1;;;;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0.5;0.5;;
INFOMED;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;;1;;1;;;1;;;1;;;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;;7.4;5;2;2
INFOMED;2024;060000486;CH SAINT ELOI DE SOSPEL;060780905;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;060785011;0;0;0;0
INFOMED;2024;060000494;CH SAINT LAZARE DE TENDE;060780921;0;1;0;;;;;;;;;;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;0;0;;;;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;;4.8;;1;
INFOMED;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;0;0;1;;;;;;;;;;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;;3;;0.6;
INFOMED;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;;;1;;;1;;1;;;1;;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;060785011;8.13;6.63;0.78;
INFOMED;2024;060002102;CH LA PALMOSA DE MENTON;060791761;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;;1.34;;0.67;
INFOMED;2024;060005469;L'OLIVERAIE DES CAYRONS;920030269;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;060010949;AGAHTIR UDM ANTIBES;060790540;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;;0.04;0.04;0.01;0.01
INFOMED;2024;060015328;LES AIRELLES;060015278;;;;;;;0;0;1;;;;0;0;0;1;1;0;0;0;;;;;;0;0;;0.14;;0.05;
INFOMED;2024;060021094;CLINIQUE VILLA ROMAINE;060024619;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;060021201;CENTRE DE CONVALESCENCE ATLANTIS;060000155;;;;;;;1;;;;;;0;0;1;1;1;0;0;0;;;;;;0;0;;0.1;;0.1;
INFOMED;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;;2;0;0.15;0
INFOMED;2024;060023694;HJ CERES;060023686;;;;;;;;1;;;;;1;1;1;1;1;0;0;0;;;;;;1;0;;0.15;;;
INFOMED;2024;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;060780962;0;0;1;;;;;;;;;;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;;3;;0.6;
INFOMED;2024;060025681;CTRE NEPHRO B.BRAUN AVITUM CAGNES/MER;920040862;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;0;0;1;1;1;1;0;;0.04;0.04;0.01;0.01
INFOMED;2024;060030079;VAL DES MIMOSAS;060030061;;;;;;;;;;1;0;0;0;0;1;1;1;0;0;0;;;;;;0;0;;;;;
INFOMED;2024;060780145;CLINIQUE SAINT DOMINIQUE;060000049;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;;0.8;;0.5;
INFOMED;2024;060780186;LES LAURIERS ROSES;060006939;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;;0.4;0.2;0.2;0.1
INFOMED;2024;060780277;CLINIQUE SAINTE BRIGITTE;920030269;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;060780343;E3S SAINT JEAN;060000171;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;060780517;;;0.06;0.06
INFOMED;2024;060780350;CLINIQUE LES HELLENIDES;310025010;;;;;;;0;0;1;;;;0;0;0;0;0;1;1;1;1;1;0;1;1;;1;310025010;;;;
INFOMED;2024;060780392;POLE ANTIBES SAINT JEAN;060000205;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;060780517;;;0.06;0.06
INFOMED;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;;1;;;;;;;;;1;;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;;2;1;;
INFOMED;2024;060780459;CLINIQUE ORSAC MONTFLEURI;010783009;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;;0.2;;0.1;
INFOMED;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;;2.07;2.07;0.09;0.09
INFOMED;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;;;1;;;;;;;;;;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;;8.62;;1.2;
INFOMED;2024;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;;;;;;;;;;1;;;1;1;1;1;1;0;0;;1;1;0;0;0;0;0;;0.5;;0.5;
INFOMED;2024;060780541;CLINIQUE LA GRANGEA;060000262;;;;;;;;;;;1;;0;0;1;1;1;0;0;0;;;;;;0;0;;0.2;;0;
INFOMED;2024;060780558;CLINIQUE FSEF VENCE;750720575;;;;;;;1;0;0;;;;0;0;0;1;1;0;0;0;;;;;;0;0;;0.5;0.5;0.05;0
INFOMED;2024;060780590;CLINIQUE DU PALAIS;060000270;0;;1;;;;;;;;;;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;;1;;0.2;
INFOMED;2024;060780665;CLINIQUE LE MERIDIEN;060000312;;;;;;;0;1;0;;;;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0;;0.92;;0.1;
INFOMED;2024;060780715;CLINIQUE SAINT GEORGE;060000361;;;1;;;;;;;;;;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;5;;0.4;
INFOMED;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1;;;;;;;;;;;;0;;1;1;1;0;0;1;0;1;0;0;0;0;0;;4;;0.2;
INFOMED;2024;060780749;CLINIQUE SAINT LUC;060000395;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;1;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;;4.5;;0.2;
INFOMED;2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;1;;;;;;;;;;;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;2.54;;1;
INFOMED;2024;060780996;CHS SAINTE MARIE;630786754;;;;;;;;;;;1;;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;;2.75;;;
INFOMED;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;;;1;;;;;;;;;;0;0;1;1;1;0;0;0;;;;;;0;0;;1;;0.2;
INFOMED;2024;060781374;INSTITUT POLYCLINIQUE DE CANNES;060000718;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0.65;0.65;0;0
INFOMED;2024;060781929;CLINIQUE DE LA COSTIERE;060000858;;;;;;;;;;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;;;;0.24;
INFOMED;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;060785243;HAD NICE & REGION;060001484;;;;;;1;;;;;;;0;0;0;0;0;0;0;;;;;;;;0;;0.2;0.2;0.2;0.2
INFOMED;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;7.64;;3.16;
INFOMED;2024;060789674;CENTRE HELIO MARIN;130037815;;;;;;;;;1;;;;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;;0.5;;0;
INFOMED;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;;
INFOMED;2024;060790862;CLINIQUE LE CALME;060001997;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;;1;1;1;;0;;0.6;;0.1;
INFOMED;2024;060791746;CLINIQUE DE L'ESTAGNOL;060024627;;;;;;;1;;;;;;0;0;1;1;1;0;1;1;1;1;1;0;0;1;0;;0.5;0.5;;
INFOMED;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;0;0;1;0;0;0;0;1;0;;;;1;0;0;0;0;0;0;0;;;;;;;0;;1.2;;0.78;
INFOMED;2024;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;0.13;0.13;0.03;0.03
INFOMED;2024;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;0.01;0.01;;
INFOMED;2024;060792926;CTRE NEPHRO B.BRAUN AVITUM ANTIBES;920040862;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;;0.04;0.04;0.01;0
INFOMED;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;;1.3;1.3;0.05;0.05
INFOMED;2024;060798881;MAISON DE CONVALESCENCE LA SERENA;060798873;;;;;;;1;;;;;;1;1;1;1;1;0;0;0;;;;;;0;0;;0.2;;0.2;
INFOMED;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;0;0;1;;;;0;0;1;;;;0;0;0;1;1;1;1;1;1;1;0;0;0;1;0;;4.76;;0.2;
INFOMED;2024;060800182;UNITE DE DIETETIQUE SOMEDI;060002912;;;;;;;;1;;;;;0;0;1;1;1;0;0;0;;;;;;0;0;;1;;0;
INFOMED;2024;070000013;CH DE PRIVAS ARDECHE;070002878;;1;;;;;;;;;;;0;0;0;0;0;0;0;;0;1;0;1;0;0;1;070000179;2.8;;0.2;
INFOMED;2024;070000039;CH DE VALLON PONT D'ARC;070780119;1;;;;;;1;;;;;;1;0;1;1;1;;;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;;1;;;;;;1;;;;;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;;0.1;;;
INFOMED;2024;070000062;CH DE BOURG SAINT ANDEOL;070005558;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;260000138;0.25;0.25;0.1;0.1
INFOMED;2024;070000070;CH DU CHEYLARD;070780150;0;0;1;0;0;0;0;0;1;;;;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;;0.4;0.4;0;0
INFOMED;2024;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;0;1;0;;;;0;1;0;;;;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;070000179;0.5;;0.15;
