BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;EFFLIB_PKT;ETPSAL_PKT;EFFLIB_MED;ETPSAL_MED;GAR_SEN;AST_SEN;EFFLIB_PNM;ETPSAL_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU
PSY;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;TOT;0;;;0;86;;;;;31390;22;;;869;27695;;;;;2647;;;;;;;;;;;;;614;;5;0;;0.43;;;6;35.69;26.56;4.95;1.92;;2.26
PSY;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;GEN;;5;;;231;76;0;0;5;86140;40;0;0;2394;78576;26014;0;0;1620;5513;0;0;7;25;4;47636;2776;8379;12671;2776;2274;8;8205;6460;;32.1;;;1;0;0;533.35;317.95;80.4;21.4;1.8;21.2
PSY;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;INF;;3;;;24;3;;;;7500;118;0;0;377;2565;178;;;0;8759;0;0;9;18;0;36036;1255;1;263;5;798;200;4062;3746;;10.6;;;1;0;0;184.87;92.4;5.5;26.6;8.8;24.3
PSY;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7831;;;;976;936;;2.6;;;;;0;44.9;34.9;3;5;0;0
PSY;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;TOT;1;;5;1;255;79;0;0;5;93640;158;0;0;2771;81141;26192;0;0;1620;14272;0;0;16;43;4;83672;4031;8380;20765;2781;3072;208;13036;10986;;45.3;;;;;0;763.12;445.25;88.9;53;10.6;45.5
PSY;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;GEN;;;;;60;;;;;21960;12;;;769;16622;;;;;4186;;;;;;;;;;;;;460;;5;;;;0;0;;84.4;32.66;22.64;1.38;;
PSY;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;INF;;;;;;;;;;;8;;;;;;;;;648;;;;;;;;;;;;;38;;;0.77;;;0;0;;4.76;1.52;0.97;0.88;;
PSY;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;TOT;0;;;0;60;;;;;21960;20;;;769;16622;;;;;4834;;;;;;;;;;;;;498;;5;0.77;;;;;;89.16;34.18;23.61;2.26;;
PSY;2024;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;GEN;;2;;;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;9610;0;0;3;1;4;9316;26640;3987;2799;81;2751;0;3179;3179;;2.5;;1;;;;103.65;88.87;;4.08;;1.05
PSY;2024;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;TOT;1;;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;9610;0;0;3;1;4;9316;26640;3987;2799;81;2751;0;3179;3179;;2.5;;1;;;;103.65;88.87;;4.08;;1.05
PSY;2024;030000061;CH DE MOULINS;030780092;GEN;;2;;;102;15;4;15;;37733;30;;3;826;32936;3479;0;2964;;6621;;1136;7;4;1;18991;1422;331;6492;1312;633;117;4050;3352;;9.19;;1.82;1;0;;177.03;126.77;37.64;4.25;3.53;4.83
PSY;2024;030000061;CH DE MOULINS;030780092;INF;;1;;;8;1;;;;2928;10;;;116;2611;1210;;;;3216;;;1;2;1;5378;223;278;854;63;276;158;667;570;;1.73;;1.2;1;0;;55.89;31.82;8.38;3.49;2.33;9.87
PSY;2024;030000061;CH DE MOULINS;030780092;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231;;;;15;14;;1.36;;0;;;;;;;;;
PSY;2024;030000061;CH DE MOULINS;030780092;TOT;1;;1;1;110;16;4;15;;40661;40;;3;942;35547;4689;0;2964;;9837;;1136;8;6;2;24369;1645;609;7577;1375;909;275;4684;3902;;12.28;;3.02;;;;232.92;158.59;46.02;7.74;5.86;14.7
PSY;2024;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;;2;;;85;8;;16;;31110;33;;;898;21008;349;;3976;;2612;;;3;;2;46027;;1369;12618;14223;988;1;2890;2178;;9.11;;;0;1;;159.92;104.13;19.75;8.05;;3.8
PSY;2024;030000087;CH JACQUES LACARIN VICHY;030780118;INF;;1;;;;4;;;;;10;;;;;202;;;;1195;;;5;;1;17199;;86;292;5;472;18;713;669;;0.56;;0.2;0;0;;35.86;8.11;;8.23;2.55;9.98
PSY;2024;030000087;CH JACQUES LACARIN VICHY;030780118;TOT;1;;1;0;85;12;;16;;31110;43;;;898;21008;551;;3976;;3807;;;8;;3;63226;;1455;12910;14228;1460;19;3766;3012;;9.67;;0.2;;;;195.78;112.24;19.75;16.28;2.55;13.78
PSY;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;GEN;;1;;;49;271;0;0;0;17934;0;0;0;290;13619;83063;0;0;0;0;0;0;6;1;1;6541;14082;325;629;637;0;0;908;570;0;4;0;4.2;0;1;0;235.07;49.56;20.06;1.98;1.41;7.47
PSY;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;TOT;1;;0;0;49;271;0;0;0;17934;0;0;0;290;13619;83063;0;0;0;0;0;0;6;1;1;6541;14082;325;629;637;0;0;908;570;0;4;0;4.2;;;0;235.07;49.56;20.06;1.98;1.41;7.47
PSY;2024;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;GEN;;2;;;46;;;;;16790;28;;;564;9644;;;;;5965;;;3;1;2;7600;0;6098;2182;2;740;;1377;935;;4.75;;0.5;;1;;96.3;60.99;8.4;2.65;0.8;2.06
PSY;2024;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;INF;;1;;;;4;;;;;12;;;4;;1001;;;;1903;;;3;1;1;3213;2835;429;;;;;599;493;;1.21;;;;1;;24.16;6.63;0;4.25;3.35;5.05
PSY;2024;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135;;;;;;;;;;;;;;;;;;
PSY;2024;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;TOT;1;;;1;46;4;;;;16790;40;;;568;9644;1001;;;;7868;;;6;2;3;10813;2835;6527;2317;2;740;;2011;1433;;5.96;;0.5;;;;120.46;67.62;8.4;6.9;4.15;7.11
PSY;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;;2;;;80;10;;;;29966;84;;;922;26612;1271;0;0;0;15406;;;5;1;;30568;1567;0;3244;287;1381;0;5353;4549;;14.68;;2.15;1;0;;211.95;120.92;46.09;12.54;;14.86
PSY;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;INF;;1;;;;;;;;0;47;;;0;0;0;;;0;2929;;;5;1;;11889;32;0;19;2;255;9;1491;1356;;3.93;;0;0;0;;79.01;32.76;;23.28;8.58;14.39
PSY;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;261;;;;;;;0.05;;0.03;;;;1.4;0.9;;0.5;;
PSY;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;TOT;1;;3;1;80;10;;;;29966;131;;;922;26612;1271;0;0;0;18335;;;10;2;;42457;1599;0;3524;289;1636;9;6783;5866;;18.66;;2.18;;;;292.36;154.58;46.09;36.32;8.58;29.25
PSY;2024;050000132;CH BUECH DURANCE;050007145;GEN;;1;;;68;12;18;;;24820;20;1;1;872;15737;444;4149;;;2629;0;392;5;;2;24751;;14096;4715;23;257;;3555;3342;;6.54;;7.15;1;1;;187.63;96.56;25.68;8.7;4.02;15.87
PSY;2024;050000132;CH BUECH DURANCE;050007145;INF;;1;;;8;4;;;;2920;23;;;305;1531;0;;;;5099;;;4;;6;11927;;9514;169;;307;120;1395;1216;;2.9;;1.68;1;1;;82.81;41.27;5.37;9.7;6.2;10.46
PSY;2024;050000132;CH BUECH DURANCE;050007145;TOT;1;;;1;76;16;18;;;27740;43;1;1;1177;17268;444;4149;;;7728;0;392;9;;8;36678;;23610;4884;23;564;120;4950;4558;;9.44;;8.83;;;;270.44;137.83;31.05;18.4;10.22;26.33
PSY;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;GEN;;1;;;12;;4;;;4252;12;2;2;268;3401;;1289;;;2287;54;20;1;1;1;9068;1079;2296;1295;630;1104;1;1076;824;;1.54;;0.38;0;1;;28.98;21.47;0.33;2.24;1;2.93
PSY;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;INF;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;32;;0;;0;0;1;;;;;;;
PSY;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;TOT;1;;3;0;12;;4;;;4252;12;2;2;268;3401;;1289;;;2287;54;20;1;1;1;9068;1079;2296;1295;630;1104;1;1043;856;;1.54;;0.38;;;;28.98;21.47;0.33;2.24;1;2.93
PSY;2024;050000454;LE FUTUR ANTERIEUR;050000645;INF;;;;;30;;;;;10950;;;;100;9329;;;;;;;;;;;;;;;;;;60;;;0.81;;0.4;0;;;24.6;9.42;6.16;1.91;0.49;6.36
PSY;2024;050000454;LE FUTUR ANTERIEUR;050000645;TOT;0;;;0;30;;;;;10950;;;;100;9329;;;;;;;;;;;;;;;;;;60;;;0.81;;0.4;;;;24.6;9.42;6.16;1.91;0.49;6.36
PSY;2024;050000991;CENTRE MEDICAL CHANT'OURS;050000546;GEN;;;;;40;;;;;14600;;;;289;11109;;;;;;;;;;;;;;;;;;289;;;2.68;;9.16;0;0;;33.39;14.8;3.97;1.63;3.18;0
PSY;2024;050000991;CENTRE MEDICAL CHANT'OURS;050000546;TOT;0;;;0;40;;;;;14600;;;;289;11109;;;;;;;;;;;;;;;;;;289;;;2.68;;9.16;;;;33.39;14.8;3.97;1.63;3.18;0
PSY;2024;050008630;HJ L'ESCALE BRIANCON;050000116;GEN;;1;;;0;0;4;0;0;;12;;;;;;1289;;;2287;;;1;0;1;703;;2293;;;;;1076;824;;1.28;;0.42;;;;23.47;17.62;0.17;2.38;1;2.3
PSY;2024;050008630;HJ L'ESCALE BRIANCON;050000116;TOT;1;;3;0;0;0;4;0;0;;12;;;;;;1289;;;2287;;;1;0;1;703;;2293;;;;;1076;824;;1.28;;0.42;;;;23.47;17.62;0.17;2.38;1;2.3
PSY;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;;1;;;33;;;;;11951;10;2;;389;11606;;;;;2314;3;;1;6;1;11669;1174;3103;3057;1191;1881;;1712;1438;0;6.77;0;0;;;0;65.81;43.05;7.54;5.6;0.6;3.03
PSY;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TOT;1;;;1;33;;;;;11951;10;2;;389;11606;;;;;2314;3;;1;6;1;11669;1174;3103;3057;1191;1881;;1712;1438;0;6.77;0;0;;;0;65.81;43.05;7.54;5.6;0.6;3.03
PSY;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;;2;;;67;;;;;24522;25;2;;685;22036;;;;;4269;6;;4;2;0;14354;6632;0;2575;262;2401;;3773;3233;;14.47;;;1;0;;137.87;71.27;23.93;10.66;1;4.46
PSY;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;INF;;1;;;;;;;;;20;0;;;;;;;;1210;;;10;1;1;14398;1339;2967;144;57;2801;172;1834;1782;;9;;;;;;53.98;13.48;0.98;16.25;4.37;11.31
PSY;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;TOT;1;;7;0;67;;;;;24522;45;2;;685;22036;;;;;5479;6;;14;3;1;28752;7971;2967;2719;319;5202;172;5527;4942;;23.47;;;;;;191.85;84.75;24.91;26.91;5.37;15.77
PSY;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;;2;;;58;;;;0;21138;25;;1;649;15298;0;0;0;0;1885;0;357;2;1;;12832;2181;0;1061;35;2548;0;2891;2372;;6.02;;;1;0;;104.99;55.64;24.64;7.72;0.22;5.01
PSY;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;INF;;1;;;;;;;;;10;;;0;0;0;;;0;1289;0;0;3;1;3;11060;14;4403;211;90;2561;50;1934;1901;;6.9;;;0;0;;54.62;14.15;;11.84;11.63;13.45
PSY;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;TOT;1;;2;0;58;;;;0;21138;35;;1;649;15298;0;0;0;0;3174;0;357;5;2;3;23892;2195;4403;1272;125;5109;50;4708;4167;;12.92;;;;;;159.61;69.79;24.64;19.56;11.85;18.46
PSY;2024;060030079;VAL DES MIMOSAS;060030061;GEN;;;;;;;;;;;30;;;;;;;;;3747;;;;;;;;;;;;;155;;;1.21;;;;;;4.41;0.83;1;0.6;0.5;0.4
PSY;2024;060030079;VAL DES MIMOSAS;060030061;TOT;0;;;0;;;;;;;30;;;;;;;;;3747;;;;;;;;;;;;;155;;;1.21;;;;;;4.41;0.83;1;0.6;0.5;0.4
PSY;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;GEN;;;;;61;;;;;22265;20;;;720;18770;;;;;4013;;;;;;;;;;;;;507;;3;;;0.2;0;1;;32.2;15.6;14;1.6;;1
PSY;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;TOT;0;;;0;61;;;;;22265;20;;;720;18770;;;;;4013;;;;;;;;;;;;;507;;3;;;0.2;;;;32.2;15.6;14;1.6;;1
PSY;2024;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;GEN;;;;;64;;;;;21288;;;;658;21588;;;;;;;;;;;;;;;;;;658;;3;;;;0;0;;;;;;;
PSY;2024;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;TOT;0;;;0;64;;;;;21288;;;;658;21588;;;;;;;;;;;;;;;;;;658;;3;;;;;;;;;;;;
PSY;2024;060780541;CLINIQUE LA GRANGEA;060000262;GEN;;;;;67;;;;;24455;;;;864;22152;;;;;;;;;;;;;;;;;;696;;4;;2;0.78;0;0;1;46.92;15.43;11.37;0.54;0.23;1.8
PSY;2024;060780541;CLINIQUE LA GRANGEA;060000262;TOT;0;;;0;67;;;;;24455;;;;864;22152;;;;;;;;;;;;;;;;;;696;;4;;2;0.78;;;1;46.92;15.43;11.37;0.54;0.23;1.8
PSY;2024;060780749;CLINIQUE SAINT LUC;060000395;GEN;;;;;49;;;;;17885;20;;;402;17149;;;;;3147;;;;;;;;;;;;;326;;6;;3;;0;0;1;17.06;10.16;4.5;0.96;0.24;0.2
PSY;2024;060780749;CLINIQUE SAINT LUC;060000395;TOT;0;;;0;49;;;;;17885;20;;;402;17149;;;;;3147;;;;;;;;;;;;;326;;6;;3;;;;1;17.06;10.16;4.5;0.96;0.24;0.2
PSY;2024;060780996;CHS SAINTE MARIE;630786754;GEN;;7;;;254;13;17;;;92964;154;;;1789;83938;1643;4912;;;21960;;;12;13;7;48211;4784;16604;7199;229;441;;8013;5410;;28.74;;13.64;0;1;;473.43;243.77;161.4;27.95;2.72;37.59
PSY;2024;060780996;CHS SAINTE MARIE;630786754;PEN;;;;;;;;;;;12;;;;;;;;;864;;;;;;;;;13501;;;;1356;977;;1.71;;;;;;15.43;10.06;0.42;2;;2.95
PSY;2024;060780996;CHS SAINTE MARIE;630786754;TOT;1;;4;1;254;13;17;;;92964;166;;;1789;83938;1643;4912;;;22824;;;12;13;7;48211;4784;16604;20700;229;441;;9271;6331;;30.45;;13.64;;;;488.86;253.83;161.82;29.95;2.72;40.54
PSY;2024;060781929;CLINIQUE DE LA COSTIERE;060000858;GEN;;;;;84;;;;;30660;20;;;791;27541;;;;;3405;;;;;;;;;;;;;624;;11;;;0.1;0;0;;31.83;19.43;10.71;0.64;0.25;0.8
PSY;2024;060781929;CLINIQUE DE LA COSTIERE;060000858;TOT;0;;;0;84;;;;;30660;20;;;791;27541;;;;;3405;;;;;;;;;;;;;624;;11;;;0.1;;;;31.83;19.43;10.71;0.64;0.25;0.8
PSY;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;;1;;;67;0;0;0;0;23268;25;0;0;565;21559;;;;;2706;;;1;1;;7342;3857;;682;53;2570;;3211;2706;;10.78;;0.1;1;1;;115.64;42.98;46.22;4.5;0.4;0
PSY;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOT;1;;0;0;67;0;0;0;0;23268;25;0;0;565;21559;;;;;2706;;;1;1;;7342;3857;;682;53;2570;;3211;2706;;10.78;;0.1;;;;115.64;42.98;46.22;4.5;0.4;0
PSY;2024;060800174;FONDATION LENVAL;060800174;INF;;3;;;18;;;;;6570;117;;;507;5421;;;;;13669;;;11;10;;54777;1958;;;5485;2290;;6708;6596;;18.45;;4.22;0;1;;244.5;72.8;23.86;44.5;21.71;34.34
PSY;2024;060800174;FONDATION LENVAL;060800174;TOT;1;;;0;18;;;;;6570;117;;;507;5421;;;;;13669;;;11;10;;54777;1958;;;5485;2290;;6708;6596;;18.45;;4.22;;;;244.5;72.8;23.86;44.5;21.71;34.34
PSY;2024;070005046;HDJ ADULTE GUILHERAND;260003264;GEN;;2;;;;;;;;;15;;;;;;;;;1989;;;4;0;1;16507;0;1009;240;15;4;1;2092;1896;;3.31;;;;;;21.17;14.64;0;3.76;0.8;0
PSY;2024;070005046;HDJ ADULTE GUILHERAND;260003264;INF;;1;;;;;;;;;;;;;;;;;;;;;2;0;1;4679;0;568;0;4;0;9;494;485;;0.75;;;;;;11.92;3.93;0;3.99;1.7;0
PSY;2024;070005046;HDJ ADULTE GUILHERAND;260003264;TOT;1;;0;0;;;;;;;15;;;;;;;;;1989;;;6;0;2;21186;0;1577;240;19;4;10;2383;2366;;4.06;;;;;;33.09;18.57;0;7.75;2.5;0
PSY;2024;070780317;CHS SAINTE-MARIE PRIVAS;630786754;GEN;;5;;;222;15;;;;80781;87;5;;2344;74828;3190;;;;14431;32;;7;13;4;38922;2120;6032;7006;3209;2845;;8241;6263;;14.81;;5.63;;;;416.63;229.37;96.52;18.51;2.22;18.48
PSY;2024;070780317;CHS SAINTE-MARIE PRIVAS;630786754;INF;;3;;;;;;;;;38;;;;;;;;;4518;;;7;;4;19335;;4425;1087;680;595;46;1945;1829;;5.07;;0.48;;;;65.92;35.31;;18.89;5.02;6.7
PSY;2024;070780317;CHS SAINTE-MARIE PRIVAS;630786754;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;948;;;;306;306;;0.4;;;;;;4.25;1.18;;2.47;;
PSY;2024;070780317;CHS SAINTE-MARIE PRIVAS;630786754;TOT;1;;4;0;222;15;;;;80781;125;5;;2344;74828;3190;;;;18949;32;;14;13;8;58257;2120;10457;9041;3889;3440;46;10492;8398;;20.28;;6.11;;;;486.8;265.86;96.52;39.87;7.24;25.18
PSY;2024;080000318;CH BELAIR;080000086;GEN;;4;;;177;4;18;;;68076;71;6;2;2166;52455;1032;2912;;;12482;0;1800;10;3;6;52027;3628;5834;8772;4968;603;12;6619;4219;;11.26;;4.3;0;1;;386.04;229.54;83.39;12.32;;4.06
PSY;2024;080000318;CH BELAIR;080000086;INF;;1;;;8;;;;;2928;45;;;147;1842;;;;;6894;;;4;1;5;15618;265;2623;76;575;1465;192;1662;1198;;2.8;;0.3;0;1;;91.75;56.06;4.4;8;2.4;15.23
PSY;2024;080000318;CH BELAIR;080000086;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35;;;0.35;;
PSY;2024;080000318;CH BELAIR;080000086;TOT;1;;5;1;185;4;18;;;71004;116;6;2;2313;54297;1032;2912;;;19376;0;1800;14;4;11;67645;3893;8457;8848;5543;2068;204;8151;5367;;14.06;;4.6;;;;478.14;285.6;87.79;20.67;2.4;19.29
PSY;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;GEN;;2;;;74;12;0;0;0;27010;30;5;;922;27245;431;;;;3083;1;;4;1;2;36608;1144;2777;1036;31;5168;0;5358;4775;;5.96;;0.24;0;0;;153.9;100.54;24.98;11.72;4.91;4.42
PSY;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;INF;;1;;;7;7;;;;2555;20;0;;99;2396;2027;;;;2626;;;3;1;1;15384;103;5;77;41;732;38;1232;1108;;3.13;;;0;0;;52.84;27.37;3;9.61;4.42;6.64
PSY;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2794;;;;304;304;;0.08;;;;;;1.66;1.5;;0.16;;
PSY;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;TOT;1;;1;1;81;19;0;0;0;29565;50;5;;1021;29641;2458;;;;5709;1;;7;2;3;51992;1247;2782;3907;72;5900;38;6439;5742;;9.17;;0.24;;;;208.4;129.41;27.98;21.49;9.33;11.06
PSY;2024;100000108;EPSMA;100000033;GEN;;4;;;103;2;;;;37698;66;;;957;37075;593;;0;;8670;;;6;0;6;16888;20;14117;2640;1932;3063;2;5746;4979;;12.08;;1.5;1;1;;296.28;152.96;82.91;14.04;2;7.26
PSY;2024;100000108;EPSMA;100000033;INF;;2;;;6;;;;;2196;36;;;248;2537;;;;;6680;;;7;0;8;14162;285;14786;1127;47;181;93;2942;2720;;7.15;;;0;0;;119.84;59.38;3.1;19.62;8.85;23.78
PSY;2024;100000108;EPSMA;100000033;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3899;;;;680;680;;0.2;;;;;;4.37;1.17;;3.19;;
PSY;2024;100000108;EPSMA;100000033;TOT;1;;;1;109;2;;;;39894;102;;;1205;39612;593;;0;;15350;;;13;0;14;31050;305;28903;7666;1979;3244;95;8571;7596;;19.43;;1.5;;;;420.49;213.51;86.01;36.85;10.85;31.04
PSY;2024;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;GEN;;1;;;49;1;5;;;20130;20;;;332;9417;366;846;;;4040;;;2;;;13075;;;488;;2345;;2163;1860;;3.01;;;0;1;;55.72;41.43;5;4.4;4.88;
PSY;2024;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;INF;;1;;;;;;;;;18;;;;;;;;;2606;;;2;;;10390;;;19;19;8252;67;1196;1089;;4.72;;;0;0;;37.08;16.81;0;8.51;4.84;6.92
PSY;2024;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;TOT;1;;2;0;49;1;5;;;20130;38;;;332;9417;366;846;;;6646;;;4;;;23465;;;507;19;10597;67;3328;2925;;7.73;;;;;;92.8;58.24;5;12.91;9.72;6.92
PSY;2024;110780152;CLINIQUE DE MIREMONT BADENS;110000064;GEN;;;;;74;;;;;27084;;;;374;26197;;;;;;;;;;;;;;;;;;327;;3;;4;;0;1;3;40.01;9.87;9.76;1.17;;
PSY;2024;110780152;CLINIQUE DE MIREMONT BADENS;110000064;TOT;0;;;0;74;;;;;27084;;;;374;26197;;;;;;;;;;;;;;;;;;327;;3;;4;;;;3;40.01;9.87;9.76;1.17;;
PSY;2024;110786324;USSAP;110786324;GEN;;4;;;200;;;;;62952;52;;;1582;51204;;;;;11135;;;7;;9;55504;;8133;10038;210;12115;9;7391;5999;;18.48;;2.74;0;1;;317.18;202.14;33.72;14.3;1.9;19.69
PSY;2024;110786324;USSAP;110786324;INF;;1;;;10;;;;;3660;20;;;140;2570;;;;;3155;;;3;;2;24628;;151;601;52;38;101;1377;1192;;4.67;;0.14;0;1;;72.63;38.82;4.84;9.31;4.51;7.66
PSY;2024;110786324;USSAP;110786324;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;5;4;;0.1;;;;;;;;;;;
PSY;2024;110786324;USSAP;110786324;TOT;1;;1;1;210;;;;;66612;72;;;1722;53774;;;;;14290;;;10;;11;80132;;8284;10644;262;12153;110;8601;7087;;23.25;;2.88;;;;389.81;240.96;38.56;23.61;6.41;27.35
