BOR;AN;FI;RS;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFLIB_PM;EFFLIB_GER;ETPSAL_PM;ETPSAL_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFLIB_INF;EFFLIB_AID;EFFLIB_ERG;EFFLIB_PMT;EFFLIB_APNM;ETPSAL_INF;ETPSAL_AID;ETPSAL_ERG;ETPSAL_PMT;ETPSAL_APNM
MCOGER;2024;030000079;CH DE MONTLUCON;030780100;1;144;0;144;0.5;1;27;0;861;0;11628;;;3.66;3.66;;;1;1;;;;;;9.53;12.39;;;4.81
MCOGER;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1;602;7;585;5.21;1;27;2;808;137;10775;;;3.57;3;0;0;0;0;;;;;;9.38;10.91;;;5.2
MCOGER;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;19;393;175;2.4;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;69;402;308;1.65;1;24;2;753;11;8579;;;5.54;2.26;0;0;1;1;;;;;;7.03;10.41;0;0;4.52
MCOGER;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;1;260;120;147;3.6;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;406;151;163;1.2;1;8;;180;0;2110;;;0.3;0.3;;;;;;;;;;4.6;4.68;;;2.22
MCOGER;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;4155;645;3534;4.25;1;30;4;824;261;10967;;;7.77;6.35;0;0;1;1;;;;;;22.14;16.11;1.1;;15.8
MCOGER;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;875;631;1190;7.2;1;33;;1278;0;14740;0;0;4.42;2.79;;;;;0;0;0;0;0;16.38;15.51;0;0;9.32
MCOGER;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;303;162;383;2.5;1;31;0;845;0;10671;;;2.95;1;0;;0;;;;;;;12.11;17.96;1.5;;10.89
MCOGER;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1901;135;1683;2.28;1;16;;534;0;6585;;;2.74;1.34;0;0;0;0;;;;;;6.34;8.24;;;4.3
MCOGER;2024;060002102;CH LA PALMOSA DE MENTON;060791761;1;173;0;173;1.13;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;552;0;182;2.2;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;1;953;1821;2197;9.04;1;50;;1852;0;17819;;;9.29;4.3;;;1;1;;;;;;41.2;40.07;1;;62.3
MCOGER;2024;070000013;CH DE PRIVAS ARDECHE;070002878;1;249;0;190;1.81;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;070000179;CH ARDECHE NORD;070780358;1;341;409;740;3.7;1;21;0;574;0;6933;;;23.54;5.8;0;;1;;;;;;;9.77;16.38;0;0;3.2
MCOGER;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;882;215;771;3.72;1;22;0;922;0;8667;;;1.03;1.03;;;;;;;;;;8.12;11.1;0.07;;5.17
MCOGER;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;0;;;;;1;30;1;691;161;9717;;;5.1;2.35;0;0;0;0;;;;;1;13.95;13.4;;;4.29
MCOGER;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;134;70;200;4.6;1;29;3;712;719;10495;;;4.71;2.89;0;0;1;1;;;;;;14.4;19.13;;;1.41
MCOGER;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;274;540;585;2.94;1;18;0;491;99;7030;;;3.19;1.6;0;0;1;1;;;;;;11.62;14.63;;;0.95
MCOGER;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;330;375;451;3.8;1;5;;170;0;1759;;;0.49;0.49;;;;;;;;;;0.05;1.46;;;1.49
MCOGER;2024;090001629;CHIVA SITE LAVELANET;090781774;0;;;;;1;23;0;377;0;6497;;;3.74;1;0;0;1;1;;;;;;9.14;13.21;;;2.52
MCOGER;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;180;0;180;1.74;1;30;;964;0;12215;;;3.06;3.06;0;0;0;0;;;;;;12.45;17.37;0.4;0;3.49
MCOGER;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;0;;;;;1;23;0;779;0;7856;;;5.79;;;;;;;;;;;10.81;12.53;0;0;1.48
MCOGER;2024;110000023;CH CARCASSONNE;110780061;1;2949;145;987;4.01;1;28;2;1190;397;10483;;;4.96;4.91;0;0;1;1;;;;;;14.22;18;0;0;2.3
MCOGER;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;0;;;;;1;10;;514;0;5549;;;2.5;1;0;0;1;1;;;;;;9.3;13.6;0;;8.15
MCOGER;2024;110000056;CH NARBONNE;110780137;1;341;138;449;3.31;1;25;0;924;0;8851;0;;2.45;2.45;;;1;1;;;;;;11.74;18.22;;;1.2
MCOGER;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1641;1842;1303;4.53;1;30;1;1063;199;11662;;;4.36;1.58;;;;;;;;;;21.29;18.1;0.52;;3.75
MCOGER;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;90;184;214;2.7;1;20;1;660;9;6609;;;1.5;0.8;;;;;;;;;;10.6;13.11;0.58;;1.4
MCOGER;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;40;53;26;0.24;1;10;0;45;;225;;;0.52;0.1;0;0;1;0;;;;;;5.17;8.7;0;0;0.62
MCOGER;2024;120000096;CHI ESPALION ST LAURENT D'OLT;120780101;1;120;173;254;1.9;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;120004569;CH MILLAU;120004528;1;221;126;307;2.1;1;15;0;483;0;4825;;;0.93;;0;0;1;1;;;;;;5.38;4.33;;;
MCOGER;2024;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;0;;;;;1;7;0;494;0;4428;;;1.3;;0;0;1;1;;;;;;11.32;12.33;;;0.3
MCOGER;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;1284;422;920;6.39;1;32;;1114;0;11948;;;3.95;2.15;0;0;0;0;;;;;;18.46;15.69;;;6.42
MCOGER;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;361;1120;388;2.91;1;27;0;962;0;8815;0;0;3.47;2.67;0;0;0;0;;;;;;13.49;16.4;;0.5;1.53
MCOGER;2024;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;1835;125;1099;4.09;1;28;;1187;0;10087;;;3.66;1.44;;;;;;;;;;8.38;10.14;;;3.9
MCOGER;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;514;0;426;3;1;28;;1139;0;11741;;;3.5;1;0;;0;;;;;;;11.25;15.23;;;1.33
MCOGER;2024;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;643;553;1059;4.86;1;16;0;723;0;5811;;;1.91;1.91;0;0;1;1;;;;;;9.75;9.05;;;4.88
MCOGER;2024;130043664;HOPITAL EUROPEEN;130002157;1;1037;;995;3.94;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;130780521;APHM HOPITAL NORD;130786049;0;;;;;1;25;2;678;154;7239;;;3.35;0.84;0;0;0;0;;;;;;13.17;12.58;;;3.41
MCOGER;2024;130781255;HOSPITALITE SAINT THOMAS DE VILLENEUVE;220020739;0;;;;;1;30;8;581;495;7650;;;3;3;0;0;1;1;;;;;;9.6;9.6;0;0;9
MCOGER;2024;130783293;APHM HOPITAL LA TIMONE;130786049;1;1927;345;1823;6.1;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;130786049;0;;;;;1;25;6;445;649;7712;;;10.68;1;0;0;0;0;;;;;;18.2;15.98;;;9.02
MCOGER;2024;130785652;HOPITAL SAINT JOSEPH;130014228;1;2351;689;2212;4.25;1;;3;0;449;0;;;3.59;;0;0;0;0;;;;;;8.66;;0.96;;5.82
MCOGER;2024;130786742;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;1;668;0;535;1;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;0;;;;;1;43;5;914;1085;12335;;;6.95;;;;;;;;;;;20.95;23.3;;;19.32
MCOGER;2024;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;;;;;1;25;1;972;171;10483;;;5.31;5.31;0;0;0;0;;;;;;17.14;33.15;;;17.43
MCOGER;2024;140000209;CHU CAEN;140000100;1;401;14;395;9.98;1;45;1;233;613;3641;;;9.46;7.27;0;0;0;0;;;;;;5.88;8.79;0;0;3.78
MCOGER;2024;140000233;CH FALAISE;140000118;1;103;237;340;4.65;1;12;0;267;12;4252;;;0.8;0.8;;;;;;;;;;9.41;10.6;;;3.55
MCOGER;2024;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;0;116;116;1.75;1;22;;643;0;7529;;;3;1.3;;;;;;;;;;9.81;12.3;0.03;;4.07
MCOGER;2024;140002452;CLINIQUE DE LA MISERICORDE;140025800;0;;;;;1;0;10;0;1928;0;;;26.97;1.9;0;0;1;0;;;;;;49.56;38.84;;;94.36
MCOGER;2024;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;0;;;;;1;10;0;244;1;2336;;;0.76;0.01;0;0;0;0;;;;;;3.21;6.34;0.16;;0.69
MCOGER;2024;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;1;0;88;88;1.1;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;150000032;CH DE SAINT-FLOUR;150780088;0;;;;;1;16;0;337;0;4439;;;1;1;0;0;1;1;;;;;;5.03;11.37;;;2.6
MCOGER;2024;150000040;CH HENRI MONDOR;150780096;1;160;68;228;0.14;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;704;0;619;2.58;1;32;5;1067;492;11196;;;3.35;2.54;0;0;1;1;;;;;;19.67;21.57;0.4;0;7.31
MCOGER;2024;160000303;CH HOPITAUX SUD-CHARENTE;160006037;1;191;171;331;3.43;1;21;;715;0;6252;;;2.52;1.7;0;0;0;0;;;;;;9.8;13.62;0;0;7.03
MCOGER;2024;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;1;413;19;368;2.81;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;160015368;HOPITAUX DU GRAND COGNAC;160014411;1;427;300;503;2.5;1;21;;525;0;7655;;;1.31;;;;;;;;;;;9.56;17.88;;;2.2
MCOGER;2024;170000038;CENTRE HOSPITALIER JONZAC;170780050;1;122;599;458;3;1;30;1;799;660;10670;;;6.18;3.8;0;0;1;0;;;;;;14.73;18.36;;;2.08
MCOGER;2024;170000079;CTRE HOSPITALIER ST-PIERRE D'OLERON;170780142;0;;;;;1;11;1;54;0;1043;7;0;0.9;0;0;0;0;0;0;0;0;0;0;3.8;3.5;0;0;2.5
MCOGER;2024;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;1742;4;1176;3.45;1;54;;862;0;11593;;;8;8;0;0;1;1;;;;;;26.73;33.13;;;9.32
MCOGER;2024;170000095;CENTRE HOSPITALIER ST JEAN D'ANGELY;170780175;0;;;;;1;15;0;333;0;5176;;;0.9;0.9;0;0;1;1;;;;;;6.43;8.13;0.13;;6.61
MCOGER;2024;170000103;CH DE SAINTONGE - SAINTES;170780175;1;530;115;759;3.2;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;1;282;302;450;1.78;1;20;;778;0;7195;;;1.2;1.2;0;0;1;1;;;;;;9.23;11.38;;;2.48
MCOGER;2024;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;1257;58;624;3.55;1;41;5;974;1029;13186;;;3;1;0;0;1;0;;;;;;19.77;21.06;0.8;;4.5
MCOGER;2024;180000010;CH BOURGES - JACQUES COEUR;180000028;1;;;;2;1;25;0;944;576;12576;;;3.7;2.6;0;0;1;1;;;;;;18.05;24.98;0.24;0.3;1.2
MCOGER;2024;180000200;CH DE VIERZON;180000051;1;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;180000283;CH SAINT AMAND-MONTROND;180000069;0;;;;;1;46;;1272;23;16095;;;4.43;4.43;0;0;1;1;;;;;;15.01;24.45;0.09;0;12.3
MCOGER;2024;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;2731;331;1991;15.11;1;43;0;1452;0;15704;;;8.49;8.49;;;;;;;;;;28.21;24.54;1.93;;23.3
MCOGER;2024;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;428;145;476;4.3;1;21;0;563;0;7196;;;2.91;2.91;0;0;1;1;;;;;;8.5;11.96;;;2.94
MCOGER;2024;190000091;CENTRE HOSPITALIER D'USSEL;190000075;1;313;39;352;1.47;1;5;1;118;1;1756;;;2.08;;;;;;;;;;;0.25;5.08;0.18;;1.4
MCOGER;2024;210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;210780581;1;449;195;449;3.35;1;60;10;1597;1357;21289;;;14.6;14.6;0;0;0;0;;;;;;37.91;39.5;0.5;;32.9
MCOGER;2024;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;945;358;776;2.8;1;20;;545;0;7078;;;2.35;;0;;0;;;;;;;12.34;10.8;;;4.31
MCOGER;2024;210987673;CH HCO SITE DE MONTBARD;210012142;1;136;519;779;2.22;1;5;2;211;266;2419;;;0.81;;0;;0;;;;;;;5.58;8.32;;;3.4
MCOGER;2024;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;2260;0;1560;3.9;1;40;0;1242;281;14540;;;8.03;5.74;;1;1;0;;;;;;23.8;23.07;0.15;;6.23
MCOGER;2024;220000095;GHRE- SITE DINAN RENE PLEVEN;350000022;1;871;439;912;3.74;1;0;3;129;200;1869;;;0.5;0.5;0;0;0;0;;;;;;3.82;5.14;;0.5;10.16
MCOGER;2024;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;1;433;;418;2.6;1;25;8;829;128;9607;;;2.66;;1;;;;;;;;;11.92;16.15;;;2.36
MCOGER;2024;220000368;CENTRE HOSPITALIER LANNION;220000103;1;348;;332;3.38;1;25;;719;0;8937;;;2.83;;0;;1;;;;;;;12.15;13.53;0.5;0;5.61
MCOGER;2024;220000541;CENTRE HOSPITALIER PAIMPOL;220000020;1;420;4;406;1.5;1;30;;834;0;9308;;;2.02;1.27;0;0;1;1;;;;;;14.58;17.91;;;6.31
MCOGER;2024;220001259;CENTRE HOSPITALIER TREGUIER;220000020;1;0;244;244;0.55;1;30;5;542;311;9075;;;2.1;0.95;0;0;1;1;;;;;;12.1;13.53;1.04;;7.25
MCOGER;2024;230000820;CENTRE HOSPITALIER GUERET;230780041;1;304;1;274;4.51;1;15;;468;0;5801;;;1.07;0;0;0;1;1;;;;;;6;8.55;0;0;1.58
MCOGER;2024;230004657;SITE CROIX BLANCHE;230780058;0;;;;;1;24;1;639;23;6144;;;1.6;;0;0;0;0;;;;;;9.14;14.91;;;7
MCOGER;2024;240000372;C.H DE BERGERAC;240000059;1;;;;2.9;1;20;0;482;4;6565;2;2;2.49;2.27;0;0;1;1;;;;;;14.93;14.4;;;5.07
MCOGER;2024;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;977;81;973;2.77;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;240000505;CENTRE HOSPITALIER DE RIBERAC;240016055;0;;;;;1;17;4;296;42;3949;;;1;;0;0;1;0;;;;;;8.6;13;0;0;3.5
MCOGER;2024;240000687;CENTRE HOSPITALIER SARLAT;240000448;1;;;;2.56;1;15;0;407;0;3684;;;2.16;0;;;;;;;;;;7.09;13.37;0;0;4.44
MCOGER;2024;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;1;272;385;534;5.27;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;4377;276;1430;11.41;1;40;4;884;646;14889;0;0;5.04;2.8;0;0;1;1;;;;;;21.36;25.44;0.97;0;19.01
MCOGER;2024;260000013;CH DE VALENCE;260000021;1;366;166;520;5;1;30;2;889;412;10736;;;2.6;1;;;;;;;;;;10.21;16.16;0.8;;6.01
MCOGER;2024;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;1;729;200;812;4.1;1;13;1;460;113;4644;;;2.54;1.2;0;;0;;;;;;;4.47;4.64;0.18;0;1.59
MCOGER;2024;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;384;9;307;3.66;1;30;;757;0;9773;;;3.42;3.42;0;0;1;1;;;;;;14.81;14.34;;;2.44
MCOGER;2024;270000045;CH BERNAY;270000060;1;0;109;142;1.8;1;11;0;360;0;3707;;;0.82;0.8;;;1;1;;;;;;4.81;6.61;;;0.17
MCOGER;2024;270000359;CH EURE SEINE EVREUX;270023724;1;822;0;707;2.5;1;10;1;73;42;829;;;3.65;2.72;0;0;1;1;;;;;;4.05;2.33;;;0.72
MCOGER;2024;270000367;CH GISORS;270000086;1;0;199;242;2.3;1;10;;391;0;3455;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;1.68;0;0.26;0;0.3
MCOGER;2024;270000391;CH LOUVIERS CHI ELBEUF;760024042;0;;;;;1;15;;517;0;5832;;;2;2;0;;1;;;;;;;18.01;24.26;;;10.39
MCOGER;2024;270000425;CH PONT-AUDEMER;270000102;0;;;;;1;10;;110;0;2076;;;9.13;;;;;;;;;;;48.34;45.06;1.87;0.43;55.5
MCOGER;2024;270000458;CH VERNON CH EURE-SEINE;270023724;1;359;0;292;1.5;1;22;0;783;0;7539;;;5.1;3.3;0;0;1;0;;;;;;10.08;16.63;;;1.86
MCOGER;2024;280000084;CH DREUX;280000183;1;833;;683;2.5;1;66;;2210;0;19840;;;8.28;2.87;0;0;1;1;;;;;;22.28;30.09;;;9.43
MCOGER;2024;280000662;CH CHATEAUDUN;280500075;0;;;;;1;30;;671;0;10010;;;2.76;;;;;;;;;;;8.4;12.73;;;3.69
MCOGER;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;861;155;743;4.14;1;49;2;987;294;16868;;;4.28;3.68;0;0;1;1;;;;;;18.11;23.68;0;0;12.89
MCOGER;2024;290000025;CHIC QUIMPER;290020700;1;1055;167;1073;4.02;1;24;6;488;862;8430;;;4.84;4.84;0;0;0;0;;;;;;11.15;18.63;;;6.02
MCOGER;2024;290000033;C.H. DES PAYS DE MORLAIX;290021542;1;857;418;1224;6.07;1;25;0;733;6;9294;;;3.63;1.76;0;0;0;0;;;;;;13.68;15.72;1;0;8.78
MCOGER;2024;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;0;;;;;1;30;;361;0;5009;;;0.5;0.5;0;0;0;0;;;;;;13.07;12.37;;;3.63
MCOGER;2024;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;0;;;;;1;14;0;502;0;4602;;;;;;;;;;;;;;6.44;8.67;;;2.38
MCOGER;2024;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;1;276;51;275;1.5;1;24;8;563;215;6964;;;3.77;1.46;0;0;0;0;;;;;;13.17;16.09;0.8;;2.91
MCOGER;2024;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;1;365;33;347;2;1;26;1;;;;;;6.03;3.09;0;0;1;1;;;;;;;;;;
MCOGER;2024;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;1;375;80;435;;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;1;333;283;535;1.7;1;38;2;998;683;12891;;;5.1;3.16;;;1;1;;;;;;21.08;28.46;;;10.54
MCOGER;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;849;447;1014;3.7;1;26;0;717;270;10369;;;5.81;4.81;;;;;;;;;;11.81;16.46;;;2.57
MCOGER;2024;2A0004842;CH ND LA MISERICORDE;2A0000014;1;1790;0;1790;1;1;20;0;834;0;9198;;;4.16;;0;0;1;1;;;;;;14.79;18.08;;;4.12
MCOGER;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;1247;;1204;3.5;1;30;2;902;356;9866;;;7.11;1.25;0;0;1;1;;;;;;21.39;21.27;;;10.3
MCOGER;2024;300000023;CH ALES CEVENNES;300780046;1;399;148;547;3.17;1;24;0;959;0;8733;0;0;3.95;3;0;0;1;1;;;;;;15.53;16.18;0.68;0;7.55
MCOGER;2024;300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;300780053;1;124;75;199;2.25;1;33;1;788;29;10713;;;1.78;1.2;0;0;0;0;;;;;;15.26;16.49;0;0;9.13
MCOGER;2024;300000072;CH LE VIGAN;300780095;1;35;0;35;0.8;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;300780137;NOUVELLE CL BONNEFON ALES;920028396;0;;;;;1;2;0;83;0;735;0;0;0.1;0;0;0;1;0;0;0;0;0;;0.48;0.44;0;0;0.06
MCOGER;2024;300782117;CHU NIMES CAREMEAU;300780038;1;1749;1028;1962;10.91;1;70;5;1720;1250;24999;;;22.95;5.79;0;0;1;1;;;;;;22.52;25.88;2.74;;21.4
MCOGER;2024;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;1;;;;;1;20;;570;0;6267;;;3.1;3.1;;;;;;;;;;10.5;15.7;;;6.1
MCOGER;2024;310013628;CH MURET;310786256;1;109;152;227;1.17;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;310021571;CL DES MINIMES TOULOUSE;310021563;1;0;1046;865;1.5;1;14;5;1214;0;3861;;;1.8;0.8;;;1;1;;;;;1;6.23;8.99;0.25;;6.5
MCOGER;2024;310022298;HOPITAL GARONNE CHU TOULOUSE;310781406;0;;;;;1;18;;1614;0;6591;;;2.58;1.58;1;1;1;1;;;;;;11.55;15.7;0.2;0;1.5
MCOGER;2024;310026927;CL CAPIO LA CROIX DU SUD QUINT FONSEGR;310026794;1;385;28;338;1.6;1;31;0;804;0;7766;0;;3.61;3.02;0;0;1;1;;;;;;15.65;16.94;;;
MCOGER;2024;310780259;CL PASTEUR TOULOUSE;310000096;1;1046;;867;1.5;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;310780283;CL DE L'UNION SAINT JEAN;310000112;1;574;10;419;0.9;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;310781000;CL DES CEDRES CORNEBARRIEU;310788880;1;293;0;293;3.5;1;12;3;276;203;3230;;;1.61;1.61;0;0;0;0;;;;;;9.45;13.51;;;6.06
MCOGER;2024;310782347;ONCOPOLE CLAUDIUS REGAUD TOULOUSE;310789136;1;;119;100;0.2;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;1;1965;1670;2954;10.8;1;78;9;2915;2834;23762;;;16.32;8.12;;;;;;;;;;;;;;
MCOGER;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;0;;;;;1;20;;1633;0;7685;;;2.94;1.94;;;;;;;;;;;;;;
MCOGER;2024;310783063;HOPITAL LA GRAVE CHU TOULOUSE;310781406;0;;;;;1;;8;;2592;;;;;;;;;;;;;;;3.57;2.96;0;0;7.15
MCOGER;2024;310786389;CL DES PYRENEES COLOMIERS;310001433;0;;;;;1;5;5;142;151;1246;;;0.97;0.05;0;0;1;0;;;;;;2.93;3.1;0.29;;0.62
MCOGER;2024;320000086;CH AUCH EN GASCOGNE;320780117;1;284;9;279;0.2;1;20;0;546;0;6410;;;6.4;6.4;0;0;1;1;;;;;;36.3;93.48;2;0.8;101.2
MCOGER;2024;330000340;MSP BORDEAUX BAGATELLE;330780552;0;;;;;1;30;0;612;0;9526;;;3.91;3.91;0;;1;;;;;;;15.01;16.17;0.27;;1.04
MCOGER;2024;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;1;752;29;773;2.33;1;30;;930;390;10927;;;5.81;5.81;0;0;0;0;;;;;;11.8;16.76;0.38;;1.9
MCOGER;2024;330000589;CH SUD GIRONDE - SITE LANGON;330027509;1;397;624;716;2.7;0;;;;;;;;;;;;;;;;;;;;;;;
