BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;COMEHPAD
USLD_P;2024;020000535;CH CHAUNY;020000287;NAUT;5.63;;0
USLD_P;2024;020004677;USLD CH SOISSONS;020000261;MEDCH;1.24;;
USLD_P;2024;020004677;USLD CH SOISSONS;020000261;N2210;6.53;;1
USLD_P;2024;020004677;USLD CH SOISSONS;020000261;N2510;18.29;;1
USLD_P;2024;020004677;USLD CH SOISSONS;020000261;N3120;0.05;;
USLD_P;2024;020004677;USLD CH SOISSONS;020000261;NAUT;10.98;;1
USLD_P;2024;020005476;USLD CH LAON;020000253;M1320;0.23;;0
USLD_P;2024;020005476;USLD CH LAON;020000253;MEDCH;0.59;;1
USLD_P;2024;020005476;USLD CH LAON;020000253;N2210;12.34;;1
USLD_P;2024;020005476;USLD CH LAON;020000253;N2410;0.37;;0
USLD_P;2024;020005476;USLD CH LAON;020000253;N2510;16.17;;1
USLD_P;2024;020005476;USLD CH LAON;020000253;N3120;0.2;;1
USLD_P;2024;020005476;USLD CH LAON;020000253;NAUT;6.06;;1
USLD_P;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;M1320;;;1
USLD_P;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;MEDCH;0.08;;1
USLD_P;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;N2210;4.07;;1
USLD_P;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;N2460;0.33;;1
USLD_P;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;N2510;12;;1
USLD_P;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;NAUT;1.2;;1
USLD_P;2024;030000061;CH DE MOULINS;030780092;M1320;1;0;1
USLD_P;2024;030000061;CH DE MOULINS;030780092;MEDCH;1;0;1
USLD_P;2024;030000061;CH DE MOULINS;030780092;N2210;12.27;0;1
USLD_P;2024;030000061;CH DE MOULINS;030780092;N2460;0.1;0;1
USLD_P;2024;030000061;CH DE MOULINS;030780092;N2510;26.21;0;1
USLD_P;2024;030000061;CH DE MOULINS;030780092;NAUT;39.86;0;1
USLD_P;2024;030000079;CH DE MONTLUCON;030780100;M1320;1;;1
USLD_P;2024;030000079;CH DE MONTLUCON;030780100;MEDCH;1;;1
USLD_P;2024;030000079;CH DE MONTLUCON;030780100;N2210;7.04;;
USLD_P;2024;030000079;CH DE MONTLUCON;030780100;N2510;30.83;;
USLD_P;2024;030000079;CH DE MONTLUCON;030780100;NAUT;10.54;;
USLD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M1320;1.32;;0
USLD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;MEDCH;1.32;;0
USLD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2210;24.92;;0
USLD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2410;0.75;;0
USLD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2460;0.6;;0
USLD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;36.7;;0
USLD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N3120;0.3;;0
USLD_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;30.09;;0
USLD_P;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;M1320;0.6;0;0
USLD_P;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;MEDCH;0.6;0;0
USLD_P;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;N2210;6.29;0;0
USLD_P;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;N2510;14.55;0;0
USLD_P;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;N3120;0.2;0;0
USLD_P;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;NAUT;21.06;0;0
USLD_P;2024;040780405;CENTRE DES CARMES;040000168;M1320;1;;1
USLD_P;2024;040780405;CENTRE DES CARMES;040000168;MEDCH;1.44;;1
USLD_P;2024;040780405;CENTRE DES CARMES;040000168;N2210;6;;0
USLD_P;2024;040780405;CENTRE DES CARMES;040000168;N2410;;2;1
USLD_P;2024;040780405;CENTRE DES CARMES;040000168;N2460;0.5;;0
USLD_P;2024;040780405;CENTRE DES CARMES;040000168;N2510;13;;0
USLD_P;2024;040780405;CENTRE DES CARMES;040000168;NAUT;6.8;;0
USLD_P;2024;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;MEDCH;0.6;;0
USLD_P;2024;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;N2210;3;;1
USLD_P;2024;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;N2410;0.46;;0
USLD_P;2024;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;N2510;16.34;;1
USLD_P;2024;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;NAUT;7.51;;1
USLD_P;2024;050000132;CH BUECH DURANCE;050007145;M1320;0.64;;0
USLD_P;2024;050000132;CH BUECH DURANCE;050007145;MEDCH;0.64;;1
USLD_P;2024;050000132;CH BUECH DURANCE;050007145;N2210;7.77;;0
USLD_P;2024;050000132;CH BUECH DURANCE;050007145;N2410;0.05;;0
USLD_P;2024;050000132;CH BUECH DURANCE;050007145;N2510;9.04;;0
USLD_P;2024;050000132;CH BUECH DURANCE;050007145;NAUT;11.5;;
USLD_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;M1320;0.6;;1
USLD_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;MEDCH;0.82;;1
USLD_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2210;2.88;;0
USLD_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2410;0.64;;1
USLD_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2460;0.31;;1
USLD_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2510;9.9;;0
USLD_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N3120;0.3;;1
USLD_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;NAUT;10.76;;
USLD_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;M1320;0.55;;
USLD_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;MEDCH;0.55;;
USLD_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2210;5.37;;
USLD_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2410;0.47;;
USLD_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2510;15.01;;
USLD_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NAUT;8.86;;
USLD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2210;9.7;;0
USLD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2460;1.18;;0
USLD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2510;19.04;;0
USLD_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;16.6;;0
USLD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1320;0.17;0;
USLD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MEDCH;0.17;0;
USLD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2210;5.26;0;
USLD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2410;0.17;0;
USLD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2510;12.79;0;
USLD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N3120;0.06;0;
USLD_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;5.95;0;
USLD_P;2024;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;MEDCH;0.6;;
USLD_P;2024;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;N2210;7;;
USLD_P;2024;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;N2410;0.34;;
USLD_P;2024;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;N2460;0.34;;
USLD_P;2024;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;N2510;18;;
USLD_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;M1320;0.1;;0
USLD_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;MEDCH;0.2;;0
USLD_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2210;6.93;;0
USLD_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2410;1;;0
USLD_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N2510;16.29;;0
USLD_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N3120;0.36;;0
USLD_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;7.29;;0
USLD_P;2024;060019213;USLD DOLCE FARNIENTE;060005188;M1320;0.6;;
USLD_P;2024;060019213;USLD DOLCE FARNIENTE;060005188;MEDCH;0.7;;
USLD_P;2024;060019213;USLD DOLCE FARNIENTE;060005188;N2210;9;;
USLD_P;2024;060019213;USLD DOLCE FARNIENTE;060005188;N2410;0.5;3;
USLD_P;2024;060019213;USLD DOLCE FARNIENTE;060005188;N2510;13;;
USLD_P;2024;060019213;USLD DOLCE FARNIENTE;060005188;NAUT;3.5;1;
USLD_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;MEDCH;0.6;;1
USLD_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N2210;8.59;;
USLD_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N2410;1.42;;
USLD_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N2510;18.16;;
USLD_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N3120;0.98;;
USLD_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;NAUT;8.04;;
USLD_P;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;M1320;0.2;;1
USLD_P;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;MEDCH;0.2;;1
USLD_P;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;N2210;7;;
USLD_P;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;N2510;9.73;;
USLD_P;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;N3120;0.12;;
USLD_P;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;NAUT;12.05;;
USLD_P;2024;060790185;USLD SIMONE VEIL CH CANNES;060780988;M1320;0.3;;1
USLD_P;2024;060790185;USLD SIMONE VEIL CH CANNES;060780988;MEDCH;0.88;;1
USLD_P;2024;060790185;USLD SIMONE VEIL CH CANNES;060780988;N2210;8.94;2;1
USLD_P;2024;060790185;USLD SIMONE VEIL CH CANNES;060780988;N2410;0.3;;1
USLD_P;2024;060790185;USLD SIMONE VEIL CH CANNES;060780988;N2510;26.01;;1
USLD_P;2024;060790185;USLD SIMONE VEIL CH CANNES;060780988;NAUT;16.75;;1
USLD_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;MEDCH;1.32;;
USLD_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N2210;8.97;;
USLD_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N2410;0.38;;
USLD_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N2460;1.4;;
USLD_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N2510;20.77;;
USLD_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N3120;0.4;;
USLD_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;NAUT;14.07;;
USLD_P;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;MEDCH;0.5;1;1
USLD_P;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;N2210;14.57;;0
USLD_P;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;N2460;0.65;;1
USLD_P;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;N2510;40.08;;0
USLD_P;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;N3120;1.26;;0
USLD_P;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;NAUT;18.21;;1
USLD_P;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;M1320;;;1
USLD_P;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;MEDCH;;;1
USLD_P;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N2210;9.53;;1
USLD_P;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N2410;;;1
USLD_P;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N2460;;;1
USLD_P;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N2510;25.57;;1
USLD_P;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;N3120;;;1
USLD_P;2024;070784517;LONG SEJOUR CH DE PRIVAS;070002878;NAUT;20.01;;1
USLD_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1320;0.2;;1
USLD_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;MEDCH;0.5;;1
USLD_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2210;10.63;;0
USLD_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2410;0.47;;0
USLD_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2510;10.95;;0
USLD_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;15.21;;0
USLD_P;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;MEDCH;0.18;;
USLD_P;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N2210;5.37;;
USLD_P;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N2510;9.65;;
USLD_P;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;NAUT;0.32;;
USLD_P;2024;080005960;USLD SITE CENTRE DE SANTE;080011174;M1320;1.2;;1
USLD_P;2024;080005960;USLD SITE CENTRE DE SANTE;080011174;MEDCH;1.2;;1
USLD_P;2024;080005960;USLD SITE CENTRE DE SANTE;080011174;N2210;11.1;;0
USLD_P;2024;080005960;USLD SITE CENTRE DE SANTE;080011174;N2410;0.25;;0
USLD_P;2024;080005960;USLD SITE CENTRE DE SANTE;080011174;N2510;28.64;;0
USLD_P;2024;080005960;USLD SITE CENTRE DE SANTE;080011174;NAUT;20.35;;0
USLD_P;2024;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;M1320;0.58;;0
USLD_P;2024;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;MEDCH;0.58;;0
USLD_P;2024;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;N2210;5.98;;1
USLD_P;2024;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;N2510;5.17;;1
USLD_P;2024;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;N3120;0.02;;0
USLD_P;2024;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;NAUT;4.15;;0
USLD_P;2024;100000140;CH DE PROXIMITE CHRISTIAN BRAUN;100000058;M1320;0.3;;0
USLD_P;2024;100000140;CH DE PROXIMITE CHRISTIAN BRAUN;100000058;MEDCH;0.3;;0
USLD_P;2024;100000140;CH DE PROXIMITE CHRISTIAN BRAUN;100000058;N2210;6.83;;0
USLD_P;2024;100000140;CH DE PROXIMITE CHRISTIAN BRAUN;100000058;N2510;9.26;;0
USLD_P;2024;100000140;CH DE PROXIMITE CHRISTIAN BRAUN;100000058;NAUT;4.8;;0
USLD_P;2024;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;M1320;0.02;;
USLD_P;2024;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;MEDCH;0.42;;1
USLD_P;2024;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;N2210;7.7;;1
USLD_P;2024;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;N2460;0.06;;1
USLD_P;2024;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;N2510;7.66;;1
USLD_P;2024;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;NAUT;9.09;;1
USLD_P;2024;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;MEDCH;0.64;;0
USLD_P;2024;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N2210;14.36;;0
USLD_P;2024;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N2410;0.7;;0
USLD_P;2024;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N2460;0.36;;0
USLD_P;2024;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N2510;36.25;;0
USLD_P;2024;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;N3120;0.57;;0
USLD_P;2024;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;NAUT;16.73;;0
USLD_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;MEDCH;0.2;;
USLD_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;N2210;6.8;;
USLD_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;N2410;1;;
USLD_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;N2460;0.3;;
USLD_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;N2510;14.8;;
USLD_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;NAUT;5.4;;
USLD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;MEDCH;0.26;;1
USLD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N2210;6.22;;1
USLD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N2410;0.25;;1
USLD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N2460;0.43;;1
USLD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N2510;13.6;;1
USLD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;N3120;0.08;;1
USLD_P;2024;110000247;CH LEZIGNAN CORBIERES;110780772;NAUT;9.41;;1
USLD_P;2024;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;MEDCH;0.3;;1
USLD_P;2024;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;N2210;7.3;;1
USLD_P;2024;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;N2410;0.5;;1
USLD_P;2024;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;N2460;0.4;;0
USLD_P;2024;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;N2510;16;;1
USLD_P;2024;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;N3120;;;1
USLD_P;2024;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;NAUT;7.2;;1
USLD_P;2024;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;M1320;;;1
USLD_P;2024;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;MEDCH;2.68;;1
USLD_P;2024;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N2210;17.82;;1
USLD_P;2024;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N2410;0.78;;1
USLD_P;2024;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N2460;0;;1
USLD_P;2024;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N2510;41.04;;1
USLD_P;2024;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;N3120;;;1
USLD_P;2024;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;NAUT;18.58;;1
USLD_P;2024;110786746;SSR LIMOUX ARAGOU LES TILLEULS USSAP;110786324;MEDCH;0.38;;0
USLD_P;2024;110786746;SSR LIMOUX ARAGOU LES TILLEULS USSAP;110786324;N2210;5.62;;0
USLD_P;2024;110786746;SSR LIMOUX ARAGOU LES TILLEULS USSAP;110786324;N2510;13.05;;0
USLD_P;2024;110786746;SSR LIMOUX ARAGOU LES TILLEULS USSAP;110786324;NAUT;12.25;;0
USLD_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;M1320;0.55;;1
USLD_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;MEDCH;0.55;;1
USLD_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2210;7.9;;0
USLD_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2410;0.25;;1
USLD_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2460;0.25;;1
USLD_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2510;15.89;;0
USLD_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N3120;0.2;;1
USLD_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;NAUT;4.24;;0
USLD_P;2024;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;MEDCH;0.36;;
USLD_P;2024;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N2210;3.34;;
USLD_P;2024;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N2410;0.5;;
USLD_P;2024;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N2460;0.27;;
USLD_P;2024;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N2510;10.64;;
USLD_P;2024;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N3120;0.2;;
USLD_P;2024;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;NAUT;10.72;;
USLD_P;2024;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;MEDCH;0.29;;0
USLD_P;2024;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;N2210;5.71;;0
USLD_P;2024;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;N2410;0.34;;0
USLD_P;2024;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;N2510;18.02;;0
USLD_P;2024;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;N3120;0.27;;0
USLD_P;2024;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;NAUT;6.08;;0
USLD_P;2024;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;M1320;0.6;;1
USLD_P;2024;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;MEDCH;0.7;;1
