BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;JOUHP;EMSSR
SSR;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_TOT;;18;6588;;190;6332;0;0
SSR;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_A;;29;10614;;338;8645;0;
SSR;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_A50;1;29;;;;8645;0;
SSR;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_TOT;;29;10614;;338;8645;0;0
SSR;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A;;36;12960;;381;7327;0;
SSR;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A50;1;;;;;0;0;
SSR;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A58;1;36;;;;7327;0;
SSR;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_TOT;;36;12960;;381;7327;0;0
SSR;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A;;65;23400;;885;15668;0;
SSR;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A50;1;;;;;0;0;
SSR;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A51;1;65;;;;15668;0;
SSR;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E;;2;720;;84;1366;0;
SSR;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E50;1;2;;;;1366;0;
SSR;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_E51;1;;;;;;0;
SSR;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_TOT;;67;24120;;969;17034;0;
SSR;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A;;91;32850;;936;33665;0;
SSR;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A50;1;4;;;;927;0;
SSR;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A51;1;20;;;;6449;0;
SSR;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A54;1;1;;;;5853;0;
SSR;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A55;1;20;;;;6449;0;
SSR;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_A59;1;46;;;;13987;0;
SSR;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;SSR_TOT;;91;32850;;936;33665;0;1
SSR;2024;010002129;CLINIQUE LES ARBELLES;310025010;SSR_A;;100;36500;15;872;34840;5213;
SSR;2024;010002129;CLINIQUE LES ARBELLES;310025010;SSR_A50;1;47;;;;9375;0;
SSR;2024;010002129;CLINIQUE LES ARBELLES;310025010;SSR_A51;1;20;;10;;20327;3463;
SSR;2024;010002129;CLINIQUE LES ARBELLES;310025010;SSR_A52;1;33;;5;;5138;1750;
SSR;2024;010002129;CLINIQUE LES ARBELLES;310025010;SSR_TOT;;100;36500;15;872;34840;5213;0
SSR;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_A;;26;9490;;295;8091;0;
SSR;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_A50;1;26;;;;8091;0;
SSR;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SSR_TOT;;26;9490;;295;8091;0;
SSR;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A;;56;20496;25;337;17630;4307;
SSR;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A50;1;7;;;;0;0;
SSR;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A51;1;27;;17;;6954;1268;
SSR;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_A52;1;22;;8;;10676;3039;
SSR;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;SSR_TOT;;56;20496;25;337;17630;4307;1
SSR;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A;;91;33306;5;793;29826;679;
SSR;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A50;1;10;;;;0;0;
SSR;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_A54;1;81;;5;;29826;679;
SSR;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;SSR_TOT;;91;33306;5;793;29826;679;0
SSR;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_A;;100;36600;;435;28309;0;
SSR;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_A50;1;5;;;;258;0;
SSR;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_A51;1;20;;;;12199;0;
SSR;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_A52;1;75;;;;15852;0;
SSR;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;SSR_TOT;;100;36600;;435;28309;0;0
SSR;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E;;70;25550;3;586;14717;516;
SSR;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E50;1;45;;1;;11300;125;
SSR;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E55;1;15;;1;;2396;370;
SSR;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E58;1;10;;1;;1021;21;
SSR;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_TOT;;70;25550;3;586;14717;516;0
SSR;2024;010780492;CRF ROMANS-FERRARI;360000707;SSR_A;;;;20;;0;3420;
SSR;2024;010780492;CRF ROMANS-FERRARI;360000707;SSR_A57;1;;;20;;;3420;
SSR;2024;010780492;CRF ROMANS-FERRARI;360000707;SSR_E;;67;24455;20;1287;9039;8343;
SSR;2024;010780492;CRF ROMANS-FERRARI;360000707;SSR_E51;1;7;;4;;1111;555;
SSR;2024;010780492;CRF ROMANS-FERRARI;360000707;SSR_E52;1;30;;6;;4012;1931;
SSR;2024;010780492;CRF ROMANS-FERRARI;360000707;SSR_E57;1;30;;10;;3916;5857;
SSR;2024;010780492;CRF ROMANS-FERRARI;360000707;SSR_TOT;;67;24455;40;1287;9039;11763;0
SSR;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;SSR_A;;30;10950;;234;8671;0;
SSR;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;SSR_A50;1;30;;;;8671;0;
SSR;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;SSR_TOT;;30;10950;;234;8671;0;0
SSR;2024;020000089;CH GUISE;020000022;SSR_A;;42;15330;0;479;13265;0;
SSR;2024;020000089;CH GUISE;020000022;SSR_A50;1;22;;0;;6365;0;
SSR;2024;020000089;CH GUISE;020000022;SSR_A59;1;20;;0;;6900;0;
SSR;2024;020000089;CH GUISE;020000022;SSR_TOT;;42;15330;0;479;13265;0;0
SSR;2024;020000097;CH LA FÈRE;020000048;SSR_A;;31;11346;;286;7072;0;
SSR;2024;020000097;CH LA FÈRE;020000048;SSR_A59;1;31;;;;7072;0;
SSR;2024;020000097;CH LA FÈRE;020000048;SSR_TOT;;31;11346;;286;7072;0;0
SSR;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_A;;15;5490;;223;3448;0;
SSR;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_A50;1;15;;;;3448;0;
SSR;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_TOT;;15;5490;;223;3448;0;
SSR;2024;020000162;CH SAINT-QUENTIN;020000063;SSR_A;;56;20496;0;601;16101;0;
SSR;2024;020000162;CH SAINT-QUENTIN;020000063;SSR_A50;1;7;;;;939;0;
SSR;2024;020000162;CH SAINT-QUENTIN;020000063;SSR_A51;1;11;;;;3871;0;
SSR;2024;020000162;CH SAINT-QUENTIN;020000063;SSR_A52;1;8;;;;2180;0;
SSR;2024;020000162;CH SAINT-QUENTIN;020000063;SSR_A59;1;30;;0;;9111;0;
SSR;2024;020000162;CH SAINT-QUENTIN;020000063;SSR_TOT;;56;20496;0;601;16101;0;0
SSR;2024;020000246;CH VERVINS;020000071;SSR_A;;27;9855;;270;6448;0;
SSR;2024;020000246;CH VERVINS;020000071;SSR_A50;1;27;;;;6448;0;
SSR;2024;020000246;CH VERVINS;020000071;SSR_TOT;;27;9855;;270;6448;0;0
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A;;253;89908;17;2192;82765;12214;
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A50;1;28;;;;8780;0;
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A51;1;89;;6;;27997;5501;
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A52;1;21;;5;;7197;2483;
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A53;1;2;;;;822;0;
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A54;1;17;;1;;5471;46;
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A55;1;18;;1;;7511;1265;
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A59;1;78;;4;;24987;2919;
SSR;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_TOT;;253;89908;17;2192;82765;12214;1
SSR;2024;020000394;CH LAON;020000253;SSR_A;;;;16;0;0;3114;
SSR;2024;020000394;CH LAON;020000253;SSR_A53;1;;;16;;0;3114;
SSR;2024;020000394;CH LAON;020000253;SSR_TOT;;;;16;0;0;3114;0
SSR;2024;020000519;CH SOISSONS;020000261;SSR_A;;60;21270;;718;19134;0;
SSR;2024;020000519;CH SOISSONS;020000261;SSR_A59;1;60;;;;19134;0;
SSR;2024;020000519;CH SOISSONS;020000261;SSR_TOT;;60;21270;;718;19134;0;0
SSR;2024;020000535;CH CHAUNY;020000287;SSR_A;;30;10950;;329;8524;0;
SSR;2024;020000535;CH CHAUNY;020000287;SSR_A50;1;6;;;;1883;0;
SSR;2024;020000535;CH CHAUNY;020000287;SSR_A59;1;24;;;;6641;0;
SSR;2024;020000535;CH CHAUNY;020000287;SSR_TOT;;30;10950;;329;8524;0;
SSR;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A;;184;62812;16;2357;84131;12556;
SSR;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A50;1;20;;10;;44202;8122;
SSR;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A51;1;77;;;;22737;0;
SSR;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A52;1;80;;3;;17005;4155;
SSR;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A55;1;7;;3;;187;279;
SSR;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_TOT;;184;62812;16;2357;84131;12556;1
SSR;2024;020001087;CH HIRSON;020004495;SSR_A;;30;10950;;206;6420;0;
SSR;2024;020001087;CH HIRSON;020004495;SSR_A50;1;30;;;;6420;0;
SSR;2024;020001087;CH HIRSON;020004495;SSR_TOT;;30;10950;;206;6420;0;0
SSR;2024;020003877;SSR CH LAON;020000253;SSR_A;;40;12692;;451;10246;0;
SSR;2024;020003877;SSR CH LAON;020000253;SSR_A50;1;40;;;;10246;0;
SSR;2024;020003877;SSR CH LAON;020000253;SSR_TOT;;40;12692;;451;10246;0;0
SSR;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SSR_A;;;;25;0;0;3393;
SSR;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SSR_A50;1;;;10;;0;450;
SSR;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SSR_A53;1;;;15;;0;2943;
SSR;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SSR_TOT;;;;25;0;0;3393;
SSR;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_A;;14;5041;;126;4976;0;
SSR;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_A58;1;14;;;;4976;0;
SSR;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_TOT;;14;5041;;126;4976;0;0
SSR;2024;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A;;;;8;0;0;5290;
SSR;2024;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A51;1;;;6;;0;4169;
SSR;2024;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A52;1;;;1;;0;942;
SSR;2024;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A54;1;;;1;;0;179;
SSR;2024;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_TOT;;;;8;0;0;5290;0
SSR;2024;030000012;CH DE NERIS LES BAINS;030780100;SSR_A;;59;20440;15;472;16561;4583;
SSR;2024;030000012;CH DE NERIS LES BAINS;030780100;SSR_A50;1;;;;;0;0;
SSR;2024;030000012;CH DE NERIS LES BAINS;030780100;SSR_A51;1;42;;6;;11795;1943;
SSR;2024;030000012;CH DE NERIS LES BAINS;030780100;SSR_A52;1;17;;4;;4766;1281;
SSR;2024;030000012;CH DE NERIS LES BAINS;030780100;SSR_A53;1;;;5;;0;1359;
SSR;2024;030000012;CH DE NERIS LES BAINS;030780100;SSR_TOT;;59;20440;15;472;16561;4583;0
SSR;2024;030000061;CH DE MOULINS;030780092;SSR_A;;40;14640;2;429;13536;281;
SSR;2024;030000061;CH DE MOULINS;030780092;SSR_A50;1;18;;1;;4140;220;
SSR;2024;030000061;CH DE MOULINS;030780092;SSR_A59;1;22;;1;;9396;61;
SSR;2024;030000061;CH DE MOULINS;030780092;SSR_TOT;;40;14640;2;429;13536;281;0
SSR;2024;030000079;CH DE MONTLUCON;030780100;SSR_A;;30;7500;;349;7438;0;
SSR;2024;030000079;CH DE MONTLUCON;030780100;SSR_A50;1;;;;;0;0;
SSR;2024;030000079;CH DE MONTLUCON;030780100;SSR_A59;1;30;;;;7438;0;
SSR;2024;030000079;CH DE MONTLUCON;030780100;SSR_TOT;;30;7500;;349;7438;0;0
SSR;2024;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A;;52;19032;5;502;18270;862;
SSR;2024;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A50;1;24;;5;;8555;862;
SSR;2024;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A59;1;28;;;;9715;0;
SSR;2024;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_TOT;;52;19032;5;502;18270;862;0
SSR;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_A;;40;14640;6;444;13297;153;
SSR;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_A50;1;40;;6;;13297;153;
SSR;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_TOT;;40;14640;6;444;13297;153;0
SSR;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A;;89;32574;0;1058;26006;0;
SSR;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A50;1;61;;0;;19338;0;
SSR;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A58;1;28;;0;;6668;0;
SSR;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_TOT;;89;32574;0;1058;26006;0;0
SSR;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_A;;36;13176;5;479;9667;907;
SSR;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_A50;1;36;;5;;9667;907;
SSR;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_TOT;;36;13176;5;479;9667;907;0
SSR;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A;;35;12500;20;363;9895;6212;
SSR;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A50;1;30;;20;;7993;6212;
SSR;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A59;1;5;;;;1902;0;
SSR;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_TOT;;35;12500;20;363;9895;6212;0
SSR;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_A;;38;13908;;421;11619;0;
SSR;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_A50;1;38;;;;11619;0;
SSR;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_TOT;;38;13908;;421;11619;0;0
SSR;2024;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_A;;10;3650;;119;3552;0;
SSR;2024;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_A50;1;10;;;;3552;0;
SSR;2024;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_TOT;;10;3650;;119;3552;0;
SSR;2024;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_A;;5;1825;;70;2115;0;
SSR;2024;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_A50;1;5;;;;2115;0;
SSR;2024;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_TOT;;5;1825;;70;2115;0;0
SSR;2024;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_A;;40;14640;7;346;11984;2645;
SSR;2024;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_A50;1;;;;;0;0;
SSR;2024;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_A51;1;40;;7;;11984;2645;
SSR;2024;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_TOT;;40;14640;7;346;11984;2645;0
SSR;2024;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_A;;15;5490;;249;5078;0;
SSR;2024;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_A50;1;15;;;;5078;0;
SSR;2024;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_TOT;;15;5490;;249;5078;0;
SSR;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A;;15;6530;10;181;4924;1606;
SSR;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A50;1;15;;;;4924;0;
SSR;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A53;1;0;;10;;0;1606;
SSR;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_TOT;;15;6530;10;181;4924;1606;0
SSR;2024;040780389;CLINIQUE JEAN GIONO;040000150;SSR_A;;85;29565;;605;28380;0;
SSR;2024;040780389;CLINIQUE JEAN GIONO;040000150;SSR_A50;1;1;;;;117;0;
SSR;2024;040780389;CLINIQUE JEAN GIONO;040000150;SSR_A59;1;84;;;;28263;0;
SSR;2024;040780389;CLINIQUE JEAN GIONO;040000150;SSR_TOT;;85;29565;;605;28380;0;0
SSR;2024;040780405;CENTRE DES CARMES;040000168;SSR_A;;70;23965;5;599;23965;2376;
SSR;2024;040780405;CENTRE DES CARMES;040000168;SSR_A50;1;35;;0;;5966;0;
SSR;2024;040780405;CENTRE DES CARMES;040000168;SSR_A51;1;35;;5;;17999;2376;
SSR;2024;040780405;CENTRE DES CARMES;040000168;SSR_E51;1;0;;0;;0;0;
SSR;2024;040780405;CENTRE DES CARMES;040000168;SSR_TOT;;70;23965;5;599;23965;2376;0
SSR;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A;;80;29280;10;822;27510;3992;
SSR;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A50;1;;;;;0;0;
SSR;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A51;1;40;;10;;15793;3992;
SSR;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A52;1;40;;;;11717;0;
SSR;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_TOT;;80;29280;10;822;27510;3992;0
SSR;2024;040780520;CLINIQUE LE VERDON;310025010;SSR_A;;40;14965;;417;14775;0;
SSR;2024;040780520;CLINIQUE LE VERDON;310025010;SSR_A50;1;40;;;;14775;0;
SSR;2024;040780520;CLINIQUE LE VERDON;310025010;SSR_TOT;;40;14965;;417;14775;0;0
SSR;2024;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A;;66;24156;;447;19466;0;
SSR;2024;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A50;1;20;;;;4406;0;
SSR;2024;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A59;1;46;;;;15060;0;
SSR;2024;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_TOT;;66;24156;;447;19466;0;0
SSR;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A;;90;32850;25;776;28870;8355;
SSR;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A51;1;42;;13;;15721;5632;
SSR;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A52;1;26;;10;;7626;2181;
SSR;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A53;1;;;;;0;0;
SSR;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A54;1;22;;2;;5523;542;
SSR;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_TOT;;90;32850;25;776;28870;8355;0
SSR;2024;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;SSR_A;;62;22692;;560;20723;0;
SSR;2024;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;SSR_A50;1;62;;;;20723;0;
SSR;2024;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;SSR_TOT;;62;22692;;560;20723;0;0
SSR;2024;050000066;CENTRE MEDICAL LA SOURCE;050000082;SSR_A;;60;21960;;528;16413;0;
SSR;2024;050000066;CENTRE MEDICAL LA SOURCE;050000082;SSR_A50;1;60;;;;16413;0;
SSR;2024;050000066;CENTRE MEDICAL LA SOURCE;050000082;SSR_TOT;;60;21960;;528;16413;0;
SSR;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;SSR_A;;20;7320;;263;6469;0;
SSR;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;SSR_A50;1;10;;;;3680;0;
SSR;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;SSR_A59;1;10;;;;2789;0;
SSR;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;SSR_TOT;;20;7320;;263;6469;0;
SSR;2024;050000298;SSR LA GUISANE;050009067;SSR_E;;53;16105;;302;10637;0;
SSR;2024;050000298;SSR LA GUISANE;050009067;SSR_E54;1;53;;;;10637;0;
SSR;2024;050000298;SSR LA GUISANE;050009067;SSR_TOT;;53;16105;;302;10637;0;0
SSR;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SSR_A;;30;10980;;281;9441;0;
SSR;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SSR_A50;1;;;;;0;0;
SSR;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SSR_A59;1;30;;;;9441;0;
SSR;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SSR_TOT;;30;10980;;281;9441;0;
SSR;2024;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;050000678;SSR_A;;72;26280;5;531;21792;239;
SSR;2024;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;050000678;SSR_A50;1;0;;;;0;0;
SSR;2024;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;050000678;SSR_A54;1;72;;5;;21792;239;
SSR;2024;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;050000678;SSR_TOT;;72;26280;5;531;21792;239;0
SSR;2024;050000637;CLINIQUE MONTJOY;050001163;SSR_A;;66;24090;;387;20525;0;
SSR;2024;050000637;CLINIQUE MONTJOY;050001163;SSR_A50;1;66;;;;20525;0;
SSR;2024;050000637;CLINIQUE MONTJOY;050001163;SSR_TOT;;66;24090;;387;20525;0;0
