BOR;AN;FI;RS;FI_EJ;PSY_A45;PSY_A46;PSY_B45;PSY_B46;PSY_C45;PSY_C46;PSY_D45;PSY_D46;PSY_E45;PSY_E46;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44;PSY_A47;PSY_B47;PSY_A48;PSY_B48;PSY_A49;PSY_B49
PSY2;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;;;;;;;;;973;336;8925;1795;96;0;15;4044;421;3392;20;0;0;0;113;9;43497;690;71;0;0;1424;139;1;3.64;0;;0;;0;0;1;2;1;6;0;
PSY2;2024;060030079;VAL DES MIMOSAS;060030061;;;;;;;;;;;;;;;;;;3747;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;;;;;;;;;;;18770;;;;;;;4013;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;1;4;0;
PSY2;2024;060780541;CLINIQUE LA GRANGEA;060000262;;;;;;;;;;;22152;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;060780749;CLINIQUE SAINT LUC;060000395;;;;;;;;;;;17149;;;;;;;3147;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;060780996;CHS SAINTE MARIE;630786754;;;;;;;;;;;38659;11841;2941;;448;26514;3535;22107;394;85;;;238;;104733;4116;1334;31;185;1104;72;1;13.4;1;29.27;1;19.82;0;0;1;1;1;10;0;
PSY2;2024;060781929;CLINIQUE DE LA COSTIERE;060000858;;;;;;;;;;;27541;;;;;;;3405;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;;;;;;;;;;;9025;4193;1654;;503;5651;533;2476;83;;;;145;0;20530;666;24;;6;144;7;1;0.67;0;;0;;0;0;;;;;;
PSY2;2024;060800174;FONDATION LENVAL;060800174;;;;;;;;;3211;;5421;;;;;;;13669;;;;;;;61299;;;;;;;1;1.5;0;;0;;0;0;;;;;0;
PSY2;2024;070005046;HDJ ADULTE GUILHERAND;260003264;;;;;;;;;;;0;0;0;0;0;0;0;1756;2;0;0;0;119;112;22779;65;0;0;12;103;76;1;1.08;0;;0;;0;0;0;;0;;0;
PSY2;2024;070780317;CHS SAINTE-MARIE PRIVAS;630786754;;;;;;;;;;;44808;3794;54;;63;19469;9830;18034;370;18;;;425;134;85233;692;56;;;890;416;1;0.08;0;;0;;0;0;1;4;1;9;1;1809
PSY2;2024;080000318;CH BELAIR;080000086;0;0;0;0;0;0;0;0;959;0;40789;1142;500;0;87;7335;8083;15520;38;0;0;0;619;481;91937;822;46;6;0;2732;2385;1;0.2;0;;0;;0;0;1;3;1;7;0;
PSY2;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;;;;;;;;;;;18095;1177;386;;87;9644;2740;5389;166;0;;;115;38;68635;613;43;;;992;322;1;1;0;;0;;0;0;;;;;0;
PSY2;2024;100000108;EPSMA;100000033;;;;;;;;;296;201;24529;3985;1430;0;20;8590;1651;14492;127;275;0;;182;275;79602;655;362;0;15;964;387;1;0.5;0;;0;;0;0;1;5;1;5;;
PSY2;2024;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;;;;;;;;;;;8144;779;;;;3208;1812;3027;0;;;;109;9;33550;462;;;;627;16;1;;0;;0;;0;0;1;1;1;2;0;
PSY2;2024;110780152;CLINIQUE DE MIREMONT BADENS;110000064;;;;;;;;;;;26197;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;110786324;USSAP;110786324;;;;;;;;;;;35970;3062;;;;11925;2817;14094;83;;;;96;18;108235;1111;;18;;1832;389;1;1.95;0;;0;;0;0;1;4;1;9;1;3631
PSY2;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;;;;;;;;;;;1709;;;;;;;11691;;;;;;;12487;;;;;;;;;;;;;;;;;;;;
PSY2;2024;120004569;CH MILLAU;120004528;;;;;;;;;;;7163;;;;;;;5413;;;;;;;26815;;;;;;;1;0;0;;0;;0;0;0;;1;2;0;
PSY2;2024;120780283;CHS STE MARIE RODEZ;630786754;;;;;;;;;;;64822;1567;;;44;6709;5547;15632;103;;;;110;144;94347;543;;;31;1884;838;0;;0;;0;;0;0;1;5;1;6;1;10286
PSY2;2024;130000235;CHS EDOUARD TOULOUSE;130780554;;;;;;;;;5976;2148;33273;5858;2646;27;204;10154;6405;19545;403;274;0;0;464;17;177008;2455;920;5;29;3086;961;1;3.1;0;;0;;0;0;0;;1;6;0;
PSY2;2024;130000433;CHS MONTPERRIN;130781131;;;;;4;;803;;4306;;42494;6176;156;;660;18869;9444;22392;358;64;;;942;204;235466;1083;87;;;3120;1062;1;5.21;0;;0;;0;0;0;;1;13;1;433
PSY2;2024;130002496;CHS VALVERT MARSEILLE;130786494;;;;;;;;;;;28546;2953;1256;0;100;4593;3531;24220;147;;;;209;114;127351;1009;162;;6;1501;254;0;;0;;0;;0;0;0;;1;8;0;
PSY2;2024;130002827;CH JOSEPH IMBERT D'ARLES;130789274;;;;;;;;;1930;;4258;410;110;;;2403;162;2238;;;;;40;;48542;95;;;2;563;53;1;5.92;0;;0;;0;0;1;1;1;2;0;
PSY2;2024;130010648;CLINIQUE SAINT MICHEL;130010648;;;;;;;;;;;24360;;;;;;;8812;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;130780273;CLINIQUE SAINTE MARTHE SAINT JOSEPH;130000151;;;;;;;;;;;23652;;;;;;;1721;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;130780521;APHM HOPITAL NORD;130786049;;;;;;;;;;;4149;6713;;;10862;;;;;;;;;;;;;;;;;0;;0;;0;;1;1;1;1;1;4;0;
PSY2;2024;130781065;CLINIQUE PSYCHIATRIQUE LA JAUBERTE;130000417;0;0;0;0;0;0;0;0;0;0;26743;0;0;0;0;0;0;2687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;1;1;0;;0;0
PSY2;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;0;0;0;0;0;0;0;0;0;0;13307;3839;602;0;224;7350;1484;6216;118;17;0;0;100;12;98173;505;125;0;103;1404;599;0;;0;;0;;0;0;0;0;1;6;1;3693
PSY2;2024;130783764;CLINIQUE MON REPOS;920030269;;;;;;;;;;;95808;;;;;;;3263;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;130784085;CLINIQUE L'EMERAUDE;920030921;;;;;;;;;;;73654;;;;;;;10086;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;130786049;;;;;;;;;1808;444;8090;3925;228;0;142;5966;1388;2327;24;4;0;0;119;17;157096;16;6;0;42;104;47;0;;0;;1;;0;1;0;0;1;8;0;
PSY2;2024;130784291;CLINIQUE DES TROIS CYPRES;130001696;;;;;;;;;;;40555;;;;;;;6262;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;130784606;CLINIQUE SAINT ROCH MONTFLEURI;130001860;;;;;;;;;;;68610;;;;;;;2162;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;130784697;CLINIQUE DES QUATRE SAISONS;130001902;;;;;;;;;;;30530;;;;;;;5968;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;130786015;CLINIQUE VALFLEUR;130002322;;;;;;;;;;;27009;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;130786742;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;;;;;;;;;;;4734;;;;;;;542;;;;;;;5886;;;;;;;1;3;0;;0;;0;0;0;;0;;0;
PSY2;2024;130786890;HJ LE RELAIS SERENA;130001688;;;;;;;;;;;2044;;;14;;;;1945;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;1;1;0;
PSY2;2024;130786973;CLINIQUE PSYCHIATRIQUE MEDIAZUR;130002702;;;;;;;;;;;25781;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;130790157;CH DE MARTIGUES HOPITAL DU VALLON;130789316;;;;;;;;;2392;3234;8987;1748;296;;;7223;1834;12491;235;105;;;352;160;80390;1011;308;;;2575;457;1;6.4;0;;0;;0;0;1;2;1;5;1;1559
PSY2;2024;130798002;CLINIQUE LA LAURANNE;130004807;;;;;;;;;;;72859;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;130804032;ASSOCIATION REGIONALE POUR INTEGRATION;130804032;;;;;;;;;;;;;;;;;;1823;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;130806011;CLINIQUE SAINT PAUL DE MAUSOLE;750720534;0;0;0;0;0;0;0;0;0;0;23758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;1;2;0;
PSY2;2024;140000209;CHU CAEN;140000100;;;;;;;;;2749;132;15582;3104;181;245;0;962;688;2359;147;1;;0;25;17;12621;7;0;;1;5;0;1;;1;7.7;0;;0;0;0;;0;;;
PSY2;2024;140000456;ETS PUBLIC DE SANTE MENTALE;140000316;;;;;;;;;;;50087;13472;1397;;396;10000;1141;24608;1535;127;;5;338;404;137997;1559;34;;21;625;657;1;1.97;0;;1;26.97;0;0;0;;1;14;1;1245
PSY2;2024;140004136;UNITE PSYCHIATRIQUE - CH BAYEUX;140000092;;;;;;;;;;;9809;686;24;0;0;619;277;6090;102;0;0;0;0;0;65197;156;0;0;0;40;29;1;0.12;0;;0;;0;0;1;2;1;2;0;
PSY2;2024;150000040;CH HENRI MONDOR;150780096;;;;;;;;;;;21993;51;81;1;368;3149;2699;5661;;;;;30;10;;;;;;;;1;1;0;;0;;0;0;0;;0;;0;
PSY2;2024;150780773;SERVICE DE PSYCHIATRIE - CH ST FLOUR;150780088;;;;;;;;;;;2446;45;;;;432;282;1294;68;;;;575;156;4778;149;;;;224;0;1;0.06;0;;0;;0;0;1;1;1;1;0;
PSY2;2024;150780823;CH ANNEXE CUEILHES;150780096;;;;;;;;;;;1339;;;;;;;2043;;;;;;;31485;50;4;0;19;900;343;0;;0;;0;;0;0;0;2;0;1;0;
PSY2;2024;150782944;CENTRE DE READAPTATION DE MAURS;150002566;;;;;;;;;;;6785;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;160000345;CH CAMILLE CLAUDEL;160000501;0;0;0;0;0;0;0;0;0;0;28391;4182;366;0;0;9086;4675;10039;116;0;0;0;544;75;117836;1333;0;2;68;2702;1490;0;;0;;0;;0;0;1;11;1;5;1;1641
PSY2;2024;160008231;CLINIQUE VILLA BLEUE;160001038;;;;;;;;;;;11974;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;170020994;CATTP - HOPITAL JOUR PSY ADULT - S5;170780175;;;;;;;;;;;4114;1618;;57;;3340;157;8365;97;;1;3;248;10;38824;264;;;3;394;;1;2.05;0;;0;;0;0;0;;1;1;0;
PSY2;2024;170780282;CLINIQUE HIPPOCRATE - SAUJON;170000186;;;;;;;;;;;20120;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;170780290;VILLA DU PARC - SAUJON;170000194;;;;;;;;;;;29804;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;170782981;HOPITAL MARIUS LACROIX;170024194;;;0;0;;;0;0;645;427;57423;2622;0;0;16;9878;3139;18343;0;0;0;0;0;3;102748;1178;0;0;0;706;10;1;;0;;0;;0;0;;;1;;1;
PSY2;2024;170783146;SERVICES PSYCHIATRIQUES JONZAC;170780050;;;;;;;;;;;5137;231;102;0;0;1324;530;2566;2;1;0;0;18;3;88653;151;47;0;0;1601;963;1;4.67;0;;0;;0;0;0;;1;2;0;
PSY2;2024;170784086;ETABLISSEMENT THERAPEUTIQUE ADO;330785072;;;;;;;;;;;3539;;;;;;;665;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;180000176;CH GEORGE SAND BOURGES;180001158;;;;;;;;;;;111377;726;1258;22;28;5492;2457;13584;;;;;278;186;132716;193;6;;0;1088;385;1;3.75;0;;0;;0;0;0;;1;8;0;
PSY2;2024;180000382;CLINIQUE LA GAILLARDIERE;180008518;;;;;;;;;;;10953;;;;;;;1454;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;180004533;HOPITAL DE JOUR ADULTES AUGY;580780971;;;;;;;;;;;;;;;;;;3618;;;;;22;45;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;0;0;0;0;0;0;0;0;59;0;7526;66;0;0;0;635;15;2711;0;0;0;0;23;0;0;0;0;0;0;0;0;1;0.2;0;;0;;0;0;0;0;1;1;1;4731
PSY2;2024;190000117;ASSO DE GESTION DU CH PAYS EYGURANDE;190000117;;;;;;;;;;;24110;8390;2026;0;528;4289;1887;6357;30;;;;130;63;31557;133;;;;290;77;1;0.5;1;67.35;0;;0;0;1;9;1;16;1;2438
PSY2;2024;190011601;SITE SPECIALISE HENRI LABORIT;190000042;0;0;0;0;0;0;0;0;899;826;10378;207;0;0;0;708;698;2602;61;0;0;0;189;120;31820;2;0;0;0;5;1;1;0.12;0;;0;;0;0;1;;1;;0;
PSY2;2024;210013157;POLE PSYCHIATRIE SANTE MENTALE;210780706;;;;;;;;;;;6860;892;;;;1957;219;1773;149;;;;;;8182;134;;;;1;;1;0.1;0;;0;;0;0;1;1;1;2;0;0
PSY2;2024;210780425;HÔPITAL DE JOUR LES CIGOGNES PEP21;210013041;;;;;;;;;;;;;;;;;;2668;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;;;;;;;;;;;9993;203;;;;2256;1068;;;;;;;;;;;;;;;1;1;0;;0;;0;0;1;1;1;4;;
PSY2;2024;210987632;CH LA CHARTREUSE DIJON;210780607;;;;;3;2;159;154;2411;786;61888;1496;854;;394;8086;5974;14821;9;5;;3;18;33;125598;233;53;;;745;458;1;1;0;;1;12.3;0;0;1;1;1;8;1;
PSY2;2024;220000210;FONDATION BON SAUVEUR;220000210;;;;;;;;;;;37314;1079;;;;4814;2541;14202;382;;;;248;0;98868;577;;;;897;309;1;0.97;0;;0;;0;0;1;2;1;8;1;2048
PSY2;2024;220000236;CENTRE HOSPITALIER DE PLOUGUERNEVEL;220017974;;;;;;;;;;;24627;10923;1457;;1604;6291;2182;66;;;;;;;5082;29;;;;45;2;0;;1;;0;;0;0;1;4;1;9;0;
PSY2;2024;220000319;CLINIQUE LA CERISAIE;220000681;;;;;;;;;;;19555;;;;;;;3334;;;;;;;0;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;220000327;CLINIQUE DU VAL JOSSELIN;220024384;;;;;;;;;;;35405;;;;;;;11431;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;220012751;HOP DE JOUR ENFANTS ROSTRENEN;220017974;0;0;0;0;;;;;;;0;0;0;0;0;0;0;5009;78;0;0;0;235;4;29206;197;;;;80;35;0;;0;;0;;0;0;1;2;0;;0;
PSY2;2024;230000853;CENTRE HOSPITALIER SAINT VAURY;230780074;;;0;0;2;2;16;16;1198;283;17751;1156;47;0;0;1765;1613;9989;153;0;0;0;77;124;43239;207;0;0;0;434;139;0;;0;;0;;0;0;;;;;1;2708
PSY2;2024;230780181;CLINIQUE CHATELGUYON VIERSAT;230000879;;;;;;;;;;;13795;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;240000463;CENTRE HOSPITALIER VAUCLAIRE;240000083;0;0;0;0;0;0;0;0;801;385;30614;3675;366;0;86;8427;5121;17050;438;0;111;0;639;455;118858;911;41;25;14;899;768;1;0.2;1;25;0;;0;0;1;3;1;4;1;1059
PSY2;2024;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;;;;;;;;;229;52;16326;1219;;;208;2515;768;3512;;;;;;;59367;57;;;;62;;1;1.28;0;;0;;0;0;;;;;0;
PSY2;2024;240000646;FONDATION JOHN BOST;240000265;;;;;;;;;;;69711;;;;;;;1610;;;;;;;201;;;;;;;0;;0;;0;;0;0;1;;0;;0;
PSY2;2024;240000687;CENTRE HOSPITALIER SARLAT;240000448;;;;;;;;;;;4355;503;0;0;0;1923;127;1558;76;0;0;0;236;0;8948;432;0;6;0;532;12;1;2.5;0;;0;;0;0;1;1;1;2;0;
PSY2;2024;250000023;CHU BESANCON SITE SAINT-JACQUES;250000015;3;3;60;60;;;;;;;8166;;;;;;;1939;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;250000619;UNITE PSY ADULTE LE GRANDVALLIER CHIHC;250000452;;;;;;;;;;;10339;1909;;;;1894;12;3330;244;;;;113;;15520;453;;;;911;52;1;1;0;;0;;0;0;0;;1;1;0;
PSY2;2024;250000718;CHS NOVILLARS;250000460;;;;;4;4;321;321;881;786;48667;2963;2094;;62;11960;3258;8159;4;3;;;180;9;74311;413;127;;;486;53;0;;0;;0;;0;0;1;5;1;9;1;4893
PSY2;2024;250005196;HOPITAL DE JOUR VELOTTE;250001013;;;;;;;;;;;;;;;;;;2161;;;;;;;41;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;250006954;CHU JEAN MINJOZ BESANCON;250000015;;;;;;;;;;;;;;;;;;;;;;;;;8154;;;;474;;;1;0.8;0;;0;;0;0;;;;;;
PSY2;2024;250014008;CHS ST REMY ET NFC CTRE JEAN MESSAGIER;700004096;;;;;;;;;;;11174;2002;721;27;12;4499;3183;1592;;;;;;;18846;235;8;;1;85;76;0;;0;;0;;0;0;1;2;1;7;1;1060
PSY2;2024;260000302;ETABLISSEMENT MEDICAL LA TEPPE;260000161;;;;;;;;;;;11313;;;;;;;;;;;;;;542;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;260000823;CH DROME-VIVARAIS;260003264;;;;;;;;;1320;987;43770;2210;1522;28;94;10332;9171;13954;540;92;0;0;88;122;129794;1373;512;14;140;1042;666;1;1.5;0;;0;;0;0;1;5;1;8;1;3895
PSY2;2024;260023148;HOPITAL DE JOUR LA REHAB;630786754;;;;;;;;;;;;;;;;;;4952;19;101;;;315;119;28108;178;10;;;321;63;1;0.4;0;;0;;0;0;0;;0;;1;901
PSY2;2024;270000573;NOUVEL HOPITAL DE NAVARRE;270000219;;;;;;;;;296;34;65782;2712;2968;27;395;18430;9667;8703;;25;;;32;0;148293;1241;52;;;1196;351;1;3.79;0;;0;;0;0;1;3;1;15;1;1735
PSY2;2024;270025984;CLINIQUE LA MARE Ô DANS;270029275;;;;;;;;;;;33311;;;;;;;9797;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;270027279;CLINIQUE DES PORTES DE L'EURE;270027881;;;;;;;;;;;30839;;;;;;;4000;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;280000050;CH BONNEVAL;280000142;;;;;;;;;163;100;36754;3509;509;22;32;7549;4746;11255;0;116;0;0;115;243;62392;370;128;4;22;1362;924;1;4.55;0;;0;;0;0;0;;1;9;0;
PSY2;2024;280000084;CH DREUX;280000183;;;;;;;;;;;12033;789;;;;2158;30;5508;1;;;;120;;40406;201;5;12;;380;18;0;;0;;0;;0;0;0;;1;2;1;2001
PSY2;2024;280000696;CH CHARTRES - VAL DE L'EURE;280000134;;;;;;;;;;1623;2442;6;;;;;;5927;;;;;;;8327;;;;;;;0;;0;;0;;0;0;0;;1;1;0;
PSY2;2024;290000033;C.H. DES PAYS DE MORLAIX;290021542;;;;;;;;;204;550;46525;1284;1903;;;5255;1437;17901;151;22;;;187;66;72829;371;64;;;629;75;0;;0;;0;;0;0;1;4;1;4;0;
PSY2;2024;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;;;;;;;;;;;2880;;;;;;;0;;;;;;;0;;;;;;;1;;0;;0;;0;0;0;;0;;1;
PSY2;2024;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;;;;;;;;;;;11587;1569;;;;1562;190;5865;;;;;;;29659;;;;;;;1;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;290000363;CLINIQUE DE KERFRIDEN;920030269;;;;;;;;;;;28121;;;;;;;3822;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;290000728;HOPITAL INSTR ARMEES CLERMONT-TONNERRE;750821092;;;;;;;;;;;4422;;;;;;;1706;;;;;;;1196;;;;;;;1;4.25;0;;0;;0;0;1;1;0;;0;
PSY2;2024;290000736;CLINIQUE DE L'IROISE;290000991;;;;;;;;;;;24478;;;;;;;2959;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;290000744;CLINIQUE PEN AN DALAR;290001007;;;;;;;;;;;43099;;;;;;;2957;;;;;;;;;;;;;;0;;0;;0;;0;0;;1;0;;0;
PSY2;2024;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;;;;;;;;;;;5961;;;;;;;0;;;;;;;248;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;290000918;EPSM FINISTERE SUD SITE QUIMPER;290000298;;;;;;;;;692;66;47318;3640;866;;;5331;1543;25842;110;42;;;160;36;112259;716;171;;;1165;146;1;1.9;0;;0;;0;0;1;3;1;4;1;389
PSY2;2024;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;;;;;;;;;;;3901;;;;;123;;;;;;;;;;;;;;;;;;0;;0;;0;0;;;;;;
PSY2;2024;290003995;GHBS - HOPITAL KERGLANCHARD;560005746;;;;;;;;;;;8317;1240;;;;1107;400;3637;83;;;;108;;16314;568;;;;205;1;;;0;;0;;0;0;;;;;;
PSY2;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;;;;;;;;;;;395;;;;;1;;0;;;;;0;;0;;;;;0;;1;1.8;0;;0;;0;0;0;;0;;0;
