BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT;DIALYSE_AA100;DIALYSE_AA101
DIALYSE;2024;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;121CX;;;;1;0;;;;11;;;;
DIALYSE;2024;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;TOT;0;;;;;;;;;;;0;1
DIALYSE;2024;020018545;SANTELYS UNITÉ DE DIALYSE DE VERVINS;590799995;1130X;;;;8;17;1781;;;;;;;
DIALYSE;2024;030000061;CH DE MOULINS;030780092;112BA;;;;12;45;6874;;;;;;;
DIALYSE;2024;030000061;CH DE MOULINS;030780092;TOT;0;;;;;;560;1;;20;;1;0
DIALYSE;2024;030000079;CH DE MONTLUCON;030780100;112BA;;;;20;;9898;;;;;;;
DIALYSE;2024;030000079;CH DE MONTLUCON;030780100;122BX;;;;2;2;;;;19;;;;
DIALYSE;2024;030000079;CH DE MONTLUCON;030780100;TOT;0;;;;;;821;;;;;1;1
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;112AX;;;;3;1;124;;;;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;112BA;;;;14;48;6835;;;;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1130X;;;;9;35;5413;;;;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1140X;;;;1;3;1182;;;;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1150A;;;;9;3;1300;;;;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1210;;;;;47;;;;2416;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;121AX;;;;;39;;;;2000;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;121CX;;;;9;8;;;;416;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;122AX;;;;10;1;;;;718;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;122BX;;;;4;1;;;;22;;;;
DIALYSE;2024;030000087;CH JACQUES LACARIN VICHY;030780118;TOT;0;;;;;;1468;3;;40;19;1;1
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;112AX;;;;1;6;281;;;;;;;
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;1130X;;;;10;44;6866;;;;;;;
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;1140X;;;;2;;18;;;;;;;
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;1150A;;;;1;2;671;;;;;;;
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;1210;;;;;21;;;;948;;;;
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;121AX;;;;;16;;;;695;;;;
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;121CX;;;;2;5;;;;253;;;;
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;122AX;;;;1;5;;;;173;;;;
DIALYSE;2024;030003669;AURA SANTE MONTLUCON;630000990;TOT;0;;;;;;;;;28;17;0;1
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;112AX;;;;1;3;168;;;;;;;
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;1130X;;;;6;24;4230;;;;;;;
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;1140X;;;;1;;23;;;;;;;
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;1150A;;;;1;1;54;;;;;;;
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;1210;;;;;9;;;;564;;;;
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;121AX;;;;;7;;;;456;;;;
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;121CX;;;;4;2;;;;108;;;;
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;122AX;;;;1;4;;;;225;;;;
DIALYSE;2024;030003719;AURA SANTE MOULINS;630000990;TOT;0;;;;;;;;;15;6;0;1
DIALYSE;2024;030003768;AURA SANTE VICHY;630000990;112AX;;;;1;2;218;;;;;;;
DIALYSE;2024;030003768;AURA SANTE VICHY;630000990;1130X;;;;6;34;5260;;;;;;;
DIALYSE;2024;030003768;AURA SANTE VICHY;630000990;1140X;;;;3;3;1078;;;;;;;
DIALYSE;2024;030003768;AURA SANTE VICHY;630000990;1150A;;;;5;3;1359;;;;;;;
DIALYSE;2024;030003768;AURA SANTE VICHY;630000990;1210;;;;;46;;;;2649;;;;
DIALYSE;2024;030003768;AURA SANTE VICHY;630000990;121AX;;;;;37;;;;2188;;;;
DIALYSE;2024;030003768;AURA SANTE VICHY;630000990;121CX;;;;8;9;;;;461;;;;
DIALYSE;2024;030003768;AURA SANTE VICHY;630000990;TOT;1;1;38;;;;;;;40;20;0;1
DIALYSE;2024;040003113;CTRE NEPHRO B.BRAUN AVITUM SISTERON;920040862;1130X;;;;7;0;1177;;;;;;;
DIALYSE;2024;040003113;CTRE NEPHRO B.BRAUN AVITUM SISTERON;920040862;VACAN;;;;0;0;107;;;;;;;
DIALYSE;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;112AX;;;;1;0;27;;;;;;;
DIALYSE;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;112BA;;;;25;92;14291;;;;;;;
DIALYSE;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;1130X;;;;8;27;4039;;;;;;;
DIALYSE;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;1150A;;;;2;2;374;;;;;;;
DIALYSE;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;TOT;1;2;9;;;;959;1;;39;0;1;0
DIALYSE;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;VACAN;;;;0;1;371;;;;;;;
DIALYSE;2024;040787541;CTRE NEPHRO B.BRAUN AVITUM DIGNE;920040862;1130X;;;;4;11;1326;;;;;;;
DIALYSE;2024;040787541;CTRE NEPHRO B.BRAUN AVITUM DIGNE;920040862;1140X;;;;6;4;620;;;;;;;
DIALYSE;2024;040787541;CTRE NEPHRO B.BRAUN AVITUM DIGNE;920040862;VACAN;;;;0;0;83;;;;;;;
DIALYSE;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;112BA;;;;12;;4111;;;;;;;
DIALYSE;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;TOT;0;;;;;;192;;;;;1;0
DIALYSE;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;112BA;;;;15;;7667;;;;;;;
DIALYSE;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;122AX;;;;0;;;;;5;;;;
DIALYSE;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;TOT;0;;;;;;371;;;;;1;1
DIALYSE;2024;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;112AX;;;;0;0;34;;;;;;;
DIALYSE;2024;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1130X;;;;6;28;3962;;;;;;;
DIALYSE;2024;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1140X;;;;2;3;470;;;;;;;
DIALYSE;2024;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1210;;;;;1;;;;51;;;;
DIALYSE;2024;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;121AX;;;;;1;;;;25;;;;
DIALYSE;2024;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;121CX;;;;0;0;;;;26;;;;
DIALYSE;2024;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;TOT;0;;;;;;;;;;;0;1
DIALYSE;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TOT;0;;;;;;13;;;;;0;0
DIALYSE;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;112BA;;;;13;54;8518;;;;;;;
DIALYSE;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;1210;;;;;;;;;491;;;;
DIALYSE;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;121AX;;;;;;;;;138;;;;
DIALYSE;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;121CX;;;;;;;;;353;;;;
DIALYSE;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;122AX;;;;;;;;;30;;;;
DIALYSE;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;122BX;;;;1;;;;;96;;;;
DIALYSE;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;TOT;0;;;;;;572;2;;23;3;1;1
DIALYSE;2024;060010949;AGAHTIR UDM ANTIBES;060790540;1130X;;;;16;56;8565;;;;;;;
DIALYSE;2024;060010949;AGAHTIR UDM ANTIBES;060790540;TOT;0;;;;;;0;0;;78;0;0;0
DIALYSE;2024;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;060790540;1130X;;;;8;8;1214;;;;;;;
DIALYSE;2024;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;060790540;1140X;;;;10;25;4104;;;;;;;
DIALYSE;2024;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;112BA;;;;15;64;9348;;;;;;;
DIALYSE;2024;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;1130X;;;;16;83;12346;;;;;;;
DIALYSE;2024;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;TOT;0;;;;;;1;1;;;;1;0
DIALYSE;2024;060025285;UAD VALLEE DE LA VESUBIE;750060402;1140X;;;;8;6;719;;;;;;;
DIALYSE;2024;060025285;UAD VALLEE DE LA VESUBIE;750060402;TOT;0;;;;;;;;;2;1;0;0
DIALYSE;2024;060025681;CTRE NEPHRO B.BRAUN AVITUM CAGNES/MER;920040862;1130X;;;;14;22;3258;;;;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112AX;;;;1;6;168;;;;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112BA;;;;20;113;16873;;;;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112BE;;;;0;;7;;;;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1130X;;;;0;;167;;;;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1150A;;;;1;6;;;;;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1210;;;;;12;;;;0;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;121AX;;;;;3;;;;;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;121CX;;;;;9;;;;0;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;122AX;;;;1;4;;;;51;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;122BX;;;;1;3;;;;70;;;;
DIALYSE;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOT;0;;;;;;963;2;;33;9;1;1
DIALYSE;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;112BA;;;;0;;36;;;;;;;
DIALYSE;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;112BE;;;;2;8;1263;;;;;;;
DIALYSE;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1210;;;;;3;;;;116;;;;
DIALYSE;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;121AX;;;;;3;;;;;;;;
DIALYSE;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;121CX;;;;2;;;;;116;;;;
DIALYSE;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TOT;0;;;;;;42;;;5;1;1;1
DIALYSE;2024;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;112AX;;;;2;0;0;;;;;;;
DIALYSE;2024;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;112BA;;;;28;162;25148;;;;;;;
DIALYSE;2024;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;1130X;;;;16;71;11307;;;;;;;
DIALYSE;2024;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;1150A;;;;1;0;0;;;;;;;
DIALYSE;2024;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;TOT;0;;;;;;0;1;;67;0;1;0
DIALYSE;2024;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;1150A;;;;8;8;2143;;;;;;;
DIALYSE;2024;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;1210;;;;;25;;;;1246;;;;
DIALYSE;2024;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121AX;;;;;13;;;;782;;;;
DIALYSE;2024;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121CX;;;;12;12;;;;464;;;;
DIALYSE;2024;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;TOT;0;;;;;;;;;62;15;0;1
DIALYSE;2024;060792736;AGAHTIR AUTODIALYSE NICE;060790540;1140X;;;;10;30;3912;;;;;;;
DIALYSE;2024;060792736;AGAHTIR AUTODIALYSE NICE;060790540;VACAN;;;;;;331;;;;;;;
DIALYSE;2024;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;1140X;;;;12;21;3463;;;;;;;
DIALYSE;2024;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;TOT;0;;;;;;;0;;3;0;0;0
DIALYSE;2024;060792926;CTRE NEPHRO B.BRAUN AVITUM ANTIBES;920040862;112BA;;;;34;119;14536;;;;;;;
DIALYSE;2024;060792926;CTRE NEPHRO B.BRAUN AVITUM ANTIBES;920040862;TOT;0;;;;;;0;1;;78;0;1;0
DIALYSE;2024;060792926;CTRE NEPHRO B.BRAUN AVITUM ANTIBES;920040862;VACAN;;;;0;1;;;;;;;;
DIALYSE;2024;060801016;AGAHTIR AUTODIALYSE MANDELIEU;060790540;1140X;;;;5;15;2379;;;;;;;
DIALYSE;2024;070000179;CH ARDECHE NORD;070780358;112BA;;;;12;;7929;;;;;;;
DIALYSE;2024;070000179;CH ARDECHE NORD;070780358;1130X;;;;8;;3741;;;;;;;
DIALYSE;2024;070000179;CH ARDECHE NORD;070780358;122BX;;;;1;3;;;;;;;;
DIALYSE;2024;070000179;CH ARDECHE NORD;070780358;TOT;0;;;;;;626;;;;;1;1
DIALYSE;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;112BA;;;;11;35;5147;;;;;;;
DIALYSE;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;1130X;;;;6;9;1613;;;;;;;
DIALYSE;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;1210;;;;;4;;;;199;;;;
DIALYSE;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;121AX;;;;;2;;;;89;;;;
DIALYSE;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;121CX;;;;1;2;;;;110;;;;
DIALYSE;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;122AX;;;;1;0;;;;55;;;;
DIALYSE;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;122BX;;;;1;0;;;;1;;;;
DIALYSE;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;TOT;0;;;;;;;1;;6;;1;1
DIALYSE;2024;070786231;AURAL UNITE DIALYSE CH AUBENAS;690796552;1140X;;;;6;12;1987;;;;;;;
DIALYSE;2024;070786231;AURAL UNITE DIALYSE CH AUBENAS;690796552;TOT;0;;;;;;;0;;19;0;0;0
DIALYSE;2024;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;112AX;;;;2;2;250;;;;;;;
DIALYSE;2024;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1130X;;;;1;0;403;;;;;;;
DIALYSE;2024;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1140X;;;;6;9;1614;;;;;;;
DIALYSE;2024;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1150A;;;;3;3;836;;;;;;;
DIALYSE;2024;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1210;;;;;10;;;;506;;;;
DIALYSE;2024;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;121AX;;;;;8;;;;402;;;;
DIALYSE;2024;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;121CX;;;;2;2;;;;104;;;;
DIALYSE;2024;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;TOT;0;;;;;;0;0;;7;2;0;1
DIALYSE;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;112AX;;;;;;44;;;;;;;
DIALYSE;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;112BA;;;;24;94;13409;;;;;;;
DIALYSE;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1150A;;;;3;3;;;;;;;;
DIALYSE;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1210;;;;;19;;;;938;;;;
DIALYSE;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;121AX;;;;;14;;;;717;;;;
DIALYSE;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;121CX;;;;5;5;;;;221;;;;
DIALYSE;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;122AX;;;;;;;;;17;;;;
DIALYSE;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;TOT;1;1;60;;;;1092;2;;54;6;1;1
DIALYSE;2024;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;112AX;;;;1;0;71;;;;;;;
DIALYSE;2024;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;1140X;;;;14;16;1682;;;;;;;
DIALYSE;2024;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;TOT;0;;;;;;0;1;;4;0;0;0
DIALYSE;2024;080011182;UAD ET UDM ARPDD;510000953;112AX;;;;3;;268;;;;;;;
DIALYSE;2024;080011182;UAD ET UDM ARPDD;510000953;1130X;;;;15;65;9222;;;;;;;
DIALYSE;2024;080011182;UAD ET UDM ARPDD;510000953;1140X;;;;11;17;2973;;;;;;;
DIALYSE;2024;080011182;UAD ET UDM ARPDD;510000953;1150A;;;;2;2;531;;;;;;;
DIALYSE;2024;080011182;UAD ET UDM ARPDD;510000953;1210;;;;;18;;;;3132;;;;
DIALYSE;2024;080011182;UAD ET UDM ARPDD;510000953;121AX;;;;;13;;;;2247;;;;
DIALYSE;2024;080011182;UAD ET UDM ARPDD;510000953;121CX;;;;6;5;;;;885;;;;
DIALYSE;2024;080011182;UAD ET UDM ARPDD;510000953;TOT;0;;;;;;0;1;;31;4;0;1
DIALYSE;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;112AX;;;;1;;3;;;;;;;
DIALYSE;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;112BA;;;;12;52;7164;;;;;;;
DIALYSE;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;122AX;;;;1;1;;;;10;;;;
DIALYSE;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;122BX;;;;1;1;;;;47;;;;
DIALYSE;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;TOT;0;;;;;;1290;2;;49;;1;1
DIALYSE;2024;090002833;AAIR UAD UDM DD PAMIERS;310000633;1130X;;;;9;36;5370;;;;;;;
DIALYSE;2024;090002833;AAIR UAD UDM DD PAMIERS;310000633;1140X;;;;3;12;1813;;;;;;;
DIALYSE;2024;090002833;AAIR UAD UDM DD PAMIERS;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;090784125;AAIR UAD LAVELANET;310000633;1140X;;;;6;21;3182;;;;;;;
DIALYSE;2024;090784125;AAIR UAD LAVELANET;310000633;TOT;0;;;;;;;2;;;;0;0
