BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A25;ORG_A26;ORG_A27;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23
ORG;2024;020000519;CH SOISSONS;020000261;;;;2;D;;;;;;;;;;;10;D;;;;;163;A;;;;;0;1;1;;;;;;;
ORG;2024;020000535;CH CHAUNY;020000287;;;;5;D;A;;;;;;;2;B;A;2;D;A;;;;;;;;;;0;1;1;;;;;;;
ORG;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;;;;1;B;;;;;1;E;;2;B;B;;;;;;;1;D;;;;;0;0;;0;;;;;;
ORG;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;1;1;AISNE NORD;;;;
ORG;2024;020001061;CH CHÂTEAU-THIERRY;020004404;;;;;;;;;;;;;1;B;;1;D;;;;;17;A;C;;;;0;1;2;;;;;;;
ORG;2024;020004297;HAD AMSAM SOISSONS;020005179;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;1;2;AISNE NORD;AISNE SUD- SAPHIR;;;
ORG;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;;;;1;B;;;;;;;;1;B;;;;;;;;34;C;A;;;;0;0;;0;;;;;;
ORG;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;1;1;2;0;;;;;;
ORG;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;;;;;;;;;;;;;;;;;;;;;;18;C;D;;;;0;1;1;0;;;;;;
ORG;2024;020010898;HAD CRF CHAUNY;750721334;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;0;;;;;;
ORG;2024;020016341;SSR RENAISSANCE SOISSONS;750814030;;;;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;0;;0;;;;;;
ORG;2024;030000012;CH DE NERIS LES BAINS;030780100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;;;
ORG;2024;030000061;CH DE MOULINS;030780092;1;C;;4;A;C;;;;;;;;;;2;D;B;1;C;;;;;;;;;;;;;;;;;
ORG;2024;030000079;CH DE MONTLUCON;030780100;;;;1;A;;;;;;;;;;;;;;;;;40;C;D;;;;1;1;2;;;;;;;
ORG;2024;030000087;CH JACQUES LACARIN VICHY;030780118;;;;3;D;E;;;;;;;1;A;;;;;1;C;;236;A;D;;;;1;1;2;;;;;;;
ORG;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;;;;54;A;C;;;;;;;4;A;;1;A;;;;;26;A;C;6;A;B;1;0;;;;;;;;
ORG;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;;;;2;A;;;;;;;;2;B;;;;;;;;50;C;A;;;;0;0;;;;;;;;
ORG;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;0;;;0;;;0;;;0;;;1;A;;0;;;0;;;0;;;0;;;0;0;;1;1;ALLIER PUY-DE-DÔME;;;;
ORG;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;0;;;0;;;0;;;0;;;1;A;;0;;;0;;;;;;;;;1;0;;;;;;;;
ORG;2024;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;;;;1;C;;;;;;;;;;;;;;;;;3;C;;;;;0;0;;0;;;;;;
ORG;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;;;;;;;;;;;;;;;;;;;;;;11;C;D;;;;1;1;1;0;;;;;;
ORG;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;;;;;;;;;;;;;;;;;;;;;;41;C;D;;;;0;1;1;0;;;;;;
ORG;2024;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;;;;;;;;;;;;;;;;;;;;;;3;C;;;;;1;1;2;;;;;;;
ORG;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;1;D;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;;;;;;
ORG;2024;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;
ORG;2024;040000044;EPS DUCELIA DE CASTELLANE;040780140;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2024;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;
ORG;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;;;;2;A;;;;;;;;;;;2;D;;;;;90;A;C;;;;0;0;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2024;040000119;EPS LUMIERE DE RIEZ;040780231;;;;1;A;;;;;;;;;;;;;;;;;38;C;;;;;1;1;2;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;;3;A;C;;;;;;;1;B;;1;D;;3;C;;31;C;D;;;;0;1;2;0;;;;;;
ORG;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;;1;A;;;;;;;;;;;2;D;;;;;211;C;;;;;0;1;1;;;;;;;
ORG;2024;040003113;CTRE NEPHRO B.BRAUN AVITUM SISTERON;920040862;;;;;;;;;;;;;;;;;;;;;;5;C;D;;;;1;0;;0;;;;;;
ORG;2024;040780389;CLINIQUE JEAN GIONO;040000150;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;1;2;ALPES-DE-HAUTE-PROVENCE;BOUCHES-DU-RHÔNE;;;
ORG;2024;040780470;CLINIQUE TOUTES AURES;040000192;;;;;;;;;;;;;;;;1;A;B;;;;;;;;;;1;1;1;0;;;;;;
ORG;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;;;;;;;;;;;;;;;;;;;;;;13;C;D;;;;0;0;;0;;;;;;
ORG;2024;040780520;CLINIQUE LE VERDON;310025010;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;2;0;;;;;;
ORG;2024;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;1;C;;1;A;;;;;;;;;;;;;;;;;52;C;;;;;0;1;1;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2024;040784860;CTRE NEPHRO B.BRAUN AVITUM MANOSQUE;920040862;;;;;;;;;;;;;;;;;;;;;;5;C;D;;;;1;0;;0;;;;;;
ORG;2024;040787541;CTRE NEPHRO B.BRAUN AVITUM DIGNE;920040862;;;;;;;;;;;;;;;;;;;;;;5;C;D;;;;1;0;;0;;;;;;
ORG;2024;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;;;;1;D;D;;;;;;;;;;;;;;;;10;A;C;;;;0;0;;1;1;ALPES DU SUD;;;;
ORG;2024;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;;;;1;D;;;;;;;;;;;;;;;;;2;A;;;;;0;1;1;0;;;;;;
ORG;2024;050000066;CENTRE MEDICAL LA SOURCE;050000082;;;;;;;;;;;;;;;;;;;;;;12;;;;;;1;1;1;1;1;ALPES DU SUD;;;;
ORG;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;;;;;;;;;;;;;;;;1;A;E;;;;2;C;;;;;0;1;1;0;;;;;;
ORG;2024;050000132;CH BUECH DURANCE;050007145;;;;;;;;;;;;;;;;;;;;;;120;A;C;;;;1;0;;1;1;ALPES DU SUD;;;;
ORG;2024;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;;;;;;;;;;;;;;;;;;;;;;3;A;;;;;;;;;;;;;;
ORG;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;;;;4;A;B;;;;;;;1;B;;3;D;B;3;C;;120;;;;;;1;1;2;1;1;ALPES DU SUD;;;;
ORG;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;;;;1;D;;;;;;;;;;;;;;1;C;;93;A;C;;;;0;1;2;;;;;;;
ORG;2024;050000298;SSR LA GUISANE;050009067;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;2;ALPES DU SUD;ALPES MARITIMES;;;
ORG;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;;;;3;C;A;;;;;;;1;B;;1;D;;3;C;;270;C;D;;;;0;1;2;0;;;;;;
ORG;2024;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;050000678;;;;;;;;;;;;;;;;;;;;;;4;C;C;;;;1;;;0;;;;;;
ORG;2024;050000637;CLINIQUE MONTJOY;050001163;0;;;0;;;0;;;0;;;0;;;0;;;0;;;4;C;;0;;;1;0;;0;;;;;;
ORG;2024;050000991;CENTRE MEDICAL CHANT'OURS;050000546;1;D;;;;;;;;;;;;;;1;B;;;;;5;A;C;;;;0;0;;0;;;;;;
ORG;2024;050001064;CENTRE MEDICAL LA DURANCE;050000561;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;0;1;2;1;1;ALPES DU SUD;;;;
ORG;2024;050002351;CENTRE RHONE AZUR GAP;130037815;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;0;;;;;;
ORG;2024;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;;;;;;;;;;;;;;;;;;;;;;4;C;A;;;;0;0;;0;;;;;;
ORG;2024;050008630;HJ L'ESCALE BRIANCON;050000116;;;;1;A;;;;;;;;;;;;;;;;;5;;;;;;1;1;2;1;1;ALPES DU SUD;;;;
ORG;2024;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;060780327;;;;;;;;;;;;;;;;;;;;;;;;;1;G;B;;1;2;;;;;;;
ORG;2024;060000296;LA MAISON DU MINEUR;060780640;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;1;1;0;;;;;;
ORG;2024;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;;;;;;;;;;;;;;;;;;;;;;4;D;A;;;;0;0;;;;;;;;
ORG;2024;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;;;;;;;;;;;;;;;;;;;;;;15;C;A;;;;1;1;1;;;;;;;
ORG;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;;;;;;;;;;3;A;D;;;;1;D;;;;;49;C;E;;;;0;1;1;0;;;;;;
ORG;2024;060000486;CH SAINT ELOI DE SOSPEL;060780905;;;;;;;;;;;;;;;;;;;;;;10;D;C;;;;0;0;;;;;;;;
ORG;2024;060000494;CH SAINT LAZARE DE TENDE;060780921;;;;;;;;;;;;;;;;;;;;;;5;C;A;;;;1;0;;;;;;;;
ORG;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;;;;1;A;;;;;;;;;;;1;D;;;;;18;C;;;;;1;1;1;;;;;;;
ORG;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;;;;1;C;;;;;4;A;E;1;E;;;;;;;;187;C;E;1;E;;0;0;;0;;;;;;
ORG;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;;;;3;A;D;;;;;;;;;;3;D;B;1;D;;90;C;D;;;;0;1;2;;;;;;;
ORG;2024;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;1;C;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;1;ALPES MARITIMES;;;;
ORG;2024;060002102;CH LA PALMOSA DE MENTON;060791761;;;;2;D;A;;;;;;;;;;;;;;;;28;C;D;;;;;;;;;;;;;
ORG;2024;060005469;L'OLIVERAIE DES CAYRONS;920030269;;;;;;;;;;;;;;;;;;;;;;55;;;;;;0;;;0;;;;;;
ORG;2024;060006558;HAD ARNAULT TZANCK;060798865;1;B;;;;;;;;;;;;;;;;;;;;2;C;;;;;1;0;;1;1;ALPES MARITIMES;;;;
ORG;2024;060010949;AGAHTIR UDM ANTIBES;060790540;;;;;;;;;;;;;;;;0;;;;;;1;C;D;;;;0;0;;0;;;;;;
ORG;2024;060019213;USLD DOLCE FARNIENTE;060005188;;;;;;;;;;;;;;;;;;;;;;13;;;;;;1;1;1;0;;;;;;
ORG;2024;060021094;CLINIQUE VILLA ROMAINE;060024619;;;;1;D;C;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;
ORG;2024;060021201;CENTRE DE CONVALESCENCE ATLANTIS;060000155;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;1;1;0;;;;;;
ORG;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;;;1;;;;;;;;;;;;4;D;;;;;13;C;;;;;1;1;2;0;;;;;;
ORG;2024;060025285;UAD VALLEE DE LA VESUBIE;750060402;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;0;;;;;;
ORG;2024;060025681;CTRE NEPHRO B.BRAUN AVITUM CAGNES/MER;920040862;;;;;;;;;;;;;;;;;;;;;;2;C;D;;;;0;0;;0;;;;;;
ORG;2024;060030079;VAL DES MIMOSAS;060030061;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;0;;0;;;;;;
ORG;2024;060780145;CLINIQUE SAINT DOMINIQUE;060000049;;;;;;;;;;;;;;;;;;;;;;5;C;D;;;;0;1;2;0;;;;;;
ORG;2024;060780186;LES LAURIERS ROSES;060006939;;;;1;A;B;;;;;;;;;;;;;;;;;;;;;;1;1;2;0;;;;;;
ORG;2024;060780277;CLINIQUE SAINTE BRIGITTE;920030269;;;;;;;;;;;;;;;;;;;;;;68;D;C;;;;0;0;;0;;;;;;
ORG;2024;060780343;E3S SAINT JEAN;060000171;;;;;;;;;;;;;;;;;;;;;;15;;;;;;0;1;2;0;;;;;;
ORG;2024;060780350;CLINIQUE LES HELLENIDES;310025010;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;0;;;;;;
ORG;2024;060780392;POLE ANTIBES SAINT JEAN;060000205;;;;;;;;;;;;;;;;;;;;;;13;;;;;;0;1;2;0;;;;;;
ORG;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;;;;;;;;;;;;;;;;;;;;;;9;C;;;;;1;0;;0;;;;;;
ORG;2024;060780459;CLINIQUE ORSAC MONTFLEURI;010783009;;;;;;;;;;;;;;;;;;;;;;6;C;D;;;;1;1;1;1;1;ALPES MARITIMES;;;;
ORG;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;;;;;;;;;;;;;1;B;;4;D;;;;;38;C;D;2;G;;0;1;2;0;;;;;;
ORG;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;;;;;;;;;;;;;;;;;;;;;;21;C;;;;;0;1;1;0;;;;;;
ORG;2024;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;0;;;;;;
ORG;2024;060780541;CLINIQUE LA GRANGEA;060000262;;;;;;;;;;;;;;;;;;;;;;7;C;D;;;;0;1;1;0;;;;;;
ORG;2024;060780558;CLINIQUE FSEF VENCE;750720575;;;;;;;;;;;;;;;;;;;;;;33;A;C;;;;1;0;;0;;;;;;
ORG;2024;060780590;CLINIQUE DU PALAIS;060000270;;;;2;A;D;;;;;;;;;;4;D;;;;;28;C;;;;;1;1;2;1;1;ALPES MARITIMES;;;;
ORG;2024;060780715;CLINIQUE SAINT GEORGE;060000361;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;0;1;1;0;;;;;;
ORG;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;;;;1;C;B;;;;1;;E;;;;1;A;;;;;30;C;;;;;0;0;;0;;;;;;
ORG;2024;060780749;CLINIQUE SAINT LUC;060000395;;;;1;D;C;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;
ORG;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;0;;;;;;
ORG;2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;;;;;;;1;C;;;;;;;;1;A;;;;;;;;;;;;1;1;1;1;ALPES MARITIMES;;;;
ORG;2024;060780996;CHS SAINTE MARIE;630786754;;;;1;D;;;;;;;;;;;;;;;;;90;C;E;;;;1;1;1;1;1;ALPES MARITIMES;;;;
ORG;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;;;;;;;;;;;;;;;;1;B;;;;;44;C;;;;;1;1;1;0;;;;;;
ORG;2024;060781374;INSTITUT POLYCLINIQUE DE CANNES;060000718;;;;;;;;;;;;;;;;1;A;;;;;10;C;;;;;1;0;;0;;;;;;
ORG;2024;060781929;CLINIQUE DE LA COSTIERE;060000858;;;;1;C;D;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;
ORG;2024;060785243;HAD NICE & REGION;060001484;;;;;;;;;;;;;;;;;;;;;;16;C;;;;;;;;1;1;ALPES MARITIMES;;;;
ORG;2024;060789674;CENTRE HELIO MARIN;130037815;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;1;2;1;1;ALPES MARITIMES;;;;
ORG;2024;060791746;CLINIQUE DE L'ESTAGNOL;060024627;;;;;;;;;;1;E;;;;;1;A;B;;;;7;C;;;;;1;1;1;0;;;;;;
ORG;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;;;;;;;;;;;;;;;;;;;;;;115;C;D;;;;0;1;1;0;;;;;;
ORG;2024;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;;;;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;0;;0;;;;;;
ORG;2024;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;0;;0;;;;;;
ORG;2024;060792926;CTRE NEPHRO B.BRAUN AVITUM ANTIBES;920040862;;;;;;;;;;;;;;;;;;;;;;4;C;D;;;;0;0;;0;;;;;;
ORG;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;;;;;;;;;;;;;1;B;;1;D;;;;;21;C;D;2;G;;0;1;2;1;1;ALPES MARITIMES;;;;
ORG;2024;060798881;MAISON DE CONVALESCENCE LA SERENA;060798873;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;1;1;0;;;;;;
ORG;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;;;;;;;;;;;;;;;;4;D;B;;;;1;A;;;;;1;1;1;0;;;;;;
ORG;2024;060800174;FONDATION LENVAL;060800174;;;;1;C;;;;;;;;;;;1;A;;;;;;;;;;;0;1;1;1;1;ALPES MARITIMES;;;;
ORG;2024;060800182;UNITE DE DIETETIQUE SOMEDI;060002912;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;0;;;;;;
ORG;2024;070000013;CH DE PRIVAS ARDECHE;070002878;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;1;1;1;;;;;;;
ORG;2024;070000021;CH DE JOYEUSE;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;15;C;;;;;1;0;;1;1;DRÔME-ARDÈCHE-VERCORS;;;;
ORG;2024;070000039;CH DE VALLON PONT D'ARC;070780119;;;;1;A;B;;;;;;;;;;1;A;;;;;1;A;;;;;0;1;2;;;;;;;
ORG;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;;;;1;B;C;;;;;;;;;;1;A;;;;;1;C;;;;;0;0;;;;;;;;
ORG;2024;070000062;CH DE BOURG SAINT ANDEOL;070005558;;;;;;;;;;;;;1;A;;;;;;;;20;C;B;;;;1;1;1;;;;;;;
ORG;2024;070000070;CH DU CHEYLARD;070780150;;;;2;A;B;;;;;;;;;;2;B;;1;C;;40;C;A;;;;1;1;2;;;;;;;
ORG;2024;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;;;;2;A;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;
ORG;2024;070000112;CH LEOPOLD OLLIER;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;13;C;;;;;1;0;;1;1;DRÔME-ARDÈCHE-VERCORS;;;;
ORG;2024;070000187;CH DE LAMASTRE;070780366;;;;;;;;;;;;;1;B;;;;;;;;65;A;C;;;;0;0;;;;;;;;
ORG;2024;070000195;CH DE TOURNON SUR RHONE;070780374;;;;;;;;;;;;;2;B;A;1;B;;2;C;;58;C;D;;;;0;1;2;1;1;DRÔME-ARDÈCHE-VERCORS;;;;
ORG;2024;070000203;CH DE SAINT FELICIEN;070780382;;;;;;;;;;;;;;;;;;;;;;11;C;A;;;;0;0;;;;;;;;
ORG;2024;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;;;;;;;;;;;;;;;;;;;;;;6;A;D;;;;0;0;;0;;;;;;
ORG;2024;070005046;HDJ ADULTE GUILHERAND;260003264;;;;1;A;;;;;;;;2;B;;;;;;;;;;;;;;1;1;1;;;;;;;
ORG;2024;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;0;0;;0;;;;;;
ORG;2024;070780226;SSR FILIERIS DES VANS;750050759;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;1;0;;0;;;;;;
ORG;2024;070780234;CENTRE SSR LE CHATEAU;750721300;;;;1;A;;;;;;;;;;;;;;;;;3;C;;;;;0;1;2;1;1;DRÔME-ARDÈCHE-VERCORS;;;;
ORG;2024;070780317;CHS SAINTE-MARIE PRIVAS;630786754;;;;;;;;;;;;;1;B;;;;;;;;155;C;A;;;;0;0;;0;;;;;;
ORG;2024;070780390;CH DE SERRIERES;070000211;;;;1;B;;;;;;;;;;;;;;;;;18;C;A;;;;0;1;2;1;1;LOIRE;;;;
