BOR;AN;FI;RS;GRP;FI_ET;RS_ET
ST;2024;020000287;CH DE CHAUNY;02;020000535;CH CHAUNY
ST;2024;020000295;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;02;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE
ST;2024;020002085;MAISON DE SANTÉ DE BOHAIN;02;020009684;USLD MSB BOHAIN-EN-VERMANDOIS
ST;2024;020003620;CRF JACQUES FICHEUX;02;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN
ST;2024;020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;02;020001061;CH CHÂTEAU-THIERRY
ST;2024;020004495;CENTRE HOSPITALIER D'HIRSON;02;020001087;CH HIRSON
ST;2024;030002158;CH DEPARTEMENTAL COEUR DU BOURBONNAIS;02;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET
ST;2024;030002158;CH DEPARTEMENTAL COEUR DU BOURBONNAIS;02;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN
ST;2024;030005821;SCP CENTRE DE RADIOTHERAPIE;08;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT
ST;2024;030780092;CH DE MOULINS YZEURE;02;030000061;CH DE MOULINS
ST;2024;030780100;CH DE MONTLUCON NERIS-LES-BAINS;02;030000012;CH DE NERIS LES BAINS
ST;2024;030780100;CH DE MONTLUCON NERIS-LES-BAINS;02;030000079;CH DE MONTLUCON
ST;2024;030780100;CH DE MONTLUCON NERIS-LES-BAINS;02;030781637;SERVICE DE PSYCHIATRIE CHATELARD
ST;2024;030780118;CH DE VICHY;02;030000087;CH JACQUES LACARIN VICHY
ST;2024;030780126;CH DE BOURBON L'ARCHAMBAULT;02;030000095;CH DE BOURBON L'ARCHAMBAULT
ST;2024;030780282;CHS D'AINAY LE CHATEAU;02;030000160;CHS D'AINAY LE CHATEAU
ST;2024;040780132;EPS PIERRE GROUES DE BARCELONNETTE;02;040000036;EPS PIERRE GROUES DE BARCELONNETTE
ST;2024;040780140;EPS DUCELIA CASTELLANE;02;040000044;EPS DUCELIA DE CASTELLANE
ST;2024;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;02;040000069;CHI MANOSQUE SITE FORCALQUIER
ST;2024;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;02;040000093;CHI DE MANOSQUE LOUIS RAFFALLI
ST;2024;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;02;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE
ST;2024;040780231;EPS LUMIERE DE RIEZ;02;040000119;EPS LUMIERE DE RIEZ
ST;2024;040780249;EPS VALLEE DE LA BLANCHE;02;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES
ST;2024;040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;02;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS
ST;2024;050000108;CENTRE HOSPITALIER AIGUILLES QUEYRAS;02;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS
ST;2024;050000116;CH LES ESCARTONS A BRIANCON;02;050000231;CH LES ESCARTONS A BRIANCON
ST;2024;050000116;CH LES ESCARTONS A BRIANCON;02;050008630;HJ L'ESCALE BRIANCON
ST;2024;050000124;CENTRE HOSPITALIER D'EMBRUN;02;050000256;CENTRE HOSPITALIER D'EMBRUN
ST;2024;050002948;CHI DES ALPES DU SUD;02;040000135;CHI DES ALPES DU SUD SITE DE SISTERON
ST;2024;050002948;CHI DES ALPES DU SUD;02;050000348;CHI DES ALPES DU SUD SITE DE GAP
ST;2024;050007145;CENTRE HOSPITALIER BUECH DURANCE;02;050000132;CH BUECH DURANCE
ST;2024;060003621;CTRE COBALT TRAITE HTE ENERG SITE CLIN;08;060021342;CTRE COBALTH TRAIT HTE ENERG SITE CLIN
ST;2024;060006889;HOPITAUX DE LA VESUBIE;02;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE
ST;2024;060019551;CTRE AZUREEN CANCEROLOGIE SITE TZANCK;08;060019627;CTRE AZUREEN CANCEROLOGIE SITE TZANCK
ST;2024;060780327;CH SAINT MAUR SAINT ETIENNE TINEE;02;060000163;CH SAINT MAUR SAINT ETIENNE TINEE
ST;2024;060780657;CENTRE HOSPITALIER DE BREIL SUR ROYA;02;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA
ST;2024;060780780;CH DU PAYS DE LA ROUDOULE A PUGET;02;060000411;CH DU PAYS DE LA ROUDOULE PUGET
ST;2024;060780897;CENTRE HOSPITALIER DE GRASSE;02;060000478;CENTRE HOSPITALIER DE GRASSE
ST;2024;060780905;CH SAINT ELOI DE SOSPEL;02;060000486;CH SAINT ELOI DE SOSPEL
ST;2024;060780921;CH SAINT LAZARE DE TENDE;02;060000494;CH SAINT LAZARE DE TENDE
ST;2024;060780954;CH D'ANTIBES JUAN LES PINS;02;060000510;CH D'ANTIBES JUAN LES PINS
ST;2024;060780962;CENTRE ANTOINE LACASSAGNE;08;060000528;CENTRE ANTOINE LACASSAGNE
ST;2024;060780962;CENTRE ANTOINE LACASSAGNE;08;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2
ST;2024;060780988;CH DE CANNES SIMONE VEIL;02;060000544;CH DE CANNES SIMONE VEIL
ST;2024;060780988;CH DE CANNES SIMONE VEIL;02;060790185;USLD SIMONE VEIL CH CANNES
ST;2024;060781010;POLE SANTE VALLAURIS GOLFE JUAN;02;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN
ST;2024;060785011;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;02;060010899;INSTITUT UNIVERSITAIRE FACE ET COU
ST;2024;060785011;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;02;060785003;CHU DE NICE HOPITAL PASTEUR
ST;2024;060785011;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;02;060788957;CHU DE NICE HOPITAL DE CIMIEZ
ST;2024;060785011;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;02;060789195;CHU DE NICE HOPITAL DE L'ARCHET
ST;2024;060785011;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;02;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE
ST;2024;060790540;AGAHTIR;06;060010949;AGAHTIR UDM ANTIBES
ST;2024;060790540;AGAHTIR;06;060019676;AGAHTIR AUTODIALYSE UDM GRASSE
ST;2024;060790540;AGAHTIR;06;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE
ST;2024;060790540;AGAHTIR;06;060792090;AGAHTIR DIALYSE A DOMICILE NICE
ST;2024;060790540;AGAHTIR;06;060792736;AGAHTIR AUTODIALYSE NICE
ST;2024;060790540;AGAHTIR;06;060801016;AGAHTIR AUTODIALYSE MANDELIEU
ST;2024;060790797;ASSOCIATION DES AMIS DE LA TRANSFUSION;06;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK
ST;2024;060790797;ASSOCIATION DES AMIS DE LA TRANSFUSION;06;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS
ST;2024;060791761;CH LA PALMOSA DE MENTON;02;060002102;CH LA PALMOSA DE MENTON
ST;2024;070000211;CH DE SERRIERES;02;070780390;CH DE SERRIERES
ST;2024;070001649;SELARL IMAGERIE MÉDICALE ET RADIOTH;08;260003157;CENTRE MARIE CURIE
ST;2024;070002878;CH DE PRIVAS ARDECHE;02;070000013;CH DE PRIVAS ARDECHE
ST;2024;070002878;CH DE PRIVAS ARDECHE;02;070783824;MAISON DE CURE DU MONTOULON
ST;2024;070002878;CH DE PRIVAS ARDECHE;02;070784517;LONG SEJOUR CH DE PRIVAS
ST;2024;070005558;CH BOURG SAINT ANDEOL;02;070000062;CH DE BOURG SAINT ANDEOL
ST;2024;070005566;CH ARDECHE MERIDIONALE;02;070000484;CH ARDECHE MERIDIONALE -VALS LES BAINS
ST;2024;070005566;CH ARDECHE MERIDIONALE;02;070000609;CH ARDECHE MERIDIONALE - AUBENAS
ST;2024;070005566;CH ARDECHE MERIDIONALE;02;070006804;SSR L.ROUVEYROL CH ARDECHE MERIDIONALE
ST;2024;070007927;CH DES CEVENNES ARDECHOISES;02;070000021;CH DE JOYEUSE
ST;2024;070007927;CH DES CEVENNES ARDECHOISES;02;070000112;CH LEOPOLD OLLIER
ST;2024;070780119;CH DE VALLON PONT D'ARC;02;070000039;CH DE VALLON PONT D'ARC
ST;2024;070780127;CH DE VILLENEUVE DE BERG;02;070000047;CH DE VILLENEUVE DE BERG
ST;2024;070780150;CH DU CHEYLARD;02;070000070;CH DU CHEYLARD
ST;2024;070780358;CH ARDECHE NORD;02;070000179;CH ARDECHE NORD
ST;2024;070780366;CH DE LAMASTRE;02;070000187;CH DE LAMASTRE
ST;2024;070780374;CH DE TOURNON SUR RHONE;02;070000195;CH DE TOURNON SUR RHONE
ST;2024;070780382;CH DE SAINT FELICIEN;02;070000203;CH DE SAINT FELICIEN
ST;2024;080000086;CH BELAIR;02;080000318;CH BELAIR
ST;2024;080001969;GROUPE HOSPITALIER SUD ARDENNES;02;080000219;CENTRE HOSPITALIER DE RETHEL
ST;2024;080001969;GROUPE HOSPITALIER SUD ARDENNES;02;080000276;CENTRE HOSPITALIER DE VOUZIERS
ST;2024;080011174;CHI NORD ARDENNES;02;080000110;CENTRE HOSPITALIER DE SEDAN
ST;2024;080011174;CHI NORD ARDENNES;02;080000284;CENTRE HOSPITALIER DE FUMAY
ST;2024;080011174;CHI NORD ARDENNES;02;080000300;CENTRE HOSPITALIER DE NOUZONVILLE
ST;2024;080011174;CHI NORD ARDENNES;02;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER
ST;2024;080011174;CHI NORD ARDENNES;02;080005960;USLD SITE CENTRE DE SANTE
ST;2024;080011174;CHI NORD ARDENNES;02;080009814;ANTENNE DE SMUR - CH CHARLEVILLE
ST;2024;080011224;GCS ES HAD DES ARDENNES;02;080011257;GCS ES HAD DES ARDENNES SITE RETHEL
ST;2024;080011224;GCS ES HAD DES ARDENNES;02;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE
ST;2024;090180019;CH SAINT LOUIS;02;090000019;CH SAINT LOUIS AX LES THERMES
ST;2024;090781774;CHIVA;02;090000175;CHIVA SITE ST JEAN DE VERGES
ST;2024;090781774;CHIVA;02;090001629;CHIVA SITE LAVELANET
ST;2024;090781816;CH ARIEGE COUSERANS;02;090000183;CH ARIEGE COUSERANS SITE ST LIZIER
ST;2024;090781816;CH ARIEGE COUSERANS;02;090003823;USLD ST LIZIER CH ARIEGE COUSERANS
ST;2024;100000017;CENTRE HOSPITALIER DE TROYES;02;100000090;CENTRE HOSPITALIER DE TROYES
ST;2024;100000017;CENTRE HOSPITALIER DE TROYES;02;100006493;SECTION MOYEN SEJOUR - CH DE TROYES
ST;2024;100000017;CENTRE HOSPITALIER DE TROYES;02;100009364;MCO COMTE HENRI - CH DE TROYES
ST;2024;100000017;CENTRE HOSPITALIER DE TROYES;02;100009380;UNITE D'ALCOOLOGIE JEAN SCHIFFER
ST;2024;100000017;CENTRE HOSPITALIER DE TROYES;02;100010206;ANTENNE SMUR DE BAR SUR AUBE
ST;2024;100000033;EPSMA;02;100000108;EPSMA
ST;2024;100000041;HOPITAL LOCAL BAR SUR AUBE;02;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE
ST;2024;100000058;CH DE PROXIMITE CHRISTIAN BRAUN;02;100000140;CH DE PROXIMITE CHRISTIAN BRAUN
ST;2024;100006279;GROUPEMENT HOSPITALIER AUBE MARNE;02;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE
ST;2024;100006279;GROUPEMENT HOSPITALIER AUBE MARNE;02;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE
ST;2024;100006279;GROUPEMENT HOSPITALIER AUBE MARNE;02;100007699;HAD GHAM
ST;2024;100006279;GROUPEMENT HOSPITALIER AUBE MARNE;02;510000177;CENTRE HOSPITALIER DE SEZANNE
ST;2024;100006279;GROUPEMENT HOSPITALIER AUBE MARNE;02;510023922;ANTENNE DE SMUR - GHAM
ST;2024;110780061;CH CARCASSONNE;02;110000023;CH CARCASSONNE
ST;2024;110780061;CH CARCASSONNE;02;110006137;USLD LES RIVES D'ODE CH CARCASSONNE
ST;2024;110780061;CH CARCASSONNE;02;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD
ST;2024;110780061;CH CARCASSONNE;02;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN
ST;2024;110780087;CH CASTELNAUDARY;02;110000049;CH JP CASSABEL CASTELNAUDARY
ST;2024;110780137;CH NARBONNE;02;110000056;CH NARBONNE
ST;2024;110780137;CH NARBONNE;02;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE
ST;2024;110780137;CH NARBONNE;02;110005246;SSR GERIATRIE CH NARBONNE
ST;2024;110780137;CH NARBONNE;02;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE
ST;2024;110780707;CH LIMOUX QUILLAN;02;110000189;CH LIMOUX QUILLAN SITE DE LIMOUX
ST;2024;110780707;CH LIMOUX QUILLAN;02;110780236;CH LIMOUX QUILLAN SITE DE QUILLAN
ST;2024;110780772;CH LEZIGNAN CORBIERES;02;110000247;CH LEZIGNAN CORBIERES
ST;2024;110781010;CH FRANCIS VALS;02;110000262;CH FRANCIS VALS PORT LA NOUVELLE
ST;2024;120004528;CH MILLAU;02;120004569;CH MILLAU
ST;2024;120004528;CH MILLAU;02;120007554;SSR SITE STE ANNE CH MILLAU
ST;2024;120004528;CH MILLAU;02;120783097;USLD CH MILLAU
ST;2024;120004619;CH ST AFFRIQUE;02;120004668;CH EMILE BOREL ST AFFRIQUE
ST;2024;120780044;CH DE RODEZ HOPITAL JACQUES PUEL;02;120000039;CH DE RODEZ HOPITAL JACQUES PUEL
ST;2024;120780044;CH DE RODEZ HOPITAL JACQUES PUEL;02;120783188;CH RODEZ SITE LES PEYRIERES OLEMPS
ST;2024;120780044;CH DE RODEZ HOPITAL JACQUES PUEL;02;120786959;USLD OLEMPS CH RODEZ
ST;2024;120780069;CH VILLEFRANCHE ROUERGUE CHARTREUSE;02;120000054;CH VILLEFRANCHE SITE CHARTREUSE
ST;2024;120780069;CH VILLEFRANCHE ROUERGUE CHARTREUSE;02;120008248;SSR CH VILLEFRANCHE SITE RULHE
ST;2024;120780069;CH VILLEFRANCHE ROUERGUE CHARTREUSE;02;120782263;USLD CH VILLEFRANCHE SITE RULHE
ST;2024;120780085;CH PIERRE DELPECH DECAZEVILLE;02;120000070;CH PIERRE DELPECH DECAZEVILLE
ST;2024;120780093;CH ST GENIEZ D'OLT ET AUBRAC;02;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT
ST;2024;120780101;CHI ESPALION ST LAURENT D'OLT;02;120000096;CHI ESPALION ST LAURENT D'OLT
ST;2024;120780291;CH MAURICE FENAILLE;02;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU
ST;2024;120780481;CHI VALLON SALLES LA SOURCE;02;120000237;CHI VALLON SALLES LA SOURCE
ST;2024;130001415;CLINIQUE BOUCHARD;06;130035223;BOUCHARD AUTODIALYSE ACTIPOLE 12 MRS
ST;2024;130001928;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;02;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;130008287;ADPC UNITE D'AUTODIALYSE MARSEILLE 02
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;130034614;ADPC UNITE D'AUTODIALYSE MARSEILLE 09
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;130035959;ADPC UDM MARSEILLE SITE HOP CONCEPT
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;130050396;ADPC MARTIGUES SITE CH
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;130050404;ADPC MARSEILLE NORD SITE CH
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;130051741;ADPC AUTODIALYSE ALLAUCH
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;130806029;ADPC UDM AUTO PERIT DOM AIX
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;130806417;ADPC UNITE D'AUTODIALYSE AUBAGNE
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE
ST;2024;130006810;ASSOCIATION DIALYSES PROVENCE ET CORSE;06;840015200;ADPC PERTUIS AUTODIALYSE
ST;2024;130007156;CTRE D'HEMODIALYSE DE PROVENCE AUBAGNE;06;130809809;CTRE D'HEMODIALYSE DE PROVENCE AUBAGNE
ST;2024;130008980;CENTRE DE RADIOTH BEAUREGARD SITE HP;08;130009079;CTRE RADIOTHERAPIE BEAUREGARD SITE HP
ST;2024;130016058;ATUP C;06;130036650;ATUP AUTODIALYSE VITROLLES
ST;2024;130016058;ATUP C;06;130044845;ATUP AUTO DIALYSE MARSEILLE 13
ST;2024;130016058;ATUP C;06;130806078;ATUP UDM ET DOMICILE MARSEILLE 08
ST;2024;130016058;ATUP C;06;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO
ST;2024;130028228;HOPITAUX DES PORTES DE CAMARGUE;02;130001258;HOPITAUX PORTES DE CAMARGUE TARASCON
ST;2024;130028228;HOPITAUX DES PORTES DE CAMARGUE;02;300000049;CH BEAUCAIRE
ST;2024;130029218;CENTRE D'HEMODIALYSE DE PROVENCE AIX;06;130038003;CENTRE D'HEMODIALYSE DE PROVENCE AIX
ST;2024;130034572;LOCARAD;08;130034580;CTRE RADIOTHERAPIE PAYS D'AIX LOCARAD
ST;2024;130037856;SA IRIDIS MARSEILLE SITE HP CLAIRVAL;08;130048176;IRIDIS MARSEILLE SITE HP CLAIRVAL
ST;2024;130041916;CHI AIX PERTUIS;02;130000409;CHI SITE D'AIX EN PROVENCE
ST;2024;130041916;CHI AIX PERTUIS;02;130798358;USLD DUQUESNE SITE AIX
ST;2024;130041916;CHI AIX PERTUIS;02;840000491;CHI SITE DE PERTUIS
ST;2024;130050545;NEPHROCARE AIX EN PROVENCE;06;130024268;NEPHROCARE SALON CENTRE D'HEMODIALYSE
ST;2024;130780554;CHS EDOUARD TOULOUSE;02;130000235;CHS EDOUARD TOULOUSE
ST;2024;130781131;CHS MONTPERRIN;02;130000433;CHS MONTPERRIN
ST;2024;130781131;CHS MONTPERRIN;02;840018691;HJ CMP CATTP REGAIN PERTUIS
ST;2024;130781339;CH LOUIS BRUNET D'ALLAUCH;02;130000516;CH LOUIS BRUNET D'ALLAUCH
ST;2024;130781446;CENTRE HOSPITALIER GENERAL D'AUBAGNE;02;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE
ST;2024;130781446;CENTRE HOSPITALIER GENERAL D'AUBAGNE;02;130012768;CH EDMOND GARCIN MOYEN SEJOUR AUBAGNE
ST;2024;130782634;HOPITAL DU PAYS SALONAIS;02;130001225;HOPITAL DU PAYS SALONAIS
ST;2024;130784127;INSTITUT PAOLI CALMETTES;08;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP
ST;2024;130784127;INSTITUT PAOLI CALMETTES;08;130001647;INSTITUT PAOLI CALMETTES
ST;2024;130785512;CENTRE HOSPITALIER GENERAL LA CIOTAT;02;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT
ST;2024;130786049;APHM DIRECTION GENERALE;02;130044977;APHM ANTENNE SMUR DE MARIGNANE
ST;2024;130786049;APHM DIRECTION GENERALE;02;130044985;APHM ANTENNE SMUR DE LOUVAIN
ST;2024;130786049;APHM DIRECTION GENERALE;02;130044993;APHM ANTENNE SMUR DE PLOMBIERES
ST;2024;130786049;APHM DIRECTION GENERALE;02;130045008;APHM ANTENNE SMUR D'ENDOUME
ST;2024;130786049;APHM DIRECTION GENERALE;02;130045016;APHM ANTENNE SMUR DE MARIGNANE
ST;2024;130786049;APHM DIRECTION GENERALE;02;130045040;APHM ANTENNE SMUR DE LAVERAN
ST;2024;130786049;APHM DIRECTION GENERALE;02;130780521;APHM HOPITAL NORD
ST;2024;130786049;APHM DIRECTION GENERALE;02;130783236;APHM HOPITAL DE LA CONCEPTION
ST;2024;130786049;APHM DIRECTION GENERALE;02;130783293;APHM HOPITAL LA TIMONE
ST;2024;130786049;APHM DIRECTION GENERALE;02;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE
ST;2024;130786049;APHM DIRECTION GENERALE;02;130804297;APHM HOPITAL LA TIMONE ENFANTS
ST;2024;130786494;CHS VALVERT MARSEILLE;02;130002496;CHS VALVERT MARSEILLE
ST;2024;130789274;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;02;130002827;CH JOSEPH IMBERT D'ARLES
ST;2024;130789316;CENTRE HOSPITALIER DE MARTIGUES;02;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES
ST;2024;130789316;CENTRE HOSPITALIER DE MARTIGUES;02;130790157;CH DE MARTIGUES HOPITAL DU VALLON
ST;2024;140000035;CH LISIEUX;02;140000027;CENTRE HOSPITALIER DE LISIEUX
ST;2024;140000092;CH AUNAY-BAYEUX;02;140000076;CH AUNAY-BAYEUX
ST;2024;140000092;CH AUNAY-BAYEUX;02;140004136;UNITE PSYCHIATRIQUE - CH BAYEUX
ST;2024;140000092;CH AUNAY-BAYEUX;02;140016155;HAD DE BAYEUX
ST;2024;140000092;CH AUNAY-BAYEUX;02;140017401;UNITE SOINS LONGUE DUREE - CH BAYEUX
ST;2024;140000092;CH AUNAY-BAYEUX;02;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX
ST;2024;140000092;CH AUNAY-BAYEUX;02;140025362;SSR GÉRIATRIQUE CHAMP FLEURY
ST;2024;140000100;CHU CAEN;02;140000209;CHU CAEN
ST;2024;140000100;CHU CAEN;02;140004383;CHR GEORGES CLEMENCEAU - CAEN
ST;2024;140000100;CHU CAEN;02;140012196;UNITE SOINS LONGUE DUREE - CHU CAEN
ST;2024;140000118;CH FALAISE;02;140000233;CH FALAISE
ST;2024;140000118;CH FALAISE;02;140013830;UNITE SOINS LONGUE DUREE - CH FALAISE
ST;2024;140000134;CH PONT L'EVEQUE;02;140008152;CH PONT L'EVEQUE SITE DU VAL D'AUGE
ST;2024;140000159;CH VIRE;02;140000373;CENTRE HOSPITALIER DE VIRE
ST;2024;140000159;CH VIRE;02;500021274;HAD DU CH DE VIRE SITE DE MORTAIN
ST;2024;140000159;CH VIRE;02;500021282;HAD DU CH DE VIRE SITE DE VILLEDIEU
ST;2024;140000159;CH VIRE;02;610007312;HAD DU CH DE VIRE - SITE DE FLERS
ST;2024;140000316;EPSM CAEN;02;140000456;ETS PUBLIC DE SANTE MENTALE
ST;2024;140000639;CLCC F BACLESSE;08;140000555;CLCC F BACLESSE
ST;2024;140000639;CLCC F BACLESSE;08;140030891;UNITE RADIOTHERAPIE EXTERNE CFB
ST;2024;140000852;ANIDER;06;140002254;ANIDER HEROUVILLE SAINT CLAIR
ST;2024;140000852;ANIDER;06;140027434;ANIDER - HONFLEUR
ST;2024;140000852;ANIDER;06;140028895;ANIDER - BAYEUX
ST;2024;140000852;ANIDER;06;270017338;UNITE AUTODIALYSE ASSISTEE ASS ANIDER
ST;2024;140000852;ANIDER;06;270017379;UNITE AUTODIALYSE ASSISTEE ASS ANIDER
ST;2024;140000852;ANIDER;06;270017429;UNITE AUTODIALYSE ASSISTEE ASS ANIDER
ST;2024;140000852;ANIDER;06;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER
ST;2024;140000852;ANIDER;06;500021373;ANIDER - MARIGNY
ST;2024;140000852;ANIDER;06;500021381;ANIDER - ST SAUVEUR LE VICOMTE
ST;2024;140000852;ANIDER;06;500021399;ANIDER - TOURLAVILLE
ST;2024;140000852;ANIDER;06;500021415;ANIDER - SARTILLY
ST;2024;140000852;ANIDER;06;610006710;ANIDER - ARGENTAN
ST;2024;140000852;ANIDER;06;610006728;ANIDER - ALENCON
ST;2024;140000852;ANIDER;06;610006736;ANIDER - FLERS
ST;2024;140000852;ANIDER;06;760025668;UNITE AUTODIALYSE ASSISTEE ASS ANIDER
ST;2024;140000852;ANIDER;06;760025718;ANIDER - EU
ST;2024;140000852;ANIDER;06;760025809;ANIDER - FECAMP
ST;2024;140000852;ANIDER;06;760025858;UNITE AUTODIALYSE ASSISTEE ASS ANIDER
ST;2024;140000852;ANIDER;06;760025908;UNITE AUTODIALYSE ASSISTEE ASS ANIDER
ST;2024;140000852;ANIDER;06;760026088;UDM & UNITE AUTODIALYSE ASSISTEE
ST;2024;140000852;ANIDER;06;760035592;UNITE DIALYSE MEDICALISEE LE HAVRE
ST;2024;140000852;ANIDER;06;760917773;ANIDER - ROUEN INNOVATION SANTE
ST;2024;140026279;CH COTE FLEURIE;02;140000241;CH COTE FLEURIE - SITE D'EQUEMAUVILLE
ST;2024;140026279;CH COTE FLEURIE;02;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF
