"GHT_LIBC";"GHT_CODE";"GHT_LIB";"LIT_MED";"LIT_CHI";"LIT_OBS";"LIT_MCO";"SEJHC_MED";"SEJHC_CHI";"SEJHC_OBS";"SEJHC_MCO";"JOU_MED";"JOU_CHI";"JOU_OBS";"JOU_MCO";"PLA_MED";"PLA_CHI";"PLA_OBS";"PLA_MCO";"SEJHP_MED";"SEJHP_CHI";"SEJHP_OBS";"SEJHP_MCO";"SEANCES_MED";"SPED";"UGER";"UNV";"USURV";"CAP_HC_GEN";"CAP_HC_INF";"CAP_HC_PEN";"CAP_HC_TOT";"SEJ_HTP_GEN";"SEJ_HTP_INF";"SEJ_HTP_PEN";"SEJ_HTP_TOT";"CAP_HDJ_GEN";"CAP_HDJ_INF";"CAP_HDJ_PEN";"CAP_HDJ_TOT";"VEN_HDJ_GEN";"VEN_HDJ_INF";"VEN_HDJ_PEN";"VEN_HDJ_TOT";"CAP_HDN_GEN";"CAP_HDN_INF";"CAP_HDN_TOT";"VEN_HDN_GEN";"VEN_HDN_INF";"VEN_HDN_TOT";"NB_CATTP_GEN";"NB_CATTP_INF";"NB_CATTP_TOT";"ACT_CATTP_GEN";"ACT_CATTP_INF";"ACT_CATTP_TOT";"NB_CMP_CONSULT_GEN";"NB_CMP_CONSULT_INF";"NB_CMP_CONSULT_TOT";"ACT_CMP_CONSULT_GEN";"ACT_CMP_CONSULT_INF";"ACT_CMP_CONSULT_TOT";"FIL_AMB_GEN";"FIL_AMB_INF";"FIL_AMB_PEN";"FIL_AMB_TOT";"FIL_TOT_GEN";"FIL_TOT_INF";"FIL_TOT_PEN";"FIL_TOT_TOT";"NB_USMP_1";"ACT_PEN";"NB_UHSA";"NB_SMPR";"NB_USMP_2";"LIT_SSR";"SEJHC_SSR";"JOUHC_SSR";"PLA_SSR";"JOUHP_SSR";"LIT_USLD";"ENT";"JOU_USLD";"PLATOT_HAD";"SEJ_HAD";"JOU_HAD";"FIL_HAD";"AUTGEN";"PASSU_GEN";"AUTPED";"PASSU_PED";"GEN";"PED";"ANT";"SAMU";"REA";"SEJ_REASI";"SEJ_SURV";"CPPR";"TYPE1";"SEJACC";"TYPE2";"SEJ_NEO";"TYPE3";"SEJ_REA";"TRT_HEMO_CENTRE";"SEAN_HEMO_CENTRE";"TRT_INSUFF_REN";"SEM_TRT_INSUFF_REN";"CHIMIO";"SEAN_CHIMIO";"RTH";"SEAN_RADIO";"CHIRCAR";"CARDIO_INT";"NEUROCHIR";"NEURO_INT";"GREFFE";"AMP";"PRIS";"EFFSAL_SPEMED";"EFFSAL_DT_MEDGEN";"EFFSAL_DT_URG";"EFFSAL_DT_ANESTREA";"EFFSAL_SPECHI";"EFFSAL_DT_GYNOBS";"EFFSAL_PSY";"EFFSAL_ODON";"EFFSAL_PHARMA";"EFFSAL_AUT";"EFFSAL_TOT";"EFFLIB_SPEMED";"EFFLIB_DT_MEDGEN";"EFFLIB_DT_URG";"EFFLIB_DT_ANESTREA";"EFFLIB_SPECHI";"EFFLIB_DT_GYNOBS";"EFFLIB_PSY";"EFFLIB_ODON";"EFFLIB_PHARMA";"EFFLIB_AUT";"EFFLIB_TOT";"ETPSAL_SPEMED";"ETPSAL_DT_MEDGEN";"ETPSAL_DT_URG";"ETPSAL_DT_ANESTREA";"ETPSAL_SPECHI";"ETPSAL_DT_GYNOBS";"ETPSAL_PSY";"ETPSAL_ODON";"ETPSAL_PHARMA";"ETPSAL_AUT";"ETPSAL_TOT";"EFF_INT";"ETP_INT";"EFFPNM_SAG";"EFFPNM_CAD";"EFFPNM_INFAVECSPE";"EFFPNM_INFSANSSPE";"EFFPNM_AID";"EFFPNM_ASH";"EFFPNM_PSYCHO";"EFFPNM_REEDU";"EFFPNM_SOINS";"EFFPNM_DIR";"EFFPNM_DIRSOI";"EFFPNM_AUTADM";"EFFPNM_EDU";"EFFPNM_DTSOC";"EFFPNM_PERSPHARMA";"EFFPNM_PERSLABO";"EFFPNM_PERSRADIO";"EFFPNM_AUTMEDTEC";"EFFPNM_TEC";"EFFPNM_TOT_HORS_SOINS";"EFFPNM_TOT_PNM";"ETPPNM_SAG";"ETPPNM_CAD";"ETPPNM_INFAVECSPE";"ETPPNM_INFSANSSPE";"ETPPNM_AID";"ETPPNM_ASH";"ETPPNM_PSYCHO";"ETPPNM_REEDU";"ETPPNM_SOINS";"ETPPNM_DIR";"ETPPNM_DIRSOI";"ETPPNM_AUTADM";"ETPPNM_EDU";"ETPPNM_DTSOC";"ETPPNM_PERSPHARMA";"ETPPNM_PERSLABO";"ETPPNM_PERSRADIO";"ETPPNM_AUTMEDTEC";"ETPPNM_TEC";"ETPPNM_TOT_HORS_SOINS";"ETPPNM_TOT_PNM";"PHARMA_A7";"PHARMA_B7";"PHARMA_C7";"PHARMA_D7";"PHARMA_E7";"PHARMA_A11";"PHARMA_A20";"PHARMA_A26";"NB_SCAN";"NB_IRM";"NB_CAM";"NB_TOMO";"NB_MAMM";"NB_LITHO";"NB_RADIO";"NB_VASC";"ACT_SCAN";"ACT_IRM";"ACT_CAM";"ACT_TOMO";"ACT_MAMM";"ACT_LITHO";"ACT_RADIO";"ACT_VASC";"SAL_INTERV";"SALTOT24";"SALAMBU";"ACT_BLOCS";"SURV_TOT";"POST_REVEIL";"NB_ET";"NB_CH";"NB_CHU";"NB_CHS";"NB_AUT"
"ARA-12";"84112";"Rhône Nord Beaujolais Dombes";484;66;38;588;28123;3828;3064;35015;154988;17679;11685;184352;36;14;1;51;4455;8119;1021;13595;8245;1;2;1;1;158;0;0;158;1852;0;0;1852;83;55;0;138;4354;3458;0;7812;5;0;5;0;0;0;11;17;28;11279;11448;22727;33;18;51;36950;27074;64024;0;0;0;0;7693;3140;0;10833;1;835;0;0;0;302;2647;87352;15;5072;100;77;31395;0;0;0;0;2;98860;0;0;2;0;0;0;1;1833;1016;1;0;2111;1;262;0;0;0;0;0;0;1;8245;0;0;0;1;0;0;0;0;3;291;116;16;35;44;12;58;1;29;3;426;31;4;0;0;10;1;0;0;0;0;41;218,27;87,44;10,77;32,48;38,57;12,36;44,12;0,2;24,83;2,6;335,58;132;104,57;54;101;103;1075;859;187;118;130;2627;19;1;507;116;55;73;40;51;8;359;1174;3801;49,18;92,21;88,86;971,2;794,73;176,18;78,72;96,71;2347,79;15,21;1,1;432,38;97,67;47,87;60,08;37,35;44,75;6,58;289,98;985,1;3332,89;568;0;391;125;1900;7;7;1;3;2;0;0;2;0;8;2;1;1;0;0;0;0;1;1;20;2;0;25382;3;22;11;7;;1;3
"ARA-21";"84121";"Drôme-Ardèche-Vercors";1147;278;119;1544;61637;16453;8725;86815;361739;70773;31995;464507;128;76;5;209;12144;16802;1780;30726;48542;5;4;2;4;196;10;0;206;2337;155;0;2492;82;28;0;110;14395;2389;0;16784;0;0;0;0;0;0;7;5;12;10688;5164;15852;21;13;34;81977;33131;115108;9850;3764;687;14029;11540;3937;720;14688;2;736;0;0;0;559;6517;173327;43;11232;280;199;92647;243;3195;77077;1956;8;213362;0;0;5;0;0;2;4;4187;2105;6;0;6128;4;1065;0;0;1;9402;2;195;8;25808;1;13279;0;1;0;0;1;0;9;734;176;119;83;170;48;47;2;74;40;1067;70;43;0;0;10;0;0;0;0;0;80;530,03;123,69;83,68;60,72;127,89;38,69;41,14;1,89;60,04;31,04;796,02;221;234,91;196;195;299;2356;1968;604;163;279;6060;50;6;1299;176;104;157;144;191;20;1329;3372;9432;166,03;166,47;267,92;2153;1782,29;532,72;113;210,76;5392,19;39,13;6,83;1121,77;142,2;82,17;133,56;132,93;163,14;18,48;1183,97;2942,01;8334,2;1603;198;540;282;3262;19;18;3;12;10;4;1;7;0;22;4;3;0;0;0;0;0;1;2;49;10;1;55241;7;49;25;22;;2;1
"ARA-22";"84122";"Val Rhône Centre";2631;839;329;3799;111914;40055;22593;174562;739992;185593;87269;1012854;417;174;62;653;99876;30045;10004;139925;102123;5;11;3;7;0;24;0;24;0;832;0;832;0;9;0;9;0;780;0;780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2249;0;2249;1;162;0;0;0;986;9476;262210;102;29133;460;194;130217;40;376;12602;251;5;207645;1;74824;4;1;1;1;8;16370;9227;0;2;13416;2;2160;2;805;3;26550;1;0;9;46874;2;28044;1;2;2;1;5;1;7;1446;216;94;219;318;82;36;61;95;1005;2961;21;6;0;0;13;8;0;0;0;0;34;1078,9;148,79;77,76;194,54;219,48;56,71;29,64;14,85;108,96;637,25;2118,08;1206;1070,99;386;311;900;4979;4541;845;244;692;12898;108;6;2055;203;124;268;745;456;10;2172;6023;18921;353,96;338,56;817,64;4718,11;4232,27;806,34;174,72;575,56;12017,16;198,61;9,62;2324,02;186,4;124,33;261,04;724,45;430,78;9,53;3046,35;7190,8;19207,96;3426;0;926;407;3137;15;14;2;16;13;5;3;4;0;41;14;5;0;0;0;0;0;0;6;161;24;3;157351;21;206;22;9;13;;
"BFC-01";"27101";"Saône-et-Loire-Bresse Morvan";478;93;38;609;32631;5584;3207;41422;165020;24550;10247;199817;30;20;3;53;5002;4442;62;9506;22348;1;3;1;3;222;16;0;238;1399;504;0;1903;59;90;0;149;10986;7643;0;18629;0;0;0;0;0;0;5;0;5;11954;0;11954;13;14;27;37564;29269;66833;9826;4089;830;11911;11246;4499;830;13392;1;830;0;0;0;258;2516;81878;5;432;87;58;29585;0;0;0;0;3;88176;0;0;3;0;0;1;1;1991;1461;2;0;1512;1;395;0;0;1;14111;1;186;2;8237;0;0;0;1;0;0;0;0;3;253;37;54;28;33;11;37;3;24;14;364;19;2;0;0;1;0;0;0;0;0;20;189,96;22,75;46,1;21,09;29,47;9,47;33,4;1,88;19,71;13,4;294,29;125;119,85;65;81;96;1256;821;330;88;77;2814;13;4;500;75;27;47;52;41;5;465;1202;4016;58,15;80,36;91,65;1177,08;769,54;309,82;71,87;48,06;2606,53;13,32;3,93;478,67;55,3;26,3;40,29;48,01;37,15;4,72;457,64;1139,03;3745,56;634;238;260;87;901;7;7;1;4;2;0;0;2;0;8;0;0;0;0;0;0;0;0;0;15;2;0;19009;4;25;9;7;;1;1
"BFC-02";"27102";"Bourgogne méridionale";465;123;47;635;29333;9976;2454;41763;152964;30220;8792;191976;38;31;0;69;6304;6963;349;13616;17257;2;4;0;1;84;0;0;84;920;0;0;920;10;0;0;10;477;0;0;477;0;0;0;0;0;0;2;0;2;7052;0;7052;3;0;3;24486;0;24486;30;0;0;30;4493;0;0;4493;0;0;0;0;0;234;2800;71743;18;1997;123;105;38963;60;730;19228;470;2;77027;0;0;2;0;0;0;1;1442;555;0;1;1638;1;201;0;0;1;10543;1;8;2;6709;0;0;0;1;0;0;0;0;2;247;41;27;32;48;18;9;0;20;18;342;23;6;0;0;10;0;0;0;0;1;34;169,14;25,33;19,94;19,8;37,55;12,57;6,44;0;17,62;14,3;250,05;90;96,7;56;65;111;846;706;297;33;60;2174;16;2;415;43;24;41;28;41;2;340;928;3102;49,01;54,38;105,04;790,5;680,77;291,97;23,08;47,85;2042,6;13,43;2,5;385,66;35,84;20,27;38,75;25,59;38,76;2;327,51;870,04;2912,64;688;84;208;123;1053;4;4;1;3;1;0;0;1;0;6;2;0;0;0;0;0;0;0;0;21;6;0;25776;3;20;9;7;;;2
"BFC-03";"27103";"21-52 Côte d'Or-Haute-Marne";1142;287;97;1526;51198;16440;6776;74414;325543;77507;28306;431356;204;73;8;285;27111;15719;3332;46162;38785;3;3;1;2;310;15;0;325;3561;277;0;3838;155;105;20;280;9116;6595;4205;19916;0;0;0;0;0;0;17;11;28;18109;19483;37592;45;26;71;70321;23652;93973;12078;2956;555;15437;14938;3665;655;18986;2;0;0;1;0;389;3580;124805;71;23294;182;68;63837;0;0;0;0;5;110465;1;22366;5;1;0;2;2;8741;6336;2;1;3684;1;1134;1;351;1;16229;0;0;2;22556;0;0;1;1;1;1;1;1;4;748;37;77;83;164;50;89;18;53;130;1202;14;5;0;0;5;0;0;0;0;0;19;463,08;27,39;61,78;72,02;93,95;24,54;68,9;7,25;49,38;103,25;804,51;869;825,93;129;164;312;2433;1615;899;167;225;5944;37;6;1143;183;63;113;298;123;23;1443;3369;9313;120,97;155,78;297,02;2312,64;1565,79;857,61;122,48;185,71;5618;33,03;4,51;1079,59;165,04;57,01;105,96;281,05;115,49;22,91;1376,36;3183,94;8801,94;1571;363;337;110;1406;6;6;1;6;6;0;0;3;1;18;3;0;0;0;0;0;0;0;0;47;6;5;57183;6;67;15;10;2;1;2
"BFC-04";"27104";"Sud Yonne-Haut-Nivernais";437;70;37;544;19767;3988;3173;26928;124303;22355;9845;156503;37;26;0;63;2845;3487;0;6332;17622;1;3;0;4;219;10;0;229;1752;188;33;1973;49;73;0;122;7599;5358;0;12957;0;0;0;0;0;0;8;8;16;7513;1407;8920;24;15;39;40879;26345;67224;7934;2832;1015;11541;9188;2965;1050;12895;1;0;0;0;0;174;1561;51930;20;4125;40;11;10487;0;0;0;0;4;82941;1;17778;4;0;0;1;1;1349;1520;2;0;1484;1;575;0;0;1;8746;0;0;1;8876;0;0;0;1;0;0;0;0;3;205;39;67;14;33;11;22;4;15;4;283;5;0;4;0;0;0;0;0;0;0;5;144,92;27,39;46,06;11,44;25,95;8,42;18,74;2,73;14,27;3,5;213,05;121;112,05;46;64;67;913;714;408;59;54;2325;14;2;418;45;16;37;32;36;4;375;963;3288;44,39;63,25;61,19;866,42;687,62;386,56;49,43;48,76;2207,62;13,87;2;396,27;43,72;14,62;32,55;29,73;35,89;4;361,19;919,22;3126,84;516;229;175;0;336;5;4;1;4;2;1;0;3;0;7;0;2;0;0;0;0;0;0;0;18;2;4;15538;2;34;5;4;;1;
"BFC-05";"27105";"Nord Yonne";269;70;30;369;12725;3013;2153;17891;92382;13787;6789;112958;18;11;0;29;727;2734;62;3523;12475;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;928;24968;49;7633;64;73;18751;40;647;11489;446;2;58593;1;17977;2;0;0;0;1;585;362;1;0;1096;1;231;0;0;1;8718;0;0;2;3757;0;0;0;0;0;0;0;0;2;129;20;33;15;23;10;0;1;11;8;172;6;1;0;0;0;0;0;0;0;0;6;98,14;11,7;28,48;12,57;20,2;8,03;0;0,6;9,08;5,46;138,69;80;77,27;32;24;54;397;360;151;16;46;1080;7;1;233;23;10;32;35;35;1;230;597;1677;27,38;22,24;46,17;370,85;333,05;139,54;9,32;29,04;977,59;7,39;1;214,47;16,84;8,37;29,33;34,06;32,1;1;220,56;556,75;1534,34;369;0;207;64;339;2;2;1;3;2;0;0;4;0;6;0;1;0;0;0;0;0;1;0;10;2;0;8817;1;16;4;3;;;1
"BFC-06";"27106";"Nièvre";361;65;24;450;17712;3208;1668;22588;114543;20191;6388;141122;39;20;1;60;1255;4810;100;6165;18694;1;2;0;1;141;0;0;141;1550;0;0;1550;80;0;0;80;13609;0;0;13609;0;0;0;0;0;0;11;1;12;14488;436;14924;18;5;23;45671;15421;61092;6142;1759;300;7857;7219;1761;318;8934;2;2844;0;0;0;119;954;30452;17;3954;186;137;66554;0;0;0;0;3;66323;0;0;3;0;0;0;1;1829;106;0;0;1013;1;239;0;0;1;13973;1;796;2;4117;0;0;1;1;0;0;0;0;2;166;32;22;13;26;8;15;1;19;5;232;1;0;0;0;9;0;0;0;0;0;10;123,65;31,59;17,01;11,71;23,74;7,6;13,07;1;19,32;3,68;188,78;39;52,07;28;51;54;830;710;211;50;66;2000;10;2;423;48;24;45;41;43;6;454;1072;3072;26,46;50;49,43;794,21;664,37;199,84;38,52;49,61;1872,44;7,82;2;377,16;40,41;21,11;35,26;38,97;37,83;4,95;411,26;955,66;2828,1;140;140;115;120;885;7;6;1;3;2;2;1;1;1;9;1;0;0;0;0;0;0;1;0;15;2;4;13445;3;18;10;8;;2;
"BFC-07";"27107";"Centre Franche-Comté";922;268;118;1308;49096;15375;6997;71468;286490;80847;26772;394109;142;63;22;227;21508;12705;3080;37293;85402;4;2;1;3;522;30;0;552;3479;524;0;4003;164;106;0;270;23027;7672;0;30699;1;0;1;2;0;2;14;20;34;8528;5696;14224;62;34;96;83643;44043;127686;12773;4539;188;17306;16532;5195;208;21705;1;4679;0;0;0;408;2604;111792;37;7992;293;178;104261;0;0;0;0;3;131643;1;20691;3;0;0;1;1;8786;3868;0;0;4371;2;1337;1;232;2;19175;1;1398;3;31602;1;31410;1;1;1;1;1;1;3;661;125;53;80;151;31;114;15;86;51;1078;33;12;0;0;4;0;0;0;0;0;37;472,09;79,45;43,69;64,69;110,99;24,43;90,56;4,64;70,08;32,67;789,4;651;554,65;143;195;363;2486;1868;1009;211;242;6517;43;7;1180;149;68;96;237;173;25;1343;3253;9770;122,97;193,69;324,25;2266,52;1700,83;928,65;158,58;179,78;5875,27;36,37;6,5;1075,01;120,78;58,94;81,78;219,06;153,36;24,56;1192,37;2909,79;8785,06;1274;544;386;233;940;12;12;3;7;5;3;2;2;2;14;6;1;0;0;0;0;0;1;1;61;14;11;55038;14;118;17;9;2;2;4
"BFC-08";"27108";"Jura";257;32;21;310;13799;1926;1803;17528;85161;9092;5915;100168;8;19;0;27;826;3017;0;3843;9744;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;450;0;0;0;263;2244;79869;26;5337;111;55;35280;0;0;0;0;2;43150;0;0;2;0;1;0;1;1446;0;1;0;904;1;166;0;0;1;3893;0;0;1;4390;0;0;0;0;0;0;0;0;2;144;18;37;20;21;6;0;0;16;8;189;3;0;0;0;0;0;0;0;0;0;3;102,62;10,61;27,59;12,35;17,62;5,63;0;0;13,17;6,31;139,72;73;52,5;41;29;56;428;488;197;21;63;1323;9;0;203;16;5;37;30;33;3;194;525;1848;35,68;28,14;52,23;402,4;452,46;187,05;11,91;43,61;1213,48;7,74;0;197,88;10,83;2,86;30,96;23,9;29,31;1,51;184,71;486,84;1700,32;332;0;292;111;1060;2;2;1;3;2;1;0;0;0;8;0;1;0;0;0;0;0;1;0;12;2;5;7564;3;15;8;8;;;
"BFC-09";"27109";"Nord Franche-Comté";442;109;64;615;22255;6870;4310;33435;162358;35940;16920;215218;64;36;9;109;5174;9687;2111;16972;57161;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;186;0;0;0;189;1495;65880;15;2645;153;63;54981;0;0;0;0;1;107739;0;0;1;0;0;0;1;2850;772;0;0;2606;1;1014;0;0;1;17139;1;1733;2;14790;1;23886;1;1;0;0;1;0;1;223;30;34;33;56;17;1;2;24;5;311;17;0;0;0;0;0;0;0;0;0;17;165,23;26,59;24,44;26,34;49,73;14,96;0,01;1,17;22,02;4,93;248,42;151;153,37;60;60;119;780;721;369;24;55;2188;12;2;414;44;22;30;86;99;11;453;1151;3339;56,05;56,38;98,03;727,91;661,41;352,17;14,94;48,9;2015,79;10,96;2;379,6;38,4;20,55;27,95;74,78;90,9;11,04;425,38;1061,01;3076,8;804;0;221;153;1398;2;2;1;3;5;3;1;1;1;7;1;1;0;0;0;0;0;1;0;23;5;0;30242;4;30;4;3;;;1
"BFC-11";"27211";"Haute-Saône";321;52;25;398;14712;2307;1718;18737;98740;12665;6195;117600;74;18;4;96;7268;4004;195;11467;13218;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;88;947;26267;6;227;0;0;0;0;0;0;0;2;49795;0;0;3;0;0;0;1;1457;497;3;0;912;1;96;0;0;1;7787;1;150;1;5431;0;0;0;0;0;0;0;0;4;139;27;30;16;35;14;0;0;11;4;189;32;0;1;2;8;0;0;0;1;0;41;106,87;23,15;25,6;12,9;24,75;8,8;0;0;11;3,8;149,42;103;100;31;49;70;456;435;156;17;39;1253;5;2;210;21;3;26;32;29;5;199;529;1782;28,31;44,1;68,39;418,85;409,51;143,55;14,23;27,29;1154,23;5;2;196,72;18,61;3;24,68;29,25;27,45;5;191,22;499,93;1654,16;398;0;88;0;953;1;1;1;3;3;1;0;2;0;6;0;0;0;0;0;0;0;0;0;11;3;0;10068;1;18;4;4;;;
"BFC-12";"27112";"sud cote d'or";121;32;21;174;6594;1628;1079;9301;37111;7822;3008;47941;16;10;0;26;546;3238;0;3784;1282;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;524;14321;10;3519;30;14;7694;35;480;9085;297;1;21977;0;0;1;0;0;0;1;370;444;0;0;608;1;95;0;0;0;0;0;0;1;1282;0;0;0;0;0;0;0;0;1;75;11;12;13;17;5;0;0;5;6;103;26;26;0;0;0;0;0;0;0;0;26;46,86;7,3;7,25;7,5;13,53;4,55;0;0;5;5,08;71,27;30;30,94;22;14;34;195;143;78;7;17;510;7;1;103;4;4;11;18;12;0;127;283;793;20,64;13,02;31,31;179,86;140,79;75,8;4,42;14,64;480,48;6,67;1;96,78;3,86;3,86;11,04;16,62;11,79;0;117,01;264,77;745,25;212;0;40;30;554;1;1;0;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;7;2;0;6744;1;12;3;3;;;
"BRE-01";"53101";"Bretagne Occidentale";1083;317;96;1496;49155;16774;5318;71247;341613;77415;21538;440566;107;59;6;172;16284;13724;2566;32574;61072;2;5;1;4;463;38;0;501;7632;752;0;8384;232;85;0;317;26096;7063;0;33159;27;0;27;2305;0;2305;17;2;19;35384;3511;38895;23;7;30;92863;21414;114277;17761;2567;647;20728;22279;3337;647;25980;1;1630;0;0;0;401;4324;124047;28;8403;252;133;89879;0;0;0;0;4;105360;1;24157;3;0;0;1;3;6049;3196;0;2;3237;1;898;1;223;1;6600;0;0;4;30134;2;23612;1;1;1;1;2;1;4;618;96;71;85;127;34;90;40;70;61;1006;45;43;0;0;0;0;0;0;0;0;45;471,93;80,38;58,8;70,72;107,81;28,28;76,08;15,87;61,56;43,24;793,39;521;514,25;115;172;384;2682;1786;478;136;174;5927;33;5;1013;135;89;87;213;240;33;1332;3091;9018;107,72;155,75;351,06;2488,43;1660,68;451,63;96,63;129,66;5441,56;31,08;5,25;956,54;107;67,66;74,97;205,07;216,01;27,66;1243,7;2867,28;8308,84;1474;479;370;252;1688;11;11;7;8;8;7;5;2;1;24;6;2;0;0;0;0;0;2;1;68;14;8;56595;11;102;13;7;5;;1
"BRE-02";"53102";"Union hospitalière de Cornouaille";501;97;40;638;31922;6669;2593;41184;170677;23239;10461;204377;98;32;2;132;9892;8798;909;19599;48784;1;2;1;2;181;12;0;193;2231;169;0;2400;143;62;0;205;19585;5284;0;24869;5;7;12;851;636;1487;14;8;22;3518;2481;5999;52;21;73;65784;24179;89963;8034;1961;0;9781;10059;2156;0;11996;0;0;0;0;0;38;361;11681;20;3343;180;81;62916;0;0;0;0;3;76251;0;0;2;0;1;0;1;2065;921;2;0;2066;1;502;0;0;1;9269;0;91;3;17436;1;21903;0;2;0;0;0;0;1;288;29;37;30;47;12;44;1;19;17;416;10;1;0;0;4;0;0;0;0;0;14;239,72;25,44;29,57;28,02;37,84;9,11;36,72;0,6;14,68;15,34;352,06;115;115,9;57;91;153;1207;897;238;69;93;2805;21;4;549;90;39;50;56;91;10;470;1341;4146;53,69;81,99;140,96;1082,12;736,7;185,02;48,07;74,35;2402,9;19,58;3,6;500,19;80,52;34,17;46,96;55,19;84,41;9,15;447,16;1246,76;3649,66;690;193;219;180;672;3;3;1;3;3;0;0;3;1;8;1;0;0;0;0;0;0;0;0;21;2;3;26765;2;22;9;4;;1;4
"BRE-03";"53103";"Groupe hospitalier Sud Bretagne";569;74;46;689;34105;5104;4205;43414;189869;22150;14302;226321;93;43;9;145;8746;8178;807;17731;46433;1;5;1;1;235;8;0;243;2381;104;0;2485;140;78;0;218;13263;3715;0;16978;3;0;3;8;0;8;12;7;19;13737;6904;20641;20;8;28;75365;23483;98848;9481;2215;690;12297;11508;2521;719;14599;2;643;0;0;0;248;2801;80756;14;1428;195;104;66090;0;0;0;0;2;78643;0;0;2;0;0;0;1;1999;735;1;0;2243;1;909;0;0;1;6039;0;0;1;18738;1;21314;0;1;0;0;0;1;1;322;76;49;37;54;25;38;4;23;17;458;0;0;0;0;0;0;0;0;0;0;0;258,23;60,19;39,75;32,59;45,34;18,68;32,31;1,53;22,57;15,32;378,1;95;99,6;71;100;163;1388;980;293;62;120;3177;16;2;561;61;34;39;68;88;10;509;1354;4531;63,16;97,16;147,01;1323,9;957,66;294,91;45,85;98,59;3028,24;16,27;2;546,56;57,58;31,8;35,15;62,73;86,26;10;500,31;1316,86;4345,1;0;161;0;50;0;2;2;1;3;2;0;0;2;0;7;2;1;0;0;0;0;0;1;0;16;3;0;25613;2;23;12;9;;1;2
"BRE-04";"53104";"Brocéliande Atlantique";592;143;54;789;29495;9184;2961;41640;200832;39576;12674;253082;89;47;4;140;7689;9305;375;17369;25293;1;1;1;2;235;12;0;247;2436;239;0;2675;203;90;0;293;14919;7364;0;22283;14;0;14;3324;0;3324;17;7;24;36420;654;37074;19;9;28;77324;24544;101868;12829;2178;187;15163;15189;2627;205;17972;2;1768;0;0;0;273;2413;88654;26;13527;223;122;76806;40;558;12046;414;2;85607;0;0;3;0;0;1;1;2989;1198;1;1;2406;0;453;1;197;1;9055;1;0;2;16022;0;0;0;1;0;1;0;0;3;360;54;50;40;52;18;42;8;39;14;515;0;0;0;0;0;0;0;0;0;0;0;275,33;37,65;39,7;37,9;40,87;13,27;30,66;2,82;31,45;9,8;400,53;120;116,29;67;117;218;1491;1286;455;96;157;3887;20;5;625;92;49;59;62;97;9;427;1396;5283;64,92;111,73;198,56;1399,57;1175,75;414,77;71,87;126,02;3563,19;17,7;4,29;590,19;73,48;42,43;51,34;59,93;88,8;8,67;401,62;1296,02;4859,21;789;247;273;163;937;4;4;2;5;4;0;0;3;0;10;3;1;0;0;0;0;0;0;1;23;6;3;30502;4;42;8;5;;1;2
"BRE-05";"53105";"Haute Bretagne";1257;394;141;1792;72114;19565;8072;99751;418577;107706;37008;563291;186;69;19;274;25177;18326;2168;45671;20929;4;3;1;5;543;45;40;628;6240;1401;280;7921;262;153;20;435;16273;4804;1552;22629;0;0;0;0;0;0;16;13;29;28576;1258;29834;84;54;138;149860;58075;207935;17183;4982;1016;23181;23629;6089;1305;30322;1;0;1;1;1;453;4601;129614;43;15135;322;215;102621;6;153;2075;135;4;155831;1;35422;4;0;0;1;2;8600;4609;0;1;5366;2;1525;1;276;1;5945;0;0;5;14984;0;0;1;1;2;1;2;0;4;729;86;79;94;213;63;117;56;95;102;1312;52;36;0;0;7;4;0;0;0;0;59;539,12;63,64;64,37;101,85;128,96;31,52;97,63;23,96;77,15;76,05;963,58;613;883,42;171;209;566;3324;2667;677;247;391;8252;51;8;1376;193;122;153;294;183;25;1795;4078;12330;158,6;190,69;527,01;3086,76;2476,66;646;171,71;300,39;7557,82;48,4;7,92;1278,04;165,03;103,26;139,49;276,72;174,84;23,86;1708,54;3822,84;11380,66;1792;574;461;322;2064;11;11;3;9;9;0;0;2;0;23;2;1;0;0;0;0;0;0;0;77;18;0;73141;11;78;17;11;4;1;1
