BOR;AN;FI;RS;FI_EJ;AUT;SALCAR;SALCARTO;SALHYBCAR;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;0;;0;1030;3486;1209;349;0;860;0;0;0;0;0;0;0;0;0;38;0;0
CHIRCAR;2024;110000023;CH CARCASSONNE;110780061;1;2;0;;1209;3983;1387;161;0;1226;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;2;0;0;1151;3835;1322;305;0;1017;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;4;2;0;2487;5363;2900;916;0;1984;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2024;130041767;EUROMED CARDIO;130041262;1;2;0;0;1110;2561;1267;34;0;1233;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;1;2;2;1;1080;3150;1149;158;0;991;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2024;130780521;APHM HOPITAL NORD;130786049;1;2;1;0;2085;5108;2395;625;0;1770;0;0;;;0;0;;0;0;41;0;0
CHIRCAR;2024;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;1;3;0;0;935;2914;1251;160;0;941;0;0;;;0;0;0;0;0;20;0;0
CHIRCAR;2024;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;1;1;1;0;849;1649;1001;13;0;988;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;130783293;APHM HOPITAL LA TIMONE;130786049;1;4;2;1;2875;9602;3606;1247;1;2358;1;0;4;4;1;1371;;1160;44;84;1793;11792
CHIRCAR;2024;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;3;3;1;2017;4978;2633;1575;0;1058;1;0;2;2;0;427;;342;24;31;819;3913
CHIRCAR;2024;130784713;HP MARSEILLE BEAUREGARD VERT COTEAU;130038847;1;2;1;1;1411;5295;1653;573;0;1080;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;130785652;HOPITAL SAINT JOSEPH;130014228;1;3;;1;3369;6662;4232;2319;0;1913;1;0;3;4;0;1856;;1685;56;34;2170;4296
CHIRCAR;2024;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;0;0;0;0;0;0;0;0;0;0;1;1;2;426;2;;2;16;;895;3431
CHIRCAR;2024;140000209;CHU CAEN;140000100;1;4;2;1;2969;8460;3596;1692;0;1904;1;0;2;2;0;0;;0;;21;0;0
CHIRCAR;2024;140017237;HOPITAL PRIVE ST MARTIN;140003278;1;4;1;1;3299;6305;3726;911;0;2815;1;0;2;2;0;767;73;663;14;46;514;2305
CHIRCAR;2024;150000040;CH HENRI MONDOR;150780096;1;1;0;0;985;1722;1120;114;0;1006;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;2;1;0;1703;5237;1877;490;0;1387;0;0;;;0;0;;0;0;41;0;0
CHIRCAR;2024;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;3;1;1;2017;3277;2174;937;0;1237;0;0;;;0;0;;0;;37;0;0
CHIRCAR;2024;170000103;CH DE SAINTONGE - SAINTES;170780175;1;1;0;1;1848;4391;2091;677;0;1414;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;180000010;CH BOURGES - JACQUES COEUR;180000028;1;3;2;0;1444;4407;1575;421;1;1153;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;2;2;1;1555;3434;1703;211;0;1492;0;0;0;0;0;0;0;0;0;34;0;0
CHIRCAR;2024;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;1;2;0;0;2014;3862;2183;534;0;1649;0;0;;;0;0;;0;;17;0;0
CHIRCAR;2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;5;2;1;3344;7524;3923;1622;1;2300;1;0;2;3;0;0;;0;15;42;859;5611
CHIRCAR;2024;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;2;0;0;1747;5495;1944;474;1;1469;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;220000368;CENTRE HOSPITALIER LANNION;220000103;1;;;0;87;456;92;68;0;24;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;1;1;0;1744;4823;2121;572;0;1549;0;0;0;0;0;0;0;0;;33;0;0
CHIRCAR;2024;250000270;CLINIQUE SAINT VINCENT BESANCON;250000643;1;2;;2;1644;1801;1762;556;0;1206;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;3;3;1;3182;6451;3844;1701;1;2142;1;0;3;3;1;843;;686;18;25;767;5442
CHIRCAR;2024;260000013;CH DE VALENCE;260000021;1;2;1;;2060;5990;2191;579;0;1612;0;0;;;0;0;;0;;30;0;0
CHIRCAR;2024;270000359;CH EURE SEINE EVREUX;270023724;1;;;;164;750;176;139;0;37;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;270000862;CLINIQUE BERGOUIGNAN;270000953;1;1;;1;401;940;413;0;0;413;0;0;;;0;0;;0;;15;0;0
CHIRCAR;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;2;0;0;1786;3173;1987;1028;0;959;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;290000025;CHIC QUIMPER;290020700;1;2;;0;1065;3341;1164;170;0;994;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;1;1;;1;52;257;52;44;0;8;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;4;3;1;2291;7085;2790;1416;2;1372;1;0;2;4;0;873;130;663;29;54;2264;8968
CHIRCAR;2024;290019777;POLYCLINIQUE DE KERAUDREN;290022508;1;1;;1;876;2937;957;168;0;789;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;2A0004842;CH ND LA MISERICORDE;2A0000014;1;1;0;1;1074;2617;1174;88;0;1086;0;0;0;;0;0;;0;;20;0;0
CHIRCAR;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;1;0;1;1197;2699;1340;254;0;1086;0;0;0;0;0;0;;0;0;24;0;0
CHIRCAR;2024;300780152;HOPITAL PRIVE LES FRANCISCAINES NIMES;300017985;1;4;3;1;1659;3090;2056;1008;0;1048;1;0;2;2;0;503;201;383;15;15;329;2840
CHIRCAR;2024;300782117;CHU NIMES CAREMEAU;300780038;1;4;1;1;2499;5274;2747;882;0;1865;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;1;;;0;131;579;141;8;133;0;0;1;;;0;0;;0;;;0;0
CHIRCAR;2024;310026927;CL CAPIO LA CROIX DU SUD QUINT FONSEGR;310026794;1;2;;2;1253;2781;1363;117;0;1246;0;0;;;0;0;;0;0;;0;0
CHIRCAR;2024;310780259;CL PASTEUR TOULOUSE;310000096;1;8;3;1;8283;11375;9813;4169;10;5634;1;0;5;4;1;1497;54;1323;38;110;2615;11659
CHIRCAR;2024;310781000;CL DES CEDRES CORNEBARRIEU;310788880;1;1;;1;1237;3146;1417;94;0;1323;0;0;;;0;0;;0;;12;0;0
CHIRCAR;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;1;1;1;;4730;13386;5579;1932;2;3645;1;0;4;4;3;2064;;1602;25;83;1312;3116
CHIRCAR;2024;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;2;1;0;1522;3910;1754;768;0;986;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2024;330780081;CLINIQUE SAINT- AUGUSTIN;330000043;1;3;2;1;3036;6325;3877;1642;0;2235;1;0;3;3;0;2267;;2047;26;41;1408;7555
CHIRCAR;2024;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;1;2;0;0;1251;3723;1381;252;0;1129;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;330780503;HOPITAL PRIVE SAINT-MARTIN;330000308;1;1;0;1;1095;2441;1166;4;0;1162;0;0;0;0;0;0;0;0;;24;0;0
CHIRCAR;2024;330783648;HOPITAL HAUT-LEVEQUE - CHU;330781196;1;7;3;1;4856;13132;6755;3364;124;3267;1;1;6;6;815;3190;824;2647;50;159;2743;10791
CHIRCAR;2024;340000033;CH BEZIERS;340780055;1;1;;1;226;1160;238;204;0;34;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;340015502;CL DU MILLENAIRE MONTPELLIER;340000512;1;4;3;0;3165;8224;3685;1778;1;1906;1;0;2;2;0;726;;666;25;60;1282;5017
CHIRCAR;2024;340780667;CL DU PARC CASTELNAU LE LEZ;340000280;1;2;0;1;1481;4205;1725;540;0;1185;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2024;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;1;2;;1;3499;9798;4389;1651;1;2737;1;0;4;4;1;1036;;948;56;64;2692;14764
CHIRCAR;2024;350000147;GHRE - SITE SAINT MALO BROUSSAIS;350000022;1;1;1;1;1397;3938;1638;301;0;1337;0;0;;;0;0;;0;0;22;0;0
CHIRCAR;2024;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;3;2;1;3102;10430;3653;1612;1;2040;1;0;5;4;7;1664;;1431;40;66;3053;13093
CHIRCAR;2024;350054680;POLYCLINIQUE SAINT LAURENT;220020739;1;3;1;2;1920;4023;2018;679;0;1339;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;360000137;CH CHATEAUROUX;360000053;1;1;0;0;159;1096;165;103;0;62;0;0;;;0;0;;0;0;28;0;0
CHIRCAR;2024;370000093;SAS NOUVELLE CLINIQUE DE TOURS +;370013468;1;3;2;1;2395;5140;2897;1171;0;1726;1;0;2;2;0;665;49;628;6;;314;457
CHIRCAR;2024;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;0;0;0;83;320;90;4;86;0;0;1;2;2;350;1;;0;4;;247;787
CHIRCAR;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;1;1;;1;3773;8648;4440;1653;8;2779;1;0;;;9;966;;827;8;;1033;2633
CHIRCAR;2024;380000067;HOPITAL NORD - CHU38;380780080;1;2;;0;3176;9419;3587;1880;33;1674;1;0;2;3;2;864;;726;28;50;816;7547
CHIRCAR;2024;380012658;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;380012609;1;3;0;2;760;1923;849;59;0;790;0;0;;;0;0;;0;;26;0;0
CHIRCAR;2024;380786442;CLINIQUE BELLEDONNE;380798025;1;2;;2;1134;2534;1345;420;0;925;0;0;;;0;0;;0;;30;0;0
CHIRCAR;2024;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;1;2;1;0;1008;2724;1083;218;;865;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2024;410000020;CH BLOIS SIMONE VEIL;410000087;1;1;0;0;175;867;187;164;0;23;0;0;;;0;0;;0;0;24;0;0
CHIRCAR;2024;420000010;CH DE ROANNE;420780033;1;1;0;;301;913;322;293;0;29;0;0;0;0;0;0;;0;0;15;0;0
CHIRCAR;2024;420011413;HOPITAL PRIVE DE LA LOIRE;420011405;1;1;;1;1254;2650;1361;450;0;911;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;420785354;HOPITAL NORD - CHU42;420784878;1;5;2;1;3703;11261;4447;2274;1;2172;1;0;2;2;7;1172;344;897;14;57;762;4013
CHIRCAR;2024;430000117;CH EMILE ROUX LE PUY;430000018;1;2;0;1;491;1620;575;90;0;485;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2024;440000016;CH DE SAINT NAZAIRE;440000057;1;2;1;1;1101;3320;1238;355;0;883;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;440017598;CHU DE NANTES SITE LAENNEC;440000289;1;;;;3787;11797;4387;2000;7;2380;1;0;5;6;9;2290;;1908;60;;2232;14612
CHIRCAR;2024;440041580;HOPITAL PRIVE DU CONFLUENT;440041572;1;4;2;1;3095;4797;3483;1961;0;1522;0;0;;;0;0;;0;;36;0;0
CHIRCAR;2024;450000294;ORELIANCE - REINE BLANCHE;450000591;1;3;3;;2275;5315;2857;1015;0;1842;0;0;;;0;0;;0;;58;0;0
CHIRCAR;2024;450002613;CHRU ORLEANS - HOPITAL DE LA SOURCE;450000088;1;;;;1970;4790;2219;642;0;1577;0;0;;;;;;;;;;
CHIRCAR;2024;470000027;CLINIQUE ESQUIROL-SAINT-HILAIRE;470014069;1;2;;2;1541;4115;1787;582;0;1205;0;0;;;0;0;;0;0;24;0;0
CHIRCAR;2024;490000049;CHR ANGERS SITE LARREY;490000031;1;4;1;1;2335;9539;2845;1037;5;1803;1;0;2;4;4;992;230;900;16;51;804;3654
CHIRCAR;2024;490000262;CLINIQUE SAINT JOSEPH;490000171;1;2;;2;2247;3919;2760;1646;0;1114;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;490000635;CH DE CHOLET;490000676;1;1;;1;244;51;266;115;0;151;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2024;490002037;POLYCLINIQUE DU PARC;490000890;1;1;;1;222;210;233;44;0;189;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;500000187;CHPC - SITE CHERBOURG;500000013;1;1;;1;659;1920;731;137;0;594;0;0;;;0;0;;0;;16;0;0
CHIRCAR;2024;500000450;CH - SAINT-LO;500000112;1;;;;240;828;264;229;0;35;0;0;;;0;0;;0;;23;0;0
CHIRCAR;2024;510002447;HOPITAL ROBERT DEBRE CHU REIMS;510000029;1;5;2;1;2444;7220;2727;1036;1;1690;1;0;2;2;0;996;93;828;22;52;1384;7476
CHIRCAR;2024;510024979;POLYCLINIQUE REIMS - BEZANNES;510000532;1;2;3;1;2714;4719;3126;1565;0;1561;0;0;;;0;0;;0;;34;0;0
CHIRCAR;2024;530000264;CENTRE HOSPITALIER DE LAVAL;530000371;1;1;;;1047;2294;1208;155;0;1053;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;540000478;CLINIQUE LOUIS PASTEUR;540027547;1;4;;1;3744;7029;3866;432;0;3434;0;0;;;0;0;;0;;56;0;0
CHIRCAR;2024;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;1;3;3;;3490;9707;4072;1700;5;2367;1;1;2;3;6;1033;253;839;24;;1960;6922
CHIRCAR;2024;540026895;HOPITAL PRIVE NANCY LORRAINE;540026739;1;3;;2;3020;4110;3343;845;0;2498;0;0;;;0;0;;0;;15;0;0
CHIRCAR;2024;560000127;CHBA SITE DE VANNES;560023210;1;3;1;1;1899;4232;1989;574;0;1415;0;0;;;;;;;;;;
CHIRCAR;2024;560000135;GHBS- HÔPITAL DU SCORFF;560005746;1;2;0;0;1640;3842;1726;515;0;1211;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;570000349;HOPITAL BEL AIR DE THIONVILLE - CHR;570005165;1;1;1;0;292;824;331;249;0;82;0;0;;;0;0;;0;;23;0;0
CHIRCAR;2024;570000646;HOPITAL-CLINIQUE CLAUDE BERNARD;570001115;1;;;0;1690;2915;2108;319;0;1789;1;0;3;2;0;625;;360;21;12;1240;5830
CHIRCAR;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;1;0;2;1;3272;7714;3863;1062;1;2800;1;0;3;3;2;515;201;368;16;58;624;4417
CHIRCAR;2024;580972693;HOPITAL PIERRE BEREGOVOY;580780039;1;;;;1183;3162;1233;136;0;1097;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;590000337;CH DUNKERQUE;590781415;1;1;;1;624;1371;682;52;0;630;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;590000618;CH VALENCIENNES;590782215;1;3;2;0;2234;5991;2463;779;0;1684;0;0;;;0;0;;0;0;64;0;0
CHIRCAR;2024;590008041;POLYCLINIQUE VAUBAN;590008033;1;2;;2;1045;2051;1135;406;0;729;0;0;;;0;0;;0;;42;0;0
CHIRCAR;2024;590780268;HOPITAL PRIVÉ LE BOIS;590053955;1;1;1;;1603;3848;1977;913;0;1064;1;0;3;3;0;1298;;1040;20;23;919;3988
CHIRCAR;2024;590780284;GCS GHICL HÔPITAL ST PHILIBERT;590051801;1;3;0;0;2098;4969;2396;1352;0;1044;0;0;;;0;0;;0;0;44;0;0
CHIRCAR;2024;590782553;HOPITAL PRIVE DE VILLENEUVE D'ASCQ;590000741;1;2;0;0;1049;1804;1088;152;0;936;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2024;590787586;INSTITUT COEUR POUMON CHU LILLE;590780193;1;8;2;3;3346;9461;3992;1419;117;2456;1;1;3;3;145;2176;461;1699;46;105;1435;9715
CHIRCAR;2024;590801106;HOPITAL VICTOR PROVO;590782421;1;2;2;0;817;2609;925;229;0;696;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;600000194;CH BEAUVAIS;600100713;1;1;;1;656;2482;793;108;0;685;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;600000467;CH GHPSO CREIL;600101984;1;1;;;791;2494;932;149;0;783;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;600113476;CH CHICN COMPIÈGNE;600100721;1;2;1;2;895;3050;975;385;0;590;0;0;;;0;0;;0;;30;0;0
CHIRCAR;2024;610000051;CHICAM - SITE ALENCON;610780082;1;0;0;0;153;858;155;103;0;52;0;0;0;0;0;155;0;0;0;22;0;0
CHIRCAR;2024;620000257;CH LENS;620100685;1;;;;1989;3685;2289;853;1;1435;1;0;2;2;0;336;;212;5;52;429;1181
CHIRCAR;2024;620000653;CH BOULOGNE-SUR-MER;620103440;1;1;1;1;806;2298;869;234;0;635;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;620101501;HOPITAL PRIVE DE BOIS BERNARD;620000364;1;2;0;0;1719;3569;1912;713;0;1199;1;0;2;2;0;631;;450;5;;258;698
CHIRCAR;2024;620118513;CENTRE MCO COTE D'OPALE;620002915;1;;;1;662;1290;691;70;0;621;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2024;630000404;HOPITAL GABRIEL MONTPIED - CHU63;630780989;1;3;3;1;4444;10095;5371;2673;2;2696;1;0;3;3;3;1777;;1480;24;72;1055;6812
CHIRCAR;2024;630780211;POLE SANTE REPUBLIQUE;630000107;1;4;2;;2552;4571;3551;2249;0;1302;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;640000600;CENTRE HOSPITALIER DE PAU;640781290;1;3;1;0;2109;2648;2415;1373;0;1042;0;0;;;0;0;;0;;14;0;0
CHIRCAR;2024;640016580;CENTRE DE CARDIOLOGIE DU PAYS BASQUE;640010658;1;5;;5;3116;6032;3630;1504;0;2126;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;640781225;CLINIQUE MEDICALE CARDIOLOGIQUE ARESSY;640000568;1;2;;2;1017;2421;1069;373;0;696;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;650000417;CH TARBES LOURDES GESPE SITE TARBES;650783160;1;1;1;0;711;1607;780;218;0;562;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;650780679;POLYCL L'ORMEAU SITE CENTRE TARBES;650000243;1;1;;0;1037;2760;1188;260;0;928;0;0;;;0;0;;0;0;26;0;0
CHIRCAR;2024;660000084;CH PERPIGNAN;660780180;1;2;;2;1733;5061;2048;729;0;1319;0;0;;;0;0;;0;0;;0;0
CHIRCAR;2024;660780784;CL ST PIERRE PERPIGNAN;660000407;1;4;3;1;2975;7824;3503;1351;0;2152;1;0;2;2;0;448;58;431;24;41;1032;3822
CHIRCAR;2024;670000025;HOPITAL CIVIL / NOUVEL HOPITAL CIVIL;670780055;1;5;2;1;3659;10457;4488;1756;0;2732;1;0;;;2;1302;;962;24;69;1709;6887
CHIRCAR;2024;670000157;CENTRE HOSPITALIER DE HAGUENAU;670780337;1;3;2;0;1996;4853;2296;851;0;1445;0;0;;;0;0;;0;;61;0;0
CHIRCAR;2024;670014430;GERC-INSTITUT CARDIOVASC DE STRASBOURG;670001734;1;2;;1;2087;2493;2559;1153;11;1395;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;670783273;HOPITAL DE HAUTEPIERRE;670780055;1;1;2;1;97;752;69;11;58;0;0;1;3;4;210;0;;0;;4;0;0
CHIRCAR;2024;680000320;CLINIQUE DIACONAT FONDERIE;680000643;1;2;2;0;2440;6539;2603;231;0;2372;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2024;680000684;HOPITAL LOUIS PASTEUR;680000973;1;1;0;0;477;1842;543;77;0;466;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;680001195;HOPITAL ALBERT SCHWEITZER;680000643;1;2;;2;1802;6485;1964;696;0;1268;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;680004546;HOPITAL EMILE MULLER;680020336;1;4;1;0;1863;5232;2135;500;0;1635;1;0;2;2;0;805;;576;24;42;580;4415
CHIRCAR;2024;690000575;CH NORD OUEST - VILLEFRANCHE;690782222;1;1;;;989;2270;1057;241;0;816;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;690041124;MEDIPOLE HOPITAL PRIVE;690000724;1;4;4;1;3273;5023;4339;1958;0;2381;1;0;2;3;0;859;;743;10;24;687;2885
CHIRCAR;2024;690780390;POLYCLINIQUE LYON NORD;690000229;1;2;1;1;1334;1736;1361;1345;0;16;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;690780648;CLINIQUE DE LA SAUVEGARDE;690036900;1;5;2;1;2353;3978;2766;1087;0;1679;1;0;2;3;0;880;;755;24;15;980;5808
CHIRCAR;2024;690784152;HOPITAL CROIX-ROUSSE - HCL;690781810;1;3;;3;2318;4889;2479;1055;0;1424;0;0;;;0;0;;0;0;36;0;0
CHIRCAR;2024;690784186;HOPITAL LOUIS PRADEL - HCL;690781810;1;3;;3;4077;10828;4730;1741;146;2843;1;1;;;633;1294;;1140;40;120;1623;9327
CHIRCAR;2024;690793468;INFIRMERIE PROTESTANTE;690002068;1;1;;1;2446;3557;3233;2083;0;1150;1;0;2;2;0;1190;;885;32;;2124;9684
CHIRCAR;2024;690805361;CH ST JOSEPH ST LUC;690805353;1;1;;1;1872;3178;2097;849;0;1248;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2024;710978263;CH WILLIAM MOREY CHALON SUR SAONE;710780958;1;1;0;1;597;1709;635;290;0;345;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2024;710978289;CH LES CHANAUX MACON;710780263;1;1;;1;1495;4534;1753;138;0;1615;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2024;720000033;CENTRE HOSPITALIER DU MANS;720000025;1;2;1;0;1288;3630;1414;398;0;1016;0;0;;;0;0;;0;;38;0;0
CHIRCAR;2024;720017748;CENTRE MEDICO CHIRURGICAL DU MANS;720000561;1;1;;1;1219;3677;1326;485;0;841;0;0;;;0;0;;0;;50;0;0
CHIRCAR;2024;730000031;CHMS - SITE CHAMBERY MCO;730000015;1;1;;1;1479;4116;1601;560;0;1041;0;0;;;0;0;;0;;48;0;0
CHIRCAR;2024;740000237;CH ANNECY-GENEVOIS SITE ANNECY;740781133;1;2;1;0;3079;6922;3342;1123;0;2219;1;0;2;2;1;1053;57;906;13;40;815;3821
CHIRCAR;2024;740014345;HOPITAL PRIVE PAYS DE SAVOIE;740000617;1;2;0;2;962;1090;978;0;978;0;0;0;;;0;0;;0;0;;0;0
CHIRCAR;2024;750000523;GH PARIS SITE SAINT JOSEPH;750150120;1;3;1;0;1815;3328;2099;895;;1204;0;0;0;0;0;0;0;0;0;33;0;0
CHIRCAR;2024;750100042;GHU APHP NUP SITE LARIBOISIERE;750712184;1;2;2;;1238;2306;1352;75;0;1277;0;0;0;0;0;0;0;0;0;24;0;0
CHIRCAR;2024;750100125;GHU APHP SUN SITE PITIE SALPETRIERE;750712184;1;5;2;1;4237;12242;5074;2483;1;2590;1;0;6;5;11;1848;;1604;27;53;4752;6258
CHIRCAR;2024;750100166;GHU APHP CUP SITE COCHIN PORT ROYAL;750712184;1;1;1;;862;1362;1020;57;0;963;0;0;;;0;0;;0;;12;0;0
CHIRCAR;2024;750100208;GHU CUP SITE NECKER ENFANTS MALADES;750712184;1;1;;1;403;1584;472;94;312;66;0;1;3;2;891;31;;27;3;10;537;537
CHIRCAR;2024;750100232;GHU APHP NUP SITE BICHAT C BERNARD;750712184;1;3;2;1;1803;7575;2149;561;0;1588;1;0;3;4;5;1170;;939;20;63;2439;7495
CHIRCAR;2024;750150104;INSTITUT MUTUALISTE MONTSOURIS;750720476;1;5;2;1;4636;7557;5890;3398;2;2490;1;0;2;3;0;965;;897;25;58;809;2712
CHIRCAR;2024;750300154;CLINIQUE TURIN;750065971;1;2;;1;1550;1624;1631;26;0;1605;0;0;0;0;0;0;0;0;0;20;0;0
