BOR;AN;FI;RS;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACT;ACTINT
IMAGES;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;LITHO;1;1;295;;;;295;1
IMAGES;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;RADIO;3;;;;;;;
IMAGES;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;SCAN;1;;;;;;;
IMAGES;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;LITHO;1;1;330;;;;330;
IMAGES;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;MAMM;1;1;;;;6166;6166;
IMAGES;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;RADIO;6;6;3905;;;16316;20221;1
IMAGES;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;SCAN;1;1;681;0;;15295;15976;0
IMAGES;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;IRM;2;2;618;;;793;1411;1
IMAGES;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;LITHO;1;1;24;0;0;451;475;0
IMAGES;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;RADIO;2;2;4146;;;9939;14085;1
IMAGES;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;SCAN;2;2;5750;;;3271;9021;1
IMAGES;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;RADIO;1;1;442;;;9843;10285;1
IMAGES;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SCAN;1;1;485;;;6795;7280;1
IMAGES;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;IRM;1;1;410;;;676;1086;0
IMAGES;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;LITHO;;;;;;;;1
IMAGES;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;RADIO;2;2;4646;;;6172;10818;1
IMAGES;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;SCAN;1;1;4134;;;1692;5826;1
IMAGES;2024;040780470;CLINIQUE TOUTES AURES;040000192;LITHO;1;1;52;0;0;0;52;
IMAGES;2024;040780470;CLINIQUE TOUTES AURES;040000192;RADIO;1;;;;;;;
IMAGES;2024;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;RADIO;1;1;193;;;;193;0
IMAGES;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;IRM;1;1;471;;4315;1499;6285;
IMAGES;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;RADIO;3;;;;;;;
IMAGES;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;SCAN;1;1;4317;;5604;2528;12449;
IMAGES;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;RADIO;2;2;1132;69;;9439;10640;0
IMAGES;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;IRM;2;1;1145;;;4456;5601;0
IMAGES;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;LITHO;1;1;170;;;;170;
IMAGES;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MAMM;1;1;;;;811;811;
IMAGES;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;RADIO;4;4;5040;;;23074;28114;1
IMAGES;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SCAN;2;2;3255;;;14598;17853;1
IMAGES;2024;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;RADIO;1;1;270;0;0;626;896;0
IMAGES;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;IRM;1;1;537;;;2506;3043;0
IMAGES;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;LITHO;1;1;126;;;;126;0
IMAGES;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MAMM;1;1;;;;4201;4201;
IMAGES;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;RADIO;3;3;8792;;;20447;29239;0
IMAGES;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;SCAN;2;1;4448;;;7650;12098;0
IMAGES;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;dtIRM1;1;1;;;;;;0
IMAGES;2024;060000486;CH SAINT ELOI DE SOSPEL;060780905;RADIO;1;1;410;0;0;607;1017;0
IMAGES;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;IRM;2;2;891;;;6528;7419;
IMAGES;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;MAMM;1;1;;;;6141;6141;
IMAGES;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;RADIO;3;3;9472;;;27697;37169;1
IMAGES;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SCAN;3;3;4709;;;16080;20789;1
IMAGES;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;VASC;1;1;2592;;;0;2592;1
IMAGES;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;dtIRM1;1;1;249;;;4230;4479;
IMAGES;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;dtIRM2;1;1;642;;;2298;2940;
IMAGES;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;CAM;3;3;1381;;;4871;6252;
IMAGES;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;IRM;1;1;471;;;3612;4083;1
IMAGES;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;MAMM;2;2;;;;13608;13608;
IMAGES;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;RADIO;1;1;3201;;;906;4107;1
IMAGES;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SCAN;2;2;1254;;;7851;9105;1
IMAGES;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;TOMO;2;2;305;;;7204;7509;
IMAGES;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;IRM;2;2;1517;;;6261;7778;0
IMAGES;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;RADIO;4;3;9316;93;;20904;30313;0
IMAGES;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;SCAN;3;3;10052;51;;11824;21927;1
IMAGES;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;VASC;2;2;1260;;;;1260;1
IMAGES;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;dtIRM2;1;1;776;;;4685;5461;
IMAGES;2024;060002102;CH LA PALMOSA DE MENTON;060791761;IRM;1;1;102;0;0;3972;4074;0
IMAGES;2024;060002102;CH LA PALMOSA DE MENTON;060791761;MAMM;1;1;;;;751;751;
IMAGES;2024;060002102;CH LA PALMOSA DE MENTON;060791761;RADIO;2;2;1172;0;1862;13071;16105;0
IMAGES;2024;060002102;CH LA PALMOSA DE MENTON;060791761;SCAN;1;1;591;0;0;6094;6685;0
IMAGES;2024;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;060780962;IRM;1;1;17;;;2323;2340;
IMAGES;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;RADIO;2;2;1365;;;1654;3019;
IMAGES;2024;060780459;CLINIQUE ORSAC MONTFLEURI;010783009;RADIO;1;1;67;0;0;0;67;
IMAGES;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;CAM;1;;;;;;;
IMAGES;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;IRM;2;;;;;;;
IMAGES;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;RADIO;1;;;;;;;
IMAGES;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;SCAN;2;;;;;;;
IMAGES;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;VASC;2;;;;;;;
IMAGES;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;dtIRM2;1;;;;;;;
IMAGES;2024;060780590;CLINIQUE DU PALAIS;060000270;MAMM;1;;;;;;;
IMAGES;2024;060780590;CLINIQUE DU PALAIS;060000270;RADIO;2;;;;;;;0
IMAGES;2024;060780590;CLINIQUE DU PALAIS;060000270;SCAN;1;;;;;;;0
IMAGES;2024;060780665;CLINIQUE LE MERIDIEN;060000312;RADIO;3;;;;;;;0
IMAGES;2024;060780715;CLINIQUE SAINT GEORGE;060000361;IRM;3;3;460;;12;30519;30991;0
IMAGES;2024;060780715;CLINIQUE SAINT GEORGE;060000361;LITHO;1;1;182;;;;182;0
IMAGES;2024;060780715;CLINIQUE SAINT GEORGE;060000361;RADIO;2;2;5920;;;13231;19151;1
IMAGES;2024;060780715;CLINIQUE SAINT GEORGE;060000361;SCAN;2;2;2099;;1300;24031;27430;1
IMAGES;2024;060780715;CLINIQUE SAINT GEORGE;060000361;VASC;5;5;1078;;;888;1966;1
IMAGES;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;IRM;1;;;;;;;0
IMAGES;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;LITHO;1;;;;;;;0
IMAGES;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;MAMM;1;;;;;;;
IMAGES;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;RADIO;2;;;;;;;0
IMAGES;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;SCAN;1;;;;;;;0
IMAGES;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;VASC;1;;;;;;;0
IMAGES;2024;060780996;CHS SAINTE MARIE;630786754;RADIO;1;1;1434;;;;1434;0
IMAGES;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;RADIO;4;4;1515;;;3766;5281;0
IMAGES;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;SCAN;1;1;714;;;10383;11097;0
IMAGES;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;IRM;3;3;8708;208;0;15871;24787;
IMAGES;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;RADIO;6;6;37916;217;0;53903;92036;
IMAGES;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SCAN;3;3;25127;872;6;23574;49579;
IMAGES;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;VASC;2;2;1817;93;2;880;2792;
IMAGES;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;dtIRM2;1;1;812;53;0;6676;7541;
IMAGES;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;RADIO;1;1;1235;1;0;845;2081;
IMAGES;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;CAM;1;1;143;124;0;5216;5483;
IMAGES;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;IRM;1;1;1216;15;0;9183;10414;
IMAGES;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;RADIO;2;2;6339;9;0;1337;7685;
IMAGES;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SCAN;2;2;6192;24;0;7887;14103;
IMAGES;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TOMO;1;1;219;76;0;3920;4215;
IMAGES;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;VASC;1;1;2250;21;1;272;2544;
IMAGES;2024;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;RADIO;1;1;19;0;0;147;166;
IMAGES;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;RADIO;2;2;4996;0;118;260;5374;0
IMAGES;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;CAM;2;;;;;;;
IMAGES;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;IRM;2;;;;;;;0
IMAGES;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SCAN;2;;;;;;;0
IMAGES;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;VASC;3;3;8214;13;384;1195;9806;1
IMAGES;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;dtIRM2;1;;;;;;;
IMAGES;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;CAM;3;3;178;;;;178;0
IMAGES;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;IRM;2;2;479;;;;479;0
IMAGES;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;MAMM;2;2;;;;1;1;
IMAGES;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;RADIO;2;2;11383;;;;11383;1
IMAGES;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;SCAN;1;1;1295;;;;1295;1
IMAGES;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;TOMO;2;2;122;;;;122;0
IMAGES;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;VASC;1;1;286;;;;286;1
IMAGES;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;dtIRM2;1;1;46;;;;46;0
IMAGES;2024;060800174;FONDATION LENVAL;060800174;IRM;1;1;35;724;;9483;10242;1
IMAGES;2024;060800174;FONDATION LENVAL;060800174;SCAN;1;1;4;1293;;11051;12348;1
IMAGES;2024;070000013;CH DE PRIVAS ARDECHE;070002878;MAMM;1;1;;;;941;941;
IMAGES;2024;070000013;CH DE PRIVAS ARDECHE;070002878;RADIO;2;2;2513;;;10409;12922;
IMAGES;2024;070000013;CH DE PRIVAS ARDECHE;070002878;SCAN;1;1;3651;;;6742;10393;
IMAGES;2024;070000070;CH DU CHEYLARD;070780150;RADIO;1;1;288;123;0;4227;4638;0
IMAGES;2024;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;RADIO;1;;;;;;;
IMAGES;2024;070000179;CH ARDECHE NORD;070780358;IRM;1;1;798;;;6471;7269;0
IMAGES;2024;070000179;CH ARDECHE NORD;070780358;MAMM;1;1;;;;2618;2618;
IMAGES;2024;070000179;CH ARDECHE NORD;070780358;RADIO;3;3;9572;;;19669;29241;
IMAGES;2024;070000179;CH ARDECHE NORD;070780358;SCAN;1;1;7953;;;6528;14481;0
IMAGES;2024;070000187;CH DE LAMASTRE;070780366;RADIO;1;1;285;86;0;2729;3100;0
IMAGES;2024;070000195;CH DE TOURNON SUR RHONE;070780374;IRM;1;;;;;;;
IMAGES;2024;070000195;CH DE TOURNON SUR RHONE;070780374;RADIO;1;1;418;44;;124;586;
IMAGES;2024;070000195;CH DE TOURNON SUR RHONE;070780374;dtIRM1;1;;;;;;;
IMAGES;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;IRM;1;1;283;;895;4235;5413;0
IMAGES;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;MAMM;1;1;;;;1566;1566;
IMAGES;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;RADIO;3;3;3442;;;26964;30406;0
IMAGES;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;SCAN;2;2;2151;;1021;12683;15855;0
IMAGES;2024;070780424;CLINIQUE PASTEUR;070000245;IRM;2;;;;;;;
IMAGES;2024;070780424;CLINIQUE PASTEUR;070000245;MAMM;1;;;;;;;
IMAGES;2024;070780424;CLINIQUE PASTEUR;070000245;RADIO;4;;;;;;;
IMAGES;2024;070780424;CLINIQUE PASTEUR;070000245;SCAN;1;;;;;;;
IMAGES;2024;070780424;CLINIQUE PASTEUR;070000245;VASC;1;;;;;;;
IMAGES;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;RADIO;2;2;3804;236;;11290;15330;0
IMAGES;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;SCAN;1;1;3031;93;;4526;7650;0
IMAGES;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;IRM;1;1;97;;;6006;6103;0
IMAGES;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;MAMM;1;1;;;;615;615;
IMAGES;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;RADIO;5;5;5011;0;0;12750;17761;0
IMAGES;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;SCAN;1;1;1360;0;0;12243;13603;0
IMAGES;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;RADIO;2;2;995;0;0;2381;3376;0
IMAGES;2024;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;MAMM;1;1;;;;875;875;
IMAGES;2024;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;RADIO;2;2;54;29;;1472;1555;0
IMAGES;2024;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;SCAN;1;1;39;0;;1176;1215;0
IMAGES;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;CAM;2;2;137;;;4273;4410;0
IMAGES;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;IRM;2;2;1398;;;6534;7932;0
IMAGES;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;LITHO;1;1;19;;;;19;1
IMAGES;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;MAMM;1;1;;;;1307;1307;
IMAGES;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;RADIO;6;6;16099;9;;32338;48446;0
IMAGES;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SCAN;2;2;8806;;;8128;16934;1
IMAGES;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;VASC;2;2;670;;;2234;2904;1
IMAGES;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;dtIRM2;1;1;516;;;3376;3892;0
IMAGES;2024;090000019;CH SAINT LOUIS AX LES THERMES;090180019;RADIO;1;1;1036;0;0;0;1036;0
IMAGES;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;IRM;1;1;672;2;0;7091;7765;0
IMAGES;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;MAMM;1;1;;;;950;950;
IMAGES;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;RADIO;3;3;10530;30;;26864;37424;1
IMAGES;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;SCAN;1;1;10817;17;0;11076;21910;1
IMAGES;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;MAMM;1;1;;;;1642;1642;
IMAGES;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;RADIO;4;4;2234;;;13094;15328;0
IMAGES;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SCAN;1;1;2530;;;6391;8921;0
IMAGES;2024;090001629;CHIVA SITE LAVELANET;090781774;RADIO;1;1;301;;;3164;3465;0
IMAGES;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;CAM;2;2;293;;;1088;1381;0
IMAGES;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;IRM;2;2;1666;3;;7790;9459;0
IMAGES;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;MAMM;2;2;;;;3440;3440;
IMAGES;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;RADIO;3;3;12534;487;;43591;56612;1
IMAGES;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SCAN;2;2;6737;218;;25827;32782;1
IMAGES;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TOMO;1;1;419;;;42;461;0
IMAGES;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;VASC;1;1;1832;;;0;1832;1
IMAGES;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;dtIRM2;1;1;1238;3;;5573;6814;0
IMAGES;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;IRM;3;;;;;;;
IMAGES;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;LITHO;1;;;;;;;
IMAGES;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;RADIO;3;;;;;;;
IMAGES;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;SCAN;1;;;;;;;
IMAGES;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;dtIRM1;1;;;;;;;
