BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;DISU;DISHU
IMAGES_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;3.07;0;;;;
IMAGES_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M1160;0.76;;0;0;1;1
IMAGES_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N4130;6.92;;0;1;;
IMAGES_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N4160;0.1;;;;;
IMAGES_P;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;NAUT;1;;;;;
IMAGES_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4130;8.27;;0;1;;
IMAGES_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4160;0.25;;;;;
IMAGES_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;4.6;;;;;
IMAGES_P;2024;040780470;CLINIQUE TOUTES AURES;040000192;M1160;;4;;1;0;0
IMAGES_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;M1160;3.57;;;;;
IMAGES_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N4130;10.54;;;;;
IMAGES_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N4160;0.5;;;;;
IMAGES_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;NAUT;3.97;;;;;
IMAGES_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N4130;3.16;;;;;
IMAGES_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NAUT;4.67;;;;;
IMAGES_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1160;8.07;;0;1;0;0
IMAGES_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N4130;23.07;;1;1;;
IMAGES_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N4160;1.1;;;;;
IMAGES_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;14.86;;;;;
IMAGES_P;2024;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;M1160;0;0;0;0;0;1
IMAGES_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1160;5.25;0;;;;
IMAGES_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MAUT;1.15;0;;;;
IMAGES_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N4130;10.75;0;;;;
IMAGES_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N4160;1;0;;;;
IMAGES_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;6.78;0;;;;
IMAGES_P;2024;060000486;CH SAINT ELOI DE SOSPEL;060780905;N4130;0.5;;;;;
IMAGES_P;2024;060000486;CH SAINT ELOI DE SOSPEL;060780905;NAUT;0.25;;;;;
IMAGES_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1160;9.85;16;0;1;;
IMAGES_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N4130;32.13;;0;1;;
IMAGES_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N4160;2;;;;;
IMAGES_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;35.78;;;;;
IMAGES_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1160;9.84;;0;0;0;0
IMAGES_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1210;8.07;;;0;;
IMAGES_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;MAUT;1.57;;;;;
IMAGES_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4130;31.75;;0;1;;
IMAGES_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4160;0.88;;;;;
IMAGES_P;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;NAUT;19.44;;;;;
IMAGES_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;M1160;6.25;;0;1;0;0
IMAGES_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N4130;28.47;;1;1;;
IMAGES_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;N4160;0.2;;;;;
IMAGES_P;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;16.62;;;;;
IMAGES_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;M1160;3.73;;;;1;1
IMAGES_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N4130;13.14;;0;1;;
IMAGES_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;N4160;0.5;;;;;
IMAGES_P;2024;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;5.4;;;;;
IMAGES_P;2024;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;060780962;M1160;0.95;;0;0;0;0
IMAGES_P;2024;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;060780962;N4130;4.74;;0;0;;
IMAGES_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;M1160;;1;0;0;0;0
IMAGES_P;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4130;1;;0;0;;
IMAGES_P;2024;060780459;CLINIQUE ORSAC MONTFLEURI;010783009;N4130;0.24;;;;;
IMAGES_P;2024;060780590;CLINIQUE DU PALAIS;060000270;M1160;;;;1;;
IMAGES_P;2024;060780590;CLINIQUE DU PALAIS;060000270;N4130;;;;1;;
IMAGES_P;2024;060780665;CLINIQUE LE MERIDIEN;060000312;M1160;;;;1;0;0
IMAGES_P;2024;060780665;CLINIQUE LE MERIDIEN;060000312;N4130;;;;1;;
IMAGES_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;M1160;0;20;0;1;1;0
IMAGES_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;N4130;20.54;0;0;1;;
IMAGES_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;N4160;1;0;;;;
IMAGES_P;2024;060780715;CLINIQUE SAINT GEORGE;060000361;NAUT;8.9;0;;;;
IMAGES_P;2024;060780996;CHS SAINTE MARIE;630786754;M1160;0.2;;0;0;0;0
IMAGES_P;2024;060780996;CHS SAINTE MARIE;630786754;N4130;1.06;;0;0;;
IMAGES_P;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;M1160;;11;0;1;0;0
IMAGES_P;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;N4130;3;;0;1;;
IMAGES_P;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;NAUT;4;;;;;
IMAGES_P;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M1160;13.98;;1;1;;
IMAGES_P;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;MAUT;3.82;6;;;;
IMAGES_P;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N4130;77.6;;;;;
IMAGES_P;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NAUT;57.25;;;;;
IMAGES_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;M1160;0.1;;0;0;;
IMAGES_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N4130;0.6;;;;;
IMAGES_P;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;NAUT;1;;;;;
IMAGES_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1160;6.35;;0;1;;
IMAGES_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1210;3.84;;0;0;;
IMAGES_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MAUT;1.53;;;;;
IMAGES_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N4130;31.28;;;;;
IMAGES_P;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;NAUT;42.21;;;;;
IMAGES_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;M1160;0.43;;0;0;0;0
IMAGES_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N4130;2.25;;0;0;;
IMAGES_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N4160;0.05;;;;;
IMAGES_P;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;NAUT;0.19;;;;;
IMAGES_P;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;M1160;7.73;;;;;
IMAGES_P;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N4130;3;;;;;
IMAGES_P;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N4160;1;;;;;
IMAGES_P;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;NAUT;7.44;;;;;
IMAGES_P;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;M1160;;6;0;1;0;0
IMAGES_P;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;M1210;;6;0;0;;
IMAGES_P;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;N4130;;26;;1;;
IMAGES_P;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;N4160;;3;;;;
IMAGES_P;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;NAUT;;28;;;;
IMAGES_P;2024;060800174;FONDATION LENVAL;060800174;M1160;8.03;;0;1;1;1
IMAGES_P;2024;060800174;FONDATION LENVAL;060800174;MAUT;1.5;23;;;;
IMAGES_P;2024;060800174;FONDATION LENVAL;060800174;N4130;20.92;;0;1;;
IMAGES_P;2024;060800174;FONDATION LENVAL;060800174;N4160;0.87;;;;;
IMAGES_P;2024;060800174;FONDATION LENVAL;060800174;NAUT;16.15;;;;;
IMAGES_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;M1160;3.7;;0;1;0;0
IMAGES_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;MAUT;0.5;;;;;
IMAGES_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;N4130;8.6;;0;1;;
IMAGES_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;N4160;0.98;;;;;
IMAGES_P;2024;070000013;CH DE PRIVAS ARDECHE;070002878;NAUT;19.03;;;;;
IMAGES_P;2024;070000070;CH DU CHEYLARD;070780150;M1160;0.2;0;0;0;0;0
IMAGES_P;2024;070000070;CH DU CHEYLARD;070780150;N4130;1.04;0;0;0;;
IMAGES_P;2024;070000179;CH ARDECHE NORD;070780358;M1160;2.56;0;0;0;0;0
IMAGES_P;2024;070000179;CH ARDECHE NORD;070780358;N4130;16.71;0;0;0;;
IMAGES_P;2024;070000179;CH ARDECHE NORD;070780358;NAUT;12.93;0;;;;
IMAGES_P;2024;070000187;CH DE LAMASTRE;070780366;N4130;1.13;;0;0;;
IMAGES_P;2024;070000195;CH DE TOURNON SUR RHONE;070780374;M1160;;1;0;0;0;0
IMAGES_P;2024;070000195;CH DE TOURNON SUR RHONE;070780374;N4130;0.25;;0;0;;
IMAGES_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;M1160;5.03;;;;;
IMAGES_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N4130;19.3;;;;;
IMAGES_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N4160;0.5;;;;;
IMAGES_P;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;NAUT;12.33;;;;;
IMAGES_P;2024;070780424;CLINIQUE PASTEUR;070000245;M1160;;;;1;0;0
IMAGES_P;2024;070780424;CLINIQUE PASTEUR;070000245;N4130;;;;1;;
IMAGES_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1160;0.41;;0;1;0;0
IMAGES_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N4130;7.78;;0;1;;
IMAGES_P;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;3.32;;;;;
IMAGES_P;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;M1160;11.32;;0;1;0;0
IMAGES_P;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N4130;9.82;;0;1;;
IMAGES_P;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;NAUT;0.92;;;;;
IMAGES_P;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;M1160;0.43;;0;0;0;0
IMAGES_P;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N4130;0.9;;0;0;;
IMAGES_P;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;NAUT;0.35;;;;;
IMAGES_P;2024;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;M1160;0.66;;0;0;0;0
IMAGES_P;2024;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;MAUT;0.03;;;;;
IMAGES_P;2024;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;N4130;1.55;;0;0;;
IMAGES_P;2024;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;NAUT;1.64;;;;;
IMAGES_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1160;5.51;6;0;1;0;0
IMAGES_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1210;0.05;1;0;0;;
IMAGES_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;MAUT;3.71;;;;;
IMAGES_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N4130;26.23;;1;1;;
IMAGES_P;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NAUT;27.82;;;;;
IMAGES_P;2024;090000019;CH SAINT LOUIS AX LES THERMES;090180019;M1160;0;1;0;0;0;0
IMAGES_P;2024;090000019;CH SAINT LOUIS AX LES THERMES;090180019;N4130;0.22;0;0;0;;
IMAGES_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;M1160;5;3;0;1;0;0
IMAGES_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N4130;29.61;;1;0;;
IMAGES_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N4160;0.7;;;;;
IMAGES_P;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;NAUT;8.11;;;;;
IMAGES_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1160;1.46;;;;;
IMAGES_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N4130;11.31;;;;;
IMAGES_P;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;NAUT;3.19;;;;;
IMAGES_P;2024;090001629;CHIVA SITE LAVELANET;090781774;M1160;0.1;;0;0;0;0
IMAGES_P;2024;090001629;CHIVA SITE LAVELANET;090781774;N4130;2.16;;0;0;;
IMAGES_P;2024;090001629;CHIVA SITE LAVELANET;090781774;N4160;0.1;;;;;
IMAGES_P;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1160;9.04;;0;1;0;1
IMAGES_P;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1210;1.39;;0;0;;
IMAGES_P;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N4130;42.4;;0;1;;
IMAGES_P;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N4160;1;;;;;
IMAGES_P;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;NAUT;29.86;;;;;
IMAGES_P;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;M1160;;0;0;1;0;0
IMAGES_P;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;N4130;;;;1;;
IMAGES_P;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;M1160;;;0;0;1;1
IMAGES_P;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N4130;7.5;;0;1;;
IMAGES_P;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N4160;0.25;;;;;
IMAGES_P;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;NAUT;4.4;;;;;
IMAGES_P;2024;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;M1160;;5;0;1;;
IMAGES_P;2024;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;N4130;7.78;;;;;
IMAGES_P;2024;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;N4160;1;;;;;
IMAGES_P;2024;110000023;CH CARCASSONNE;110780061;M1160;2.69;;0;1;1;0
IMAGES_P;2024;110000023;CH CARCASSONNE;110780061;M1210;2.75;1;0;0;;
IMAGES_P;2024;110000023;CH CARCASSONNE;110780061;N4130;38.79;;1;1;;
IMAGES_P;2024;110000023;CH CARCASSONNE;110780061;N4160;3.04;;;;;
IMAGES_P;2024;110000023;CH CARCASSONNE;110780061;NAUT;18.49;;;;;
IMAGES_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;M1160;0.21;;0;0;0;0
IMAGES_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;MAUT;0.15;;;;;
IMAGES_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;N4130;8.79;;0;1;;
IMAGES_P;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;NAUT;5.29;;;;;
IMAGES_P;2024;110000056;CH NARBONNE;110780137;M1160;3.33;0;0;1;0;0
IMAGES_P;2024;110000056;CH NARBONNE;110780137;N4130;26.4;;0;1;;
IMAGES_P;2024;110000056;CH NARBONNE;110780137;N4160;1.16;;;;;
IMAGES_P;2024;110000056;CH NARBONNE;110780137;NAUT;12.03;;;;;
IMAGES_P;2024;110000189;CH LIMOUX QUILLAN SITE DE LIMOUX;110780707;M1160;1.2;;0;0;;
IMAGES_P;2024;110000189;CH LIMOUX QUILLAN SITE DE LIMOUX;110780707;N4130;2.34;;0;0;;
IMAGES_P;2024;110000189;CH LIMOUX QUILLAN SITE DE LIMOUX;110780707;NAUT;2;;;;;
IMAGES_P;2024;110780483;POLYCL MONTREAL CARCASSONNE;110000155;M1160;;;0;1;;
IMAGES_P;2024;110780483;POLYCL MONTREAL CARCASSONNE;110000155;MAUT;;4;;;;
IMAGES_P;2024;110780483;POLYCL MONTREAL CARCASSONNE;110000155;N4130;;;0;1;;
IMAGES_P;2024;110780483;POLYCL MONTREAL CARCASSONNE;110000155;NAUT;0.6;;;;;
IMAGES_P;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;M1160;3.51;7;0;1;0;0
IMAGES_P;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;M1210;0;4;0;0;;
IMAGES_P;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N4130;32.3;;1;0;;
IMAGES_P;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N4160;1;;;;;
IMAGES_P;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;NAUT;4.01;;;;;
IMAGES_P;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;M1160;0.09;;0;1;0;0
IMAGES_P;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;N4130;12.87;;;1;;
IMAGES_P;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;N4160;0.66;;;;;
IMAGES_P;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;NAUT;1.8;;;;;
IMAGES_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;M1160;0.16;3;0;0;0;0
IMAGES_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N4130;11.13;;0;1;;
IMAGES_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N4160;0.9;;;;;
IMAGES_P;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;NAUT;6.3;;;;;
IMAGES_P;2024;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N4130;0.4;;;;;
IMAGES_P;2024;120000096;CHI ESPALION ST LAURENT D'OLT;120780101;N4130;0.88;;0;0;;
