BOR;AN;FI;RS;FI_EJ;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT_HORSPSY;CONS_MED_INT_PSY;CONS_IDE_INT;CONS_TOT_INT;CAS_RSP_INT;FILACT_INT;dt_NOUV_INT;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT_HORSPSY;CONS_MED_EXT_PSY;CONS_IDE_EXT;CONS_TOT_EXT;CAS_RSP_EXT;FILACT_EXT;dt_NOUV_EXT;CONS_PSY18;ACT_INF18;CONS_MED18_HORSPSY;CONS_MED18_PSY;CONS_IDE18;CONS_TOT18;CAS_RSP18;FILACT18;dt_NOUV18;SEJ;HOSP;CAS_RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_IDE;EFFPL_IDEDOU;EFFPL_PSY;EFFPL_PNMAUT;EFFPA_PM;EFFPA_PMDOU;EFFPA_IDE;EFFPA_IDEDOU;EFFPA_PSY;EFFPA_PNMAUT;EFFPA1_PM;EFFPA1_PMDOU;EFFPA1_IDE;EFFPA1_IDEDOU;EFFPA1_PSY;EFFPA1_PNMAUT;EFFPA2_PM;EFFPA2_PMDOU;EFFPA2_IDE;EFFPA2_IDEDOU;EFFPA2_PSY;EFFPA2_PNMAUT;EFFPA3_PM;EFFPA3_PMDOU;EFFPA3_IDE;EFFPA3_IDEDOU;EFFPA3_PSY;EFFPA3_PNMAUT;ETPSAL_PM;ETPSAL_PMDOU;ETPSAL_IDE;ETPSAL_IDEDOU;ETPSAL_PSY;ETPSAL_PNMAUT
DOULEUR;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;Consultation;1035;1664;999;21;1261;3316;128;320;213;293;163;1114;128;110;1645;246;361;240;;;;;;;;;;;;381;1;;3;1;;3;3;2;;;1;1;;;;;;;1;1;;;;;2;1;;;1;1;0.79;0.25;0.55;0.15;0.14;0.48
DOULEUR;2024;060780715;CLINIQUE SAINT GEORGE;060000361;Consultation;;;2;;;2;;;;;;828;;;828;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;0.8;;;;
DOULEUR;2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;Consultation;84;0;194;;0;278;;58;;225;387;1272;;387;1884;;447;;308;385;1437;;440;2185;;491;;0;0;;;;1;;;;1;1;1;;;2;;;;;;;1;1;;;;;;;1;;;2;0.3;0.3;1.47;;;0.83
DOULEUR;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;Centre;0;0;450;0;0;450;0;450;450;1118;2500;8785;0;550;10453;660;4747;1831;30;0;15;0;0;45;0;12;12;5089;1347;280;5;;3;;1;7;2;;4;;1;8;2;;1;;;3;0;;;;;1;0;;3;;1;4;5.17;;5.55;;1.5;10.1
DOULEUR;2024;070000013;CH DE PRIVAS ARDECHE;070002878;Consultation;;;;;;;;;;30;;277;;1408;1715;;183;98;;;1;;;1;;1;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;
DOULEUR;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;Consultation;;;;;;;;;;173;;151;282;558;1164;26;142;89;;;;;;;;;;;;5;;;;;;1;2;;3;;1;1;1;;1;;1;1;1;;2;;;;;;;;;;0.23;;0.55;;0.1;1.05
DOULEUR;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;Consultation;;;;;;;;;;;;413;;;413;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.19;;;;;
DOULEUR;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;Consultation;;;;;;;;;;;13;2674;;1422;4096;;794;379;;;;;;;;;;352;194;5;3;;2;;;2;;;;;;1;;;;;;;;;;;;;;;;;;1;0.84;;1.3;;;1.69
DOULEUR;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;Consultation;0;;4;;51;55;;26;0;274;;154;;378;806;;173;65;0;;0;;0;0;;0;0;;;;;;;;;;1;1;1;;1;2;;;;;;1;1;1;;;1;;;;1;;;1;0.2;0.2;0.6;;0.3;0.62
DOULEUR;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;Centre;180;;43;;;223;;;;720;;2361;62;1776;4919;120;1750;336;;;;;;;;;;2981;710;16;1;1;1;1;1;1;4;1;3;0;0;2;3;0;3;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1.75;1.5;1.38;1;1;1.5
DOULEUR;2024;110000023;CH CARCASSONNE;110780061;Consultation;;;;;;;;;;455;634;1002;0;634;2091;93;339;205;2;11;9;;2;13;;9;5;;;4;0;;;;;;4;1;1;;1;3;2;;;;;2;1;1;;;;;1;;1;;1;1;1.29;0.4;0.75;;0.66;1.05
DOULEUR;2024;110000056;CH NARBONNE;110780137;Consultation;228;399;490;;392;1110;;359;178;514;659;1635;;646;2795;40;503;320;;;;;;;;;;;;;1;1;;;;;1;1;2;1;1;;;;;;1;;;;;;;;1;1;2;1;;;1.2;1.2;1.79;0.9;0.8;
DOULEUR;2024;110780483;POLYCL MONTREAL CARCASSONNE;110000155;Centre;600;1000;0;0;2500;3100;0;1560;950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2763;1450;0;;;2;;1;2;1;;;;;;;;;;;;;;;;;;1;;;;;;0.7;;2;;0.4;0.7
DOULEUR;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;Consultation;;;86;;130;216;86;246;246;431;955;1153;;1424;3008;1153;;;;;;;;;;;;;;;;;;;;;1;1;2;2;1;2;;;;;;1;1;1;2;2;;;;;;;1;1;0.5;0.5;0.8;0.4;0.5;0.02
DOULEUR;2024;120004569;CH MILLAU;120004528;Consultation;;;;;;;;;;93;;533;;427;1053;18;512;258;;;;;;;;;;313;186;;;;;;;;2;2;1;1;1;1;;;;;;;2;2;;;;;;;1;1;1;1;0.6;0.6;0.9;0.9;0.4;0.5
DOULEUR;2024;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;Consultation;;;;;;;;;;93;;533;0;427;1053;18;512;258;;;;;;;;;;313;186;0;;;;;;;2;2;1;1;1;1;;;;;;;2;2;;;;;;;1;1;1;1;0.6;0.6;0.9;0.9;0.4;0.5
DOULEUR;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;Consultation;5;;6;;;11;;;;1204;256;2480;679;;4363;50;805;269;;;;;;;;;;979;293;359;1;1;1;1;1;2;4;;3;2;;1;2;;;;;;1;;;;;;1;;3;2;;1;2.3;1;2.57;2.38;1;2.56
DOULEUR;2024;130001225;HOPITAL DU PAYS SALONAIS;130782634;Consultation;81;5;167;0;433;681;30;94;82;238;157;1163;0;314;1715;25;721;196;;;;;;;;;;807;241;15;;;;;;;3;1;;2;1;;;;;;;;3;1;;;;;;;;2;1;;0.48;0.27;;0.86;0.5;
DOULEUR;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;Consultation;;459;1456;;132;1588;;390;235;;0;1805;;900;2705;;641;351;;0;;;0;0;;;;;;353;;;1;;;;4;;4;;5;2;;;4;;5;1;;;;;;;4;;;;;1;1.98;;1.4;;0.5;0.78
DOULEUR;2024;130783293;APHM HOPITAL LA TIMONE;130786049;Centre;;;;;;;;;;848;383;;;1447;2295;220;5998;1651;;;;;;;;152;73;1869;616;220;3;;4;;1;4;4;;3;;;1;;;;;;;;;1;;;1;4;;2;;;;5.99;;5.18;;0.86;4.04
DOULEUR;2024;130784903;CLINIQUE LA PHOCEANNE;130002041;Consultation;;;;;;;;;;120;;1913;;186;2219;635;1272;;;;;;;;;;;1220;741;142;2;2;5;1;;4;;;;;1;2;;;;;;;;;;;;2;;;;;1;;2;2;5;1;0.53;4.5
DOULEUR;2024;130785652;HOPITAL SAINT JOSEPH;130014228;Consultation;;;;;;;;;;467;;;;3205;3672;;912;;;;;;;;;;;233;118;;5;;15;;;18;1;;1;;3;1;;;;;;;;;;;;;1;;1;;3;1;5.23;;15.03;;2.4;19.21
DOULEUR;2024;130810740;CLINIQUE AXIUM;130007362;Centre;0;0;0;0;0;0;0;0;0;90;1010;1928;0;202;2220;110;1341;755;0;0;0;0;0;0;0;0;0;1010;;22;2;2;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;0.5;0.25
DOULEUR;2024;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;Centre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;1;;;1;;;;;;;;;;;;;2;;1;;;1;1;;1.6;;;0.4
DOULEUR;2024;140000209;CHU CAEN;140000100;Centre;373;17;2526;6;469;3374;52;1052;;953;1218;3664;661;1296;6574;156;2234;951;33;439;415;480;626;1554;15;529;25;719;322;200;7;;6;;3;1;11;;;;3;6;6;;;;;1;2;;;;;;3;;;;3;5;5.36;;4.6;;2.5;3.09
DOULEUR;2024;140000233;CH FALAISE;140000118;Consultation;;;20;;65;85;;5;;;231;279;;418;697;103;137;68;;1;3;;3;6;;3;3;81;39;;;;;;;;1;;2;;;;;;2;;;;;;;;;;1;;;;;;0.4;;0.58;;;
DOULEUR;2024;140000555;CLCC F BACLESSE;140000639;Centre;272;259;1184;105;234;1795;300;1012;387;598;381;1410;169;2263;4440;56;;;;;;;;;;;;2005;667;120;2;2;3;1;;2;4;3;1;1;2;;;;;;;;;;;;;;4;3;1;1;2;;2.02;1.92;2.3;1.36;0.5;1.05
DOULEUR;2024;140016759;POLYCLINIQUE DU PARC;140003146;Centre;;;;;;;;;;3600;5265;7085;950;10008;21643;2120;4557;1022;;;;;;;;;;4132;1584;159;0;0;9;;1;1;0;0;3;;2;1;0;0;;;;;0;;;;;1;0;;3;;2;;0;0;10.83;;1.75;1.5
DOULEUR;2024;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;Centre;;150;61;0;151;212;;44;;1084;2323;2297;0;1106;4487;111;1213;223;;2;2;0;2;4;;;;667;324;152;;;;;;1;9;4;4;3;2;2;5;1;;;;1;1;1;2;1;;1;3;2;2;2;2;;2.13;1.29;2.16;1.79;1.09;1.48
DOULEUR;2024;150000040;CH HENRI MONDOR;150780096;Consultation;;0;10;0;5;15;;;;147;0;675;0;377;1199;60;383;255;;;;;;;;;;;;;2;;;;1;;;;2;;;;;;;;;;;;;;;;;;2;;;;0.3;;0.32;;0.3;
DOULEUR;2024;150000164;CH DE MAURIAC;150780468;Consultation;15;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2024;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;Consultation;;;;;;;;;;181;814;1262;0;563;2006;10;580;237;;;;;;;;;;;;10;;;;;;;3;;3;;2;3;1;;1;;1;2;2;;1;;1;1;;;1;;;;1;;0.9;;0.34;0.37
DOULEUR;2024;160013207;CENTRE CLINICAL SA;160001632;Consultation;;;;;;;;;;262;466;1147;;848;2257;286;514;228;;;;;;;;;;212;139;;;;2;2;;1;1;1;;;1;;;;;;;;;;;;;;1;1;;;1;;0.81;0.81;1.4;1.4;0.42;1
DOULEUR;2024;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;Consultation;;;;;;;;;;60;461;1726;;461;2247;452;714;271;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1.58;1.58;0.99;;0.38;1
DOULEUR;2024;170000103;CH DE SAINTONGE - SAINTES;170780175;Consultation;;53;;;16;16;;2;;327;1660;1132;0;1258;2717;251;542;328;;;;;;;;;;53;25;49;1;;1;;1;1;1;;;;;3;;;;;;;;;;;;;1;;;;;3;1.3;;1.14;;0.5;0.66
DOULEUR;2024;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;Consultation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;
DOULEUR;2024;180000010;CH BOURGES - JACQUES COEUR;180000028;Consultation;;121;7;;;7;;;;744;428;1700;0;0;2444;0;780;280;;;;;;;;;;;;50;;;;;;;2;2;1;1;2;1;;;;;;;;;;;;;2;2;1;1;2;1;1.38;1.38;0.87;0.87;0.8;0.57
DOULEUR;2024;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;Consultation;139;444;1445;0;0;1584;;443;;709;1726;2175;0;0;2884;;1114;599;;;;;;;;;;;;;2;2;2;;1;;;;1;;;;;;;;;;;;;;;;;;1;;;;2.27;1.4;2.36;;0.8;
DOULEUR;2024;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;Centre;;;;;;;;;;;;;;;;;;;;;;;;;;;;482;153;;5;;2;;1;1;5;;2;;;2;2;;;;;;2;;;;;1;1;;2;;;1;3.54;;1.48;;0.5;1.74
DOULEUR;2024;210987731;CLCC GEORGES-FRANCOIS LECLERC;210780417;Centre;0;0;2117;179;0;2296;0;2117;383;;;;;;;;;;;;;;;;;;;870;472;0;2;2;;;;;6;3;1;;;5;1;;;;;;3;1;1;;;3;2;2;;;;2;3.9;3.4;0.5;;;2.5
DOULEUR;2024;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;Consultation;298;;382;;144;824;;376;;264;559;1591;;559;2414;;851;503;;;31;;;31;;20;;;;110;1;1;;;;1;1;1;2;2;1;1;;;;;;;1;1;;;;;;;2;2;1;1;1.25;1;1.7;1.7;0.4;1.2
DOULEUR;2024;220000368;CENTRE HOSPITALIER LANNION;220000103;Consultation;;;;;;;;;;;9;225;;;225;;165;46;;;;;;;;;;;;;2;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;0.4;0.4;0.12;;;0.12
DOULEUR;2024;220012884;CENTRE REEDUC TRESTEL;220000103;Consultation;;;;;;;;;;206;;152;;413;771;;132;92;;;;;;;;;;;;;;;1;;1;1;2;;;;;1;2;;;;;;;;;;;;;;;;;1;0.2;;0.5;;0.43;0.38
DOULEUR;2024;230000820;CENTRE HOSPITALIER GUERET;230780041;Consultation;0;0;10;0;6;16;0;0;0;449;370;1146;0;389;1984;18;481;200;0;0;0;0;0;0;0;0;0;133;54;20;1;1;2;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;1.88;1.88;0.4;0.5
DOULEUR;2024;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;Consultation;0;41;45;;13;58;;45;0;229;59;1047;;486;1762;;512;355;;;;;;;;;;71;21;1;0;0;1;1;0;0;2;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0.9;0.9;1;1;0.49;0.5
DOULEUR;2024;240000687;CENTRE HOSPITALIER SARLAT;240000448;Consultation;0;18;0;0;47;47;0;0;0;33;0;109;0;179;321;0;83;64;0;0;0;0;0;0;0;0;0;;;0;0;0;1;1;0;;1;1;0;0;1;;1;1;0;0;1;;0;0;0;0;0;;0;0;0;0;0;;0.1;0.1;1;1;0.05;
DOULEUR;2024;240011668;HAD DE LA CLINIQUE PASTEUR;240000612;Consultation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2024;250006954;CHU JEAN MINJOZ BESANCON;250000015;Centre;0;0;419;0;0;419;;411;168;774;29;2655;162;29;3620;335;1776;1085;0;0;227;0;1;228;;161;127;1981;1039;250;1;1;1;1;0;2;2;2;7;7;2;6;0;0;4;4;0;3;0;0;1;1;0;0;2;2;2;2;2;3;2.3;2.3;2.7;2.7;1.3;4.27
DOULEUR;2024;260000013;CH DE VALENCE;260000021;Consultation;126;67;153;0;67;346;20;155;132;1198;1273;2380;77;1273;4928;104;1165;650;;;36;0;0;36;;27;17;511;187;15;;;1;;;;5;3;3;;2;2;1;;;;;;1;2;;;1;;3;1;3;;1;2;1.25;1.2;1.4;;1.2;1.3
DOULEUR;2024;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;Consultation;;;;;;;;;;;;522;;;522;;183;154;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;1;1;;;;;0.15;0.15;;;;
DOULEUR;2024;270000359;CH EURE SEINE EVREUX;270023724;Consultation;;603;341;;1162;1503;750;218;107;576;;1982;;495;3053;5;658;504;;7;7;;0;7;;6;4;;;5;1;;;;;1;2;;;;;;;;;;;;;;;;;;2;;;;;;2.45;;;;;1
DOULEUR;2024;270000391;CH LOUVIERS CHI ELBEUF;760024042;Consultation;0;0;0;0;;0;;;;0;0;0;0;105;105;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;1;;;;;;;;;1;1;;;1;1;;;;1;0.5;0.5;0.3;0.3;;0.58
DOULEUR;2024;280000084;CH DREUX;280000183;Consultation;94;102;11;;;105;0;11;11;1103;1943;1468;;;2571;0;582;346;;;;;;;;;;0;0;;0;0;2;;0;;5;4;2;;3;;2;2;1;;2;;1;1;0;;0;;2;1;1;;1;;1.33;0.85;2.56;;0.97;
DOULEUR;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;Consultation;3;7;41;;;44;;42;27;598;755;1414;;;2012;;937;412;0;2;9;;;9;;7;5;0;0;0;0;0;;;;1;4;4;2;2;2;1;2;2;;;;1;1;1;;;;;1;1;2;2;2;;1.1;1.1;1;1;0.95;1.03
DOULEUR;2024;290000025;CHIC QUIMPER;290020700;Consultation;0;104;21;0;244;265;16;10;8;646;297;2871;0;0;3517;59;1889;520;0;3;3;0;3;6;2;3;3;62;32;102;;;1;;;;5;;3;;2;5;2;;;;;1;;;1;;1;1;3;;2;;1;3;1.98;;2.85;;0.7;2.4
DOULEUR;2024;290000033;C.H. DES PAYS DE MORLAIX;290021542;Consultation;;0;5;;0;5;;5;3;113;156;507;;156;776;;282;169;;0;26;;0;26;;9;7;;;;1;;1;1;;1;2;;1;1;1;;1;;;;;;1;;;;;;0;;1;1;1;;0.5;;0.2;0.2;0.2;0.5
DOULEUR;2024;290000728;HOPITAL INSTR ARMEES CLERMONT-TONNERRE;750821092;Consultation;;22;110;5;27;142;;;;;369;1000;81;616;1697;;;;;;;;;;;;;;;;0;;;;;;3;1;1;1;;;2;;;;;;;;;;;;1;1;1;1;;;0.7;0.5;0.5;0.5;;
DOULEUR;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;Centre;;;;;;;;;;471;1043;2810;;;3281;135;1620;788;97;209;562;;;659;27;324;158;543;170;156;3;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;2.07;;;;;
DOULEUR;2024;2A0004842;CH ND LA MISERICORDE;2A0000014;Consultation;0;0;0;0;0;0;0;0;0;396;274;1880;0;318;2594;352;738;386;3;2;5;0;0;8;3;3;3;1234;307;0;;;;;;1;3;;1;;1;;;;;;;;1;;;;;;2;;1;;1;;1.25;;0.43;;0.5;0.53
DOULEUR;2024;300780152;HOPITAL PRIVE LES FRANCISCAINES NIMES;300017985;Consultation;0;56;163;;57;220;0;24;16;275;360;1333;;106;1714;375;310;158;0;1;2;;0;2;0;1;0;1230;880;40;1;1;1;1;1;;1;0;;;;2;;;;;;;;;;;;;1;0;;;;2;1.4;1;1;1;1;2
DOULEUR;2024;300782117;CHU NIMES CAREMEAU;300780038;Centre;11;52;217;1;147;376;;1213;653;606;623;9838;1;769;11214;;3558;1783;;;39;0;;39;;30;17;4638;1186;1604;4;;8;;2;8;3;;;;;1;;;;;;;3;;;;;;;;;;;1;5.2;;8.21;;1.37;8.98
DOULEUR;2024;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;Consultation;;;;;;;;;;663;1652;1404;;290;2357;;673;271;;;;;;;;;;;;;;;1;1;;;3;2;;;2;2;;;;;;;2;1;;;;2;1;1;;;2;;1;0.7;1;1;1.6;0.5
DOULEUR;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;Consultation;467;3580;100;80;242;889;;;;800;539;854;405;99;2158;220;1260;489;1050;7;0;0;341;1391;200;1260;489;;;25;;;1;;0;0;;;2;;1;1;;;0;;0;0;;;0;;0;0;;;2;;1;1;;;2.01;;0.9;0.7
DOULEUR;2024;310026927;CL CAPIO LA CROIX DU SUD QUINT FONSEGR;310026794;Consultation;;;65;;;65;;;;82;815;1325;;800;2207;134;798;341;;;;;;;;;;586;261;;1;1;;;;;1;1;2;2;1;1;;;;;;;;;;;;;1;1;2;2;1;1;1.75;0.75;1.87;1.87;0.7;1
DOULEUR;2024;310780259;CL PASTEUR TOULOUSE;310000096;Consultation;;;788;;420;1208;;;;607;;1969;185;748;3509;110;982;288;;;2;;;2;;;;111;74;32;;;;;;;4;2;1;1;1;2;1;;;;;;1;;;;;;2;2;1;1;1;2;1.54;1.14;0.5;0.5;0.5;0.9
DOULEUR;2024;310780283;CL DE L'UNION SAINT JEAN;310000112;Consultation;10;462;82;;;92;;82;82;226;163;2303;;;2529;10;323;323;0;;;;0;0;;2;2;837;279;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;;;
DOULEUR;2024;310781000;CL DES CEDRES CORNEBARRIEU;310788880;Centre;;;;;;;;;;;;;;;;;;;;;;;;;;;;2263;797;;;;2;;;;5;;;;;2;;;;;;;;;;;;1;;;;;;1;;;2;;;0.75
DOULEUR;2024;310781067;HOPITAL JOSEPH DUCUING TOULOUSE;310788898;Consultation;190;129;129;0;129;448;50;127;120;338;;653;0;2039;3030;;;;;;;;;;;;;;;;;;1;;;;2;2;2;1;;;;;;;;;2;2;1;;;;;;1;1;;;0.7;0.7;1.85;0.8;;
DOULEUR;2024;310782347;ONCOPOLE CLAUDIUS REGAUD TOULOUSE;310789136;Centre;150;362;682;16;362;1210;462;296;190;363;0;1176;77;400;2016;464;600;374;;;;;;;;;;;;506;4;2;4;3;1;5;3;1;;;;;;;;;;;;;;;;;3;1;;;;;2.6;1.3;1.4;1;0.4;1.8
DOULEUR;2024;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;Consultation;;43;8;;;8;;;;1370;438;3167;572;1516;6625;344;2375;930;;16;;;;;;;;;;456;;;1;;0;1;;;1;;3;3;;;0;;0;0;;;0;;1;1;;;1;;2;2;;;1.5;;1.2;2.53
DOULEUR;2024;320000086;CH AUCH EN GASCOGNE;320780117;Consultation;46;0;126;0;101;273;44;62;45;242;0;746;0;428;1416;10;298;188;1;0;0;0;0;1;0;0;0;34;21;36;;;2;;1;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0.6;;1.05;;1;1
DOULEUR;2024;330000340;MSP BORDEAUX BAGATELLE;330780552;Consultation;;;;;;;;;;355;134;874;0;223;1452;43;400;189;;;;;;;;;;;;9;1;;;;;0;;;2;;;0;;;0;;;;;;1;;;;;;1;;;;1;;0.7;;;0.41
DOULEUR;2024;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;Consultation;2;1;4;;4;10;;6;3;577;101;602;;654;1833;60;384;293;;;1;;;1;;;;163;77;;3;2;1;1;;2;1;1;1;1;1;1;;;;;;;;;;;;;1;1;1;1;1;1;2.06;2.06;0.9;0.9;0.8;1.38
