BOR;AN;FI;RS;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO
MCO;2024;030000087;CH JACQUES LACARIN VICHY;030780118;234;84430;12736;2359;72244;67;24522;3717;173;18179;20;7320;1652;160;4963;321;116272;18105;2692;95386;17;4251;0;0;16614;24;6420;0;0;0;0;41;10671;0;0;16614
MCO;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;8;2928;149;0;1963;;;0;0;0;;;0;0;0;8;2928;149;0;1963;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;10;3666;181;2;3697;0;0;0;0;0;0;0;0;0;0;10;3666;181;2;3697;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0
MCO;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;14;5110;1916;984;3408;35;12250;2265;252;5061;0;0;0;0;0;49;17360;4181;1236;8469;2;0;0;0;2669;35;7618;0;0;0;0;37;7618;0;0;2669
MCO;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;50;17436;1820;23;16129;49;15094;2755;92;6789;0;;0;0;0;99;32530;4575;115;22918;3;970;;;7542;28;7494;;0;;;31;8464;;;7542
MCO;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;30;10950;2463;0;5935;61;14630;1673;3;4380;;;0;0;0;91;25580;4136;3;10315;;1;;;1120;31;6545;;0;;;31;6546;;;1120
MCO;2024;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;5;1825;79;6;744;;;0;0;0;;;0;0;0;5;1825;79;6;744;;0;;;4;;0;;0;;;;0;;;4
MCO;2024;040000044;EPS DUCELIA DE CASTELLANE;040780140;4;1460;116;3;911;;;0;0;0;;;0;0;0;4;1460;116;3;911;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;139;46822;6472;770;41513;30;10806;1782;97;7885;19;6954;962;230;3192;188;64582;9216;1097;52590;12;353;;;5930;10;1872;0;0;;;22;2225;;;5930
MCO;2024;040000119;EPS LUMIERE DE RIEZ;040780231;4;1464;159;11;1106;0;;0;0;0;0;;0;0;0;4;1464;159;11;1106;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
MCO;2024;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;040780249;4;1460;80;0;793;;;0;0;0;;;0;0;0;4;1460;80;0;793;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;20;7145;2155;661;7406;;;0;0;0;;;0;0;0;20;7145;2155;661;7406;1;2;0;0;2;;0;;0;;;1;2;0;0;2
MCO;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;84;30668;3908;600;28117;24;8784;1291;39;5806;15;5490;466;9;1688;123;44942;5665;648;35611;25;2036;;;2213;16;2771;1;305;;;42;5112;;;2213
MCO;2024;040780470;CLINIQUE TOUTES AURES;040000192;0;;0;0;0;20;6120;470;0;1118;0;;0;0;0;20;6120;470;0;1118;;0;;;1;24;5489;;0;;;24;5489;;;1
MCO;2024;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;29;10585;2090;1658;943;29;10585;1761;34;3284;;;0;0;0;58;21170;3851;1692;4227;25;685;;;623;29;11334;;0;;;54;12019;;;623
MCO;2024;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;4;1460;40;0;1158;;;0;0;0;;;0;0;0;4;1460;40;0;1158;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;30;10980;4399;1703;13491;22;8003;1895;68;5967;9;3285;674;190;1605;61;22268;6968;1961;21063;11;622;;;5507;5;2407;;0;;;16;3029;;;5507
MCO;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;21;7322;1555;703;6400;;;0;0;0;;;0;0;0;21;7322;1555;703;6400;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;168;52380;10628;1337;56066;56;19080;3801;91;14754;18;6588;1626;46;5079;242;78048;16055;1474;75899;8;1326;1;31;14396;20;3728;3;128;;;31;5182;1;31;14396
MCO;2024;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP;130784127;;;;;;;;;;;;;;;;;;;;;;;;;9603;;;;;;;;;;;9603
MCO;2024;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;060780327;4;1464;52;1;662;;;0;0;0;;;0;0;0;4;1464;52;1;662;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;5;1825;130;6;1696;0;0;0;0;0;0;0;0;0;0;5;1825;130;6;1696;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0
MCO;2024;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;6;2190;71;0;1092;;;0;0;0;;;0;0;0;6;2190;71;0;1092;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;171;62586;8875;851;56062;56;20496;2411;55;11296;32;11712;2614;58;10768;259;94794;13900;964;78126;13;1280;;;5659;14;3342;2;717;;;29;5339;;;5659
MCO;2024;060000486;CH SAINT ELOI DE SOSPEL;060780905;12;4392;279;9;3643;;;0;0;0;;;0;0;0;12;4392;279;9;3643;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;060000494;CH SAINT LAZARE DE TENDE;060780921;5;1830;51;2;1026;0;0;0;0;0;0;;0;0;0;5;1830;51;2;1026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;269;95462;12443;1167;82291;58;21228;3266;89;15413;20;7320;1474;80;5153;347;124010;17183;1336;102857;32;1487;2;6;5818;14;4622;3;294;0;0;49;6403;2;6;5818
MCO;2024;060000528;CENTRE ANTOINE LACASSAGNE;060780962;85;27776;4128;86;20570;33;11316;2761;892;5060;0;0;0;0;0;118;39092;6889;978;25630;43;1855;0;0;44736;15;1889;0;0;0;0;58;3744;0;0;44736
MCO;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;261;94104;14550;1648;81443;65;23782;2875;19;16448;20;8048;1691;53;6390;346;125934;19116;1720;104281;35;2890;;;15132;17;3381;5;744;;;57;7015;;;15132
MCO;2024;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;8;2920;146;3;1594;;;0;0;0;;;0;0;0;8;2920;146;3;1594;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;060002102;CH LA PALMOSA DE MENTON;060791761;58;21228;3840;1867;18868;27;9882;1174;39;6274;0;;0;0;0;85;31110;5014;1906;25142;10;655;0;0;45;9;2968;0;0;0;0;19;3623;0;0;45
MCO;2024;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;1;366;11;1;23;7;2562;1013;49;1587;;;0;0;0;8;2928;1024;50;1610;2;68;0;;7;5;1456;;0;;;7;1524;0;;7
MCO;2024;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;30;10950;762;1;5502;76;26676;2294;0;4872;;;0;0;0;106;37626;3056;1;10374;0;7;;;152;45;18297;0;0;;;45;18304;;;152
MCO;2024;060780442;CLINIQUE SAINT FRANCOIS;060000213;;;0;0;0;28;9870;1398;301;1268;;;0;0;0;28;9870;1398;301;1268;;0;;;9;14;5083;;0;;;14;5083;;;9
MCO;2024;060780491;INSTITUT ARNAULT TZANCK;060790797;80;29280;5245;689;20195;52;19032;3965;45;12797;;;0;0;0;132;48312;9210;734;32992;10;6900;;;390;23;6110;;0;;;33;13010;;;390
MCO;2024;060780517;POLYCLINIQUE SAINT JEAN;060000239;67;24522;4695;1264;20732;89;32574;26315;21530;18198;34;12444;1224;19;4074;190;69540;32234;22813;43004;10;3320;;;13659;57;223;2;209;;;69;3752;;;13659
MCO;2024;060780590;CLINIQUE DU PALAIS;060000270;0;0;0;0;0;54;19710;1886;0;4853;0;0;0;0;0;54;19710;1886;0;4853;;0;;;460;10;6445;;0;;;10;6445;;;460
MCO;2024;060780715;CLINIQUE SAINT GEORGE;060000361;86;31390;6653;113;29488;118;36500;6969;64;20911;;;0;0;0;204;67890;13622;177;50399;;0;;;7776;92;29430;;0;;;92;29430;;;7776
MCO;2024;060780723;CLINIQUE DU PARC IMPERIAL;060004959;16;5840;3286;1980;7013;71;25915;2757;60;7628;;;0;0;0;87;31755;6043;2040;14641;;0;;;3557;31;13159;;0;;;31;13159;;;3557
MCO;2024;060780756;POLYCLINIQUE SANTA MARIA;060000403;6;2190;294;1;1710;40;14600;1540;0;2545;57;20805;2958;70;12263;103;37595;4792;71;16518;;0;;;291;15;7306;0;62;;;15;7368;;;291
MCO;2024;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;73;25357;8390;1928;24688;23;8230;2211;322;4971;;;0;0;0;96;33587;10601;2250;29659;12;2157;;;703;14;2900;;0;;;26;5057;;;703
MCO;2024;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;36;13140;1358;10;9730;61;22265;1862;9;6687;0;;0;0;0;97;35405;3220;19;16417;;0;;;408;19;8635;;0;;;19;8635;;;408
MCO;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;354;119630;24375;5236;102599;200;70599;11320;262;56422;0;0;0;0;0;554;190229;35695;5498;159021;47;7867;0;0;34096;30;6986;0;0;0;0;77;14853;0;0;34096
MCO;2024;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;50;18300;1852;8;17819;0;0;0;0;0;0;0;0;0;0;50;18300;1852;8;17819;6;6287;0;0;128;0;0;0;0;;;6;6287;0;0;128
MCO;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;272;99476;8989;96;86957;46;16836;2165;201;11179;74;27084;6100;1390;20091;392;143396;17254;1687;118227;66;9725;0;0;25549;4;968;13;993;0;0;83;11686;0;0;25549
MCO;2024;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;97;35405;1866;7;23226;;;0;0;0;;;0;0;0;97;35405;1866;7;23226;4;892;;;49;;0;;0;;;4;892;;;49
MCO;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;46;16836;2250;85;11491;24;8784;4243;2622;6104;;;0;0;0;70;25620;6493;2707;17595;;0;;;68;;0;;0;;;;0;;;68
MCO;2024;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;124;45260;3008;124;17293;98;35770;3966;32;12460;;;0;0;0;222;81030;6974;156;29753;20;906;;;11126;35;16480;;0;;;55;17386;;;11126
MCO;2024;070000013;CH DE PRIVAS ARDECHE;070002878;64;23360;4211;1078;22150;13;4745;1186;19;4711;;;0;0;0;77;28105;5397;1097;26861;8;141;;;1578;10;2496;0;63;;;18;2700;;;1578
MCO;2024;070000021;CH DE JOYEUSE;070007927;15;5490;384;0;5957;;;0;0;0;;;0;0;0;15;5490;384;0;5957;0;5;;;0;;0;;0;;;0;5;;;0
MCO;2024;070000039;CH DE VALLON PONT D'ARC;070780119;16;5840;129;1;1366;;;0;0;0;;;0;0;0;16;5840;129;1;1366;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;070000047;CH DE VILLENEUVE DE BERG;070780127;12;4833;414;6;4826;0;0;0;0;0;0;0;0;0;0;12;4833;414;6;4826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2024;070000062;CH DE BOURG SAINT ANDEOL;070005558;8;2928;164;4;2961;;;0;0;0;;;0;0;0;8;2928;164;4;2961;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;070000070;CH DU CHEYLARD;070780150;20;7320;479;24;3454;0;0;0;0;0;0;0;0;0;0;20;7320;479;24;3454;2;7;0;0;296;0;0;0;0;0;0;2;7;0;0;296
MCO;2024;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;9;3294;366;12;2789;;;0;0;0;;;0;0;0;9;3294;366;12;2789;6;0;;;7;;0;;0;;;6;0;;;7
MCO;2024;070000112;CH LEOPOLD OLLIER;070007927;15;5490;335;0;4340;;;0;0;0;;;0;0;0;15;5490;335;0;4340;0;6;;;0;;0;;0;;;0;6;;;0
MCO;2024;070000179;CH ARDECHE NORD;070780358;147;53802;12688;3984;49048;30;10980;1030;43;6883;22;8052;1112;218;3603;199;72834;14830;4245;59534;10;713;;;13615;16;3500;;0;;;26;4213;;;13615
MCO;2024;070000187;CH DE LAMASTRE;070780366;12;4392;377;3;3832;;;0;0;0;;;0;0;0;12;4392;377;3;3832;0;0;;;0;0;0;0;0;;;0;0;;;0
MCO;2024;070000195;CH DE TOURNON SUR RHONE;070780374;38;13908;1181;9;10327;;;0;0;0;;;0;0;0;38;13908;1181;9;10327;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;070000203;CH DE SAINT FELICIEN;070780382;11;4015;145;3;1765;;;0;0;0;;;0;0;0;11;4015;145;3;1765;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;070000484;CH ARDECHE MERIDIONALE -VALS LES BAINS;070005566;10;3650;538;3;3154;;;0;0;0;;;0;0;0;10;3650;538;3;3154;5;453;;;34;;0;;0;;;5;453;;;34
MCO;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;118;43070;8118;1483;39839;38;13870;2113;161;9174;15;5475;863;96;2950;171;62415;11094;1740;51963;10;435;;;3919;9;1850;1;276;;;20;2561;;;3919
MCO;2024;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;0;0;0;0;0;28;9800;1596;2;4589;;;0;0;0;28;9800;1596;2;4589;;0;;;22;20;5485;;0;;;20;5485;;;22
MCO;2024;070780424;CLINIQUE PASTEUR;070000245;20;7300;615;30;2707;98;35770;4477;212;16869;0;0;0;0;0;118;43070;5092;242;19576;2;124;;;48;38;12111;;0;;;40;12235;;;48
MCO;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;89;31657;5262;1607;25567;1;365;60;58;2;0;0;0;0;0;90;32022;5322;1665;25569;5;922;;;219;4;543;1;61;;;10;1526;;;219
MCO;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;30;10350;2681;775;10998;21;7686;1187;58;5755;;;58;58;0;51;18036;3926;891;16753;1;36;;;0;12;2686;;0;;;13;2722;;;0
MCO;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;24;8784;444;3;5378;0;0;0;0;0;0;0;0;0;0;24;8784;444;3;5378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2024;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;15;5490;372;6;3443;;;0;0;0;;;0;0;0;15;5490;372;6;3443;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;080000300;CENTRE HOSPITALIER DE NOUZONVILLE;080011174;8;2928;155;1;1989;;;0;0;0;;;0;0;0;8;2928;155;1;1989;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;297;105448;15895;3048;89839;79;28684;4402;145;22920;41;15372;2692;126;9619;417;149504;22989;3319;122378;39;4483;;;22908;19;2440;2;1300;;;60;8223;;;22908
MCO;2024;080010465;GCS TERRIT ARDEN NORD SITE CH SEDAN;080010242;;;0;0;0;0;;1;1;0;;;0;0;0;0;;1;1;0;;0;;;0;7;627;;0;;;7;627;;;0
MCO;2024;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;15;5475;477;2;3924;29;10585;1376;8;5420;;;0;0;0;44;16060;1853;10;9344;10;3094;;;362;34;6212;;0;;;44;9306;;;362
MCO;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;158;56778;12505;4031;49237;38;13908;1981;59;11756;25;9150;1546;104;5818;221;79836;16032;4194;66811;20;2621;;;13364;15;2918;1;806;;;36;6345;;;13364
MCO;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;46;19790;2180;551;14139;15;5475;912;52;4675;4;1460;259;85;696;65;26725;3351;688;19510;2;189;;;627;8;1790;;0;;;10;1979;;;627
MCO;2024;090001629;CHIVA SITE LAVELANET;090781774;23;7414;377;1;6497;;;0;0;0;;;0;0;0;23;7414;377;1;6497;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;100000082;CLINIQUE DU PAYS DE SEINE;100001148;;;0;0;0;0;4186;407;17;1269;;;0;0;0;0;4186;407;17;1269;;0;;;25;0;1674;;0;;;0;1674;;;25
MCO;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;326;118970;15401;1194;105317;65;23725;3917;41;19697;44;16060;3027;241;11159;435;158755;22345;1476;136173;48;5448;;;27020;15;2850;0;661;;;63;8959;;;27020
MCO;2024;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;20;7320;512;6;7778;;;0;0;0;;;0;0;0;20;7320;512;6;7778;;0;;;1;;0;;0;;;;0;;;1
MCO;2024;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;18;6570;469;1;2052;100;36500;3936;36;10246;;;0;0;0;118;43070;4405;37;12298;11;654;;;522;11;13176;;0;;;22;13830;;;522
MCO;2024;100000140;CH DE PROXIMITE CHRISTIAN BRAUN;100000058;10;3650;286;8;2090;;;0;0;0;;;0;0;0;10;3650;286;8;2090;4;94;;;9;;0;;0;;;4;94;;;9
MCO;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;65;23725;3158;265;20512;0;0;0;0;0;15;5475;631;86;1898;80;29200;3789;351;22410;2;271;0;0;213;0;0;0;99;0;0;2;370;0;0;213
MCO;2024;100009364;MCO COMTE HENRI - CH DE TROYES;100000017;12;4380;330;15;4193;;;0;0;0;;;0;0;0;12;4380;330;15;4193;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;100009380;UNITE D'ALCOOLOGIE JEAN SCHIFFER;100000017;12;3660;185;12;2289;;;0;0;0;;;0;0;0;12;3660;185;12;2289;6;419;;;0;;0;;0;;;6;419;;;0
MCO;2024;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;8;2920;364;0;2014;69;25185;1361;6;2823;0;0;1;0;1;77;28105;1726;6;4838;;13;;;2432;25;7489;0;8;;;25;7510;;;2432
MCO;2024;100013010;GCS PAYS DE SEINE - ET EXPLOITANT;100012996;;;0;0;0;23;4232;333;34;886;;;0;0;0;23;4232;333;34;886;;0;;;17;27;1463;;0;;;27;1463;;;17
MCO;2024;110000023;CH CARCASSONNE;110780061;251;87133;16194;2174;78931;59;21122;2962;59;16893;36;13140;2546;451;8287;346;121395;21702;2684;104111;15;4668;;;37057;14;1690;5;583;;;34;6941;;;37057
MCO;2024;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;25;7912;1541;493;7912;;;0;0;0;;;0;0;0;25;7912;1541;493;7912;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;110000056;CH NARBONNE;110780137;200;71328;12279;2228;62208;49;17934;2709;159;12378;18;6570;1878;543;5203;267;95832;16866;2930;79789;14;4846;0;0;2316;14;3848;0;0;0;0;28;8694;0;0;2316
MCO;2024;110000189;CH LIMOUX QUILLAN SITE DE LIMOUX;110780707;30;10980;457;2;8556;;;0;0;0;;;0;0;0;30;10980;457;2;8556;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;110000247;CH LEZIGNAN CORBIERES;110780772;37;13542;1259;439;9885;;;0;0;0;;;0;0;0;37;13542;1259;439;9885;2;127;0;;55;;0;;0;;;2;127;0;;55
MCO;2024;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;66;24024;4976;1307;21960;51;17724;3543;103;11966;0;0;0;0;0;117;41748;8519;1410;33926;11;2991;;;26463;34;13051;;0;;;45;16042;;;26463
MCO;2024;110780236;CH LIMOUX QUILLAN SITE DE QUILLAN;110780707;12;4392;222;1;3953;;;0;0;0;;;0;0;0;12;4392;222;1;3953;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;110780483;POLYCL MONTREAL CARCASSONNE;110000155;34;12410;6920;4725;9789;31;11315;2532;174;10140;0;0;0;0;0;65;23725;9452;4899;19929;10;3132;0;0;874;34;12016;0;0;0;0;44;15148;0;0;874
MCO;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;226;81925;11617;880;74189;63;20911;3751;197;14011;29;10614;1813;343;6113;318;113450;17181;1420;94313;31;9740;2;161;35718;23;3196;1;687;0;0;55;13623;2;161;35718
MCO;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;61;21431;4341;1614;18819;24;8564;1471;37;6943;13;4758;685;179;1782;98;34753;6497;1830;27544;5;140;;;2345;26;5801;;0;;;31;5941;;;2345
