BOR;AN;FI;RS;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;dtETP_STAG;EFF_LIB
Q21;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;2000;13.85;0;;1.5;1;
Q21;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;2100;2.29;0;;0.1;0.1;
Q21;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;2400;11.56;0;;1.4;0.9;
Q21;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;9999;13.85;0;;1.5;1.83;
Q21;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1000;4.35;;;0.76;;
Q21;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;2000;36.31;5.28;;3.2;;
Q21;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;2200;36.31;5.28;;3.2;;
Q21;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;9999;40.66;5.28;;3.96;;
Q21;2024;010002129;CLINIQUE LES ARBELLES;310025010;2000;5.29;;;;;
Q21;2024;010002129;CLINIQUE LES ARBELLES;310025010;2400;5.29;;;;;
Q21;2024;010002129;CLINIQUE LES ARBELLES;310025010;9999;5.29;;;;;
Q21;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1000;2.61;0;;0;2.97;
Q21;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2000;47.59;0;;2.09;14.85;
Q21;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2100;45.15;0;;2.09;2.97;
Q21;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2200;0;0;;0;2.97;
Q21;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2300;0;0;;0;2.97;
Q21;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2400;2.44;0;;0;2.97;
Q21;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2500;0;0;;0;2.97;
Q21;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;9999;50.2;0;;2.09;17.82;
Q21;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1000;0.5;;;;;
Q21;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;2000;1.74;;;;;
Q21;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;2300;1.74;;;;;
Q21;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;9999;2.24;;;;;
Q21;2024;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;2000;0.41;;;;;
Q21;2024;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;2100;0.41;;;;;
Q21;2024;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;9999;0.41;;;;;
Q21;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;2000;0.72;;;;;15
Q21;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;2100;0.72;;;;;15
Q21;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;9999;0.72;;;;;15
Q21;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;2000;6.16;;;;;
Q21;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;2400;6.16;;;;;
Q21;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;9999;6.16;;;;;
Q21;2024;010009702;USLD EMILE PELICAND;010780054;2000;1.71;;;;;
Q21;2024;010009702;USLD EMILE PELICAND;010780054;2100;1.71;;;;;
Q21;2024;010009702;USLD EMILE PELICAND;010780054;9999;1.71;;;;;
Q21;2024;010010171;CLINIQUE DE CHATILLON;920039690;2000;1.01;;;;;4
Q21;2024;010010171;CLINIQUE DE CHATILLON;920039690;2200;1.01;;;;;4
Q21;2024;010010171;CLINIQUE DE CHATILLON;920039690;9999;1.01;;;;;4
Q21;2024;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;2000;0.84;;;;;
Q21;2024;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;2100;0.84;;;;;
Q21;2024;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;9999;0.84;;;;;
Q21;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;2000;4.9;;;;;
Q21;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;2400;4.9;;;;;
Q21;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;9999;4.9;;;;;
Q21;2024;010780195;CLINIQUE CONVERT;010000156;2000;6.31;0;0;0;0;87
Q21;2024;010780195;CLINIQUE CONVERT;010000156;2100;6.31;0;0;0;0;87
Q21;2024;010780195;CLINIQUE CONVERT;010000156;9999;6.31;0;0;0;0;87
Q21;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1000;1.87;;;;;
Q21;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;2000;4.58;;;;;46
Q21;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;2100;4.58;;;;;46
Q21;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;9999;6.45;;;;;46
Q21;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;2000;7.41;;;;;
Q21;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;2400;7.41;;;;;
Q21;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;9999;7.41;;;;;
Q21;2024;010780294;NEPHROCARE CH BELLEY;690000278;2000;0.33;;;;;1
Q21;2024;010780294;NEPHROCARE CH BELLEY;690000278;2100;0.33;;;;;1
Q21;2024;010780294;NEPHROCARE CH BELLEY;690000278;9999;0.33;;;;;1
Q21;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;1000;0.5;;;;;
Q21;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;2000;4.27;;;;;
Q21;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;2200;0.45;;;;;
Q21;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;2400;3.82;;;;;
Q21;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;9999;4.77;;;;;
Q21;2024;010780492;CRF ROMANS-FERRARI;360000707;2000;7.39;;;;;
Q21;2024;010780492;CRF ROMANS-FERRARI;360000707;2400;7.39;;;;;
Q21;2024;010780492;CRF ROMANS-FERRARI;360000707;9999;7.39;;;;;
Q21;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;2000;1.15;;;;;
Q21;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;2400;1.15;;;;;
Q21;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;9999;1.15;;;;;
Q21;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;2000;0.84;;;;;
Q21;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;2100;0.84;;;;;
Q21;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;9999;0.84;;;;;
Q21;2024;010789576;USLD;010780096;2000;0.98;;;;;
Q21;2024;010789576;USLD;010780096;2500;0.98;;;;;
Q21;2024;010789576;USLD;010780096;9999;0.98;;;;;
Q21;2024;010789717;USLD CH D'OYONNAX;010008407;2000;1;0;;0;0;
Q21;2024;010789717;USLD CH D'OYONNAX;010008407;2500;1;0;;0;0;
Q21;2024;010789717;USLD CH D'OYONNAX;010008407;9999;1;0;;0;0;
Q21;2024;020000089;CH GUISE;020000022;1000;2.7;0;0;1;1;0
Q21;2024;020000089;CH GUISE;020000022;2000;3.8;0;0;2;1;0
Q21;2024;020000089;CH GUISE;020000022;2100;1.2;0;0;1;0;0
Q21;2024;020000089;CH GUISE;020000022;2300;0.6;0;0;0;0;0
Q21;2024;020000089;CH GUISE;020000022;2400;1.4;0;0;0;0;0
Q21;2024;020000089;CH GUISE;020000022;2500;0.6;0;0;1;1;0
Q21;2024;020000089;CH GUISE;020000022;9999;6.5;0;0;3;2;0
Q21;2024;020000097;CH LA FÈRE;020000048;1000;0.4;;;;;
Q21;2024;020000097;CH LA FÈRE;020000048;2000;5.94;;;;;
Q21;2024;020000097;CH LA FÈRE;020000048;2100;5.04;;;;;
Q21;2024;020000097;CH LA FÈRE;020000048;2400;0.9;;;;;
Q21;2024;020000097;CH LA FÈRE;020000048;9999;6.34;;;;;
Q21;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;1000;0.57;;;;;3
Q21;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;2000;1.02;;;;;2
Q21;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;2100;0.51;;;;;1
Q21;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;2400;0.51;;;;;1
Q21;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;9999;1.59;;;;;5
Q21;2024;020000162;CH SAINT-QUENTIN;020000063;1000;3.07;;;;;
Q21;2024;020000162;CH SAINT-QUENTIN;020000063;2000;213.12;;14;128.85;30;
Q21;2024;020000162;CH SAINT-QUENTIN;020000063;2100;208.47;;14;128.85;30;
Q21;2024;020000162;CH SAINT-QUENTIN;020000063;2400;4.05;;;;;
Q21;2024;020000162;CH SAINT-QUENTIN;020000063;2500;0.6;;;;;
Q21;2024;020000162;CH SAINT-QUENTIN;020000063;9999;216.19;;14;128.85;30;
Q21;2024;020000246;CH VERVINS;020000071;2000;2.1;;;;;
Q21;2024;020000246;CH VERVINS;020000071;2100;1.8;;;;;
Q21;2024;020000246;CH VERVINS;020000071;2400;0.3;;;;;
Q21;2024;020000246;CH VERVINS;020000071;9999;2.1;;;;;
Q21;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1000;2.66;;1.32;;;
Q21;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;2000;16.55;;;;;
Q21;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;2400;16.55;;;;;
Q21;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;9999;19.21;;1.32;;;
Q21;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;2000;1;;;;;29
Q21;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;2100;1;;;;;29
Q21;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;9999;1;;;;;29
Q21;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;2000;0.43;;;;;5
Q21;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;2200;0.43;;;;;5
Q21;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;9999;0.43;;;;;5
Q21;2024;020000394;CH LAON;020000253;1000;1;;;;;
Q21;2024;020000394;CH LAON;020000253;2000;113.24;;;32.34;14.52;
Q21;2024;020000394;CH LAON;020000253;2100;112.84;;;32.34;14.52;
Q21;2024;020000394;CH LAON;020000253;2400;0.4;;;;;
Q21;2024;020000394;CH LAON;020000253;9999;114.24;;;32.34;14.52;
Q21;2024;020000519;CH SOISSONS;020000261;1000;2.05;;;;;
Q21;2024;020000519;CH SOISSONS;020000261;2000;134.83;;;46.4;;
Q21;2024;020000519;CH SOISSONS;020000261;2100;130.77;;;45.18;;
Q21;2024;020000519;CH SOISSONS;020000261;2400;4.06;;;1.22;;
Q21;2024;020000519;CH SOISSONS;020000261;9999;136.88;;;46.4;;
Q21;2024;020000535;CH CHAUNY;020000287;1000;0.3;;;;;
Q21;2024;020000535;CH CHAUNY;020000287;2000;48.88;;2.44;13.32;4.75;5
Q21;2024;020000535;CH CHAUNY;020000287;2100;45.78;;1.74;12.63;4.55;5
Q21;2024;020000535;CH CHAUNY;020000287;2400;2.25;;0.64;0.56;0.07;
Q21;2024;020000535;CH CHAUNY;020000287;2500;0.85;;0.06;0.13;0.13;
Q21;2024;020000535;CH CHAUNY;020000287;9999;49.18;;2.44;13.32;4.75;5
Q21;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;2000;43.3;;;;;
Q21;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;2100;6.2;;;;;
Q21;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;2200;37.1;;;;;
Q21;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;9999;43.3;;;;;
Q21;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;2000;7.72;;;2.12;;
Q21;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;2400;7.72;;;2.12;;
Q21;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;9999;7.72;;;2.12;;
Q21;2024;020001061;CH CHÂTEAU-THIERRY;020004404;1000;1.37;;;;;
Q21;2024;020001061;CH CHÂTEAU-THIERRY;020004404;2000;79.12;;2.65;19.73;7.68;17
Q21;2024;020001061;CH CHÂTEAU-THIERRY;020004404;2100;79.12;;2.65;19.73;7.68;17
Q21;2024;020001061;CH CHÂTEAU-THIERRY;020004404;9999;80.49;;2.65;19.73;7.68;17
Q21;2024;020001087;CH HIRSON;020004495;2000;19.29;;;0.74;0.58;
Q21;2024;020001087;CH HIRSON;020004495;2100;17.89;;;0.74;0.58;
Q21;2024;020001087;CH HIRSON;020004495;2200;0.8;;;;;
Q21;2024;020001087;CH HIRSON;020004495;2400;0.6;;;;;
Q21;2024;020001087;CH HIRSON;020004495;9999;19.29;;;0.74;0.58;
Q21;2024;020003877;SSR CH LAON;020000253;2000;1.99;;;2.42;2.26;
Q21;2024;020003877;SSR CH LAON;020000253;2400;1.99;;;2.42;2.26;
Q21;2024;020003877;SSR CH LAON;020000253;9999;1.99;;;2.42;2.26;
Q21;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;2000;1.06;;;;;12
Q21;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;2200;1.06;;;;;12
Q21;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;9999;1.06;;;;;12
Q21;2024;020004297;HAD AMSAM SOISSONS;020005179;2000;0.46;;;0;;
Q21;2024;020004297;HAD AMSAM SOISSONS;020005179;2300;0.46;;;0;;
Q21;2024;020004297;HAD AMSAM SOISSONS;020005179;9999;0.46;;;0;;
Q21;2024;020004677;USLD CH SOISSONS;020000261;2000;1.24;;;1;;
Q21;2024;020004677;USLD CH SOISSONS;020000261;2500;1.24;;;1;;
Q21;2024;020004677;USLD CH SOISSONS;020000261;9999;1.24;;;1;;
Q21;2024;020005476;USLD CH LAON;020000253;2000;0.59;;;0.19;0.19;
Q21;2024;020005476;USLD CH LAON;020000253;2500;0.59;;;0.19;0.19;
Q21;2024;020005476;USLD CH LAON;020000253;9999;0.59;;;0.19;0.19;
Q21;2024;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;2000;2.58;;;;;
Q21;2024;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;2200;2.58;;;;;
Q21;2024;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;9999;2.58;;;;;
Q21;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;2000;0.08;;0.06;;;
Q21;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;2500;0.08;;0.06;;;
Q21;2024;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;9999;0.08;;0.06;;;
Q21;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;2000;2.83;;;;;49
Q21;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;2100;2.08;;;;;49
Q21;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;2400;0.75;;;;;
Q21;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;9999;2.83;;;;;49
Q21;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;2000;1;0;0;0;0;
Q21;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;2400;1;0;0;0;0;
Q21;2024;020010310;SSR AURORE BUCY-LE-LONG;750719361;9999;1;0;0;0;0;
Q21;2024;020010898;HAD CRF CHAUNY;750721334;2000;0.67;;;;;
Q21;2024;020010898;HAD CRF CHAUNY;750721334;2300;0.67;;;;;
Q21;2024;020010898;HAD CRF CHAUNY;750721334;9999;0.67;;;;;
Q21;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;2000;0.8;;0.2;;;31
Q21;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;2300;0.8;;0.2;;;31
Q21;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;9999;0.8;;0.2;;;31
Q21;2024;030000012;CH DE NERIS LES BAINS;030780100;2000;2.81;;;;;
Q21;2024;030000012;CH DE NERIS LES BAINS;030780100;2400;2.81;;;;;
Q21;2024;030000012;CH DE NERIS LES BAINS;030780100;9999;2.81;;;;;
Q21;2024;030000061;CH DE MOULINS;030780092;1000;20.02;0;0.92;8.89;1.78;3
Q21;2024;030000061;CH DE MOULINS;030780092;2000;126.4;0;6.72;62.37;19.35;2
Q21;2024;030000061;CH DE MOULINS;030780092;2100;107.84;0;6.4;55.67;16.18;2
Q21;2024;030000061;CH DE MOULINS;030780092;2200;13.03;0;0.32;5.08;2.55;
Q21;2024;030000061;CH DE MOULINS;030780092;2300;1.4;0;;;;
Q21;2024;030000061;CH DE MOULINS;030780092;2400;2.73;0;;0.67;0.25;
Q21;2024;030000061;CH DE MOULINS;030780092;2500;1.4;0;;0.95;0.37;
Q21;2024;030000061;CH DE MOULINS;030780092;9999;146.42;0;7.64;71.26;21.13;5
Q21;2024;030000079;CH DE MONTLUCON;030780100;1000;2.41;;;;;
Q21;2024;030000079;CH DE MONTLUCON;030780100;2000;109.22;;;76.92;27.95;8
Q21;2024;030000079;CH DE MONTLUCON;030780100;2100;103.77;;;72.45;25.64;8
Q21;2024;030000079;CH DE MONTLUCON;030780100;2300;0.5;;;;;
Q21;2024;030000079;CH DE MONTLUCON;030780100;2400;3.95;;;4.01;1.98;
Q21;2024;030000079;CH DE MONTLUCON;030780100;2500;1;;;0.46;0.33;
Q21;2024;030000079;CH DE MONTLUCON;030780100;9999;111.63;;;76.92;27.95;8
Q21;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1000;7.48;;0.08;0.52;0.52;
Q21;2024;030000087;CH JACQUES LACARIN VICHY;030780118;2000;155.18;;6.14;75.89;20.55;6
Q21;2024;030000087;CH JACQUES LACARIN VICHY;030780118;2100;138.24;;5.66;71.85;19.3;6
Q21;2024;030000087;CH JACQUES LACARIN VICHY;030780118;2200;11.16;;0.48;2.88;1.25;
Q21;2024;030000087;CH JACQUES LACARIN VICHY;030780118;2300;0.8;;;;;
Q21;2024;030000087;CH JACQUES LACARIN VICHY;030780118;2400;3.18;;;1.16;;
Q21;2024;030000087;CH JACQUES LACARIN VICHY;030780118;2500;1.8;;;;;
Q21;2024;030000087;CH JACQUES LACARIN VICHY;030780118;9999;162.66;;6.22;76.41;21.07;6
Q21;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;1000;1;;;;;
Q21;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;2000;1.29;;;;;
Q21;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;2100;0.15;;;;;
Q21;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;2400;1.14;;;;;
Q21;2024;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;9999;2.29;;;;;
Q21;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;1000;0.2;;0.2;;;
Q21;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;2000;8.7;;0.5;;;
Q21;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;2200;8;;0.5;;;
Q21;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;2500;0.7;;;;;
Q21;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;9999;8.9;;0.7;;;
Q21;2024;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;2000;;;;;;3
Q21;2024;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;2100;;;;;;3
Q21;2024;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;9999;;;;;;3
Q21;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;1000;1.18;;;;0;
Q21;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;2000;4.23;;;;3.18;
Q21;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;2400;4.23;;;;3.18;
Q21;2024;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;9999;5.41;;;;3.18;
Q21;2024;030003669;AURA SANTE MONTLUCON;630000990;2000;1.45;;;;;
Q21;2024;030003669;AURA SANTE MONTLUCON;630000990;2100;1.45;;;;;
Q21;2024;030003669;AURA SANTE MONTLUCON;630000990;9999;1.45;;;;;
Q21;2024;030003719;AURA SANTE MOULINS;630000990;2000;1.11;;;;;
Q21;2024;030003719;AURA SANTE MOULINS;630000990;2100;1.11;;;;;
Q21;2024;030003719;AURA SANTE MOULINS;630000990;9999;1.11;;;;;
Q21;2024;030003768;AURA SANTE VICHY;630000990;2000;2.33;;;;;
Q21;2024;030003768;AURA SANTE VICHY;630000990;2100;2.33;;;;;
Q21;2024;030003768;AURA SANTE VICHY;630000990;9999;2.33;;;;;
Q21;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;2000;1.45;;;1.49;;9
Q21;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;2100;0.06;;;1.49;;2
Q21;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;2400;1.39;;;;;7
Q21;2024;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;9999;1.45;;;1.49;;9
Q21;2024;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;2000;;;;;;2
Q21;2024;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;2100;;;;;;2
Q21;2024;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;9999;;;;;;2
Q21;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;2000;4.97;;;;;49
Q21;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;2100;2.66;;;;;49
Q21;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;2400;2.31;;;;;
Q21;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;9999;4.97;;;;;49
Q21;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;2000;3.48;;;1;;54
Q21;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;2100;2.35;;;1;;54
Q21;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;2400;1.13;;;;;
Q21;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;9999;3.48;;;1;;54
