date,service,lits_total,lits_occupes,lits_disponibles,taux_occupation,personnel_total,personnel_disponible,personnel_occupe
2020-01-06,Cardiologie,120,91,29,76.5,200,184,160
2020-01-06,Neurologie,100,64,36,64.1,180,156,137
2020-01-06,Maladies Infectieuses,80,61,19,76.7,140,130,121
2020-01-06,Pédiatrie,60,34,26,57.0,120,107,76
2020-01-06,Réanimation,104,93,11,90.2,312,285,255
2020-01-07,Urgences,50,46,4,92.6,150,131,106
2020-01-07,Cardiologie,120,90,30,75.2,200,172,159
2020-01-07,Neurologie,100,70,30,70.7,180,168,129
2020-01-07,Maladies Infectieuses,80,53,27,67.0,140,121,114
2020-01-07,Pédiatrie,60,34,26,57.3,120,102,78
2020-01-07,Réanimation,104,88,16,85.3,312,278,227
2020-01-08,Urgences,50,48,2,96.9,150,132,93
2020-01-08,Cardiologie,120,96,24,80.1,200,187,167
2020-01-08,Neurologie,100,71,29,71.8,180,168,157
2020-01-08,Maladies Infectieuses,80,54,26,68.7,140,122,99
2020-01-08,Pédiatrie,60,38,22,63.4,120,107,89
2020-01-08,Réanimation,104,79,25,76.9,312,295,257
2020-01-09,Urgences,50,52,0,104.8,150,134,119
2020-01-09,Cardiologie,120,90,30,75.5,200,175,140
2020-01-09,Neurologie,100,69,31,69.1,180,166,138
2020-01-09,Maladies Infectieuses,80,50,30,62.7,140,127,114
2020-01-09,Pédiatrie,60,33,27,55.6,120,106,95
2020-01-09,Réanimation,104,90,14,87.1,312,269,188
2020-01-10,Urgences,50,55,0,110.0,150,128,106
2020-01-10,Cardiologie,120,102,18,85.1,200,186,161
2020-01-10,Neurologie,100,79,21,79.1,180,162,115
2020-01-10,Maladies Infectieuses,80,80,0,100.8,140,132,119
2020-01-10,Pédiatrie,60,55,5,92.9,120,111,93
2020-01-10,Réanimation,104,112,0,108.4,312,289,243
2020-01-11,Urgences,50,53,0,106.9,150,140,117
2020-01-11,Cardiologie,120,104,16,87.0,200,172,156
2020-01-11,Neurologie,100,91,9,91.1,180,167,158
2020-01-11,Maladies Infectieuses,80,82,0,102.6,140,121,86
2020-01-11,Pédiatrie,60,61,0,102.2,120,112,95
2020-01-11,Réanimation,104,113,0,108.9,312,295,239
2020-01-12,Urgences,50,55,0,110.0,150,132,110
2020-01-12,Cardiologie,120,106,14,88.6,200,178,138
2020-01-12,Neurologie,100,82,18,82.9,180,157,143
2020-01-12,Maladies Infectieuses,80,81,0,101.7,140,120,92
2020-01-12,Pédiatrie,60,64,0,107.4,120,106,89
2020-01-12,Réanimation,104,100,4,96.8,312,267,227
2020-01-13,Urgences,50,55,0,110.0,150,137,125
2020-01-13,Cardiologie,120,104,16,87.5,200,186,138
2020-01-13,Neurologie,100,89,11,89.4,180,166,117
2020-01-13,Maladies Infectieuses,80,79,1,99.2,140,122,114
2020-01-13,Pédiatrie,60,55,5,93.3,120,105,87
2020-01-13,Réanimation,104,103,1,99.8,312,293,209
2020-01-14,Urgences,50,55,0,110.0,150,132,95
2020-01-14,Cardiologie,120,98,22,82.5,200,188,167
2020-01-14,Neurologie,100,85,15,85.9,180,157,130
2020-01-14,Maladies Infectieuses,80,82,0,103.7,140,131,93
2020-01-14,Pédiatrie,60,58,2,96.8,120,110,89
2020-01-14,Réanimation,104,105,0,101.7,312,295,231
2020-01-15,Urgences,50,55,0,110.0,150,142,129
2020-01-15,Cardiologie,120,109,11,91.0,200,171,137
2020-01-15,Neurologie,100,76,24,76.1,180,169,129
2020-01-15,Maladies Infectieuses,80,75,5,93.8,140,127,114
2020-01-15,Pédiatrie,60,59,1,99.7,120,103,79
2020-01-15,Réanimation,104,113,0,109.1,312,277,214
2020-01-16,Urgences,50,55,0,110.0,150,129,91
2020-01-16,Cardiologie,120,100,20,83.8,200,184,163
2020-01-16,Neurologie,100,92,8,92.6,180,155,119
2020-01-16,Maladies Infectieuses,80,82,0,102.9,140,122,106
2020-01-16,Pédiatrie,60,51,9,86.1,120,105,80
2020-01-16,Réanimation,104,103,1,99.1,312,288,261
2020-01-17,Urgences,50,52,0,105.6,150,135,103
2020-01-17,Cardiologie,120,98,22,82.5,200,173,155
2020-01-17,Neurologie,100,85,15,85.0,180,153,128
2020-01-17,Maladies Infectieuses,80,84,0,105.6,140,121,112
2020-01-17,Pédiatrie,60,57,3,96.5,120,109,103
2020-01-17,Réanimation,104,104,0,100.4,312,277,249
2020-01-18,Urgences,50,49,1,99.9,150,131,106
2020-01-18,Cardiologie,120,105,15,88.0,200,172,156
2020-01-18,Neurologie,100,82,18,83.0,180,154,139
2020-01-18,Maladies Infectieuses,80,86,0,107.9,140,121,99
2020-01-18,Pédiatrie,60,56,4,94.3,120,102,85
2020-01-18,Réanimation,104,106,0,102.1,312,281,245
2020-01-19,Urgences,50,55,0,110.0,150,132,107
2020-01-19,Cardiologie,120,111,9,92.7,200,179,141
2020-01-19,Neurologie,100,78,22,78.4,180,162,149
2020-01-19,Maladies Infectieuses,80,81,0,102.5,140,129,119
2020-01-19,Pédiatrie,60,58,2,97.6,120,109,84
2020-01-19,Réanimation,104,110,0,105.9,312,273,224
2020-01-20,Urgences,50,55,0,110.0,150,128,101
2020-01-20,Cardiologie,120,112,8,93.5,200,171,156
2020-01-20,Neurologie,100,88,12,88.8,180,159,149
2020-01-20,Maladies Infectieuses,80,86,0,108.1,140,122,102
2020-01-20,Pédiatrie,60,57,3,95.5,120,106,81
2020-01-20,Réanimation,104,113,0,108.7,312,283,198
2020-01-21,Urgences,50,51,0,103.8,150,133,101
2020-01-21,Cardiologie,120,99,21,83.0,200,175,127
2020-01-21,Neurologie,100,80,20,80.6,180,155,126
2020-01-21,Maladies Infectieuses,80,80,0,100.8,140,128,100
2020-01-21,Pédiatrie,60,53,7,89.4,120,111,99
2020-01-21,Réanimation,104,104,0,100.7,312,295,277
2020-01-22,Urgences,50,55,0,110.0,150,131,111
2020-01-22,Cardiologie,120,106,14,88.5,200,182,145
2020-01-22,Neurologie,100,85,15,85.5,180,169,122
2020-01-22,Maladies Infectieuses,80,81,0,102.3,140,126,111
2020-01-22,Pédiatrie,60,57,3,95.7,120,109,102
2020-01-22,Réanimation,104,104,0,100.3,312,288,257
2020-01-23,Urgences,50,55,0,110.0,150,139,116
2020-01-23,Cardiologie,120,113,7,94.8,200,178,165
2020-01-23,Neurologie,100,94,6,94.3,180,156,146
2020-01-23,Maladies Infectieuses,80,79,1,99.6,140,125,89
2020-01-23,Pédiatrie,60,52,8,88.3,120,103,83
2020-01-23,Réanimation,104,105,0,101.0,312,280,241
2020-01-24,Urgences,50,54,0,109.7,150,134,113
2020-01-24,Cardiologie,120,108,12,90.6,200,177,130
2020-01-24,Neurologie,100,92,8,92.1,180,170,139
2020-01-24,Maladies Infectieuses,80,76,4,96.0,140,131,111
2020-01-24,Pédiatrie,60,57,3,96.4,120,103,80
2020-01-24,Réanimation,104,102,2,98.2,312,293,267
2020-01-25,Urgences,50,55,0,110.0,150,134,114
2020-01-25,Cardiologie,120,104,16,86.8,200,184,134
2020-01-25,Neurologie,100,94,6,94.4,180,167,133
2020-01-25,Maladies Infectieuses,80,78,2,98.0,140,131,112
2020-01-25,Pédiatrie,60,55,5,91.9,120,107,87
2020-01-25,Réanimation,104,110,0,106.6,312,287,269
2020-01-26,Urgences,50,55,0,110.0,150,134,108
2020-01-26,Cardiologie,120,106,14,88.7,200,183,135
2020-01-26,Neurologie,100,81,19,81.4,180,157,134
2020-01-26,Maladies Infectieuses,80,88,0,110.0,140,129,118
2020-01-26,Pédiatrie,60,57,3,95.7,120,109,80
2020-01-26,Réanimation,104,112,0,108.0,312,283,216
2020-01-27,Urgences,50,55,0,110.0,150,128,113
2020-01-27,Cardiologie,120,110,10,91.8,200,180,132
2020-01-27,Neurologie,100,88,12,88.5,180,164,155
2020-01-27,Maladies Infectieuses,80,78,2,98.3,140,122,108
2020-01-27,Pédiatrie,60,58,2,96.8,120,108,89
2020-01-27,Réanimation,104,108,0,104.0,312,271,230
2020-01-28,Urgences,50,54,0,108.2,150,141,104
2020-01-28,Cardiologie,120,104,16,87.3,200,179,140
2020-01-28,Neurologie,100,89,11,89.3,180,154,109
2020-01-28,Maladies Infectieuses,80,87,0,109.3,140,131,109
2020-01-28,Pédiatrie,60,54,6,90.3,120,107,79
2020-01-28,Réanimation,104,109,0,104.9,312,290,238
2020-01-29,Urgences,50,55,0,110.0,150,141,108
2020-01-29,Cardiologie,120,114,6,95.0,200,184,143
2020-01-29,Neurologie,100,82,18,82.8,180,170,123
2020-01-29,Maladies Infectieuses,80,79,1,99.7,140,119,84
2020-01-29,Pédiatrie,60,53,7,89.2,120,106,93
2020-01-29,Réanimation,104,114,0,110.0,312,273,203
2020-01-30,Urgences,50,50,0,101.8,150,130,103
2020-01-30,Cardiologie,120,94,26,79.0,200,178,141
2020-01-30,Neurologie,100,90,10,90.6,180,160,118
2020-01-30,Maladies Infectieuses,80,87,0,108.8,140,120,104
2020-01-30,Pédiatrie,60,56,4,94.1,120,111,80
2020-01-30,Réanimation,104,105,0,101.7,312,275,229
2020-01-31,Urgences,50,55,0,110.0,150,131,96
2020-01-31,Cardiologie,120,111,9,93.1,200,186,173
2020-01-31,Neurologie,100,83,17,83.3,180,164,147
2020-01-31,Maladies Infectieuses,80,78,2,97.5,140,125,100
2020-01-31,Pédiatrie,60,58,2,97.8,120,110,104
2020-01-31,Réanimation,104,114,0,110.0,312,291,262
2020-02-01,Urgences,50,55,0,110.0,150,133,117
2020-02-01,Cardiologie,120,111,9,92.8,200,174,146
2020-02-01,Neurologie,100,81,19,81.8,180,160,140
2020-02-01,Maladies Infectieuses,80,83,0,104.9,140,126,109
2020-02-01,Pédiatrie,60,60,0,100.5,120,104,86
2020-02-01,Réanimation,104,101,3,97.4,312,292,205
2020-02-02,Urgences,50,53,0,106.3,150,139,114
2020-02-02,Cardiologie,120,108,12,90.3,200,177,142
2020-02-02,Neurologie,100,86,14,87.0,180,153,112
2020-02-02,Maladies Infectieuses,80,84,0,105.5,140,124,93
2020-02-02,Pédiatrie,60,58,2,97.2,120,113,80
2020-02-02,Réanimation,104,108,0,104.3,312,288,248
2020-02-03,Urgences,50,55,0,110.0,150,135,109
2020-02-03,Cardiologie,120,94,26,79.1,200,172,139
2020-02-03,Neurologie,100,86,14,86.9,180,167,155
2020-02-03,Maladies Infectieuses,80,84,0,106.1,140,132,95
2020-02-03,Pédiatrie,60,51,9,86.0,120,109,77
2020-02-03,Réanimation,104,101,3,97.9,312,273,233
2020-02-04,Urgences,50,55,0,110.0,150,135,99
2020-02-04,Cardiologie,120,101,19,84.6,200,178,137
2020-02-04,Neurologie,100,86,14,87.0,180,164,124
2020-02-04,Maladies Infectieuses,80,75,5,94.7,140,124,108
2020-02-04,Pédiatrie,60,61,0,102.4,120,112,102
2020-02-04,Réanimation,104,104,0,100.8,312,267,215
2020-02-05,Urgences,50,55,0,110.0,150,128,100
2020-02-05,Cardiologie,120,100,20,83.4,200,180,131
2020-02-05,Neurologie,100,85,15,85.8,180,155,127
2020-02-05,Maladies Infectieuses,80,76,4,95.4,140,131,94
2020-02-05,Pédiatrie,60,54,6,91.5,120,111,93
2020-02-05,Réanimation,104,103,1,99.4,312,274,245
2020-02-06,Urgences,50,55,0,110.0,150,129,94
2020-02-06,Cardiologie,120,112,8,93.8,200,184,148
2020-02-06,Neurologie,100,80,20,80.2,180,160,143
2020-02-06,Maladies Infectieuses,80,79,1,99.1,140,131,105
2020-02-06,Pédiatrie,60,56,4,94.7,120,102,75
2020-02-06,Réanimation,104,113,0,109.5,312,294,248
2020-02-07,Urgences,50,52,0,105.3,150,133,96
2020-02-07,Cardiologie,120,115,5,96.2,200,182,130
2020-02-07,Neurologie,100,81,19,81.3,180,163,128
2020-02-07,Maladies Infectieuses,80,78,2,98.6,140,126,118
2020-02-07,Pédiatrie,60,53,7,88.8,120,108,86
2020-02-07,Réanimation,104,112,0,108.7,312,271,217
2020-02-08,Urgences,50,55,0,110.0,150,133,103
2020-02-08,Cardiologie,120,101,19,84.9,200,187,165
2020-02-08,Neurologie,100,84,16,84.7,180,154,128
2020-02-08,Maladies Infectieuses,80,77,3,96.4,140,123,113
2020-02-08,Pédiatrie,60,54,6,90.6,120,112,99
2020-02-08,Réanimation,104,105,0,101.8,312,285,227
2020-02-09,Urgences,50,55,0,110.0,150,134,113
2020-02-09,Cardiologie,120,106,14,88.8,200,171,133
2020-02-09,Neurologie,100,88,12,88.8,180,161,132
2020-02-09,Maladies Infectieuses,80,81,0,102.3,140,128,90
2020-02-09,Pédiatrie,60,56,4,93.9,120,107,94
2020-02-09,Réanimation,104,113,0,108.7,312,270,232
2020-02-10,Urgences,50,55,0,110.0,150,137,99
2020-02-10,Cardiologie,120,111,9,92.5,200,188,164
2020-02-10,Neurologie,100,90,10,90.3,180,163,121
2020-02-10,Maladies Infectieuses,80,79,1,99.5,140,132,95
2020-02-10,Pédiatrie,60,58,2,97.6,120,113,97
2020-02-10,Réanimation,104,111,0,107.5,312,294,247
2020-02-11,Urgences,50,55,0,110.0,150,139,102
2020-02-11,Cardiologie,120,111,9,92.8,200,189,136
2020-02-11,Neurologie,100,89,11,89.8,180,159,150
2020-02-11,Maladies Infectieuses,80,76,4,95.4,140,130,115
2020-02-11,Pédiatrie,60,54,6,91.2,120,112,101
2020-02-11,Réanimation,104,114,0,110.0,312,279,261
2020-02-12,Urgences,50,54,0,108.3,150,134,124
2020-02-12,Cardiologie,120,110,10,92.4,200,180,151
2020-02-12,Neurologie,100,86,14,86.0,180,166,133
2020-02-12,Maladies Infectieuses,80,77,3,96.9,140,119,106
2020-02-12,Pédiatrie,60,59,1,98.7,120,113,94
2020-02-12,Réanimation,104,114,0,109.9,312,274,202
2020-02-13,Urgences,50,50,0,101.4,150,129,112
2020-02-13,Cardiologie,120,97,23,81.2,200,170,143
2020-02-13,Neurologie,100,84,16,84.1,180,169,127
2020-02-13,Maladies Infectieuses,80,83,0,103.9,140,132,96
2020-02-13,Pédiatrie,60,58,2,96.9,120,111,103
2020-02-13,Réanimation,104,109,0,105.7,312,279,214
2020-02-14,Urgences,50,55,0,110.0,150,137,102
2020-02-14,Cardiologie,120,106,14,88.8,200,189,171
2020-02-14,Neurologie,100,84,16,84.7,180,163,138
2020-02-14,Maladies Infectieuses,80,88,0,110.0,140,127,96
2020-02-14,Pédiatrie,60,54,6,91.5,120,110,94
2020-02-14,Réanimation,104,103,1,99.3,312,280,238
2020-02-15,Urgences,50,55,0,110.0,150,130,108
2020-02-15,Cardiologie,120,109,11,91.6,200,185,139
2020-02-15,Neurologie,100,78,22,78.4,180,161,137
2020-02-15,Maladies Infectieuses,80,82,0,102.5,140,120,87
2020-02-15,Pédiatrie,60,53,7,89.2,120,104,73
2020-02-15,Réanimation,104,106,0,102.3,312,282,210
2020-02-16,Urgences,50,55,0,110.0,150,136,97
2020-02-16,Cardiologie,120,105,15,88.3,200,172,138
2020-02-16,Neurologie,100,91,9,91.1,180,166,124
2020-02-16,Maladies Infectieuses,80,80,0,100.1,140,122,92
2020-02-16,Pédiatrie,60,61,0,102.0,120,107,79
2020-02-16,Réanimation,104,106,0,102.3,312,270,240
2020-02-17,Urgences,50,54,0,109.0,150,134,117
2020-02-17,Cardiologie,120,110,10,92.0,200,176,127
2020-02-17,Neurologie,100,86,14,86.3,180,170,136
2020-02-17,Maladies Infectieuses,80,77,3,97.2,140,126,94
2020-02-17,Pédiatrie,60,60,0,100.9,120,107,94
2020-02-17,Réanimation,104,106,0,102.4,312,282,223
2020-02-18,Urgences,50,55,0,110.0,150,133,114
2020-02-18,Cardiologie,120,96,24,80.3,200,186,146
2020-02-18,Neurologie,100,90,10,90.9,180,158,134
2020-02-18,Maladies Infectieuses,80,81,0,102.1,140,120,89
2020-02-18,Pédiatrie,60,56,4,93.4,120,113,107
2020-02-18,Réanimation,104,99,5,95.9,312,279,253
2020-02-19,Urgences,50,55,0,110.0,150,138,118
2020-02-19,Cardiologie,120,115,5,95.9,200,185,169
2020-02-19,Neurologie,100,73,27,73.9,180,164,146
2020-02-19,Maladies Infectieuses,80,75,5,95.0,140,127,114
2020-02-19,Pédiatrie,60,53,7,88.9,120,106,83
2020-02-19,Réanimation,104,101,3,97.2,312,273,218
2020-02-20,Urgences,50,55,0,110.0,150,132,117
2020-02-20,Cardiologie,120,110,10,92.2,200,185,132
2020-02-20,Neurologie,100,86,14,86.1,180,170,158
2020-02-20,Maladies Infectieuses,80,82,0,102.9,140,127,97
2020-02-20,Pédiatrie,60,57,3,96.0,120,107,87
2020-02-20,Réanimation,104,104,0,100.9,312,289,226
2020-02-21,Urgences,50,55,0,110.0,150,142,124
2020-02-21,Cardiologie,120,101,19,84.4,200,189,157
2020-02-21,Neurologie,100,89,11,89.6,180,155,122
2020-02-21,Maladies Infectieuses,80,77,3,96.5,140,130,122
2020-02-21,Pédiatrie,60,52,8,87.2,120,102,75
2020-02-21,Réanimation,104,103,1,99.9,312,284,252
2020-02-22,Urgences,50,55,0,110.0,150,141,133
2020-02-22,Cardiologie,120,111,9,93.1,200,185,144
2020-02-22,Neurologie,100,86,14,86.9,180,160,124
2020-02-22,Maladies Infectieuses,80,77,3,97.0,140,121,87
2020-02-22,Pédiatrie,60,54,6,91.3,120,107,88
2020-02-22,Réanimation,104,108,0,104.1,312,266,250
2020-02-23,Urgences,50,55,0,110.0,150,139,97
2020-02-23,Cardiologie,120,107,13,89.8,200,173,153
2020-02-23,Neurologie,100,86,14,86.7,180,156,115
2020-02-23,Maladies Infectieuses,80,84,0,105.2,140,127,92
2020-02-23,Pédiatrie,60,56,4,93.5,120,102,87
2020-02-23,Réanimation,104,106,0,102.0,312,285,200
2020-02-24,Urgences,50,45,5,90.7,150,140,112
2020-02-24,Cardiologie,120,92,28,76.7,200,174,128
2020-02-24,Neurologie,100,72,28,72.3,180,154,133
2020-02-24,Maladies Infectieuses,80,54,26,68.1,140,130,93
2020-02-24,Pédiatrie,60,30,30,50.2,120,113,84
2020-02-24,Réanimation,104,87,17,84.0,312,275,243
2020-02-25,Urgences,50,49,1,98.4,150,141,131
2020-02-25,Cardiologie,120,92,28,77.5,200,185,149
2020-02-25,Neurologie,100,75,25,75.9,180,155,123
2020-02-25,Maladies Infectieuses,80,56,24,70.7,140,132,96
2020-02-25,Pédiatrie,60,34,26,57.6,120,108,91
2020-02-25,Réanimation,104,81,23,78.4,312,294,241
2020-02-26,Urgences,50,48,2,97.1,150,133,101
2020-02-26,Cardiologie,120,84,36,70.5,200,174,160
2020-02-26,Neurologie,100,67,33,68.0,180,164,127
2020-02-26,Maladies Infectieuses,80,51,29,64.5,140,130,122
2020-02-26,Pédiatrie,60,34,26,56.7,120,108,79
2020-02-26,Réanimation,104,87,17,84.2,312,282,245
2020-02-27,Urgences,50,48,2,97.7,150,131,93
2020-02-27,Cardiologie,120,88,32,73.7,200,171,135
2020-02-27,Neurologie,100,68,32,68.6,180,161,113
2020-02-27,Maladies Infectieuses,80,50,30,62.7,140,121,113
2020-02-27,Pédiatrie,60,38,22,63.3,120,107,100
2020-02-27,Réanimation,104,92,12,88.6,312,286,222
2020-02-28,Urgences,50,50,0,100.3,150,130,120
2020-02-28,Cardiologie,120,90,30,75.1,200,175,141
2020-02-28,Neurologie,100,73,27,73.0,180,166,142
2020-02-28,Maladies Infectieuses,80,48,32,60.4,140,119,103
2020-02-28,Pédiatrie,60,32,28,54.7,120,113,81
2020-02-28,Réanimation,104,84,20,81.3,312,273,225
2020-02-29,Urgences,50,48,2,97.3,150,138,101
2020-02-29,Cardiologie,120,84,36,70.3,200,178,147
2020-02-29,Neurologie,100,68,32,68.7,180,161,118
2020-02-29,Maladies Infectieuses,80,49,31,61.4,140,131,120
2020-02-29,Pédiatrie,60,38,22,64.7,120,104,92
2020-02-29,Réanimation,104,94,10,90.5,312,293,253
2020-03-01,Urgences,50,49,1,99.0,150,139,108
2020-03-01,Cardiologie,120,86,34,72.0,200,172,125
2020-03-01,Neurologie,100,69,31,69.7,180,158,122
2020-03-01,Maladies Infectieuses,80,59,21,74.1,140,123,102
2020-03-01,Pédiatrie,60,35,25,58.7,120,103,97
2020-03-01,Réanimation,104,93,11,90.0,312,292,235
2020-03-02,Urgences,50,48,2,97.0,150,140,114
2020-03-02,Cardiologie,120,89,31,74.7,200,186,163
2020-03-02,Neurologie,100,67,33,67.9,180,154,138
2020-03-02,Maladies Infectieuses,80,55,25,69.2,140,119,103
2020-03-02,Pédiatrie,60,37,23,63.1,120,107,86
2020-03-02,Réanimation,104,82,22,79.3,312,288,215
2020-03-03,Urgences,50,50,0,101.1,150,142,134
2020-03-03,Cardiologie,120,83,37,69.7,200,188,165
2020-03-03,Neurologie,100,75,25,75.2,180,167,131
2020-03-03,Maladies Infectieuses,80,62,18,77.7,140,123,89
2020-03-03,Pédiatrie,60,32,28,54.7,120,104,83
2020-03-03,Réanimation,104,90,14,86.6,312,282,242
2020-03-04,Urgences,50,44,6,88.8,150,130,115
2020-03-04,Cardiologie,120,93,27,77.8,200,186,149
2020-03-04,Neurologie,100,71,29,71.3,180,158,139
2020-03-04,Maladies Infectieuses,80,55,25,69.7,140,129,114
2020-03-04,Pédiatrie,60,34,26,57.3,120,107,81
2020-03-04,Réanimation,104,88,16,84.8,312,282,263
2020-03-05,Urgences,50,47,3,95.9,150,140,105
2020-03-05,Cardiologie,120,85,35,71.2,200,180,150
2020-03-05,Neurologie,100,67,33,68.0,180,155,112
2020-03-05,Maladies Infectieuses,80,49,31,61.3,140,132,98
2020-03-05,Pédiatrie,60,39,21,66.0,120,110,99
2020-03-05,Réanimation,104,97,7,93.9,312,290,233
2020-03-06,Urgences,50,44,6,88.5,150,135,100
2020-03-06,Cardiologie,120,96,24,80.1,200,171,143
2020-03-06,Neurologie,100,66,34,66.7,180,159,133
2020-03-06,Maladies Infectieuses,80,54,26,67.8,140,131,109
2020-03-06,Pédiatrie,60,30,30,50.7,120,102,83
2020-03-06,Réanimation,104,92,12,89.2,312,278,245
2020-03-07,Urgences,50,48,2,97.9,150,128,103
2020-03-07,Cardiologie,120,90,30,75.1,200,173,140
2020-03-07,Neurologie,100,66,34,66.8,180,164,146
2020-03-07,Maladies Infectieuses,80,48,32,60.8,140,125,98
2020-03-07,Pédiatrie,60,42,18,70.7,120,109,80
2020-03-07,Réanimation,104,84,20,80.8,312,294,268
2020-03-08,Urgences,50,46,4,93.8,150,132,95
2020-03-08,Cardiologie,120,83,37,69.9,200,188,172
2020-03-08,Neurologie,100,70,30,70.4,180,164,128
2020-03-08,Maladies Infectieuses,80,50,30,63.1,140,119,85
2020-03-08,Pédiatrie,60,40,20,67.3,120,113,107
2020-03-08,Réanimation,104,96,8,92.4,312,283,228
2020-03-09,Urgences,50,46,4,93.0,150,134,100
2020-03-09,Cardiologie,120,90,30,75.1,200,175,143
2020-03-09,Neurologie,100,64,36,64.1,180,153,126
2020-03-09,Maladies Infectieuses,80,55,25,69.0,140,126,107
2020-03-09,Pédiatrie,60,37,23,62.9,120,111,95
2020-03-09,Réanimation,104,94,10,91.2,312,273,240
2020-03-10,Urgences,50,49,1,98.9,150,138,99
2020-03-10,Cardiologie,120,86,34,72.2,200,174,130
2020-03-10,Neurologie,100,74,26,74.2,180,165,144
2020-03-10,Maladies Infectieuses,80,53,27,66.7,140,130,103
2020-03-10,Pédiatrie,60,32,28,53.3,120,104,96
2020-03-10,Réanimation,104,98,6,94.5,312,268,208
2020-03-11,Urgences,50,45,5,90.8,150,140,98
2020-03-11,Cardiologie,120,88,32,73.8,200,183,165
2020-03-11,Neurologie,100,68,32,68.9,180,169,122
2020-03-11,Maladies Infectieuses,80,47,33,59.3,140,126,103
2020-03-11,Pédiatrie,60,36,24,60.1,120,107,100
2020-03-11,Réanimation,104,84,20,81.0,312,269,200
2020-03-12,Urgences,50,48,2,97.3,150,138,110
2020-03-12,Cardiologie,120,94,26,78.6,200,176,163
2020-03-12,Neurologie,100,76,24,76.6,180,162,146
2020-03-12,Maladies Infectieuses,80,53,27,66.6,140,119,107
2020-03-12,Pédiatrie,60,38,22,64.8,120,112,85
2020-03-12,Réanimation,104,93,11,89.6,312,273,250
2020-03-13,Urgences,50,46,4,92.9,150,141,114
2020-03-13,Cardiologie,120,88,32,73.9,200,183,148
2020-03-13,Neurologie,100,76,24,76.1,180,165,115
2020-03-13,Maladies Infectieuses,80,47,33,59.4,140,119,89
2020-03-13,Pédiatrie,60,37,23,62.9,120,108,75
2020-03-13,Réanimation,104,96,8,93.3,312,287,251
2020-03-14,Urgences,50,45,5,91.4,150,136,107
2020-03-14,Cardiologie,120,90,30,75.1,200,172,121
2020-03-14,Neurologie,100,71,29,71.7,180,166,144
2020-03-14,Maladies Infectieuses,80,50,30,62.9,140,124,108
2020-03-14,Pédiatrie,60,39,21,65.8,120,110,92
2020-03-14,Réanimation,104,92,12,88.8,312,289,265
2020-03-15,Urgences,50,55,0,110.0,150,130,107
2020-03-15,Cardiologie,120,127,0,106.6,200,188,160
2020-03-15,Neurologie,100,99,1,99.6,180,156,137
2020-03-15,Maladies Infectieuses,80,88,0,110.0,140,129,98
2020-03-15,Pédiatrie,60,45,15,76.3,120,107,84
2020-03-15,Réanimation,104,114,0,110.0,312,271,229
2020-03-16,Urgences,50,55,0,110.0,150,141,104
2020-03-16,Cardiologie,120,132,0,110.0,200,181,129
2020-03-16,Neurologie,100,100,0,100.1,180,156,117
2020-03-16,Maladies Infectieuses,80,88,0,110.0,140,130,92
2020-03-16,Pédiatrie,60,50,10,84.2,120,104,91
2020-03-16,Réanimation,104,114,0,110.0,312,290,246
2020-03-17,Urgences,50,55,0,110.0,150,142,130
2020-03-17,Cardiologie,120,122,0,101.9,200,180,161
2020-03-17,Neurologie,100,96,4,96.8,180,160,138
2020-03-17,Maladies Infectieuses,80,88,0,110.0,140,127,91
