BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1150A;;;;5;5;1769;;;;;
DIALYSE;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1210;;;;;10;;;;502;;
DIALYSE;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;121AX;;;;;5;;;;278;;
DIALYSE;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;121CX;;;;5;5;;;;224;;
DIALYSE;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;TOT;0;;;;;;;;;;
DIALYSE;2022;020000162;CH SAINT-QUENTIN;020000063;112AX;;;;4;6;466;;;;;
DIALYSE;2022;020000162;CH SAINT-QUENTIN;020000063;112BA;;;;30;136;18777;;;;;
DIALYSE;2022;020000162;CH SAINT-QUENTIN;020000063;1130X;;;;44;236;30200;;;;;
DIALYSE;2022;020000162;CH SAINT-QUENTIN;020000063;1150A;;;;6;6;;;;;;
DIALYSE;2022;020000162;CH SAINT-QUENTIN;020000063;1210;;;;;3;;;;156;;
DIALYSE;2022;020000162;CH SAINT-QUENTIN;020000063;121CX;;;;3;3;;;;156;;
DIALYSE;2022;020000162;CH SAINT-QUENTIN;020000063;122BX;;;;4;;;;;673;;
DIALYSE;2022;020000162;CH SAINT-QUENTIN;020000063;TOT;1;3;188;;;;1680;4;;76;0
DIALYSE;2022;020000394;CH LAON;020000253;112AX;;;;1;1;71;;;;;
DIALYSE;2022;020000394;CH LAON;020000253;112BA;;;;12;50;6318;;;;;
DIALYSE;2022;020000394;CH LAON;020000253;1150A;;;;2;2;;;;;;
DIALYSE;2022;020000394;CH LAON;020000253;TOT;0;;;;;;372;4;;31;2
DIALYSE;2022;020000519;CH SOISSONS;020000261;112BA;;;;15;201;9933;;;;;
DIALYSE;2022;020000519;CH SOISSONS;020000261;TOT;0;;;;;;299;;;22;1
DIALYSE;2022;020001772;UNITE DE DIALYSE DE CHAUNY;590799995;1130X;;;;12;45;7155;;;;;
DIALYSE;2022;020001913;UNITE DE DIALYSE DE LAON;590799995;1130X;;;;12;42;6883;;;;;
DIALYSE;2022;020006441;UNITE DIALYSE DE COURMELLES;590799995;1130X;;;;8;17;2558;;;;;
DIALYSE;2022;020006441;UNITE DIALYSE DE COURMELLES;590799995;1140X;;;;6;5;389;;;;;
DIALYSE;2022;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;112AX;;;;1;2;121;;;;;
DIALYSE;2022;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;1130X;;;;24;107;16507;;;;;
DIALYSE;2022;020016242;UNITE DE DIALYSE DE GUISE;590799995;1130X;;;;8;31;4847;;;;;
DIALYSE;2022;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1130X;;;;6;27;3900;;;;;
DIALYSE;2022;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1140X;;;;2;3;435;;;;;
DIALYSE;2022;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;1150A;;;;5;5;1178;;;;;
DIALYSE;2022;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;1210;;;;;2;;;;126;;
DIALYSE;2022;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;121AX;;;;;1;;;;70;;
DIALYSE;2022;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;121CX;;;;1;1;;;;56;;
DIALYSE;2022;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;122AX;;;;1;;;;;24;;
DIALYSE;2022;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;TOT;0;;;;;;;;;;
DIALYSE;2022;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;1150A;;;;2;2;547;;;;;
DIALYSE;2022;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;1210;;;;;4;;;;167;;
DIALYSE;2022;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;121AX;;;;;2;;;;66;;
DIALYSE;2022;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;121CX;;;;2;2;;;;101;;
DIALYSE;2022;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;122AX;;;;1;;;;;24;;
DIALYSE;2022;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;TOT;0;;;;;;;;;;
DIALYSE;2022;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;1210;;;;;4;;;;168;;
DIALYSE;2022;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;121AX;;;;;3;;;;123;;
DIALYSE;2022;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;121CX;;;;1;1;;;;45;;
DIALYSE;2022;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;TOT;0;;;;;;;;;;
DIALYSE;2022;030000061;CH DE MOULINS;030780092;112BA;;;;12;50;7257;;;;;
DIALYSE;2022;030000061;CH DE MOULINS;030780092;TOT;0;;;;;;518;1;;30;
DIALYSE;2022;030000079;CH DE MONTLUCON;030780100;112BA;;;;16;64;8170;;;;;
DIALYSE;2022;030000079;CH DE MONTLUCON;030780100;122BX;;;;2;;;;;23;;
DIALYSE;2022;030000079;CH DE MONTLUCON;030780100;TOT;0;;;;;;715;;;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;112AX;;;;3;0;366;;;;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;112BA;;;;8;37;6539;;;;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1130X;;;;4;31;5163;;;;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1140X;;;;6;8;1524;;;;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1150A;;;;9;8;2808;;;;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1210;;;;;;;;;2808;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;121AX;;;;;;;;;2340;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;121CX;;;;9;;;;;468;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;122AX;;;;10;;;;;826;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;122BX;;;;4;;;;;18;;
DIALYSE;2022;030000087;CH JACQUES LACARIN VICHY;030780118;TOT;0;;;;;;1573;3;;21;18
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;112AX;;;;1;4;389;;;;;
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1130X;;;;8;39;4595;;;;;
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1140X;;;;4;3;1434;;;;;
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1150A;;;;1;3;724;;;;;
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1210;;;;;15;;;;810;;
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;121AX;;;;;11;;;;647;;
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;121CX;;;;2;4;;;;163;;
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;122AX;;;;1;3;;;;134;;
DIALYSE;2022;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;TOT;0;;;;;;;;;20;8
DIALYSE;2022;030003719;UNITE DE DIALYSE DE MOULINS;630000990;112AX;;;;1;2;134;;;;;
DIALYSE;2022;030003719;UNITE DE DIALYSE DE MOULINS;630000990;1130X;;;;6;28;4334;;;;;
DIALYSE;2022;030003719;UNITE DE DIALYSE DE MOULINS;630000990;1140X;;;;1;2;281;;;;;
DIALYSE;2022;030003719;UNITE DE DIALYSE DE MOULINS;630000990;1210;;;;;9;;;;384;;
DIALYSE;2022;030003719;UNITE DE DIALYSE DE MOULINS;630000990;121AX;;;;;9;;;;340;;
DIALYSE;2022;030003719;UNITE DE DIALYSE DE MOULINS;630000990;121CX;;;;4;;;;;44;;
DIALYSE;2022;030003719;UNITE DE DIALYSE DE MOULINS;630000990;122AX;;;;1;3;;;;211;;
DIALYSE;2022;030003719;UNITE DE DIALYSE DE MOULINS;630000990;TOT;0;;;;;;;;;24;6
DIALYSE;2022;030003768;UNITE DE DIALYSE DE VICHY;630000990;112AX;;;;1;2;153;;;;;
DIALYSE;2022;030003768;UNITE DE DIALYSE DE VICHY;630000990;1130X;;;;6;29;5006;;;;;
DIALYSE;2022;030003768;UNITE DE DIALYSE DE VICHY;630000990;1140X;;;;3;8;1525;;;;;
DIALYSE;2022;030003768;UNITE DE DIALYSE DE VICHY;630000990;1150A;;;;5;8;1903;;;;;
DIALYSE;2022;030003768;UNITE DE DIALYSE DE VICHY;630000990;1210;;;;;41;;;;2096;;
DIALYSE;2022;030003768;UNITE DE DIALYSE DE VICHY;630000990;121AX;;;;;34;;;;1716;;
DIALYSE;2022;030003768;UNITE DE DIALYSE DE VICHY;630000990;121CX;;;;8;7;;;;380;;
DIALYSE;2022;030003768;UNITE DE DIALYSE DE VICHY;630000990;TOT;1;1;34;;;;;;;37;19
DIALYSE;2022;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;920033503;1130X;;;;7;12;1695;;;;;
DIALYSE;2022;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;112BA;;;;25;86;14212;;;;;
DIALYSE;2022;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;1130X;;;;8;31;3920;;;;;
DIALYSE;2022;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;1150A;;;;1;1;217;;;;;
DIALYSE;2022;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;TOT;1;2;21;;;;0;1;;18;0
DIALYSE;2022;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;1130X;;;;8;5;597;;;;;
DIALYSE;2022;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;1140X;;;;8;4;750;;;;;
DIALYSE;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;112BA;;;;12;;4496;;;;;
DIALYSE;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TOT;0;;;;;;194;;;;
DIALYSE;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;112AX;;;;1;;8;;;;;
DIALYSE;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;112BA;;;;12;;6810;;;;;
DIALYSE;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;122AX;;;;;;;;;4;;
DIALYSE;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;TOT;0;;;;;;356;;;;
DIALYSE;2022;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1130X;;;;6;24;3585;;;;;
DIALYSE;2022;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1140X;;;;2;6;735;;;;;
DIALYSE;2022;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1210;;;;;2;;;;101;;
DIALYSE;2022;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;121AX;;;;;2;;;;101;;
DIALYSE;2022;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;122BX;;;;1;;;;;1;;
DIALYSE;2022;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;TOT;0;;;;;;;;;;
DIALYSE;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TOT;0;;;;;;8;;;;
DIALYSE;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;112BA;;;;15;;8047;;;;;
DIALYSE;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;1210;;;;;;;;;634;;
DIALYSE;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;121AX;;;;;;;;;186;;
DIALYSE;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;121CX;;;;1;;;;;448;;
DIALYSE;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;122BX;;;;1;1;;;;214;;
DIALYSE;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;TOT;0;;;;;;585;2;;31;5
DIALYSE;2022;060010949;AGAHTIR UDM ANTIBES;060790540;1130X;;;;12;67;10496;;;;;
DIALYSE;2022;060010949;AGAHTIR UDM ANTIBES;060790540;TOT;0;;;;;;0;0;;71;0
DIALYSE;2022;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;060790540;1130X;;;;8;7;1127;;;;;
DIALYSE;2022;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;060790540;1140X;;;;10;28;4321;;;;;
DIALYSE;2022;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;112BA;;;;15;61;9504;;;;;
DIALYSE;2022;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;1130X;;;;16;80;12077;;;;;
DIALYSE;2022;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;TOT;0;;;;;;0;1;;;
DIALYSE;2022;060025285;UAD VIVALTO;750060402;1140X;;;;8;2;365;;;;;
DIALYSE;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112BA;;;;22;111;15261;;;;;
DIALYSE;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112BE;;;;1;;30;;;;;
DIALYSE;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1130X;;;;2;;3;;;;;
DIALYSE;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;121CX;;;;1;;;;;0;;
DIALYSE;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;122AX;;;;1;8;;;;5;;
DIALYSE;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;122BX;;;;1;3;;;;84;;
DIALYSE;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOT;0;;;;;;645;4;;;9
DIALYSE;2022;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;TOT;0;;;;;;6;;;;
DIALYSE;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;112BA;;;;0;0;14;;;;;
DIALYSE;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;112BE;;;;2;8;1028;;;;;
DIALYSE;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1210;;;;;5;;;;0;;
DIALYSE;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;121CX;;;;5;5;;;;0;;
DIALYSE;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TOT;0;;;;;;105;0;;3;1
DIALYSE;2022;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;112AX;;;;2;0;0;;;;;
DIALYSE;2022;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;112BA;;;;28;170;24717;;;;;
DIALYSE;2022;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;1130X;;;;16;69;10414;;;;;
DIALYSE;2022;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;1150A;;;;1;0;0;;;;;
DIALYSE;2022;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;TOT;0;;;;;;0;1;;59;0
DIALYSE;2022;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;1150A;;;;4;4;1137;;;;;
DIALYSE;2022;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;1210;;;;;30;;;;1504;;
DIALYSE;2022;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121AX;;;;;15;;;;854;;
DIALYSE;2022;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121CX;;;;14;15;;;;650;;
DIALYSE;2022;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;TOT;0;;;;;;;;;30;23
DIALYSE;2022;060792736;AGAHTIR AUTODIALYSE NICE;060790540;1140X;;;;10;32;4772;;;;;
DIALYSE;2022;060792736;AGAHTIR AUTODIALYSE NICE;060790540;VACAN;;;;0;;115;;;;;
DIALYSE;2022;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;1140X;;;;12;17;2420;;;;;
DIALYSE;2022;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;TOT;0;;;;;;;0;;1;
DIALYSE;2022;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;112BA;;;;19;85;13807;;;;;
DIALYSE;2022;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;TOT;0;;;;;;0;1;;70;0
DIALYSE;2022;060801016;AGAHTIR AUTODIALYSE MANDELIEU;060790540;1140X;;;;5;17;2587;;;;;
DIALYSE;2022;070000179;CH ARDECHE NORD;070780358;112BA;;;;13;101;8068;;;;;
DIALYSE;2022;070000179;CH ARDECHE NORD;070780358;1130X;;;;8;51;3660;;;;;
DIALYSE;2022;070000179;CH ARDECHE NORD;070780358;122AX;;;;1;;;;;2;;
DIALYSE;2022;070000179;CH ARDECHE NORD;070780358;122BX;;;;2;;;;;10;;
DIALYSE;2022;070000179;CH ARDECHE NORD;070780358;TOT;0;;;;;;1214;;;;
DIALYSE;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;112BA;;;;11;31;4972;;;;;
DIALYSE;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;1130X;;;;6;10;1620;;;;;
DIALYSE;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;1210;;;;;3;;;;180;;
DIALYSE;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;121AX;;;;;2;;;;81;;
DIALYSE;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;121CX;;;;1;1;;;;99;;
DIALYSE;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;122AX;;;;1;;;;;27;;
DIALYSE;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;122BX;;;;1;;;;;1;;
DIALYSE;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;TOT;0;;;;;;;1;;4;1
DIALYSE;2022;070786231;AURAL UNITE DIALYSE CH AUBENAS;690796552;1140X;;;;6;13;2082;;;;;
DIALYSE;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;112AX;;;;2;3;261;;;;;
DIALYSE;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1130X;;;;4;7;1064;;;;;
DIALYSE;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1140X;;;;6;7;1274;;;;;
DIALYSE;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1150A;;;;2;2;441;;;;;
DIALYSE;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1210;;;;;4;;;;273;;
DIALYSE;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;121AX;;;;;1;;;;143;;
DIALYSE;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;121CX;;;;3;3;;;;130;;
DIALYSE;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;TOT;0;;;;;;;;;;
DIALYSE;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;112AX;;;;0;;13;;;;;
DIALYSE;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;112BA;;;;22;85;12308;;;;;
DIALYSE;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1150A;;;;1;;;;;;;
DIALYSE;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1210;;;;;20;;;;1031;;
DIALYSE;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;121AX;;;;;18;;;;867;;
DIALYSE;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;121CX;;;;1;2;;;;164;;
DIALYSE;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;122AX;;;;1;9;;;;63;;
DIALYSE;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;TOT;0;;;;;;1075;2;;;6
DIALYSE;2022;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;112AX;;;;1;;40;;;;;
DIALYSE;2022;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;1140X;;;;12;16;2112;;;;;
DIALYSE;2022;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;TOT;0;;;;;;;1;;1;
DIALYSE;2022;080011182;UAD ET UDM ARPDD;510000953;112AX;;;;3;;156;;;;;
DIALYSE;2022;080011182;UAD ET UDM ARPDD;510000953;1130X;;;;12;58;8240;;;;;
DIALYSE;2022;080011182;UAD ET UDM ARPDD;510000953;1140X;;;;8;18;2504;;;;;
DIALYSE;2022;080011182;UAD ET UDM ARPDD;510000953;1150A;;;;;2;500;;;;;
DIALYSE;2022;080011182;UAD ET UDM ARPDD;510000953;1210;;;;;17;;;;2991;;
DIALYSE;2022;080011182;UAD ET UDM ARPDD;510000953;121AX;;;;;15;;;;2538;;
DIALYSE;2022;080011182;UAD ET UDM ARPDD;510000953;121CX;;;;6;2;;;;453;;
DIALYSE;2022;080011182;UAD ET UDM ARPDD;510000953;TOT;0;;;;;;;1;;25;3
DIALYSE;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;112BA;;;;12;56;6659;;;;;
DIALYSE;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;122AX;;;;1;0;;;;7;;
DIALYSE;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;122BX;;;;1;2;;;;20;;
DIALYSE;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;TOT;0;;;;;;860;2;;25;
DIALYSE;2022;090002833;AAIR UAD UDM DD PAMIERS;310000633;1130X;;;;9;32;5203;;;;;
DIALYSE;2022;090002833;AAIR UAD UDM DD PAMIERS;310000633;1140X;;;;3;11;1647;;;;;
DIALYSE;2022;090002833;AAIR UAD UDM DD PAMIERS;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2022;090784125;AAIR UAD LAVELANET;310000633;1140X;;;;6;15;2335;;;;;
DIALYSE;2022;090784125;AAIR UAD LAVELANET;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2022;090784679;AAIR UAD UDM ST LIZIER;310000633;1130X;;;;3;6;262;;;;;
DIALYSE;2022;090784679;AAIR UAD UDM ST LIZIER;310000633;1140X;;;;4;6;1568;;;;;
DIALYSE;2022;090784679;AAIR UAD UDM ST LIZIER;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;112AX;;;;1;0;9;;;;;
DIALYSE;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;112BA;;;;20;92;12858;;;;;
DIALYSE;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1210;;;;;5;;;;14;;
DIALYSE;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;121AX;;;;;3;;;;14;;
DIALYSE;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;121CX;;;;;2;;;;;;
DIALYSE;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;122AX;;;;1;;;;;28;;
DIALYSE;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;122BX;;;;1;59;;;;1211;;
DIALYSE;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TOT;0;;;;;;3642;1;;41;11
DIALYSE;2022;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;112AX;;;;1;;5;;;;;
DIALYSE;2022;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;1140X;;;;10;16;2252;;;;;
DIALYSE;2022;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;TOT;0;;;;;;;1;;3;
DIALYSE;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;112AX;;;;3;;437;;;;;
DIALYSE;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1130X;;;;16;39;6321;;;;;
DIALYSE;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1140X;;;;12;36;5799;;;;;
DIALYSE;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1150A;;;;2;2;446;;;;;
DIALYSE;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1210;;;;;36;;;;5267;;
DIALYSE;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;121AX;;;;;28;;;;4093;;
DIALYSE;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;121CX;;;;9;8;;;;1174;;
DIALYSE;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;TOT;0;;;;;;;1;;32;16
DIALYSE;2022;110000023;CH CARCASSONNE;110780061;112BA;;;;27;103;13182;;;;;
DIALYSE;2022;110000023;CH CARCASSONNE;110780061;1150A;;;;1;;;;;;;
