BOR;AN;FI;RS;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2022;750000499;CH SAINTE ANNE;750062036;1;35;1;1;1;4;1;1;;1;;979;18;5398;11;0;61;114;1242;231;852;436;107;1744
NEUROCHIR;2022;750000549;HOPITAL FONDATION A DE ROTHSCHILD;750150229;1;32;0;0;1;8;1;0;;1;376;843;383;1746;0;0;0;0;0;0;0;725;98;3075
NEUROCHIR;2022;750100042;HU SAINT LOUIS SITE LARIBOISIERE APHP;750712184;1;32;0;0;0;;1;0;;1;552;1448;100;7433;10;2;48;138;1340;96;725;564;70;2349
NEUROCHIR;2022;750100125;HU PITIE SALPETRIERE APHP;750712184;1;95;1;1;1;4;1;;;1;1155;4076;1399;15497;24;1;165;442;5762;1236;1174;394;58;3010
NEUROCHIR;2022;750100208;HU NECKER ENFANTS MALADES APHP;750712184;1;16;1;1;0;;1;1;;1;1480;20;1;93;1431;109;4804;484;1259;544;1576;0;0;0
NEUROCHIR;2022;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;760780239;1;58;1;1;1;3;1;1;;1;;2272;33;17010;33;3;174;307;2515;607;975;302;60;1167
NEUROCHIR;2022;800006124;CHU AMIENS SUD;800000044;1;39;1;1;1;4;1;1;1200;0;;2392;153;10905;129;18;324;378;1970;100;173;267;42;839
NEUROCHIR;2022;830100574;HIA SAINTE ANNE;750821092;1;20;1;1;1;4;1;1;1526;1;3;757;7;7169;3;0;32;86;585;113;743;167;52;584
NEUROCHIR;2022;860000223;CHU LA MILETRIE;860014208;1;29;1;0;0;0;1;1;0;1;27;1197;5;8440;9;0;42;224;2471;498;495;412;41;2246
NEUROCHIR;2022;870000064;C H U DUPUYTREN LIMOGES;870000015;1;43;0;0;0;;0;1;;1;;1558;42;6836;5;0;15;58;603;331;2666;328;4;1642
NEUROCHIR;2022;920000650;HOPITAL FOCH;920150059;1;28;;;1;7;0;0;;1;;915;39;4198;10;0;34;36;434;416;2009;376;92;1537
NEUROCHIR;2022;920100039;HU PARIS NORD SITE BEAUJON APHP;750712184;1;15;0;0;0;;1;1;;1;220;1994;1213;4869;8;4;26;129;1288;147;171;0;0;0
NEUROCHIR;2022;920120011;HIA PERCY;750821092;1;15;0;0;0;;1;0;;0;;678;9;3261;9;0;16;63;307;10;14;2;0;4
NEUROCHIR;2022;930300025;HOPITAL EUROPEEN LA ROSERAIE;930000393;1;11;0;1;0;;1;1;;1;;319;3;1231;0;0;0;13;62;51;114;0;0;0
NEUROCHIR;2022;940100027;HU HENRI MONDOR SITE HENRI MONDOR APHP;750712184;1;30;1;1;1;10;1;1;;1;;1633;335;8772;8;3;26;389;2503;38;385;532;183;1874
NEUROCHIR;2022;940100043;HU PARIS SUD SITE KREMLIN BICETRE APHP;750712184;1;38;1;1;1;4;1;1;;1;22;1786;316;10141;23;2;98;221;1698;425;972;411;22;2017
NEUROCHIR;2022;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;1;11;0;0;0;;1;1;30;0;;707;12;3497;6;0;40;49;344;18;81;0;0;0
NEUROCHIR;2022;970211215;CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN;970211207;1;10;0;0;0;;0;0;;0;;519;12;3762;2;0;9;36;559;13;21;132;3;964
NEUROCHIR;2022;970400057;CHU SITE SUD (SAINT PIERRE);970408589;1;18;1;0;1;;1;1;1343;0;;893;19;6001;4;1;6;253;1637;11;27;187;25;1176
