BOR;AN;FI;RS;FI_EJ;SPED;UPED;LIT_CHI_PED;LIT_MED_PED;PLA_CHI_PED;PLA_MED_PED;SEJHP_MED_PED;SEJHP_CHI_PED;SEJHC_MED_PED;SEJHC_CHI_PED;JOU_CHI_PED;JOU_MED_PED;EFFLIB_PM;EFFLIB_PED;EFFLIB_CHIPED;ETPSAL_PM;ETPSAL_PED;ETPSAL_CHIPED;GAR_PM;GAR_PED;GAR_CHIPED;AST_CHIPED;AST_PM;AST_PED;EFFLIB_INFNS;EFFLIB_PUE;EFFLIB_AUX;EFFLIB_KINE;EFFLIB_PSY;EFFLIB_APNM;ETPSAL_INFNS;ETPSAL_PUE;ETPSAL_AUX;ETPSAL_KINE;ETPSAL_PSY;ETPSAL_APNM
MCOPED;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;0;;8;;2;242;0;911;0;0;1705;0;0;;2.62;2.62;;0;0;0;0;1;1;0;0;0;0;0;0;2.87;5.18;0.26;0.03;0;8.56
MCOPED;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;0;;1;;;0;0;30;0;0;75;;;;2.59;2.59;;0;0;;;1;1;;;;;;;2.19;;;0.05;;
MCOPED;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;0;0;0;0;0;0;0;486;0;0;856;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;0;;9;;1;40;0;969;0;0;2594;;;;2.62;2.62;;;;;;;;;;;;;;1.52;4.83;1;;;6.48
MCOPED;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;1;1;15;;3;276;0;938;74;207;1844;0;0;;9.84;9.84;;;;;;;;0;0;0;0;0;0;2.77;18.74;13.11;0.53;0.35;7.23
MCOPED;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;0;22;0;1;137;0;1313;0;0;3826;;;;5.63;5.3;;0;;;;1;;;;;;;;5.9;13.55;11.6;;;11.47
MCOPED;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1;;12;;;6;0;906;0;0;2604;;;;3.08;3.08;;1;1;0;0;0;0;;;;;;;2.83;5.98;7.95;0.3;0.2;4.71
MCOPED;2022;060780715;CLINIQUE SAINT GEORGE;060000361;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;1;1;23;73;14;10;2243;2424;8097;1946;4997;23341;;;;25.69;0.47;;1;1;;;1;1;;;;;;;50.31;34.46;70.48;3.96;4.97;87.71
MCOPED;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;;10;0;8;1524;0;449;0;0;1991;;;;8.24;8.24;;0;0;;;1;1;;;;;;;8.14;10.74;11.65;;0.59;5
MCOPED;2022;070000179;CH ARDECHE NORD;070780358;1;0;;15;;;0;0;1055;0;0;1910;;;;14.3;3.22;;0;0;;;1;1;;;;;;;18.09;1.5;8.5;3.72;0.05;
MCOPED;2022;070000195;CH DE TOURNON SUR RHONE;070780374;1;0;0;8;0;0;0;0;109;0;0;425;;;;0.4;0.4;;0;0;;;0;0;;;;;;;;;;;;
MCOPED;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;1;0;1;9;0;0;0;0;743;137;262;1432;;;;3.34;3.23;;;;;;;;;;;;;;4.3;9.29;0.99;;;13.77
MCOPED;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;0;0;18;0;2;153;0;727;0;0;2727;;;;2;2;;0;0;;;1;1;;;;;;;7.71;2.93;4.49;0.1;0.68;7.84
MCOPED;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;0;;22;;1;265;0;1615;0;0;3904;;;;3.4;3.4;0;1;1;;;0;0;;;;;;;7.21;2.97;7.73;;0.07;7.51
MCOPED;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;0;;7;;2;380;0;781;0;0;1698;;;;1.46;1.46;;1;1;;;0;0;;;;;;;5.23;5.76;;;;15.57
MCOPED;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;0;;23;;4;937;0;1731;0;0;6237;;;;4.02;4.02;0;0;0;0;0;1;1;;;;;;;12.12;6.11;13.65;0;2.26;10.92
MCOPED;2022;110000023;CH CARCASSONNE;110780061;1;1;0;13;0;2;441;0;1408;0;0;3158;;;;3.21;3.21;;0;0;0;0;1;1;;;;;;;4.36;7.83;10.45;0.1;0.5;0.98
MCOPED;2022;110000056;CH NARBONNE;110780137;1;1;;16;;;0;0;1575;0;0;3951;0;0;0;5.4;5;;0;0;0;0;1;1;0;0;0;0;0;0;11.39;3;0;0;0;6.23
MCOPED;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;0;;11;;2;69;0;912;0;0;2016;;;;7.72;6.66;;1;1;;;0;0;;;;;;;1.03;6.7;9.45;;0.36;3.88
MCOPED;2022;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;0;;18;;4;756;0;2217;0;0;6138;;;;14.96;14.96;;1;;;;0;;;;;;;;7.39;7.57;7.92;0.31;;11.87
MCOPED;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;;0;13;0;2;321;0;1673;0;0;3338;1;1;;3.7;3.7;;1;1;0;0;0;;;;;;;;8.28;7.74;14.09;;;3.15
MCOPED;2022;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;1;;20;;1;189;0;1236;0;0;2588;;;;7.32;7.32;;1;1;0;;;;;;;;;;12.65;11.43;6.01;;;9.27
MCOPED;2022;130780521;APHM HOPITAL NORD;130786049;1;1;;23;10;;0;1829;2962;0;0;4821;;;;6.42;3.73;0.58;1;0;0;0;1;0;;;;;;;8.05;12.41;16.81;;1.09;12.9
MCOPED;2022;130785652;HOPITAL SAINT JOSEPH;130014228;1;1;7;45;;;0;0;3224;442;932;4824;;;;6.6;;;0;0;0;1;1;1;;;;;;;17.43;23.28;22.66;;;15.52
MCOPED;2022;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;1;85;125;13;45;11752;2088;7693;4310;14431;34089;;;;71.09;42.51;5.29;0;0;0;1;1;1;;;;;;;127.58;82.59;121.78;0.07;14.79;100.56
MCOPED;2022;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;1;;25;;3;196;0;1324;0;0;4268;;;;7.29;7.29;0;1;1;;;0;0;;;;;;;18091;6.84;8.08;0;1.5;19.25
MCOPED;2022;140000209;CHU COTE DE NACRE - CAEN;140000100;1;1;22;45;7;12;2282;677;4635;1529;5096;14214;;;;24.23;16.2;7.02;1;1;0;0;0;0;;;;;;;16.23;20.74;20.33;;1.8;55.3
MCOPED;2022;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;1;1;1;14;0;1;172;33;1150;34;62;2531;;;;3;3;;;;;;;;;;;;;;7.76;;0.86;;0.4;9.68
MCOPED;2022;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;1;0;;11;;;0;39;724;48;112;1700;;;;2.48;2.22;;0;0;;;1;1;;;;;;;4.04;1.75;3.06;;;7.88
MCOPED;2022;150000040;CH HENRI MONDOR;150780096;1;0;;16;;;0;0;1189;0;0;2253;;;;3.28;3.28;;0;0;0;0;1;1;;;;;;;4.5;4.59;7.9;0;0;5.91
MCOPED;2022;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;1;;12;;6;558;0;1521;0;0;3276;;;;5.2;5.02;;1;1;0;0;0;0;;;;;;;18.87;6.1;6.48;;;20.96
MCOPED;2022;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;1;;27;0;5;449;551;2212;0;0;5629;;;;9.2;9.2;;1;1;;;0;;;;;;;;11.12;9.37;14.7;;0.4;6.68
MCOPED;2022;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;1;1;0;2;0;0;0;0;2361;0;0;4942;;;;6.99;6.99;;1;1;;;0;0;;;;;;;8.39;8.5;11.87;0.68;;5.37
MCOPED;2022;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;0;;16;;2;799;0;1134;0;0;3783;0;0;;5.6;5.6;;1;1;;;0;0;;;;;;;4.9;12.93;14.64;;0.67;5.65
MCOPED;2022;180000010;CH BOURGES - JACQUES COEUR;180000028;1;0;0;20;0;3;184;0;1790;0;0;3194;;;;4.15;4.15;;0;0;0;1;1;1;;;;;;;9.41;5.28;8.69;;;5.1
MCOPED;2022;180000200;CH DE VIERZON;180000051;1;0;;6;;1;68;0;508;0;0;969;;;;2.1;2.1;;;;;;;;;;;;;;5.89;;2.03;;;2.37
MCOPED;2022;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;0;0;20;0;4;431;0;1480;0;0;4655;;;;6.2;6.2;;0;;;;1;;;;;;;;11.99;5.4;14.32;;0.8;6.3
MCOPED;2022;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;;0;6;0;2;199;0;692;0;0;1735;;;;3.95;3.95;;0;0;;;1;1;;;;;;;1.7;6.19;;;0.06;8.74
MCOPED;2022;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;1;1;;10;;;0;0;729;0;0;1616;4;3;1;;;;1;1;0;0;0;0;;;;;;;;;;;;
MCOPED;2022;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;1;16;37;7;;0;5276;4061;1317;4038;14463;;;;15.4;11.62;3.78;;;;;;;;;;;;;37.39;40.47;38.73;2.6;2.06;34.45
MCOPED;2022;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;0;;8;;;0;0;1107;0;0;1971;;;;4.25;2.4;;0;0;;;1;1;;;;;;;3;8.74;;;0.49;14.32
MCOPED;2022;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;1;0;0;3;0;0;42;0;301;0;0;520;;;;1.38;1.38;0;0;0;;;1;1;;;;;;;1.16;0;0;0;0;1.47
MCOPED;2022;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;1;9;25;4;4;1427;665;2259;1034;2118;6445;;;;17.99;10.92;6.48;1;1;0;1;1;0;;;;;;;;;;;;
MCOPED;2022;220000095;CTRE HOSPITALIER DINAN;220000046;1;0;0;7;0;0;0;0;548;0;0;1582;;;;2.44;2.44;;0;0;;;1;1;;;;;;;6.39;1.65;4.19;;;0.07
MCOPED;2022;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2022;220000368;CENTRE HOSPITALIER LANNION;220000103;1;0;;8;;;0;0;690;0;0;1976;;;;1.21;0.79;;0;0;0;0;1;1;;;;;;;5.88;0.8;3.3;;;6.82
MCOPED;2022;230000820;CENTRE HOSPITALIER GUERET;230780041;1;0;0;10;0;0;0;0;734;0;0;1755;;;;2.34;2;;0;0;;;1;1;;;;;;;5.78;5.57;3.99;;;9.73
MCOPED;2022;240000372;C.H DE BERGERAC;240000059;1;0;0;12;;1;0;0;634;0;0;1861;;;;2.97;2.81;;0;0;0;0;1;1;;;;;;;7.75;1.8;;;;8.36
MCOPED;2022;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;0;0;21;0;4;395;0;1751;0;0;4702;;;;5.3;3.8;0;1;1;;;0;0;;;;;;;13.12;8.72;10.16;0;0.75;11.83
MCOPED;2022;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;1;0;;14;;;0;0;1276;0;0;2846;;;;;;;0;0;0;1;1;1;;;;;;;4.71;1.7;5.78;;0.01;4.86
MCOPED;2022;250006954;CHRU JEAN MINJOZ;250000015;1;1;26;43;8;16;4056;1335;2835;1887;4858;10296;2;0;2;10.32;7.88;2.27;1;1;0;1;1;1;0;0;0;0;0;0;33.21;59.76;41.05;2.94;1.36;41.72
MCOPED;2022;260000013;CH DE VALENCE;260000021;1;1;7;22;4;2;422;2;2762;733;1712;6767;;;;18.94;12.44;3.7;1;1;1;;;;;;;;;;10.4;54.47;36.42;;3.25;19.53
MCOPED;2022;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;1;1;1;12;1;1;270;181;937;117;199;2829;0;0;0;3.84;3.84;0;0;;;;1;;0;0;0;0;0;0;5.48;2.61;0;0.1;0.5;12.16
MCOPED;2022;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;0;0;23;0;0;0;0;2121;0;0;3566;0;0;;4.51;4.5;;0;0;0;0;1;1;0;0;0;0;0;0;6.05;15.05;14.44;0;0.5;4.42
MCOPED;2022;270000359;CH EVREUX CH EURE-SEINE;270023724;1;1;0;18;;;0;0;1852;0;0;4205;;;;21.4;19.25;;1;;;;0;;;;;;;;6.18;3;;;;
MCOPED;2022;280000084;CH DREUX;280000183;1;1;;21;;;0;0;1365;0;0;3342;;;;3.39;3.39;;1;;;;1;;;;;;;;10.28;2.48;2.41;;;17.25
MCOPED;2022;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;1;;17;;3;480;0;1946;0;0;4852;0;0;0;5.83;5.83;0;1;1;0;0;0;0;0;0;0;0;0;0;17.28;2.04;13.77;0;0;8.15
MCOPED;2022;290000025;CHIC QUIMPER;290020700;1;1;;33;;3;782;0;3342;0;0;6823;;;;15.2;15.2;;;;;;;;;;;;;;9.31;5.4;10.26;0;0.15;5.22
MCOPED;2022;290000033;C.H. DES PAYS DE MORLAIX;290021542;1;;0;16;;;395;0;1125;0;0;2708;;;;4.74;4.74;0;0;0;0;0;1;0;;;;;;;0.67;13.5;6.39;;;8.27
MCOPED;2022;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;1;;10;60;0;9;2985;936;5487;803;2198;16370;;;;17.8;12.92;4.82;1;1;1;1;1;1;;;;;;;9.24;2.06;4.4;;0.2;7.05
MCOPED;2022;2A0000022;CH ND LA MISERICORDE;2A0000014;1;0;0;14;0;0;0;0;1191;0;0;2048;;;;3.73;3.62;;;;;;;;;;;;;;5.48;3.99;9.45;;0.49;5.65
MCOPED;2022;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;0;0;14;0;0;0;0;1295;0;0;2655;0;;;8.57;6.33;2;1;1;0;1;0;0;;;;;;;5.37;6.52;8.73;0;2.29;10.23
MCOPED;2022;300000023;CH ALES CEVENNES;300780046;1;0;0;14;0;0;0;0;1657;0;0;2996;;;;3.29;;;;;;;;;0;0;0;0;0;0;9.15;6.99;4.38;0.29;1.1;18.78
MCOPED;2022;300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;300780053;1;0;0;14;0;1;43;0;822;0;0;2169;0;0;0;3.6;3.6;0;0;0;0;0;1;1;;;;;;;6.16;7.32;7.69;0;0.25;8
MCOPED;2022;300002508;CL DU GRAND AVIGNON LES ANGLES;300000213;1;0;;;15;;0;46;0;0;0;0;4;0;1;;;;0;0;0;1;1;0;9;0;0;0;0;16;;;;;;
MCOPED;2022;300782117;CHU NIMES CAREMEAU;300780038;1;1;2;38;0;5;1013;3;4302;54;151;9453;;;;8.72;8.02;0;1;1;;;0;0;;;;;;;16.75;17.11;22.06;;0.8;17.92
MCOPED;2022;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;1;1;36;139;12;28;5749;2332;12364;2506;8848;33702;;;;43.66;26.31;6.61;;;;;;;;;;;;;75.52;129.21;149.68;10.4;2.55;29.21
MCOPED;2022;310026083;CL RIVE GAUCHE TOULOUSE;310026075;1;1;2;1;5;;0;5606;38;374;486;25;25;12;4;;;;0;0;0;1;1;1;;;;4;1;2;2;8.5;1;;;
MCOPED;2022;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;1;;16;4;5;12;3050;1197;426;1633;4594;531;;;;2.65;2.65;;1;1;;;1;1;;;;;;;15.21;15.25;20.44;;1.35;
MCOPED;2022;320000086;CH AUCH EN GASCOGNE;320780117;1;1;0;11;0;0;0;0;852;0;0;1755;;;;5.82;5.82;0;0;0;0;0;0;0;;;;;;;7.18;5.08;5.97;0;0;5.53
MCOPED;2022;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;1;1;;6;;;28;0;586;0;0;1305;;;;6.3;6.3;;0;0;;;1;1;;;;;;;2.77;4.56;3.4;;0.2;0.8
MCOPED;2022;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;1;0;17;0;4;326;0;2051;0;0;4035;0;0;;4.13;4.13;;1;1;;;0;0;;;;;;;8.54;10.11;3.47;;1;9.28
MCOPED;2022;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;1;0;5;;;2;0;0;6;260;506;0;;;;;;;;;;;;;;;;;;;1;;;;;
MCOPED;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1;1;38;197;5;24;8161;922;9968;1435;5311;32854;;;;94.2;75.9;7;1;1;1;1;1;1;;;;;;;1248.58;267.43;267.14;54.59;30.81;1765.06
MCOPED;2022;330783648;HOPITAL HAUT-LEVEQUE - CHU;330781196;1;0;;20;;5;966;0;1099;0;0;5415;;;;4.3;0.2;1.2;;;;1;1;1;;;;;;;835.61;16.51;9.75;24.25;17.07;1328.4
MCOPED;2022;330802752;CENTRE JEAN ABADIE - CHU;330781196;1;0;;22;;6;2348;0;358;0;0;6108;;;;7.5;;;;;;;1;;;;;;;;24.33;0;2.12;0;5.14;20.44
MCOPED;2022;340000025;INSTITUT ST PIERRE PALAVAS LES FLOTS;340022722;1;0;0;0;0;12;2824;0;0;0;0;0;;;;3.36;;;;;;;;;;;;;;;1.5;;;1;1;6.5
MCOPED;2022;340000033;CH BEZIERS;340780055;1;1;1;17;;1;70;0;2009;204;450;3514;;;;5.35;4.95;;0;0;;;;;;;;;;;8.52;7.36;6.08;0.09;0.74;7.14
MCOPED;2022;340000223;HOPITAL ST CLAIR HBT SETE;340011295;1;0;;10;;;0;0;805;0;0;1623;;;;5.42;5.17;;;;;;;;;;;;;;4.12;2.24;1.78;;;3.5
MCOPED;2022;340022979;POLYCL ST ROCH MONTPELLIER;340000306;1;1;9;4;;;0;0;56;22;28;88;15;8;4;;;;0;1;0;1;1;0;;;;2;;;2.07;4.54;4.8;;0.2;
MCOPED;2022;340024314;CL ST JEAN SUD DE FRANCE;340000272;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2022;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;340780477;1;0;6;10;;4;1409;0;829;502;983;2310;;;;3.62;3.18;;0;0;;;1;1;;;;;;;2;9.47;6.14;;1.35;6.64
MCOPED;2022;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;1;;24;19;6;;0;918;2349;1829;6260;3133;;;;7.57;0.84;2.08;;1;;1;;1;;;;;;;8.26;33.13;32.32;;;7.14
MCOPED;2022;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;1;0;;50;;23;4798;0;4361;0;0;14075;;;;14.39;14.32;;1;1;0;0;1;1;;;;;;;17.12;55.23;39.13;;1.2;14.54
MCOPED;2022;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;1;0;0;12;0;4;203;0;1347;0;0;2674;;;;5.1;5.1;;1;1;;;0;0;;;;;;;3.15;10.74;16.44;;;6.72
MCOPED;2022;350000154;C.H FOUGERES;350000030;1;0;0;5;0;1;1;0;658;0;0;1339;0;0;0;1.19;1.19;0;0;0;0;0;1;1;0;0;0;0;0;0;1.94;1.79;2.08;0;0;6.07
MCOPED;2022;350000162;CHIRC SITE REDON;350000048;1;0;;5;;;0;0;528;0;0;1074;1;1;;2.79;2.79;;0;0;0;0;1;1;;;;;;;4.26;2.94;5.66;;;1.41
MCOPED;2022;350000188;CENTRE HOSPITALIER VITRE;350000055;1;1;;5;;;0;0;463;0;0;1058;;;;2.63;;;;;;;;;;;;;;;4.26;7.59;0.96;;;5.07
MCOPED;2022;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;1;1;16;72;;20;2530;2;5866;1467;4019;20906;;;;19.22;11.86;2.19;1;1;;;1;1;;;;;;;40.29;44.65;45.71;;2.86;31.53
MCOPED;2022;360000137;CH CHATEAUROUX;360000053;1;1;0;106;;;0;0;1107;0;0;3299;0;0;0;4.8;4.8;0;0;1;0;0;0;0;;;;;;;10.54;3.94;3.37;0;0;8.66
MCOPED;2022;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;1;50;69;12;11;2370;1971;5685;1733;6973;16321;;;;73.28;35.21;10.86;;;;;;;;;;;;;111.74;49.9;78.33;0;1.23;100.44
MCOPED;2022;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;1;1;;20;;;0;0;1700;0;0;4075;;;;5.8;5.21;;1;1;;;0;0;;;;;;;0.83;11.99;5.45;;;4.77
MCOPED;2022;380000067;HOPITAL NORD - CHU38;380780080;1;1;25;100;7;9;1283;1906;5823;1769;5604;19823;6;4;;59.35;41.02;6.98;1;1;1;0;0;0;;;;;;;43.15;88.78;74.65;4.92;6.02;45.33
MCOPED;2022;380000174;CH LUCIEN HUSSEL DE VIENNE;380781435;1;1;1;12;1;1;86;151;1597;54;73;3401;;;;7.56;6.46;0.6;1;1;0;0;0;0;;;;;;;2.83;3.01;9.92;0;0;3.25
MCOPED;2022;380000406;HOPITAL DE VOIRON - CHU38;380780080;1;0;0;21;0;0;182;36;1199;129;253;2331;;;;7.99;7.99;;1;1;1;0;0;0;;;;;;;4.17;3.92;5.83;;0.5;0.25
MCOPED;2022;390000040;CH LONS;390780146;1;0;0;14;0;0;0;0;1258;0;0;2869;0;0;0;3.25;3.25;0;0;0;;;1;1;;;;;;;3.26;5.04;4.98;;;2.05
MCOPED;2022;390000222;CH LOUIS PASTEUR DOLE;390780609;1;;0;10;0;1;36;0;1043;0;0;3021;;;;4.23;3.17;;;;;;;;;;;;;;5.14;5.23;5.04;;1;2.08
MCOPED;2022;400000105;CENTRE HOSPITALIER DAX;400780193;1;0;2;10;;1;57;0;1372;156;283;2621;;;;3.08;3.08;;0;0;;;0;1;;;;;;;0.67;12.67;10.49;0.1;0.46;9.37
MCOPED;2022;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;1;1;0;12;0;2;591;0;839;0;0;1932;0;0;0;8;8;0;1;1;0;0;0;0;;;;;;;6.71;5.95;7.42;0;0.5;4.89
MCOPED;2022;410000020;CH BLOIS SIMONE VEIL;410000087;1;1;;12;;4;263;0;1610;0;0;5020;0;0;0;4.14;4.14;0;1;1;;;0;0;0;0;0;0;0;0;11.58;5.54;7.41;0;0.04;2.47
MCOPED;2022;410000046;CH ROMORANTIN-LANTHENAY;410000103;1;0;0;8;0;0;0;0;839;0;0;1870;;;;15;2;0;0;;;;1;;;;;;;;4.49;2.72;5.71;0;0;3.45
MCOPED;2022;420000010;CH DE ROANNE;420780033;1;1;;22;;;0;0;1938;0;0;4627;0;0;0;5.14;4.71;0.12;1;1;0;0;0;0;;;;;;;8.16;9.86;13.87;0.07;;5.86
MCOPED;2022;420000226;CH DU FOREZ SITE DE MONTBRISON;420013831;1;0;0;8;0;0;0;0;921;0;0;1622;;;;2.71;2.56;;0;0;0;0;1;1;;;;;;;6.35;2.49;5.13;0;0;3.61
MCOPED;2022;420000234;CH DE FIRMINY;420780652;1;;;1;;6;174;0;344;0;0;45;;;;3.06;1.45;;;;;;1;1;;;;;;;0.49;0.17;;;;0.92
MCOPED;2022;420782559;HOPITAL DE BELLEVUE - CHU42;420784878;1;0;;;;1;172;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2022;420785354;HOPITAL NORD - CHU42;420784878;1;1;19;59;4;3;1443;1298;5174;1220;3388;13328;;;;14.83;9.32;;1;0;;;1;1;;;;;;;67.43;15.86;41.69;1.72;0.83;72.78
MCOPED;2022;430000117;CH EMILE ROUX LE PUY;430000018;1;1;;15;;2;140;0;2007;0;0;3036;0;0;0;3.55;3.55;0;0;0;0;0;1;1;0;0;0;0;0;0;1.95;7.19;7.56;0.17;0.5;7.27
MCOPED;2022;440000016;CH DE SAINT NAZAIRE;440000057;1;1;0;20;0;2;1728;0;2447;0;0;6918;1;;;5.22;5.2;;1;1;;;0;0;;;;;;;6.95;9.68;16.43;0.4;0.78;6.44
MCOPED;2022;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;1;1;30;81;12;17;5862;1870;8592;2177;7643;28720;;;;30.63;21.01;2.9;1;1;1;1;1;1;;;;;;;106.57;86.99;85.77;0.38;1.86;49.66
