BOR;AN;FI;RS;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A37;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A36;PHARMA_F8;PHARMA_G8;PHARMA_E8;PHARMA_H8;PHARMA_F9;PHARMA_G9;PHARMA_H9;PHARMA_E9;PHARMA_A20;PHARMA_A11;PHARMA_B14;PHARMA_C14;PHARMA_A16;PHARMA_A38;PHARMA_A17;PHARMA_A18;PHARMA_A39;PHARMA_A40;PHARMA_A41;PHARMA_A42;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A43;PHARMA_A44;PHARMA_A45;PHARMA_A46;PHARMA_A47;PHARMA_A25;PHARMA_A26;PHARMA_A48;PHARMA_A49;PHARMA_A50;PHARMA_F29;PHARMA_F30;PHARMA_F31;PHARMA_F32;PHARMA_F33;PHARMA_F34;PHARMA_F35;PHARMA_G29;PHARMA_G30;PHARMA_G31;PHARMA_G32;PHARMA_G33;PHARMA_G34;PHARMA_G35;PHARMA_D29;PHARMA_E29
PHARMA;2022;020001087;CH HIRSON;020004495;0;;;;;;1;75;;45;;86;1;0;0;0;1;1;1;1;1;1;1;120;86;0;0;0;0;0;0;24035;2820;1;0;0;0;;0;0;0;0;0;0;;;;1.8;;;;4;0.6;0.7;;;;;;;;0;1
PHARMA;2022;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;0;;;;;;;;;;30;122;0;;;;;;;;;1;1;30;122;0;0;0;0;1;0;190;;0;0;;;;0;0;0;0;0;0;;;;1;;;;0.16;;;;;;;;;;0;0
PHARMA;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;0;;;;1;0;0;174;;;;;0;;;;;;;;;1;1;24;;1;0;0;0;0;0;74088;;0;0;;;;0;0;0;0;0;0;0;0;0;1.7;0;0.7;0;5;;;;;;;;;;0;1
PHARMA;2022;030000061;CH DE MOULINS;030780092;1;4;0;14;1;;0;;;;;;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;4124;871;1;1;20;0;270;0;0;0;0;1;1;3;0;3;6.01;0.2;0.8;1.08;13.29;9.6;3.01;0;0;0;0;0;0;0;0;1
PHARMA;2022;030000079;CH DE MONTLUCON;030780100;1;4;1;;1;0;0;308;46;89;60;391;1;0;0;0;1;0;0;0;0;1;1;90;100;1;0;0;1;0;1;12003;3314;1;1;30;;;0;0;0;0;1;1;3;0;3;5.95;0.5;0.5;1;15.65;16.37;2;;;;;;;;0;1
PHARMA;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1;4;0;15;;;;367;109;68;108;;0;;;;;;;;;1;1;50;;1;1;0;0;1;1;2899;177;1;1;50;;;0;0;0;0;1;1;3;;3;5.91;0.45;0.8;1;11.1;20.16;2;0;0;0;0;0;0;0;0;1
PHARMA;2022;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;1;4;0;;;;;8;;40;;181;0;;;;;;;;;1;1;48;181;0;0;0;0;1;0;19570;453;0;0;;;;0;0;0;0;0;0;;;;1;0;0;0;3.33;0;0;0;0;0;0;0;0;0;0;0
PHARMA;2022;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;1;4;0;14;;;;;345;;40;;0;;;;;;;;;1;1;385;;0;1;0;0;1;1;6359;520;1;0;;;;0;0;1;1;0;0;;;;1.8;;;0.5;6.4;0.76;1;;;;;;;;0;0
PHARMA;2022;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;1;4;0;;1;1;0;10;0;130;12;287;0;;;;;;;;;1;1;125;299;0;0;0;0;0;0;10951;;0;0;;;;1;1;1;1;0;0;;;;1;;;;2.94;;;;;;;;;;0;0
PHARMA;2022;030780548;POLYCLINIQUE LA PERGOLA;030000194;0;;;;;;;63;;53;;;0;;;;;;;;;1;1;116;;0;0;0;0;1;0;58941;1985;0;0;;;;0;0;0;0;1;1;2;;2;1;;;;4.1;5.5;;;;;;;;;0;0
PHARMA;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;0;;;;1;0;1;118;0;39;0;0;1;0;1;0;0;0;1;0;0;1;1;60;0;1;0;0;0;0;0;17385;259;0;1;20;0;0;0;0;0;0;1;1;4;0;4;2;0.3;1;0;10.42;1;1;;;;;;;;0;0
PHARMA;2022;030785430;POLYCLINIQUE SAINT-ODILON;030009088;0;;;;0;0;0;91;;;;;0;;;;;;;;;1;1;;;1;0;0;0;1;0;4366;0;1;0;;;;0;0;0;0;1;1;2;0;2;1;0.1;0.4;;2.01;;;;;;;;;;0;0
PHARMA;2022;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;0;;;;;;;5;;10;;;0;;;;;;;;;0;1;;;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;0;0;;;;0.35;;;;;;;;;;;;;;0;0
PHARMA;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;3;0;2;1;1;;;0;56;30;130;0;;;;;;;;;0;1;;;1;0;0;1;0;0;;;1;0;;;;1;0;0;0;0;0;;;;3.59;0;0;0.5;9.45;8.2;2.95;0;0;0;0;0;0;0;0;1
PHARMA;2022;040000119;EPS LUMIERE DE RIEZ;040780231;1;4;0;;1;;;4;;16;;63;0;;;;;;;;;1;1;19;63;0;0;0;0;1;0;2048;56;0;0;;;;0;0;0;0;0;0;;;;0.6;;;;;;;;;;;;;;0;0
PHARMA;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;4;0;;1;0;;19;;15;;53;0;;;;;;;;;1;1;;53;0;0;0;0;0;1;5200;590;1;0;;;;0;0;1;1;0;0;;;;0.9;0.7;;;2.03;1.17;;;;;;;;;0;1
PHARMA;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;0;;;;0;0;1;126;137;66;0;32;1;0;1;0;1;0;0;0;0;1;1;263;32;0;1;0;0;1;1;14;14;1;1;;;32;1;0;0;1;0;0;;;;2.71;0.54;;;8.62;9.54;0.9;;;;;;;;0;0
PHARMA;2022;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;0;;;;;;;;;85;;;0;;;;;;;;;1;1;85;;0;0;0;0;1;0;600;;0;0;;;;0;0;0;0;0;0;0;0;0;1;;;0;1;0;0;0;;;0;0;0;0;0;0
PHARMA;2022;040780405;CENTRE DES CARMES;040000168;0;;;;;;;0;0;70;41;59;0;;;;;;;;;1;1;111;59;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;0;0;;;;1;;;;3;;;;;;;;;;0;0
PHARMA;2022;040780470;CLINIQUE TOUTES AURES;040000192;0;;;;;;;47;;;;;0;;;;;;;;;1;1;27;;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;1;0;2;0;2;1;1;;;1.5;;;;;;;;;;0;0
PHARMA;2022;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;0;;;;;;;;;80;;;0;;;;;;;;;1;1;80;;0;0;0;0;0;0;8250;360;0;0;;;;0;0;0;0;0;0;0;0;0;1.27;;;;0.71;;;;;;;;;;0;0
PHARMA;2022;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;0;;;;1;0;0;48;;;;;0;;;;;;;;;1;1;48;;0;0;0;0;1;1;2862;141;1;1;;1;;0;0;0;0;0;0;;;;0.8;;;1;1;;;;;;;;;;0;0
PHARMA;2022;050000066;CENTRE MEDICAL LA SOURCE;050000082;0;;;;0;0;0;;;60;;;0;;;;;;;;;1;1;60;;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;0;0;;;;1;0;0;0;0;0;0;;;;;;;;0;0
PHARMA;2022;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;0;;;;;;;86;;;;;0;;;;;;;;;1;1;29;;0;0;0;0;0;0;;;1;0;;;;0;0;0;0;1;1;2;;3;1;0.2;;1;3;1;;;;;;;;;0;0
PHARMA;2022;050000132;CH BUECH DURANCE;050007145;1;4;0;6;1;;0;;106;;25;126;1;0;0;0;1;0;0;0;0;1;1;131;126;0;0;0;0;1;1;9876;0;0;0;;;;0;0;0;0;0;0;;;;1.4;;;;3.47;;;;;;;;;;0;0
PHARMA;2022;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;1;4;0;;0;0;0;4;;;;71;1;0;1;0;0;0;0;0;0;1;1;4;71;0;0;0;0;1;0;;;0;0;;;;0;0;0;0;0;0;;;;0.6;;;;0.6;;;;;;;;;;0;1
PHARMA;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;1;0;1;;1;;74;12;115;30;;0;;;;;;;;;1;1;102;;1;1;0;0;0;0;;;1;0;;;;0;1;0;1;1;1;2;0;3;;;;;;;;;;;;;;;0;1
PHARMA;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;1;0;4;0;0;0;19;;20;30;116;0;;;;;;;;;0;0;56;33;0;0;0;0;1;0;6814;1139;1;0;;;;0;0;0;0;0;0;;;;1.17;;;;2.5;;;;;;;;;;0;0
PHARMA;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;4;1;;1;;1;326;;67;32;85;1;0;0;1;0;0;0;0;1;1;1;165;32;1;1;0;0;0;0;55000;8300;1;1;40;;30;1;0;1;1;1;1;2;1;3;8.89;5.73;;1;14.48;12.74;5.37;;;;;;;;0;1
PHARMA;2022;050000488;LES ACACIAS CTRE MALADIES RESP ALLERG;050000678;0;;;;0;0;0;;;72;;;0;;;;;;;;;1;1;72;;0;0;0;1;1;1;4;4;1;0;;;;0;0;0;0;0;0;;;;0.68;;;;0.57;;;;;;;;;;0;0
PHARMA;2022;050000637;CLINIQUE MONTJOY;050001163;0;;;;0;0;0;;;66;;;0;;;;;;;;;1;1;66;;0;0;1;1;0;0;;;0;0;;;;0;0;0;1;0;0;;;;0.5;;;;0.6;;;;;;;;;;0;0
PHARMA;2022;050000991;CENTRE MEDICAL CHANTOURS;050000546;0;;;;;;;;40;131;;;0;;;;;;;;;1;1;171;16;0;0;0;0;1;1;12184;;0;0;;;;0;0;1;0;0;0;;;;0.93;;;;3.23;;;;;;;;;;0;0
PHARMA;2022;050001064;CENTRE MEDICAL LA DURANCE;050000561;1;2;1;;0;0;0;;;90;;66;0;;;;;;;;;1;1;90;;0;1;1;1;0;0;;;0;0;;;;1;1;1;1;0;0;;;;0.9;;;;0.6;;;;;;;;;;0;0
PHARMA;2022;060000296;LA MAISON DU MINEUR;060780640;0;;;;0;0;0;;;84;;;0;;;;;;;;;1;1;84;;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;0;0;;;;0.5;;;;1.08;;;;;;;;;;0;0
PHARMA;2022;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;1;4;0;;0;0;0;5;10;50;;65;0;;;;;;;;;1;1;15;115;0;0;0;0;1;0;130;30;0;0;;;;0;0;0;0;0;0;;;;0.5;;;;2.85;;;;;;;;;;0;0
PHARMA;2022;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;1;4;0;;1;0;1;6;;10;;164;0;;;;;;;;;1;1;16;164;0;0;0;0;1;0;8492;768;0;0;;;;0;0;0;0;0;0;;;;1;;;;2.8;;;;;;;;;;0;0
PHARMA;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;4;0;;1;0;0;260;33;30;30;120;1;1;1;0;1;1;1;0;1;1;1;120;520;1;1;0;0;1;1;195821;4716;1;1;20;0;400;0;1;1;0;0;0;0;0;3;3.8;0;0;1.12;12.83;2.03;3.73;0;0;0;0;0;0;0;0;1
PHARMA;2022;060000486;CH SAINT ELOI DE SOSPEL;060780905;1;4;0;13;;;;12;0;13;0;185;0;;;;;;;;;1;1;25;185;0;0;0;0;1;0;10353;150;0;0;;;;0;0;0;0;0;0;;;;0.5;0;0;0;2.8;0;0;;;;;;;;0;1
PHARMA;2022;060000494;CH SAINT LAZARE DE TENDE;060780921;0;;;;;;;5;;;;50;1;1;1;0;0;0;0;0;0;1;1;5;50;0;0;0;0;1;0;;165;0;0;;;;0;0;0;0;0;0;;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PHARMA;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;4;0;8;1;0;1;346;67;19;0;182;1;0;0;0;0;0;0;1;0;1;1;385;182;1;1;0;0;1;1;;6082;1;0;;;;0;0;0;0;1;1;3;0;3;7;0.25;2;0.33;13.28;16.68;2.17;;;;;;;;0;1
PHARMA;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;1;1;1;1;0;;117;;;;;1;0;1;1;1;1;1;1;1;1;1;117;;1;0;0;0;1;1;137935;70;1;0;;;;0;0;0;0;0;0;;;;4.49;;1.12;0.95;15.07;3.39;0.91;;;;;;;;0;1
PHARMA;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;1;4;0;9;1;1;0;342;66;20;54;161;1;0;1;0;0;0;0;0;0;1;1;466;161;1;1;0;0;1;1;234411;27070;1;1;25;;;0;0;0;1;0;0;;;;8.42;;0.85;1;13.7;;3.19;;;;;;;;0;1
PHARMA;2022;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;0;;;;;;;;;;41;205;0;;;;;;;;;1;1;41;126;0;0;0;0;1;0;;;0;0;;;;0;0;0;0;0;0;;;;1;0;0;0;2.8;0;0;;;;;;;;0;0
PHARMA;2022;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;0;;;;1;0;0;8;;19;;114;0;;;;;;;;;1;1;27;;0;0;0;0;1;0;4000;530;0;0;;;;0;0;0;0;0;0;;;;0.52;;;;0.32;;;;;;;;;;0;0
PHARMA;2022;060002102;CH LA PALMOSA DE MENTON;060791761;0;;;;;;;95;0;82;30;0;0;;;;;;;;;1;1;;;0;1;1;0;1;1;;;1;0;;;;0;0;0;0;1;1;;;;2;1;;0.5;4.82;1.99;;;;;;;;;0;0
PHARMA;2022;060005469;L'OLIVERAIE DES CAYRONS;920030269;0;;;;0;1;0;;;117;;;0;;;;;;;;;1;1;117;;0;0;0;0;1;1;35304;1680;0;0;;;;0;0;0;0;0;0;;;;1.21;;;;;1.11;;;;;;;;;0;0
PHARMA;2022;060010949;AGAHTIR UDM ANTIBES;060790540;0;;;;;;;;;;;;1;1;0;0;0;0;0;0;0;1;1;31;;0;0;0;0;1;0;;;0;0;;;;0;0;0;0;0;0;;;;0.34;;0.43;0.43;0.35;;;;;;;;;;0;0
PHARMA;2022;060021094;CLINIQUE VILLA ROMAINE;060024619;1;1;1;;1;0;0;;47;43;;;0;;;;;;;;;1;1;90;;0;0;0;0;1;0;;;0;0;;;;0;0;0;0;0;0;;;;0.25;;;;;;;;;;;;;;0;0
PHARMA;2022;060021201;CENTRE DE CONVALESCENCE ATLANTIS;060000155;0;;;;0;0;0;;;50;;;0;;;;;;;;;0;1;50;;0;0;0;0;1;0;5;5;0;0;;;;0;0;0;1;0;0;;;;0.5;;;;;0.2;;;;;;;;;0;0
PHARMA;2022;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;;;;;;;76;;;;;0;;;;;;;;;1;1;76;;0;0;0;0;1;0;44946;807;0;0;;;;0;0;0;0;0;0;;;;2;0;0;0;4.57;0;1;;;;;;;;0;1
PHARMA;2022;060025285;UAD VIVALTO;750060402;0;;;;0;0;0;8;;;;;0;;;;;;;;;1;1;8;;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;0;0;;;;0.5;;;;;;;;;;;;;;0;0
PHARMA;2022;060780145;CLINIQUE SAINT DOMINIQUE;060000049;0;;;;0;0;0;;;101;;;0;;;;;;;;;1;1;101;;0;0;0;0;1;0;15861;1253;0;0;;;;0;0;0;0;0;0;;;;1.27;;;;2;;;;;;;;;;0;0
PHARMA;2022;060780277;CLINIQUE SAINTE BRIGITTE;920030269;0;;;;;;;;;121;;;0;;;;;;;;;1;1;121;;0;0;0;0;1;1;27849;1694;0;0;;;;0;0;0;0;0;0;;;;1.12;;;;0.88;;;;;;;;;;0;0
PHARMA;2022;060780343;E3S SAINT JEAN;060000171;1;1;1;;;;;;;58;;;0;;;;;;;;;1;1;58;;0;0;0;0;1;0;13127;128;0;0;;;;0;0;0;0;0;0;;;;0.46;;;;;;;;;;;;;;0;0
PHARMA;2022;060780392;POLE ANTIBES SAINT JEAN;060000205;0;;;;;;;;;97;;;0;;;;;;;;;1;1;97;;0;0;0;0;1;0;19197;206;0;0;;;;0;0;0;0;0;0;;;;0.5;;;;;;;;;;;;;;0;0
PHARMA;2022;060780442;CLINIQUE SAINT FRANCOIS;060000213;0;;;;;;;30;61;;;;0;;;;;;;;;1;1;61;;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;1;1;2;0;1;1;0.3;;;2;3;;;;;;;;;0;0
PHARMA;2022;060780459;CLINIQUE ORSAC MONTFLEURI;010783009;0;;;;0;1;0;;;85;;;0;;;;;;;;;1;1;85;;0;0;0;0;1;1;7625;92;0;0;;;;0;0;0;0;0;0;;;;0.9;;;;1.1;;;;;;;;;;0;0
PHARMA;2022;060780491;INSTITUT ARNAULT TZANCK;060790797;0;;;;1;;;196;;;;;0;;;;;;;;;1;1;179;;0;0;0;0;0;0;20800;10000;0;1;30;;;0;0;0;0;1;1;3;1;3;2;0.5;;1;6.35;10.01;1.19;;;;;;;;0;0
PHARMA;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;1;1;;;;;190;;;;;0;;;;;;;;;1;1;169;;1;0;0;0;1;1;230582;1010;1;0;;;;0;0;0;0;1;1;3;1;4;1.92;;;;;;;;;;;;;;0;0
PHARMA;2022;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;0;;;;1;0;0;;64;;;;0;;;;;;;;;1;1;;;0;0;0;0;0;0;;;0;0;;;;0;1;0;1;0;0;;;;0.57;;;1;0.63;;;;;;;;;;0;0
