BOR;AN;FI;RS;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;1;0;0;0;;0;1;336;336;336;2;2;;;1760;684;;;13;;2457;596;174;3;186;227;1245;;;1160;85;172790;19780;148618;129835;105934;69032;0;168;168;;336;0;0;;1799;0
SMURSAMU;2022;080009814;ANTENNE DE SMUR - CH CHARLEVILLE;080011174;1;0;0;0;1;080011174;0;0;168;168;50;;1;;;584;1;;;;;585;395;47;4;89;255;186;;;98;88;;;;;;;;;;;;;;;;
SMURSAMU;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;1;0;0;0;;0;1;168;168;224;2;3;1;0;965;393;;116;;;1474;232;168;3;43;;864;55;103;659;205;171107;;;;50044;50044;0;191;168;31;360;1;11;0;988;1
SMURSAMU;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;1;0;0;0;;0;0;168;168;168;1;1;;;285;83;50;;;;418;168;57;0;22;83;117;7;17;90;27;;;;;;;;;;;;;;;;
SMURSAMU;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;0;0;0;;0;1;336;336;372;2;3;0;0;1726;482;20;0;0;0;2228;1685;386;46;476;738;2651;260;454;2105;546;194095;0;194095;;130298;23241;9682;216;168;48;468;0;12;;203;0
SMURSAMU;2022;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;1;1;0;0;0;;0;0;168;168;84;0;1;0;0;509;42;0;0;0;0;551;269;95;0;122;72;444;64;144;254;190;;;;;;;;;;;;;;;;
SMURSAMU;2022;100010206;ANTENNE SMUR DE BAR SUR AUBE;100000017;1;0;0;0;1;100000017;0;0;168;168;168;0;1;0;0;438;17;1;0;0;0;456;370;64;13;62;228;149;18;9;109;40;;;;;;;;;;;;;;;;
SMURSAMU;2022;110000023;CH CARCASSONNE;110780061;1;1;0;0;0;;0;1;336;336;336;2;2;1;0;1383;179;81;122;40;;1805;860;190;7;142;479;792;58;140;739;53;155714;4417;151297;145360;115263;99308;33128;227;168;59;614;0;0;0;3940;1
SMURSAMU;2022;110000056;CH NARBONNE;110780137;1;1;0;0;0;;0;0;339;339;;2;5;1;0;1268;447;66;195;48;0;2024;445;3;1;2;439;891;128;405;616;275;;;;;;;;;;;;;;;;
SMURSAMU;2022;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;1;0;0;0;1;110780061;0;0;84;84;84;;1;;;361;43;;;;;404;185;22;2;23;135;196;10;43;78;118;;;;;;;;;;;;;;;;
SMURSAMU;2022;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN;110780061;1;0;0;0;1;110780061;0;0;142;168;20;;1;;;304;2;;;;;306;283;28;2;58;166;69;2;9;60;9;;;;;;;;;;;;;;;;
SMURSAMU;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1;0;0;0;;0;1;168;252;168;2;3;1;0;895;193;166;322;251;0;1827;523;156;0;77;290;974;72;165;865;109;121958;2801;110132;72840;63892;60366;26245;236;168;68;338;1;;0;3441;0
SMURSAMU;2022;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;1;0;0;0;;0;0;186;186;0;;;;;258;18;;;;;276;50;38;1;11;;208;13;42;178;30;;;;;;;;;;;;;;;;
SMURSAMU;2022;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;1;0;0;0;;0;0;208;336;0;;;;;311;;;;;;311;64;64;;19;;223;14;;146;77;;;;;;;;;;;;;;;;
SMURSAMU;2022;120004569;CH MILLAU;120004528;1;1;0;0;0;;0;0;168;168;0;;1;;;254;48;0;0;0;0;302;127;52;0;13;62;236;25;32;156;80;;;;;;;;;;;;;;;;
SMURSAMU;2022;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;1;0;0;0;;0;0;168;168;0;2;1;0;;186;32;17;0;0;0;235;62;37;1;10;14;146;20;33;119;27;;;;;;;;;;;;;;;;
SMURSAMU;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;1;0;0;0;;0;0;168;252;252;1;1;;;1933;166;1;;;;2100;1245;230;23;147;804;688;39;125;446;242;;;;;;;;;;;;;;;;
SMURSAMU;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;1;0;0;0;;0;0;198;228;168;1;2;;;1517;174;;;;;1691;794;126;9;78;581;1486;;;324;1162;;;;;;;;;;;;;;;;
SMURSAMU;2022;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;1;0;0;0;;0;0;168;168;0;;1;;;1240;74;;;;;1314;678;188;8;43;443;1301;;;522;779;;;;;;;;;;;;;;;;
SMURSAMU;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;1;1;0;0;0;130785512;0;0;168;168;168;;1;;;1010;68;;;;;1078;790;92;5;52;641;968;62;256;654;314;;;;;;;;;;;;;;;;
SMURSAMU;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;1;0;0;0;;0;0;168;168;0;;;;;1520;90;;;;;1610;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;1;0;0;0;;0;0;252;252;252;;2;;;1401;117;;;;;1518;;176;106;3;539;982;;;602;380;;;;;;;;;;;;;;;;
SMURSAMU;2022;130044977;APHM ANTENNE SMUR DE MARIGNANE;130786049;1;0;0;0;1;130783293;0;0;168;168;168;1;1;;;1420;139;;;;;1559;435;111;11;97;737;435;32;74;181;254;;;;;;;;;;;;;;;;
SMURSAMU;2022;130044985;APHM ANTENNE SMUR DE LOUVAIN;130786049;1;0;0;0;1;130783293;0;0;168;168;168;1;;;1;1920;241;;;;;2161;586;294;12;127;886;586;38;105;338;248;;;;;;;;;;;;;;;;
SMURSAMU;2022;130044993;APHM ANTENNE SMUR DE PLOMBIERES;130786049;1;0;0;0;1;130783293;0;0;168;168;168;1;;;;2474;117;;;;;2591;658;321;28;209;1156;658;91;64;479;179;;;;;;;;;;;;;;;;
SMURSAMU;2022;130045008;APHM ANTENNE SMUR D'ENDOUME;130786049;1;0;0;0;1;130783293;0;0;168;168;168;1;;;;1224;91;;;;2;1317;342;154;14;84;614;342;32;37;223;119;;;;;;;;;;;;;;;;
SMURSAMU;2022;130045016;APHM ANTENNE SMUR DE MARIGNANE;130786049;1;0;0;0;1;130783293;0;0;84;84;0;;;1;;;;;240;;;240;240;10;1;7;70;240;36;5;118;122;;;;;;;;;;;;;;;;
SMURSAMU;2022;130045040;APHM ANTENNE SMUR DE LAVERAN;130786049;1;0;0;0;1;130783293;0;0;140;140;140;2;;;;1431;181;;;;;1612;449;189;13;79;601;449;40;80;245;204;;;;;;;;;;;;;;;;
SMURSAMU;2022;130780521;APHM HOPITAL NORD;130786049;1;0;0;0;1;130783293;0;0;168;168;168;2;;;;1511;412;;;;;1923;513;183;5;81;636;513;43;74;374;139;;;;;;;;;;;;;;;;
SMURSAMU;2022;130783293;APHM HOPITAL LA TIMONE;130786049;1;1;0;0;0;;0;1;336;336;336;8;4;1;0;2584;756;290;127;428;;4185;987;324;13;89;1034;1034;85;141;753;281;861786;;786140;663671;749818;436337;107017;504;504;336;1512;0;7;;19027;0
SMURSAMU;2022;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;0;0;1;0;;0;0;168;168;168;2;;;;235;1085;;;;;1320;109;12;2;30;82;109;104;;101;8;;;;;;;;;;;;;;;;
SMURSAMU;2022;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;1;0;0;0;;0;0;168;168;0;1;1;0;0;481;1;0;0;0;0;482;108;93;2;13;0;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;140000209;CHU COTE DE NACRE - CAEN;140000100;1;1;0;1;0;;0;1;386;336;504;3;3;;;2801;1658;1111;23;21;0;5614;550;327;17;83;1281;2102;157;282;1447;655;326594;8412;318182;251336;196189;188900;76445;720;504;216;612;0;0;0;11500;0
SMURSAMU;2022;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;1;1;0;0;0;;0;0;168;175;175;2;3;;;303;11;;;;;314;105;49;5;6;45;232;18;45;146;86;;;;;;;;;;;;;;;;
SMURSAMU;2022;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;345;189;0;0;0;0;534;98;76;22;;;247;15;78;145;102;;;;;;;;;;;;;;;;
SMURSAMU;2022;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;1;1;0;0;0;140000092;0;0;168;168;168;;1;;;434;6;;;;;440;94;75;;19;;340;22;51;246;94;;;;;;;;;;;;;;;;
SMURSAMU;2022;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;1;1;0;0;0;;0;0;168;168;168;;1;;;505;48;;;;;553;111;56;;55;;394;25;67;245;149;;;;;;;;;;;;;;;;
SMURSAMU;2022;150000032;CH DE SAINT-FLOUR;150780088;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;346;76;0;0;0;0;422;191;64;3;17;101;263;35;92;203;60;;;;;;;;;;;;;;;;
SMURSAMU;2022;150000040;CH HENRI MONDOR;150780096;1;1;0;0;0;;0;1;232;232;232;2;2;1;0;1236;447;9;240;246;0;2178;411;115;14;66;216;820;35;150;730;90;98699;8484;88403;79018;63920;44100;9639;188;168;20;242;1;20;0;745;0
SMURSAMU;2022;150000164;CH DE MAURIAC;150780468;1;1;0;0;0;;0;0;48;35;35;;1;;;327;140;4;;;;471;95;32;12;14;37;232;;;138;94;;;;;;;;;;;;;;;;
SMURSAMU;2022;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;1;0;0;0;;0;1;336;336;336;3;3;0;0;1830;442;445;27;31;0;2775;635;261;63;76;245;1430;82;286;1333;97;197856;14469;179583;160861;101160;82295;50686;328;168;160;356;0;1;0;241;0
SMURSAMU;2022;160000303;CH HOPITAUX SUD-CHARENTE;160006037;1;1;0;0;0;;0;0;168;168;168;1;1;;;409;7;;;;;416;100;40;32;27;;299;;;156;143;;;;;;;;;;;;;;;;
SMURSAMU;2022;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;1;1;0;0;0;;0;0;168;160;8;1;1;;;382;76;;;;;458;141;45;;41;50;241;8;57;144;97;;;;;;;;;;;;;;;;
SMURSAMU;2022;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;1;1;0;0;0;;0;0;168;184;168;1;;;;547;2;0;1;0;0;550;176;87;8;19;57;426;26;106;190;236;;;;;;;;;;;;;;;;
SMURSAMU;2022;160015368;HOPITAUX DU GRAND COGNAC;160014411;1;1;0;0;0;;0;0;168;168;168;1;1;;;570;4;10;3;5;;592;158;79;2;50;26;426;55;420;297;129;;;;;;;;;;;;;;;;
SMURSAMU;2022;170000038;CENTRE HOSPITALIER JONZAC;170780050;1;1;0;0;0;;0;0;168;168;168;;2;;;505;26;;;;;531;200;80;5;25;90;298;35;28;154;144;;;;;;;;;;;;;;;;
SMURSAMU;2022;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;1;1;0;0;;0;1;353;353;353;3;3;;;1762;613;;170;28;8;2581;815;244;10;157;420;901;26;11;817;84;346947;21706;303804;228193;208550;176438;107612;487;217;269;741;0;1;1;2094;0
SMURSAMU;2022;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;1;1;0;0;0;;0;0;168;168;168;;;;;329;5;38;;;;372;76;45;1;25;5;257;29;61;158;99;;;;;;;;;;;;;;;;
SMURSAMU;2022;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;1;1;0;0;0;;0;0;336;336;336;2;1;;;830;715;;14;3;;1562;423;97;69;;260;678;;;632;46;;;;;;;;;;;;;;;;
SMURSAMU;2022;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;1;1;0;0;0;;0;0;168;168;168;;2;;;643;11;;;;;654;360;124;8;39;189;457;52;118;306;151;;;;;;;;;;;;;;;;
SMURSAMU;2022;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;1;0;0;0;;0;0;168;168;168;;2;;;919;;;;;;919;515;131;4;174;483;692;88;114;499;193;;;;;;;;;;;;;;;;
SMURSAMU;2022;170024590;CH ROCHEFORT - SITE ST PIERRE OLERON;170780225;1;0;0;0;1;170780225;1;0;168;168;168;;;;;188;;;;;;188;167;7;0;56;153;174;23;15;161;13;;;;;;;;;;;;;;;;
SMURSAMU;2022;180000010;CH BOURGES - JACQUES COEUR;180000028;1;1;0;0;0;;0;1;336;350;336;3;1;;;1670;380;283;;;;2333;653;216;12;155;257;919;42;44;909;10;;;184997;108816;128093;110359;10719;202;168;34;420;0;1;;2300;1
SMURSAMU;2022;180000200;CH DE VIERZON;180000051;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;560;63;1;;5;;629;221;98;33;30;90;342;;;292;50;;;;;;;;;;;;;;;;
SMURSAMU;2022;180000283;CH SAINT AMAND-MONTROND;180000069;1;1;0;0;0;;0;0;168;148;;;;;;565;43;0;;;;608;261;79;7;32;154;320;15;47;221;99;;;;;;;;;;;;;;;;
SMURSAMU;2022;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;1;0;0;0;;0;0;336;168;336;2;3;0;0;849;303;0;0;20;0;1172;83;54;0;29;0;332;48;242;0;0;;;;;;;;;;;;;;;;
SMURSAMU;2022;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;1;0;0;0;;0;1;168;168;168;1;2;0;0;527;219;376;0;0;0;1122;133;78;43;10;2;398;20;67;301;97;152323;0;142238;;87254;64771;31179;279;168;111;425;0;9;0;2443;
SMURSAMU;2022;190010892;CH TULLE - ANTENNE SMUR USSEL;190000059;1;0;0;0;1;190000059;0;0;168;170;170;1;2;0;0;335;151;8;0;0;0;494;;51;0;39;0;244;9;49;203;41;;;;;;;;;;;;;;;;
SMURSAMU;2022;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;1;0;1;0;;0;1;517;630;504;5;5;1;0;2846;1124;579;89;625;0;5263;236;114;107;99;245;791;99;98;507;284;440115;31329;394632;349511;247293;187585;66190;623;311;312;1200;0;0;0;9188;0
SMURSAMU;2022;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;1;0;0;0;;0;0;168;168;168;1;2;;;768;29;;;;;797;186;99;;87;;610;62;144;453;157;;;;;;;;;;;;;;;;
SMURSAMU;2022;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;1;1;0;0;0;;0;0;168;168;168;;1;;;272;;;;;;272;114;48;3;58;5;161;9;42;126;35;;;;;;;;;;;;;;;;
SMURSAMU;2022;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;1;1;0;0;0;;0;0;168;175;168;1;1;;;415;16;;;;;431;116;73;6;4;33;314;5;108;282;32;;;;;;;;;;;;;;;;
SMURSAMU;2022;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;1;0;0;0;;0;1;336;220;381;3;4;1;0;2088;653;329;401;197;0;3668;1037;242;8;56;693;1442;12;27;130;1312;284062;2877;271478;240576;151214;141340;83599;430;168;262;703;1;1;0;1500;0
SMURSAMU;2022;220000095;CTRE HOSPITALIER DINAN;220000046;1;1;0;0;0;;0;0;168;168;168;1;1;;;835;29;232;18;0;0;1114;208;98;0;48;68;643;43;117;403;240;;;;;;;;;;;;;;;;
SMURSAMU;2022;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;1;1;0;0;0;;0;0;11;11;11;;1;;;517;13;;;;;530;102;74;2;22;4;445;21;;323;122;;;;;;;;;;;;;;;;
SMURSAMU;2022;220000368;CENTRE HOSPITALIER LANNION;220000103;1;1;0;0;0;;0;0;168;168;86;;1;;;727;14;;;;;741;290;85;18;;187;437;;;397;40;;;;;;;;;;;;;;;;
SMURSAMU;2022;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;1;1;0;0;0;;0;0;168;168;168;;1;;;405;6;;;;;411;66;51;2;13;;339;23;57;228;111;;;;;;;;;;;;;;;;
SMURSAMU;2022;230000820;CENTRE HOSPITALIER GUERET;230780041;1;1;0;0;0;;0;1;168;168;120;1;3;0;0;671;321;86;0;0;0;1078;82;67;4;8;3;589;;;373;216;46240;0;46240;;46240;39388;6852;212;168;44;252;1;1;0;1102;0
SMURSAMU;2022;240000372;C.H DE BERGERAC;240000059;1;1;0;0;0;;0;0;168;168;168;;1;;;622;143;;;;;765;328;125;1;29;173;472;49;81;350;122;;;;;;;;;;;;;;;;
SMURSAMU;2022;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;1;0;0;0;;0;1;504;336;336;2;3;1;0;1680;524;289;294;262;0;3049;880;289;38;21;407;1498;95;223;851;647;229830;17648;201204;161557;143761;141481;75238;308;168;140;672;0;13;0;857;0
SMURSAMU;2022;240000687;CENTRE HOSPITALIER SARLAT;240000448;1;1;0;0;0;;0;0;168;168;168;;2;;;406;18;;;;;424;118;79;3;36;0;271;26;50;169;102;;;;;;;;;;;;;;;;
SMURSAMU;2022;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;1;1;0;0;0;;0;0;168;168;168;;2;;;901;157;;;;;1058;407;84;4;23;359;766;127;161;635;131;;;;;;;;;;;;;;;;
SMURSAMU;2022;250006954;CHRU JEAN MINJOZ;250000015;1;1;0;0;0;;0;1;504;504;504;2;4;1;0;3222;257;0;636;457;0;4572;1711;293;48;306;1064;3306;400;420;2979;327;660498;0;604476;515161;421435;288264;131275;771;455;316;1615;1;12;0;9922;0
SMURSAMU;2022;260000013;CH DE VALENCE;260000021;1;1;0;0;0;;0;1;336;336;336;2;2;1;0;1233;445;288;275;347;;2588;334;260;7;38;29;1330;134;137;973;357;441017;;357614;312705;176407;141126;72813;388;168;220;588;0;31;;1917;0
SMURSAMU;2022;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;1;1;0;0;0;;0;0;168;168;168;;2;;;940;44;;6;0;;990;235;140;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;1;0;0;0;;0;0;168;168;168;1;1;;;844;73;;;;;917;364;149;3;27;185;473;45;58;393;80;;;;;;;;;;;;;;;;
SMURSAMU;2022;270000045;CH BERNAY;270000060;1;1;0;0;0;;0;0;168;168;105;;;;;538;39;;;;;577;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2022;270000359;CH EVREUX CH EURE-SEINE;270023724;1;1;0;0;0;;0;1;336;336;336;1;3;0;0;1546;843;40;3;4;;2436;579;186;;21;509;1358;178;207;1047;311;335829;57484;278345;190354;178778;169262;54924;486;194;192;600;1;0;0;11481;0
SMURSAMU;2022;270000367;CH GISORS;270000086;1;1;0;0;0;;0;0;168;168;168;;1;;;721;39;;;;;760;421;73;3;75;270;285;30;76;120;165;;;;;;;;;;;;;;;;
SMURSAMU;2022;270000425;CH PONT-AUDEMER;270000102;1;1;0;0;0;;0;0;168;168;168;;2;;;695;;;;;;695;139;94;3;42;;553;;;241;312;;;;;;;;;;;;;;;;
SMURSAMU;2022;270000441;CH VERNEUIL-SUR-AVRE;270000110;1;1;0;0;0;;0;0;168;168;168;;;;;453;37;;;;;490;250;59;2;24;183;214;16;42;62;152;;;;;;;;;;;;;;;;
