BOR;AN;FI;RS;FI_EJ;PN_A1;PN_A2;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A24;PN_A25;PN_B25;PN_A26;PN_A27;PN_A28;PN_A29;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A60;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;0.49;0.18;1;1.32;98;0;1;1;0;;;;;;;;;0;;;0;;;1;1;1;12/02/2006;507;185;0;60;;;;2;1;4;3;;6;2;1.33;1.3;;3.24;1.62;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;0.25;0.04;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0.2;1;1.2;136;1;0;;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;;0.5;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;1;0.01;0;;;;;0;0;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;0.18;0.22;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1;10;66;2349;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010009702;USLD EMILE PELICAND;010780054;;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;15;8;5086;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010010171;CLINIQUE DE CHATILLON;010011559;0.1;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;0.08;0.1;0;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010780195;CLINIQUE CONVERT;010000156;0.5;;0;;;;;0;0;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.2;0;;;;0;;;;;0;;;;
PN;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0.1;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010780278;CENTRE DE REEDUCATION MANGINI;010783009;0.22;0.28;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;1;8;1;1;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;0.5;0.3;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010780492;CRF ROMANS-FERRARI;360000707;0.2;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;0.18;0.22;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;010789576;USLD;010780096;0.05;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000089;CH GUISE;020000022;0;0;1;1;16;0;0;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000097;CH LA FÈRE;020000048;0.8;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;0.33;0;0;;;;;0;0;;;;;;;;;0;;;0;;;1;1;1;01/07/2009;34;19;0;31;;;;1;1;2;;;;;0.12;;;0.05;0.05;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000162;CH SAINT-QUENTIN;020000063;5.45;1;1;0.5;117;0;1;1;0;;;;;;;;;0;;;0;;;1;1;1;01/01/2002;663;293;0;147;0;;;8;2;;;;7;1;;;;10.57;2.29;0;;;;1;14;20;4691;0;;;;1;12;1123;1;2.1;0;;;;1;228;143;10;0.8;0;;;;
PN;2022;020000246;CH VERVINS;020000071;0.33;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1;0.5;0;;;;;0;0;;;;;;;;;0;;;0;;;1;1;1;01/01/2007;330;129;1;41;3;3;;1;1;;;;;;0.2;0.2;;0.05;0.05;1;15;111;4873;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0.16;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000386;CLINIQUE DE LA ROSERAIE;020000600;0.16;0.04;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000394;CH LAON;020000253;1.8;0.5;1;2;173;0;0;0;1;;4486;76;969;;1010;640;;0;;;0;;;1;1;1;01/01/2005;67;67;0;3;;;;;;1;1;;2;2;0.04;0.04;;0.72;0.72;0;;;;0;;;;0;;;;1;19;1243;1;2.15;1;3.74;920;76;1;44;26;8;0.7;0;;;;
PN;2022;020000519;CH SOISSONS;020000261;2;1;1;1;108;0;1;0;0;;;;;;;;;0;;;0;;;1;1;1;01/06/2003;445;219;0;180;4;3;1;;;;;;;;0.5;0.4;0.1;;;0;;;;0;;;;0;;;;1;39;922;1;1;1;0.5;291;63;1;2737;491;15;4;0;;;;
PN;2022;020000535;CH CHAUNY;020000287;0.1;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;2;1;0.1;243;53;1;419;78;15;0.47;0;;;;
PN;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;0.2;0;1;1.05;112;0;1;1;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;1.3;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;1;5;0;1;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020001061;CH CHÂTEAU-THIERRY;020004404;1;0.1;1;0.67;101;1;1;0;1;020000295;518;161;889;2433;150;93;1;0;;;0;;;1;1;1;01/01/2017;148;85;0;30;;;;;;2;;2;4;1;0.4;;0.4;0.9;0.5;0;;;;0;;;;0;;;;1;22;27;0;;1;2.3;348;317;1;2012;206;6;2.2;0;;;;
PN;2022;020001087;CH HIRSON;020004495;0.33;0.2;1;1.25;;0;0;0;0;;;;;;;;;0;;;0;;;1;1;1;01/01/2010;137;73;0;45;;;;;;1;;;5;1;;;;;;0;;;;0;;;;0;;;;0;;;0;;1;0.7;128;49;1;1175;214;14;0.9;0;;;;
PN;2022;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;0.25;0.15;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020004297;HAD AMSAM SOISSONS;020005179;0.1;0.03;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;0;0;0;;;;;1;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;1;14;1123;0;;0;;;;1;1307;747;7;0.5;0;;;;
PN;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1.9;0.25;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;3;0;;;;0;;;;;0;;;;
PN;2022;020010310;SSR AURORE BUCY-LE-LONG;750719361;0.2;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;0.1;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;020016341;SSR RENAISSANCE SOISSONS;750814030;1;0.5;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;030000012;CH DE NERIS LES BAINS;030780100;0.3;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;030000061;CH DE MOULINS;030780092;3.18;0.7;1;0.9;171;1;0;0;1;;1364;141;1023;1023;602;647;2;0;;;0;;;1;1;1;16/12/2005;460;236;1;65;0;0;;3;2;2;2;;0;0;0.48;0.48;;1.76;0.76;0;;;;1;15;6;5431;0;;;;1;30;2676;1;3.11;1;2.16;243;0;1;1230;518;30;2.16;1;21;0;0;0
PN;2022;030000079;CH DE MONTLUCON;030780100;3.1;1;1;0.8;245;0;1;1;1;;631;163;98;98;42;70;1;0;;;0;;;1;1;1;14/04/2011;245;187;0;60;1;1;;3;2;;;;;;0.1;0.1;;1.5;1;0;;;;0;;;;0;;;;1;11;1384;1;1.5;1;1.5;218;22;1;1440;366;14;2.81;0;;;;
PN;2022;030000087;CH JACQUES LACARIN VICHY;030780118;2.14;1.93;1;1;482;0;1;1;0;;;;;;;;;0;;;0;;;1;2;1;31/12/2010;848;643;1;60;4;3;;5;0;;;;2;1;0.71;0.61;;5.17;0.88;1;10;97;3508;0;;;;0;;;;1;12;1011;1;0.3;0;;;;1;4238;1265;31;1.02;0;;;;
PN;2022;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;0.4;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;0.8;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;115;28;;0.2;0;;;;
PN;2022;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.15;0;;;;0;;;;;0;;;;
PN;2022;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;0.2;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0;0;;;;0;;;;;0;;;;
PN;2022;030780548;POLYCLINIQUE LA PERGOLA;030000194;0.6;0.13;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;1;0;;;;0;;;;;0;;;;
PN;2022;030785430;POLYCLINIQUE SAINT-ODILON;030009088;1;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.5;0;;;;0;;;;;0;;;;
PN;2022;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;0.04;;0;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;3.25;0.3;1;1.7;285;0;0;0;0;;;;;;;;;0;;;0;;;1;1;0;;316;248;1;180;;;;;;1;;;1;1;;;;;;0;;;;0;;;;0;;;;0;;;1;0.5;0;;;;0;;;;;0;;;;
PN;2022;040000119;EPS LUMIERE DE RIEZ;040780231;0;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;0.2;1;1.35;756;0;0;1;1;;286;2;165;165;73;112;1;0;;;0;;;1;1;1;05/07/2012;459;176;0;270;;;;1;1;2;2;;5;0;0.53;0.53;;2.24;1;0;;;;0;;;;0;;;;0;;;1;1.05;1;2.05;345;93;1;1260;389;3;1.56;0;;;;
PN;2022;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;0.4;0.11;0;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;040780405;CENTRE DES CARMES;040000168;;;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;14;4;5110;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;040780470;CLINIQUE TOUTES AURES;040000192;0.5;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;0.35;0.12;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;040780520;KORIAN LE VERDON;750056335;0.35;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;0.1;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1;10;38;2105;0;;;;1;4;0;1;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;0.1;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;0.2;0.08;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;0.2;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050000066;CENTRE MEDICAL LA SOURCE;050000082;0.01;0.3;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;0.2;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;1;1;1;01/01/2007;1400;60;1;20;5;;5;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.1;0;;;;0;;;;;0;;;;
PN;2022;050000132;CH BUECH DURANCE;050007145;0.7;0.7;1;2.03;114;0;1;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;1;1.89;263;;1;462;134;;0.2;0;;;;
PN;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;0.8;0.2;1;2.65;1040;1;0;0;0;;;;;;;;;0;;;0;;;1;1;0;;;;;;1;;;;;;;;;;0.2;;;;;0;;;;0;;;;0;;;;1;2;171;1;0.2;1;1.5;;;1;755;220;;0.5;0;;;;
PN;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;0.5;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;152;64;15;0;0;;;;
PN;2022;050000298;LA GUISANE;050000496;0.55;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1.8;1;1;2.24;641;1;;;1;;927;63;;;59;152;1;0;;;0;;;1;1;1;01/01/2012;1338;737;1;36;0;;;5;2;1;;;3;2;0.5;;;3.03;1.96;1;10;71;2972;1;12;6;3973;0;;;;1;21;1646;1;2.65;1;1.44;707;180;1;1545;355;30;1.86;0;;;;
PN;2022;050000454;LE FUTUR ANTERIEUR;050000645;0.13;0.04;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050000488;LES ACACIAS CTRE MALADIES RESP ALLERG;050000678;0.22;0.11;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050000637;CLINIQUE MONTJOY;050001163;0.2;0.1;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050000991;CENTRE MEDICAL CHANTOURS;050000546;0.5;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;2745;506;15;4.98;0;;;;
PN;2022;050001064;CENTRE MEDICAL LA DURANCE;050000561;0.05;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;050002351;CENTRE RHONE AZUR GAP;130037815;0.2;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;060000296;LA MAISON DU MINEUR;060780640;0.06;0.06;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;0.08;0.04;0;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1.9;1;1;2.3;414;1;0;1;1;;4173;100;1458;1458;3035;1392;3;0;;;0;;;1;1;1;;620;361;1;90;;;;1;1;1;1;;1;1;0.5;0.5;0;1.75;1.75;0;;;;0;;;;0;;;;1;3;1000;1;1;1;1.5;475;193;1;6094;497;10;5.2;1;117;;0.2;
PN;2022;060000494;CH SAINT LAZARE DE TENDE;060780921;0.1;0.1;0;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;2.8;0.5;1;1.3;207;0;0;0;0;;;;;;;;;0;;;0;;;1;1;1;20/12/2012;445;150;1;120;1;1;;2;1;;;;2;1;0.5;0.5;;2.88;1.3;0;;;;0;;;;0;;;;0;;;1;3.3;1;4.8;521;340;1;1675;435;40;0.9;0;;;;
