BOR;AN;FI;RS;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;964;2184;1;IAOMAO;96571;14536;1965;17413;5446;41;61;1;2;0;0;0;4669;1772;15;;19;6935;11031;6309;4827;1;1
URGENCES2;2022;070000013;CH DE PRIVAS ARDECHE;070002878;GEN;168;84;1;IAO;14050;1803;2246;1858;803;17;29;22;0;0;0;0;313;10;34;;5;1825;1918;683;1487;1;1
URGENCES2;2022;070000179;CH ARDECHE NORD;070780358;GEN;476;336;1;IAO;34235;3606;10531;10777;2729;1250;;;;;;;;;;;14;5110;8197;3653;5749;1;1
URGENCES2;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;GEN;420;490;1;IAO;29019;4074;5875;;;;;;;;;;;;;;10;3650;5243;1746;4886;;
URGENCES2;2022;070780424;CLINIQUE PASTEUR;070000245;GEN;168;331;1;IAO;15330;903;2170;845;163;10;;;;;;;;;;;2;730;244;66;182;1;1
URGENCES2;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;GEN;156;453;1;IAO;18355;1959;4174;1100;239;517;;;;;;;;;;;3;1095;3748;2202;1721;1;0
URGENCES2;2022;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;GEN;336;336;1;IAO;13633;1539;2983;1491;556;30;8;6;0;;;0;71;9;15;;6;2190;1678;770;956;1;0
URGENCES2;2022;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;GEN;168;252;0;;6792;931;1430;566;320;1;14;14;;;;;157;25;22;;2;730;1456;1051;422;1;1
URGENCES2;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;GEN;348;1092;1;IAO;57197;5459;16152;3512;686;948;;;;;;;;;;;14;5110;8030;4868;3447;1;1
URGENCES2;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;GEN;742;826;1;IAOMAO;38058;4938;7668;9932;2644;850;0;0;0;0;0;0;34;5;5;;8;2920;5488;2782;2757;0;1
URGENCES2;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;GEN;336;336;0;;10433;2215;1821;2399;;;;;;;;;;;;;3;1095;1148;585;580;1;1
URGENCES2;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;GEN;908;1410;1;IAO;58530;6420;15551;11569;3024;2007;;;;;;;2789;404;367;;16;7300;4506;1209;5674;1;1
URGENCES2;2022;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;GEN;168;225;1;IAO;18843;3520;3944;2485;1417;24;0;0;0;0;0;0;396;126;51;;4;1095;574;246;356;1;
URGENCES2;2022;110000023;CH CARCASSONNE;110780061;GEN;366;840;1;IAOMAO;35680;5347;8261;7901;2388;1191;;;;;;;393;76;78;;9;2943;4130;1530;2732;0;1
URGENCES2;2022;110000049;CH JP CASSABEL;110780087;GEN;168;252;;;11553;777;3071;;;;;;;;;;;;;;2;;1593;934;688;;
URGENCES2;2022;110000056;CH NARBONNE;110780137;GEN;287;756;1;IAO;47530;5190;14072;10182;3261;1274;;;;;;;1194;426;84;;9;3285;8271;4865;3672;1;0
URGENCES2;2022;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;GEN;168;400;1;IAO;18433;1550;3288;3735;785;94;;;;;;;;;;;6;2190;1681;1166;530;1;1
URGENCES2;2022;110780483;POLYCL MONTREAL CARCASSONNE;110000155;GEN;168;324;1;IAO;20944;1518;3000;1752;493;92;;;;;;;93;22;15;;4;1460;1658;1507;154;1;1
URGENCES2;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;GEN;336;332;1;IAO;31672;4988;7555;7691;2729;891;43;1;41;0;0;0;2019;983;74;;6;2190;2602;848;1924;1;1
URGENCES2;2022;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;GEN;186;186;1;IAO;13739;1864;2415;3098;976;90;;;;;;;;;;;2;730;836;542;302;1;0
URGENCES2;2022;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;GEN;195;336;1;IAO;10883;1676;2060;1365;645;7;10;7;0;0;;;0;;;;2;730;670;251;479;;
URGENCES2;2022;120004569;CH MILLAU;120004528;GEN;168;252;1;IAO;15670;2333;2987;2638;809;80;97;108;;;0;;702;363;;;3;1095;967;283;699;0;1
URGENCES2;2022;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;GEN;168;172;1;IAO;9343;1371;2005;1843;712;83;0;0;0;0;0;0;170;35;38;;2;730;1061;552;545;1;1
URGENCES2;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;GEN;784;1424;1;IAO;66047;8310;21634;13802;4408;2588;772;26;6;0;;;244;53;49;;7;2555;8399;4363;4432;1;1
URGENCES2;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;GEN;258;588;1;IAO;41907;3673;16827;7618;2322;1453;90;69;;25;11;;1414;578;99;;8;2920;3445;1703;1843;1;1
URGENCES2;2022;130001225;HOPITAL DU PAYS SALONAIS;130782634;GEN;504;568;1;IAO;41624;4920;11852;10072;3192;1333;;;;;;;;;;;6;2190;4924;1163;4023;1;1
URGENCES2;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;GEN;171;441;1;IAO;26007;3576;3719;2745;1264;20;0;0;0;12;6;0;798;83;73;;4;1460;2863;1717;1172;1;1
URGENCES2;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;GEN;308;588;1;IAO;38362;3901;7193;;;;;;;;;;;;;;4;1460;5360;3072;2377;1;1
URGENCES2;2022;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;GEN;588;11475;1;IAO;51043;4634;15547;1514;23;1255;726;216;7;;;;1319;384;56;;8;2920;9469;4201;5670;1;1
URGENCES2;2022;130043664;HOPITAL EUROPEEN;130002157;GEN;504;1116;1;IAO;38909;2788;589;5014;1079;21;;;;;;;700;154;10;;6;;2679;1546;1155;1;1
URGENCES2;2022;130780521;APHM HOPITAL NORD;130786049;GEN;789;2049;1;IAO;113596;6075;42137;7156;955;2843;;;;;;;;;;;20;7290;11387;7079;5035;1;1
URGENCES2;2022;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;GEN;252;420;1;IAO;14277;1957;1041;3137;994;25;4;2;0;0;0;0;44;8;1;;4;;20;17;3;1;1
URGENCES2;2022;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;GEN;168;257;;IAO;12169;695;2299;99;40;1;1;1;0;6;3;0;116;16;7;;6;;373;178;210;;
URGENCES2;2022;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;GEN;336;630;1;IAO;27745;3041;2958;;;;;;;;;;;;;;6;2190;1336;547;833;1;1
URGENCES2;2022;130783293;APHM HOPITAL LA TIMONE;130786049;GEN;1060;2100;1;IAO;88951;9480;2815;6767;1285;118;;;;;;;;;;;19;10483;17218;9454;9558;1;
URGENCES2;2022;130784713;HP MARSEILLE BEAUREGARD VERT COTEAU;130038847;GEN;168;504;1;IAO;12933;1852;465;2185;652;34;;;;;;;720;320;10;;4;;0;0;0;0;1
URGENCES2;2022;130785652;HOPITAL SAINT JOSEPH;130014228;GEN;840;981;1;IAO;69507;7015;28819;13516;4067;3326;;;;;;;;;;;11;;5481;2827;2882;1;1
URGENCES2;2022;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130002447;GEN;280;672;0;IAO;23765;2678;2567;4944;1426;86;;;;;;;155;29;3;;3;;393;61;337;1;1
URGENCES2;2022;130786742;HIA LAVERAN;750821092;GEN;336;667;1;IAO;23616;3970;668;3638;1525;36;47;;;;;;;;;;10;3650;4014;1653;2547;1;1
URGENCES2;2022;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;PED;206;1104;1;IAO;42816;;;;;;;;;;;;;;;4508;8;2912;1520;411;1179;;
URGENCES2;2022;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;GEN;504;574;1;IAO;37417;1420;18391;6179;629;1799;;;;;;;;;;;9;3258;4806;3115;1785;1;1
URGENCES2;2022;140000209;CHU COTE DE NACRE - CAEN;140000100;GEN;646;1428;1;IAO;56284;7978;881;12227;4736;278;493;11;16;0;0;0;1004;115;13;;13;4745;12938;4953;10568;1;1
URGENCES2;2022;140000209;CHU COTE DE NACRE - CAEN;140000100;PED;288;588;1;IAO;29661;;;;;;;;;;;;;;;3902;3;1095;1992;1216;790;;
URGENCES2;2022;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;GEN;168;246;1;IAO;17277;2016;6144;4389;1159;1307;1;;;;;;;;;;2;730;1678;824;928;1;0
URGENCES2;2022;140000373;CENTRE HOSPITALIER DE VIRE;140000159;GEN;168;252;1;IAO;10711;1986;1291;3116;1355;17;7;3;0;8;7;0;397;;;;2;730;2263;594;1933;1;1
URGENCES2;2022;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;GEN;168;672;1;IAO;22182;1292;3306;1527;367;22;0;;;0;;;78;4;4;;6;1825;678;467;230;1;1
URGENCES2;2022;140017237;HOPITAL PRIVE ST MARTIN-CAEN;140003278;GEN;250;458;1;IAO;26224;2693;4110;2965;756;59;;;;;;;168;36;18;;5;1825;177;40;158;1;0
URGENCES2;2022;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;GEN;188;420;1;IAO;21237;2891;5100;4752;1600;631;75;11;0;0;0;0;166;35;2;;4;1460;2303;1197;1199;1;0
URGENCES2;2022;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;GEN;420;566;1;IAO;18413;2773;1949;;;;;;;;;;;;;;5;1825;2623;744;2438;0;1
URGENCES2;2022;150000032;CH DE SAINT-FLOUR;150780088;GEN;168;168;1;IAO;13573;1889;2523;2469;967;29;113;1;9;0;0;0;317;72;72;;0;0;;;;1;1
URGENCES2;2022;150000040;CH HENRI MONDOR;150780096;GEN;232;532;1;IAO;26141;3676;4206;6338;2188;538;525;34;29;;;;;;;;6;2190;1659;263;1619;1;1
URGENCES2;2022;150000164;CH DE MAURIAC;150780468;GEN;48;35;0;;8616;1232;1887;1580;592;14;;;;;;;;;;;6;2190;1592;517;1115;0;0
URGENCES2;2022;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;GEN;602;1596;1;IAOMAO;58610;6223;17522;6160;1692;1110;24;19;0;;;;916;125;108;;16;5840;4956;2806;2349;1;0
URGENCES2;2022;160000303;CH HOPITAUX SUD-CHARENTE;160006037;GEN;168;252;1;IAO;9178;1528;1520;1912;;;;;;;;;;;;;2;730;219;206;17;1;1
URGENCES2;2022;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;GEN;168;207;1;IAO;11272;1745;2185;1490;721;20;30;25;0;;;;534;81;59;;2;730;1024;1024;0;1;0
URGENCES2;2022;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;GEN;168;168;0;;10283;1692;1733;2347;938;36;15;12;0;0;0;0;58;12;11;;2;730;1016;866;170;1;0
URGENCES2;2022;160015368;HOPITAUX DU GRAND COGNAC;160014411;GEN;84;140;1;IAO;15662;2277;1995;4383;1391;85;;;;;;;;;;;7;2555;3950;1655;2665;1;1
URGENCES2;2022;170000038;CENTRE HOSPITALIER JONZAC;170780050;GEN;218;168;1;IAO;12776;2345;1776;2158;1086;36;21;1;1;;;;223;28;22;;4;1460;1448;249;1387;1;1
URGENCES2;2022;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;GEN;643;1296;1;IAO;52814;7266;13688;13281;4030;2254;867;22;25;0;0;0;258;19;70;;15;4815;4742;1423;3658;1;1
URGENCES2;2022;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;GEN;168;147;1;IAO;10552;1956;1160;1053;559;1;12;7;0;0;0;0;436;79;35;;3;1092;1357;253;1504;1;1
URGENCES2;2022;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;GEN;804;1344;1;IAO;42594;4285;13107;7640;1829;1924;224;4;0;9;1;1;225;32;37;;13;4745;4129;856;4138;1;1
URGENCES2;2022;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;GEN;406;1008;1;IAO;36592;4931;10447;9014;2980;1120;17;2;0;0;0;0;471;44;60;;9;3285;3550;661;3373;0;1
URGENCES2;2022;170022065;GCS URGENCES PAYS ROYANNAIS - ROYAN;170022057;GEN;336;672;1;IAO;18848;4251;1300;;;;;;;;;;3832;1561;10;;2;730;582;74;878;0;0
URGENCES2;2022;170022818;GCS URGENCES PAYS ROYANNAIS -STGEORGES;170022057;GEN;84;98;1;IAO;5536;539;1012;;;;;;;;;;211;50;10;;;;;;;1;
URGENCES2;2022;170022826;GCS URGENCES PAYS ROYANNAIS - PASTEUR;170022057;GEN;84;196;1;IAO;9223;1380;1323;;;;;;;;;;2023;362;79;;;;;;;;
URGENCES2;2022;180000010;CH BOURGES - JACQUES COEUR;180000028;GEN;616;1106;1;IAOMAO;50751;9335;11296;11456;2813;1537;;;;;;;;;;;13;4745;6203;2882;4123;1;1
URGENCES2;2022;180000200;CH DE VIERZON;180000051;GEN;238;270;1;IAOMAO;20867;2836;5729;20867;;;;;;;;;;;;;4;1460;3990;1379;2979;;
URGENCES2;2022;180000283;CH SAINT AMAND-MONTROND;180000069;GEN;168;241;1;IAO;13548;2415;2400;1963;1137;0;4;4;;;;;755;148;97;;5;1825;2143;699;1634;1;1
URGENCES2;2022;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;GEN;288;742;1;IAO;40465;6154;8624;11022;3815;1179;498;0;0;0;0;0;0;0;0;;9;3285;2539;694;2113;1;1
URGENCES2;2022;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;GEN;487;640;1;IAO;22607;3494;5689;5894;;;357;;;;;;;;;;6;2190;1714;263;1508;1;1
URGENCES2;2022;190000091;CENTRE HOSPITALIER D'USSEL;190000075;GEN;168;168;1;IAO;13711;2168;2214;2854;1234;37;7;5;0;;;;;;;;1;365;431;148;286;1;1
URGENCES2;2022;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;GEN;252;672;1;IAO;36528;6591;12441;;;;;;;;;;;;;;6;2190;2796;1292;1858;1;1
URGENCES2;2022;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;GEN;574;1330;1;IAO;48998;7905;31;12798;3484;10;0;0;0;0;0;0;1135;153;0;;9;3285;3908;2025;1907;1;1
URGENCES2;2022;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;PED;188;1030;1;IAO;23645;;;;;;;;;;;;;;;3742;7;2555;3495;2209;1362;;
URGENCES2;2022;210987657;HOSPICES CIVILS DE BEAUNE;210012175;GEN;211;756;1;IAO;19990;3019;5078;5437;1840;740;6;4;;;;;75;54;21;;6;2190;2151;989;1231;1;1
URGENCES2;2022;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;GEN;336;420;1;IAO;12243;;;;;;;;;;;;;;;;3;1095;1395;1144;258;0;0
URGENCES2;2022;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;GEN;406;609;1;IAO;23472;2922;5811;3516;1157;355;260;8;4;;;;368;146;51;;6;2190;2367;1142;1260;1;0
URGENCES2;2022;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;GEN;818;1323;1;IAO;76734;8338;23587;19608;5308;3364;0;0;0;0;0;0;4;0;3;;17;6205;5040;1923;4137;1;1
URGENCES2;2022;220000095;CTRE HOSPITALIER DINAN;220000046;GEN;406;568;1;IAO;28930;4451;6090;9418;3204;663;;;;;;;277;47;22;;8;2920;6396;3406;3699;0;1
URGENCES2;2022;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;GEN;420;653;1;IAO;21897;3319;5052;5837;2242;128;19;19;0;0;0;0;216;34;159;;7;2555;2865;1289;1659;1;1
URGENCES2;2022;220000368;CENTRE HOSPITALIER LANNION;220000103;GEN;252;571;1;IAO;24530;3796;4494;5983;2166;510;;;;;;;124;13;14;;6;2190;3789;1299;2986;;
URGENCES2;2022;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;GEN;336;252;1;IAO;15215;2441;2704;2741;1264;1;8;3;0;;;;843;123;142;;4;1460;1048;633;422;1;1
URGENCES2;2022;230000820;CENTRE HOSPITALIER GUERET;230780041;GEN;168;672;1;IAO;19586;3235;3505;5469;1767;415;17;12;0;;;;;;;;6;2190;2204;563;1865;1;1
URGENCES2;2022;230004657;SITE CROIX BLANCHE;230780058;GEN;168;168;1;IAO;6645;1916;995;;;;;;;;;;;;;;2;732;1048;358;766;1;1
URGENCES2;2022;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;GEN;168;285;1;IAO;12974;2082;1292;2008;;;;;;;;;124;;;;4;1460;1002;772;230;1;1
URGENCES2;2022;240000372;C.H DE BERGERAC;240000059;GEN;336;574;1;IAO;29511;4002;6422;7640;;;;;;;;;825;;;;8;2920;5720;2738;3662;1;1
URGENCES2;2022;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;GEN;420;840;1;IAO;46630;5660;13306;8918;3950;1849;210;;;4;;;;;;;16;5840;8688;3256;6258;0;1
URGENCES2;2022;240000687;CENTRE HOSPITALIER SARLAT;240000448;GEN;168;420;1;IAO;12331;2142;2416;2398;1076;37;145;37;0;0;0;0;566;109;114;;6;2190;1620;364;1406;;
URGENCES2;2022;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;GEN;259;486;1;IAO;30339;2616;8416;;;;;;;;;;;;;;6;2190;1758;533;1532;1;1
URGENCES2;2022;250006954;CHRU JEAN MINJOZ;250000015;GEN;1145;2275;1;IAO;68385;9367;1325;;;;;;;;;;;;;;4;1219;6364;3570;2942;1;1
URGENCES2;2022;250006954;CHRU JEAN MINJOZ;250000015;PED;192;536;1;IAO;21293;;;;;;;;;;;;;;;2578;4;1460;1130;253;1003;;
URGENCES2;2022;260000013;CH DE VALENCE;260000021;GEN;668;1568;1;IAO;68906;6471;19423;18396;3611;2643;;;;;;;;;;;8;2920;6773;3067;4880;0;1
URGENCES2;2022;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;GEN;420;553;1;IAO;33669;4635;7741;6667;2221;1006;;;;;;;;;;;7;1996;1074;77;1500;1;1
URGENCES2;2022;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;GEN;393;1269;1;IAO;54020;5028;16275;7763;1923;2049;20;15;0;9;4;0;710;117;16;;13;4745;5577;1247;4893;1;1
URGENCES2;2022;260000146;CH DE CREST;260000054;GEN;168;174;0;;11446;627;2580;912;;;;;;;;;38;;;;2;730;361;110;271;1;
URGENCES2;2022;260000203;HOPITAUX DROME NORD - SAINT-VALLIER;260016910;GEN;81;84;0;;8432;486;2277;282;107;7;;;;;;;;;;;0;0;0;0;0;;
URGENCES2;2022;260000286;CH DE DIE;260000104;GEN;168;168;0;;6745;665;1606;914;309;5;0;0;0;0;0;0;;;;;2;730;778;495;328;0;1
URGENCES2;2022;270000045;CH BERNAY;270000060;GEN;168;336;1;IAO;16969;;;;;;;;;;;;;;;;4;;1444;256;1514;;
URGENCES2;2022;270000326;HOPITAL PRIVE PASTEUR EVREUX;270000680;GEN;216;432;1;IAO;26999;2862;3963;850;90;124;;;;;;;;;;;4;;4;2;2;1;1
URGENCES2;2022;270000359;CH EVREUX CH EURE-SEINE;270023724;GEN;777;1226;1;IAO;68954;4085;28342;8996;1935;1986;0;0;0;;;0;;;0;;7;2580;1966;389;2299;1;1
URGENCES2;2022;270000367;CH GISORS;270000086;GEN;168;168;1;IAO;16670;1732;3203;;;;;;;;;;;;;;3;1095;1168;288;1011;1;1
URGENCES2;2022;270000391;CH LOUVIERS CHI ELBEUF;760024042;GEN;168;308;1;IAO;16326;724;4613;319;177;;;;;;;;386;69;26;;1;365;112;95;17;1;1
URGENCES2;2022;270000425;CH PONT-AUDEMER;270000102;GEN;168;168;1;;18227;;;;;;;;;;;;;;;;5;;2310;1329;1039;0;0
URGENCES2;2022;270000441;CH VERNEUIL-SUR-AVRE;270000110;GEN;168;168;1;IAO;14677;1599;3355;783;;;36;;;0;;;253;;;;4;1460;817;125;846;0;0
URGENCES2;2022;270000458;CH VERNON CH EURE-SEINE;270023724;GEN;406;504;1;IAO;25109;2479;3821;3413;1032;63;5;3;0;;;;;;;;4;1460;1219;253;1145;1;0
URGENCES2;2022;280000084;CH DREUX;280000183;GEN;808;1263;;;59832;4973;22699;9350;2853;1262;152;3;0;0;0;0;0;0;0;;11;4015;2770;518;2496;0;0
URGENCES2;2022;280000662;CH CHATEAUDUN;280500075;GEN;366;756;1;IAO;16003;2500;2919;;;;;;;;;;;;;;4;1460;2419;949;1691;0;0
URGENCES2;2022;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;GEN;168;168;1;IAO;15063;2745;2450;2886;1275;36;;;;;;;;;;;3;1095;1545;674;960;1;1
