BOR;AN;FI;RS;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFLIB_PM;ETPSAL_PM;GAR_PM;AST_PM;EFFLIB_NEU;ETPSAL_NEU;GAR_NEU;AST_NEU;EFFLIB_PNM;ETPSAL_PNM
MCOAVC;2022;250006954;CHRU JEAN MINJOZ;250000015;1;24;721;8203;0;3.66;1;0;0;3.16;1;0;0;43.42
MCOAVC;2022;260000013;CH DE VALENCE;260000021;1;20;906;6013;;2.09;1;0;;2.09;1;0;;31.02
MCOAVC;2022;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;14;475;3111;0;5.3;0;1;0;5.3;0;1;0;33.76
MCOAVC;2022;280000084;CH DREUX;280000183;1;4;210;823;;0.87;0;;;0.87;;;;6.34
MCOAVC;2022;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;16;507;4371;0;1.69;0;1;0;1.69;0;1;0;20.99
MCOAVC;2022;290000025;CHIC QUIMPER;290020700;1;6;580;2041;;5.18;0;1;;5.18;0;1;;12.12
MCOAVC;2022;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;22;992;7634;;;;;;;;;;12.94
MCOAVC;2022;2A0000022;CH ND LA MISERICORDE;2A0000014;1;9;766;3258;;0.2;0;1;;0.2;0;1;;11.35
MCOAVC;2022;300782117;CHU NIMES CAREMEAU;300780038;1;12;1013;3983;;11.85;1;0;;11.54;1;0;;36.81
MCOAVC;2022;310781000;CL DES CEDRES CORNEBARRIEU;310788880;1;15;365;3408;5;;0;1;5;;0;1;;11.42
MCOAVC;2022;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;1;69;2523;19978;;;1;1;;;1;1;;106.86
MCOAVC;2022;320000086;CH AUCH EN GASCOGNE;320780117;1;14;994;4253;;0.3;0;0;;0.3;0;0;;14.02
MCOAVC;2022;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;1;12;449;3272;;2;0;1;;1;0;1;;15.55
MCOAVC;2022;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;17;449;3636;0;1.32;0;1;0;1.32;0;1;;5.25
MCOAVC;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1;48;1444;13675;;9.6;1;1;;7;1;1;;79.26
MCOAVC;2022;340000033;CH BEZIERS;340780055;1;26;975;8620;;1.1;;1;;1.1;;1;;21.37
MCOAVC;2022;340015502;CL DU MILLENAIRE MONTPELLIER;340000512;1;16;619;3978;10;;0;1;7;;0;1;;21.64
MCOAVC;2022;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;340780477;1;16;1295;5564;;0.93;1;1;;0.78;1;0;;43.92
MCOAVC;2022;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;1;14;858;5185;;1.51;0;1;;1.51;0;1;;28.4
MCOAVC;2022;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;26;1103;8302;;3.39;;;;3.39;;;;54.6
MCOAVC;2022;370000861;CHRU BRETONNEAU - TOURS;370000481;1;30;1689;9920;;8;;;;8;;;;52.19
MCOAVC;2022;380000067;HOPITAL NORD - CHU38;380780080;1;27;1172;8587;;5.16;1;0;;5.16;1;0;;45.67
MCOAVC;2022;380000174;CH LUCIEN HUSSEL DE VIENNE;380781435;1;8;433;2598;;1.75;0;1;;1.75;0;1;;4.8
MCOAVC;2022;390000040;CH LONS;390780146;1;3;340;740;;0.06;0;1;;0.06;0;1;;7.35
MCOAVC;2022;400000105;CENTRE HOSPITALIER DAX;400780193;1;16;640;5386;;0.9;0;1;;0.9;0;1;;24.88
MCOAVC;2022;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;1;13;472;3871;0;0.94;0;1;0;0.94;0;1;;22.72
MCOAVC;2022;420000010;CH DE ROANNE;420780033;1;16;533;3915;0;3.13;0;1;0;2.03;0;1;;25.72
MCOAVC;2022;420785354;HOPITAL NORD - CHU42;420784878;1;21;540;6969;;3.36;1;0;;2.14;1;0;;34.06
MCOAVC;2022;430000117;CH EMILE ROUX LE PUY;430000018;1;11;548;3150;0;0.21;0;1;0;0.21;0;1;0;4.3
MCOAVC;2022;440000016;CH DE SAINT NAZAIRE;440000057;1;14;624;4922;;0.42;0;1;;0.42;0;1;;19.28
MCOAVC;2022;440017598;CHU DE NANTES SITE LAENNEC;440000289;1;23;1261;8031;;;;;;;;;;33.66
MCOAVC;2022;450002613;CHR ORLÉANS - HÔPITAL DE LA SOURCE;450000088;1;18;778;5496;;4.5;0;1;;2.9;0;1;;33.7
MCOAVC;2022;460000110;CH JEAN ROUGIER CAHORS;460780216;1;12;372;2765;0;2;0;1;0;2;0;1;0;22.1
MCOAVC;2022;470000423;CH AGEN NERAC - HOPITAL SAINT-ESPRIT;470016171;1;18;705;4653;0;4.35;0;1;0;4.35;0;1;0;24.68
MCOAVC;2022;490000049;CHR ANGERS SITE LARREY;490000031;1;25;1211;8324;;3.38;0;0;;3.3;1;0;;38.81
MCOAVC;2022;500000187;CHPC - SITE CHERBOURG;500000013;1;18;792;5802;;3.7;;;;3.7;;;;20.5
MCOAVC;2022;500000450;CH MEMORIAL - SAINT-LO;500000112;1;16;606;5178;;1.36;0;1;;1.36;0;1;;
MCOAVC;2022;510004302;HOPITAL MAISON BLANCHE CHU REIMS;510000029;1;15;1116;6829;;1.15;0;1;;1.15;0;1;0;26.06
MCOAVC;2022;540001138;CHRU NANCY - HOPITAL CENTRAL;540023264;1;36;1207;9154;;1.29;1;1;;1.29;1;1;;43.78
MCOAVC;2022;550000012;CH VERDUN/ST MIHIEL-HOP ST NICOLAS;550006795;1;9;294;2544;;1.77;0;1;;;;;;7
MCOAVC;2022;550000434;CH BLD FV SITE BLD;550003354;1;16;422;3239;;3.83;0;1;;0.2;0;0;;14.07
MCOAVC;2022;560000127;CHBA SITE DE VANNES;560023210;1;22;1045;7186;;2;1;0;;2;1;0;;59.07
MCOAVC;2022;560000135;GHBS- HÔPITAL DU SCORFF;560005746;1;18;767;6931;;2.79;0;1;;2.79;0;1;;27.78
MCOAVC;2022;560000143;CHCB- SITE KÉRIO;560014748;1;15;494;4247;1;3;1;0;1;3;1;0;;38.35
MCOAVC;2022;570000059;CH MARIE-MADELEINE DE FORBACH;570025254;1;18;496;3833;;4.13;0;1;;4.13;0;1;;25.2
MCOAVC;2022;570000349;HOPITAL BEL AIR DE THIONVILLE - CHR;570005165;1;12;346;3708;;1.23;0;1;;1.23;0;1;;11.83
MCOAVC;2022;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;1;31;1245;10468;;3.6;0;1;;3.6;0;1;;
MCOAVC;2022;590000337;CH DUNKERQUE;590781415;1;16;858;4787;0;2.6;0;1;0;2.6;0;1;0;27.95
MCOAVC;2022;590000535;CH DE MAUBEUGE MCO;590781803;1;16;595;4506;;1.83;1;0;;1.83;1;0;;12.83
MCOAVC;2022;590000618;CH VALENCIENNES;590782215;1;27;1455;8401;;3;;;;3;;;;41.55
MCOAVC;2022;590780284;GCS GHICL HÔPITAL ST PHILIBERT;590051801;1;20;526;4876;;5.24;0;1;;5.24;0;1;;23.23
MCOAVC;2022;590796975;HOP SALENGRO - HOPITAL B CHR LILLE;590780193;1;46;1481;11447;;3.94;;;;3.94;;;;90.61
MCOAVC;2022;590801106;HOPITAL VICTOR PROVO;590782421;1;23;813;7087;;3;0;1;;;;;;
MCOAVC;2022;590804696;CENTRE HOPITALIER DE TOURCOING;590781902;1;12;453;3543;;1;0;1;;1;0;1;;23.49
MCOAVC;2022;600000194;CH BEAUVAIS;600100713;1;20;847;6986;;0.77;;;;0.77;;;;0.87
MCOAVC;2022;600000467;CH GHPSO CREIL;600101984;1;10;297;3072;;3.11;0;1;;3.11;0;1;;16.23
MCOAVC;2022;600113476;CH CHICN COMPIÈGNE;600100721;1;11;568;3023;;5.26;;;;5.26;;;;56.4
MCOAVC;2022;610000051;CHICAM - SITE ALENCON;610780082;1;8;333;2787;;2.1;;;;0.33;;;;12.47
MCOAVC;2022;620000034;CH ARRAS;620100057;1;17;857;4626;;1.5;1;0;;1.5;1;0;;48.04
MCOAVC;2022;620000224;CH BETHUNE;620100651;1;20;588;4092;;3;;1;;3;;1;;24.68
MCOAVC;2022;620000257;CH LENS;620100685;1;27;998;8333;;3;0;1;;3;0;1;;33.98
MCOAVC;2022;620000323;CH CALAIS;620101337;1;15;593;5227;;1.67;0;1;;;;1;;13.6
MCOAVC;2022;620000653;CH BOULOGNE-SUR-MER;620103440;1;6;884;5600;;1.28;;;;1.18;;;;12
MCOAVC;2022;630000404;HOPITAL GABRIEL MONTPIED - CHU63;630780989;1;26;944;8188;;8.28;1;0;;8.08;1;0;;59.71
MCOAVC;2022;640000162;CH DE LA COTE BASQUE - BAYONNE;640780417;1;8;1035;4200;;0.99;1;;;0.99;1;;;21.03
MCOAVC;2022;640000600;CENTRE HOSPITALIER DE PAU;640781290;1;24;1096;7707;;0.61;;;;;;;;3.38
MCOAVC;2022;650000417;CH BIGORRE SITE GESPE TARBES;650783160;1;4;224;1653;;0.3;0;1;;;;;;13.8
MCOAVC;2022;660000084;CH PERPIGNAN;660780180;1;42;1505;13597;;11.01;;;;11.01;;;;29.73
MCOAVC;2022;670000157;CENTRE HOSPITALIER DE HAGUENAU;670780337;1;14;65;404;0;0.25;0;1;0;0.25;0;1;0;3.19
MCOAVC;2022;670783273;HOPITAL DE HAUTEPIERRE;670780055;1;38;1565;13357;;8.06;1;0;;7.06;1;0;;55.21
MCOAVC;2022;680000684;HOPITAL LOUIS PASTEUR;680000973;1;15;606;4828;;10.27;0;1;;10.27;0;1;;5.6
MCOAVC;2022;680004546;HOPITAL EMILE MULLER;680020336;1;15;419;6094;;1.4;;;;1.4;;;;17.3
MCOAVC;2022;690000575;CH NORD OUEST - VILLEFRANCHE;690782222;1;14;567;3731;;2.82;0;1;;2.02;0;1;;11.02
MCOAVC;2022;690041132;MEDIPOLE HOPITAL MUTUALISTE;690006598;1;6;0;0;;;1;;;;1;;;
MCOAVC;2022;690784178;HOPITAL PIERRE WERTHEIMER - HCL;690781810;1;35;1824;11929;;3.92;0;0;;3.75;0;0;;54.94
MCOAVC;2022;690784194;HOPITAL DES CHARPENNES - HCL;690781810;1;14;224;3699;;0.4;0;0;;;;;;14.38
MCOAVC;2022;700000029;GH HAUTE SAONE SITE VESOUL;700004591;1;4;243;1437;;0.4;;;;;;;;10.96
MCOAVC;2022;710978263;CH WILLIAM MOREY CHALON SUR SAONE;710780958;1;6;852;1694;0;2.81;1;0;0;2.81;1;0;0;15
MCOAVC;2022;720000033;CENTRE HOSPITALIER DU MANS;720000025;1;19;680;5773;0;2.66;0;1;0;1.66;0;1;;26.91
MCOAVC;2022;730000031;CHMS CHAMBERY NH;730000015;1;24;1182;7243;;5.92;;1;;5.92;;1;;35.18
MCOAVC;2022;740000237;CH ANNECY-GENEVOIS SITE ANNECY;740781133;1;15;513;4186;;2.07;1;0;;2.07;1;0;;24.54
MCOAVC;2022;740000302;CH ANNECY-GENEVOIS SITE ST JULIEN EN G;740781133;1;9;127;1983;;0.2;;;;;;;;3.73
MCOAVC;2022;740781141;CH ALPES LEMAN;740790258;1;8;364;4428;;0.22;0;1;;0.22;0;1;;
MCOAVC;2022;750000499;CH SAINTE ANNE;750062036;1;38;847;5766;;;;;;;;;;288.92
MCOAVC;2022;750000523;GH PARIS SITE SAINT JOSEPH;750150120;1;35;1387;9558;;19.47;1;1;;10.2;1;0;;90.14
MCOAVC;2022;750000549;HOPITAL FONDATION A DE ROTHSCHILD;750150229;1;30;1681;7364;;7.93;1;1;;3.15;1;1;;46.2
MCOAVC;2022;750100042;HU SAINT LOUIS SITE LARIBOISIERE APHP;750712184;1;17;1559;9760;;8.7;1;1;;8.7;1;1;;41.5
MCOAVC;2022;750100091;HU EST PARISIEN SITE ST ANTOINE APHP;750712184;1;10;283;2602;;2;0;0;;2;0;0;;20.2
MCOAVC;2022;750100125;HU PITIE SALPETRIERE APHP;750712184;1;32;1345;7816;;7.4;;;;7.4;;;;61.1
MCOAVC;2022;750100232;HU PARIS NORD SITE BICHAT APHP;750712184;1;8;140;1001;;;1;0;;8.16;;;;8
MCOAVC;2022;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;760780239;1;30;1649;9992;0;2.55;0;1;0;2.55;;;;76.59
MCOAVC;2022;760805770;HOPITAL JACQUES MONOD CH LE HAVRE;760780726;1;20;1155;7227;;7.89;0;1;;7.06;0;1;;32.29
MCOAVC;2022;770000446;CH DE MEAUX SITE SAINT FARON;770021145;1;26;676;8874;;3.79;;;;3.79;;;;1
MCOAVC;2022;780000287;CH FRANCOIS QUESNAY MANTES;780110011;1;18;529;5666;;1.3;0;1;;;;;;12.05
MCOAVC;2022;780000311;CHI POISSY ST GERMAIN SITE DE POISSY;780001236;1;12;490;1520;;3.38;0;1;;2.55;0;1;;15.5
MCOAVC;2022;780800256;CH DE VERSAILLES SITE ANDRE MIGNOT;780110078;1;24;828;6805;;;;;;;;;;
MCOAVC;2022;790000087;CENTRE HOSPITALIER DE NIORT;790000012;1;20;973;6575;;4.19;0;1;;4.19;0;1;;39.03
MCOAVC;2022;800006124;CHU AMIENS SUD;800000044;1;23;1037;7677;;6.43;1;;;6.43;1;;;42.48
MCOAVC;2022;810000224;CL CLAUDE BERNARD;810000471;1;4;230;1215;5;5;0;1;5;5;0;1;;
MCOAVC;2022;810000505;CH ALBI;810000331;1;6;430;1440;;1.2;0;1;;1.2;0;1;;5.92
MCOAVC;2022;810000521;CHIC CASTRES MAZAMET SITE AUTAN;810000380;1;4;245;518;;0.82;0;1;;0.82;0;1;;4.31
MCOAVC;2022;820000032;CH MONTAUBAN;820000016;1;6;619;2521;;0.5;0;1;;0.5;0;1;;7.02
MCOAVC;2022;830000345;CHITS CH SAINTE MUSSE;830100616;1;16;743;4639;1;2;;;;9.4;;;;12.38
MCOAVC;2022;830100574;HIA SAINTE ANNE;750821092;1;10;342;2124;;5.5;1;0;;5.5;1;0;;20.4
MCOAVC;2022;840001861;CH D'AVIGNON HENRI DUFFAUT;840006597;1;17;855;6962;;1.66;1;1;;1.66;1;1;;32.02
MCOAVC;2022;850000142;CHD SITE LA ROCHE SUR YON;850000019;1;17;673;5583;;1.97;;;;;;;;35.11
MCOAVC;2022;860000223;CHU LA MILETRIE;860014208;1;20;1134;8053;;1.87;1;0;;1.5;1;1;;17.06
MCOAVC;2022;870000064;C H U DUPUYTREN LIMOGES;870000015;1;26;992;8504;;14.54;1;1;;1.8;1;1;0;49.55
MCOAVC;2022;880000021;CHI E.DURKHEIM - PLATEAU DE LA JUSTICE;880007059;1;13;560;5152;;6.8;0;1;;6.8;;;;36.75
MCOAVC;2022;900003039;HNFC SITE TREVENANS;900000365;1;4;592;7624;0;3.89;0;1;;3.89;0;1;;3.84
MCOAVC;2022;910000306;CH D ORSAY;910110055;1;20;521;7189;;;;;;;;;;0.75
MCOAVC;2022;910020254;CH SUD FRANCILIEN SITE JEAN JAURES;910002773;1;48;1524;8363;0;15.97;1;1;0;10.89;1;0;0;5.05
MCOAVC;2022;920000650;HOPITAL FOCH;920150059;1;26;904;5682;;5;;1;;5;;1;;19.37
MCOAVC;2022;920100054;HU PARIS SITE RAYMOND POINCARE APHP;750712184;1;20;774;4101;;4.26;;;;;;;;42.99
MCOAVC;2022;930000328;CH GENERAL DELAFONTAINE;930110051;1;26;867;8767;;11.36;1;0;;11.2;1;0;;64.62
MCOAVC;2022;930000336;CHI ROBERT BALLANGER;930110069;1;18;990;8830;;4.92;0;0;;;0;0;;47.87
MCOAVC;2022;940100027;HU HENRI MONDOR SITE HENRI MONDOR APHP;750712184;1;23;959;7241;;4;1;1;;1;1;1;;31.25
MCOAVC;2022;940100043;HU PARIS SUD SITE KREMLIN BICETRE APHP;750712184;1;24;816;4249;;3.6;;;;;;;;28
MCOAVC;2022;950000331;CH GENERAL DE GONESSE;950110049;1;36;962;12157;;2.86;;;;0.2;;;;2
MCOAVC;2022;950000364;CH RENE DUBOS;950110080;1;27;828;8276;;7.95;;;;;;;;
MCOAVC;2022;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;1;20;771;5606;;3;;;;3;;;;15
MCOAVC;2022;970211215;CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN;970211207;1;25;667;8440;;2.8;;;;2.8;;;;25.69
MCOAVC;2022;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;1;17;731;6132;;1.1;0;1;;0.5;0;1;;8.13
MCOAVC;2022;970400057;CHU SITE SUD (SAINT PIERRE);970408589;1;20;950;6489;;2;0;1;;2;0;1;;39.83
