BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;EFFLIB_PKT;ETPSAL_PKT;EFFLIB_MED;ETPSAL_MED;GAR_SEN;AST_SEN;EFFLIB_PNM;ETPSAL_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU;HPLEFFLIB_PKT;HPLETPSAL_PKT;HPLEFFLIB_MED;HPLETPSAL_MED;HPLEFFLIB_PNM;HPLETPSAL_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_REE;HPLETP_EDU
PSY;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;TOT;1;;3;1;100;10;;;;;40255;131;;;1099;30662;1810;;;;;206;17441;;;;17;2;;53071;1922;0;2439;359;2621;109;6346;5400;;20.01;;0.55;;;;281.33;152.86;46.11;30.52;9.68;23.13;;10.28;;0.55;;139.07;61.62;45.66;8.41;;4.37
PSY;2022;050000132;CH BUECH DURANCE;050007145;GEN;;1;;;68;12;18;;;;24820;20;1;1;1117;15925;1235;4025;;;;;2924;0;424;;5;;2;19869;;12468;2617;21;679;;3302;2720;;8.39;;5.02;;;;184.24;97.55;20.26;7.92;4.2;15.44;;5.22;;3.91;;111.4;56.68;7.19;2.69;1.7;3.25
PSY;2022;050000132;CH BUECH DURANCE;050007145;INF;;1;;;8;4;;;;;2920;23;;;408;1308;0;;;;;;4837;;;;4;;6;9339;;10447;34;;537;65;1279;1148;;2.2;;1;;;;67.73;34.73;2.91;7.85;5.03;7.98;;0.25;;2;;;11.67;2.47;0.3;0.48;0.1
PSY;2022;050000132;CH BUECH DURANCE;050007145;TOT;1;;;1;76;16;18;;;;27740;43;1;1;1525;17233;1235;4025;;;;;7761;0;424;;9;;8;29208;;22915;2651;21;1216;65;4581;3868;;10.59;;6.02;;;;251.97;132.28;23.17;15.77;9.23;23.42;;5.47;;5.91;;111.4;68.35;9.66;2.99;2.18;3.35
PSY;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;GEN;;1;;;12;;4;;;;4380;0;2;;301;3665;;673;;;;;;29;;;1;;;;;;;;;;952;925;;;;;;;;;36.41;;2.39;;2.42;;;;;;;;;;;
PSY;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TOT;0;;0;0;12;;4;;;;4380;0;2;;301;3665;;673;;;;;;29;;;1;;;;;;;;;;952;925;;;;;;;;;36.41;;2.39;;2.42;;;;;;;;;;;
PSY;2022;050000454;LE FUTUR ANTERIEUR;050000645;INF;;;;;30;;;;;;10950;;;;141;8488;;;;;;;;;;;;;;;;;;;;;87;;;1.2;;0.4;0;0;;27.23;9.38;1;2;0.5;12.71;;;;;;;;;;;
PSY;2022;050000454;LE FUTUR ANTERIEUR;050000645;TOT;0;;;0;30;;;;;;10950;;;;141;8488;;;;;;;;;;;;;;;;;;;;;87;;;1.2;;0.4;;;;27.23;9.38;1;2;0.5;12.71;;;;;;;;;;;
PSY;2022;050000991;CENTRE MEDICAL CHANTOURS;050000546;GEN;;;;;40;;;;;;14600;;;;277;10815;;;;;;;;;;;;;;;;;;;;;277;;;2.39;;9.17;0;0;;28.26;14.19;3.88;1.31;0.18;1.24;;;;;;;;;;;
PSY;2022;050000991;CENTRE MEDICAL CHANTOURS;050000546;TOT;0;;;0;40;;;;;;14600;;;;277;10815;;;;;;;;;;;;;;;;;;;;;277;;;2.39;;9.17;;;;28.26;14.19;3.88;1.31;0.18;1.24;;;;;;;;;;;
PSY;2022;050008630;HJ L'ESCALE BRIANCON;050000116;GEN;;;;;;;;;;;;12;;;;;;;;;;;2035;;;;;;1;9436;;2445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2022;050008630;HJ L'ESCALE BRIANCON;050000116;TOT;0;;;0;;;;;;;;12;;;;;;;;;;;2035;;;;;;1;9436;;2445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;;1;;;33;;;;;;11074;10;2;;344;11162;;;;;;69;2251;1;;;1;6;1;12110;1615;2875;2686;399;1237;;1742;1476;0;3.22;0;7.2;;;0;71.67;44.59;6.98;5.45;1;1.8;0;0;0;5;0;0;0;0;0;0;0
PSY;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TOT;1;;0;1;33;;;;;;11074;10;2;;344;11162;;;;;;69;2251;1;;;1;6;1;12110;1615;2875;2686;399;1237;;1742;1476;0;3.22;0;7.2;;;0;71.67;44.59;6.98;5.45;1;1.8;0;0;0;5;0;0;0;0;0;0;0
PSY;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;;2;;;67;;;;;;25295;25;0;;626;21128;;;;;;;3146;0;;1;3;2;0;13596;5946;0;1567;137;2113;0;3544;3404;;13.98;;;1;0;;115.72;62.32;20.46;9.5;;4.3;;13.98;;;;82.81;41.01;17.06;5.29;;2.3
PSY;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;INF;;1;;;0;;;;;;;10;0;;0;0;;;;;;;812;;;3;5;1;1;13775;1784;2978;176;74;2620;150;1918;1916;;7.99;;;0;0;;37.53;7.48;;13.6;5.04;9.41;;7.99;;;;;;;;;
PSY;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;TOT;1;;5;0;67;;;;;;25295;35;0;;626;21128;;;;;;;3958;0;;4;8;3;1;27371;7730;2978;1743;211;4733;150;5422;5283;;21.97;;;;;;153.25;69.8;20.46;23.1;5.04;13.71;;21.97;;;;82.81;41.01;17.06;5.29;;2.3
PSY;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;;2;;;58;;;;8;;19710;25;;1;504;11882;;;;1;;;1737;;59;;2;1;0;16915;1479;;1358;598;3927;35;2852;2423;0;7.16;;1;1;0;;106.5;51.7;21.16;8.15;0.19;5.08;;4.42;;1;;65.67;32.65;15.43;2.3;0.19;1.8
PSY;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;INF;;1;;;;;;;;;;10;;;;;;;;;;;1478;;;;3;1;3;13509;35;4440;343;279;2194;340;1676;1676;0;6.88;;;0;0;;60.25;13.73;;11.36;12.12;14.22;;;;;;;;;;;
PSY;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;TOT;1;;2;1;58;;;;8;;19710;35;;1;504;11882;;;;1;;;3215;;59;;5;2;3;30424;1514;4440;1701;877;6121;375;4479;3992;;14.04;;1;;;;166.75;65.43;21.16;19.51;12.31;19.3;;4.42;;1;;65.67;32.65;15.43;2.3;0.19;1.8
PSY;2022;060780442;CLINIQUE SAINT FRANCOIS;060000213;GEN;;;;;61;;;;;;22340;20;;;613;20340;;;;;;;7364;;;;;;;;;;;;;;508;;4;;;;0;1;1;33.6;16;15;1.6;;1;4;;;;;;;;;;
PSY;2022;060780442;CLINIQUE SAINT FRANCOIS;060000213;TOT;0;;;0;61;;;;;;22340;20;;;613;20340;;;;;;;7364;;;;;;;;;;;;;;508;;4;;;;;;1;33.6;16;15;1.6;;1;4;;;;;;;;;;
PSY;2022;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;GEN;;;;;64;;;;;;23725;;;;648;20854;;;;;;;;;;;;;;;;;;;;;648;;3;;1;0.4;0;0;25;21.09;13.59;5;0.94;;1.16;;;;;;;;;;;
PSY;2022;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;TOT;0;;;0;64;;;;;;23725;;;;648;20854;;;;;;;;;;;;;;;;;;;;;648;;3;;1;0.4;;;25;21.09;13.59;5;0.94;;1.16;;;;;;;;;;;
PSY;2022;060780541;CLINIQUE LA GRANGEA;060000262;GEN;;;;;67;;;;;;23360;;;;854;22597;;;;;;;;;;;;;;;;;;;;;700;;3;;;1.1;;1;;30.2;15.12;12.66;0.54;;1.88;3;;;1.1;;30.2;15.12;12.66;0.54;;1.88
PSY;2022;060780541;CLINIQUE LA GRANGEA;060000262;INF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;;;;;;;;1;;;;;;;;;;
PSY;2022;060780541;CLINIQUE LA GRANGEA;060000262;TOT;0;;;0;67;;;;;;23360;;;;854;22597;;;;;;;;;;;;;;;;;;;;;700;;4;;;1.1;;;;30.2;15.12;12.66;0.54;;1.88;4;;;1.1;;30.2;15.12;12.66;0.54;;1.88
PSY;2022;060780749;CLINIQUE SAINT LUC;060000395;GEN;;;;;47;;;;;;17155;15;;;469;14947;;;;;;;5900;;;;;;;;;;;;;;386;;7;;1;;;;;17.54;10.76;4.53;1.12;;0.28;7;;1;;;;;;;;
PSY;2022;060780749;CLINIQUE SAINT LUC;060000395;TOT;0;;;0;47;;;;;;17155;15;;;469;14947;;;;;;;5900;;;;;;;;;;;;;;386;;7;;1;;;;;17.54;10.76;4.53;1.12;;0.28;7;;1;;;;;;;;
PSY;2022;060780996;CHS SAINTE MARIE NICE;630786754;GEN;;7;;;277;13;21;;;30;101105;154;;;1883;91548;4711;4700;;;2405;;17114;;;10;9;;9;62663;;18036;7000;287;14;;8631;6580;;32.6;1;11.56;0;1;;504.06;264.56;169.33;27.02;2.97;40.18;;11.46;;7.98;;341.7;166.94;153.6;6.2;;14.24
PSY;2022;060780996;CHS SAINTE MARIE NICE;630786754;PEN;;;;;;;;;;;;12;;;;;;;;;;;2297;;;;1;;3;;;931;10690;;;;1649;1351;;1.67;;;;;;14.35;9.47;;2;;2.88;;;;;;;;;;;
PSY;2022;060780996;CHS SAINTE MARIE NICE;630786754;TOT;1;;4;1;277;13;21;;;30;101105;166;;;1883;91548;4711;4700;;;2405;;19411;;;10;10;;12;62663;;18967;17690;287;14;;10143;7309;;34.27;1;11.56;;;;518.41;274.03;169.33;29.02;2.97;43.06;;11.46;;7.98;;341.7;166.94;153.6;6.2;;14.24
PSY;2022;060781929;CLINIQUE DE LA COSTIERE;060000858;GEN;;;;;75;;;;;;27375;15;;;810;27348;;;;;;;6860;;;;;;;;;;;;;;640;;11;;;;;;;31.6;18.96;10.37;0.98;;0.71;11;;;;;;;;;;
PSY;2022;060781929;CLINIQUE DE LA COSTIERE;060000858;TOT;0;;;0;75;;;;;;27375;15;;;810;27348;;;;;;;6860;;;;;;;;;;;;;;640;;11;;;;;;;31.6;18.96;10.37;0.98;;0.71;11;;;;;;;;;;
PSY;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;;1;;;67;;;;;;24189;25;;;557;20172;;;;;;;2564;;;1;;1;;11102;3490;;1270;72;4353;;3526;3022;;10.3;;0.1;0;1;;180.02;76.89;59.9;10;0.45;;;6.17;;0;;108.38;39.72;51.85;3;;
PSY;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOT;1;;;0;67;;;;;;24189;25;;;557;20172;;;;;;;2564;;;1;;1;;11102;3490;;1270;72;4353;;3526;3022;;10.3;;0.1;;;;180.02;76.89;59.9;10;0.45;;;6.17;;0;;108.38;39.72;51.85;3;;
PSY;2022;060800174;FONDATION LENVAL;060800174;INF;;3;;;18;;;;;;6570;82;;;390;5233;;;;;;;11115;;;2;12;2;;47092;327;;;0;0;22;5683;5202;;3.32;;0.3;0;0;;204.94;62.14;19.86;39.59;19.91;26.67;;;;;;;;;;;
PSY;2022;060800174;FONDATION LENVAL;060800174;TOT;1;;;0;18;;;;;;6570;82;;;390;5233;;;;;;;11115;;;2;12;2;;47092;327;;;0;0;22;5683;5202;;3.32;;0.3;;;;204.94;62.14;19.86;39.59;19.91;26.67;;;;;;;;;;;
PSY;2022;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;GEN;;2;;;;;;;;;;10;;;;;;;;;;;1911;;;;2;1;1;10819;23;527;224;27;7;;1834;1639;;;;;;;;20.01;11.08;1;4.28;;1.75;;;;;;;;;;;
PSY;2022;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;INF;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2761;0;0;;;5;3;207;202;;0.41;;;;;;3.07;1.05;;1;0.91;0.1;;;;;;;;;;;
PSY;2022;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;TOT;1;;0;0;;;;;;;;10;;;;;;;;;;;1911;;;;3;1;1;13580;23;527;224;27;12;3;2034;1832;;0.41;;;;;;23.08;12.13;1;5.28;0.91;1.85;;;;;;;;;;;
PSY;2022;070780317;CHS SAINTE-MARIE PRIVAS;630786754;GEN;;5;;;222;15;;;;;79848;77;5;;2445;73769;2069;;;;;;12323;0;;;7;13;4;41557;3456;5017;2236;2543;1326;;7555;5854;0;13.83;;8.51;0;1;0;422.96;232.72;103.58;16.54;1.8;15.63;;8.44;;6.18;0;318.84;153.87;98.48;5.88;0.9;7.36
PSY;2022;070780317;CHS SAINTE-MARIE PRIVAS;630786754;INF;;3;;;;;;;;;;38;;;;;;;;;;;5204;;;;7;;4;18616;;3905;28;503;461;5;2030;1939;;5.07;;1;0;0;0;63.42;34.18;;18.53;3.74;6.97;;;;;;;;;;;
PSY;2022;070780317;CHS SAINTE-MARIE PRIVAS;630786754;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1079;;;;280;265;;0.5;;;;;;3.8;1.7;;2.1;;;;;;;;;;;;;
PSY;2022;070780317;CHS SAINTE-MARIE PRIVAS;630786754;TOT;1;;4;1;222;15;;;;;79848;115;5;;2445;73769;2069;;;;;;17527;0;;;14;13;8;60173;3456;8922;3343;3046;1787;5;9865;8058;;19.4;;9.51;;;;490.18;268.6;103.58;37.17;5.54;22.6;;8.44;;6.18;;318.84;153.87;98.48;5.88;0.9;7.36
PSY;2022;080000318;CH BELAIR;080000086;GEN;;4;;;182;4;18;;;;67890;65;6;2;2135;48535;1095;4178;;;;22;10505;0;2602;;8;4;7;40722;3440;4032;8118;5580;552;;6172;3575;;9.22;;5.97;0;1;;383.52;231.76;79.87;11.75;;4;;4.06;;4.57;;255.95;131.33;78.24;2.13;;
PSY;2022;080000318;CH BELAIR;080000086;INF;;1;;;8;;;;;;2920;45;;;86;2012;;;;;;;6106;;;;4;1;5;12909;32;2189;81;160;1830;55;1365;922;;2.65;;0.4;0;1;;87.71;53.98;3.64;6.79;1.9;15.91;;0.35;;0.1;;17;13.15;3.64;;;
PSY;2022;080000318;CH BELAIR;080000086;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35;;;0.35;;;;;;;;;;;;;
PSY;2022;080000318;CH BELAIR;080000086;TOT;1;;5;1;190;4;18;;;;70810;110;6;2;2221;50547;1095;4178;;;;22;16611;0;2602;;12;5;12;53631;3472;6221;8199;5740;2382;55;7103;4497;;11.87;;6.37;;;;471.58;285.74;83.51;18.89;1.9;19.91;;4.41;;4.67;;272.95;144.48;81.88;2.13;;
PSY;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;GEN;;2;;;87;12;;;;;31755;30;5;;909;27932;1424;0;0;0;0;15;2995;0;0;0;4;1;2;38378;800;2160;1267;57;4002;0;5224;4507;;11.7;;0.9;;;;171.1;103.4;28.1;10.7;5.78;3.19;;3.9;;;;98.5;60.3;23.9;1.3;1.8;1.7
PSY;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;INF;;1;;;7;7;;;;;2555;20;;;105;2429;1145;;;0;0;0;1692;0;0;0;3;1;1;13562;117;99;72;7;703;71;1200;1080;;4;;0.1;;;;57;28.8;3;8.6;4.7;1.4;;0.8;;;;20.9;13.3;3;0.5;0.4;0.4
