BOR;AN;FI;RS;FI_EJ;PERSO;ETPS;NBLIB
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;N9999;8.38;31
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;NAUT;3.4;0
HAD_P;2022;020010898;HAD CRF CHAUNY;750721334;Ncoor;1.04;
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;M3050;;39
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;M9999;0.3;39
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;Mcoor;0.3;
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2120;1;
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2210;4.14;169
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2410;;46
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2460;;1
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2510;19.39;
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2710;0.5;
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N3120;0.5;
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N9999;41.67;216
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;NAUT;11.7;
HAD_P;2022;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;Ncoor;4.44;
HAD_P;2022;030000061;CH DE MOULINS;030780092;M9999;1.2;0
HAD_P;2022;030000061;CH DE MOULINS;030780092;Mcoor;1.2;
HAD_P;2022;030000061;CH DE MOULINS;030780092;N2120;0.68;
HAD_P;2022;030000061;CH DE MOULINS;030780092;N2210;5.7;123
HAD_P;2022;030000061;CH DE MOULINS;030780092;N2510;2.29;
HAD_P;2022;030000061;CH DE MOULINS;030780092;N9999;9.4;123
HAD_P;2022;030000061;CH DE MOULINS;030780092;NAUT;0.73;
HAD_P;2022;030000079;CH DE MONTLUCON;030780100;M9999;0.5;
HAD_P;2022;030000079;CH DE MONTLUCON;030780100;Mcoor;0.5;
HAD_P;2022;030000079;CH DE MONTLUCON;030780100;N2120;0.3;
HAD_P;2022;030000079;CH DE MONTLUCON;030780100;N2210;4.05;157
HAD_P;2022;030000079;CH DE MONTLUCON;030780100;N2410;;2
HAD_P;2022;030000079;CH DE MONTLUCON;030780100;N3120;0.3;
HAD_P;2022;030000079;CH DE MONTLUCON;030780100;N9999;6.65;159
HAD_P;2022;030000079;CH DE MONTLUCON;030780100;Ncoor;2;
HAD_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;1;0
HAD_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;Mcoor;1;
HAD_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;1;
HAD_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2210;5.26;0
HAD_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;3;
HAD_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N3120;1;
HAD_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;12.26;0
HAD_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;2;0
HAD_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M3050;0.5;0
HAD_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M9999;1;0
HAD_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;Mcoor;0.5;
HAD_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2120;1;
HAD_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2510;4;
HAD_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N9999;9;
HAD_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;NAUT;3;
HAD_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;Ncoor;1;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;0.98;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MAUT;0.98;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2120;1;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2210;4.97;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2510;4.93;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2710;0.45;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N3120;0.83;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;12.98;
HAD_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;0.8;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;0.2;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MAUT;0.1;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;Mcoor;0.1;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2120;0.5;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2210;6.78;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2510;5.39;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2710;0.25;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N3120;0.03;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N9999;13.95;
HAD_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;1;
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;0.6;0
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;Mcoor;0.6;
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;0.1;
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2210;8.55;
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2510;5.64;
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2710;0.1;
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N3120;0.1;
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;15.44;
HAD_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;0.95;
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;M9999;0.73;
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;Mcoor;0.73;
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;N2210;7.66;21
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;N2410;;22
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;N2510;6.32;
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;N2710;0.5;
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;N3120;0.04;
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;N9999;16.57;44
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;NAUT;;1
HAD_P;2022;060006558;HAD ARNAULT TZANCK;060798865;Ncoor;2.05;
HAD_P;2022;060785243;HAD NICE & REGION;060001484;M3050;0.8;
HAD_P;2022;060785243;HAD NICE & REGION;060001484;M9999;2.95;
HAD_P;2022;060785243;HAD NICE & REGION;060001484;MAUT;0.1;
HAD_P;2022;060785243;HAD NICE & REGION;060001484;Mcoor;2.05;
HAD_P;2022;060785243;HAD NICE & REGION;060001484;N2120;0.92;
HAD_P;2022;060785243;HAD NICE & REGION;060001484;N2210;27.07;232
HAD_P;2022;060785243;HAD NICE & REGION;060001484;N2410;;121
HAD_P;2022;060785243;HAD NICE & REGION;060001484;N2510;20.6;
HAD_P;2022;060785243;HAD NICE & REGION;060001484;N2710;1;4
HAD_P;2022;060785243;HAD NICE & REGION;060001484;N3120;4.02;
HAD_P;2022;060785243;HAD NICE & REGION;060001484;N9999;95.47;374
HAD_P;2022;060785243;HAD NICE & REGION;060001484;NAUT;31.95;17
HAD_P;2022;060785243;HAD NICE & REGION;060001484;Ncoor;9.91;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;M9999;2.75;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;MAUT;1.75;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;Mcoor;1;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N2120;0.76;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N2210;6.03;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N2460;0.67;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N2510;3.5;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N3120;1;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N9999;14.86;
HAD_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;NAUT;2.9;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;M3050;0.74;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;M9999;0.94;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;Mcoor;0.2;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2510;6;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N2710;0.16;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N3120;0.2;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;N9999;20.71;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;NAUT;5.05;
HAD_P;2022;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;Ncoor;9.3;
HAD_P;2022;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;M9999;1.2;
HAD_P;2022;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;Mcoor;1.2;
HAD_P;2022;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2210;6;
HAD_P;2022;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N2510;5.6;
HAD_P;2022;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N3120;0.6;
HAD_P;2022;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;N9999;18.45;
HAD_P;2022;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;NAUT;3.45;
HAD_P;2022;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;Ncoor;2.8;
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;M9999;2.37;25
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;MAUT;;25
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;Mcoor;2.37;
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2120;0.7;
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2210;6.7;150
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2410;;24
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2510;6.13;
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2710;0.5;
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N3120;0.7;
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N9999;18.73;174
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;NAUT;2;
HAD_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;Ncoor;2;
HAD_P;2022;100007699;HAD GHAM;100006279;M3050;0.1;
HAD_P;2022;100007699;HAD GHAM;100006279;M9999;0.9;
HAD_P;2022;100007699;HAD GHAM;100006279;MAUT;0.4;
HAD_P;2022;100007699;HAD GHAM;100006279;Mcoor;0.4;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;M9999;1.1;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;Mcoor;1.1;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N2120;1;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N2210;7.2;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N2510;8.75;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N2710;0.5;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N3120;0.6;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;N9999;28.45;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;NAUT;6.6;
HAD_P;2022;100010578;GCS PATCS - HAD - SSR - TROYES;100010347;Ncoor;3.8;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;M9999;0.06;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;Mcoor;0.06;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;N2210;7.19;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;N2510;0.03;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;N2710;0.07;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;N3120;0.1;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;N9999;8.49;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;NAUT;0.1;
HAD_P;2022;110000247;CH LEZIGNAN CORBIERES;110780772;Ncoor;1;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;M9999;1.4;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;Mcoor;1.4;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2120;1;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2210;8;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2510;8;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N2710;0.2;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N3120;0.2;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;N9999;23.4;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;NAUT;2;
HAD_P;2022;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;Ncoor;4;
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;M3050;0;118
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;M9999;1.2;118
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;Mcoor;1.2;
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2120;0.61;
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2210;7.82;
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2410;0.31;
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2510;8.75;
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N2710;0.28;
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N3120;0.45;
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;N9999;30.31;0
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;NAUT;4.55;0
HAD_P;2022;110005394;HAD KORIAN PAYS DES QUATRE VENTS;750056335;Ncoor;7.54;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;M3050;0.3;1
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;M9999;1.64;1
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;MAUT;0.14;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;Mcoor;1.2;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;N2120;1;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;N2510;1.03;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;N2710;1;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;N3120;0.8;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;N9999;12.33;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;NAUT;3.5;
HAD_P;2022;120783618;HAD UDSMA RODEZ;120784616;Ncoor;5;
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M3050;;106
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M9999;1.42;106
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;Mcoor;1.42;
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2120;0.93;
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2210;2.93;237
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2410;;27
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2510;1.8;
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N2710;0.5;
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N3120;0.8;
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N9999;8.87;264
HAD_P;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;NAUT;1.91;
HAD_P;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;M9999;1;
HAD_P;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;Mcoor;1;
HAD_P;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2210;4.14;5
HAD_P;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N2510;1;
HAD_P;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N9999;8.07;5
HAD_P;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;NAUT;1.93;
HAD_P;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;Ncoor;1;
HAD_P;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;M9999;0.85;
HAD_P;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;Mcoor;0.85;
HAD_P;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;N2210;3.58;
HAD_P;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;N9999;7.91;
HAD_P;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;NAUT;3.33;
HAD_P;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;Ncoor;1;
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;M9999;1;
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;Mcoor;1;
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2120;0.3;
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2210;1.5;30
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2410;;80
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N2510;9;
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;N9999;11.5;110
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;NAUT;0.2;
HAD_P;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;Ncoor;0.5;
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;M3050;1;
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;M9999;2;
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;Mcoor;1;
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;N2210;;161
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;N2410;;28
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;N2510;2;
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;N2710;0.11;
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;N3120;0.5;
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;N9999;7.11;192
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;NAUT;0.5;3
HAD_P;2022;130021488;HAD BOUCHES DU RHONE EST;130021439;Ncoor;4;
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;M3050;;143
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;M9999;1.7;187
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;MAUT;;44
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;Mcoor;1.7;
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;N2120;1;
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;N2210;;405
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;N2410;;127
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;N2510;5.4;
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;N2710;;3
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;N3120;1;
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;N9999;26.1;535
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;NAUT;8.1;
HAD_P;2022;130021819;HAD CLARA SCHUMANN;130021769;Ncoor;10.6;
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;M3050;0.04;
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;M9999;0.44;
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;MAUT;0.1;
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;Mcoor;0.3;
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2120;0.04;
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2210;5.36;70
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2410;;11
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2510;4.38;
HAD_P;2022;130022619;SANTE ET SOLIDARITE BOUCHES DU RHONE;130045339;N2710;;2
