BOR;AN;FI;RS;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;6307;45;2;0;1;136;70;29;2;0;1;119;73;19674;2808;387;0;83;7449;3063;16522;138;35;0;0;678;70;62866;67;0;0;0;297;116;1;;1;26.51;1;44.16;0;;0;;0;
PSY2;2022;050000132;CH BUECH DURANCE;050007145;4437;23;1;1;0;57;59;16;1;1;;44;49;22660;1261;13;2;0;1462;1388;5282;52;;;;48;85;70295;389;137;5;0;539;309;0;;0;;0;;0;;0;;0;0
PSY2;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;950;;;;;;;;;;;;;3665;;;;;;;2035;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;050000454;LE FUTUR ANTERIEUR;050000645;87;;;;;;;;;;;;;8488;;;;;;;;;;;;;;;;;;;;;0;;0;;1;28.83;0;;0;;0;0
PSY2;2022;050000991;CENTRE MEDICAL CHANTOURS;050000546;277;;;;;;;;;;;;;10815;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;050008630;HJ L'ESCALE BRIANCON;050000116;;;;;;;;;;;;;;;;;;;;;;;;;;;;13579;;;;;;;;;0;;0;;0;;0;;0;0
PSY2;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1738;12;1;;8;72;2;12;1;;8;81;2;6188;1020;365;;85;3954;58;2252;;;;;;;20837;225;;;;;;1;;0;;0;;0;;0;;0;
PSY2;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;5361;36;0;0;0;164;7;50;0;0;0;189;6;13076;2000;0;0;0;5880;172;3716;95;0;0;0;160;0;47695;588;0;0;3;838;26;0;;0;;0;;0;;0;;0;0
PSY2;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;2819;44;4;0;2;145;13;45;4;0;2;157;13;0;1525;287;0;12;3869;269;1574;0;0;0;0;33;0;44482;655;22;0;0;1683;51;1;3.64;0;;1;5.89;0;;0;;0;0
PSY2;2022;060780442;CLINIQUE SAINT FRANCOIS;060000213;613;;;;;;;;;;;;;20340;;;;;;;7364;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;648;;;;;;;;;;;;;20854;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;060780541;CLINIQUE LA GRANGEA;060000262;700;;;;;;;;;;;;;22597;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;
PSY2;2022;060780749;CLINIQUE SAINT LUC;060000395;386;;;;;;;;;;;;;14947;;;;;;;5900;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;060780996;CHS SAINTE MARIE NICE;630786754;1168;212;29;;25;511;103;254;42;;30;608;112;44674;12679;3531;;801;26112;3751;18237;693;308;;;171;3;122434;5283;803;77;;1536;65;1;23.5;1;38.45;0;;1;33.2;1;20.36;0;0
PSY2;2022;060781929;CLINIQUE DE LA COSTIERE;060000858;640;;;;;;;;;;;;;27348;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;3424;74;5;0;5;139;16;;;;;;;9730;2808;474;0;78;6544;538;2435;97;;;;25;;27248;885;16;;;272;6;1;3.2;0;;0;;;;;;;
PSY2;2022;060800174;FONDATION LENVAL;060800174;5683;;;0;;;;;;;;;;5233;;;0;;;;11115;;;;;;;47114;;;;;;;1;10.73;0;0;1;11.15;0;;0;;0;0
PSY2;2022;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;2080;7;0;0;3;15;9;3;0;0;1;3;1;;;;;;;;1911;;;;;;;13658;313;0;0;19;189;217;;;;;;;0;;0;;0;0
PSY2;2022;070780317;CHS SAINTE-MARIE PRIVAS;630786754;9742;90;4;1;9;401;220;86;4;1;10;425;223;46232;4994;511;13;45;19980;4829;16199;198;12;;;1080;37;78840;577;32;;;994;286;1;0.19;1;37.07;1;10.29;0;;0;;0;0
PSY2;2022;080000318;CH BELAIR;080000086;6862;44;8;0;13;227;286;44;8;0;18;241;309;41407;597;299;0;88;7145;6006;13624;104;12;0;0;337;132;82815;1068;159;0;0;1248;1907;1;0;1;37.79;1;6.69;0;;0;;0;0
PSY2;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;6264;74;4;0;3;194;70;33;3;0;1;141;57;19442;3058;564;0;72;7651;2158;4211;212;1;0;0;262;0;65267;1070;0;0;0;638;142;1;;1;;1;;0;;0;;0;0
PSY2;2022;100000108;EPSMA;100000033;8616;79;9;;14;238;92;79;8;;10;256;92;37451;3086;298;;34;8227;2058;14706;447;197;;0;119;348;84772;1120;393;;15;2308;805;1;1.03;1;38.17;1;40.21;0;;0;;0;0
PSY2;2022;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;364;9;;;0;61;17;12;;;0;79;20;7007;541;;;0;3023;912;2961;;;;0;196;77;;;;;0;;;1;;0;;1;;0;;0;;0;0
PSY2;2022;110780152;CLINIQUE DE MIREMONT BADENS;110000064;512;;;;;;;;;;;;;25691;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;110786324;USSAP;110786324;7745;63;;;2;241;75;45;;;2;228;75;37681;2756;;;7;8706;2318;10965;85;;;;136;;82559;695;;;;2071;421;1;2.25;1;7.58;1;28.28;0;;0;;0;0
PSY2;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;0
PSY2;2022;120004569;CH MILLAU;120004528;1814;;;;;;;;;;;;;7444;;;;;;;5871;;;;;;;24378;;;;;;;1;1.8;0;;1;7.3;0;;0;;0;0
PSY2;2022;120780283;CHS STE MARIE RODEZ;630786754;9287;70;1;;9;220;161;43;2;;5;186;168;62020;2413;365;;23;8822;4729;10518;48;;;;71;67;108419;833;;;78;1943;953;0;;1;9.26;0;;0;;0;0;0;0
PSY2;2022;130000235;CHS EDOUARD TOULOUSE;130780554;10715;122;6;1;28;323;172;125;6;1;35;367;198;38141;9507;2896;14;231;13627;5852;16679;523;457;;;318;33;214141;3521;1208;;1;2447;988;1;1.73;0;;1;11.09;0;;0;;0;0
PSY2;2022;130000433;CHS MONTPERRIN;130781131;19332;106;4;2;44;455;196;161;5;3;53;668;272;51373;6749;381;14;372;18577;6842;19367;271;;;;502;183;221173;1198;54;4;8;2796;838;1;5.99;1;33.02;1;5.35;0;;0;;0;0
PSY2;2022;130002496;CHS VALVERT MARSEILLE;130786494;9589;72;10;1;14;208;135;93;38;1;12;226;160;27780;2855;857;14;120;4300;3112;21554;284;7;;;96;95;204105;1360;128;53;34;1168;454;1;2.45;1;58.83;1;21.88;0;;0;;0;0
PSY2;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;2771;22;1;1;4;60;14;24;;21;;29;1;;;;;;;;;;;;;;;42181;69;1;0;5;82;18;0;;0;;1;8.67;0;;0;;0;0
PSY2;2022;130010648;CLINIQUE SAINT MICHEL;130010648;446;;;;;;;;;;;;;28825;;;;;;;9585;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130780273;CLINIQUE SAINTE MARTHE SAINT JOSEPH;130000151;308;;;;;;;;;;;;;23157;;;;;;;1809;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130780521;APHM HOPITAL NORD;130786049;109;;;;111;;;;;;;;;2293;;;;6755;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;1;1
PSY2;2022;130781065;CLINIQUE PSYCHIATRIQUE LA JAUBERTE;130000417;538;0;0;0;0;0;0;0;0;0;0;0;0;25793;0;0;0;0;0;0;2203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;0
PSY2;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;9240;91;17;0;8;198;78;95;17;0;9;217;83;15509;3721;882;0;46;5575;2016;2929;30;3;0;0;39;13;88645;766;32;0;91;1683;719;0;;0;;0;;0;;0;;0;0
PSY2;2022;130783293;APHM HOPITAL LA TIMONE;130786049;8250;57;3;0;2;186;45;57;3;0;2;197;46;2218;123;5;0;3;408;95;0;0;0;0;0;0;0;;;;;;;;1;;;;;;0;;0;;0;0
PSY2;2022;130783764;CLINIQUE MON REPOS;920030269;1282;;;;;;;;;;;;;97841;;;;;;;3040;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130784085;CLINIQUE L'EMERAUDE;920030921;1272;;;;;;;;;;;;;73122;;;;;;;10174;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;0
PSY2;2022;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;130786049;10133;63;10;0;8;156;46;65;10;0;10;173;49;7426;4049;742;0;303;4727;1532;2447;28;5;0;2;185;29;91081;51;1;0;0;129;25;;;;;;;0;;1;30.2;0;1
PSY2;2022;130784291;CLINIQUE DES TROIS CYPRES;130001696;678;;;;;;;;;;;;;42373;;;;;;;6279;;;;;;;;;;;;;;0;;0;;1;31.85;0;;0;;0;0
PSY2;2022;130784606;CLINIQUE SAINT ROCH MONTFLEURI;130001860;970;;;;;;;;;;;;;75641;;;;;;;5359;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130784697;CLINIQUE DES QUATRE SAISONS;130001902;339;;;;;;;;;;;;;32102;;;;;;;8932;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130786015;CLINIQUE VALFLEUR;130002322;218;;;;;;;;;;;;;28776;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130786742;HIA LAVERAN;750821092;2141;;;;;;;;;;;;;5731;;;;;;;653;;;;;;;6728;;;;;;;0;5;0;;0;;0;;0;;0;0
PSY2;2022;130786890;HJ LE RELAIS SERENA;130001688;65;;;3;;;;;;3;;;;2056;;;29;;;;1962;;;;;;;;;;;;;;0;;0;;1;41.93;0;;0;;0;0
PSY2;2022;130786973;CLINIQUE PSYCHIATRIQUE MEDIAZUR;130002702;186;;;;;;;;;;;;;27278;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130790157;CH DE MARTIGUES HOPITAL DU VALLON;130789316;7288;51;7;0;1;265;46;38;5;0;1;216;50;15988;751;392;0;25;6953;1163;11227;352;137;0;0;444;243;77598;960;395;0;3;3018;673;1;6.54;1;5.83;1;1.8;0;;0;;0;0
PSY2;2022;130798002;CLINIQUE LA LAURANNE;130004807;877;;;;;;;;;;;;;75410;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130804032;ASSOCIATION REGIONALE POUR INTEGRATION;130804032;48;;;;;;;;;;;;;;;;;;;;1651;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;130806011;CLINIQUE SAINT PAUL DE MAUSOLE;750720534;363;;;;;;;;;;;;;23690;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;140000209;CHU COTE DE NACRE - CAEN;140000100;4488;61;;;;;;417;;;;;;13178;3579;;;;;;813;254;;;;;;18717;2;;;;;;1;;0;;1;;1;;0;;0;0
PSY2;2022;140000456;ETS PUBLIC DE SANTE MENTALE;140000316;16709;147;7;;62;180;231;152;7;;88;193;267;63103;13864;1240;;453;9976;9646;23159;1416;34;;0;247;258;140135;1488;56;;1;718;612;1;1.72;1;10.8;1;23.66;0;;1;22.72;0;0
PSY2;2022;140004136;UNITE PSYCHIATRIQUE - CH BAYEUX;140000092;3907;8;1;;;34;9;5;1;;;29;8;8392;596;116;;;732;183;7421;14;;;;27;;50875;49;;;;112;33;1;0.22;0;;0;;0;;0;;0;0
PSY2;2022;140004383;CHR GEORGES CLEMENCEAU - CAEN;140000100;1122;;;;;;;;;;;;;3295;;;;;;;1655;;;;;;;15950;;;;;;;1;;0;;1;211;0;;0;;0;0
PSY2;2022;150000040;CH HENRI MONDOR;150780096;4027;27;;;66;109;68;17;;;8;97;63;23310;396;;;71;2939;2899;5247;158;;;;82;263;42135;388;;;132;729;140;1;3.55;1;1;0;;0;;0;;0;0
PSY2;2022;150780773;SERVICE DE PSYCHIATRIE - CH ST FLOUR;150780088;606;6;;;;44;2;3;;;;18;2;2897;13;;;;261;52;633;0;;;;686;0;4994;63;;;;769;0;1;0.06;0;;0;;0;;0;;0;0
PSY2;2022;150780823;CH ANNEXE CUEILHES;150780096;107;2;;4;;;;2;;4;;;;1625;14;;22;;;;3380;;;;;;;0;;;;;;;;;;;;;;;;;;
PSY2;2022;150782944;CENTRE DE READAPTATION DE MAURS;150002566;50;0;0;0;0;0;0;0;0;0;0;0;0;7364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;0
PSY2;2022;160000345;CH CAMILLE CLAUDEL - LA COURONNE;160000501;11852;112;2;2;3;233;176;94;3;2;4;240;172;29964;3808;365;;;7814;6293;4951;124;;;;222;41;104465;1387;1;50;10;2355;1560;0;;1;6.08;1;39.67;0;;0;;0;0
PSY2;2022;160008231;KORIAN VILLA BLEUE - JARNAC;160001038;441;;;;;;;;;;;;;12574;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;0
PSY2;2022;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;749;19;0;0;0;65;12;15;;;;45;9;1337;969;0;0;0;2375;246;3620;58;0;0;0;371;35;5830;0;0;0;0;0;0;1;2.05;0;;1;22.1;0;;0;;0;0
PSY2;2022;170020994;C.A.T.T.P. + HOP JOUR PSY ADULT - S5;170780175;3728;9;0;0;0;27;2;1;;;;12;1;4263;197;0;0;0;1000;58;5247;0;0;0;0;0;0;36477;266;0;0;0;1240;0;1;0;0;;1;0;0;;0;;0;0
PSY2;2022;170780282;MAISON MEDICALE HIPPOCRATE - SAUJON;170000186;391;;;;;;;;;;;;;16883;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;170780290;VILLA DU PARC - SAUJON;170000194;765;;;;;;;;;;;;;28788;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;170782981;HOPITAL MARIUS LACROIX;170024194;12637;61;;;7;298;58;27;;;11;266;51;60757;2752;;;0;13263;1295;17006;;;;;;;97435;3469;;;25;1402;19;1;0;1;12.17;1;39.29;0;;0;;0;0
PSY2;2022;170783146;CENTRE HOSPITALIER JONZAC (CHS);170780050;6360;16;0;0;0;76;25;20;0;0;0;81;26;7757;450;0;0;0;1285;458;2146;0;0;0;0;3;0;82579;531;0;0;0;1640;472;1;6.2;1;4.41;1;5.46;0;;0;;0;0
PSY2;2022;170784086;ETABLISSEMENT THERAPEUTIQUE ADO;330785072;56;;;;;;;;;;;;;3423;;;;;;;760;;;;;;;;;;;;;;0;;0;;1;29.7;0;;0;;0;0
PSY2;2022;180000176;CH GEORGE SAND BOURGES;180001158;13152;30;5;3;2;166;106;43;4;3;2;183;114;125291;573;415;52;9;4598;1692;10535;50;0;0;0;331;46;120485;262;67;21;0;863;434;1;0.2;1;30.4;1;42.36;0;;0;;0;0
PSY2;2022;180000382;CLINIQUE LA GAILLARDIERE;180008518;314;;;;;;;;;;;;;10622;;;;;;;1679;;;;;;;0;;;;;;;;;;;;;0;;0;;0;0
PSY2;2022;180004533;CHS CTRE READAP.SOCIO-PROFESSIONNEL;580780971;28;;;;;1;2;;;;;1;2;;;;;;;;2918;;;;;94;304;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;2382;6;;;1;49;7;6;;;1;49;7;11325;64;;;0;697;72;;;;;;;;18086;19;;;1;94;46;0;;1;3.25;0;;0;;0;;0;0
PSY2;2022;190000117;ASSO DE GESTION DU CH PAYS EYGURANDE;190000117;2812;64;6;;20;95;38;28;4;;21;51;27;21828;8622;677;;848;8537;1465;5792;33;;;;162;96;26497;5;;;;73;14;1;1;1;30.44;0;;1;89.24;0;;0;0
PSY2;2022;190011601;SITE SPECIALISE HENRI LABORIT;190000042;4287;28;4;4;0;84;43;3;1;1;0;50;19;9643;444;35;0;0;2163;1130;1609;60;0;0;0;56;9;30637;35;2;9;0;73;19;1;0.1;1;2.5;0;;0;;0;;0;0
PSY2;2022;210013157;POLE PSYCHIATRIE SANTE MENTALE;210780706;1162;22;1;;;47;2;22;1;;;50;2;9052;1204;360;;;1139;9;2097;62;;;;22;;5684;120;;;;25;;1;0.1;0;;1;6.02;0;;0;;0;0
PSY2;2022;210780425;HÔPITAL DE JOUR LES CIGOGNES PEP21;210781282;132;;;;;;;;;;;;;;;;;;;;2789;;;;;;;1144;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;3800;6;;;;83;38;6;;;;89;40;8684;841;;;;3953;1082;;;;;;;;;;;;;;;1;1;1;0.3;1;54.8;0;;0;;0;0
PSY2;2022;210987632;CH LA CHARTREUSE DIJON;210780607;11968;31;13;;28;371;288;34;14;;37;424;329;65163;570;2219;;209;10140;5068;11455;31;;;1;110;23;144720;272;44;;;893;423;1;1;1;32.37;1;12.8;0;;1;12.78;0;0
PSY2;2022;220000210;FONDATION BON SAUVEUR;220000210;12302;54;;;;183;130;54;;;;258;198;40671;1980;;;;5839;1851;16642;170;;;;489;268;113180;822;;;;776;374;1;1.18;1;21.27;1;14.23;0;;0;;0;0
PSY2;2022;220000236;CENTRE HOSPITALIER DE PLOUGUERNEVEL;220017974;1467;74;12;;5;124;68;75;12;;5;139;75;26670;10727;1794;;671;6286;1383;;;;;;;;6729;3;;;;10;5;0;;1;10.22;0;;1;84.35;0;;0;0
PSY2;2022;220000319;CLINIQUE LA CERISAIE;220000681;403;;;;;;;;;;;;;21257;;;;;;;4639;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;0
PSY2;2022;220000327;CLINIQUE DU VAL JOSSELIN;220024384;970;;;;;;;;;;;;;31343;;;;;;;9461;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;220012751;HOP DE JOUR ENFANTS ROSTRENEN;220017974;3238;4;;;;4;3;4;;;;4;3;;;;;;;;8383;20;;;;7;29;35314;74;;;;25;16;0;;0;;0;;0;;0;;0;0
PSY2;2022;230000853;CENTRE HOSPITALIER SAINT VAURY;230780074;606;28;1;;;69;76;37;1;;;77;80;20437;1397;;;;1757;1174;9690;121;;;;;104;43186;192;16;;;260;79;1;;1;37.66;1;8.99;0;;0;;0;0
PSY2;2022;230780181;CLINIQUE CHATELGUYON VIERSAT;230000879;298;0;0;0;0;0;0;0;0;0;0;0;0;13982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0
PSY2;2022;240000463;CENTRE HOSPITALIER VAUCLAIRE;240000083;9065;79;2;4;8;217;160;81;2;3;8;229;170;32419;3902;46;0;33;9406;4388;17005;389;37;117;0;702;327;111782;934;34;23;0;1258;905;1;0.3;1;48.71;1;16.69;0;;0;;0;0
PSY2;2022;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;5147;16;2;0;4;99;32;20;2;0;4;103;30;15487;539;127;;24;2596;998;2434;;;;;;;51580;51;;;;25;;1;;0;0;1;31.18;0;;0;;0;0
PSY2;2022;240000646;FONDATION JOHN BOST;240000265;343;;;;;;;;;;;;;70474;;;;;;;879;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;240000687;CENTRE HOSPITALIER SARLAT;240000448;137;21;;;;33;11;26;;;;36;13;4504;560;;;;1087;443;1647;8;;;;57;0;8415;620;;;;176;19;0;;0;;0;;0;;0;;0;0
PSY2;2022;240017046;CH VAUCLAIRE - SITE CH PERIGUEUX;240000083;1849;2;0;0;0;4;5;2;0;0;0;4;5;1767;0;0;0;0;0;0;0;0;0;0;0;0;0;14227;3;0;0;0;24;16;0;;0;;0;;0;;0;;0;0
PSY2;2022;250000023;CHRU SAINT-JACQUES;250000015;322;;;;;;;;;;;;;11845;;;;;;;;;;;;;;;;;;;;;0;;0;;1;1.79;0;;0;;0;0
PSY2;2022;250000619;UNITE PSY ADULTE LE GRANDVALLIER CHIHC;250000452;1570;19;;;;77;5;23;;;;104;4;11238;1096;;;;3365;94;3902;2;;;;69;;15435;291;;;;1284;1;1;;0;;0;;0;;0;;0;0
PSY2;2022;250000718;CHS NOVILLARS;250000460;9038;62;11;3;20;280;82;64;11;3;21;331;84;51957;2992;1417;63;247;11540;3094;9010;20;11;;;185;10;84376;588;197;;;790;129;0;;1;75.61;;36.63;0;;0;;0;0
PSY2;2022;250005196;HOPITAL DE JOUR VELOTTE;250001013;12;;;;;;;;;;;;;;;;;;;;2883;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;250006954;CHRU JEAN MINJOZ;250000015;2528;;;;;;;;;;;;;;;;;;;;;;;;;;;15597;;;;;;;1;0.67;1;2;1;;0;;0;;0;0
PSY2;2022;250014008;CHS ST REMY ET NFC CTRE JEAN MESSAGIER;700004096;2126;30;7;4;2;144;83;39;8;7;4;161;89;11623;1112;1062;240;9;3650;2538;1782;;;;;;;18968;145;10;4;2;91;60;1;1.32;0;;1;32.2;0;;0;;0;0
PSY2;2022;260000302;ETABLISSEMENT MEDICAL LA TEPPE;260000161;253;;;;;;;;;;;;;10268;;;;;;;;;;;;;;330;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;260000823;CH DROME-VIVARAIS - SITE DE MONTELEGER;260003264;12220;92;12;0;34;460;444;188;50;0;26;981;796;49075;3579;898;0;107;12546;12195;12776;270;241;0;0;1043;229;113698;1546;440;0;202;2012;1158;1;1.23;1;34.67;1;18.7;0;;0;;0;0
PSY2;2022;260005277;HOPITAL DE JOUR ADULTES MONTELIMAR;630786754;4588;14;3;;;42;11;14;3;;;44;11;;;;;;;;3568;64;124;;;147;91;33180;162;19;;;423;111;1;;0;;0;;0;;0;;0;0
PSY2;2022;270000573;NOUVEL HOPITAL DE NAVARRE;270000219;16585;52;10;2;42;387;267;26;1;2;51;347;249;67778;4970;934;1;387;16311;8453;7864;42;;;;128;;173343;562;28;309;;1175;856;1;5.56;1;4.64;1;58.92;0;;0;;0;0
PSY2;2022;270025984;CLINIQUE LA MARE Ô DANS;270029275;956;;;;;;;;;;;;;33063;;;;;;;8397;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;270027279;CLINIQUE DES PORTES DE L'EURE;270027881;869;;;;;;;;;;;;;31552;;;;;;;4509;;;;;;;;;;;;;;0;;1;24;0;;0;;0;;0;0
PSY2;2022;280000050;CH BONNEVAL;280000142;1427;23;6;1;8;170;173;12;3;1;8;150;162;37910;2096;670;2;24;8735;5557;14604;0;179;0;0;280;122;62755;13;68;0;34;1445;1043;1;4.47;1;33.99;1;2.09;0;;0;;0;0
PSY2;2022;280000084;CH DREUX;280000183;4076;31;1;;;89;4;20;1;;;58;3;12034;834;;;;1692;74;7976;;;;;101;;31854;114;1;;;459;12;1;1;1;1.1;1;15.59;0;;0;;0;0
PSY2;2022;280000696;CH CHARTRES - VAL DE L'EURE;280000134;1045;;;;;1;;;;;;1;;2370;;;;;7;;5674;;;;;;;8441;;;;;;;0;;0;;1;5.64;0;;0;;0;0
PSY2;2022;290000033;C.H. DES PAYS DE MORLAIX;290021542;7283;46;8;;;259;81;38;10;;;277;85;52154;1759;990;;;5338;2196;19514;401;169;;;432;43;65597;668;77;;;905;355;0;;1;22.69;0;;0;;0;;0;0
PSY2;2022;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;0;;0;;0;0
