BOR;AN;FI;RS;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_B17;CANCERO_D19;CANCERO_D20;CANCERO_D21;CANCERO_D22;CANCERO_D23;CANCERO_E19;CANCERO_E20;CANCERO_E21;CANCERO_E22;CANCERO_E23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_D28;CANCERO_D29;CANCERO_D30;CANCERO_D31;CANCERO_D32;CANCERO_D33;CANCERO_D34;CANCERO_E24;CANCERO_E26;CANCERO_E28;CANCERO_E29;CANCERO_E30;CANCERO_E31;CANCERO_E32;CANCERO_E33;CANCERO_E34
CANCERO;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;0;1;1634;0;1563;1111;0;1;;;;1598;0;6;1539;152;0;0;0;;;;;;;;;;;;;;;;;;;;;;3;13;;;13;1854;0;0;0;0;0;0;13;0;0.24;1.8;13.09;10.24;0.5;;5.74;0;0;;;;;;;
CANCERO;2022;040780470;CLINIQUE TOUTES AURES;040000192;0;0;0;313;0;249;231;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;1;0;0;678;0;478;509;0;0;130001647;;;98;0;0;98;16;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;0;0;239;0;196;226;0;0;050000348;;;175;0;1;173;29;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;1;7438;4;6872;3745;83;1;;;;6920;4;45;6858;811;4;0;0;;;;;;;;;;;;;;;;;;;;;;;20;;;2;8174;0;0;0;5;0;0;2;0;;2.9;6.63;3.65;;;1.3;0;0;;;;;;;
CANCERO;2022;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP;130784127;0;1;0;10151;0;9740;0;0;;;;;;;;;;;;;1;0;0;411;9740;0;0;0;437;0;0;1.74;0.2;6.51;0.2;4.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;0;1;4277;0;3874;3025;0;1;;;;3848;0;10;3783;391;0;0;0;;;;;;;;;;;;;;;;;;;;;;;20;;;0;4188;0;0;0;3;0;0;0;0;0.4;0.14;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0
CANCERO;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;0;0;3474;0;3107;3720;0;1;;;;3241;0;131;3015;352;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;1;1;50453;0;45525;32023;0;1;;;;21449;0;1573;19285;2253;0;0;0;4;;3;1615;20218;1095;235;325;1584;183;12;3.49;5.51;17.36;4.55;5.83;;;;;;74;49;26;17;4148;21170;2639;1566;5;0;2;3;22215;5491;7.23;12.5;90.73;75.79;0.47;2.74;20.36;20;3;;;;;;;
CANCERO;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;1;0;1;4530;3;4180;3013;156;1;;;;3593;3;82;3440;385;3;0;0;;;;;;;;;;;;;;;;;;;;;;;10;;;0;3438;0;0;0;0;0;0;0;0;3.03;0.1;2.9;0.5;1;;2.65;0;0;;;;;;;
CANCERO;2022;060019627;CTRE AZUREEN CANCEROLOGIE SITE TZANCK;060019551;0;1;0;64524;;61278;0;;;;;;;;;;;;;;5;1;0;3246;61278;;0;;2986;0;;;4;26;6;8.4;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060021342;CTRE COBALTH TRAIT HTE ENERG SITE CLIN;060003621;0;1;0;21659;;20211;0;;;;;;;;;;;;;;3;0;0;1448;20211;0;0;0;1251;0;0;0;5;16.01;1;17.49;7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;0;0;393;0;295;474;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;060780962;0;1;0;9292;;8211;0;;;;;;;;;;;;;;3;0;0;1081;8211;0;0;0;808;0;38;3.92;6.83;13.38;2.96;8.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060780442;CLINIQUE SAINT FRANCOIS;060000213;0;0;0;367;0;313;62;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060780491;INSTITUT ARNAULT TZANCK;060790797;0;0;0;1042;0;324;3538;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;0;1;10127;0;9520;4634;0;1;;;;8897;0;93;8700;965;0;0;0;;;;;;;;;;;;;;;;;;;;;;;9;;;0;8684;0;0;0;0;0;0;0;0;0.21;;5.44;0.83;1.36;0.73;;0;0;3;2;;;;;
CANCERO;2022;060780590;CLINIQUE DU PALAIS;060000270;0;0;0;270;0;142;507;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060780715;CLINIQUE SAINT GEORGE;060000361;1;0;1;9683;0;8579;6858;0;1;;;;4123;0;40;7727;662;0;0;0;;;;;;;;;;;;;;;;;;;;;;29;49;;;186;510;0;0;0;0;0;0;1067;0;;;9.26;8.59;1.49;1.48;5.49;0;0;3;;;;;;
CANCERO;2022;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1;0;1;3975;0;3706;2049;0;1;;;;3382;0;2;3364;310;0;0;0;;;;;;;;;;;;;;;;;;;;;;;18;;;0;3365;0;0;0;0;0;0;0;0;;;4.2;;0.74;0.6;1.77;0;0;3;;;;;;
CANCERO;2022;060780756;POLYCLINIQUE SANTA MARIA;060000403;0;0;0;737;0;458;660;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;0;0;31;0;3;410;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060781200;CLINIQUE SAINT ANTOINE;060000635;0;0;0;213;0;163;122;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;0;0;2550;0;1142;7631;0;0;060789195;;;1046;0;21;1034;169;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;1;11754;0;10206;17138;0;1;;;;10477;0;485;9387;1120;0;67;0;;;;;;;;;;;;;;;;;;;;;;16;12;;;453;7;0;0;0;1;0;0;6025;0;;0.6;;;;;;0;0;;;;;;;
CANCERO;2022;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;1;0;1;11060;0;10086;5951;0;1;;;;9296;0;13;9278;1018;0;0;0;;;;;;;;;;;;;;;;;;;;;;20;20;;;13;9076;0;0;0;0;0;0;31;0;;;13.05;7.75;0.95;0.8;7.23;0;0;3;1;;;;;
CANCERO;2022;070000013;CH DE PRIVAS ARDECHE;070002878;1;0;1;1226;0;945;1456;0;0;260000138;;;1037;0;93;910;128;0;0;0;;;;;;;;;;;;;;;;;;;;;;4;8;;;174;649;0;0;0;0;0;0;668;0;1.2;0.2;6.6;8;0.5;;0.2;0;0;;;;;;;
CANCERO;2022;070000062;CH DE BOURG SAINT ANDEOL;070005558;1;0;0;7;0;0;202;0;0;260000138;;;6;0;0;6;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;070000070;CH DU CHEYLARD;070780150;1;0;0;87;0;86;87;0;0;260000021;;;87;0;;86;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;070000179;CH ARDECHE NORD;070780358;1;0;0;661;0;560;963;0;1;690783220;;;535;0;29;488;57;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;1;0;1;2825;53;2589;1617;459;1;;;;2545;53;53;2436;282;11;0;0;;;;;;;;;;;;;;;;;;;;;;16;10;;;607;3473;0;0;0;0;0;0;6378;0;1.17;2.25;17.56;15.78;0.6;;4.08;0;0;;;;;;;
CANCERO;2022;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;0;0;0;166;0;139;57;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;070780424;CLINIQUE PASTEUR;070000245;0;0;0;1125;0;481;2898;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;0;1;5870;0;5048;5419;0;1;;;;5219;0;304;4838;606;0;0;0;;;;;;;;;;;;;;;;;;;;;;10;14;;;298;5030;0;0;0;0;0;0;444;0;1;0.4;7.23;2.03;;;1.26;0;0;;;;;;;
CANCERO;2022;080009392;CENTRE DE RADIOTHERAPIE;510007081;0;1;0;10879;;10129;0;;;;;;;;;;;;;;1;0;0;750;10129;530;0;0;464;0;0;0;2;3.8;1;2.68;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;0;0;3969;137;3566;3779;812;1;;;;3759;137;131;3535;490;32;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;0;0;333;0;317;242;0;0;090000175;;;248;0;0;247;40;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;1;18369;0;17337;10769;0;1;;;;9952;0;316;9236;945;0;5;0;2;1;0;303;7290;49;0;0;347;0;0;2;2.74;7.44;0;6.7;;;;;;12;27;;;368;11287;0;0;0;1;0;0;4217;0;0;4.97;20.95;8.51;0;0.33;8.07;0;0;;;;;;;
CANCERO;2022;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;0;0;0;385;0;54;1543;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;100010818;GCS HOPITAL PRIVE DE L AUBE SITE CLQ;100010792;1;0;1;2249;0;2093;957;0;1;;;;2070;0;26;1989;239;0;0;0;;;;;;;;;;;;;;;;;;;;;;;8;;;264;2036;0;0;0;0;0;0;1909;0;;;6;;;;1;0;0;;2;;;1;1;
CANCERO;2022;110000023;CH CARCASSONNE;110780061;1;1;1;21140;0;20710;4200;0;1;;;;5458;0;35;5246;691;0;5;0;2;0;0;930;14327;85;0;19;671;19;0;2.2;2.98;8.99;0.8;3.07;;;;;;12;16;;;408;6135;0;0;0;0;0;0;2734;0;2.21;;12.21;9.71;0.5;0.3;4.4;0;0;;;;;;;
CANCERO;2022;110000056;CH NARBONNE;110780137;1;0;0;470;0;353;1277;0;1;;;;349;0;0;340;53;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;0;1;8526;0;7796;5901;0;1;;;;7208;0;139;7514;769;0;0;0;;;;;;;;;;;;;;;;;;;;;;;18;;;0;6792;0;0;0;0;0;0;0;0;;;6;1;0.2;0.2;;0;0;1;2;;;;;
CANCERO;2022;110780483;POLYCL MONTREAL CARCASSONNE;110000155;1;0;1;2229;0;1872;1673;0;1;;;;1535;0;4;1520;206;0;0;0;;;;;;;;;;;;;;;;;;;;;;;5;;;0;1544;0;0;0;0;0;0;0;0;;;3.11;;0.2;0.05;0.7;0;0;1;;;;;;
CANCERO;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1;1;23075;0;22510;3495;0;1;;;;7354;0;150;7189;787;0;1;0;2;0;;698;15046;94;0;0;764;0;0;3;4.18;10.99;;2.58;;;;;;12;21;;;755;7496;0;0;1;1;0;0;4011;0;5.05;0.03;20.92;7.48;0.57;0.27;3.13;4;0;;;;;;;
CANCERO;2022;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;0;1;2024;0;1816;1644;0;1;;;;1774;0;6;1723;210;0;0;0;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1730;0;0;0;0;0;0;0;0;;;0.1;;;;1;0;0;;;;;;;
CANCERO;2022;120004569;CH MILLAU;120004528;1;0;0;965;0;853;695;0;0;340780493;;;814;0;0;809;112;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;0;0;8865;7;8132;6277;381;1;;;;8109;7;9;8138;926;6;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;0;0;524;5;384;819;24;0;130786049;;;396;5;41;350;48;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;0;0;2206;0;2035;1988;0;1;;;;2052;0;9;1946;242;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;1;1;1;81450;14;73309;54359;254;1;;;;41811;14;3613;36538;4889;10;0;0;4;0;2;2120;31826;469;263;373;1864;368;0;7.72;6.67;23.04;4;10.63;;;;;;200;64;77;20;8451;41705;4906;8030;0;0;0;2;42363;16478;101.72;;296.13;120.68;5.5;7.92;73.29;0;0;;;;;;;
CANCERO;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;0;0;2442;0;2227;2442;0;1;;;;2237;0;55;2133;230;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;0;0;3717;0;3228;2978;0;1;;;;3256;0;181;3022;331;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130008253;CLINIQUE DE VITROLLES;130001084;0;0;0;194;0;170;57;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130009079;CTRE RADIOTHERAPIE BEAUREGARD SITE HP;130008980;0;1;0;21393;;20592;;;;;;;;;;;;;;;2;1;0;801;20592;0;0;0;795;0;0;0;3.6;8.6;2;4.1;9;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130021819;HAD CLARA SCHUMANN;130021769;1;0;0;0;8;0;0;443;1;;;;0;8;0;0;0;7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130034580;CTRE RADIOTHERAPIE PAYS D'AIX LOCARAD;130034572;0;1;0;37008;;35498;0;;;;;;;;;;;;;;3;0;0;1510;35498;;0;;1395;0;0;0;4;17.8;3;5.06;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130043664;HOPITAL EUROPEEN;130002157;1;0;0;10814;0;9180;12238;0;1;;;;9378;0;210;8856;1160;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130044753;CLINIQUE MONTICELLI VELODROME;130810336;0;0;0;73;0;70;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130048176;IRIDIS MARSEILLE SITE HP CLAIRVAL;130037856;0;1;0;35944;;33185;;;;;;;;;;;;;;;4;1;0;2759;33185;0;0;0;2182;0;0;0;6.6;22;4;13;7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130050917;GCS CLINIQUE JEANNE D'ARC;130050891;1;0;0;363;0;245;381;0;0;840000350;;;25;0;0;25;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130780521;APHM HOPITAL NORD;130786049;1;1;1;24761;0;21746;17777;0;1;;;;9770;0;1281;8258;1248;0;0;0;3;0;;972;12285;136;0;0;705;0;17;0;;;;;;;;;;49;10;5;1;3361;6906;366;21;8;2;3;1;13607;1429;2.46;7.39;32.81;14.99;2;;41.34;32;3;;;;;;;
CANCERO;2022;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;1;0;1;3499;0;3135;3000;0;1;;;;2985;0;0;2960;310;0;0;0;;;;;;;;;;;;;;;;;;;;;;;14;;;0;3306;0;0;0;0;0;0;0;0;0;0;3;;;0.5;;0;0;5;2;;;2;;
CANCERO;2022;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;0;0;0;272;0;88;1488;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130000987;1;0;0;401;0;351;157;0;0;130002835;;;260;0;0;259;41;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2022;130782675;CLINIQUE VIGNOLI;130001233;1;0;0;432;0;274;765;0;0;130001225;;;59;0;0;59;10;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
