BOR;AN;FI;RS;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALHYB;SAL24HYB;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15
BLOCS;2022;020000535;CH CHAUNY;020000287;1;3;0;1;1;0;0;0;0;1;0;;;5;1;;1;0;0;8;0;0;386;1085;1471;852;;327;122;449;248;;3;0;3;3;;1;23;24;1;;695;1001;1696;747;;0;2;2;0;
BLOCS;2022;020001061;CH CHÂTEAU-THIERRY;020004404;1;4;;1;;;;;;1;;;;6;;;1;;;6;;;1139;3524;4663;3898;2249;430;48;478;238;0;48;0;48;3;0;2;0;2;0;0;1391;1356;2747;1402;711;4;33;37;22;1483
BLOCS;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;6;;0;;0;;0;;2;;1;;9;;;1;;;12;;;2971;5239;8210;6953;;0;2;2;2;;29;0;29;0;;117;169;286;116;;1607;5993;7600;4452;;18;138;156;96;
BLOCS;2022;030000061;CH DE MOULINS;030780092;1;5;0;1;1;1;0;0;0;1;0;0;0;8;1;;1;;;12;;;2374;1394;3768;2836;1403;728;103;831;380;0;242;1;243;10;0;172;243;415;156;0;1614;882;2496;1614;793;5;86;91;0;433
BLOCS;2022;030000079;CH DE MONTLUCON;030780100;1;3;0;1;0;1;0;0;0;2;0;0;0;7;0;0;1;1;0;8;2;0;2426;1155;3581;2722;2851;660;83;743;285;0;994;36;1030;2;2;7;10;17;3;0;1454;1026;2480;1254;1594;3;8;11;0;151
BLOCS;2022;030000087;CH JACQUES LACARIN VICHY;030780118;3;6;;1;1;2;;;;3;;;;12;1;;3;;;14;;;4495;2534;7029;5598;;722;126;848;354;;1167;178;1345;0;;188;554;742;147;;2248;5613;7861;5295;;5;27;32;3;
BLOCS;2022;030780548;POLYCLINIQUE LA PERGOLA;030000194;1;5;;;;1;;;;1;;;;7;;;1;;;12;;;2234;6654;8888;7952;;0;10;10;10;;1;0;1;0;;0;0;0;0;;1173;1608;2781;2221;;7;353;360;2;
BLOCS;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;10;1;0;0;1;1;0;0;4;1;0;0;15;3;0;1;1;0;16;5;0;2857;6402;9259;7766;;1;5;6;6;;73;0;73;1;;98;59;157;73;;1687;4081;5768;4431;;4;273;277;152;
BLOCS;2022;030785430;POLYCLINIQUE SAINT-ODILON;030009088;1;8;;0;;0;;0;;1;;0;;9;;;1;;;15;;;1899;2770;4669;4076;;0;0;0;0;;7;0;7;0;;116;111;227;97;;873;3767;4640;3423;;1;4;5;3;
BLOCS;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;5;5;1;1;0;0;0;0;0;0;0;0;6;6;0;1;1;0;9;9;0;1819;887;2706;2014;29;375;28;403;140;;35;0;35;0;;1;0;1;0;;555;712;1267;624;24;0;0;0;0;1
BLOCS;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;4;4;1;1;;;;;1;1;;;6;6;;1;1;;6;6;;1097;974;2071;1775;671;256;54;310;142;1;0;0;0;0;0;0;0;0;0;0;541;1988;2529;1384;231;5;3;8;0;29
BLOCS;2022;040780470;CLINIQUE TOUTES AURES;040000192;1;3;0;0;;0;;0;;1;;0;;4;0;;1;;;6;;;496;3771;4267;3244;;0;0;0;0;;0;0;0;0;;0;22;22;5;;13;1169;1182;1309;;0;114;114;1;
BLOCS;2022;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;1;6;0;;;;;;;2;;2;;10;0;;1;;;17;;;2304;8876;11180;9946;;0;0;0;0;;0;0;0;0;;44;231;275;52;;377;4840;5217;3423;;2;67;69;5;
BLOCS;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;2;;1;;;;;;;;;;3;;;1;;;8;;;2026;1583;3609;2776;;215;46;261;128;;0;0;0;0;;0;1;1;0;;443;767;1210;764;;4;5;9;0;
BLOCS;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;0;0;;;;;;;;;;;;0;;0;;;;;;;15;9;24;6;;0;0;0;0;;0;0;0;0;;0;0;0;0;;8;1;9;0;;0;0;0;0;
BLOCS;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;7;1;1;1;;;;;1;1;;;9;3;;1;1;;12;12;;3817;1908;5725;4483;;748;151;899;472;;40;0;40;0;;1;0;1;0;;1596;1739;3335;2269;;0;32;32;2;
BLOCS;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;6;1;1;1;1;;;;1;;;;9;2;;2;;;8;;;3267;2258;5525;4041;599;1712;162;1874;517;;91;0;91;6;;10;0;10;5;;1472;1626;3098;1974;;9;128;137;1;
BLOCS;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;4;5;0;1;0;1;0;0;0;2;0;1;0;10;0;0;1;0;0;12;0;0;3897;2105;6002;4756;46;736;139;875;369;0;1725;22;1747;183;0;76;50;126;69;0;1735;2300;4035;1644;129;3;9;12;0;0
BLOCS;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;5;;;;1;;;;1;;1;;8;;;1;;;6;;;3661;2221;5882;3298;;0;0;0;0;;1;0;1;0;;62;0;62;3;;340;629;969;633;;29;3;32;0;
BLOCS;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;4;8;1;1;0;2;0;;0;2;0;0;0;13;1;0;2;0;;16;0;;3519;5487;9006;4180;5090;1055;150;1205;453;35;1310;37;1347;3;0;193;123;316;199;0;2487;2219;4706;2694;2539;17;189;206;4;1449
BLOCS;2022;060002102;CH LA PALMOSA DE MENTON;060791761;1;3;1;0;0;0;0;;;1;0;1;0;5;1;0;1;0;0;6;0;0;1035;1167;2202;1897;414;1;19;20;20;;0;0;0;0;0;18;10;28;18;;461;1556;2017;1326;43;1;82;83;1;
BLOCS;2022;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;1;2;2;;;;;;;;;;;2;2;;2;;;2;;;762;1051;1813;1487;;0;0;0;0;;0;0;0;0;;0;0;0;0;;147;278;425;87;;0;5;5;0;
BLOCS;2022;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;3;12;1;0;0;0;0;0;0;2;0;1;0;15;1;;3;1;;21;5;;3207;15916;19123;16993;;0;12;12;12;;0;0;0;0;;16;103;119;10;;230;6059;6289;3357;;5;214;219;16;
BLOCS;2022;060780442;CLINIQUE SAINT FRANCOIS;060000213;1;6;;;;;;;;;;;;6;;;1;;;9;;;1717;6192;7909;7145;;0;0;0;0;;0;0;0;0;;0;0;0;0;;43;154;197;88;;0;10;10;0;
BLOCS;2022;060780491;INSTITUT ARNAULT TZANCK;060790797;4;9;1;;;3;1;;;3;1;;;15;3;;4;1;;23;7;;3807;5551;9358;6185;;0;0;0;0;;9;6;15;13;;1772;303;2075;1859;;3780;10490;14270;8344;;127;69;196;42;
BLOCS;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;4;13;1;1;1;1;0;0;0;3;0;1;0;19;2;;4;1;1;32;1;8;7368;15907;23275;20444;;202;88;290;286;;0;0;0;0;;329;47;376;331;;1379;10485;11864;6976;;9;177;186;91;
BLOCS;2022;060780590;CLINIQUE DU PALAIS;060000270;1;5;0;0;0;0;0;0;0;2;0;0;0;7;0;;1;0;0;11;0;0;1575;2656;4231;3736;;0;36;36;36;;0;0;0;0;;11;90;101;1;;1223;4827;6050;3970;;3;33;36;15;
BLOCS;2022;060780715;CLINIQUE SAINT GEORGE;060000361;6;24;2;;;5;1;1;;2;1;0;;32;4;7;6;1;3;45;12;18;10325;22066;32391;28059;;;;;;;2443;140;2583;2281;;458;330;788;781;;2585;10795;13380;8199;;29;408;437;246;
BLOCS;2022;060780723;CLINIQUE DU PARC IMPERIAL;060004959;3;7;7;;;2;2;;;2;2;;;11;11;;2;;;18;;;2662;8456;11118;10116;;0;0;0;0;;73;0;73;47;;22;21;43;17;;1562;8729;10291;5393;;11;127;138;109;
BLOCS;2022;060780756;POLYCLINIQUE SANTA MARIA;060000403;1;6;;2;;0;;;;1;;;;9;;;2;;;13;;;3748;4548;8296;6525;;1058;178;1236;1203;;0;0;0;0;;0;8;8;0;;314;6635;6949;4437;;2;98;100;1;
BLOCS;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;1;5;;;;;;;;;;;;5;;;1;;;8;;;2181;2175;4356;3576;;0;0;0;0;;0;0;0;0;;2;0;2;1;;421;268;689;173;;2;12;14;0;
BLOCS;2022;060781200;CLINIQUE SAINT ANTOINE;060000635;3;6;2;;;;;;;2;;1;;9;2;1;2;;1;12;;3;2564;5443;8007;7513;;0;77;77;80;;0;0;0;0;;2;1;3;0;;756;5426;6182;3267;;0;52;52;15;
BLOCS;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;2;22;2;;;5;;;;1;;1;;29;2;;3;1;;39;0;;14152;7167;21319;17114;5180;2;0;2;1;0;1239;70;1309;188;5;577;503;1080;620;20;2220;725;2945;1585;1241;40;10;50;29;2992
BLOCS;2022;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;0;0;;;;;;;;;;;;0;;0;;;;;;;16;1;17;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;59;0;59;22;;0;0;0;0;
BLOCS;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;7;;2;1;2;;0;;4;;;;15;1;0;2;;;18;;;4021;1882;5903;3799;;2871;739;3610;1566;;10;0;10;0;;447;89;536;40;;2497;5186;7683;4171;;141;72;213;16;
BLOCS;2022;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;1;0;;;;;;;;1;;1;;2;;;1;;;4;;;52;1;53;21;;0;0;0;0;;1;0;1;0;;0;0;0;0;;250;17;267;59;;1;0;1;0;
BLOCS;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;2;2;1;;;3;1;1;0;;;2;0;8;2;0;1;;;10;1;0;646;12;658;505;;0;0;0;0;;2213;118;2331;1853;;67;2;69;69;;101;0;101;46;;0;0;0;0;
BLOCS;2022;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;2;11;3;;;2;;;;3;;1;;17;3;;2;1;;35;5;;4504;8919;13423;10212;;0;2;2;2;;37;1;38;1;;3;192;195;2;;2823;10549;13372;8170;;43;786;829;96;
BLOCS;2022;070000013;CH DE PRIVAS ARDECHE;070002878;1;3;3;0;0;1;0;3;3;1;1;0;0;8;7;;1;1;1;5;5;5;1107;1190;2297;1950;;1;8;9;9;;3;0;3;3;;0;0;0;0;;1058;1388;2446;1790;;0;66;66;66;
BLOCS;2022;070000179;CH ARDECHE NORD;070780358;1;4;;;;;;;;1;;;;5;;;1;;;9;;;1637;2168;3805;2706;;459;39;498;203;;80;0;80;0;;7;301;308;2;;946;1856;2802;1609;;4;2;6;1;
BLOCS;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;1;3;1;1;;;;;;1;;;;5;1;;1;;;6;;;2121;1633;3754;3061;;462;90;552;273;;58;0;58;1;;0;46;46;0;;471;272;743;456;;0;11;11;0;
BLOCS;2022;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;1;4;0;;;;;;;1;;;;5;0;;1;;;8;;;987;2965;3952;3421;;1;1;2;2;;1;1;2;2;;264;94;358;284;;283;3227;3510;2102;;1;8;9;0;
BLOCS;2022;070780424;CLINIQUE PASTEUR;070000245;2;12;;2;;1;;;;1;;1;;17;;;1;;;22;;;4449;10568;15017;13647;;126;29;155;85;;76;0;76;0;;851;366;1217;951;;901;1354;2255;1937;;19;143;162;24;
BLOCS;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;0;;1;1;0;;0;;0;;0;;1;1;2;1;;0;9;;0;201;526;727;418;2409;360;25;385;189;2;0;0;0;0;0;0;0;0;0;0;342;332;674;287;470;5;23;28;0;28
BLOCS;2022;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;3;;0;;0;;0;;1;;0;;4;;;1;;;6;;;1716;1560;3276;2129;334;0;8;8;2;3;0;0;0;0;0;0;2;2;0;20;343;1787;2130;1196;134;0;7;7;0;0
BLOCS;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;2;6;2;2;1;1;;;;2;;;;11;3;1;1;;1;11;;6;4579;2794;7373;5995;5523;1033;106;1139;427;20;212;0;212;0;0;105;0;105;64;0;2612;2283;4895;2795;2767;23;61;84;14;276
BLOCS;2022;080010465;GCS TERRIT ARDEN NORD SITE CH SEDAN;080010242;1;0;;;;;;;;0;;;;0;;2;0;;1;0;;2;0;123;123;103;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;332;332;207;;0;0;0;0;
BLOCS;2022;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;1;4;;;;1;;;;1;;1;;7;;;1;;;8;;;1823;5108;6931;6472;;0;0;0;0;;0;0;0;0;;23;0;23;23;;232;4191;4423;2867;;0;30;30;0;
BLOCS;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;6;;1;;;;;;2;;;;9;;0;1;;0;12;;0;2658;2414;5072;3677;;686;134;820;426;;1;1;2;1;;0;427;427;0;;950;2349;3299;1901;;16;18;34;1;
BLOCS;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;3;;;;;;;;;;;;3;;;1;;;4;;;906;1186;2092;1721;;111;31;142;75;;0;0;0;0;;0;0;0;0;;185;777;962;554;;0;1;1;0;
BLOCS;2022;100000082;CLINIQUE DU PAYS DE SEINE;100001148;1;4;4;;;;;;;1;;;;5;4;;1;1;;9;9;;851;2386;3237;2662;277;2;2;4;4;;0;0;0;0;;0;0;0;0;;309;1694;2003;1083;;1;2;3;0;
BLOCS;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;7;1;2;1;1;1;0;0;2;0;;;12;3;;1;1;;10;6;;4058;2233;6291;4738;2567;1893;279;2172;914;28;1096;21;1117;45;1;256;103;359;240;;1785;1105;2890;1727;2058;15;44;59;0;1213
BLOCS;2022;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;1;10;;;;;;;;1;;;;11;;3;1;;1;17;;16;4439;8131;12570;11386;;0;0;0;0;;126;4;130;0;;254;159;413;274;;1176;3970;5146;3379;;7;52;59;39;
BLOCS;2022;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;;;;;;;;;;;;;;;;;;;;;;;36;9;45;28;;335;56;391;158;;2;0;2;0;;0;0;0;0;;109;176;285;124;;1;1;2;0;
BLOCS;2022;100010818;GCS HOPITAL PRIVE DE L AUBE SITE CLQ;100010792;1;4;;1;;1;;;;1;;1;;8;;;1;;;7;;;1328;3065;4393;3917;;2;16;18;18;;0;0;0;0;;0;12;12;0;;527;4716;5243;3556;;1;69;70;2;
BLOCS;2022;110000023;CH CARCASSONNE;110780061;2;6;;1;1;1;;;;3;;;;11;1;;1;;;16;;;3846;1957;5803;4900;2534;1188;196;1384;547;6;1195;11;1206;14;0;215;68;283;218;1;2088;2860;4948;2975;801;8;41;49;4;166
BLOCS;2022;110000056;CH NARBONNE;110780137;2;6;;1;;;;;;2;;;;9;;;1;;;12;;;2915;1773;4688;4314;;561;124;685;325;;71;0;71;2;;0;8;8;0;;1134;3000;4134;2342;;1;5;6;0;
BLOCS;2022;110000247;CH LEZIGNAN CORBIERES;110780772;1;0;;;;;;;;1;;;;1;;;1;;;4;;;1;2;3;2;;0;0;0;0;;0;0;0;0;;0;0;0;0;;69;529;598;334;;0;0;0;0;
BLOCS;2022;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;7;;;;;;;;2;;;;9;;;1;;;17;;;3256;6661;9917;8436;;2;7;9;9;;45;0;45;11;;442;226;668;439;;1315;6360;7675;4674;;58;835;893;32;
BLOCS;2022;110780483;POLYCL MONTREAL CARCASSONNE;110000155;1;7;;;;;;;;1;;1;;9;;;1;;;10;;;2683;7425;10108;8419;;1;25;26;9;;10;0;10;0;;55;180;235;53;;1052;5582;6634;4150;;33;37;70;54;
BLOCS;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;8;1;1;1;2;1;;;3;1;;;14;4;;2;1;;19;15;;3337;4078;7415;5906;3635;1037;113;1150;409;10;1225;12;1237;28;0;97;1199;1296;84;7;1687;3034;4721;3147;1887;5;36;41;28;396
BLOCS;2022;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;2;2;1;;1;;;;1;;2;2;7;4;2;1;;;11;11;;1555;2852;4407;3846;;261;39;300;122;;5;0;5;0;;0;0;0;0;;694;3414;4108;2844;;2;1;3;1;
BLOCS;2022;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;3;;;;;;;;1;;;;4;;;1;;;4;;;7;186;193;134;;0;0;0;0;;0;0;0;0;;0;0;0;0;;10;139;149;90;;0;0;0;0;
BLOCS;2022;120004569;CH MILLAU;120004528;1;4;1;1;1;;;;;1;1;;;6;3;;1;1;;10;10;;1279;2083;3362;2804;167;204;14;218;110;;13;0;13;0;;0;0;0;0;;637;2362;2999;1945;;0;1;1;0;
BLOCS;2022;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;1;;1;1;;;;;;;1;;3;1;2;1;;1;3;;2;128;790;918;792;105;146;2;148;57;1;0;0;0;0;;1;0;1;0;;73;418;491;305;54;0;0;0;0;
BLOCS;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;3;12;;1;1;2;;;;2;;2;;19;1;;3;;;22;;;5375;4794;10169;6964;6033;1290;372;1662;808;0;2287;253;2540;68;20;129;20;149;103;0;2684;2092;4776;2491;2520;13;233;246;11;1093
BLOCS;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;2;4;1;1;1;;;;;1;;;;6;2;;1;1;;5;5;;1733;1240;2973;2219;;865;127;992;419;;0;0;0;0;;3;0;3;2;;915;1100;2015;1250;;0;4;4;2;
BLOCS;2022;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;3;1;2;1;;;;;2;1;1;;8;3;;1;1;;9;2;;1876;1059;2935;2517;;804;144;948;361;;27;0;27;0;;1;10;11;1;;1172;2256;3428;1830;;4;1;5;1;
BLOCS;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;2;9;;;;;;;;3;;;;12;;;2;;;21;;;6621;4989;11610;7288;;0;0;0;0;;2;1;3;1;;142;2;144;83;;4211;4880;9091;6551;;225;6;231;22;
BLOCS;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;1;3;;1;;;;;;1;;;;5;;;1;;;6;;;1277;688;1965;1841;;646;99;745;340;;0;0;0;0;;2;0;2;0;;237;227;464;393;;0;3;3;0;
BLOCS;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;2;4;;1;1;1;;;;1;;1;;8;1;;1;;;6;;;1820;2855;4675;2603;;502;29;531;183;;106;0;106;0;;0;0;0;0;;1402;1695;3097;1810;;9;10;19;0;
BLOCS;2022;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;2;5;1;1;1;0;0;0;0;1;0;0;0;7;2;;2;1;;10;4;;2848;1722;4570;3404;94;523;288;811;798;0;124;1;125;0;0;1;286;287;0;0;1383;2100;3483;2112;20;3;13;16;2;0
BLOCS;2022;130008253;CLINIQUE DE VITROLLES;130001084;1;7;;1;;0;;0;;0;;0;;8;;;1;;;12;;;1153;2657;3810;3269;;586;82;668;301;;0;0;0;0;;1;0;1;1;;6;176;182;174;;6;50;56;0;
BLOCS;2022;130041767;EUROMED CARDIO;130041262;1;0;;;;2;;;;;;;;2;;;1;;;2;;;18;0;18;12;0;0;0;0;0;0;1226;14;1240;1139;0;28;0;28;28;0;34;0;34;13;0;0;0;0;0;0
BLOCS;2022;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;1;1;0;0;0;2;2;0;0;0;0;4;0;7;2;;1;;;5;;;135;57;192;14;;0;0;0;0;;1228;18;1246;1020;;5;0;5;4;;11;0;11;5;;0;0;0;0;
BLOCS;2022;130043664;HOPITAL EUROPEEN;130002157;1;19;;;;2;;;;6;;;;27;;;2;;;44;;;8483;12680;21163;17810;2564;7;10;17;17;0;54;2;56;18;0;620;328;948;726;0;4810;15735;20545;11860;2856;114;560;674;81;429
BLOCS;2022;130044753;CLINIQUE MONTICELLI VELODROME;130810336;3;10;;;;;;;;;;;;10;;;2;;;18;;;1221;16780;18001;17301;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;121;121;11;;1;65;66;0;
BLOCS;2022;130050917;GCS CLINIQUE JEANNE D'ARC;130050891;1;4;0;0;0;0;0;0;0;1;0;0;0;5;0;0;1;0;0;8;0;0;1767;2923;4690;3704;;0;0;0;0;;0;0;0;0;;12;1;13;13;;277;3213;3490;1928;;0;1;1;0;
BLOCS;2022;130780521;APHM HOPITAL NORD;130786049;3;29;13;3;1;1;1;;;9;4;1;;43;19;;7;;;52;;;10543;6308;16851;13653;;1978;337;2315;1112;;1848;97;1945;39;;718;211;929;517;;4870;4887;9757;5737;;112;59;171;33;
BLOCS;2022;130781370;CLINIQUE JEANNE D'ARC;130000532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;196;2;198;117;;0;0;0;0;
BLOCS;2022;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;4;13;13;0;0;3;3;0;0;2;1;1;0;19;17;6;3;2;1;36;5;18;3872;4437;8309;7255;;0;7;7;7;;1033;10;1043;853;;462;241;703;488;;1422;6346;7768;4467;;0;86;86;6;
BLOCS;2022;130781867;CLINIQUE DE LA CIOTAT;130000813;2;6;1;;;1;;;;2;;1;;10;1;;2;;;16;;;970;5593;6563;4915;;0;0;0;0;;0;0;0;0;;2;87;89;0;;356;2609;2965;1956;;0;6;6;3;
BLOCS;2022;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;;8;;0;;1;;0;;1;;0;;10;;;1;;;17;;;337;3078;3415;2721;;0;0;0;0;;0;0;0;0;;147;30;177;173;;316;3244;3560;1904;;0;5;5;0;
BLOCS;2022;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;1;6;1;;;1;1;;;2;1;;;9;3;;1;;;14;;;1500;2730;4230;3477;;0;0;0;0;;846;98;944;900;;395;80;475;400;;1028;4584;5612;3721;;1;1;2;2;
BLOCS;2022;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130000987;1;6;;0;;1;;0;;1;;0;;8;;;1;;;12;;;1170;4480;5650;4816;;0;0;0;0;;0;0;0;0;;127;6;133;133;;449;3664;4113;2281;;3;118;121;95;
BLOCS;2022;130782675;CLINIQUE VIGNOLI;130001233;1;5;0;0;0;1;0;0;0;1;0;1;0;8;0;;1;;;9;;;629;3910;4539;3841;;0;0;0;0;;0;0;0;0;;156;6;162;157;;467;3641;4108;2363;;7;114;121;4;
BLOCS;2022;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;2;17;;3;;2;;0;;2;;1;;25;;;4;;;28;5;;9027;2434;11461;9009;;1970;1114;3084;1818;;4;0;4;1;;146;6;152;36;;4349;2955;7304;2710;;76;114;190;3;
BLOCS;2022;130783293;APHM HOPITAL LA TIMONE;130786049;2;19;19;0;0;9;;1;;4;;2;;35;19;;3;1;;42;16;;14807;3064;17871;12815;;4;2;6;6;;3402;91;3493;823;;1682;593;2275;1157;;3606;2870;6476;2814;;215;119;334;47;
