BOR;AN;FI;RS;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2022;020000535;CH CHAUNY;020000287;114;41610;4313;301;24657;5;1825;210;18;795;18;6570;985;294;2209;137;50005;5508;613;27661;2;340;3;251;1846;21;1646;;0;;;23;1986;3;251;1846;1;1;1;1;0;0;1;0;0;25;;;;22070;1231;21916;;1219;7329
MCO;2022;020001061;CH CHÂTEAU-THIERRY;020004404;143;52195;7637;1296;44761;15;5475;1058;4;3928;15;5475;841;0;3264;173;63145;9536;1300;51953;4;96;2;;955;10;3897;;473;;;14;4466;2;;955;1;1;1;1;1;1;1;1;1;75;90;3;60;36719;2787;68844;343;3537;13216
MCO;2022;020001087;CH HIRSON;020004495;60;21900;3224;1531;15402;;;0;0;0;;;0;0;0;60;21900;3224;1531;15402;4;331;;;0;;0;;0;;;4;331;;;0;1;1;1;;;1;;1;;63;;17;;6562;1109;1399;0;761;660
MCO;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;35;12775;2555;515;10066;68;24820;3059;14;7607;0;0;0;0;0;103;37595;5614;529;17673;4;576;;;3463;40;9801;;0;;;44;10377;;;3463;;;;;;;;;;;;;;;;;;;
MCO;2022;030000061;CH DE MOULINS;030780092;193;73248;10292;2271;60511;57;21176;2829;60;16307;25;9900;1406;4;5637;275;104324;14527;2335;82455;16;911;;;13680;7;2575;2;256;;;25;3742;;;13680;1;1;1;1;1;1;1;1;1;15;120;53;40;39080;4865;47727;1391;3632;15662
MCO;2022;030000079;CH DE MONTLUCON;030780100;242;88330;12378;2090;77399;33;12045;1433;46;7665;33;12045;1688;218;5461;308;112420;15499;2354;90525;2;1713;;;12246;4;774;3;557;;;9;3044;;;12246;1;1;1;1;1;1;1;1;0;50;90;20;;43466;2745;42682;0;2494;12800
MCO;2022;030000087;CH JACQUES LACARIN VICHY;030780118;218;81234;12770;2464;72260;67;23835;3290;158;17890;20;7300;1670;195;5066;305;112369;17730;2817;95216;17;2522;;;14702;14;6017;;0;;;31;8539;;;14702;1;1;1;1;1;1;1;1;1;63;126;7;;58735;2835;56014;;2522;6339
MCO;2022;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;8;2920;113;0;1588;;;0;0;0;;;0;0;0;8;2920;113;0;1588;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;10;3650;120;1;3661;0;0;0;0;0;0;0;0;0;0;10;3650;120;1;3661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;;;;;469;0;0;0;0;0
MCO;2022;030780548;POLYCLINIQUE LA PERGOLA;030000194;14;5110;1362;351;5649;49;17885;2368;284;4954;;;0;0;0;63;22995;3730;635;10603;4;115;;;2307;26;7136;;0;;;30;7251;;;2307;;;;;;;;;;;;;;;;;;;
MCO;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;64;22740;2039;19;20036;54;17550;2966;55;10084;0;;0;0;0;118;40290;5005;74;30120;3;675;;;7095;25;8538;;0;;;28;9213;;;7095;;;;;;;;;;;;;;;;;;;
MCO;2022;030785430;POLYCLINIQUE SAINT-ODILON;030009088;30;10950;2334;3;6887;61;17845;1535;6;4270;;;0;0;0;91;28795;3869;9;11157;3;2;;;988;27;5973;;0;;;30;5975;;;988;0;0;0;0;0;0;0;0;0;;;;;0;0;0;;0;
MCO;2022;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;5;1825;92;4;958;;;0;0;0;;;0;0;0;5;1825;92;4;958;;0;;;1;;0;;0;;;;0;;;1;;;;;;;;;;;;;;;;;;;
MCO;2022;040000044;EPS DUCELIA DE CASTELLANE;040780140;4;1460;65;5;528;;;0;0;0;;;0;0;0;4;1460;65;5;528;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;139;47673;6250;697;40721;30;10872;1629;94;7467;19;6935;936;183;2699;188;65480;8815;974;50887;12;425;0;0;4907;10;1459;0;0;0;0;22;1884;0;0;4907;1;0;1;1;0;1;0;0;1;60;;20;45;22512;1612;15346;;4524;3167
MCO;2022;040000119;EPS LUMIERE DE RIEZ;040780231;4;1460;139;0;862;0;0;0;0;0;0;0;0;0;0;4;1460;139;0;862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;040780249;4;1460;48;1;515;;;0;0;0;;;0;0;0;4;1460;48;1;515;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;15;5475;2106;640;6313;;;0;0;0;;;0;0;0;15;5475;2106;640;6313;;0;;;1;;0;;0;;;;0;;;1;;;;;;;;;;;;;;4943;402;14771;;220;542
MCO;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;88;37726;3720;665;28286;22;8750;1134;42;4933;16;6100;554;13;2012;126;52576;5408;720;35231;25;2115;;;2207;16;2448;1;430;;;42;4993;;;2207;1;1;0;1;1;0;1;1;0;;;;;19098;751;15368;28;2122;3871
MCO;2022;040780470;CLINIQUE TOUTES AURES;040000192;0;;0;0;0;20;8208;503;0;1774;0;0;0;0;0;20;8208;503;0;1774;;0;;;0;22;4547;;0;;;22;4547;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;18132;;0;;0;;;;0;;;18132;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;29;7569;137;0;477;29;10585;1869;0;3401;;;0;0;0;58;18154;2006;0;3878;25;51;;;534;29;10804;;0;;;54;10855;;;534;;;;;;;;;;;;;;;;;;;
MCO;2022;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;4;1460;45;0;1183;;;0;0;0;;;0;0;0;4;1460;45;0;1183;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;44;16060;3488;1051;12509;22;8030;1990;97;6299;12;3285;707;191;1676;78;27375;6185;1339;20484;0;431;;;5303;5;1908;;0;;;5;2339;;;5303;0;0;1;1;1;1;1;1;1;;;;;20224;1558;17736;1;1291;6230
MCO;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;21;7665;1396;605;6332;;;0;0;0;;;0;0;0;21;7665;1396;605;6332;;0;;;0;;0;;0;;;;0;;;0;1;0;0;1;0;0;0;0;0;;;;;1584;342;6930;;323;0
MCO;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;165;71175;9612;990;51124;54;19710;3528;63;13612;18;6570;1800;50;5874;237;97455;14940;1103;70610;3;323;1;4;14841;24;3207;3;105;;;30;3635;1;4;14841;1;0;0;1;1;1;1;0;1;;;;;44129;2412;41673;98;1810;5526
MCO;2022;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP;130784127;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;10151;;0;;0;;;;0;;;10151;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;060780327;4;1460;19;0;201;0;0;0;0;0;0;0;0;0;0;4;1460;19;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;
MCO;2022;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;5;1825;142;3;1884;;;0;0;0;;;0;0;0;5;1825;142;3;1884;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;6;2190;55;1;985;;;0;0;0;;;0;0;0;6;2190;55;1;985;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;
MCO;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;172;62780;9386;950;53695;50;18250;2321;39;10777;32;11680;2930;50;11915;254;92710;14637;1039;76387;10;1206;;;4725;14;2662;2;646;;;26;4514;;;4725;1;1;1;1;1;1;1;1;1;;;;;54421;2120;48356;826;5273;18841
MCO;2022;060000486;CH SAINT ELOI DE SOSPEL;060780905;12;4380;270;7;3182;;;0;0;0;;;0;0;0;12;4380;270;7;3182;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060000494;CH SAINT LAZARE DE TENDE;060780921;5;1825;50;2;880;;;0;0;0;;;0;0;0;5;1825;50;2;880;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;268;90361;12147;1016;79735;58;21015;3462;161;16920;20;7760;1689;372;4925;346;119136;17298;1549;101580;24;1694;0;0;4498;14;3304;3;15;0;0;41;5013;0;0;4498;1;1;1;1;1;1;1;1;1;124;116;89;65;69793;4361;41928;23;4341;10359
MCO;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;84;31118;3980;129;28103;33;12067;2347;738;5491;0;0;0;0;0;117;43185;6327;867;33594;41;1588;0;0;51480;17;1548;0;0;0;0;58;3136;0;0;51480;1;1;0;1;0;0;1;0;0;;;;;55669;0;52511;0;0;10850
MCO;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;249;89764;15353;2222;78403;69;25185;2697;24;17045;24;8758;2070;340;6739;342;123707;20120;2586;102187;29;3253;;;13100;16;3648;5;421;;;50;7322;;;13100;1;1;1;1;1;0;1;1;1;31;105;;71;73786;1731;49334;440;4731;15128
MCO;2022;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;8;2920;126;0;1359;;;0;0;0;;;0;0;0;8;2920;126;0;1359;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060002102;CH LA PALMOSA DE MENTON;060791761;53;19345;4131;1953;19709;27;9321;1089;33;6067;0;0;0;0;0;80;28666;5220;1986;25776;0;41;0;0;17;9;2213;0;0;0;0;9;2254;0;0;17;1;0;1;1;1;1;1;0;0;75;20;;;16770;758;21012;212;827;2396
MCO;2022;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;0;;9;0;28;8;2738;37;9;66;0;;0;0;0;8;2738;46;9;94;;0;;;56;5;2210;;0;;;5;2210;;;56;0;0;0;0;0;0;0;0;0;;;;;13405;0;11792;23;0;4448
MCO;2022;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;9495;;0;;0;;;;0;;;9495;;;;;;;;;;;;;;;;;;;
MCO;2022;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;30;10950;626;0;4906;76;27740;2156;0;5104;;;0;0;0;106;38690;2782;0;10010;0;7;;;122;45;16713;;0;;;45;16720;;;122;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060780442;CLINIQUE SAINT FRANCOIS;060000213;;;0;0;0;30;9870;1812;350;1650;;;0;0;0;30;9870;1812;350;1650;;0;;;2;10;4279;;0;;;10;4279;;;2;;;;;;;;;;;;;;;;;;;
MCO;2022;060780491;INSTITUT ARNAULT TZANCK;060790797;56;20440;3846;163;15844;72;26280;2724;19;13634;;;0;0;0;128;46720;6570;182;29478;10;7674;;;268;23;6469;;0;;;33;14143;;;268;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;67;24455;3278;0;20574;89;32485;3991;0;15298;34;12410;1414;0;4443;190;69350;8683;0;40315;10;2036;0;0;10534;57;18977;2;75;0;;69;21088;0;0;10534;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060780590;CLINIQUE DU PALAIS;060000270;;;0;0;0;54;19710;1951;8;5215;;;0;0;0;54;19710;1951;8;5215;;0;;;314;10;5736;;0;;;10;5736;;;314;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060780715;CLINIQUE SAINT GEORGE;060000361;66;24090;6281;130;28579;118;36500;6577;125;20460;;;0;0;0;184;60590;12858;255;49039;0;6;;;7807;92;26359;;0;;;92;26365;;;7807;;;;;;;;;;;;;;;;;;;
MCO;2022;060780723;CLINIQUE DU PARC IMPERIAL;060004959;16;5840;2504;1175;6027;71;25915;2862;288;7100;;;0;0;0;87;31755;5366;1463;13127;;0;;;3415;31;11478;;0;;;31;11478;;;3415;0;;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060780756;POLYCLINIQUE SANTA MARIA;060000403;6;2190;311;1;1933;40;14600;1675;0;2936;57;20805;3567;75;14597;103;37595;5553;76;19466;;0;;;174;15;7640;0;59;;;15;7699;;;174;;;;;;;;;;;;;;;;;;;
MCO;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;73;25011;7864;1593;23341;23;8395;2179;218;4997;;;0;0;0;96;33406;10043;1811;28338;10;1556;;;688;14;2423;;0;;;24;3979;;;688;1;1;1;1;1;1;1;1;1;;;;;49149;;39987;1812;;22562
MCO;2022;060781200;CLINIQUE SAINT ANTOINE;060000635;36;13140;1363;7;11030;61;22326;1732;5;6426;0;;54;54;0;97;35466;3149;66;17456;;0;;;319;19;7534;;0;;;19;7534;;;319;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;343;119624;22567;5406;90762;213;74751;13235;379;61066;0;0;0;0;0;556;194375;35802;5785;151828;52;5705;0;0;31985;30;5235;0;0;0;0;82;10940;0;0;31985;1;0;0;0;1;0;1;1;1;;;;;143011;0;95771;43;0;46944
MCO;2022;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;50;21378;1747;7;17734;0;0;0;0;0;0;0;0;0;0;50;21378;1747;7;17734;4;3344;;;153;0;0;0;0;;;4;3344;;;153;0;0;0;0;0;0;0;0;0;;;;;22655;;7627;817;1;18295
MCO;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;279;99898;8434;68;83631;46;16790;2070;119;10841;74;27010;6319;1452;20203;399;143698;16823;1639;114675;58;8867;0;0;17267;4;453;11;809;0;;73;10129;0;0;17267;0;1;1;1;0;0;0;0;0;;;;;106213;8174;43514;157;22436;55738
MCO;2022;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;62;22630;1367;6;17821;;;0;0;0;;;0;0;0;62;22630;1367;6;17821;4;802;;;33;;0;;0;;;4;802;;;33;0;0;0;0;1;0;1;0;0;;;;;1955;;318;;;2005
MCO;2022;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;35131;;0;;0;;;;0;;;35131;;;;;;;;;;;;;;;;;;;
MCO;2022;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;2420;;0;;0;;;;0;;;2420;;;;;;;;;;;;;;;;;;;
MCO;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;44;16060;2744;99;13042;24;8760;2471;1914;1547;0;0;0;0;0;68;24820;5215;2013;14589;0;0;;;33;0;0;0;0;;;0;0;;;33;1;0;0;0;0;0;0;0;0;;;;;2662;;8813;;;
MCO;2022;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;124;45260;2903;110;18011;98;35770;3396;39;11386;;;0;0;0;222;81030;6299;149;29397;20;519;;;9641;35;14691;;0;;;55;15210;;;9641;;;;;;;;;;;;;;;;;;;
MCO;2022;070000013;CH DE PRIVAS ARDECHE;070002878;64;23360;3188;832;19651;13;4745;1148;27;4236;0;0;0;0;0;77;28105;4336;859;23887;4;233;;;1569;8;2188;2;57;;;14;2478;;;1569;1;0;1;1;1;;0;1;1;;;;;16334;1769;36547;;1303;4455
MCO;2022;070000021;CH DE JOYEUSE;070007927;15;5475;289;0;3569;0;;0;0;0;0;;0;0;0;15;5475;289;0;3569;0;1;;;0;0;0;0;0;;;0;1;;;0;0;0;0;0;0;0;0;0;0;;;;;97;0;0;;0;
MCO;2022;070000039;CH DE VALLON PONT D'ARC;070780119;16;5840;173;0;1915;;;0;0;0;;;0;0;0;16;5840;173;0;1915;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;070000047;CH DE VILLENEUVE DE BERG;070780127;12;3784;331;7;3840;;;0;0;0;;;0;0;0;12;3784;331;7;3840;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;070000062;CH DE BOURG SAINT ANDEOL;070005558;8;2920;160;3;2672;;;0;0;0;;;0;0;0;8;2920;160;3;2672;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;070000070;CH DU CHEYLARD;070780150;20;7300;513;72;3844;0;0;0;0;0;0;0;0;0;0;20;7300;513;72;3844;2;0;0;0;144;0;0;0;0;0;0;2;0;0;0;144;0;0;0;0;1;0;0;0;1;;66;;187;8;;3615;0;;
MCO;2022;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;9;3285;353;7;2569;;;0;0;0;;;0;0;0;9;3285;353;7;2569;0;0;;;11;;0;;0;;;0;0;;;11;1;0;0;0;1;0;0;0;0;;60;;;701;950;233;;1798;146
MCO;2022;070000112;CH LEOPOLD OLLIER;070007927;15;5475;250;0;3718;0;;0;0;0;;;0;0;0;15;5475;250;0;3718;0;3;;;0;;0;;0;;;0;3;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;070000146;CH DE LARGENTIERE;070004742;8;2920;31;0;307;;;0;0;0;;;0;0;0;8;2920;31;0;307;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;070000179;CH ARDECHE NORD;070780358;145;52925;11782;3790;49428;30;10950;1179;53;8193;22;8030;1189;267;3627;197;71905;14150;4110;61248;10;1045;;;12936;15;3135;;0;;;25;4180;;;12936;1;1;1;1;1;1;1;1;1;;180;30;180;36682;2606;75738;;1530;23039
MCO;2022;070000187;CH DE LAMASTRE;070780366;12;4380;325;7;3758;0;0;0;0;0;0;0;0;0;0;12;4380;325;7;3758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;51;;;27;0;0;0;0;0
MCO;2022;070000195;CH DE TOURNON SUR RHONE;070780374;38;13870;1080;6;9499;0;;0;0;0;0;;0;0;0;38;13870;1080;6;9499;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;1;0;1;0;1;1;0;1;0;30;60;15;;2919;1135;339;;2217;
MCO;2022;070000203;CH DE SAINT FELICIEN;070780382;11;4015;124;3;1710;;;0;0;0;;;0;0;0;11;4015;124;3;1710;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;070000484;SITE P. RIBEYRE CH ARDECHE MERIDIONALE;070005566;10;3650;439;2;3358;;;0;0;0;;;0;0;0;10;3650;439;2;3358;;0;;;0;;0;;0;;;;0;;;0;0;0;1;0;0;0;0;0;;;;;;;;;;;
MCO;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;98;35770;8009;1697;36022;38;13870;2268;148;9441;16;5840;986;101;3240;152;55480;11263;1946;48703;10;197;;;3617;9;1795;1;261;;;20;2253;;;3617;1;1;0;1;1;1;1;1;1;;;;;;;;;;
MCO;2022;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;4;1400;45;0;375;24;8400;1170;9;3254;;;0;0;0;28;9800;1215;9;3629;;0;;;102;20;5120;;0;;;20;5120;;;102;0;0;0;0;0;0;0;0;0;;;;;;;;;;
