BOR;AN;FI;RS;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2022;050000132;CH BUECH DURANCE;050007145;25;7347;9;8;;;;;;;;;;;;;;;;;;;;;
USLD;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;30;9903;18;15;;;;;;;;12;;;;;5;;;;;;;;
USLD;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;30;9163;17;10;0;0;1;3;1;1;8;1;0;0;0;0;1;;;;;;;;
USLD;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;50;14830;19;12;;;3;8;;;;2;;;;;6;;;;;;3;;3
USLD;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;30;9073;18;15;;;;1;;;11;3;;;;;2;;;;;;1;;1
USLD;2022;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;41;14023;39;30;0;3;0;10;0;1;0;11;0;0;;;14;0;0;0;4;0;2;5;
USLD;2022;060002102;CH LA PALMOSA DE MENTON;060791761;30;10749;40;14;0;;3;;;;10;;0;;0;;;;0;;;;0;0;0
USLD;2022;060019213;USLD DOLCE FARNIENTE;060005188;60;18558;24;19;;1;;5;;0;;5;;0;;0;13;0;0;0;0;0;7;7;
USLD;2022;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;61;10193;27;10;;;;;;;;;;;;;27;27;;;;;4;1;
USLD;2022;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;060785011;40;14346;9;3;;;;;;;;;;;;;9;9;;;;;1;;
USLD;2022;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;75;26426;37;28;;;;;13;;2;8;;1;;13;;;;;;;4;;
USLD;2022;060794021;SSR ISOLA BELLA CH CANNES;060780988;54;19842;15;12;;;1;;;;12;;;;;;2;15;7;;;;1;;
USLD;2022;070000047;CH DE VILLENEUVE DE BERG;070780127;75;22107;45;25;;;12;;;;23;6;;;3;1;;;;60;8;;2;4;4
USLD;2022;070784517;LONG SEJOUR CH DE PRIVAS;070002878;60;19793;43;29;0;;4;1;1;;34;;0;;0;;3;0;0;0;0;0;0;0;0
USLD;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;43;11735;28;30;;;7;4;6;3;;;;;;;8;;;;;;;;
USLD;2022;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;20;5681;31;29;0;;4;1;0;;16;;0;;0;;10;0;0;0;4;0;1;2;
USLD;2022;080005960;USLD SITE CENTRE DE SANTE;080011174;65;21150;23;21;;;2;;2;;4;7;;;;;8;;;;;;;;
USLD;2022;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;20;5988;23;20;0;0;2;1;2;0;14;1;0;0;;0;3;0;0;1;0;0;1;0;0
USLD;2022;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;30;10593;24;18;0;;8;;1;;8;;0;;0;;7;;;;;;0;0;0
USLD;2022;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;100000058;30;10463;23;21;;;1;8;;;19;1;;;;;7;;;;;;;;
USLD;2022;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;40;8376;33;22;;;24;2;1;;2;;;;;;3;;;;;;;;
USLD;2022;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;59;19205;58;46;;;40;;;;15;;;;;;3;;;;;;3;3;
USLD;2022;110000049;CH JP CASSABEL;110780087;30;10362;36;35;;;;;;;;;;;;;;;;;;;;;
USLD;2022;110000247;CH LEZIGNAN CORBIERES;110780772;30;10951;17;14;;;;;;;2;1;;;;;14;;;;;;;;
USLD;2022;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;30;8994;10;9;;;;1;;;;5;;;;;3;;;1;;;3;;
USLD;2022;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;90;32197;71;54;;;11;1;0;;25;;;;;;34;0;2;0;0;0;8;0;0
USLD;2022;110786746;SSR LIMOUX ARAGOU LES TILLEULS USSAP;110786324;30;9965;8;4;;;;1;;;6;1;;;;;;;;3;;;2;2;
USLD;2022;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;30;9069;17;10;0;;4;3;;;6;1;;;;;3;;;;;;1;;
USLD;2022;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;30;9024;14;11;;;3;;;;7;;;12;;;2;;;;;;1;;
USLD;2022;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;40;13418;38;17;;;;;;;10;18;;;;;10;;;;;;;;
USLD;2022;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;40;14186;19;21;;;1;;1;;13;;;2;;;2;;;;;;2;;
USLD;2022;120782263;USLD CH VILLEFRANCHE SITE RULHE;120780069;60;18344;103;84;;;24;5;37;;1;2;;;;;34;;;;;;3;6;
USLD;2022;120783097;USLD CH MILLAU;120004528;50;15667;39;32;;;4;1;;;18;10;;;2;;4;;2;;1;;;;
USLD;2022;120786959;USLD OLEMPS CH RODEZ;120780044;30;6920;27;20;;;15;2;;;4;5;;;;;1;;;;;;1;;
USLD;2022;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;56;17015;76;69;;;;3;8;;20;12;;;;;4;;;25;1;;;;
USLD;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;30;10035;29;15;;;3;;;;7;3;;;;;2;;;9;;;;1;
USLD;2022;130001225;HOPITAL DU PAYS SALONAIS;130782634;33;11241;30;23;;;4;;1;;12;3;;;;;10;;;8;6;;1;1;
USLD;2022;130001258;HOPITAUX PORTES DE CAMARGUE TARASCON;130028228;30;7129;15;16;;;;5;;;6;3;;;;;1;0;0;0;0;0;3;;
USLD;2022;130032758;CLINIQUE DE LA POINTE ROUGE USLD;130001514;80;27740;40;30;0;1;0;2;0;3;0;20;0;0;0;0;14;0;0;0;0;15;5;0;0
USLD;2022;130782097;CENTRE DE SIBOURG;130000938;19;6789;4;4;;;;;;;3;;;;;;1;;;;;;;;
USLD;2022;130789159;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;30;6161;12;8;;;;;;;;;;;;;;;;;;;;;
USLD;2022;130790157;CH DE MARTIGUES HOPITAL DU VALLON;130789316;30;10970;11;6;;;3;;;;6;;;;;;1;;;;;;;;
USLD;2022;130798358;USLD DUQUESNE SITE AIX;130041916;70;19437;47;38;;;12;1;;;22;11;;;;;1;;;;;;;5;
USLD;2022;130808843;USLD MARCEL PAGNOL;920030152;30;14992;19;9;;;;;;;;;;;;;;;;;;;7;;
USLD;2022;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;150;47094;72;72;;5;;15;11;;14;;;;1;;26;;;;;;2;4;1
USLD;2022;130811102;LA MAISON;130007487;5;848;38;5;;;;;;;;;;;;;;;;;271;;;;
USLD;2022;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;40;9283;33;30;1;;7;3;12;;5;4;;;;;1;;;;;;1;;
USLD;2022;140000241;CH COTE FLEURIE - SITE D'EQUEMAUVILLE;140026279;30;9330;38;32;;;;;;;;;;;;;;;;;;;;;
USLD;2022;140000373;CENTRE HOSPITALIER DE VIRE;140000159;30;10950;21;12;0;0;3;3;4;0;6;1;0;0;0;0;4;0;0;0;12;0;4;0;0
USLD;2022;140012196;UNITE SOINS LONGUE DUREE - CHU CAEN;140000100;100;30843;67;51;;;14;7;;;4;4;2;0;1;1;31;;2;;12;;9;;
USLD;2022;140013830;UNITE SOINS LONGUE DUREE - CH FALAISE;140000118;60;21960;36;39;;;19;3;16;;28;;;;;;27;;;;75;;3;;
USLD;2022;140017401;UNITE SOINS LONGUE DUREE - CH BAYEUX;140000092;25;10659;11;25;;;5;;;;2;;;;;;4;;;;9;;2;;
USLD;2022;150000032;CH DE SAINT-FLOUR;150780088;37;12167;14;12;;;1;2;1;;;6;;;;;4;0;0;0;0;0;1;1;0
USLD;2022;150000040;CH HENRI MONDOR;150780096;48;17379;31;13;;;7;;;;11;;0;;;;8;;9;6;8;;1;0;0
USLD;2022;150000164;CH DE MAURIAC;150780468;27;8209;29;25;;;2;;;;16;;;;;;11;;;;;;1;;
USLD;2022;150000180;CH DE MURAT;150780500;30;10123;24;12;;;11;;8;;;;;;;;5;;;;;;;;
USLD;2022;160000188;CH DE LA ROCHEFOUCAULD;160000121;53;16816;41;37;;;;;;;;;;;;;;;;;;;;;
USLD;2022;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;30;9908;21;22;2;;3;;10;;1;1;;;4;;;;;;;;2;1;
USLD;2022;160000261;CHI DU PAYS DE COGNAC - SSR;160014411;37;12329;14;13;;;2;;;;10;;;;;;;;;;;;1;;
USLD;2022;160000303;CH HOPITAUX SUD-CHARENTE;160006037;80;28429;37;33;;;2;;1;;11;1;;;;;22;;;;;;2;;
USLD;2022;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;30;9370;46;35;;;9;8;;;16;6;;;;;7;2;2;1;7;;3;;
USLD;2022;160000360;CH DE CHATEAUNEUF;160014411;51;18615;51;41;;;11;7;;;7;13;;;;;7;;;1;1;;6;;
USLD;2022;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;50;12644;6;11;;;1;;;;2;2;;;;;1;;;;;;;;
USLD;2022;170784110;SSR CH LA ROCHELLE;170024194;92;32392;43;44;;;4;1;2;;25;2;;1;;;7;;81;;;;;;
USLD;2022;170792220;CH SAINTONGE - SSR;170780175;38;13638;35;35;;;14;3;;;;6;;;;;12;;;;;;;;
USLD;2022;170802789;USLD - CH ROYAN;170780191;50;17943;35;30;;;;;1;;21;;;;;;13;;;;;;;;
USLD;2022;180000176;CH GEORGE SAND BOURGES;180001158;40;13442;10;8;;;;2;;;;;4;;;;4;;;18;2;;1;;
USLD;2022;180000200;CH DE VIERZON;180000051;46;16419;23;11;;;;;;;;;;;;;;;;;;;;;
USLD;2022;180000333;CH SANCERRE;180000093;30;4625;15;2;;;;;;;1;;;;;;;;;;;;10;2;
USLD;2022;180003287;CH DE BOURGES SITE TAILLEGRAIN;180000028;60;21900;29;21;;;11;;;;7;;;;;;11;;;;;;7;;2
USLD;2022;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;41;12183;42;26;;;14;3;16;1;3;1;;;;;4;;;;;;3;2;
USLD;2022;180007825;USLD DU CH GEORGE SAND SITE DE DUN SUR;180001158;60;18499;18;11;;;;5;;;;;5;;;;8;;;35;0;;;;
USLD;2022;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;22;7759;23;19;0;0;1;0;3;0;17;0;0;0;0;0;2;0;15;0;0;0;3;0;0
USLD;2022;190000034;HOPITAL LOCAL DE BORT LES ORGUES;190000067;30;9606;20;11;;;6;5;;;3;1;;;;;5;;;;;;4;;
USLD;2022;190000091;CENTRE HOSPITALIER D'USSEL;190000075;30;10778;22;14;;;3;3;;;14;;;;;;2;;;;;;;;
USLD;2022;190002493;CONVALESCENCE CURE READAPT. DU CHANDOU;190000059;53;18984;16;18;;;;;;;;;;;;;;;;;;;;;
USLD;2022;190005140;USLD UZERCHE;190002485;30;10366;17;16;;;;5;;4;;8;;0;;;;20;;1;;;1;0;0
USLD;2022;190005165;USLD CORNIL;190002519;71;22236;70;29;;;;;;;;;;;;;;;;;;;;;
USLD;2022;210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;210780581;38;13455;20;16;;;;;2;;12;;;;0;;;;;;;;2;;
USLD;2022;210987574;CH ARNAY LE DUC;210012175;30;8818;6;7;;;;;;;1;;;;;;5;;;;;;;;
USLD;2022;210987616;CH SEURRE;210012175;0;2605;1;10;;;;;;;;;;;;;1;;;;;;11;;
USLD;2022;210987673;CH HCO SITE DE MONTBARD;210012142;30;10809;3;4;;;2;;;;1;;;;;;;;;;;;;;
USLD;2022;210987939;USLD CH LA CHARTREUSE DIJON;210780607;42;15031;13;5;;;;;;;;;;;;;;;;;;;;;
USLD;2022;220000095;CTRE HOSPITALIER DINAN;220000046;60;18808;43;41;;;;;;;;;;;;;;;;;;;5;0;0
USLD;2022;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;30;9218;27;29;0;0;10;7;0;0;5;1;0;0;0;0;4;0;0;0;0;0;3;0;0
USLD;2022;220000368;CENTRE HOSPITALIER LANNION;220000103;30;10315;23;25;;;6;1;;;11;;;;;;5;;;2;5;;1;;
USLD;2022;220000566;CHPP SITE LAMBALLE;220021968;30;10288;44;27;0;0;21;13;0;1;2;5;0;0;0;0;2;0;0;3;2;0;9;0;0
USLD;2022;220001259;CENTRE HOSPITALIER TREGUIER;220005045;60;21900;38;36;;;;;10;9;1;;;;;;18;;;;;;3;;
USLD;2022;220014138;CENTRE LONG SEJOUR ROSTRENEN;220017974;30;10183;6;8;;;;;;;1;1;2;;;;2;;;;;;;;
USLD;2022;230000259;USLD - CH GUERET;230780041;50;16190;45;38;0;0;15;9;0;0;6;2;0;0;0;0;13;0;0;3;15;0;9;0;0
USLD;2022;230000838;CENTRE HOSPITALIER D'AUBUSSON;230780058;30;8739;27;23;;;;9;8;;5;;;;;;5;;;;;;;;
USLD;2022;230000846;C H BERNARD DESPLAS BOURGANEUF;230780066;30;7100;21;14;;;4;3;4;;;;;1;;;9;0;0;0;0;0;2;3;0
USLD;2022;230000952;CTRE HOSPITALIER MOYEN SEJOUR EVAUX;230780512;30;8486;13;8;;;;;;;7;6;;;;;;;;;2;;1;;
USLD;2022;230000960;CTRE HOSPITAL MOYEN SEJOUR SOUTERRAINE;230780520;30;10275;20;17;;;;;;;12;4;;;;;2;;;;;;2;;
USLD;2022;240000372;C.H DE BERGERAC;240000059;50;15554;28;32;;;;;;;;;;;;;;0;0;0;11;0;0;1;1
USLD;2022;240000471;CENTRE HOSPITALIER DE NONTRON;240000109;30;9233;17;13;;;3;1;;1;6;1;;;;;5;;;2;;;7;;
USLD;2022;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;60;18996;51;35;;;23;2;;;5;8;;;;;13;0;0;0;0;0;28;0;0
USLD;2022;240000505;CENTRE HOSPITALIER DE RIBERAC;240016055;60;13511;29;20;;;3;8;;;4;6;;2;;;6;;;;;;4;3;
USLD;2022;240000687;CENTRE HOSPITALIER SARLAT;240000448;40;14202;21;17;;;;;7;2;8;1;;;;;3;;0;;;0;;;
USLD;2022;250000627;CH PAUL NAPPEZ MORTEAU;250000221;30;10592;17;15;0;0;5;0;0;0;8;1;0;0;0;0;3;7;0;2;3;0;1;0;0
USLD;2022;250000635;CH SAINTE CROIX BAUME LES DAMES;250000239;20;7099;14;8;0;0;2;0;0;0;9;2;0;0;0;0;1;0;0;0;0;0;3;3;0
USLD;2022;250000882;ETABLISSEMENT DE SANTE DE QUINGEY;250002839;30;9092;9;12;;;;1;;6;;2;;;;;;;;;;;;;
USLD;2022;250001237;USLD BELLEVAUX;250007598;60;20723;57;53;0;0;0;0;11;0;0;19;0;2;0;0;15;0;0;0;0;0;0;0;5
USLD;2022;250001252;USLD JACQUES WEINMAN AVANNE;250007788;91;32839;27;33;;;;;;;;;;;;;;;;;;;;;
USLD;2022;250004009;LE MITTAN ANNEXE DU HNFC;900000365;30;10649;16;17;0;;7;;;;7;;;;;;2;;;;1;;;;
USLD;2022;250007234;USLD PONTARLIER;250000452;30;10706;11;10;;;;;;8;;;;;;;3;;;;;;2;;
USLD;2022;260000013;CH DE VALENCE;260000021;74;25770;51;38;;;;;;;;;;;;;;0;0;;4;;;;
USLD;2022;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;40;14600;20;16;;;6;;;;6;1;;;;;7;0;0;6;2;0;3;;
USLD;2022;260000195;CLINIQUE PNEUMOLOGIE LES RIEUX;010783009;58;18597;31;30;0;;5;;;;20;;;;0;;7;0;0;0;0;0;;;
USLD;2022;260000823;CH DROME-VIVARAIS - SITE DE MONTELEGER;260003264;33;11369;13;11;;;;;;;1;;11;;;;1;0;0;0;0;0;2;;
USLD;2022;270000367;CH GISORS;270000086;55;18587;18;22;;;;;;;11;2;;;;;25;;;;;;0;;1
USLD;2022;270000425;CH PONT-AUDEMER;270000102;37;12694;13;18;;;1;;1;;9;1;;;;;1;;;;;;2;;
USLD;2022;270000441;CH VERNEUIL-SUR-AVRE;270000110;50;14331;47;36;;;11;;;;6;12;;;2;;15;;;;;;7;;1
USLD;2022;270000516;HL LE NEUBOURG;270000177;30;9869;32;16;;;;;;;;;;;;;;0;0;0;;;;;
USLD;2022;270026107;USLD CH EURE SEINE;270023724;30;9602;24;12;0;0;1;0;4;0;0;0;0;1;0;0;0;0;0;0;2;0;5;0;0
USLD;2022;280000050;CH BONNEVAL;280000142;50;18204;6;2;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0
USLD;2022;280000084;CH DREUX;280000183;92;29394;46;39;;1;;1;3;;29;;;;;;12;;;;;;1;;1
USLD;2022;280000100;CH DE LA LOUPE;280000225;31;7738;23;24;;0;1;8;;1;7;1;;0;;0;5;;;;;;3;7;
USLD;2022;280000662;CH CHATEAUDUN;280500075;40;13160;33;22;1;;1;1;4;;37;1;;;;;23;;;1;;;7;1;
USLD;2022;290000033;C.H. DES PAYS DE MORLAIX;290021542;10;3434;7;8;;;;;1;;1;;0;;;;1;17;;;5;;1;0;
USLD;2022;290000066;CHIC SITE DE CONCARNEAU;290020700;34;11913;14;11;;;2;;;;;6;;;;;6;;;1;;;;;
USLD;2022;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;34;6475;48;30;0;0;9;1;6;0;8;0;0;0;0;0;3;0;0;0;0;0;4;1;0
USLD;2022;290000553;CENTRE MEDICAL  LE GUERVENAN;290021542;90;30655;38;27;;;;;15;0;6;0;7;0;;;10;133;;59;4;;9;2;
USLD;2022;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;48;16903;31;33;0;0;3;1;0;0;17;1;0;0;0;0;9;;;;;;1;17;0
USLD;2022;290008853;CTRE DE LONG SEJOUR - CH DOUARNENEZ;290000074;30;10295;13;8;;;;;;;10;;;;;;3;;;;;;2;;
USLD;2022;290014687;GHBS USLD BOIS JOLY;560005746;30;10492;16;14;;;;;;;;;;;;;;;;;;;;;
USLD;2022;290017946;CTRE LONG SEJOUR BOHARS - CHRU BREST;290000017;118;38007;83;74;0;0;17;3;3;0;27;11;9;0;0;0;18;;;59;;0;3;0;0
USLD;2022;290024462;RESIDENCE KERFILY EPSM FINISTERE SUD;290000298;56;18929;9;6;;;;;;;;;6;;;;3;;;56;;;3;;
USLD;2022;290025113;LONG SEJOUR TY CREAC'H - CHIC QUIMPER;290020700;30;9525;31;33;;;17;;;;;1;;;;;13;;;;;;10;;
USLD;2022;290025147;LONG SEJOUR TY GLAZIK - CHIC QUIMPER;290020700;30;10786;18;16;;;4;;1;;;3;;;;;10;;;1;;;6;;1
USLD;2022;2A0000212;HOPITAL LOCAL DE BONIFACIO;2A0000170;30;8634;26;24;;;2;5;;;;;;;;;15;;;7;46;;3;;
USLD;2022;2A0002614;CENTRE HOSPITALIER DE SARTENE;2A0002606;30;9149;34;8;;;;;;;;;;;;;;;;;;;;;
USLD;2022;2A0023271;USLD D' AJACCIO;2A0000014;70;17492;45;34;0;0;5;0;5;0;13;11;0;1;0;0;1;0;0;0;0;0;9;1;0
USLD;2022;2B0000038;CH CORTE;2B0004246;10;1445;4;3;;;1;;2;;;;1;;;;;;;;;;;;
USLD;2022;2B0004089;USLD CENTRE HOSPITALIER BASTIA;2B0000020;30;8410;8;9;;0;;;0;;;;;;;;;;;;;;;;
USLD;2022;2B0005359;CH CALVI;2B0005342;20;6890;9;7;;;4;;;;;1;;;;4;;;;;;;;;
USLD;2022;300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;300780053;30;10183;11;9;0;0;1;0;0;0;0;3;0;0;0;0;6;0;0;1;0;0;0;0;0
USLD;2022;300000064;CH UZES;300780087;30;10606;13;15;;;5;6;;;1;;;;;;1;;;;;;;;
USLD;2022;300000072;CH LE VIGAN;300780095;30;10744;18;10;;;13;;;;;;;;;2;3;;;;10;;1;;
USLD;2022;300012481;USLD LES CIGALES CH ALES;300780046;27;9507;8;8;;;;;;;;;;;;;;;;;;;;;
USLD;2022;300012499;USLD LA ROSE DES VENTS CH ALES;300780046;63;21293;52;43;;;;;;;;;;;;;;;;;;;;;
USLD;2022;300782125;CTRE SOINS PA SERRE CAVALIER CHU NIMES;300780038;190;46464;136;;;;;;;;;;;;;;;;;;;;;;
USLD;2022;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;30;11116;18;27;;;17;;;;;;;;;;1;;;;;;2;;0
USLD;2022;310000336;CH REVEL;310780713;61;17081;29;23;;;;3;;;16;;;;;;10;;;;;;2;;
USLD;2022;310013628;CH MURET;310786256;53;15859;34;32;;1;5;4;;;8;14;;;;;2;;;;;;1;;
USLD;2022;310021571;CL DES MINIMES TOULOUSE;310021563;58;20832;27;20;;;;;4;;10;6;;;;;7;2;;3;;;3;;
USLD;2022;310022298;HOPITAL GARONNE CHU TOULOUSE;310781406;60;20564;42;35;1;;3;;6;;20;8;;;;;4;0;0;14;5;0;3;;3
USLD;2022;310786702;SSR DOMAINE DE LA CADENE TOULOUSE;750043713;76;25911;25;35;;;;;;4;12;;;;;;9;;;;;;3;;
USLD;2022;310794094;USLD LES JARDINS DES SILOS CH MARCHANT;310780754;80;27048;40;16;;;;16;;;;;8;1;;;2;;;;;;;;
USLD;2022;320000086;CH AUCH EN GASCOGNE;320780117;70;24163;34;32;2;;5;;5;;6;;1;;0;;9;0;0;0;0;0;0;4;0
USLD;2022;320000102;CH CONDOM;320780133;34;9541;30;21;4;;11;;0;;7;;0;;;;8;0;0;0;0;0;4;1;0
USLD;2022;320000128;CH GIMONT;320780158;30;9628;31;24;0;0;1;2;0;1;14;8;0;2;0;0;2;0;0;0;0;0;7;0;0
USLD;2022;320000144;CHI LOMBEZ SAMATAN;320780174;30;10029;24;21;0;0;1;1;0;0;14;2;0;1;0;0;5;0;0;4;0;0;0;3;0
USLD;2022;320000177;CH NOGARO;320780208;30;10204;13;13;;;8;3;;;2;;;;;;;;;;14;;2;;
USLD;2022;330000571;CH DE LA HAUTE GIRONDE;330781220;20;6718;21;17;0;0;7;0;0;0;15;3;0;0;0;0;14;;;;;;1;;
USLD;2022;330000613;CENTRE HOSPITALIER STE FOY LA GRANDE;330781261;60;20677;24;22;0;0;0;2;0;0;6;8;0;0;0;0;8;0;0;0;0;0;1;0;1
USLD;2022;330005182;USLD DU CENTRE DE SOINS PODENSAC;330792862;50;14787;25;20;;;;8;;;;2;;;;0;9;;;10;1;;4;;
USLD;2022;330781337;HOPITAL XAVIER ARNOZAN - CHU;330781196;120;27379;7;24;1;;3;;;;;;;;;;3;;;;;;;;
USLD;2022;330791641;EHPAD - USLD LES ARBOUSIERS;330056540;80;28087;22;29;;;;2;;15;;1;;;;;4;;;;;;0;;
USLD;2022;340000033;CH BEZIERS;340780055;142;43732;58;49;0;;23;;8;;23;;1;;0;;20;;;;;;;;
USLD;2022;340000215;CH LODEVE;340780519;28;9283;9;11;;;11;5;;;6;;;;16;;;;;;;;;1;
USLD;2022;340000231;CH POLE DE SANTE DE LUNEL;340780535;49;14063;32;30;;;11;9;;;;2;;;;;10;;;;;;1;;
USLD;2022;340008275;CENTRE ANTONIN BALMES CHU MONTPELLIER;340780477;28;8969;29;19;;;3;;5;;10;3;;;;;8;;;7;12;;5;;
USLD;2022;340024512;SSR JARDINS DE SOPHIA CASTELNAU LE LEZ;340001825;80;26424;31;17;;;;2;;1;;1;;;;;27;;;;;;4;;
USLD;2022;340780436;HOPITAL ST LOUP HBT AGDE;340011295;16;6019;15;14;;;;;8;;1;;;;;;6;;;;;;;1;
USLD;2022;340780444;CH BEDARIEUX;340009893;30;10950;19;17;0;0;56;;0;0;115;;;;;;;0;0;0;0;;35;0;35
USLD;2022;340782481;CENTRE BELLEVUE CHU MONTPELLIER;340780477;112;24806;47;35;;;4;;9;;9;4;;;;;21;;;9;9;;5;;
USLD;2022;340796051;USLD LES PERGOLINES SETE HBT;340011295;55;12632;32;24;;;;;18;;2;;;;;;12;;;;;;13;;
USLD;2022;350000154;C.H FOUGERES;350000030;49;15836;59;46;1;0;33;0;10;0;12;0;0;0;0;0;3;;0;;;0;0;0;0
USLD;2022;350000162;CHIRC SITE REDON;350000048;30;10401;29;23;;;3;1;2;1;11;2;;;9;;29;;1;;6;;3;;
USLD;2022;350000436;CH DE BROCELIANDE SITE DE MONFORT;350055166;30;7342;48;21;0;;13;;0;;4;;0;;3;;;;;;;0;2;;
