BOR;AN;FI;RS;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;EFFSAL;ETPSAL;EFFLIB
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2080;1;1;1;1;;;;;1.41;0.56;;0.8;;;;1.17;4;1.97;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2100;4;;;;;;;;4.01;;;4.01;;;;;4;4.01;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2120;4;;;;;;;;3.17;;;3.01;;;;0.16;4;3.17;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2130;2;1;;;;;;;2.01;1;;3.01;;;;;3;3.01;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M3012;2;2;;3;;;;;1.61;4.21;;4.21;;;;1.61;7;5.82;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M3030;1;;;1;;;;;1.01;0.6;;1.61;;;;;2;1.61;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M3040;;;1;1;;;;;0.8;0.06;;0.8;;;;0.06;2;0.86;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M3050;4;5;1;4;;;;;3.61;6.99;;9.44;1.16;;;;14;10.6;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M3060;;;1;;;;;;0.5;;;;;;0.5;;1;0.5;
Q20;2022;010000024;;010780054;M9999;79;55;25;50;;;5;4;82.6;79.45;;127.24;3.32;;13.13;18.36;209;162.05;9
Q20;2022;010000032;CH BUGEY SUD;010780062;M1010;4;;;3;;;;;4.55;2.67;;2.89;;;2.7;1.63;7;7.22;
Q20;2022;010000032;CH BUGEY SUD;010780062;M1090;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2022;010000032;CH BUGEY SUD;010780062;M1120;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2022;010000032;CH BUGEY SUD;010780062;M1140;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2022;010000032;CH BUGEY SUD;010780062;M1160;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2022;010000032;CH BUGEY SUD;010780062;M1190;;;;1;;;;;;0.3;;0.19;;;;0.11;1;0.3;
Q20;2022;010000032;CH BUGEY SUD;010780062;M1200;;;;1;;;;;;0.2;;;;;0.2;;1;0.2;
Q20;2022;010000032;CH BUGEY SUD;010780062;M1320;;;;1;;;;;;0.8;;;;;;0.8;1;0.8;
Q20;2022;010000032;CH BUGEY SUD;010780062;M1340;5;;2;4;;;;;6.33;1.95;;7.1;;;0.33;0.85;11;8.28;
Q20;2022;010000032;CH BUGEY SUD;010780062;M2010;2;;;;;;;;1.63;;;;;;1;0.63;2;1.63;
Q20;2022;010000032;CH BUGEY SUD;010780062;M2030;3;;;;;;;;2.95;;;1;;;0.95;1;3;2.95;
Q20;2022;010000032;CH BUGEY SUD;010780062;M2050;;1;2;;;;;;1.04;0.25;;1.04;;;;0.25;3;1.29;
Q20;2022;010000032;CH BUGEY SUD;010780062;M2100;1;;;;;;;;1;;;;;;1;;1;1;
Q20;2022;010000032;CH BUGEY SUD;010780062;M2120;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2022;010000032;CH BUGEY SUD;010780062;M3050;;1;;2;;;;;;2.1;;1.3;;;;0.8;3;2.1;
Q20;2022;010000032;;010780062;M9999;19;3;4;12;;;;;21.5;9.27;;18.52;;;6.18;6.07;38;30.77;
Q20;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1010;3;3;2;3;;;;;4.61;5.2;;8.04;;;1.77;;11;9.81;
Q20;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1040;;;1;3;;;;;0.1;0.3;;;;;0.4;;4;0.4;
Q20;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1160;;;1;;;;;;0.6;;;;;;0.6;;1;0.6;
Q20;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1320;1;;1;3;;;;;1.9;1.8;;3.7;;;;;5;3.7;
Q20;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M3050;1;;;1;;;;;1;0.4;;1.4;;;;;2;1.4;
Q20;2022;010000065;;010780096;M9999;5;3;5;10;;;;;8.21;7.7;;13.14;;;2.77;;23;15.91;
Q20;2022;010000081;CH DU PAYS DE GEX;010780112;M1010;;1;1;2;;;;;0.08;1.68;;;;;1.76;;4;1.76;
Q20;2022;010000081;CH DU PAYS DE GEX;010780112;M3050;;1;;;;;;;;0.17;;0.17;;;;;1;0.17;
Q20;2022;010000081;;010780112;M9999;;2;1;2;;;;;0.08;1.85;;0.17;;;1.76;;5;1.93;
Q20;2022;010000099;CH DE MEXIMIEUX;010780120;M1010;;1;;;;;;;;0.58;;;;;0.58;;1;0.58;
Q20;2022;010000099;CH DE MEXIMIEUX;010780120;M1320;1;1;1;;;;;;0.62;1;;1;;;0.62;;3;1.62;
Q20;2022;010000099;CH DE MEXIMIEUX;010780120;M3040;;;1;;;;;;0.05;;;;;;;0.05;1;0.05;
Q20;2022;010000099;CH DE MEXIMIEUX;010780120;M3050;;;;1;;;;0;;0.94;;0.8;;;;0.14;1;0.94;0
Q20;2022;010000099;CH DE MEXIMIEUX;010780120;M3060;;;1;;;;;;0.05;;;0.05;;;;;1;0.05;
Q20;2022;010000099;;010780120;M9999;1;2;3;1;;;;0;0.72;2.52;;1.85;;;1.2;0.19;7;3.24;0
Q20;2022;010000107;CH DE PONT DE VAUX;010780138;M1320;1;1;1;;;;;;1.6;1;;1.6;;;1;;3;2.6;
Q20;2022;010000107;CH DE PONT DE VAUX;010780138;M3050;;1;;;;;;;;0.48;;0.48;;;;;1;0.48;
Q20;2022;010000107;;010780138;M9999;1;2;1;;;;;;1.6;1.48;;2.08;;;1;;4;3.08;
Q20;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1010;;1;2;;;;;;0.68;0.11;;0.15;;;0.64;;3;0.79;
Q20;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1320;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M3050;;;1;;;;;;0.4;0.14;;0.4;;;;0.14;1;0.54;
Q20;2022;010000115;;010009132;M9999;;2;3;;;;;;1.08;1.25;;1.55;;;0.64;0.14;5;2.33;
Q20;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;M1320;;1;;1;;;;;;1.4;;1.4;;;;;2;1.4;
Q20;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;M3050;;;1;1;;;;;0.04;0.44;;0.48;;;;;2;0.48;
Q20;2022;010000131;;010009132;M9999;;1;1;2;;;;;0.04;1.84;;1.88;;;;;4;1.88;
Q20;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;M1010;;;1;1;;;;;0.8;0.8;;;;;1.6;;2;1.6;
Q20;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;M3050;;1;;;;;;;;0.35;;;;;;0.35;1;0.35;
Q20;2022;010000180;;010007987;M9999;;1;1;1;;;;;0.8;1.15;;;;;1.6;0.35;3;1.95;
Q20;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1010;1;;2;;;;;;3;;;1;1;;;1;3;3;
Q20;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1180;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M3050;;;;1;;;;;;0.35;;;;;;0.35;1;0.35;
Q20;2022;010000198;;010007987;M9999;1;1;2;1;;;;;3;1.35;;2;1;;;1.35;5;4.35;
Q20;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1010;4;;1;2;;;;;3.5;1.3;;1.8;;;1;2;7;4.8;
Q20;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1070;;;1;;;;;;0.2;;;;;;0.2;;1;0.2;
Q20;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1150;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1320;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M3040;;;;1;;;;;;0.1;;0.1;;;;;1;0.1;
Q20;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M3050;;2;;;;;;;;1;;1;;;;;2;1;
Q20;2022;010000214;;010007987;M9999;6;2;2;3;;;;;5.7;2.4;;4.9;;;1.2;2;13;8.1;
Q20;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M1010;2;3;2;1;;;;;2.52;3.48;;;;;;;8;6;
Q20;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M1320;1;1;1;;;;;;1.3;1;;;;;;;3;2.3;
Q20;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M2070;;;1;;;;;;0.02;;;;;;;;1;0.02;
Q20;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3020;7;14;5;10;;;;;10.29;20.53;;;;;;;36;30.82;
Q20;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3030;;;;1;;;;;;0.2;;;;;;;1;0.2;
Q20;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3040;1;;;;;;;;1;;;;;;;;1;1;
Q20;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3050;;2;;1;;;;;;3.45;;;;;;;3;3.45;
Q20;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;M3060;;;;1;;;;;;0.5;;;;;;;1;0.5;
Q20;2022;010000495;;010783009;M9999;11;20;9;14;;;;;15.13;29.16;;;;;;;54;44.29;
Q20;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1010;8;;;;;;;;1.19;1.14;;;;;;;8;2.33;
Q20;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1120;;;;1;;;;;;0.07;;;;;;;1;0.07;
Q20;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1180;4;1;;1;;;;;1.01;0.76;;;;;;;6;1.77;
Q20;2022;010002129;;750056335;M9999;12;1;;2;;;;;2.2;1.97;;;;;;;15;4.17;
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1010;11;3;3;4;0;0;0;0;12.91;4.12;0;1.78;0;0;0;15.25;21;17.03;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;1;0;4;0;0;0;0;0;4.64;0.16;0;0;0;0;0;4.8;5;4.8;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1040;0;0;1;0;0;0;0;0;0.6;0;0;0.6;0;0;0;0;1;0.6;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1050;0;1;0;0;0;0;0;0;0;0.69;0;0;0;0;0;0.69;1;0.69;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1070;0;0;0;1;0;0;0;0;0;0.5;0;0;0;0;0;0.5;1;0.5;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1090;1;0;1;0;0;0;0;0;1.5;0;0;1;0;0;0.5;0;2;1.5;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1120;0;0;1;0;0;0;0;0;0.03;0;0;0;0;0;0;0.03;1;0.03;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1140;0;0;3;0;0;0;0;0;1.9;0;0;1.3;0;0;0;0.6;3;1.9;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1160;2;0;1;0;0;0;0;0;2.42;0;0;2.42;0;0;0;0;3;2.42;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1200;0;0;1;0;0;0;0;0;0.3;0;0;0;0;0;0.3;0;1;0.3;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1340;0;1;0;0;0;0;0;0;0.02;1.01;0;0;0;0;0;1.03;1;1.03;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2010;2;1;0;0;0;0;0;0;2;1;0;3;0;0;0;0;3;3;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2020;0;1;1;3;0;0;0;0;0.4;1.83;0;0;0;0;1.09;1.14;5;2.23;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2030;3;0;0;0;0;0;0;0;3.06;0;0;3;0;0;0;0.06;3;3.06;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2050;2;1;0;0;0;0;0;0;2.2;1.03;0;2;0;0;0;1.23;3;3.23;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2080;0;1;0;0;0;0;0;0;0;1;1;0;0;;0;0;1;1;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2130;0;0;1;0;0;0;0;0;0.4;0;0;0;0;0;0.4;0;1;0.4;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M3011;1;0;0;1;0;0;0;0;1.24;1.01;0;1.58;0;0;0;0.67;2;2.25;0
Q20;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M3050;0;3;0;0;0;0;0;0;0;3.73;0;2.85;0;0;0;0.88;3;3.73;0
Q20;2022;010005239;;010008407;M9999;23;12;17;9;0;0;0;0;33.62;16.08;1;19.53;0;0;2.29;26.88;61;49.7;0
Q20;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M1010;1;1;;;;;;;0.75;0.71;;;;;;;2;1.46;
Q20;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M3050;;;;1;;;;;;0.5;;;;;;;1;0.5;
Q20;2022;010005379;;010010718;M9999;1;1;;1;;;;;0.75;1.21;;;;;;;3;1.96;
Q20;2022;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;M1110;;;;1;;;;;;0.25;;;;;;;1;0.25;
Q20;2022;010006526;;690796552;M9999;;;;1;;;;;;0.25;;;;;;;1;0.25;
Q20;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1030;;;;;;;3;1;;;;;;;;;;;4
Q20;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1090;;;;;;;1;;;;;;;;;;;;1
Q20;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2020;;;;;;;1;;;;;;;;;;;;1
Q20;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2030;;;;;;;1;;;;;;;;;;;;1
Q20;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2040;;;;;;;;1;;;;;;;;;;;1
Q20;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2070;;;;;;;2;1;;;;;;;;;;;3
Q20;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M2100;;;;;;;1;;;;;;;;;;;;1
Q20;2022;010007300;;010007292;M9999;;;;;;;9;3;;;;;;;;;;;12
Q20;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1010;2;;;;;;;;1.5;;;;;;;;2;1.5;
Q20;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1180;2;;;;;;;;1.25;0.27;;;;;;;2;1.52;
Q20;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M3050;;1;;;;;;;;0.58;;;;;;;1;0.58;
Q20;2022;010008852;;010783009;M9999;4;1;;;;;;;2.75;0.85;;;;;;;5;3.6;
Q20;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1010;1;;;;;;;;0.73;;;;;;0.73;;1;0.73;
Q20;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1320;;4;1;1;;;;;0.16;3.05;;2.45;;;;0.76;6;3.21;
Q20;2022;010009314;;010780054;M9999;1;4;1;1;;;;;0.89;3.05;;2.45;;;0.73;0.76;7;3.94;
Q20;2022;010009702;USLD EMILE PELICAND;010780054;M1010;;1;1;;;;;;;0.4;;0.4;;;;;2;0.4;
Q20;2022;010009702;USLD EMILE PELICAND;010780054;M1320;;2;;1;;;;;0.2;0.9;;0.65;;;0.2;0.25;3;1.1;
Q20;2022;010009702;;010780054;M9999;;3;1;1;;;;;0.2;1.3;;1.05;;;0.2;0.25;5;1.5;
Q20;2022;010010171;CLINIQUE DE CHATILLON;010011559;M1010;0;0;0;2;;;;;0;0.6;;;;;;;2;0.6;
Q20;2022;010010171;CLINIQUE DE CHATILLON;010011559;M3020;0;0;0;1;2;3;;;0;0.18;;;;;;;1;0.18;5
Q20;2022;010010171;;010011559;M9999;0;0;0;3;2;3;;;0;0.78;;;;;;;3;0.78;5
Q20;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;M1150;2;2;;;;;;;2.3;1.5;;;;;;;4;3.8;
Q20;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;M3050;;1;;;;;;;;1.2;;;;;;;1;1.2;
Q20;2022;010011641;;010000222;M9999;2;3;;;;;;;2.3;2.7;;;;;;;5;5;
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1010;2;0;0;1;0;0;0;0;2;0.8;;;;;;;3;2.8;0
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1030;0;0;0;0;11;1;0;0;0;0;;;;;;;0;0;12
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1040;0;0;0;0;9;2;0;0;0;0;;;;;;;0;0;11
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1090;0;0;0;0;2;2;0;0;0;0;;;;;;;0;0;4
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1130;0;0;0;0;0;0;1;0;0;0;;;;;;;0;0;1
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1150;0;0;0;0;3;1;0;0;0;0;;;;;;;0;0;4
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1160;0;0;0;0;0;0;13;2;0;0;;;;;;;0;0;15
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1190;0;0;0;0;0;0;0;1;0;0;;;;;;;0;0;1
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1210;0;0;0;0;0;0;7;0;0;0;;;;;;;0;0;7
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M1340;0;0;0;0;6;1;0;0;0;0;;;;;;;0;0;7
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2020;0;0;0;0;0;0;2;1;0;0;;;;;;;0;0;3
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2030;0;0;0;0;3;0;0;0;0;0;;;;;;;0;0;3
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2040;0;0;0;0;0;0;2;1;0;0;;;;;;;0;0;3
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2050;0;0;0;0;1;3;0;0;0;0;;;;;;;0;0;4
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2060;0;0;0;0;0;0;2;1;0;0;;;;;;;0;0;3
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2070;0;0;0;0;0;0;5;0;0;0;;;;;;;0;0;5
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2080;0;0;0;0;1;1;1;1;0;0;;;;;;;0;0;4
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2100;0;0;0;0;2;0;0;0;0;0;;;;;;;0;0;2
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2120;0;0;0;0;3;0;0;0;0;0;;;;;;;0;0;3
Q20;2022;010780195;CLINIQUE CONVERT;010000156;M2130;0;;0;0;1;0;0;0;0;0;;;;;;;0;0;1
Q20;2022;010780195;;010000156;M9999;2;0;0;1;42;11;33;7;2;0.8;;;;;;;3;2.8;93
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;1;1;;;2;2;;1;0.71;0.06;;;;;;;2;0.77;5
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1070;;;;;1;;;;;;;;;;;;;;1
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1090;;;;;;2;;;;;;;;;;;;;2
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1140;1;;;;1;;;;;0.54;;;;;;;1;0.54;1
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1150;;;;;;;3;;;;;;;;;;;;3
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1180;;;;;1;;;;;;;;;;;;;;1
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1200;;;1;;;;;;0.24;;;;;;;;1;0.24;
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1320;1;1;2;;;;;;2.07;0.14;;;;;;;4;2.21;
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1340;;;;;11;0;;;;;;;;;;;;;11
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2020;;;;;;;2;;;;;;;;;;;;2
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2030;;;;;2;1;;;;;;;;;;;;;3
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2040;;;;;;;1;;;;;;;;;;;;1
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2050;;;;;4;1;;;;;;;;;;;;;5
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2070;;;;;;2;;;;;;;;;;;;;2
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2080;;;;;;;2;;;;;;;;;;;;2
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2100;;;;;;;3;;;;;;;;;;;;3
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2120;;;;;1;;1;1;;;;;;;;;;;3
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2130;;;;;;;3;;;;;;;;;;;;3
Q20;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M3050;;2;;;;;;;0.01;1.71;;;;;;;2;1.72;
Q20;2022;010780203;;010010718;M9999;3;4;3;;23;8;15;2;3.03;2.45;;;;;;;10;5.48;48
Q20;2022;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M1010;2;4;;;;;;;2.99;4;;;;;;;6;6.99;
Q20;2022;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M1180;;2;;;;;;;0.59;1.75;;;;;;;2;2.34;
Q20;2022;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M3050;;;;1;;;;;0.04;0.73;;;;;;;1;0.77;
Q20;2022;010780278;;010783009;M9999;2;6;;1;;;;;3.62;6.48;;;;;;;9;10.1;
Q20;2022;010780294;NEPHROCARE CH BELLEY;690000278;M1110;;;;;1;;;;;;;;;;;;;;1
Q20;2022;010780294;NEPHROCARE CH BELLEY;690000278;M3040;;;;;;;;;0.2;;;;;;;;;0.2;
Q20;2022;010780294;NEPHROCARE CH BELLEY;690000278;M3050;;;;;;;;;0.36;0.34;;;;;;;;0.7;
Q20;2022;010780294;;690000278;M9999;;;;;1;;;;0.56;0.34;;;;;;;;0.9;1
