BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;GARDED;ASTDED
PERINAT_P;2022;020000535;CH CHAUNY;020000287;N2200;3;;;;;
PERINAT_P;2022;020000535;CH CHAUNY;020000287;N2340;1.41;;;;;
PERINAT_P;2022;020000535;CH CHAUNY;020000287;N2530;11.02;;;;;
PERINAT_P;2022;020000535;CH CHAUNY;020000287;N2800;10.8;;;;;
PERINAT_P;2022;020000535;CH CHAUNY;020000287;N280H;10.8;;;;;
PERINAT_P;2022;020000535;CH CHAUNY;020000287;NAUT;8.37;;;;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;M1030;0.75;;1;0;0;0
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;M1140;4.84;;1;0;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;M2050;5.25;;1;0;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;MIVG;0.2;;;;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N2200;3.25;;;;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N2340;7.66;;;;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N2530;15.64;;;;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N2700;0.25;;;;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N2800;17.55;;;;;
PERINAT_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;NAUT;5.73;;;;;
PERINAT_P;2022;020001087;CH HIRSON;020004495;M2050;0.05;;0;0;;
PERINAT_P;2022;020001087;CH HIRSON;020004495;N2530;1;;;;;
PERINAT_P;2022;020001087;CH HIRSON;020004495;NAUT;1;;;;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;M1030;0;0;1;0;0;0
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;M1140;1.56;0;0;1;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;M2050;3.55;0;1;0;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;MAUT;0.33;;;;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;MIVG;0.05;;;;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;N2200;3.75;;;;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;N2340;3.97;;;;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;N2530;16.66;;;;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;N2800;22.83;;;;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;N280H;12.73;;;;;
PERINAT_P;2022;030000061;CH DE MOULINS;030780092;NAUT;25.81;;;;;
PERINAT_P;2022;030000079;CH DE MONTLUCON;030780100;M1140;2.2;;0;1;;
PERINAT_P;2022;030000079;CH DE MONTLUCON;030780100;M2050;6.64;;0;1;;
PERINAT_P;2022;030000079;CH DE MONTLUCON;030780100;N2200;1;;;;;
PERINAT_P;2022;030000079;CH DE MONTLUCON;030780100;N2340;4.81;;;;;
PERINAT_P;2022;030000079;CH DE MONTLUCON;030780100;N2530;11.88;;;;;
PERINAT_P;2022;030000079;CH DE MONTLUCON;030780100;N2700;1.39;;;;;
PERINAT_P;2022;030000079;CH DE MONTLUCON;030780100;N2800;20.95;;;;;
PERINAT_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;M1030;6.01;0;1;0;0;
PERINAT_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;M1140;7.95;0;0;1;;
PERINAT_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;M2050;6.99;0;0;1;;
PERINAT_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;MIVG;0.21;0;;;;
PERINAT_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2530;13.49;0;;;;
PERINAT_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2700;0.99;0;;;;
PERINAT_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2800;24.56;0;;;;
PERINAT_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;9.56;0;;;;
PERINAT_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1030;4;4;0;1;0;0
PERINAT_P;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;MIVG;2;2;;;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1140;0.93;0;0;1;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M2050;1.61;0;0;1;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;MIVG;0.2;0;;;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2200;1.18;0;;;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2340;3.95;0;;;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2530;9.36;0;;;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2700;0.5;0;;;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2800;16.82;0;;;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N280H;16.82;0;;;;
PERINAT_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;5.66;0;;;;
PERINAT_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M2050;4.1;;;;;
PERINAT_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;MAUT;0.14;;;;;
PERINAT_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;MIVG;0.17;;;;;
PERINAT_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2700;0.3;;;;;
PERINAT_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2800;4.89;;;;;
PERINAT_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N280H;4.89;;;;;
PERINAT_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;8.77;;;;;
PERINAT_P;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NAUT;0.05;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1140;1.8;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M2050;4.26;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MIVG;0.3;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2200;0.63;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2340;6.54;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2530;22.54;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2800;19.74;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N280H;19.74;;;;;
PERINAT_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;15.39;;;;;
PERINAT_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1140;5.09;0;1;0;;
PERINAT_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M2050;5;1;0;0;;
PERINAT_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2340;13.13;0;;;;
PERINAT_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2530;23.51;0;;;;
PERINAT_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2700;0.94;0;;;;
PERINAT_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2800;31.66;0;;;;
PERINAT_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N280H;31.66;0;;;;
PERINAT_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;5.09;0;;;;
PERINAT_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1030;9.91;;1;0;0;0
PERINAT_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1140;5.3;;0;1;;
PERINAT_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M2050;6.47;1;1;0;;
PERINAT_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2340;0.33;;;;;
PERINAT_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2700;0.3;;;;;
PERINAT_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2800;20.92;2;;;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;M1030;0.89;;1;0;0;0
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;M1140;2;;1;0;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;M2050;7.99;2;1;0;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;MAUT;0.1;;;;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;1.71;;;;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2340;3.63;;;;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2530;32.52;;;;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2700;0.34;;;;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2800;26.27;;;;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N280H;13;;;;;
PERINAT_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;9.7;;;;;
PERINAT_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;M1140;0.12;;0;0;;
PERINAT_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;M2050;0.86;2;0;0;;
PERINAT_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;N2700;0.09;;;;;
PERINAT_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;N2800;0.95;;;;;
PERINAT_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;1;;;;;
PERINAT_P;2022;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M1030;;1;0;0;;
PERINAT_P;2022;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M2050;;1;0;0;;
PERINAT_P;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1030;;10;0;1;;0
PERINAT_P;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1140;;4;0;1;;
PERINAT_P;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;M2050;;11;0;1;;
PERINAT_P;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2530;13.05;;;;;
PERINAT_P;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2700;1.36;;;;;
PERINAT_P;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2800;11.22;;;;;
PERINAT_P;2022;060780590;CLINIQUE DU PALAIS;060000270;M2050;0;1;0;0;;
PERINAT_P;2022;060780715;CLINIQUE SAINT GEORGE;060000361;M2050;;6;;;;
PERINAT_P;2022;060780756;POLYCLINIQUE SANTA MARIA;060000403;M1030;;6;;;;
PERINAT_P;2022;060780756;POLYCLINIQUE SANTA MARIA;060000403;M1140;;11;;;;
PERINAT_P;2022;060780756;POLYCLINIQUE SANTA MARIA;060000403;M2050;;26;;;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1030;5.84;;1;0;1;0
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1140;9.14;;1;0;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M2050;7.59;;1;0;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MAUT;1.19;;;;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MIVG;0.2;;;;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2200;20.54;;;;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2340;37.24;;;;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2530;49.49;;;;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2700;2.3;;;;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2800;62.13;;;;;
PERINAT_P;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;NAUT;61.74;;;;;
PERINAT_P;2022;070000013;CH DE PRIVAS ARDECHE;070002878;M1140;0.05;;0;0;;
PERINAT_P;2022;070000013;CH DE PRIVAS ARDECHE;070002878;M2050;0.16;;;0;;
PERINAT_P;2022;070000013;CH DE PRIVAS ARDECHE;070002878;MIVG;0.1;;;;;
PERINAT_P;2022;070000013;CH DE PRIVAS ARDECHE;070002878;N2530;1.66;;;;;
PERINAT_P;2022;070000013;CH DE PRIVAS ARDECHE;070002878;N2800;3.28;;;;;
PERINAT_P;2022;070000013;CH DE PRIVAS ARDECHE;070002878;NAUT;0.75;;;;;
PERINAT_P;2022;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;N2800;1.85;;;;;
PERINAT_P;2022;070000179;CH ARDECHE NORD;070780358;M1140;0.38;;0;0;;
PERINAT_P;2022;070000179;CH ARDECHE NORD;070780358;M2050;2.42;;0;1;;
PERINAT_P;2022;070000179;CH ARDECHE NORD;070780358;MIVG;0.1;;;;;
PERINAT_P;2022;070000179;CH ARDECHE NORD;070780358;N2200;1.67;;;;;
PERINAT_P;2022;070000179;CH ARDECHE NORD;070780358;N2340;2.4;;;;;
PERINAT_P;2022;070000179;CH ARDECHE NORD;070780358;N2530;7.68;;;;;
PERINAT_P;2022;070000179;CH ARDECHE NORD;070780358;N2700;0.14;;;;;
PERINAT_P;2022;070000179;CH ARDECHE NORD;070780358;N2800;5.8;;;;;
PERINAT_P;2022;070000195;CH DE TOURNON SUR RHONE;070780374;M1140;0.4;;0;0;;
PERINAT_P;2022;070000195;CH DE TOURNON SUR RHONE;070780374;M2050;0.2;;0;0;;
PERINAT_P;2022;070000195;CH DE TOURNON SUR RHONE;070780374;N2530;7.1;;;;;
PERINAT_P;2022;070000195;CH DE TOURNON SUR RHONE;070780374;N2700;0.1;;;;;
PERINAT_P;2022;070000195;CH DE TOURNON SUR RHONE;070780374;N2800;5.06;;;;;
PERINAT_P;2022;070000195;CH DE TOURNON SUR RHONE;070780374;NAUT;1.26;;;;;
PERINAT_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;M2050;4.51;;;;;
PERINAT_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;MAUT;0.55;;;;;
PERINAT_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N2530;0.25;;;;;
PERINAT_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N2700;0.2;;;;;
PERINAT_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;N2800;16.21;;;;;
PERINAT_P;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;NAUT;17.32;;;;;
PERINAT_P;2022;070780424;CLINIQUE PASTEUR;070000245;M1030;;14;1;1;0;0
PERINAT_P;2022;070780424;CLINIQUE PASTEUR;070000245;M1140;1.5;;0;1;;
PERINAT_P;2022;070780424;CLINIQUE PASTEUR;070000245;M2050;0.69;2;0;1;;
PERINAT_P;2022;070780424;CLINIQUE PASTEUR;070000245;N2530;10.26;;;;;
PERINAT_P;2022;070780424;CLINIQUE PASTEUR;070000245;N2700;0.5;;;;;
PERINAT_P;2022;070780424;CLINIQUE PASTEUR;070000245;N2800;8.01;;;;;
PERINAT_P;2022;070780424;CLINIQUE PASTEUR;070000245;NAUT;1.36;;;;;
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1030;2.33;;1;0;0;0
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1140;2;;0;1;;
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M2050;3.57;;0;1;;
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2200;1.05;;;;;
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2340;3.5;;;;;
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2530;11.51;;;;;
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2800;17.14;;;;;
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N280H;5.08;;;;;
PERINAT_P;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;18.11;;;;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1030;5.04;;1;0;1;0
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1140;4.23;;1;0;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M2050;7.44;;1;0;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;MIVG;0.15;;;;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2200;12.84;;;;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2340;10.64;;;;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2530;20.68;;;;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2800;28.05;;;;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N280H;14.66;;;;;
PERINAT_P;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NAUT;5.18;;;;;
PERINAT_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;M1140;3.59;;0;1;;
PERINAT_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;M2050;8.26;;1;0;;
PERINAT_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2200;2.16;;;;;
PERINAT_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2340;2.71;;;;;
PERINAT_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2530;0.34;;;;;
PERINAT_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2800;24.72;;;;;
PERINAT_P;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;NAUT;23.36;;;;;
PERINAT_P;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M2050;2.3;;;;;
PERINAT_P;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2530;3.4;;;;;
PERINAT_P;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2800;8;;;;;
PERINAT_P;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;NAUT;5;;;;;
PERINAT_P;2022;090001629;CHIVA SITE LAVELANET;090781774;M1140;0.38;;0;0;;
PERINAT_P;2022;090001629;CHIVA SITE LAVELANET;090781774;M2050;0.1;;0;0;;
PERINAT_P;2022;090001629;CHIVA SITE LAVELANET;090781774;N2800;0.5;;;;;
PERINAT_P;2022;090001629;CHIVA SITE LAVELANET;090781774;NAUT;0.7;;;;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1030;1;;1;0;1;0
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1140;9.61;;1;1;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M2050;7.41;;1;1;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;MIVG;0.1;;;;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N2200;18.41;;;;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N2340;25.2;;;;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N2530;22.05;;;;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N2700;1.45;;;;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N2800;44.59;;;;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N280H;15.33;;;;;
PERINAT_P;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;NAUT;39.3;;;;;
PERINAT_P;2022;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;M1030;0.41;;;;;
PERINAT_P;2022;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;M1140;0.41;;;;;
PERINAT_P;2022;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;M2050;0.65;;;;;
PERINAT_P;2022;100010818;GCS HOPITAL PRIVE DE L AUBE SITE CLQ;100010792;N2530;6.33;;;;;
