BOR;AN;FI;RS;FI_EJ;UNI;LIT;LIT_PROXI;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;ETPSAL_MED;EFFLIB_MED;ETPSAL_INFSP;EFFLIB_INFSP;ETPSAL_INFNS;EFFLIB_INFNS;ETPSAL_AID;EFFLIB_AID;ETPSAL_KINE;EFFLIB_KINE;ETPSAL_APNM;EFFLIB_APNM
REA;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;AUTSI;6;;2190;232;;;1969;;;;0.8;;;;11.45;13;9.18;9;;;0.88;1
REA;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;REAADU;18;;6984;977;1350;505;6197;10;38;59;7.53;;;;57.2;66;40.4;45;;;13.03;23
REA;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SITOT;24;;8760;1865;;;7233;;;;;;;;;;;;;;;
REA;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SIUNV;8;;2920;507;;;2538;;;;1.5;;;;12.62;12;9.22;9;;;1.89;5
REA;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SURVADU;24;;7778;1751;;;5746;;;;3.07;;;;36.59;40;28.79;27;;;7.73;15
REA;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;USIC;10;;3650;1126;;;2726;;;;0.5;;;;12.51;11;8.75;10;;;3.01;4
REA;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;AUTSI;13;;4745;458;;;5086;;;;2.6;;1.16;3;27.04;31;22.25;22;;;10.45;20
REA;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;REAADU;16;;6161;612;668;45;5288;48;46;49;6.76;;0.46;1;37;36;28.87;30;;;9.62;14
REA;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SITOT;13;;4745;458;;;5086;;;;;;;;;;;;;;;
REA;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SURVADU;12;;4380;738;;;2770;;;;2.92;;;;10.97;10;9.9;9;;;1.87;3
REA;2022;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SURVENF;10;;3650;449;;;1991;;;;1.88;;7.77;6;6.49;5;8.4;8;;;4.12;9
REA;2022;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;REAADU;0;;1448;72;76;1;1118;83;51;19;1.58;;;;6.67;;6.25;;;;1.14;
REA;2022;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;SURVADU;12;;3650;289;;;2895;;;;1.86;;;;6.98;;5.41;;0.2;;1.51;
REA;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;REAADU;11;;4015;950;977;65;3021;16;26;231;;;1;;17.75;;9.87;;;;4.82;
REA;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SITOT;8;0;2920;1094;;;3136;;;;;;;;;;;;;;;
REA;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SURVADU;28;;10220;2258;;;6885;;;;;;0.35;;6.35;;4.95;;;;4.12;
REA;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;USIC;8;0;2920;1094;;;3136;;;;;;0.4;;7.34;;5.96;;;;;
REA;2022;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;SURVADU;33;;12045;1645;;;8387;;;;;17;7.07;;15;;17.15;;;7;3;
REA;2022;070000013;CH DE PRIVAS ARDECHE;070002878;SURVADU;4;0;1460;298;;;1175;;;;1;;8.18;;;;4.61;;;;0.35;
REA;2022;070000179;CH ARDECHE NORD;070780358;REAADU;12;;4380;510;522;23;3138;6;37;126;3;0;1;0;20;0;14;0;0;0;0;0
REA;2022;070000179;CH ARDECHE NORD;070780358;SURVADU;6;;2190;368;;;2039;;;;0.9;0;0.2;0;7;0;2.74;0;0;0;0;0
REA;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;REAADU;0;;;164;165;10;1218;7;39;50;;;;;;;;;;;;
REA;2022;070000609;SITE B. HUGO CH ARDECHE MERIDIONALE;070005566;SURVADU;8;;2920;224;;;958;;;;0.28;;;;14.35;;10.03;;;;2.14;
REA;2022;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;SURVADU;4;;1460;46;;;375;;;;;3;;;1;;1;;;;;
REA;2022;070780424;CLINIQUE PASTEUR;070000245;SURVADU;8;;2920;481;;;2409;;;;;14;0.58;;7.07;;7.02;;;;;
REA;2022;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;SURVADU;4;;1460;163;;;1037;;;;1.82;;;;7.08;;5.21;;0.3;;2.5;
REA;2022;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;SURVADU;6;;2190;471;;;1385;;;;1.08;;0.15;;10.46;;2.8;;;;;
REA;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;AUTSI;1;;365;90;;;682;;;;0.6;;0.17;;1.65;;2.26;;;;0.31;
REA;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;REAADU;15;;5369;475;486;15;4299;20;44;43;5.04;;0.8;;31.81;;20.58;;;;1.2;
REA;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SITOT;13;;4744;768;;;4654;;;;;;;;;;;;;;;
REA;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SURVADU;;;;3;;;6;;;;0.95;;;;;;;;;;;
REA;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;USIC;12;;4379;678;;;3972;;;;1.1;;0.5;;17.38;;13.79;;;;;
REA;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;REAADU;8;;3635;519;540;30;3540;6;33;122;3.28;;0.02;;22.22;;14.53;;;;;
REA;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;SURVADU;4;4;745;50;;;103;;;;1.6;;0.01;;4.55;;2.97;;;;;
REA;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;AUTSI;8;;2920;158;;;2009;;;;;;;;11.9;;10.4;;1.3;;6;
REA;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SITOT;8;;2920;158;;;2009;;;;;;;;;;;;;;;
REA;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SURVADU;2;;730;223;;;1054;;;;1.4;;;;3;;2.6;;;;1.8;
REA;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;AUTSI;4;;1460;85;;;1404;;;;1.91;;0;;2.29;;0;;0;;0;
REA;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;REAADU;12;;4380;572;586;32;3667;7;38;97;4.08;;0.47;;26.45;;20.4;;0;;4.04;
REA;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SITOT;22;;8030;1368;;;7163;;;;;;;;;;;;;;;
REA;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SIUNV;4;;1460;245;;;1117;;;;0.83;;0.1;;5.77;;0.96;;0;;0.69;
REA;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SURVADU;6;6;2190;439;;;1507;;;;1.7;;0.12;;6.61;;5.1;;0;;0.15;
REA;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SURVENF;4;;1460;363;;;1005;;;;0.6;;6.4;;0;;0.7;;0;;0.3;
REA;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;USIC;14;;5110;1038;;;4642;;;;0.89;;0;;18.56;;11.84;;0;;0.1;
REA;2022;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;SURVADU;12;;4380;499;;;1796;;;;1;;;;;;;;;;;
REA;2022;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;SURVADU;6;;2190;491;;;1899;;;;;;;;;;;;;;;
REA;2022;100010818;GCS HOPITAL PRIVE DE L AUBE SITE CLQ;100010792;SURVADU;8;;2920;153;;;573;;;;;1;;;10.34;;11.49;;;1;3;
REA;2022;110000023;CH CARCASSONNE;110780061;REAADU;8;;2920;393;397;29;2349;0;41;36;5.94;;0.77;;18.31;;12.92;;;;0.3;
REA;2022;110000023;CH CARCASSONNE;110780061;SITOT;16;;5840;1503;;;5400;;;;;;;;;;;;;;;
REA;2022;110000023;CH CARCASSONNE;110780061;SIUNV;8;;2920;760;;;2780;;;;0.58;;0.3;;8.53;;9.08;;0.7;;;
REA;2022;110000023;CH CARCASSONNE;110780061;SURVADU;6;6;1362;252;;;918;;;;2.53;;0.45;;9.42;;7.86;;0.1;;0.2;
REA;2022;110000023;CH CARCASSONNE;110780061;USIC;8;;2920;743;;;2620;;;;1.06;;0.2;;12.2;;6.04;;;;;
REA;2022;110000056;CH NARBONNE;110780137;REAADU;8;;2920;278;283;10;2613;3;42;7;4.69;;;;17.3;;11.07;;;;1.09;
REA;2022;110000056;CH NARBONNE;110780137;SITOT;10;;3650;1178;;;2493;;;;;;;;;;;;;;;
REA;2022;110000056;CH NARBONNE;110780137;SIUNV;4;;1460;488;;;1122;;;;1.3;;;;5.92;;4.45;;;;0.07;
REA;2022;110000056;CH NARBONNE;110780137;SURVADU;4;4;1460;224;;;1079;;;;2.25;;;;8.65;;5.54;;;;0.55;
REA;2022;110000056;CH NARBONNE;110780137;USIC;6;;2190;690;;;1371;;;;1.66;;;;8.87;;6.67;;;;0.1;
REA;2022;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;SURVADU;12;;4194;1371;;;4143;;;;;11;;;11.64;;7.2;;;;;
REA;2022;110780483;POLYCL MONTREAL CARCASSONNE;110000155;SURVADU;8;0;2920;683;;;3567;;;;2;;;;7.1;;6.2;;;;2.33;
REA;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;REAADU;8;;2920;569;593;48;2428;15;39;120;6.17;;0.88;;20.87;;13.42;;;;1.33;
REA;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SITOT;16;;5840;1121;;;4473;;;;;;;;;;;;;;;
REA;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SIUNV;8;;2920;523;;;2120;;;;5.69;;0.65;;8.94;;7.04;;;;0.37;
REA;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SURVADU;3;;1095;172;;;457;;;;;;;;;;;;;;;
REA;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;USIC;8;;2920;598;;;2353;;;;3;3;;;14.01;;8.3;;;;1.52;
REA;2022;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;SURVADU;6;;1883;236;;;1551;;;;1.02;;0.5;;9.16;;5.97;;;;;
REA;2022;120004569;CH MILLAU;120004528;SURVADU;5;;1825;318;;;1477;;;;1.71;;0.5;;7.32;;5.76;;;;0.11;
REA;2022;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;SURVADU;4;0;1460;217;;;1255;;;;0.44;;;;6;;4.8;;;;0.72;
REA;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;AUTSI;4;;1460;128;;;1230;;;;0.25;;;;3.25;;3;;;;0.23;
REA;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;REAADU;20;;7445;776;799;120;5398;7;41;132;11.78;;0.4;;42.69;;23.4;;0.68;;1.06;
REA;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SITOT;28;;10008;2998;;;8139;;;;;;;;;;;;;;;
REA;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SIUNV;8;;2708;849;;;2058;;;;0.22;;0.46;;12.46;;8.56;;0.5;;0.33;
REA;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SURVADU;5;;1375;245;;;586;;;;1.44;;1;;10.19;;9.4;;;;0.5;
REA;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SURVENF;4;;1772;665;;;1481;;;;0.72;;3.51;;2.07;;6.09;;;;0.64;
REA;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;USIC;16;;5840;2021;;;4851;;;;1.99;;0.56;;22.65;;13.77;;;;2.17;
REA;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;REAADU;8;;3132;312;316;9;2618;12;39;81;;;;;23.52;;13.73;;;1;1.6;
REA;2022;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;SURVADU;4;4;1204;172;;;853;;;;;;;;5.56;;5.83;;;;0.2;
REA;2022;130001225;HOPITAL DU PAYS SALONAIS;130782634;REAADU;8;;2920;257;263;7;3888;7;44;44;4.97;;;;23.12;;15.37;;;;5.15;
REA;2022;130001225;HOPITAL DU PAYS SALONAIS;130782634;SURVADU;4;;1460;151;;;734;;;;;;;;;;;;;;;
REA;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;AUTSI;60;;21880;1261;;;20951;;;;19.92;;4.83;;64.3;;24.67;;;;10.54;
REA;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;REAADU;10;;4583;590;620;16;3614;11;33;43;15.58;;1.46;;25.82;;11.56;;2;;4.13;
REA;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;SITOT;60;;21880;1261;;;20951;;;;;;;;;;;;;;;
REA;2022;130001647;INSTITUT PAOLI CALMETTES;130784127;SURVADU;10;;2419;411;;;1722;;;;10.39;;1.46;;12.72;;11.56;;2;;4.13;
REA;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;REAADU;0;;96;9;9;0;138;11;37;2;;;;;;;;;;;;
REA;2022;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;SURVADU;6;;2094;311;;;1627;;;;8;;;;6;;6;;0.2;;;
REA;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;REAADU;6;;2190;277;280;11;2187;5;35;40;2.98;;0.94;;18.22;;11.79;;;;0.51;
REA;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;SITOT;6;;2190;686;;;1630;;;;;;;;;;;;;;;
REA;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;SURVADU;3;3;1095;2;;;0;;;;0.2;;;;;;;;;;;
REA;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;USIC;6;;2190;686;;;1630;;;;0.58;;0.79;;6.01;;2.47;;;;0.04;
