BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23
ORG;2022;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;;;;1;A;;;;;;;;2;B;;;;;;;;37;C;A;;;;;;;;;;
ORG;2022;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2022;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2022;030780548;POLYCLINIQUE LA PERGOLA;030000194;;;;;;;;;;;;;;;;;;;;;;14;C;D;;;;0;;;;;;
ORG;2022;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;;;;;;;;;;;;;;;;;;;;;;50;C;D;;;;0;;;;;;
ORG;2022;030785430;POLYCLINIQUE SAINT-ODILON;030009088;1;D;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;040000044;EPS DUCELIA DE CASTELLANE;040780140;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2022;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;;;;2;A;C;;;;;;;;;;2;D;;;;;90;A;C;;;;;;;;;;
ORG;2022;040000119;EPS LUMIERE DE RIEZ;040780231;;;;;;;;;;;;;;;;;;;;;;29;C;;;;;;;;;;;
ORG;2022;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;040780249;;;;1;A;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;;;;;;;;;;;;;;;;;;;;31;C;D;;;;;;;;;;
ORG;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;;1;A;;;;;;;;;;;2;D;;;;;37;C;D;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2022;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;920033503;;;;;;;;;;;;;;;;1;A;B;;;;5;C;D;;;;0;;;;;;
ORG;2022;040780405;CENTRE DES CARMES;040000168;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2022;040780470;CLINIQUE TOUTES AURES;040000192;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2022;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;;;;;;;;;;;;;;;;;;;;;;9;D;C;;;;0;;;;;;
ORG;2022;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;1;C;;1;A;;;;;;;;;;;;;;;;;51;C;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2022;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;;;;;;;;;;;;;;;;1;A;B;;;;5;C;D;;;;0;;;;;;
ORG;2022;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;;;;;;;;;;;;;;;;1;A;B;;;;5;C;D;;;;0;;;;;;
ORG;2022;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;;;;1;D;;1;A;;;;;;;;;;;;;;10;C;;;;;1;1;ALPES DU SUD;;;;
ORG;2022;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;;;;1;D;;;;;;;;;;;;;;;;;2;A;;;;;0;;;;;;
ORG;2022;050000066;CENTRE MEDICAL LA SOURCE;050000082;;;;;;;;;;;;;;;;;;;;;;12;;;;;;1;1;ALPES DU SUD;;;;
ORG;2022;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;;;;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;;;;;;
ORG;2022;050000132;CH BUECH DURANCE;050007145;;;;;;;;;;;;;;;;;;;;;;119;;;;;;1;1;ALPES DU SUD;;;;
ORG;2022;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;;;;;;;;;;;;;;;;;;;;;;3;A;;;;;0;;;;;;
ORG;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;;;;4;A;B;;;;;;;1;B;;3;D;B;1;C;;150;;;;;;;;;;;;
ORG;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;;;;1;D;;;;;;;;;;;;;;1;C;;85;A;C;;;;0;;;;;;
ORG;2022;050000298;LA GUISANE;050000496;;;;;;;;;;;;;;;;;;;;;;3;C;C;;;;1;2;ALPES DU SUD;ALPES MARITIMES;;;
ORG;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;;;;3;C;D;;;;;;;1;A;;1;D;;3;C;;270;C;D;;;;;;;;;;
ORG;2022;050000488;LES ACACIAS CTRE MALADIES RESP ALLERG;050000678;;;;1;A;;;;;;;;;;;;;;;;;4;C;;;;;0;;;;;;
ORG;2022;050000991;CENTRE MEDICAL CHANTOURS;050000546;1;D;;;;;;;;;;;;;;1;B;;;;;5;A;C;;;;0;;;;;;
ORG;2022;050001064;CENTRE MEDICAL LA DURANCE;050000561;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;050002351;CENTRE RHONE AZUR GAP;130037815;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES DU SUD;;;;
ORG;2022;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;;;;;;;;;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;
ORG;2022;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;060780327;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES MARITIMES;;;;
ORG;2022;060000296;LA MAISON DU MINEUR;060780640;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;;;;;;;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;
ORG;2022;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;;;;;;;;;;;;;;;;;;;;;;12;C;A;;;;;;;;;;
ORG;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;;;;;;;;;;3;A;D;;;;1;D;;;;;44;C;;;;;;;;;;;
ORG;2022;060000486;CH SAINT ELOI DE SOSPEL;060780905;;;;;;;;;;;;;;;;;;;;;;10;D;A;;;;;;;;;;
ORG;2022;060000494;CH SAINT LAZARE DE TENDE;060780921;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;
ORG;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;;;;1;A;;;;;;;;;;;1;D;;;;;15;C;C;3;C;;0;;;;;;
ORG;2022;060000528;CENTRE ANTOINE LACASSAGNE;060780962;;;;1;C;;;;;4;A;E;1;E;;;;;;;;180;C;E;1;E;;1;1;ALPES MARITIMES;;;;
ORG;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;;;;2;A;D;;;;;;;;;;2;D;;1;D;;71;C;D;;;;;;;;;;
ORG;2022;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;1;1;ALPES MARITIMES;;;;
ORG;2022;060002102;CH LA PALMOSA DE MENTON;060791761;;;;2;D;A;;;;;;;;;;;;;;;;28;C;D;;;;0;;;;;;
ORG;2022;060005469;L'OLIVERAIE DES CAYRONS;920030269;;;;;;;;;;;;;;;;;;;;;;50;C;D;;;;0;;;;;;
ORG;2022;060006558;HAD ARNAULT TZANCK;060798865;;;;;;;;;;;;;;;;;;;;;;2;C;D;;;;1;1;ALPES MARITIMES;;;;
ORG;2022;060010949;AGAHTIR UDM ANTIBES;060790540;;;;;;;;;;;;;;;;1;;;;;;3;C;;;;;0;;;;;;
ORG;2022;060019213;USLD DOLCE FARNIENTE;060005188;;;;;;;;;;;;;;;;;;;;;;1;D;;;;;0;;;;;;
ORG;2022;060021094;CLINIQUE VILLA ROMAINE;060024619;;;;1;D;;;;;;;;;;;;;;;;;26;C;D;;;;0;;;;;;
ORG;2022;060021201;CENTRE DE CONVALESCENCE ATLANTIS;060000155;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;
ORG;2022;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;;;1;D;;;;;;;;;;;4;D;;;;;5;C;;;;;1;1;ALPES MARITIMES;;;;
ORG;2022;060780145;CLINIQUE SAINT DOMINIQUE;060000049;0;;;0;;;0;;;0;;;0;;;0;;;0;;;5;;;0;;;0;;;;;;
ORG;2022;060780186;LES LAURIERS ROSES CHAINES DE VIE 06;060006939;;;;1;A;B;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;060780277;CLINIQUE SAINTE BRIGITTE;920030269;;;;;;;;;;;;;;;;;;;;;;66;D;C;;;;0;;;;;;
ORG;2022;060780343;E3S SAINT JEAN;060000171;;;;;;;;;;;;;;;;;;;;;;9;C;D;;;;0;;;;;;
ORG;2022;060780392;POLE ANTIBES SAINT JEAN;060000205;;;;;;;;;;;;;;;;;;;;;;11;C;D;;;;0;;;;;;
ORG;2022;060780459;CLINIQUE ORSAC MONTFLEURI;010783009;;;;;;;;;;;;;;;;;;;;;;6;C;D;;;;0;;;;;;
ORG;2022;060780491;INSTITUT ARNAULT TZANCK;060790797;;;;;;;;;;;;;1;B;;4;D;;;;;36;C;D;9;G;;0;;;;;;
ORG;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;;;;;;;;;;;;;;;;;;;;;;19;C;;;;;0;;;;;;
ORG;2022;060780541;CLINIQUE LA GRANGEA;060000262;;;;;;;;;;;;;;;;;;;;;;7;C;D;;;;0;;;;;;
ORG;2022;060780558;CLINIQUE FSEF VENCE;750720575;;;;;;;;;;;;;;;;;;;;;;27;A;C;;;;0;;;;;;
ORG;2022;060780590;CLINIQUE DU PALAIS;060000270;;;;1;A;;;;;;;;;;;5;D;;;;;5;C;;;;;0;;;;;;
ORG;2022;060780715;CLINIQUE SAINT GEORGE;060000361;;;;;;;;;;;;;;;;1;A;;;;;;;;24;C;;0;;;;;;
ORG;2022;060780723;CLINIQUE DU PARC IMPERIAL;060004959;;;;1;D;;;;;;;;;;;1;A;;;;;27;C;;;;;0;;;;;;
ORG;2022;060780749;CLINIQUE SAINT LUC;060000395;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;;;;;;;1;C;;;;;;;;1;A;;;;;;;;;;;1;1;ALPES MARITIMES;;;;
ORG;2022;060780996;CHS SAINTE MARIE NICE;630786754;;;;1;;;;;;;;;;;;;;;;;;75;D;C;;;;1;1;ALPES MARITIMES;;;;
ORG;2022;060781200;CLINIQUE SAINT ANTOINE;060000635;;;;;;;;;;;;;1;B;;;;;;;;44;C;;;;;0;;;;;;
ORG;2022;060781374;INSTITUT POLYCLINIQUE DE CANNES;060000718;;;;;;;;;;;;;;;;;;;;;;10;C;;;;;0;;;;;;
ORG;2022;060781929;CLINIQUE DE LA COSTIERE;060000858;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;060785243;HAD NICE & REGION;060001484;;;;;;;;;;;;;;;;;;;;;;18;C;;;;;1;1;ALPES MARITIMES;;;;
ORG;2022;060789674;CENTRE HELIO MARIN;130037815;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES MARITIMES;;;;
ORG;2022;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;;;;;;;;;;;;;;;;;;;;;;90;C;D;;;;0;;;;;;
ORG;2022;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;;;;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;;;;;;
ORG;2022;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2022;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;;;;;;;;;;;;;;;;1;A;B;;;;3;C;;;;;0;;;;;;
ORG;2022;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;;;;;;;;;;;;;1;B;;1;D;;;;;23;C;D;5;G;;1;1;ALPES MARITIMES;;;;
ORG;2022;060798881;MAISON DE CONVALESCENCE LA SERENA;060798873;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;
ORG;2022;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;;;;;;;;;;;;;;;;4;D;B;;;;1;A;;;;;0;;;;;;
ORG;2022;060800174;FONDATION LENVAL;060800174;;;;1;C;;;;;;;;;;;1;A;;;;;;;;;;;0;;;;;;
ORG;2022;070000021;CH DE JOYEUSE;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;2;C;;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2022;070000039;CH DE VALLON PONT D'ARC;070780119;;;;1;A;B;;;;;;;;;;1;A;;;;;1;A;;;;;;;;;;;
ORG;2022;070000047;CH DE VILLENEUVE DE BERG;070780127;;;;1;B;C;;;;;;;;;;1;A;;;;;1;C;;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2022;070000062;CH DE BOURG SAINT ANDEOL;070005558;;;;1;A;;;;;;;;1;A;;;;;;;;20;C;B;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2022;070000070;CH DU CHEYLARD;070780150;;;;2;B;A;;;;;;;;;;;;;;;;5;D;C;;;;;;;;;;
ORG;2022;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;;;;2;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;070000112;CH LEOPOLD OLLIER;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;2;C;;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2022;070000146;CH DE LARGENTIERE;070004742;;;;1;C;B;;;;;;;;;;1;A;;;;;3;A;D;;;;;;;;;;
ORG;2022;070000187;CH DE LAMASTRE;070780366;0;;;0;;;0;;;0;;;1;B;;0;;;0;;;64;A;C;0;;;;;;;;;
ORG;2022;070000195;CH DE TOURNON SUR RHONE;070780374;;;;;;;;;;;;;1;A;;1;B;;1;C;;50;C;D;;;;;;;;;;
ORG;2022;070000203;CH DE SAINT FELICIEN;070780382;;;;;;;;;;;;;;;;;;;;;;7;C;A;;;;;;;;;;
ORG;2022;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;;;;;;;;;;;;;;;;;;;;;;6;A;D;;;;0;;;;;;
ORG;2022;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;0;;;0;;;0;;;0;;;0;;;1;A;;;;;;;;;;;0;;;;;;
ORG;2022;070780226;SSR FILIERIS DES VANS;750050759;;;;1;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;070780234;CENTRE SSR LE CHATEAU;750721300;;;;1;A;;;;;;;;;;;;;;;;;2;C;;;;;1;2;RHÔNE VERCORS VIVARAIS;SUD DRÔME ARDÈCHE;;;
ORG;2022;070780317;CHS SAINTE-MARIE PRIVAS;630786754;;;;;;;;;;;;;1;B;;;;;143;C;A;;;;;;;0;;;;;;
ORG;2022;070780390;CH DE SERRIERES;070000211;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;
ORG;2022;070780424;CLINIQUE PASTEUR;070000245;;;;;;;;;;;;;;;;;;;;;;62;C;D;;;;0;;;;;;
ORG;2022;070784897;CENTRE DE POST-CURE CROIX BLEUE VIRAC;750820680;;;;1;A;B;;;;;;;;;;1;A;;;;;26;D;C;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2022;070786231;AURAL UNITE DIALYSE CH AUBENAS;690796552;;;;;;;;;;;;;;;;;;;;;;4;C;D;;;;0;;;;;;
ORG;2022;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;
ORG;2022;080000136;CLINIQUE DE LA POINTE;920030269;;;;;;;;;;;;;;;;;;;;;;2;;;;C;D;0;;;;;;
ORG;2022;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;;;;1;A;;;;;;;;1;B;;;;;;;;61;A;C;;;;;;;;;;
ORG;2022;080000250;CRF POUR ADULTES;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2022;080000268;SOINS DE SUITE SAINT JULIEN;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2022;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;;;;2;A;C;;;;;;;1;B;;;;;;;;61;A;C;;;;;;;;;;
ORG;2022;080000318;CH BELAIR;080000086;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2022;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;C;;1;A;;1;C;D;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;080002140;CRF POUR ENFANTS DE WARNECOURT;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2022;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;;;;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;
ORG;2022;080010465;GCS TERRIT ARDEN NORD SITE CH SEDAN;080010242;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2022;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;
ORG;2022;080010523;CLINIQUE DU PARC;920030269;;;;;;;;;;;;;;;;;;;;;;16;C;C;;;;1;1;NORD ARDENNES;;;;
ORG;2022;080011182;UAD ET UDM ARPDD;510000953;;;;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;
ORG;2022;090000019;CH SAINT LOUIS AX LES THERMES;090180019;;;;1;D;;;;;;;;1;B;;;;;;;;8;A;C;;;;;;;;;;
ORG;2022;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;;;;1;D;;;;;;;;;;;1;D;;;;;470;D;;;;;1;1;PYRÉNÉES ARIÉGEOISES;;;;
ORG;2022;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;;;;1;D;;;;;;;;;;;;;;1;;;27;;;;;;;;;;;;
ORG;2022;090002833;AAIR UAD UDM DD PAMIERS;310000633;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2022;100000082;CLINIQUE DU PAYS DE SEINE;100001148;;;;;;;;;;;;;;;;1;D;;;;;1;C;;;;;0;;;;;;
ORG;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;;;;2;D;;;;;;;;1;A;;1;D;;;;;220;A;C;;;;0;;;;;;
ORG;2022;100000108;EPSMA;100000033;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2022;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;;;;1;B;;;;;;;;1;A;;;;;;;;8;D;;;;;;;;;;;
ORG;2022;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;;;;;;;;;;;;;;;;;;;;;;6;C;;;;;0;;;;;;
ORG;2022;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;100000058;;;;;;;;;;;;;1;A;;;;;;;;1;D;;;;;;;;;;;
ORG;2022;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;;;;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;
ORG;2022;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;;;;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;
