BOR;AN;FI;RS;FI_EJ;AUT;SAL;SALANG;SALHYBCAR;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;2;1;;1056;3723;1237;296;0;941;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;2;2;;2129;5901;2539;739;0;1800;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2022;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;1;;;102;421;105;85;0;20;0;0;0;;;0;0;;0;;21;0;0
CHIRCAR;2022;130041767;EUROMED CARDIO;130041262;1;;2;;1117;2897;1227;39;0;1188;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;130042062;1;0;2;0;1165;3406;1242;167;0;1075;0;0;0;;;0;0;;0;0;24;0;0
CHIRCAR;2022;130780521;APHM HOPITAL NORD;130786049;1;2;0;0;1759;4680;1942;483;0;1459;0;0;0;;;0;0;;0;;41;0;0
CHIRCAR;2022;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;1;1;2;;857;3167;1043;155;0;888;0;0;0;;;0;0;;0;0;20;0;0
CHIRCAR;2022;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;1;1;0;;780;1881;944;32;0;912;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;130783293;APHM HOPITAL LA TIMONE;130786049;1;5;;1;2664;8951;3493;1233;0;2260;1;0;1;4;5;1;1255;;1076;44;76;1503;10721
CHIRCAR;2022;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;3;3;1;1985;5132;2613;1430;0;1183;1;0;0;2;4;0;584;;485;20;54;429;3179
CHIRCAR;2022;130784713;HP MARSEILLE BEAUREGARD VERT COTEAU;130038847;1;2;1;1;1066;4314;1268;403;0;865;0;0;0;;;0;0;;0;;31;0;0
CHIRCAR;2022;130785652;HOPITAL SAINT JOSEPH;130014228;1;2;1;;2742;6097;3365;1747;0;1618;1;0;0;;;1;1341;;1189;32;;1635;4488
CHIRCAR;2022;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;;;;0;0;0;0;0;0;0;1;1;1;2;357;0;;0;16;;864;2985
CHIRCAR;2022;140000209;CHU COTE DE NACRE - CAEN;140000100;1;1;3;;2493;7255;2941;1101;0;1840;1;0;1;2;2;0;0;;0;;22;0;0
CHIRCAR;2022;140017237;HOPITAL PRIVE ST MARTIN-CAEN;140003278;1;3;1;;3517;8409;3914;943;0;2971;1;0;0;2;2;0;797;;706;14;40;563;2644
CHIRCAR;2022;150000040;CH HENRI MONDOR;150780096;1;1;0;;928;1712;1003;170;0;833;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;0;1;1;1561;4911;1663;515;0;1148;0;0;0;0;0;0;0;0;0;;41;0;0
CHIRCAR;2022;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;3;0;0;1872;3446;2054;764;0;1290;0;0;0;;;0;0;;0;0;46;0;0
CHIRCAR;2022;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;1;;1;;1741;3910;1990;594;0;1396;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;180000010;CH BOURGES - JACQUES COEUR;180000028;1;1;2;;1462;4195;1657;339;0;1318;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;1;2;0;1604;3570;1748;200;0;1548;0;0;0;0;0;0;0;0;0;0;34;0;0
CHIRCAR;2022;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;0;0;0;73;187;74;48;0;26;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;1;;2;;1898;3768;2019;427;0;1592;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;3;2;;2970;6566;3342;1438;1;1903;1;0;1;2;3;1;1113;;878;15;37;892;5877
CHIRCAR;2022;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;2;2;0;1558;4208;1723;421;0;1302;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;230000820;CENTRE HOSPITALIER GUERET;230780041;1;1;0;1;103;539;108;81;0;27;0;0;0;0;0;0;0;0;0;0;23;0;0
CHIRCAR;2022;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;1;1;;1469;4481;1770;480;0;1290;0;0;0;0;0;0;0;0;0;0;33;0;0
CHIRCAR;2022;250000270;CAPIO CLINIQUE SAINT VINCENT BESANCON;250000643;1;2;;;1574;1679;1653;407;0;1246;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;250006954;CHRU JEAN MINJOZ;250000015;1;3;3;1;2739;6283;3310;1280;0;2030;1;0;0;3;4;4;778;0;663;24;33;941;5483
CHIRCAR;2022;260000013;CH DE VALENCE;260000021;1;2;1;;1896;5547;1983;424;0;1559;0;0;0;;;0;0;;0;;29;0;0
CHIRCAR;2022;270000359;CH EVREUX CH EURE-SEINE;270023724;1;0;0;0;183;1021;203;155;0;48;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;270000862;CLINIQUE BERGOUIGNAN;270000953;1;;1;;451;1222;471;43;0;428;0;0;0;;;0;0;;0;;15;0;0
CHIRCAR;2022;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;0;1;0;1665;2819;1901;913;0;988;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;290000025;CHIC QUIMPER;290020700;1;0;1;0;1081;3345;1153;107;0;1046;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;4;3;1;1959;6188;2278;1140;0;1138;1;0;0;2;6;0;847;81;654;27;48;2135;9237
CHIRCAR;2022;290019777;POLYCLINIQUE DE KERAUDREN;290022508;1;1;1;;828;2818;896;203;0;693;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;2A0000022;CH ND LA MISERICORDE;2A0000014;1;1;1;0;969;3799;1077;76;0;1001;0;0;0;0;0;0;0;;0;0;20;0;0
CHIRCAR;2022;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;0;1;0;1247;3090;1414;256;0;1158;0;0;0;0;0;0;0;0;0;0;24;0;0
CHIRCAR;2022;300780152;HOPITAL PRIVE LES FRANCISCAINES NIMES;300017985;1;3;3;;1803;3528;2203;1025;0;1178;1;0;0;2;2;0;498;;401;46;30;0;0
CHIRCAR;2022;300782117;CHU NIMES CAREMEAU;300780038;1;1;2;0;2268;5224;2539;824;0;1715;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;1;0;1;;97;302;99;11;87;1;0;1;0;1;4;148;0;;0;;;0;0
CHIRCAR;2022;310026927;CL CAPIO LA CROIX DU SUD QUINT FONSEGR;310026794;1;2;;;1121;2788;1221;104;0;1117;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;310780259;CL PASTEUR TOULOUSE;310000096;1;4;4;1;7275;10259;8501;3528;6;4967;1;0;0;5;5;5;1387;56;1212;38;132;1787;7926
CHIRCAR;2022;310781000;CL DES CEDRES CORNEBARRIEU;310788880;1;1;1;;1148;2417;1342;;;;0;0;0;;;;;;;;;0;0
CHIRCAR;2022;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;1;2;3;;4381;12824;5123;1755;2;3510;1;0;1;4;4;3;1924;;1543;25;85;1205;3039
CHIRCAR;2022;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;1;1;0;1296;3649;1498;555;0;943;0;0;0;;;0;0;;0;0;32;0;0
CHIRCAR;2022;330780081;CLINIQUE SAINT- AUGUSTIN;330000043;1;3;3;;2781;6980;3477;1310;5;2162;1;0;0;3;3;0;2180;;1991;34;46;1449;8548
CHIRCAR;2022;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;1;0;2;;1229;3515;1364;258;0;1106;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;330780503;HOPITAL PRIVE SAINT-MARTIN;330000308;1;0;1;;1294;2995;1384;25;0;1359;0;0;0;0;0;0;0;;0;0;25;0;0
CHIRCAR;2022;330781352;HOPITAL SAINT-ANDRE - CHU;330781196;1;;1;;156;749;167;105;0;62;0;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2022;330783648;HOPITAL HAUT-LEVEQUE - CHU;330781196;1;7;3;1;4607;13160;6379;2980;144;3255;1;1;1;5;6;866;2966;902;2485;50;159;2669;11492
CHIRCAR;2022;340000033;CH BEZIERS;340780055;1;;1;;255;1055;259;222;0;37;0;0;0;;;0;0;;0;;36;0;0
CHIRCAR;2022;340015502;CL DU MILLENAIRE MONTPELLIER;340000512;1;4;3;1;2774;7589;3172;1158;0;2014;1;0;0;2;2;0;677;34;603;25;60;1135;4589
CHIRCAR;2022;340780667;CL DU PARC CASTELNAU LE LEZ;340000280;1;2;2;0;1354;3939;1571;499;0;1072;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2022;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;1;1;3;0;2927;8681;3672;1195;3;2474;1;0;1;4;4;2;850;;777;56;64;2568;13786
CHIRCAR;2022;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;1;1;1;1;1298;4149;1581;268;0;1313;0;0;0;;;;;;;;22;0;0
CHIRCAR;2022;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;3;2;1;2906;9538;3468;1561;1;1906;1;0;1;5;4;5;1598;;1389;40;66;1045;0
CHIRCAR;2022;350054680;POLYCLINQUE SAINT LAURENT;220020739;1;3;2;0;1775;3829;1868;563;0;1305;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;360000137;CH CHATEAUROUX;360000053;1;1;1;;181;1340;196;131;0;65;0;0;0;;;0;0;;0;;44;0;0
CHIRCAR;2022;370000093;SAS NOUVELLE CLINIQUE DE TOURS +;370013468;1;3;2;1;2308;5853;2800;1202;0;1598;1;0;0;2;2;;738;53;702;6;;343;604
CHIRCAR;2022;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;;;;0;0;0;0;0;0;0;1;0;2;2;248;0;;0;4;0;214;793
CHIRCAR;2022;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;1;0;3;1;3806;9645;4572;1769;1;2802;1;0;1;3;3;5;871;;784;8;54;707;2485
CHIRCAR;2022;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;1;1;;;141;594;145;109;0;36;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;380000067;HOPITAL NORD - CHU38;380780080;1;3;2;;2904;9219;3282;1562;37;1683;1;0;1;2;3;16;734;;598;28;50;767;6762
CHIRCAR;2022;380012658;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;380012609;1;0;2;1;1094;2645;1188;122;0;1066;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2022;380786442;CLINIQUE BELLEDONNE;380798025;1;2;2;;1261;2838;1502;413;0;1089;0;0;0;;;0;0;;0;;30;0;0
CHIRCAR;2022;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;1;2;1;0;822;2210;865;199;0;666;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;410000020;CH BLOIS SIMONE VEIL;410000087;1;1;;;228;1050;243;221;0;22;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2022;420000010;CH DE ROANNE;420780033;1;1;;;245;771;256;236;0;20;0;0;0;;;0;0;;0;;15;0;0
CHIRCAR;2022;420011413;HOPITAL PRIVE DE LA LOIRE;420011405;1;1;;;1113;3048;1211;325;0;886;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;420785354;HOPITAL NORD - CHU42;420784878;1;6;2;1;3400;9648;3904;1944;1;1959;1;0;0;2;3;6;1130;321;829;10;57;606;3074
CHIRCAR;2022;430000117;CH EMILE ROUX LE PUY;430000018;1;1;0;0;396;1318;425;109;0;316;0;0;0;0;0;0;0;0;0;;;0;0
CHIRCAR;2022;440000016;CH DE SAINT NAZAIRE;440000057;1;2;1;0;1088;3557;1197;378;0;819;0;0;0;;;0;0;;0;0;28;0;0
CHIRCAR;2022;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;1;1;;;184;807;217;0;196;21;0;1;1;1;2;0;0;;0;;;0;0
CHIRCAR;2022;440017598;CHU DE NANTES SITE LAENNEC;440000289;1;6;6;;3345;10427;3794;1639;4;2151;1;0;1;5;6;0;0;;0;0;0;0;0
CHIRCAR;2022;440041580;HOPITAL PRIVE DU CONFLUENT;440041572;1;;4;;2858;4875;3129;1614;0;1515;0;0;0;;;0;0;;0;0;36;0;0
CHIRCAR;2022;450000294;ORELIANCE - REINE BLANCHE;450000591;1;3;3;;1857;5845;2097;520;0;1577;0;0;0;;;0;0;;0;;58;0;0
CHIRCAR;2022;450002613;CHR ORLÉANS - HÔPITAL DE LA SOURCE;450000088;1;0;2;;1758;5112;2019;455;3;1561;0;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2022;470000027;CLINIQUE ESQUIROL-SAINT-HILAIRE;470014069;1;2;;;1408;3616;1580;412;0;1168;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2022;490000049;CHR ANGERS SITE LARREY;490000031;1;3;1;;1970;8317;2389;726;2;1662;1;0;0;2;4;7;867;233;807;15;51;721;3293
CHIRCAR;2022;490000262;CLINIQUE SAINT JOSEPH;490000171;1;2;0;1;1987;4252;2436;1352;0;1084;0;0;0;0;0;0;0;0;0;0;;0;0
CHIRCAR;2022;490000635;CH DE CHOLET;490000676;1;1;;;109;519;133;115;0;18;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;500000187;CHPC - SITE CHERBOURG;500000013;1;1;1;;710;2251;780;119;0;661;0;0;0;;;0;0;;0;;16;0;0
CHIRCAR;2022;500000450;CH MEMORIAL - SAINT-LO;500000112;1;0;0;0;193;789;203;173;0;30;0;0;0;;;0;0;;0;0;23;0;0
CHIRCAR;2022;510002447;HOPITAL ROBERT DEBRE CHU REIMS;510000029;1;1;2;1;2266;7665;2527;935;0;1592;1;0;0;2;2;0;855;146;696;22;52;1220;6876
CHIRCAR;2022;510024979;POLYCLINIQUE REIMS - BEZANNES;510000532;1;2;3;1;2530;5522;2845;1293;0;1552;0;0;0;;;0;0;;0;0;34;0;0
CHIRCAR;2022;530000264;CENTRE HOSPITALIER DE LAVAL;530000371;1;1;1;;1057;3305;1536;123;0;1413;0;0;0;;;0;0;;0;;26;0;0
CHIRCAR;2022;540000445;CLINIQUE AMBROISE PARE;540000890;1;2;2;0;2345;4248;2642;637;0;2005;0;0;0;;;;;;;;30;0;0
CHIRCAR;2022;540000478;CLINIQUE LOUIS PASTEUR;540003449;1;2;5;2;3657;6954;3796;387;0;3409;0;0;0;;;0;0;;0;;56;0;0
CHIRCAR;2022;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;1;3;3;0;3337;10209;3908;1543;1;2364;1;0;1;2;3;2;972;137;749;24;73;1675;6267
CHIRCAR;2022;540026895;HOPITAL PRIVE NANCY LORRAINE;540026739;1;2;2;;655;1162;734;192;0;542;0;0;0;;;;;;;;30;0;0
CHIRCAR;2022;560000127;CHBA SITE DE VANNES;560023210;1;2;0;;1780;4463;1887;526;0;1361;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;560000135;GHBS- HÔPITAL DU SCORFF;560005746;1;1;1;;1542;4217;1618;506;0;1112;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;570000349;HOPITAL BEL AIR DE THIONVILLE - CHR;570005165;1;1;1;;295;1089;315;239;0;76;0;0;0;;;0;0;;0;;23;0;0
CHIRCAR;2022;570000646;HOPITAL-CLINIQUE CLAUDE BERNARD;570001115;1;1;2;0;1922;3662;2332;314;0;2018;1;0;0;3;2;0;548;;301;15;25;828;4865
CHIRCAR;2022;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;1;0;2;1;3373;7107;3797;1023;0;2774;1;0;0;3;3;0;394;160;288;16;58;631;3934
CHIRCAR;2022;580972693;HOPITAL PIERRE BEREGOVOY;580780039;1;1;0;;1095;3141;1156;123;0;1033;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;590000337;CH DUNKERQUE;590781415;1;0;1;0;660;1692;716;64;0;652;0;0;0;;;0;0;;0;;18;0;0
CHIRCAR;2022;590000618;CH VALENCIENNES;590782215;1;0;2;0;2128;6271;2342;566;0;1776;0;0;0;;;0;0;;0;;64;0;0
CHIRCAR;2022;590008041;POLYCLINIQUE VAUBAN;590008033;1;2;;2;1359;2884;1524;691;0;833;0;0;0;;;0;0;;0;0;42;0;0
CHIRCAR;2022;590780268;HOPITAL PRIVÉ LE BOIS;590053955;1;1;1;;1476;3409;1972;639;0;1333;1;0;0;2;2;0;1315;;1058;20;23;934;3481
CHIRCAR;2022;590780284;GCS GHICL HÔPITAL ST PHILIBERT;590051801;1;1;2;;1662;4377;1974;1068;0;906;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;590780383;HOPITAL PRIVE LA LOUVIERE;590000204;1;;1;;797;1462;823;94;0;729;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;590782553;HOPITAL PRIVE DE VILLENEUVE D'ASCQ;590000741;1;1;;;432;1120;449;98;0;351;0;0;0;;;0;0;;0;;29;0;0
CHIRCAR;2022;590787586;HOP CARDIOLOGIQUE CHR LILLE;590780193;1;0;4;2;3052;9574;3618;1218;128;2272;1;1;1;5;6;113;1937;574;1552;49;105;1379;10142
CHIRCAR;2022;590801106;HOPITAL VICTOR PROVO;590782421;1;2;1;;796;2804;884;284;0;600;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;600000194;CH BEAUVAIS;600100713;1;;1;;692;2496;816;76;0;740;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;600000467;CH GHPSO CREIL;600101984;1;1;;;838;2817;964;200;0;764;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;600113476;CH CHICN COMPIÈGNE;600100721;1;1;1;;819;3377;909;348;0;561;0;0;0;;;0;0;;0;0;30;0;0
CHIRCAR;2022;610000051;CHICAM - SITE ALENCON;610780082;1;0;0;;0;0;61;45;0;16;0;0;0;0;0;0;0;0;0;0;22;0;0
CHIRCAR;2022;620000257;CH LENS;620100685;1;2;6;;2019;3946;2409;816;0;1593;1;0;0;2;2;0;832;;667;5;52;315;911
CHIRCAR;2022;620000653;CH BOULOGNE-SUR-MER;620103440;1;0;1;1;749;2100;805;224;0;581;0;0;0;0;0;0;0;;0;;;0;0
CHIRCAR;2022;620101501;HOPITAL PRIVE DE BOIS BERNARD;620000364;1;2;2;;1687;4017;1883;704;0;1179;1;0;0;2;2;0;543;;433;4;;280;739
CHIRCAR;2022;620118513;CENTRE MCO COTE D'OPALE;620002915;1;2;0;1;658;1557;701;65;0;636;0;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2022;630000404;HOPITAL GABRIEL MONTPIED - CHU63;630780989;1;3;3;1;3773;9243;4943;2028;10;2905;1;0;1;3;3;0;1515;135;1343;24;84;919;6566
CHIRCAR;2022;630780211;POLE SANTE REPUBLIQUE;630000107;1;1;3;;2003;3879;2684;1796;0;888;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;640000600;CENTRE HOSPITALIER DE PAU;640781290;1;3;1;1;1874;2304;2048;950;1;1097;0;0;0;;;0;0;;0;0;21;0;0
CHIRCAR;2022;640016580;CENTRE DE CARDIOLOGIE DU PAYS BASQUE;640010658;1;1;1;;3067;6434;3507;1483;0;2024;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;640781225;CLINIQUE MEDICALE CARDIOLOGIQUE ARESSY;640000568;1;;2;;934;2363;979;321;0;658;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;650000417;CH BIGORRE SITE GESPE TARBES;650783160;1;1;1;0;712;1479;761;216;0;545;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;650780679;POLYCL DE L'ORMEAU SITE CENTRE;650000243;1;0;1;0;937;2727;1092;258;0;834;0;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2022;660000084;CH PERPIGNAN;660780180;1;3;2;;1677;5346;2045;819;0;1226;0;0;0;;;0;0;;0;;30;0;0
CHIRCAR;2022;660780784;CL ST PIERRE;660000407;1;4;3;1;2656;7337;3139;1057;0;2082;1;0;0;2;2;0;422;64;405;;41;0;0
CHIRCAR;2022;670000025;HOPITAL CIVIL / NOUVEL HOPITAL CIVIL;670780055;1;3;2;1;3402;10012;3934;1405;;2529;1;0;1;3;4;173;1101;;948;24;69;1581;7069
CHIRCAR;2022;670000157;CENTRE HOSPITALIER DE HAGUENAU;670780337;1;2;1;;1748;5047;1955;524;0;1431;0;0;0;;;0;0;;0;;58;0;0
CHIRCAR;2022;670014430;GERC-INSTITUT CARDIOVASC DE STRASBOURG;670001734;1;2;1;1;1876;2659;2271;1103;30;1138;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;670018068;CLINIQUE RHENA GCS ES;670017847;1;0;0;0;46;42;46;36;0;10;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;670783273;HOPITAL DE HAUTEPIERRE;670780055;1;1;2;1;79;516;71;15;56;;0;1;0;3;4;0;0;;0;;4;0;0
CHIRCAR;2022;680000320;CLINIQUE DIACONAT FONDERIE;680000643;1;;2;;1962;5617;2148;207;0;1941;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;680000684;HOPITAL LOUIS PASTEUR;680000973;1;;1;;419;1587;486;66;0;420;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;680001195;HOPITAL ALBERT SCHWEITZER;680000643;1;;2;;1609;5894;1779;470;0;1309;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;680004546;HOPITAL EMILE MULLER;680020336;1;2;1;;1703;5352;1930;487;0;1443;1;0;0;2;2;0;857;;549;27;47;500;3840
CHIRCAR;2022;690000575;CH NORD OUEST - VILLEFRANCHE;690782222;1;1;1;;913;2490;1006;248;0;758;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;690041124;MEDIPOLE HOPITAL PRIVE;690000724;1;5;3;;2629;4013;3338;1228;0;2110;1;0;0;2;3;0;922;;811;10;24;744;3213
CHIRCAR;2022;690780390;POLYCLINIQUE LYON NORD;690000229;1;1;0;1;1054;1569;1506;1469;0;37;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;690780648;CLINIQUE DE LA SAUVEGARDE;690036900;1;3;3;1;2157;3469;2441;947;0;1494;1;0;0;2;3;0;877;;803;24;15;698;4232
CHIRCAR;2022;690784152;HOPITAL CROIX-ROUSSE - HCL;690781810;1;1;;;2022;4731;2217;930;0;1287;0;0;0;;;0;0;;0;;33;0;0
CHIRCAR;2022;690784186;HOPITAL LOUIS PRADEL - HCL;690781810;1;3;3;;3583;9561;4159;1674;129;2356;1;1;1;;;618;1263;;1023;77;96;2110;10007
CHIRCAR;2022;690793468;INFIRMERIE PROTESTANTE;690002068;1;;3;;2168;3889;2489;1467;0;1022;1;0;0;2;2;0;885;;741;21;;810;4102
CHIRCAR;2022;690805361;CH ST JOSEPH ST LUC;690805353;1;2;1;0;1544;3055;1787;606;0;1181;0;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2022;710978263;CH WILLIAM MOREY CHALON SUR SAONE;710780958;1;0;0;0;314;1088;323;271;0;52;0;0;0;;;0;0;;0;0;21;0;0
CHIRCAR;2022;710978289;CH LES CHANAUX MACON;710780263;1;1;1;;1235;4251;1413;134;0;1279;0;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2022;720000033;CENTRE HOSPITALIER DU MANS;720000025;1;2;1;;1166;3481;1209;335;0;874;0;0;0;;;0;0;;0;;38;0;0
CHIRCAR;2022;720017748;CENTRE MEDICO CHIRURGICAL DU MANS;720000561;1;1;1;;1167;3554;1251;475;0;776;0;0;0;;;0;0;;0;;50;0;0
CHIRCAR;2022;730000031;CHMS CHAMBERY NH;730000015;1;2;1;;1233;3623;1392;461;0;931;0;0;0;;;0;0;;0;;48;0;0
