BOR;AN;FI;GRP;RS;FI_ET;RS_ET;FI_EJ
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010007904;HDJ ADULTES;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010007920;HDJ DE CLERAMBAULT;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010008050;CATTP PSY FERNEY-VOLTAIRE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010008092;CMP ENFANTS FEILLENS;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010008217;HDJ LE BASTION;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010008993;HDJ LA PASSERELLE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010009124;AT OYONNAX;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010009934;CMP DE REHAB PSYCHIATRIE GENERALE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010009942;CATTP UAE PSYCHIATRIE GENERALE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010009967;CMP ENFANTS;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010009983;C.A.T.T.P. ESCAL'ADO PSYCHIATRIE INFAN;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010009991;CATTP PSYCHIATRIE INFANTO-JUVENILE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010010007;C.A.T.T.P. PSYCHIATRIE ADULTES;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010011344;CATTP CMP ADULTES HAUTEVILLE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010011351;ANTENNE CMP ADULTES HAUTEVILLE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010786705;CMP IJ ST MAURICE DE BEYNOST;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010786713;CMP PSY.GEN. BELLEY;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010786721;CMP ENFANTS;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010786754;CMP ADULTES BELLEGARDE-SUR VALSERINE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010787869;CMP ENFANTS;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010787885;CMP ESPACE VILLARD BOURG;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010787893;CMP ADULTES VIRIAT;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010787927;CMP PSY FERNEY-VOLTAIRE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010787968;CMP ENFANTS TREVOUX;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010788248;CMP INFANTO-JUVENILE BELLEY;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010788347;CATTP ENFANTS LE SESAME;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010788677;CMP PSY GEN OYONNAX;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010788792;CMP PSY GEN MONTREVEL-EN-BRESSE;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789311;CATTP ADULTES KAIROS;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789451;CATTP ADULTES OYONNAX;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789634;CATTP ADULTES;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789642;CMP PSYCHIATRIQUE CHATILLON;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789675;CMP PSY GEN AMBERIEU-EN-BUGEY;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789691;CMP ESPACE CÔTIERE MONTLUEL;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789709;CATTP CÔTIERE MONTLUEL;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789725;CMP ENFANTS;010783009
STB;2019;010000495;15;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010789733;CATTP ENFANTS;010783009
STB;2019;010002129;09;CLINIQUE DE READAPTATION LES ARBELLES;;;750056335
STB;2019;010005239;04;CH DU HAUT BUGEY - GEOVREISSET;;;010008407
STB;2019;010005379;09;HAD DE L'HOPITAL PRIVE D'AMBERIEU;;;010010718
STB;2019;010007300;09;CLINIQUE AMBULATOIRE CENDANEG;;;010007292
STB;2019;010008852;09;CRF L'ORCET SITE DU CH DE FLEYRIAT;;;010783009
STB;2019;010009314;04;SSR HOTEL DIEU DE FLEYRIAT;010780823;USLD HOTEL DIEU;010780054
STB;2019;010009702;04;USLD EMILE PELICAND;;;010780054
STB;2019;010010171;15;CLINIQUE DE CHATILLON;;;010011559
STB;2019;010780195;09;CLINIQUE CONVERT;;;010000156
STB;2019;010780203;09;HOPITAL PRIVE D'AMBERIEU;;;010010718
STB;2019;010780252;09;CRF L'ORCET;;;010783009
STB;2019;010780278;09;CTRE DE RÉÉDUCATION MANGINI;;;010783009
STB;2019;010780310;09;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;;;010000222
STB;2019;010780328;09;CENTRE MEDICAL LE MODERN;;;010000222
STB;2019;010780476;09;CENTRE SSR READAPT ADOLESCENTS CHANAY;;;750005068
STB;2019;010780492;09;CRF ROMANS-FERRARI;;;360000707
STB;2019;010780708;09;CLINIQUE SSR CHATEAU DE GLETEINS;;;310021381
STB;2019;010780799;09;CTRE DE MPR CHATEAU D'ANGEVILLE;;;750721334
STB;2019;010786259;04;USLD CH DE NANTUA;;;010008407
STB;2019;010789576;04;USLD;;;010780096
STB;2019;010789717;04;USLD CH D'OYONNAX;;;010008407
STB;2019;020000089;04;CH GUISE;020009007;USLD CH GUISE;020000022
STB;2019;020000097;04;CH LA FÈRE;;;020000048
STB;2019;020000105;04;CH LE NOUVION-EN-THIÉRACHE;;;020000055
STB;2019;020000162;04;CH SAINT-QUENTIN;020009874;USLD CH SAINT-QUENTIN;020000063
STB;2019;020000246;04;CH VERVINS;;;020000071
STB;2019;020000303;09;HOPITAL VILLIERS SAINT DENIS;;;750814030
STB;2019;020000360;09;CLINIQUE COURLANCY SOISSONS;;;020014742
STB;2019;020000386;15;CLINIQUE DE LA ROSERAIE;;;020000600
STB;2019;020000394;04;CH LAON;;;020000253
STB;2019;020000519;04;CH SOISSONS;;;020000261
STB;2019;020000535;04;CH CHAUNY;020004727;USLD CH CHAUNY;020000287
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020000154;HJ EPSMD SAINT-QUENTIN;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020002051;FOYER THÉRAPEUTIQUE EPSM AISNE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020002739;LITS DE PROXIMITÉ EPSMD AISNE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020002788;CENTRE PSYCHOTHÉRAPIQUE EPSMD AISNE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020003893;CATTP EPSMD BELLEU;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020003919;HJ EPSMD ÉTAMPES-SUR-MARNE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020004529;HJ EPSMD HIRSON;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020004990;CENTRE POUR ADOLESCENTS EPSMD AISNE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020005088;HJ EPSMD LAON;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020006151;HJ EPSMD LA FÈRE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020007183;CENTRE BORROMEE EPSM AISNE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008793;HJ EPSMD TERGNIER;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008868;CMP EPSMD HIRSON ENFANT;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008876;CMP EPSMD SOISSONS ADULTE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008884;CMP EPSMD CHÂTEAU-THIERRY ENFANT;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008892;CMP EPSMD LAON ADULTE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008900;CMP EPSMD CHAUNY ENFANT;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008918;CMP EPSMD SAINT-QUENTIN LYON;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008934;CMP EPSMD GUISE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008942;CMP EPSMD BOHAIN-EN-VERMANDOIS;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008967;CMP EPSMD SOISSONS ENFANT;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020008983;CMP EPSMD CHAUNY ADULTE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020009494;CENTRE EPSMD02 CHAUNY;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020012605;UNITE DE PROXIMITÉ CHARLES LASEGUE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020012845;HJ EPSMD CROUY;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020013264;CMP EPSMD LAON ENFANT;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014098;CENTRE PSYCHOTHÉRAPIQUE EPSMDA HIRSON;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014502;URCA EPSMD AISNE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014510;CMP EPSMD HIRSON ADULTE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014536;CMP EPSMD CHÂTEAU-THIERRY ADULTE;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020014544;CMP EPSMD TERGNIER;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020015061;CATTP EPSMD CHÂTEAU-THIERRY;020000295
STB;2019;020000543;14;ETS PUB SANTÉ MENTALE DE L'AISNE;020015319;CMP EPSMD SAINT-QUENTIN CORDIER;020000295
STB;2019;020000915;04;SSR JACQUES FICHEUX SAINT-GOBAIN;;;020003620
STB;2019;020001061;04;CH CHÂTEAU-THIERRY;;;020004404
STB;2019;020001087;04;CH HIRSON;;;020004495
STB;2019;020003877;04;SSR CH LAON;;;020000253
STB;2019;020004156;15;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;;;590805065
STB;2019;020004297;09;HAD AMSAM SOISSONS;;;020005179
STB;2019;020004677;04;USLD CH SOISSONS;;;020000261
STB;2019;020005476;04;USLD CH LAON;;;020000253
STB;2019;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020014627;CATTP CH SAINT-QUENTIN VOLTAIRE;020000063
STB;2019;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020014635;CATTP CH SAINT-QUENTIN GUISE;020000063
STB;2019;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020014643;CMP CH SAINT-QUENTIN;020000063
STB;2019;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020014676;CMP CH SAINT-QUENTIN BOHAIN-EN-VER;020000063
STB;2019;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020015079;CATTP CH SAINT-QUENTIN BISSON;020000063
STB;2019;020006664;14;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020015194;CATTP CH SAINT-QUENTIN BOHAIN-EN-VER;020000063
STB;2019;020009684;04;USLD MSB BOHAIN-EN-VERMANDOIS;;;020002085
STB;2019;020010047;09;HOPITAL PRIVE SAINT CLAUDE;;;020001632
STB;2019;020010310;09;SSR AURORE BUCY-LE-LONG;;;750719361
STB;2019;020010898;09;HAD CRF CHAUNY;;;750721334
STB;2019;020014767;09;HAD TEMPS DE VIE SAINT-QUENTIN;;;590805065
STB;2019;020016341;09;SSR RENAISSANCE SOISSONS;;;750814030
STB;2019;020016366;04;SMUR CH SAINT-QUENTIN GUISE;;;020000063
STB;2019;030000012;04;CH DE NERIS LES BAINS;;;030180020
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030007835;MAISON COMMUNAUTAIRE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030007843;HOPITAL DE JOUR DENIS PAPIN;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030007850;CENTRE DE POST-CURE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030007868;HOPITAL DE JOUR CLAUDE BERNARD;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030007876;HOPITAL DE JOUR ADOLESCENTS VILLA;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008114;CMP ADULTES MOULINS;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008122;CMP ADULTES DOMPIERRE SUR BESBRE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008130;CMP ADULTES LE DONJON;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008148;CMP ADULTES BOURBON L'ARCHAMBAULT;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008155;CMP ADULTES SAINT POURCAIN SUR SIOULE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008163;CMP ENFANTS YZEURE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008171;CMP ENFANTS DOMPIERRE SUR BESBRE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008189;CMP ENFANTS POURCAIN SUR SIOULE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008197;CATTP ADULTES MOULINS;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030008205;CATTP ENFANTS YZEURE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030780589;CENTRE HOSPITALIER SPECIALISE YZEURE;030780092
STB;2019;030000061;04;CENTRE HOSPITALIER DE MOULINS;030785190;UNITE DE SOINS DE LONGUE DUREE;030780092
STB;2019;030000079;04;CENTRE HOSPITALIER DE MONTLUCON;030781603;CENTRE DE SOINS LONGUE DUREE COURTAIS;030780100
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008312;CMP ADULTES VICHY PSY SUJET AGE;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008320;CMP ADULTES VICHY OUEST;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008338;CMP ADULTES VICHY EST;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008346;CMP ADULTES GANNAT;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008353;CMP ADULTES LAPALISSE;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008361;CMP ADULTES LE MAYET DE MONTAGNE;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008379;CMP ADULTES VARENNES SUR ALLIER;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008387;CMP ENFANTS VICHY;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008395;CMP ENFANTS GANNAT;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008403;CMP ENFANTS LAPALISSE;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008411;CMP ENFANTS LE MAYET DE MONTAGNE;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008429;CMP ADOLESCENTS CUSSET;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008437;CATTP ADULTES INTERSECTORIEL VICHY;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008445;CATTP ENFANTS VICHY;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008452;MAISON DES ADOLESCENTS CUSSET;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030008460;CATTP ADOLESCENTS CUSSET;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030783583;ULSD CH JACQUES LACARIN VICHY;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030785042;HOPITAL DE JOUR - VICHY-OUEST-;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030785869;ESPACE CANGUILHEM;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030785877;CTRE POST CURE MALADES MENTAUX;030780118
STB;2019;030000087;04;CH JACQUES LACARIN VICHY;030785885;HOPITAL DE JOUR -PSY INFANTJUV-;030780118
STB;2019;030000095;04;CH DE BOURBON L'ARCHAMBAULT;;;030780126
STB;2019;030000160;04;CENTRE HOSPITALIER SPECIALISE D'AINAY;030001234;CENTRE DE SOINS DE LONGUE DUREE;030780282
STB;2019;030002208;04;CH DPT COEUR DU BOURBONNAIS TRONGET;;;030002158
STB;2019;030007942;04;CH DPT COEUR BOURBONNAIS ST POURCAIN;;;030002158
STB;2019;030780548;09;POLYCLINIQUE LA PERGOLA;;;030000194
STB;2019;030781116;09;HOPITAL PRIVE SAINT-FRANCOIS;;;030000426
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008213;CMP ADULTES MONTLUCON OUEST;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008221;CMP ADULTES MONTLUCON EST;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008239;CMP ADULTES COMMENTRY;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008247;CMP ENFANTS MONTLUCON;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008254;CMP ENFANTS COMMENTRY;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008262;CMP ENFANTS COSNE D'ALLIER;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008270;CATTP ADULTES MONTLUCON OUEST;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008288;CATTP ADULTES MONTLUCON EST;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008296;CATTP ENFANTS MONTLUCON;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030008304;MAISON DES ADOLESCENTS;030780100
STB;2019;030781637;14;SERVICE DE PSYCHIATRIE CHATELARD;030783989;CTRE DE PEDOPSYCHIATRIE JEAN BILLAUD;030780100
STB;2019;030785430;09;POLYCLINIQUE SAINT-ODILON;;;030785422
STB;2019;040000028;04;EPS DIEUDONNE COLLOMP DE BANON;;;040780124
STB;2019;040000036;04;EPS PIERRE GROUES DE BARCELONNETTE;;;040780132
STB;2019;040000044;04;EPS DUCELIA DE CASTELLANE;;;040780140
STB;2019;040000069;04;EPS SAINT MICHEL DE FORCALQUIER;;;040780181
STB;2019;040000093;04;CHI DE MANOSQUE LOUIS RAFFALLI;040788440;CH DE MANOSQUE USLD;040780215
STB;2019;040000119;04;EPS LUMIERE DE RIEZ;;;040780231
STB;2019;040000127;04;EPS VALLEE DE LA BLANCHE SEYNE ALPES;;;040780249
STB;2019;040000135;04;CHI DES ALPES DU SUD SITE DE SISTERON;;;050002948
STB;2019;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040005035;HOPITAL DE JOUR CASA CH DIGNE;040788879
STB;2019;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040005043;HOPITAL DE JOUR CH DIGNE;040788879
STB;2019;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040005209;HOP DE JOUR CMP CH DIGNE;040788879
STB;2019;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040787772;CENTRE HOSPIT SPE PSY DIGNE LES BAINS;040788879
STB;2019;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788218;HOPITAL DE JOUR YVES ARNOUX MANOSQUE;040788879
STB;2019;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788580;HOPITAL DE JOUR PSY IJ CHATEAU ARNOUX;040788879
STB;2019;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788887;HOPITAL DE JOUR PSY GEN SISTERON;040788879
STB;2019;040000911;04;CENTRE HOSPITALIER DE DIGNE LES BAINS;040789232;HJ VILLA VERTE FORCALQUIER;040788879
STB;2019;040780389;09;CLINIQUE MEDICALE JEAN GIONO;;;040000192
STB;2019;040780405;09;CENTRE DES CARMES;040002248;CENTRE DES CARMES USLD;040000168
STB;2019;040780470;09;CLINIQUE TOUTES AURES;;;040000192
STB;2019;040780488;09;CRF DE HAUTE PROVENCE L'EAU VIVE;;;040000200
STB;2019;040780520;09;KORIAN LE VERDON;;;750056335
STB;2019;040782021;09;CTRE SOINS DE SUITE READAPT LE COUSSON;;;130037815
STB;2019;050000041;09;CENTRE MEDICAL RHONE AZUR BRIANCON;;;130037815
STB;2019;050000058;09;CENTRE MEDICAL RIO VERT;;;050000033
STB;2019;050000066;09;CENTRE MEDICAL LA SOURCE;;;050000082
STB;2019;050000090;09;POLYCLINIQUE DES ALPES DU SUD GAP;;;050006931
STB;2019;050000132;04;CH BUECH DURANCE;050002369;CMP HELENE CHAIGNEAU;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050003748;LE CORTO MALTESE PSY INFANTO JUVENILE;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050005263;HOPITAL DE JOUR PSY INF JUV PRAMBULLE;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050005271;HOPITAL DE JOUR LES ISLES PSY INF JUV;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050005701;CH BUECH USLD;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007202;CATTP HELENE CHAIGNEAU;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007210;CMP CATTP LE CLUB;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007228;CMP LE CLUB;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007236;CMP PETIT NICE;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007244;CATTP PETIT NICE;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007251;CMP VEYNES;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007269;CATTP VEYNES;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007277;CMP LE RELAIS;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007285;ATELIER THERAPEUTIQUE ESPACES VERTS;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007293;ATELIER THERAPEUTIQUE L'AUJOUR;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007301;CMP ADOS LADOUCETTE;050007145
STB;2019;050000132;04;CH BUECH DURANCE;050007319;CATTP ADOS LADOUCETTE;050007145
STB;2019;050000223;04;CENTRE HOSPITALIER AIGUILLES QUEYRAS;;;050000108
STB;2019;050000231;04;CH DES ESCARTONS DE BRIANCON;050005958;CH DE BRIANCON SLD;050000116
STB;2019;050000256;04;CENTRE HOSPITALIER D'EMBRUN;050006105;CH D'EMBRUN SLD;050000124
STB;2019;050000298;09;LA GUISANE;;;050000496
STB;2019;050000306;09;LES HIRONDELLES;;;050000538
STB;2019;050000330;04;CHABRE COURT SEJOUR SSR;;;050007145
STB;2019;050000348;04;CHI DES ALPES DU SUD SITE DE GAP;050006071;CHI DES ALPES DU SUD SLD DE GAP;050002948
STB;2019;050000371;09;LES JEUNES POUSSES;;;050003508
STB;2019;050000454;15;LE FUTUR ANTERIEUR;;;050000645
STB;2019;050000488;09;CTRE PNEUMO ALLERGOLOGIE LES ACACIAS;;;050000678
STB;2019;050000637;09;CLINIQUE MONTJOY;;;050001163
