BOR;AN;FI;GRP;RS;FI_ET;RS_ET
ST;2019;020000261;02;CENTRE HOSPITALIER DE SOISSONS;020004677;USLD CH SOISSONS
ST;2019;020000287;02;CENTRE HOSPITALIER DE CHAUNY;020000535;CH CHAUNY
ST;2019;020000295;02;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE
ST;2019;020002085;02;MAISON DE SANTÉ DE BOHAIN;020009684;USLD MSB BOHAIN-EN-VERMANDOIS
ST;2019;020003620;02;CRF JACQUES FICHEUX;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN
ST;2019;020004404;02;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;020001061;CH CHÂTEAU-THIERRY
ST;2019;020004495;02;CENTRE HOSPITALIER D'HIRSON;020001087;CH HIRSON
ST;2019;030002158;02;CH DEPARTEMENTAL COEUR DU BOURBONNAIS;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET
ST;2019;030002158;02;CH DEPARTEMENTAL COEUR DU BOURBONNAIS;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN
ST;2019;030005821;08;SCP - CENTRE DE RADIOTHERAPIE -;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT
ST;2019;030180020;02;CENTRE HOSPITALIER DE NERIS LES BAINS;030000012;CH DE NERIS LES BAINS
ST;2019;030780092;02;CENTRE HOSPITALIER DE MOULINS YZEURE;030000061;CENTRE HOSPITALIER DE MOULINS
ST;2019;030780100;02;CENTRE HOSPITALIER DE MONTLUCON;030000079;CENTRE HOSPITALIER DE MONTLUCON
ST;2019;030780100;02;CENTRE HOSPITALIER DE MONTLUCON;030781637;SERVICE DE PSYCHIATRIE CHATELARD
ST;2019;030780118;02;CENTRE HOSPITALIER DE VICHY;030000087;CH JACQUES LACARIN VICHY
ST;2019;030780126;02;CH DE BOURBON L'ARCHAMBAULT;030000095;CH DE BOURBON L'ARCHAMBAULT
ST;2019;030780282;02;CH SPECIALISE D'AINAY LE CHATEAU;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY
ST;2019;040780124;02;EPS DIEUDONNE COLLOMP DE BANON;040000028;EPS DIEUDONNE COLLOMP DE BANON
ST;2019;040780132;02;EPS PIERRE GROUES DE BARCELONNETTE;040000036;EPS PIERRE GROUES DE BARCELONNETTE
ST;2019;040780140;02;EPS DUCELIA;040000044;EPS DUCELIA DE CASTELLANE
ST;2019;040780181;02;EPS SAINT MICHEL DE FORCALQUIER;040000069;EPS SAINT MICHEL DE FORCALQUIER
ST;2019;040780215;02;CENTRE HOSPITALIER DE MANOSQUE;040000093;CHI DE MANOSQUE LOUIS RAFFALLI
ST;2019;040780231;02;EPS LUMIERE DE RIEZ;040000119;EPS LUMIERE DE RIEZ
ST;2019;040780249;02;EPS VALLEE DE LA BLANCHE;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES
ST;2019;040788879;02;CENTRE HOSPITALIER DE DIGNE LES BAINS;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS
ST;2019;050000108;02;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS
ST;2019;050000116;02;CH LES ESCARTONS A BRIANCON;050000231;CH DES ESCARTONS DE BRIANCON
ST;2019;050000124;02;CENTRE HOSPITALIER D'EMBRUN;050000256;CENTRE HOSPITALIER D'EMBRUN
ST;2019;050002948;02;CHI DES ALPES DU SUD;040000135;CHI DES ALPES DU SUD SITE DE SISTERON
ST;2019;050002948;02;CHI DES ALPES DU SUD;050000348;CHI DES ALPES DU SUD SITE DE GAP
ST;2019;050007145;02;CENTRE HOSPITALIER BUECH DURANCE;050000132;CH BUECH DURANCE
ST;2019;050007145;02;CENTRE HOSPITALIER BUECH DURANCE;050000330;CHABRE COURT SEJOUR SSR
ST;2019;060003621;08;CTRE COBALT TRAITE HTE ENERG SITE CLIN;060021342;CTRE COBALTH TRAIT HTE ENERG SITE CLIN
ST;2019;060006889;02;HOPITAUX DE LA VESUBIE;060000536;HOPITAL SAINT ANTOINE
ST;2019;060006889;02;HOPITAUX DE LA VESUBIE;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE
ST;2019;060019551;08;SELARL CENTRE AZUREEN DE CANCEROLOGIE;060019627;CENTRE AZUREEN CANCEROLOGIE
ST;2019;060780327;02;CH SAINT MAUR SAINT ETIENNE TINEE;060000163;CH SAINT MAUR SAINT ETIENNE TINEE
ST;2019;060780657;02;CENTRE HOSPITALIER DE BREIL SUR ROYA;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA
ST;2019;060780780;02;CH DU PAYS DE LA ROUDOULE A PUGET;060000411;CH DU PAYS DE LA ROUDOULE PUGET
ST;2019;060780897;02;CENTRE HOSPITALIER DE GRASSE;060000478;CENTRE HOSPITALIER DE GRASSE
ST;2019;060780897;02;CENTRE HOSPITALIER DE GRASSE;060790680;CH DE GRASSE CENTRE DE LONG SEJOUR
ST;2019;060780905;02;CH SAINT ELOI DE SOSPEL;060000486;CH SAINT ELOI DE SOSPEL
ST;2019;060780921;02;CH SAINT LAZARE DE TENDE;060000494;CH SAINT LAZARE DE TENDE
ST;2019;060780954;02;CH D'ANTIBES JUAN LES PINS;060000510;CH D'ANTIBES JUAN LES PINS
ST;2019;060780962;08;CENTRE ANTOINE LACASSAGNE;060000528;CENTRE ANTOINE LACASSAGNE
ST;2019;060780988;02;CH DE CANNES SIMONE VEIL;060000544;CH DE CANNES SIMONE VEIL
ST;2019;060780988;02;CH DE CANNES SIMONE VEIL;060794021;CH DE CANNES CENTRE DE MOYEN SEJOUR
ST;2019;060781010;02;POLE SANTE VALLAURIS GOLFE JUAN;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN
ST;2019;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060010899;INSTITUT UNIVERSITAIRE FACE ET COU
ST;2019;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060024395;CHU DE NICE ANTENNE SMUR SITE CH
ST;2019;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060024411;CHU DE NICE ANTENNE SMUR SITE HPNCL
ST;2019;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060785003;CHU DE NICE HOPITAL PASTEUR
ST;2019;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060788957;CHU DE NICE HOPITAL DE CIMIEZ
ST;2019;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060789195;CHU DE NICE HOPITAL DE L'ARCHET
ST;2019;060785011;02;CTRE HOSPITALIER UNIVERSITAIRE DE NICE;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE
ST;2019;060790540;06;AGAHTIR;060010949;AGAHTIR UDM ANTIBES
ST;2019;060790540;06;AGAHTIR;060019676;AGAHTIR AUTODIALYSE UDM GRASSE
ST;2019;060790540;06;AGAHTIR;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE
ST;2019;060790540;06;AGAHTIR;060792090;AGAHTIR DIALYSE A DOMICILE NICE
ST;2019;060790540;06;AGAHTIR;060792736;AGAHTIR AUTODIALYSE NICE
ST;2019;060790540;06;AGAHTIR;060801016;AGAHTIR AUTODIALYSE MANDELIEU
ST;2019;060790797;06;ASSOCIATION DES AMIS DE LA TRANSFUSION;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK
ST;2019;060790797;06;ASSOCIATION DES AMIS DE LA TRANSFUSION;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS
ST;2019;060791761;02;CH LA PALMOSA DE MENTON;060002102;CH LA PALMOSA DE MENTON
ST;2019;070000211;02;CENTRE HOSPITALIER DE SERRIERES;070780390;CENTRE HOSPITALIER DE SERRIERES
ST;2019;070001649;08;SELARL IMAGERIE MÉDICALE ET RADIOTH;260003157;CENTRE MARIE CURIE
ST;2019;070002878;02;CENTRE HOSPITALIER DES VALS D'ARDECHE;070000013;CENTRE HOSPITALIER DES VALS D'ARDECHE
ST;2019;070002878;02;CENTRE HOSPITALIER DES VALS D'ARDECHE;070783824;MAISON DE CURE DU MONTOULON
ST;2019;070002878;02;CENTRE HOSPITALIER DES VALS D'ARDECHE;070784517;LONG SÉJOUR CH DE PRIVAS
ST;2019;070004742;02;CENTRE HOSPITALIER DE LARGENTIERE;070000146;CENTRE HOSPITALIER DE LARGENTIERE
ST;2019;070005558;02;CENTRE HOSPITALIER BOURG SAINT ANDEOL;070000062;CENTRE HOSPITALIER DE BOURG ST ANDEOL
ST;2019;070005566;02;CENTRE HOSPITALIER ARDECHE MERIDIONALE;070000484;CENTRE HOSPITALIER BOIS VERT
ST;2019;070005566;02;CENTRE HOSPITALIER ARDECHE MERIDIONALE;070000609;CENTRE HOSPITALIER D'AUBENAS
ST;2019;070005566;02;CENTRE HOSPITALIER ARDECHE MERIDIONALE;070006804;SSR LEON ROUVEYROL
ST;2019;070007927;02;CH DES CEVENNES ARDECHOISES;070000021;CENTRE HOSPITALIER DE JOYEUSE
ST;2019;070007927;02;CH DES CEVENNES ARDECHOISES;070000112;CENTRE HOSPITALIER LEOPOLD OLLIER
ST;2019;070780119;02;CENTRE HOSPITALIER VALLON PONT D'ARC;070000039;CENTRE HOSPITALIER VALLON PONT D'ARC
ST;2019;070780127;02;CENTRE HOSPITALIER VILLENEUVE DE BERG;070000047;CENTRE HOSPITALIER VILLENEUVE DE BERG
ST;2019;070780150;02;CENTRE HOSPITALIER DU CHEYLARD;070000070;CENTRE HOSPITALIER DU CHEYLARD
ST;2019;070780358;02;CENTRE HOSPITALIER ARDECHE NORD;070000179;CENTRE HOSPITALIER ARDECHE NORD
ST;2019;070780366;02;CENTRE HOSPITALIER DE LAMASTRE;070000187;CENTRE HOSPITALIER DE LAMASTRE
ST;2019;070780374;02;CENTRE HOSPITALIER DE TOURNON;070000195;CENTRE HOSPITALIER DE TOURNON
ST;2019;070780382;02;CENTRE HOSPITALIER DE SAINT FELICIEN;070000203;CENTRE HOSPITALIER DE SAINT-FELICIEN
ST;2019;080000037;02;CENTRE HOSPITALIER DE SEDAN;080000110;CENTRE HOSPITALIER DE SEDAN
ST;2019;080000060;02;HOPITAL LOCAL DE FUMAY;080000284;CENTRE HOSPITALIER DE FUMAY
ST;2019;080000078;02;HOPITAL LOCAL DE NOUZONVILLE;080000300;CENTRE HOSPITALIER DE NOUZONVILLE
ST;2019;080000086;02;CH BELAIR;080000318;CENTRE HOSPITALIER BELAIR
ST;2019;080000615;02;CH DE CHARLEVILLE MEZIERES;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER
ST;2019;080000615;02;CH DE CHARLEVILLE MEZIERES;080005960;CENTRE DE SANTE-LONG SEJOUR
ST;2019;080000615;02;CH DE CHARLEVILLE MEZIERES;080009814;ANTENNE DE SMUR - CH CHARLEVILLE
ST;2019;080001969;02;GROUPE HOSPITALIER SUD ARDENNES;080000219;CENTRE HOSPITALIER DE RETHEL
ST;2019;080001969;02;GROUPE HOSPITALIER SUD ARDENNES;080000276;CENTRE HOSPITALIER DE VOUZIERS
ST;2019;080001969;02;GROUPE HOSPITALIER SUD ARDENNES;080008279;HAD GHSA RETHEL-VOUZIERS
ST;2019;090180019;02;CH ST LOUIS;090000019;CH ST LOUIS AX LES THERMES
ST;2019;090781774;02;CHIVAL;090000175;CHIVAL SITE FOIX
ST;2019;090781774;02;CHIVAL;090001629;CHIVAL SITE LAVELANET
ST;2019;090781774;02;CHIVAL;090002841;CHIVAL SSR SITE PAMIERS
ST;2019;090781816;02;CH ARIEGE COUSERANS;090000183;CH ARIEGE COUSERANS SITE ST LIZIER
ST;2019;100000017;02;CENTRE HOSPITALIER DE TROYES;100000090;CENTRE HOSPITALIER DE TROYES
ST;2019;100000017;02;CENTRE HOSPITALIER DE TROYES;100006493;SECTION MOYEN SEJOUR - CH DE TROYES
ST;2019;100000017;02;CENTRE HOSPITALIER DE TROYES;100009364;MCO COMTE HENRI - CH DE TROYES
ST;2019;100000017;02;CENTRE HOSPITALIER DE TROYES;100009380;UNITE D'ALCOOLOGIE JEAN SCHIFFER
ST;2019;100000017;02;CENTRE HOSPITALIER DE TROYES;100010206;ANTENNE SMUR DE BAR SUR AUBE
ST;2019;100000033;02;EPSMA;100000108;EPSMA
ST;2019;100000041;02;HOPITAL LOCAL BAR SUR AUBE;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE
ST;2019;100000058;02;HOPITAL LOCAL DE BAR-SUR-SEINE;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE
ST;2019;100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE
ST;2019;100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE
ST;2019;100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;100007699;HAD GHAM
ST;2019;100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;510000177;CENTRE HOSPITALIER DE SEZANNE
ST;2019;100006279;02;GROUPEMENT HOSPITALIER AUBE MARNE;510023922;ANTENNE DE SMUR - GHAM
ST;2019;110000114;06;SAS POLYCL LE LANGUEDOC;110007259;UDM POLYCL LE LANGUEDOC
ST;2019;110780061;02;CH CARCASSONNE;110000023;CH CARCASSONNE
ST;2019;110780061;02;CH CARCASSONNE;110006137;USLD LES RIVES D'ODE
ST;2019;110780061;02;CH CARCASSONNE;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD
ST;2019;110780061;02;CH CARCASSONNE;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN
ST;2019;110780087;02;CH CASTELNAUDARY;110000049;CH JEAN PIERRE CASSABEL
ST;2019;110780137;02;CH NARBONNE;110000056;CH NARBONNE HOTEL DIEU
ST;2019;110780137;02;CH NARBONNE;110002953;CH NARBONNE HJ PSY ADULTE PSYCHOTIQUE
ST;2019;110780137;02;CH NARBONNE;110005246;SSR GERIATRIE CH NARBONNE
ST;2019;110780137;02;CH NARBONNE;110781283;USLD PECH DALCY CH NARBONNE LA COUPE
ST;2019;110780707;02;CH LIMOUX QUILLAN;110000189;CH LIMOUX QUILLAN SITE DE LIMOUX
ST;2019;110780707;02;CH LIMOUX QUILLAN;110780236;CH LIMOUX QUILLAN SITE DE QUILLAN
ST;2019;110780772;02;CH LEZIGNAN;110000247;CH LEZIGNAN CORBIERES
ST;2019;110781010;02;CH FRANCIS VALS;110000262;CH FRANCIS VALS
ST;2019;120004528;02;CH MILLAU;120004569;CH MILLAU
ST;2019;120004528;02;CH MILLAU;120007554;SSR SITE STE ANNE CH MILLAU
ST;2019;120004528;02;CH MILLAU;120783097;USLD CH MILLAU
ST;2019;120004619;02;CH ST AFFRIQUE;120004668;CH EMILE BOREL ST AFFRIQUE
ST;2019;120780044;02;CH DE RODEZ HOPITAL JACQUES PUEL;120000039;CH DE RODEZ HOPITAL JACQUES PUEL
ST;2019;120780044;02;CH DE RODEZ HOPITAL JACQUES PUEL;120783188;CH RODEZ SITE LES PEYRIERES OLEMPS
ST;2019;120780044;02;CH DE RODEZ HOPITAL JACQUES PUEL;120786959;USLD OLEMPS CH RODEZ
ST;2019;120780069;02;CH VILLEFRANCHE ROUERGUE CHARTREUSE;120000054;CH VILLEFRANCHE SITE CHARTREUSE
ST;2019;120780069;02;CH VILLEFRANCHE ROUERGUE CHARTREUSE;120008248;SSR CH VILLEFRANCHE SITE RULHE
ST;2019;120780069;02;CH VILLEFRANCHE ROUERGUE CHARTREUSE;120782263;USLD CH VILLEFRANCHE SITE RULHE
ST;2019;120780085;02;CH PIERRE DELPECH DECAZEVILLE;120000070;CH PIERRE DELPECH DECAZEVILLE
ST;2019;120780093;02;CH ST GENIEZ OLT ET AUBRAC;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT
ST;2019;120780101;02;CHI ESPALION ST LAURENT D'OLT;120000096;CHI ESPALION ST LAURENT D'OLT
ST;2019;120780291;02;CH MAURICE FENAILLE;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU
ST;2019;120780481;02;CHI VALLON SALLES LA SOURCE;120000237;CHI VALLON SALLES LA SOURCE
ST;2019;130001415;06;CLINIQUE BOUCHARD;130035223;BOUCHARD AUTODIALYSE ACTIPOLE 12 MRS
ST;2019;130001928;02;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130809015;CTRE GERONTO DPTAL LA TOUR BLANCHE
ST;2019;130006562;06;DIAVERUM PROVENCE;130034002;DIAVERUM PROVENCE SALON
ST;2019;130006562;06;DIAVERUM PROVENCE;130034044;DIAVERUM PROVENCE MARIGNANE
ST;2019;130006562;06;DIAVERUM PROVENCE;130034093;DIAVERUM PROVENCE MARSEILLE 3
ST;2019;130006562;06;DIAVERUM PROVENCE;130034531;CENTRE DE DIALYSE DIAVERUM ARLES
ST;2019;130006562;06;DIAVERUM PROVENCE;130038045;DIAVERUM PROVENCE ISTRES
ST;2019;130006562;06;DIAVERUM PROVENCE;130784481;CENTRE DE DIALYSE DIAVERUM MARSEILLE 8
ST;2019;130006562;06;DIAVERUM PROVENCE;130811797;DIAVERUM PROVENCE MIRAMAS
ST;2019;130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;130008287;ADPC UNITE D'AUTODIALYSE MARSEILLE 02
ST;2019;130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;130034614;ADPC UNITE D'AUTODIALYSE MARSEILLE 09
ST;2019;130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;130035959;ADPC UDM MARSEILLE 05
ST;2019;130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;130806417;ADPC UNITE D'AUTODIALYSE AUBAGNE
ST;2019;130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;2B0004071;UNITE D'AUTODIALYSE DE CORTE
ST;2019;130006810;06;ASSOCIATION DIALYSES PROVENCE ET CORSE;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE
ST;2019;130007156;06;CTRE D'HEMODIALYSE DE PROVENCE AUBAGNE;130809809;CHP AUBAGNE
ST;2019;130016058;06;ATUP C;130034556;ATUP AUTODIALYSE MARTIGUES
ST;2019;130016058;06;ATUP C;130036650;ATUP AUTODIALYSE VITROLLES
ST;2019;130016058;06;ATUP C;130044845;ATUP AUTO DIALYSE MARSEILLE 13
ST;2019;130016058;06;ATUP C;130806078;ATUP UDM ET DOMICILE MARSEILLE 08
ST;2019;130016058;06;ATUP C;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO
ST;2019;130028228;02;HOPITAUX DES PORTES DE CAMARGUE;130001258;HOPITAUX PORTES DE CAMARGUE TARASCON
ST;2019;130028228;02;HOPITAUX DES PORTES DE CAMARGUE;300000049;CH BEAUCAIRE
ST;2019;130029218;06;CENTRE D'HEMODIALYSE DE PROVENCE;130038003;CHP AIX
ST;2019;130034572;08;LOCARAD;130034580;CTRE RADIOTHERAPIE PAYS D'AIX LOCARAD
ST;2019;130041916;02;CHI AIX PERTUIS;130000409;CHI SITE D'AIX EN PROVENCE
ST;2019;130041916;02;CHI AIX PERTUIS;130798358;USLD DUQUESNE SITE AIX
ST;2019;130041916;02;CHI AIX PERTUIS;840000491;CHI SITE DE PERTUIS
ST;2019;130780554;02;CHS EDOUARD TOULOUSE;130000235;CHS EDOUARD TOULOUSE
ST;2019;130781131;02;CHS MONTPERRIN;130000433;CHS MONTPERRIN
ST;2019;130781131;02;CHS MONTPERRIN;840018691;CHS MONTPERRIN HOP DE JOUR REGAIN
ST;2019;130781339;02;CH LOUIS BRUNET D'ALLAUCH;130000516;CH LOUIS BRUNET D'ALLAUCH
ST;2019;130781446;02;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE
ST;2019;130782634;02;CH SALON DE PROVENCE;130001225;CH SALON DE PROVENCE
ST;2019;130784127;08;INSTITUT PAOLI CALMETTES;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP
ST;2019;130784127;08;INSTITUT PAOLI CALMETTES;130001647;INSTITUT PAOLI CALMETTES
ST;2019;130785512;02;CENTRE HOSPITALIER GENERAL LA CIOTAT;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT
ST;2019;130786049;02;APHM DIRECTION GENERALE;130044977;APHM ANTENNE SMUR DE MARIGNANE
ST;2019;130786049;02;APHM DIRECTION GENERALE;130044985;APHM ANTENNE SMUR DE LOUVAIN
ST;2019;130786049;02;APHM DIRECTION GENERALE;130044993;APHM ANTENNE SMUR DE PLOMBIERES
ST;2019;130786049;02;APHM DIRECTION GENERALE;130045008;APHM ANTENNE SMUR D'ENDOUME
ST;2019;130786049;02;APHM DIRECTION GENERALE;130045016;APHM ANTENNE SMUR DE MARIGNANE
ST;2019;130786049;02;APHM DIRECTION GENERALE;130045040;APHM ANTENNE SMUR DE LAVERAN
ST;2019;130786049;02;APHM DIRECTION GENERALE;130780521;APHM HOPITAL NORD
ST;2019;130786049;02;APHM DIRECTION GENERALE;130783236;APHM HOPITAL DE LA CONCEPTION
ST;2019;130786049;02;APHM DIRECTION GENERALE;130783293;APHM HOPITAL LA TIMONE
ST;2019;130786049;02;APHM DIRECTION GENERALE;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE
ST;2019;130786049;02;APHM DIRECTION GENERALE;130804297;APHM HOPITAL LA TIMONE ENFANTS
ST;2019;130786494;02;CHS VALVERT MARSEILLE;130002496;CHS VALVERT MARSEILLE
ST;2019;130789274;02;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;130002827;CH JOSEPH IMBERT D'ARLES
ST;2019;130789316;02;CENTRE HOSPITALIER DE MARTIGUES;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES
ST;2019;130789316;02;CENTRE HOSPITALIER DE MARTIGUES;130790157;CH DE MARTIGUES HOPITAL DU VALLON
ST;2019;140000035;02;CH LISIEUX;140000027;CENTRE HOSPITALIER DE LISIEUX
ST;2019;140000092;02;CENTRE HOSPITALIER AUNAY-BAYEUX;140000076;CENTRE HOSPITALIER AUNAY-BAYEUX
ST;2019;140000092;02;CENTRE HOSPITALIER AUNAY-BAYEUX;140004136;UNITE PSYCHIATRIQUE - CH BAYEUX
ST;2019;140000092;02;CENTRE HOSPITALIER AUNAY-BAYEUX;140017401;UNITE SOINS LONGUE DUREE - CH BAYEUX
ST;2019;140000092;02;CENTRE HOSPITALIER AUNAY-BAYEUX;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX
ST;2019;140000092;02;CENTRE HOSPITALIER AUNAY-BAYEUX;140025362;SSR SITE HENRY DUNANT - CH BAYEUX
ST;2019;140000100;02;CHU DE CAEN NORMANDIE;140000209;CHU COTE DE NACRE - CAEN
ST;2019;140000100;02;CHU DE CAEN NORMANDIE;140004383;CHR GEORGES CLEMENCEAU - CAEN
ST;2019;140000100;02;CHU DE CAEN NORMANDIE;140012196;UNITE SOINS LONGUE DUREE - CHU CAEN
ST;2019;140000118;02;CH FALAISE;140000233;CENTRE HOSPITALIER DE FALAISE
ST;2019;140000118;02;CH FALAISE;140013830;UNITE SOINS LONGUE DUREE - CH FALAISE
ST;2019;140000134;02;CENTRE HOSPITALIER DE PONT L'EVEQUE;140000308;CENTRE HOSPITALIER DE PONT L'EVEQUE
ST;2019;140000159;02;CH VIRE;140000373;CENTRE HOSPITALIER DE VIRE
ST;2019;140000159;02;CH VIRE;500021274;HAD DU CH DE VIRE SITE DE MORTAIN
ST;2019;140000159;02;CH VIRE;500021282;HAD DU CH DE VIRE SITE DE VILLEDIEU
ST;2019;140000159;02;CH VIRE;610007312;HAD DU CH DE VIRE - SITE DE FLERS
ST;2019;140000316;02;EPSM CAEN;140000456;ETS PUBLIC DE SANTE MENTALE
ST;2019;140000639;08;CRLCC FRANCOIS BACLESSE - CAEN;140000555;CRLCC FRANCOIS BACLESSE - CAEN
ST;2019;140000639;08;CRLCC FRANCOIS BACLESSE - CAEN;140030891;UNITE RADIOTHERAPIE EXTERNE CFB
ST;2019;140000639;08;CRLCC FRANCOIS BACLESSE - CAEN;500021944;UNITÉ RADIOTHÉRAPIE EXTERNE CHERBOURG
ST;2019;140000852;06;ANIDER;140002254;ANIDER - HEROUVILLE SAINT CLAIR
ST;2019;140000852;06;ANIDER;140027434;ANIDER - HONFLEUR
ST;2019;140000852;06;ANIDER;140028895;ANIDER - BAYEUX
ST;2019;140000852;06;ANIDER;270017338;UNITE AUTODIALYSE ASSISTEE ASS ANIDER
