BOR;AN;FI;RS;FI_EJ;COVID19_A1;COVID19_A36;COVID19_A2;COVID19_A3;COVID19_A4;COVID19_A5;COVID19_B1;COVID19_B36;COVID19_B2;COVID19_B3;COVID19_B4;COVID19_B5;COVID19_C1;COVID19_C36;COVID19_C2;COVID19_C3;COVID19_C4;COVID19_C5;COVID19_D1;COVID19_D36;COVID19_D2;COVID19_D3;COVID19_E1;COVID19_E2;COVID19_E3;COVID19_E4;COVID19_E5;COVID19_A6;COVID19_A7;COVID19_A8;COVID19_A9;COVID19_A10;COVID19_A37;COVID19_A11;COVID19_A12;COVID19_A13;COVID19_A14;COVID19_A15;COVID19_A16;COVID19_A17;COVID19_A18;COVID19_A19;COVID19_B10;COVID19_B37;COVID19_B11;COVID19_B12;COVID19_B13;COVID19_B14;COVID19_B15;COVID19_B16;COVID19_B17;COVID19_B18;COVID19_B19;COVID19_C10;COVID19_C37;COVID19_C11;COVID19_C12;COVID19_C13;COVID19_C14;COVID19_C15;COVID19_C16;COVID19_C17;COVID19_C18;COVID19_C19;COVID19_D10;COVID19_D37;COVID19_D11;COVID19_D12;COVID19_D13;COVID19_D14;COVID19_D15;COVID19_D16;COVID19_D17;COVID19_D18;COVID19_D19;COVID19_E10;COVID19_E37;COVID19_E11;COVID19_E12;COVID19_E13;COVID19_E14;COVID19_E15;COVID19_E16;COVID19_E17;COVID19_E18;COVID19_E19;COVID19_F12;COVID19_F13;COVID19_F14;COVID19_F15;COVID19_F16;COVID19_F17;COVID19_A20;COVID19_A21;COVID19_A22;COVID19_A23;COVID19_B20;COVID19_B21;COVID19_B22;COVID19_B23;COVID19_C20;COVID19_C21;COVID19_C22;COVID19_C23;COVID19_D20;COVID19_D21;COVID19_D22;COVID19_D23;COVID19_A24;COVID19_A25;COVID19_A26;COVID19_A27;COVID19_A28;COVID19_A29;COVID19_A30;COVID19_A31;COVID19_B24;COVID19_B25;COVID19_B26;COVID19_B27;COVID19_B28;COVID19_B29;COVID19_B30;COVID19_B31;COVID19_C24;COVID19_C25;COVID19_C26;COVID19_C27;COVID19_C28;COVID19_C29;COVID19_C30;COVID19_C31;COVID19_D24;COVID19_D25;COVID19_D26;COVID19_D27;COVID19_D28;COVID19_D29;COVID19_D30;COVID19_D31;COVID19_A32;COVID19_A33;COVID19_A34;COVID19_A35
COVID19;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;28;avril;68;1143;;0;;;;;;;18;mai;132;2425;;0;;;;;46;200;3568;;0;;;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;0;0;0;;;;;0;0;0;0;;;;;0;0;0;0;;;;;0;0;;
COVID19;2020;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;;;;8;novembre;15;1517;0;0;;;;;;;;;;;8;15;1517;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;;;;;0;0;0;0;;;;;0;0;1;0;;;;;0;0;1;0;;;;;0;0;;
COVID19;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;;;;;;;;;;;;;20;octobre;149;1986;;0;;;;;20;149;1986;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;1.18;;;;1.18;;;;0.5;;;;0;0;0;0;;;;;0;0;1;0;;;;;0;0;1;0;;;;;0;0;1;0;;;;;;;;
COVID19;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;43;novembre;828;6333;;1;;;;;;;8;avril;58;498;;0;;;;;51;886;6831;;1;;;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;579;202;1199;617;194;111;0;36;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;0;0;0;0;;;;;0;0;0;0;;;;;0;0;0;0;;;;;0;0;0;0;;;;;0;0;;
COVID19;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;;;;;;;;;;;;;15;avril;83;2036;11;31;;;;;15;83;2036;11;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;;;;;;;;;;11;novembre;24;541;;0;;;;;11;24;541;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;010780195;CLINIQUE CONVERT;010000156;30;novembre;628;3701;0;0;;;;;;;;;;;;;;;;;30;628;3701;0;0;;0;0;0;10;avril;10;583;127;3648;1241;125;68;0;28;;;;0;0;0;0;0;0;0;0;6;;;1017;77;1644;149;75;29;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;17;octobre;590;2376;;5;;;;;;;;;;;;;;;;;17;590;2376;;5;;;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;3;;3;384;19;1517;83;19;13;0;8;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;4.88;;;;2.31;;;;1.23;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
COVID19;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;;;;;;;;;;;;;10;avril;40;1820;;0;;;;;10;40;1820;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;0;1;;;;;;;;;;;;;;;;;;;;;0;0;;
COVID19;2020;010780294;NEPHROCARE CH BELLEY;690000278;;;0;0;;0;;;;;;;;;;;;;;;;;;0;0;;0;;;175;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;;;;;;;;;;;;;3;juillet;6;295;;0;;;;;3;6;295;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;0;0;0;;;;;0;0;0;0;;;;;0;0;0;0;;;;;;;;
COVID19;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;;;;;;;;;;;;;9;;44;534;;0;;;;;9;44;534;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;
COVID19;2020;020000089;CH GUISE;020000022;25;avril;90;1194;;0;0;;;;;;4;novembre;173;2333;;0;0;;;;29;263;3527;;0;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
COVID19;2020;020000097;CH LA FÈRE;020000048;6;novembre;97;1753;0;0;;;;;;;0;;7;73;0;0;;;;;6;104;1826;0;0;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
COVID19;2020;020000162;CH SAINT-QUENTIN;020000063;130;avril;3593;20708;0;22;;;;;;;0;;69;1014;0;0;0;;0;0;130;3662;21722;0;22;0;0;8;11;12;octobre;12;492;169;4213;1902;167;69;0;56;0;;0;0;0;0;0;0;0;0;0;8;mars;6;1553;75;4736;292;72;40;1;6;6;octobre;6;312;90;1499;461;88;36;0;18;0;;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;4.96;0;1.08;0;;;;;;;;;;;;;0;0;0;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1
COVID19;2020;020000246;CH VERVINS;020000071;4;;46;880;;0;;;;;;;4;;35;371;;0;;;;;8;81;1251;;0;;;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;;;;;;;;;;;;;49;avril;1225;14069;;69;;;;;49;1225;14069;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;020000386;CLINIQUE DE LA ROSERAIE;020000600;;;;;;;20;avril;26;386;;;;;;;;;;;;;20;26;386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.93;0.5;;;1.05;;;;4.12;;;;;;;;;;;;1;0;1;0;;;;;;;;;;;;;;;;;;;;;0;0;;
COVID19;2020;020000394;CH LAON;020000253;45;avril;1229;8461;0;32;;;;;;;;;0;0;;0;;;;;45;1229;8461;0;32;;;0;0;17;avril;;255;81;2567;1126;81;38;0;25;;;;0;0;0;0;0;0;0;0;;;;459;56;1386;220;55;37;0;8;;;;166;25;852;111;25;8;0;5;;;;0;0;0;0;0;0;0;0;;;;;;;9.99;0.13;9.91;0;35.57;;34.43;;19.68;;18.23;;2.32;;1.92;;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
COVID19;2020;020000519;CH SOISSONS;020000261;62;décembre;865;8098;;3;;;;;;;30;décembre;45;1141;;0;;;;;92;910;9239;;3;;;0;0;13;avril;9;323;74;2658;1026;71;39;0;28;;;;0;0;0;0;0;0;0;0;6;avril;;1088;19;2686;78;18;6;0;1;4;avril;;195;9;835;59;9;3;0;2;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;18.05;;11.4;;75.39;0;23.52;0;69.66;0;21.56;0;30.87;0;4.43;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
COVID19;2020;020000535;CH CHAUNY;020000287;;;1100;5764;;7;;;;;;;;;57;1484;;0;;;;;;1157;7248;;7;;;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;668;60;3418;382;59;32;0;3;;;;126;5;775;33;5;3;0;1;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;;;;;;;20;avril;32;405;;;;;;;;;;;;;20;32;405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.42;;0.3;;5.42;;5.42;;1.25;;1.25;;12.49;;2.1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0
COVID19;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;;;;;;;;;;;;;28;juillet;480;2243;;;;;;;28;480;2243;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;;;;5;;;;8;;;;2;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
COVID19;2020;020001061;CH CHÂTEAU-THIERRY;020004404;56;décembre;1365;10736;;2;;;;;;;;;;;;;;;;;56;1365;10736;;2;;;0;1;12;avril;12;400;119;3462;1657;116;64;0;37;;;;0;0;0;0;0;0;0;0;3;avril;;224;15;757;53;15;10;0;2;3;avril;;306;41;1318;212;40;19;0;4;;;;0;0;0;0;0;0;0;0;1;0;0;1;1;1;;;;;;;;;;;;;;;;;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;;1;0;1;1;1;1
COVID19;2020;020001087;CH HIRSON;020004495;20;novembre;638;3578;;0;;;;;;;8;novembre;56;836;;0;;;;;28;694;4414;;0;;;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;;;;1.5;;;;9.11;;;;10.75;;;;1;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1
COVID19;2020;020003877;SSR CH LAON;020000253;;;;;;;;;;;;;0;;52;1255;;0;;;;;0;52;1255;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;;;;;0;;1;novembre;2;19;0;0;;;;;0;;;;;;1;2;19;0;0;0;0;;;0;;0;;;;;;;;;0;;0;;;;;;;;;0;;0;;;;;;;;;0;;0;;;;;;;;;0;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0.25;;;;0.22;;;;0.02;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
COVID19;2020;020004297;HAD AMSAM SOISSONS;020005179;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;0;0;0;0;0;0;1;0;0;0;;;;;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
COVID19;2020;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;;;;;;;6;avril;2;48;0;0;;;;;;;;;;;6;2;48;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;18;mars;59;555;;0;;;;;;;;;;;;;;;;;18;59;555;;0;;;0;0;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;4;mars;;432;38;2316;281;38;25;0;2;4;mars;;188;4;1483;62;4;4;0;1;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;020010898;HAD CRF CHAUNY;750721334;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;avril;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
COVID19;2020;020016341;SSR RENAISSANCE SOISSONS;750814030;;;;;;;;;;;;;;;0;0;;11;;;;;;0;0;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
COVID19;2020;030000012;CH DE NERIS LES BAINS;030180020;;;;;;;;;;;;;15;novembre;15;315;;0;;;;;15;15;315;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID19;2020;030000061;CH DE MOULINS;030780092;51;novembre;1953;12990;0;4;6;novembre;11;873;0;0;3;avril;31;497;0;0;24;décembre;35;;84;2030;14360;0;4;;1;;;20;avril;;327;80;3127;916;80;44;0;25;0;;;;;;;;;;;8;;;571;19;1612;81;19;16;0;3;4;;;136;9;587;46;9;5;0;0;0;;;;;;;;;;;1;0;0;1;1;0;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;0;1;0;0;0;0;0;1;1;1
COVID19;2020;030000079;CH DE MONTLUCON;030780100;162;novembre;1744;15024;0;1;;;;;;;23;octobre;58;590;;0;;;;;185;1802;15614;0;1;2;0;11;0;13;novembre;13;300;62;2996;823;61;37;0;17;;;;0;0;0;0;0;0;0;0;6;novembre;1;1084;81;3098;315;80;49;0;7;1;novembre;1;46;5;169;20;5;2;0;0;3;novembre;0;136;7;270;25;7;0;7;0;1;0;0;1;1;0;1.55;;1.34;;15.57;;6;;13.6;;3.5;;3.26;;0.5;;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1
COVID19;2020;030000087;CH JACQUES LACARIN VICHY;030780118;69;avril;1868;10702;0;1;8;avril;3;12;0;0;2;;48;771;0;0;;;;;79;1919;11485;0;1;;;5;0;26;avril;;475;72;2620;668;70;33;0;25;;;;0;0;0;0;0;0;0;0;4;avril;;859;4;1725;6;4;3;0;1;0;;;89;4;312;20;4;3;0;0;4;avril;;224;11;615;27;11;0;11;0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
