BOR;AN;FI;RS;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2020;140000209;CHU COTE DE NACRE - CAEN;140000100;0;;;;;;0;0;0;0;1;1;;;0;1;0;0;5;146;0;0;0;1488;0;0;0;128;0;0;0;0;0;0;0;0;0;0
HAD;2020;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;0;;;;;67000;1;0;0;1;1;1;0;0;1;0;0;0;18;223;0;126;3;4596;0;2205;60;170;0;101;2;81;59;0;30;0;27;0
HAD;2020;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;4;500021274;500021282;610007312;;0;0;0;0;1;1;;;1;0;0;0;20;202;0;50;8;5213;0;1209;241;135;0;39;5;63;25;0;17;0;2;0
HAD;2020;140002619;HAD SANTE CROIX ROUGE - CAEN;750721334;0;;;;;300000;0;0;0;0;1;1;0;0;0;0;0;0;80;649;0;254;13;26354;0;9399;277;518;0;227;5;245;109;0;148;0;38;0
HAD;2020;140016155;HAD DE BAYEUX;140027426;0;;;;;87000;1;1;0;1;1;1;;;1;0;0;0;40;249;0;106;4;10650;0;4048;95;183;0;75;4;81;39;3;22;0;10;0
HAD;2020;140026709;POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF;140000415;0;;;;;71317;1;1;0;0;1;1;;;1;0;0;1;30;374;0;147;23;10658;0;3515;323;252;0;129;5;108;67;1;49;0;38;0
HAD;2020;150000040;CH HENRI MONDOR;150780096;1;3;150000040;;;143000;1;1;0;0;1;0;1;1;1;0;0;1;15;618;0;58;323;5702;0;1259;787;245;0;50;76;65;16;14;26;0;5;3
HAD;2020;160002036;HOSP. A DOMICILE - HAD (MUT. 16);160009908;0;;;;;352335;1;1;0;0;1;1;;;1;0;0;0;115;964;0;436;62;37115;0;14872;2281;703;0;361;36;255;148;11;60;0;25;0
HAD;2020;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;3;170000087;170000111;;365000;1;0;0;0;1;0;1;0;1;1;1;1;90;1285;0;433;381;30465;0;16116;1470;738;0;343;98;232;120;12;90;0;13;0
HAD;2020;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;1;3;170000095;170000038;170000129;;1;0;0;0;0;0;1;0;1;0;0;0;90;1363;0;244;523;27761;0;6268;1697;637;0;211;96;228;100;16;118;0;51;0
HAD;2020;180000010;CH BOURGES - JACQUES COEUR;180000028;0;;;;;177750;1;1;0;0;1;0;1;0;1;0;0;1;30;517;0;92;222;9025;0;3006;613;220;0;82;23;75;38;4;20;0;5;0
HAD;2020;180008278;KORIAN PAYS DES TROIS PROVINCES;750056335;0;;;;;180000;1;1;0;0;1;1;;;1;0;0;0;43;473;2;263;4;16354;81;8836;78;380;1;203;3;190;95;0;133;0;43;0
HAD;2020;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;0;;;;;243551;1;0;0;0;1;0;1;0;1;0;0;0;83;622;0;215;10;28069;0;2837;68;481;0;209;7;226;134;0;89;0;69;0
HAD;2020;190010629;HAD RELAIS SANTE ONCORESE;190010579;0;;;;;240000;1;0;0;0;1;0;1;0;1;0;0;0;60;1262;0;97;889;16555;0;3618;2629;314;0;86;101;108;56;23;40;0;23;2
HAD;2020;210003059;SERVICE D'HOSPITALISATION A DOMICILE;210987400;0;;;;;384631;1;0;0;0;1;1;;;1;0;0;0;61;685;0;267;10;21861;0;10246;466;439;0;198;8;184;105;1;70;0;25;0
HAD;2020;210780789;CLINIQUE MUTUALISTE BENIGNE JOLY;210003208;0;;;;;367011;1;0;0;0;1;1;;;1;0;0;0;30;416;0;166;60;10239;0;3568;1430;295;0;124;32;115;60;4;42;0;12;0
HAD;2020;210987657;HOSPICES CIVILS DE BEAUNE;210012175;0;;;;;100000;1;0;0;0;1;1;0;0;1;0;0;0;35;346;0;133;23;6516;0;2174;328;230;0;111;15;100;61;2;67;0;43;0
HAD;2020;210987731;CLCC GEORGES-FRANCOIS LECLERC;210780417;0;;;;;250000;1;1;0;0;1;1;;;0;0;0;1;18;357;0;59;230;4952;0;1746;1730;114;0;44;72;25;11;18;0;0;0;0
HAD;2020;220000368;CENTRE HOSPITALIER LANNION;220000103;1;1;220000541;;;;1;1;0;0;1;0;1;0;1;0;0;0;25;329;0;134;19;9285;0;2208;567;224;0;88;16;77;37;1;29;0;20;0
HAD;2020;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;0;;;;;;1;0;0;0;1;0;1;0;0;0;0;0;10;113;0;54;5;3256;0;961;167;96;0;53;5;43;24;2;10;0;4;0
HAD;2020;220019616;HAD DU PAYS BRIOCHIN;220019608;0;;;;;235052;0;0;0;0;1;0;1;0;1;0;0;0;80;805;17;436;9;24998;223;14055;105;636;14;337;7;288;152;2;137;0;24;0
HAD;2020;220020341;HAD DU PAYS DE GUINGAMP - AUB;350000626;0;;;;;75441;0;0;0;0;1;0;1;0;1;0;0;0;25;392;1;175;10;10157;24;5239;346;300;1;143;4;148;65;0;100;0;31;1
HAD;2020;230782617;CRRF ANDRE LALANDE;920028560;1;4;230782617;;;117340;0;1;0;0;1;0;1;0;1;0;0;0;35;517;0;120;167;13112;0;5021;1007;266;0;103;34;92;48;4;35;0;8;1
HAD;2020;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;2;240000489;;;181734;1;1;0;0;1;0;1;0;1;0;0;1;49;743;0;214;196;20652;0;4879;1149;480;0;198;50;264;128;11;111;0;60;1
HAD;2020;240000687;CENTRE HOSPITALIER SARLAT;240000448;0;;;;;80000;1;0;0;0;1;0;0;0;1;0;0;0;30;237;0;127;1;8257;0;4188;7;169;0;112;1;71;55;0;29;0;21;0
HAD;2020;240011668;HAD DE LA CLINIQUE PASTEUR;240000612;0;;;;;;0;0;0;0;1;1;1;0;1;0;0;0;30;378;0;170;3;12379;0;4236;25;305;0;148;2;150;76;0;65;0;12;0
HAD;2020;250012069;HOSPITALIA MUTUALITE HAD PONTARLIER;250017803;0;;;;;17197;;;;;;;;;1;0;0;0;20;233;0;112;0;7776;0;3766;0;172;0;91;0;51;36;0;19;0;11;0
HAD;2020;250016037;HOSPITALIA MUTUALITE HAD ETUPES;250017803;0;;;;;17197;;;;;;;;;1;0;0;0;40;474;0;225;3;18852;0;10501;180;368;0;167;2;129;62;0;68;0;2;0
HAD;2020;250016045;HOSPITALIA MUTUALITE HAD BESANCON;250017803;0;;;;;525000;0;0;0;0;;;;;1;0;0;0;100;554;0;251;5;19505;0;9942;94;440;0;197;5;157;86;2;70;0;15;0
HAD;2020;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;0;;;;;182337;1;0;0;0;1;0;1;0;1;0;0;0;30;332;0;72;45;9930;0;1538;1822;230;0;65;30;88;33;4;19;0;5;0
HAD;2020;260000146;CH DE CREST;260000054;1;3;260000054;;;462785;1;0;0;0;1;1;;;1;0;0;0;140;1953;327;435;411;47607;3625;12397;5685;1222;308;384;118;350;178;29;105;0;43;0
HAD;2020;270000441;CH VERNEUIL-SUR-AVRE;270000110;0;;;;;55000;1;1;0;0;1;0;1;0;1;0;1;1;25;185;0;57;15;5536;0;1142;500;142;0;52;9;73;32;2;41;0;13;0
HAD;2020;270016058;HAD EURE SEINE;750047367;0;;;;;270000;1;0;0;0;1;1;0;0;1;0;0;0;42;425;0;259;6;15531;0;7900;145;287;0;182;4;102;72;0;38;0;18;0
HAD;2020;270029416;HAD CH DE LA RISLE PONT AUDEMER;270000102;0;;;;;88476;0;1;0;0;1;0;1;0;1;0;1;1;30;366;0;159;27;7779;0;3253;186;274;0;123;9;86;42;2;32;0;7;0
HAD;2020;280001678;ASSAD HAD D'EURE ET LOIR;370001638;1;1;;;;433233;1;1;0;0;1;1;;;1;1;1;1;70;1057;194;243;306;21537;2692;7781;1227;610;172;191;52;104;64;9;32;0;12;1
HAD;2020;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;0;;;;;330000;0;0;0;0;1;1;;;1;0;0;1;90;1303;0;416;460;23604;0;11030;1606;695;0;342;91;231;145;15;83;0;58;0
HAD;2020;290032838;HAD DES PAYS DE MORLAIX;350000626;0;;;;;154407;0;0;0;0;1;0;1;0;1;0;0;0;50;743;0;306;24;23827;0;10076;126;545;0;263;6;290;151;0;230;0;98;0
HAD;2020;290036375;HAD DU PONANT SITE CLINIQUE GD LARGE;290000447;0;;;;;;0;0;0;0;1;1;;;1;0;0;1;120;1526;0;595;56;36387;0;12166;1248;1129;0;553;21;564;379;1;453;0;306;0
HAD;2020;2A0001988;HAD AJACCIO ET GRAND AJACCIO;2A0001848;0;;;;;90000;1;1;0;1;1;0;1;0;1;0;0;0;30;301;0;93;8;10803;0;2592;304;174;0;63;6;82;40;2;33;0;14;0
HAD;2020;2A0002614;CENTRE HOSPITALIER DE SARTENE;2A0002606;0;;;;;60000;0;0;0;0;0;1;0;0;1;0;0;0;25;126;0;65;0;3232;0;2256;0;69;0;46;0;19;17;0;2;0;0;0
HAD;2020;2B0000038;CH CORTE;2B0004246;0;;;;;23000;0;0;0;0;1;1;;;1;0;0;0;20;44;0;21;1;2384;0;1104;3;39;0;17;1;22;8;0;0;0;0;0
HAD;2020;2B0001739;HAD DE CORSE;2B0001689;0;;;;;142977;1;0;0;0;1;1;;;0;0;0;0;50;253;0;7;12;9976;0;36;858;192;0;7;9;79;4;3;7;0;2;1
HAD;2020;2B0003289;HAD CENTRE RAOUL FRANCOIS MAYMARD;2B0003198;0;;;;;85000;1;0;0;0;1;1;1;1;1;0;0;0;120;1079;0;208;738;34324;0;9701;14348;385;0;130;182;121;44;21;53;0;3;0
HAD;2020;300000031;CH LOUIS PASTEUR;300780053;1;3;300000031;300000056;300000064;178000;1;0;0;;1;1;;;1;0;0;0;13;257;0;37;153;6461;0;1105;1579;98;0;27;26;23;8;8;5;0;0;4
HAD;2020;300000056;CH PONT ST ESPRIT;300780079;1;1;300000031;;;20000;1;;;;0;1;;;1;0;0;0;5;115;0;51;5;2550;0;1155;34;104;0;48;3;47;25;0;13;0;7;0
HAD;2020;300000064;CH UZES;300780087;0;;;;;93000;1;1;0;0;1;1;;;1;0;1;1;8;69;0;9;43;1321;0;606;218;27;0;9;6;9;4;2;1;0;0;0
HAD;2020;300012309;ADENE HAD NIMES;340027937;0;;;;;407994;1;1;0;0;1;1;;;1;0;0;1;50;237;0;88;5;8785;0;2431;102;193;0;84;3;68;46;1;22;0;14;1
HAD;2020;300013745;ADENE HAD ALES;340027937;0;;;;;214616;1;1;0;0;1;1;;;1;0;0;1;50;257;0;118;4;7816;0;2930;30;200;0;94;4;81;54;0;55;0;35;0
HAD;2020;300013778;HAD 3G SANTE NIMES;300013760;0;;;;;400000;0;0;0;0;1;1;;;1;0;0;0;83;1037;0;648;15;30433;0;16611;250;875;0;574;8;525;364;1;330;0;181;1
HAD;2020;310005459;HAD SANTE RELAIS DOMICILE;310021886;1;2;310005459;310005459;;990000;0;0;0;0;1;1;;;1;1;0;0;150;2578;182;540;919;51557;4149;15979;4078;1307;163;421;184;338;133;44;151;1;31;1
HAD;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;0;;;;;;1;1;0;0;0;1;;;0;1;0;0;10;289;166;2;0;3128;1319;26;0;257;149;1;0;0;0;0;0;0;0;0
HAD;2020;310780259;CL PASTEUR;310000096;1;2;310780259;310780259;;887472;0;0;0;0;1;1;0;0;1;0;0;1;100;1900;0;472;583;39814;0;14101;4425;1197;0;407;155;512;161;14;339;0;31;1
HAD;2020;320004328;HAD GERS CL PASTEUR;310000096;0;;;;;196930;0;0;0;0;1;1;0;0;1;0;0;0;30;412;0;137;42;12449;0;4524;700;288;0;107;18;92;36;2;57;0;15;0
HAD;2020;330000332;HOPITAL SUBURBAIN DU BOUSCAT;330780545;1;2;330000332;;;373000;1;0;0;1;1;0;1;1;1;0;0;1;158;1612;0;387;278;39162;0;12050;2440;876;0;296;63;447;152;8;335;0;59;0
HAD;2020;330000340;MSP BORDEAUX BAGATELLE;330780552;1;1;330000340;;;933266;1;1;0;1;1;1;;;1;0;0;1;250;4754;319;750;2230;83273;7694;24366;6915;1953;253;584;313;574;267;59;280;0;117;2
HAD;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;0;;;;;128000;1;1;0;0;1;1;;;1;1;0;0;40;489;103;103;38;11257;2155;3465;274;365;79;83;11;89;36;1;107;0;11;0
HAD;2020;330025958;HAD DES VIGNES ET DES RIVIERES;330025859;1;2;330025958;330025958;;330000;1;1;0;0;1;1;;;1;0;0;1;116;1342;1;355;233;32036;8;12195;1392;797;1;294;36;404;134;11;323;0;66;1
HAD;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;0;;;;;;1;0;0;0;1;1;1;0;1;0;0;0;30;190;0;59;9;10144;0;3097;733;152;0;50;5;59;24;1;37;0;15;0
HAD;2020;340016476;HAD BEZIERS HAD;340016468;0;;;;;200000;0;0;0;1;1;1;;;1;0;0;1;90;819;0;304;35;30814;0;11096;1231;632;0;266;15;299;134;1;235;0;72;0
HAD;2020;340017839;ADENE HAD MONTPELLIER;340027937;0;;;;;515791;1;1;0;1;1;1;;;1;0;0;1;50;414;0;253;1;16040;0;8064;8;378;0;245;1;258;191;0;256;0;189;0
HAD;2020;340017847;HAD HOME SANTE 34;340018175;0;;;;;;0;0;0;0;1;1;0;0;1;0;0;1;30;531;0;187;33;11572;0;3759;604;452;0;173;17;251;109;8;191;0;48;0
HAD;2020;340021211;HAD CH BEZIERS;340780055;1;1;340016476;;;;1;;0;1;1;1;;;1;0;0;1;20;290;0;58;48;10995;0;1568;969;203;0;53;13;86;25;4;47;0;10;0
HAD;2020;340780154;POLYCL PASTEUR;340000116;0;;;;;150000;0;0;1;1;1;1;;;1;0;0;1;80;546;0;272;15;18975;0;8439;355;442;0;212;12;229;130;1;240;0;85;1
HAD;2020;340782036;HOPITAL ST ELOI CHU MONTPELLIER;340780477;1;2;340782036;340796663;;532000;0;0;1;1;1;1;;;1;1;0;1;103;1194;202;179;311;24752;2644;3162;5552;797;177;168;114;186;90;11;108;0;35;0
HAD;2020;350042628;HAD 35;350042578;0;;;;;830200;0;0;1;1;1;1;0;0;1;1;1;1;150;2334;92;728;80;49666;2345;14081;1763;1382;72;667;48;630;436;8;404;0;315;1
HAD;2020;350044772;HAD SAINT MALO DINAN;350000626;0;;;;;263728;0;0;0;0;1;0;1;0;1;0;0;0;90;992;0;371;33;31737;0;10517;489;706;0;262;15;332;121;1;173;0;16;0
HAD;2020;360000137;CH CHATEAUROUX;360000053;1;5;360000137;360000103;360000160;217312;1;1;0;0;1;1;;;1;0;0;0;35;329;0;91;0;9317;0;1965;0;237;0;78;0;77;29;0;31;0;12;0
HAD;2020;370009938;HAD VAL DE LOIRE;440052041;0;;;;;420000;1;1;0;0;1;1;;;1;0;0;0;140;1216;1;610;98;42940;61;18862;1272;859;1;520;39;457;334;9;292;0;202;2
HAD;2020;370103673;ASSAD HAD D'INDRE ET LOIRE;370001638;1;3;;;;605511;1;1;0;0;1;1;0;0;1;0;0;0;104;1111;0;425;111;29108;0;12959;941;709;0;357;25;307;186;4;140;0;67;0
HAD;2020;380000067;HOPITAL NORD - CHU38;380780080;0;;;;;572169;1;1;0;0;1;1;0;0;1;0;0;0;82;2445;323;115;1365;20748;5062;3189;1970;760;227;102;202;103;40;20;33;0;10;0
HAD;2020;380000174;CH LUCIEN HUSSEL DE VIENNE;380781435;0;;;;;190640;1;1;0;0;1;1;;;1;0;0;0;35;337;0;150;63;12789;0;5867;2290;225;0;128;23;88;67;2;11;0;9;0
HAD;2020;380000406;HOPITAL DE VOIRON;380780080;0;;;;;200000;;;;;;;;;1;0;0;0;30;236;0;57;1;4802;0;1723;7;98;0;47;1;32;18;0;10;0;3;0
HAD;2020;390004349;HAD 39;390004299;0;;;;;;;;;;;;;;1;0;0;0;60;588;0;371;53;21989;0;16252;447;399;0;306;9;170;152;1;99;0;88;1
HAD;2020;400008199;HAD MARSAN ADOUR;400008108;0;;;;;150000;1;0;0;0;1;0;1;0;1;0;0;0;52;477;0;211;0;14920;0;6508;0;316;0;182;0;132;95;0;69;0;56;0
HAD;2020;400780888;SANTE SERVICE DAX -HAD-;400000535;0;0;;;;230000;0;0;0;0;1;1;0;0;1;0;0;0;215;1059;0;379;3;76406;0;21184;3;743;0;292;2;317;129;2;34;0;19;0
HAD;2020;410005003;HAD LOIR ET CHER;440052041;1;1;410005003;;;337000;1;1;0;0;1;1;;;1;0;0;1;240;1394;0;499;63;42783;0;15442;1202;1009;0;379;23;547;174;5;371;0;50;0
HAD;2020;420000010;CH DE ROANNE;420780033;1;5;420000010;;;;1;0;0;0;1;1;;;1;0;1;1;50;459;0;271;87;13049;0;9186;1259;291;0;199;25;103;84;6;31;0;26;0
HAD;2020;420002479;ADENE HOSPITALISATION A DOMICILE;340027937;0;;;;;3139311;1;0;0;0;1;1;;;1;1;1;1;190;1369;165;301;121;52114;3421;12384;6200;900;138;266;85;173;101;10;88;2;26;2
HAD;2020;420010258;GCS SANTE A DOM SAINT-PRIEST-EN-JAREZ;420010209;0;;;;;507620;0;0;0;0;1;1;;;1;0;0;0;100;764;0;335;97;32491;0;13374;4522;578;0;293;68;261;153;13;113;0;42;3
HAD;2020;430000117;CH EMILE ROUX LE PUY;430000018;1;2;430000117;430000117;;226835;1;0;0;0;1;1;;;1;0;0;1;64;519;0;191;39;14193;0;4791;1436;404;0;176;29;180;96;4;105;0;50;0
HAD;2020;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;0;;;;;;0;0;0;0;;;;;1;0;0;0;12;919;83;11;380;5657;662;91;3164;200;73;2;50;0;0;0;0;0;0;0
HAD;2020;440012128;HOPITAL A DOMICILE NANTES & REGION;440003960;1;3;440012128;;;1025720;0;0;1;1;1;1;;;1;0;1;0;270;3471;13;1226;366;77437;276;30383;2154;2499;12;1056;87;760;478;8;447;0;248;0
HAD;2020;440017440;HOPITAL A DOMICILE CH ST NAZAIRE;440000057;0;;;;;;1;0;0;0;1;1;1;0;1;0;0;1;80;1865;5;347;716;22070;67;4193;1334;1053;5;335;87;468;203;20;347;0;137;4
