BOR;AN;FI;RS;FI_EJ;AUT;SAL;SALANG;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2020;270000359;CH EVREUX CH EURE-SEINE;270023724;1;;;126;822;137;99;0;38;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;270000862;CLINIQUE BERGOUIGNAN;270000953;1;;1;511;1586;528;66;0;462;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;0;1;1581;4372;1839;839;0;1000;0;0;0;0;0;0;0;0;0;;;0;0
CHIRCAR;2020;290000025;CHIC QUIMPER;290020700;1;0;1;969;2983;1013;30;1;982;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;3;2;1786;5636;2134;1019;0;1115;1;0;0;2;6;1;717;23;585;27;54;1512;8068
CHIRCAR;2020;290019777;POLYCLINIQUE DE KERAUDREN;290022508;1;1;1;792;2799;842;146;0;696;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;2A0000022;CH ND LA MISERICORDE;2A0000014;1;1;1;788;3312;900;77;0;823;0;0;0;;;0;0;;0;0;20;0;0
CHIRCAR;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;0;1;1255;3124;1382;172;0;1210;0;0;0;0;0;0;0;0;0;0;28;0;0
CHIRCAR;2020;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;300017985;1;3;3;1603;4070;1964;827;0;1137;1;0;0;2;2;0;250;42;;;46;0;0
CHIRCAR;2020;300782117;CHU NIMES CAREMEAU;300780038;1;3;3;1971;5146;2233;707;0;1526;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;1;1;1;106;405;113;6;107;0;0;1;0;2;4;0;0;0;0;;;0;0
CHIRCAR;2020;310026927;CL CAPIO LA CROIX DU SUD;310026794;1;2;;1010;3173;1151;107;0;1044;0;0;0;;;0;0;;0;;16;0;0
CHIRCAR;2020;310780259;CL PASTEUR;310000096;1;4;4;6260;10911;7272;2813;2;4457;1;0;0;5;5;5;1283;;1128;38;132;2470;10329
CHIRCAR;2020;310781000;CL DES CEDRES;310788880;1;1;1;873;2160;959;80;0;879;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;1;2;3;4025;12286;4646;1356;1;3289;1;0;1;4;4;3;1759;;1421;25;76;1126;2605
CHIRCAR;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;1;1;1353;3734;1539;503;0;1036;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2020;330780081;CLINIQUE SAINT- AUGUSTIN;330000043;1;3;3;2333;6438;2927;1147;2;1778;1;0;0;3;3;0;2095;40;1923;34;46;1301;7485
CHIRCAR;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;1;2;2;1178;3547;1336;325;0;1011;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;330780503;HOPITAL PRIVE SAINT-MARTIN;330000308;1;0;1;1342;3558;1430;21;0;1409;0;0;0;0;0;0;0;;0;0;13;0;0
CHIRCAR;2020;330781352;HOPITAL SAINT-ANDRE - CHU;330781196;1;;1;118;569;131;95;0;36;0;0;0;;;0;0;;0;;30;0;0
CHIRCAR;2020;330783648;HOPITAL HAUT-LEVEQUE - CHU;330781196;1;7;3;4063;12213;5496;2535;119;2842;1;1;1;5;7;554;2433;;2033;58;168;2424;13308
CHIRCAR;2020;340015502;CL DU MILLENAIRE;340000512;1;4;3;2379;7221;2617;835;0;1782;1;0;0;2;2;0;632;;572;25;60;1015;4817
CHIRCAR;2020;340780667;CL DU PARC;340000280;1;2;2;1289;4694;1509;415;0;1094;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;1;;3;2529;7962;3199;937;2;2260;1;0;1;3;4;2;794;;720;56;64;2315;12613
CHIRCAR;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;1;1;1;1130;3671;1336;288;0;1048;0;0;0;;;0;0;;0;0;22;0;0
CHIRCAR;2020;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;3;2;2624;9951;3090;1334;0;1756;1;0;1;5;4;3;1654;;1383;40;66;2726;11003
CHIRCAR;2020;350002192;POLYCLINIQUE ST LAURENT;220020739;1;3;2;1633;3937;1707;474;0;1233;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2020;360000137;CH CHATEAUROUX;360000053;1;1;1;216;1358;223;144;0;79;0;0;0;;;0;0;;0;;3;0;0
CHIRCAR;2020;370000093;NCT+ ST GATIEN ALLIANCE - ET;370013468;1;4;2;1966;5436;2273;831;0;1442;1;0;0;2;2;0;548;42;528;6;;382;682
CHIRCAR;2020;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;0;0;0;0;0;0;0;0;0;1;0;2;2;249;0;;0;4;0;184;749
CHIRCAR;2020;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;1;0;3;3323;8575;3892;1447;3;2442;1;0;1;3;3;1;699;;630;8;54;670;2374
CHIRCAR;2020;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;1;1;;149;702;154;123;0;31;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;380000067;HOPITAL NORD - CHU38;380780080;1;3;2;2448;8585;2744;1328;25;1391;1;0;1;2;3;5;676;121;590;25;;800;6282
CHIRCAR;2020;380012658;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;380012609;1;;3;1227;3144;1293;108;0;1185;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;380786442;CLINIQUE BELLEDONNE;380798025;1;2;2;1290;2526;1566;451;0;1115;0;0;0;;;0;0;;0;;34;0;0
CHIRCAR;2020;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;1;2;1;783;2392;845;149;0;696;0;0;0;;;0;0;;0;;18;0;0
CHIRCAR;2020;410000020;CH BLOIS SIMONE VEIL;410000087;1;1;0;203;1099;210;183;0;27;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2020;420000010;CH DE ROANNE;420780033;1;1;0;184;745;198;173;0;25;0;0;0;;;0;0;;0;0;13;0;0
CHIRCAR;2020;420000234;CH DE FIRMINY;420780652;1;;;0;0;;;;;0;0;0;;;;;;;;;0;0
CHIRCAR;2020;420011413;HOPITAL PRIVE DE LA LOIRE;420011405;1;1;0;898;2961;964;303;0;661;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;420785354;HOPITAL NORD - CHU42;420784878;1;6;2;3051;9546;3441;1490;0;1951;1;0;0;2;5;6;937;256;741;10;57;650;3613
CHIRCAR;2020;440000016;CH DE SAINT NAZAIRE;440000057;1;2;1;1076;4047;1228;210;0;1018;0;0;0;;;0;0;;0;0;28;0;0
CHIRCAR;2020;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;1;1;0;159;866;172;3;147;22;0;1;1;1;2;0;0;;0;;;0;0
CHIRCAR;2020;440017598;CHU DE NANTES SITE LAENNEC;440000289;1;6;6;2558;9002;2892;1167;0;1725;1;0;1;5;6;1;2209;;1922;5;;51;312
CHIRCAR;2020;440041580;L'HOPITAL PRIVE DU CONFLUENT;440041572;1;0;4;2910;5895;3122;1631;0;1491;0;0;0;;;0;0;;0;0;40;0;0
CHIRCAR;2020;450000294;ORELIANCE - REINE BLANCHE;450000591;1;3;3;1794;5519;2042;538;0;1504;0;0;0;;;0;0;;0;;64;0;0
CHIRCAR;2020;450002613;CHR ORLÉANS - HÔPITAL DE LA SOURCE;450000088;1;0;2;1461;4630;1627;467;0;1160;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;470000027;CLINIQUE ESQUIROL-SAINT-HILAIRE;470014069;1;2;;1350;3521;1494;313;0;1181;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2020;470016049;GCS POLE DE SANTE DU VILLENEUVOIS;470016023;1;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;0;0
CHIRCAR;2020;490000049;CHR ANGERS SITE LARREY;490000031;1;3;1;1755;7213;2135;650;0;1485;1;0;0;2;4;5;824;179;772;15;51;687;3500
CHIRCAR;2020;490000262;CLINIQUE SAINT JOSEPH;490000171;1;2;;1607;4200;1934;1122;1;811;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;490000635;CH DE CHOLET;490000676;1;1;;151;655;230;54;;176;0;0;0;;;;;;;;;0;0
CHIRCAR;2020;500000187;CHPC - SITE CHERBOURG;500000013;1;1;1;190;782;208;113;0;95;1;0;0;1;0;0;1;0;0;17;16;0;0
CHIRCAR;2020;500000450;CH MEMORIAL - SAINT-LO;500000112;1;0;0;193;852;208;180;0;28;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;510002447;HOPITAL ROBERT DEBRE CHU REIMS;510000029;1;1;2;1765;6019;1944;715;0;1229;1;0;0;2;2;1;896;140;781;22;67;1311;5255
CHIRCAR;2020;510024979;POLYCLINIQUE REIMS - BEZANNES;510000532;1;2;3;2085;6612;2341;802;0;1539;0;0;0;0;0;0;0;0;0;0;34;0;0
CHIRCAR;2020;530000264;CENTRE HOSPITALIER DE LAVAL;530000371;1;1;;1010;3519;1693;111;0;1582;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;540000445;CLINIQUE AMBROISE PARE;540000890;1;2;2;2789;5940;3115;878;0;2237;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2020;540000478;CLINIQUE LOUIS PASTEUR;540003449;1;3;4;3189;6923;3326;399;0;2927;0;0;0;;;0;0;;0;;56;0;0
CHIRCAR;2020;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;1;3;3;2983;9929;3500;1336;1;2163;1;0;1;2;3;5;820;;604;24;73;1557;5929
CHIRCAR;2020;560000127;CHBA SITE DE VANNES;560023210;1;2;0;1549;3975;1639;436;0;1203;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;560000135;GHBS- HÔPITAL DU SCORFF;560005746;1;1;1;1580;4900;1666;525;0;1141;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;570000349;HOPITAL BEL AIR DE THIONVILLE - CHR;570005165;1;1;1;192;731;199;176;0;23;0;0;0;;;0;0;;0;;27;0;0
CHIRCAR;2020;570000646;HOPITAL-CLINIQUE CLAUDE BERNARD;570001115;1;1;2;1618;4175;1950;487;0;1463;1;0;0;;;0;660;126;396;17;23;815;5941
CHIRCAR;2020;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;1;5;5;3142;6823;3553;975;0;2578;1;0;0;3;3;0;381;137;257;16;58;674;3618
CHIRCAR;2020;580972693;HOPITAL PIERRE BEREGOVOY;580780039;1;1;0;1033;3969;1103;76;0;1027;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;590000337;CH DUNKERQUE;590781415;1;0;1;549;1485;596;47;0;549;0;0;0;;;0;0;;0;;26;0;0
CHIRCAR;2020;590000618;CH VALENCIENNES;590782215;1;1;2;1546;5706;3524;739;0;2785;0;0;0;;;0;0;;0;;46;0;0
CHIRCAR;2020;590001004;CH DOUAI DECHY;590783239;1;;;67;358;74;30;0;44;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;590008041;POLYCLINIQUE VAUBAN;590008033;1;2;0;1278;3093;1446;669;0;777;1;0;0;;;0;0;;0;;46;0;0
CHIRCAR;2020;590780268;HOPITAL PRIVÉ LE BOIS;590053955;1;1;1;1330;3662;1704;498;0;1206;1;0;0;2;2;0;1313;;1094;20;23;993;4717
CHIRCAR;2020;590780284;GPT HOPITAUX INSTITUT CATHOLIQUE LILLE;590051801;1;1;1;1368;4688;1668;932;0;736;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;590780383;HOPITAL PRIVE LA LOUVIERE;590000204;1;;1;731;1668;749;99;0;650;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;590782553;HOPITAL PRIVE DE VILLENEUVE D'ASCQ;590000741;1;1;;417;1078;434;95;0;339;1;0;0;;;0;7;;0;;29;0;0
CHIRCAR;2020;590787586;HOP CARDIOLOGIQUE CHR LILLE;590780193;1;0;4;2716;9133;3119;1047;94;1978;1;1;1;4;4;34;1890;;1542;52;105;1451;10266
CHIRCAR;2020;590801106;HOPITAL VICTOR PROVO;590782421;1;2;1;777;3018;858;277;0;581;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;590804696;HOPITAL GUY CHATILIEZ CH TOURCOING;590781902;1;0;0;0;0;171;0;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;600000194;CH BEAUVAIS;600100713;1;;1;670;2051;752;63;0;689;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;600000467;CH GHPSO CREIL;600101984;1;1;;871;2426;1039;156;0;883;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;600113476;CH CHICN COMPIÈGNE;600100721;1;1;1;601;2355;643;237;0;406;0;0;0;;;;;;;;30;0;0
CHIRCAR;2020;610000051;CHICAM - SITE ALENCON;610780082;1;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;22;0;0
CHIRCAR;2020;620000257;CH LENS;620100685;1;1;3;1972;4364;2156;801;0;1355;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;620000653;CH BOULOGNE-SUR-MER;620103440;1;0;3;747;2065;800;245;0;555;0;0;0;0;0;0;0;0;0;0;27;0;0
CHIRCAR;2020;620025346;POLYCLINIQUE DE LA -CLARENCE-;620001834;1;0;0;0;0;38;17;;21;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;620033761;CARDIOLOGIE INTERVENTION ARTOIS;620023770;1;3;3;186;1122;380;109;0;271;1;0;0;2;2;0;686;;551;11;;528;2037
CHIRCAR;2020;620101501;HOPITAL PRIVE DE BOIS BERNARD;620000364;1;2;2;1712;3328;1909;606;0;1303;0;0;0;;;0;;;;;;;
CHIRCAR;2020;620118513;CENTRE MCO COTE D'OPALE;620002915;1;2;1;605;1231;630;60;0;570;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;630000404;HOPITAL GABRIEL MONTPIED - CHU63;630780989;1;6;3;3385;9221;4701;1843;17;2841;1;0;1;3;3;2;1279;168;1126;24;84;918;5557
CHIRCAR;2020;630780211;POLE SANTE REPUBLIQUE;630000107;1;4;4;1736;3701;2175;1329;0;846;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;640000600;CENTRE HOSPITALIER DE PAU;640781290;1;2;1;1853;2506;2024;969;0;1055;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;640016580;CENTRE DE CARDIOLOGIE DU PAYS BASQUE;640010658;1;1;1;2699;6127;6210;1192;0;1722;0;0;0;;;0;0;;0;;58;0;0
CHIRCAR;2020;640781225;CLINIQUE MEDICALE CARDIOLOGIQUE ARESSY;640000568;1;;2;926;2595;989;317;0;672;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;650000417;CH BIGORRE SITE GESPE TARBES;650783160;1;0;1;665;1627;709;224;0;478;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2020;650780679;POLYCL DE L'ORMEAU SITE CENTRE;650000243;1;;1;858;3208;1020;222;0;798;0;0;0;;;0;0;;0;;24;0;0
CHIRCAR;2020;660000084;CH PERPIGNAN;660780180;1;1;1;1232;4810;1397;421;0;976;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;660780784;CL ST PIERRE;660000407;1;3;2;2682;7571;3226;1133;0;2093;1;0;0;2;2;0;416;69;392;;41;0;0
CHIRCAR;2020;670000025;HOPITAL CIVIL / NOUVEL HOPITAL CIVIL;670780055;1;3;2;2700;8785;3180;1174;0;2006;1;0;1;3;4;171;1145;;1012;24;91;1352;6268
CHIRCAR;2020;670000157;CENTRE HOSPITALIER DE HAGUENAU;670780337;1;2;1;1519;4245;1631;412;0;1219;0;0;0;;;0;0;;0;;58;0;0
CHIRCAR;2020;670014430;GERC-INSTITUT CARDIOVASC DE STRASBOURG;670001734;1;3;1;1708;3067;2020;940;58;1022;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;670783273;HOPITAL DE HAUTEPIERRE;670780055;1;1;2;68;427;40;4;36;0;0;1;0;3;4;0;0;;0;;4;0;0
CHIRCAR;2020;680000320;CLINIQUE DIACONAT FONDERIE;680000643;1;0;2;1702;4745;1865;129;0;1736;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;680000684;HOPITAL LOUIS PASTEUR;680000973;1;;1;478;1890;552;73;0;479;0;0;0;;;0;0;;0;;34;0;0
CHIRCAR;2020;680001195;HOPITAL ALBERT SCHWEITZER;680000643;1;;2;1331;5515;1449;392;0;1057;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;680004546;HOPITAL EMILE MULLER;680020336;1;0;2;1648;5308;1809;440;0;1369;1;0;0;2;2;0;662;;381;27;49;506;3754
CHIRCAR;2020;690000575;CH NORD OUEST - VILLEFRANCHE;690782222;1;1;1;804;2441;871;205;0;666;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;690041124;MEDIPOLE HOPITAL PRIVE;690000724;1;5;3;2308;4545;2765;984;0;1781;1;0;0;2;3;1;841;;737;10;24;669;2970
CHIRCAR;2020;690780390;POLYCLINIQUE LYON-NORD;690000229;1;2;0;961;1747;1301;1270;0;31;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;690780648;CLINIQUE DE LA SAUVEGARDE;690036900;1;3;3;1828;3758;2101;780;0;1321;1;0;0;2;2;0;924;;820;24;15;730;4694
CHIRCAR;2020;690784152;HOPITAL CROIX-ROUSSE - HCL;690781810;1;1;;1852;4355;2040;784;0;1256;0;0;0;;;0;0;;0;;32;0;0
CHIRCAR;2020;690784186;HOPITAL LOUIS PRADEL - HCL;690781810;1;3;3;2834;8833;3203;1192;108;1903;1;1;1;;;689;1234;;966;80;121;1559;9594
CHIRCAR;2020;690793468;INFIRMERIE PROTESTANTE;690002068;1;0;3;1848;3274;2078;1198;0;880;1;0;0;2;2;0;647;;546;21;13;550;2942
CHIRCAR;2020;690805361;CH ST JOSEPH ST LUC;690805353;1;2;1;1641;3614;1880;556;0;1324;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2020;710978263;CH WILLIAM MOREY CHALON SUR SAONE;710780958;1;3;0;269;874;284;229;0;55;0;0;0;;;0;0;;0;;17;0;0
CHIRCAR;2020;710978289;CH LES CHANAUX MACON;710780263;1;1;1;959;2967;1086;84;0;1002;0;0;0;;;0;0;;0;;20;0;0
CHIRCAR;2020;720000033;CENTRE HOSPITALIER DU MANS;720000025;1;2;1;1226;3709;1292;384;0;908;0;0;0;;;0;0;;0;0;43;0;0
CHIRCAR;2020;720017748;CENTRE MEDICO-CHIRURGICAL DU MANS;720000561;1;1;1;1121;3830;1213;462;0;751;0;0;0;;;0;0;;0;;50;0;0
CHIRCAR;2020;730000031;CHMS CHAMBERY NH;730000015;1;1;1;1128;3627;1268;402;0;866;0;0;0;;;0;0;;0;;48;0;0
