BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2020;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;M1010;;1;0.65
SSR_P;2020;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;MAUT;;2;2
SSR_P;2020;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1180;2;;1.85
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1010;4;2;4.08
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1150;1;1;1.8
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1320;1;1;1.5
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N241P;10;2;10.8
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2430;;1;0.25
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2460;2;1;2.68
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2500;24;28;35.62
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2710;3;1;2.48
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N310H;;1;0.8
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N3120;1;2;1.9
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;NAUT;69;60;132.74
SSR_P;2020;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;NCINF;21;32;37.5
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1010;3;;3.95
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1120;;1;0.06
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1180;;1;0.39
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1320;;1;0.19
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;MAUT;1;3;1.37
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N241P;5;;4.57
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2430;;1;0.45
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2450;;1;0.29
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2460;3;1;3.73
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2500;21;3;23.74
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2710;;1;0.37
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N3120;;2;1.05
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;NAUT;29;10;34.27
SSR_P;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;NCINF;23;1;20.84
SSR_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1010;0;1;1.1
SSR_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1320;0;1;1.1
SSR_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N241P;1;2;2.15
SSR_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2500;6;2;7.54
SSR_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;1;0;1
SSR_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NCINF;6;3;4.94
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1010;1;;1
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1180;;1;0.05
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;MAUT;;1;0.05
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N241P;1;1;1.9
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2430;;1;0.4
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2460;;5;2.47
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2710;;1;0.4
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N3120;;1;0.9
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;NAUT;2;21;5.33
SSR_P;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;NCINF;;2;0.09
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1010;;1;0.17
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1180;1;;1
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1320;;5;2.23
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N241P;;5;2.16
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2430;;1;0.07
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2450;;2;0.23
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2460;;3;0.9
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2470;;1;0.5
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2500;17;10;21.46
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2710;;2;0.8
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N3120;;2;0.51
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;NAUT;8;4;9.5
SSR_P;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;NCINF;11;10;14.1
SSR_P;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;M1150;4;;0.65
SSR_P;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N241P;1;;0.26
SSR_P;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N2450;;1;0.13
SSR_P;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N2710;;1;0.14
SSR_P;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N3120;;1;0.13
SSR_P;2020;010780252;CRF L'ORCET;010783009;M1010;2;;2
SSR_P;2020;010780252;CRF L'ORCET;010783009;M1180;1;1;1.4
SSR_P;2020;010780252;CRF L'ORCET;010783009;MAUT;;1;0.4
SSR_P;2020;010780252;CRF L'ORCET;010783009;N241P;3;1;3.5
SSR_P;2020;010780252;CRF L'ORCET;010783009;N2450;;1;0.57
SSR_P;2020;010780252;CRF L'ORCET;010783009;N2460;3;1;3.4
SSR_P;2020;010780252;CRF L'ORCET;010783009;N2470;;1;0.5
SSR_P;2020;010780252;CRF L'ORCET;010783009;N2500;9;5;12.1
SSR_P;2020;010780252;CRF L'ORCET;010783009;N2710;;2;1
SSR_P;2020;010780252;CRF L'ORCET;010783009;N310H;;1;0.5
SSR_P;2020;010780252;CRF L'ORCET;010783009;N3120;;2;1
SSR_P;2020;010780252;CRF L'ORCET;010783009;NAUT;20;62;31.62
SSR_P;2020;010780252;CRF L'ORCET;010783009;NCINF;8;8;13
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;M1010;;2;2
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;M1180;2;2;2.55
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;MAUT;1;1;1.55
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;N241P;7;2;7.7
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;N2450;1;;1
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;N2460;5;3;7.15
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;N2470;;1;1
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;N2500;20;7;25.36
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;N2710;2;3;3.6
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;N310H;;1;0.5
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;N3120;2;0;2
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;NAUT;39;56;66.27
SSR_P;2020;010780278;CTRE DE R……DUCATION MANGINI;010783009;NCINF;21;2;22.4
SSR_P;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;M1150;0;;1.25
SSR_P;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;N241P;0;;0.78
SSR_P;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;N2450;;0;0.18
SSR_P;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;N2500;0;;5
SSR_P;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;N2710;;0;0.25
SSR_P;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;N310H;0;0;1.33
SSR_P;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;N3120;;0;0.33
SSR_P;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;NCINF;0;0;6.5
SSR_P;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;M1150;0;;1.63
SSR_P;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;N241P;0;;0.83
SSR_P;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;N2450;;0;0.33
SSR_P;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;N2500;0;;8.6
SSR_P;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;N2710;;0;0.45
SSR_P;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;N310H;0;;1.87
SSR_P;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;N3120;;0;0.33
SSR_P;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;NCINF;0;0;7.33
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M1140;2;;2
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;M3020;3;;3
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;MAUT;;;0.42
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N2450;1;1;2.78
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N2470;1;2;1.86
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N2500;16;4;16.74
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N2710;1;3;4.05
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N310H;17;7;17.36
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;N3120;2;0;1.72
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;NAUT;5;2;5.52
SSR_P;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;NCINF;17;2;16.09
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;M1140;;2;1.15
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;M1180;4;1;5.75
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;M3020;;1;0.2
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;MAUT;;2;0.41
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;N241P;17;3;14.19
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;N2430;4;;2.83
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;N2460;8;1;7.75
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;N2470;2;;2.22
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;N2500;40;42;41.23
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;N2710;5;1;2.91
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;N310H;22;5;16.58
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;N3120;2;;1.1
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;NAUT;50;34;41.02
SSR_P;2020;010780492;CRF ROMANS-FERRARI;360000707;NCINF;19;9;15.88
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;M1010;1;2;2.6
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;M1180;;1;0.4
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N241P;1;4;3
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N2450;;1;0.6
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N2460;;1;0.5
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N2500;11;3;13.3
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N2710;;1;0.3
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;N3120;;1;0.5
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;NAUT;17;16;25.7
SSR_P;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;NCINF;7;8;11.4
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;M1010;1;;1
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N241P;1;0;1
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N2450;0;1;0.2
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N2460;0;1;0.85
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N2500;16;5;6.75
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N2710;;1;0.18
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;N3120;0;1;0.5
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;NAUT;19;5;6.59
SSR_P;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;NCINF;6;2;8
SSR_P;2020;020000089;CH GUISE;020000022;M1010;0;1;0.97
SSR_P;2020;020000089;CH GUISE;020000022;M1320;1;0;1
SSR_P;2020;020000089;CH GUISE;020000022;N241P;1;0;0.35
SSR_P;2020;020000089;CH GUISE;020000022;N2460;1;0;0.85
SSR_P;2020;020000089;CH GUISE;020000022;N2500;21;7;24.84
SSR_P;2020;020000089;CH GUISE;020000022;N2710;1;0;0.32
SSR_P;2020;020000089;CH GUISE;020000022;N3120;0;2;0.59
SSR_P;2020;020000089;CH GUISE;020000022;NAUT;10;2;10.65
SSR_P;2020;020000089;CH GUISE;020000022;NCINF;7;6;11.37
SSR_P;2020;020000097;CH LA F»RE;020000048;M1320;1;1;1.5
SSR_P;2020;020000097;CH LA F»RE;020000048;N241P;1;;0.83
SSR_P;2020;020000097;CH LA F»RE;020000048;N2460;;1;0.85
SSR_P;2020;020000097;CH LA F»RE;020000048;N2500;11;;11.42
SSR_P;2020;020000097;CH LA F»RE;020000048;N310H;2;;1.16
SSR_P;2020;020000097;CH LA F»RE;020000048;N3120;1;;1
SSR_P;2020;020000097;CH LA F»RE;020000048;NAUT;4;1;5.16
SSR_P;2020;020000097;CH LA F»RE;020000048;NCINF;7;1;8.22
SSR_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;M1010;1;1;0.94
SSR_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N2450;1;;0.27
SSR_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N2460;1;;0.32
SSR_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N2500;13;1;4.72
SSR_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N2710;1;;0.22
SSR_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;N3120;;1;0.28
SSR_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;NAUT;3;1;3.49
SSR_P;2020;020000105;CH LE NOUVION-EN-THI…RACHE;020000055;NCINF;8;;3.85
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1180;2;1;2.4
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1320;1;1;1.4
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N241P;4;3;5.8
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2430;1;0;1
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2460;2;0;2.72
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2470;3;0;3
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2500;24;8;27.53
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2710;2;1;2.5
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;NAUT;12;4;12.01
SSR_P;2020;020000162;CH SAINT-QUENTIN;020000063;NCINF;25;6;27.51
SSR_P;2020;020000246;CH VERVINS;020000071;M1010;;3;1.5
SSR_P;2020;020000246;CH VERVINS;020000071;N241P;;2;0.22
SSR_P;2020;020000246;CH VERVINS;020000071;N2450;;1;0.5
SSR_P;2020;020000246;CH VERVINS;020000071;N2500;13;3;14.57
SSR_P;2020;020000246;CH VERVINS;020000071;N2710;;1;0.13
SSR_P;2020;020000246;CH VERVINS;020000071;N3120;;1;0.5
SSR_P;2020;020000246;CH VERVINS;020000071;NAUT;5;;4.16
SSR_P;2020;020000246;CH VERVINS;020000071;NCINF;8;2;8.72
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1010;4;3;4.97
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1040;;;0.06
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1070;1;1;1.7
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1150;1;1;1.69
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1180;2;4;4.17
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1190;;2;1.13
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1320;3;;3
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M3020;;;0.12
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;MAUT;;3;0.39
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N241P;29;1;26.2
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2430;3;;3.59
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2450;3;;3.38
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2460;10;2;11.44
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2470;1;;1
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2500;86;5;89.54
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N2710;6;;6.16
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N3120;4;1;4.64
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;NAUT;90;3;93.07
SSR_P;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;NCINF;114;12;130.14
SSR_P;2020;020000394;CH LAON;020000253;M1040;0;2;0.98
SSR_P;2020;020000394;CH LAON;020000253;N2450;0;3;0.48
SSR_P;2020;020000394;CH LAON;020000253;N2710;0;1;0.25
SSR_P;2020;020000394;CH LAON;020000253;N310H;1;1;1.08
SSR_P;2020;020000394;CH LAON;020000253;NAUT;1;0;1
SSR_P;2020;020000394;CH LAON;020000253;NCINF;1;2;1.87
SSR_P;2020;020000519;CH SOISSONS;020000261;M1010;1;;1
SSR_P;2020;020000519;CH SOISSONS;020000261;M1320;2;;2
SSR_P;2020;020000519;CH SOISSONS;020000261;N241P;0;0;0.5
SSR_P;2020;020000519;CH SOISSONS;020000261;N2430;0;0;0.1
