BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N4130;10;2;10.31;;;;
IMAGES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NAUT;1;1;1.3;;;;
IMAGES_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;M1160;0;0;0.09;0;0;0;0
IMAGES_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N4130;4;0;3.23;0;1;;
IMAGES_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NAUT;3;5;3.49;;;;
IMAGES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1160;1;3;3.58;;;;
IMAGES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N4130;13;13;21.6;;;;
IMAGES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N4160;1;0;1;;;;
IMAGES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;10;2;10.04;;;;
IMAGES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1160;6;2;3.46;;1;;
IMAGES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N4130;13;1;11.71;;;;
IMAGES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;5;2;5.65;;;;
IMAGES_P;2020;060000486;CH SAINT ELOI DE SOSPEL;060780905;N4130;;1;0.6;0;0;;
IMAGES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1160;8;1;8.2;0;1;;
IMAGES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N4130;32;2;33.9;0;1;;
IMAGES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N4160;1;;1;;;;
IMAGES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;33;1;34.24;;;;
IMAGES_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1160;5;4;7.3;;;;
IMAGES_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1210;7;1;7.13;;;;
IMAGES_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;MAUT;9;1;1.39;;;;
IMAGES_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4130;28;1;29.54;;;;
IMAGES_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4160;3;;1.55;;;;
IMAGES_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;NAUT;22;1;19.36;;;;
IMAGES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M1160;6;2;6.95;0;1;0;0
IMAGES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N4130;24;4;29.9;;;;
IMAGES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N4160;;1;0.2;;;;
IMAGES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;7;9;11.34;;;;
IMAGES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;M1160;4;1;4.5;0;1;;
IMAGES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N4130;14;1;14.5;1;0;;
IMAGES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N4160;1;;1;;;;
IMAGES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;6;1;6.3;;;;
IMAGES_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;M1160;;1;0.2;0;0;0;0
IMAGES_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4130;1;;1;0;0;;
IMAGES_P;2020;060780459;CRF ORSAC MONT FLEURI;010783009;N4130;;1;0.23;0;0;;
IMAGES_P;2020;060780590;CLINIQUE DU PALAIS;060000270;M1160;;;;;1;0;0
IMAGES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;M1160;;14;2.8;0;1;0;0
IMAGES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N4130;14;;14;0;1;;
IMAGES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;NAUT;10;;7.46;;;;
IMAGES_P;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;N4130;3;;2.21;;;;
IMAGES_P;2020;060780996;CHS SAINTE MARIE NICE;630786754;N4130;1;;1.02;0;0;;
IMAGES_P;2020;060780996;CHS SAINTE MARIE NICE;630786754;N4160;;1;0.2;;;;
IMAGES_P;2020;060781200;CLINIQUE SAINT ANTOINE;060000635;M1160;;14;1;0;1;0;0
IMAGES_P;2020;060781200;CLINIQUE SAINT ANTOINE;060000635;N4130;2;;2;0;1;;
IMAGES_P;2020;060781200;CLINIQUE SAINT ANTOINE;060000635;NAUT;1;;1;;;;
IMAGES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M1160;13;9;14.24;1;0;;
IMAGES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;MAUT;2;3;2.86;;;;
IMAGES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N4130;70;22;77.8;;;;
IMAGES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NAUT;48;8;51.66;;;;
IMAGES_P;2020;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;M1160;0;0;0.29;0;0;;
IMAGES_P;2020;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;N4130;1;1;1.05;;;;
IMAGES_P;2020;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;NAUT;2;;2;;;;
IMAGES_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1160;4;6;4.92;0;1;;
IMAGES_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1210;3;0;3;0;0;;
IMAGES_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MAUT;2;1;2.22;;;;
IMAGES_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N4130;25;5;28.06;0;1;;
IMAGES_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;NAUT;40;2;36.8;;;;
IMAGES_P;2020;060789674;CENTRE HELIO MARIN;130037815;N4130;;1;1.33;0;0;;
IMAGES_P;2020;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;N4130;2;1;2.25;0;1;;
IMAGES_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N4130;3;;2.69;0;1;;
IMAGES_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;N4160;1;;1;;;;
IMAGES_P;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;NAUT;7;;6.41;;;;
IMAGES_P;2020;060798881;MAISON DE CONVALESCENCE LA SERENA;060798873;M1160;;6;0.1;0;0;0;0
IMAGES_P;2020;060798881;MAISON DE CONVALESCENCE LA SERENA;060798873;N4130;;4;0.1;0;0;;
IMAGES_P;2020;060800174;FONDATION LENVAL;060800174;M1160;3;36;4.99;0;1;1;1
IMAGES_P;2020;060800174;FONDATION LENVAL;060800174;N4130;5;15;12.59;0;1;;
IMAGES_P;2020;060800174;FONDATION LENVAL;060800174;N4160;;1;0.5;;;;
IMAGES_P;2020;060800174;FONDATION LENVAL;060800174;NAUT;2;4;4.33;;;;
IMAGES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;M1160;3;;2.18;;;;
IMAGES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N4130;6;2;7.19;;;;
IMAGES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N4160;1;;1.3;;;;
IMAGES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;NAUT;11;2;9.73;;;;
IMAGES_P;2020;070000070;CH DU CHEYLARD;070780150;N4130;;1;0.8;0;0;;
IMAGES_P;2020;070000096;HOPITAL DE MOZE;070780184;M1160;;5;1;0;0;0;0
IMAGES_P;2020;070000096;HOPITAL DE MOZE;070780184;N4130;;1;0.8;0;0;;
IMAGES_P;2020;070000096;HOPITAL DE MOZE;070780184;NAUT;;2;1.6;;;;
IMAGES_P;2020;070000179;CH ARDECHE NORD;070780358;M1160;5;1;5.4;0;1;0;
IMAGES_P;2020;070000179;CH ARDECHE NORD;070780358;N4130;10;9;16.6;0;1;;
IMAGES_P;2020;070000179;CH ARDECHE NORD;070780358;N4160;1;0;0.8;;;;
IMAGES_P;2020;070000179;CH ARDECHE NORD;070780358;NAUT;8;4;10.54;;;;
IMAGES_P;2020;070000187;CH DE LAMASTRE;070780366;N4130;0;1;0.57;0;0;;
IMAGES_P;2020;070000195;CH DE TOURNON SUR RHONE;070780374;N4130;;1;0.3;0;0;;
IMAGES_P;2020;070000195;CH DE TOURNON SUR RHONE;070780374;NAUT;1;;0.1;;;;
IMAGES_P;2020;070000609;CH D'AUBENAS;070005566;M1160;5;2;6.09;;;;
IMAGES_P;2020;070000609;CH D'AUBENAS;070005566;N4130;17;2;16.1;;;;
IMAGES_P;2020;070000609;CH D'AUBENAS;070005566;N4160;1;;0.97;;;;
IMAGES_P;2020;070000609;CH D'AUBENAS;070005566;NAUT;10;4;12.44;;;;
IMAGES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1160;1;;1;0;1;1;1
IMAGES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N4130;8;2;9.45;0;1;;
IMAGES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;3;;3.6;;;;
IMAGES_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;M1160;0;3;1.54;;;;
IMAGES_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N4130;6;3;7.84;;;;
IMAGES_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;M1160;0;2;0.36;;;;
IMAGES_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N4130;0;2;1.18;;;;
IMAGES_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;NAUT;0;1;0.35;;;;
IMAGES_P;2020;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;M1160;;1;0.2;0;0;0;0
IMAGES_P;2020;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;N4130;1;3;2.24;0;0;;
IMAGES_P;2020;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;NAUT;;2;1.23;;;;
IMAGES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1160;5;4;6.35;0;1;0;1
IMAGES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1210;1;1;1.06;0;0;;
IMAGES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N4130;32;12;41.67;1;0;;
IMAGES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N4160;2;;1.97;;;;
IMAGES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NAUT;12;5;16.38;;;;
IMAGES_P;2020;090000019;CH ST LOUIS AX LES THERMES;090180019;M1160;0;1;0.3;0;0;0;1
IMAGES_P;2020;090000019;CH ST LOUIS AX LES THERMES;090180019;N4130;0;1;0.1;0;0;;
IMAGES_P;2020;090000175;CHIVAL SITE FOIX;090781774;M1160;6;1;5.99;0;1;0;0
IMAGES_P;2020;090000175;CHIVAL SITE FOIX;090781774;N4130;22;6;27.25;1;0;;
IMAGES_P;2020;090000175;CHIVAL SITE FOIX;090781774;N4160;;1;0.7;;;;
IMAGES_P;2020;090000175;CHIVAL SITE FOIX;090781774;NAUT;8;;8.07;;;;
IMAGES_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1160;;3;1.8;0;0;1;1
IMAGES_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N4130;9;2;10.7;0;1;;
IMAGES_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N4160;;1;0.3;;;;
IMAGES_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;NAUT;3;2;4.31;;;;
IMAGES_P;2020;090001629;CHIVAL SITE LAVELANET;090781774;M1160;;1;0.17;0;0;0;0
IMAGES_P;2020;090001629;CHIVAL SITE LAVELANET;090781774;N4130;3;1;3.5;0;0;;
IMAGES_P;2020;090001629;CHIVAL SITE LAVELANET;090781774;N4160;;1;0.1;;;;
IMAGES_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1160;8;1;8.66;0;1;0;0
IMAGES_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M1210;2;3;1.65;0;0;;
IMAGES_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N4130;34;13;45.73;1;1;;
IMAGES_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N4160;1;0;1.13;;;;
IMAGES_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;NAUT;22;8;24.72;;;;
IMAGES_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;M1160;;2;0.2;;;;
IMAGES_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N4130;4;1;4.76;;;;
IMAGES_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;NAUT;3;;4.1;;;;
IMAGES_P;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;M1160;5;0;5;0;1;0;0
IMAGES_P;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;N4130;8;0;8;0;1;;
IMAGES_P;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;N4160;1;0;1;;;;
IMAGES_P;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;NAUT;12;2;13.37;;;;
IMAGES_P;2020;110000023;CH CARCASSONNE;110780061;M1160;4;1;4.6;0;1;0;0
IMAGES_P;2020;110000023;CH CARCASSONNE;110780061;M1210;2;2;3.32;0;0;;
IMAGES_P;2020;110000023;CH CARCASSONNE;110780061;N4130;28;18;38.98;0;1;;
IMAGES_P;2020;110000023;CH CARCASSONNE;110780061;N4160;3;;2.51;;;;
IMAGES_P;2020;110000023;CH CARCASSONNE;110780061;NAUT;13;3;13.91;;;;
IMAGES_P;2020;110000049;CH JEAN PIERRE CASSABEL;110780087;M1160;;1;0.6;0;0;0;0
IMAGES_P;2020;110000049;CH JEAN PIERRE CASSABEL;110780087;N4130;6;1;6.8;0;1;;
IMAGES_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;M1160;4;0;4;0;1;0;0
IMAGES_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;N4130;22;;20.13;0;0;;
IMAGES_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;N4160;1;0;0.6;;;;
IMAGES_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;NAUT;8;;7.2;;;;
IMAGES_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;M1160;2;5;3.95;1;1;1;1
IMAGES_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;M1210;3;0;2.75;0;0;;
IMAGES_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N4130;21;12;25.59;;;;
IMAGES_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N4160;1;0;0.75;;;;
IMAGES_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;NAUT;3;9;6.22;;;;
IMAGES_P;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;M1160;1;0;1.66;0;1;;
IMAGES_P;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;N4130;10;3;12.62;0;1;;
IMAGES_P;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;N4160;1;0;1;;;;
IMAGES_P;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;NAUT;0;1;1.01;;;;
IMAGES_P;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;M1160;;4;1.84;0;;;
IMAGES_P;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N4130;7;2;8.6;;;;
IMAGES_P;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N4160;;1;0.9;;;;
IMAGES_P;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;NAUT;4;;4;;;;
IMAGES_P;2020;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;N4130;0;1;0.2;0;0;;
IMAGES_P;2020;120000096;CHI ESPALION ST LAURENT D'OLT;120780101;N4130;0;1;0.8;0;0;;
IMAGES_P;2020;120004569;CH MILLAU;120004528;M1160;2;1;2.44;0;1;1;0
IMAGES_P;2020;120004569;CH MILLAU;120004528;N4130;10;2;9.49;0;1;;
IMAGES_P;2020;120004569;CH MILLAU;120004528;N4160;1;;1;;;;
IMAGES_P;2020;120004569;CH MILLAU;120004528;NAUT;4;1;4;;;;
IMAGES_P;2020;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;M1160;;;;0;1;0;0
IMAGES_P;2020;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;N4130;3;4;5.13;0;1;;
IMAGES_P;2020;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;N4160;1;;0.84;;;;
IMAGES_P;2020;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;NAUT;3;3;4.75;;;;
IMAGES_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M1160;28;1;8.03;0;1;0;0
IMAGES_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;M1210;4;0;4;0;0;;
IMAGES_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;MAUT;0;2;1.3;;;;
IMAGES_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N4130;33;18;43.61;1;1;;
IMAGES_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;N4160;1;2;1.51;;;;
IMAGES_P;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;NAUT;19;14;25;;;;
IMAGES_P;2020;130000433;CHS MONTPERRIN;130781131;N4130;;1;0.5;0;0;;
IMAGES_P;2020;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;M1160;;1;0.1;0;0;;
IMAGES_P;2020;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;N4130;2;;2;0;0;;
IMAGES_P;2020;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;NAUT;1;;0.5;;;;
IMAGES_P;2020;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;M1160;3;2;3.23;0;1;;
IMAGES_P;2020;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N4130;14;7;18.86;0;1;;
IMAGES_P;2020;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;N4160;;1;0.9;;;;
IMAGES_P;2020;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;NAUT;1;;1;;;;
IMAGES_P;2020;130001225;HOPITAL DU PAYS SALONNAIS;130782634;M1160;2;2;3.15;1;1;0;1
IMAGES_P;2020;130001225;HOPITAL DU PAYS SALONNAIS;130782634;N4130;11;8;16.37;1;1;;
IMAGES_P;2020;130001225;HOPITAL DU PAYS SALONNAIS;130782634;N4160;1;;0.82;;;;
IMAGES_P;2020;130001225;HOPITAL DU PAYS SALONNAIS;130782634;NAUT;5;1;4.32;;;;
IMAGES_P;2020;130001647;INSTITUT PAOLI CALMETTES;130784127;M1160;14;3;13.62;0;1;0;0
IMAGES_P;2020;130001647;INSTITUT PAOLI CALMETTES;130784127;M1210;6;1;6.8;0;0;;
