BOR;AN;FI;RS;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;RADIO;4;4;17072;14;;15809;;0
IMAGES;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;SCAN;2;2;7874;26;;8718;224;1
IMAGES;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;VASC;2;2;1511;;;;;1
IMAGES;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;dtIRM2;1;1;928;;;3264;;
IMAGES;2020;060002102;CH LA PALMOSA DE MENTON;060791761;IRM;1;1;221;;;3528;;0
IMAGES;2020;060002102;CH LA PALMOSA DE MENTON;060791761;MAMM;1;1;;;;248;;
IMAGES;2020;060002102;CH LA PALMOSA DE MENTON;060791761;RADIO;2;2;3149;;;8375;;0
IMAGES;2020;060002102;CH LA PALMOSA DE MENTON;060791761;SCAN;1;1;3195;;;4794;;0
IMAGES;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;RADIO;1;1;465;;;1526;;
IMAGES;2020;060780459;CRF ORSAC MONT FLEURI;010783009;RADIO;1;1;356;;;;;0
IMAGES;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;CAM;3;;;;;;;
IMAGES;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;IRM;2;;;;;;;
IMAGES;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;MAMM;1;;;;;;;
IMAGES;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;RADIO;1;;;;;;;
IMAGES;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;SCAN;2;;;;;;;
IMAGES;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;VASC;2;;;;;;;
IMAGES;2020;060780590;CLINIQUE DU PALAIS;060000270;MAMM;1;;;;;;;
IMAGES;2020;060780590;CLINIQUE DU PALAIS;060000270;RADIO;2;;;;;;;0
IMAGES;2020;060780715;CLINIQUE SAINT GEORGE;060000361;IRM;2;2;209;;;21108;0;0
IMAGES;2020;060780715;CLINIQUE SAINT GEORGE;060000361;LITHO;1;1;170;;;;;
IMAGES;2020;060780715;CLINIQUE SAINT GEORGE;060000361;RADIO;2;2;16590;;;7259;;
IMAGES;2020;060780715;CLINIQUE SAINT GEORGE;060000361;SCAN;2;2;3825;;;23631;;0
IMAGES;2020;060780715;CLINIQUE SAINT GEORGE;060000361;VASC;5;5;1691;;;;;
IMAGES;2020;060780715;CLINIQUE SAINT GEORGE;060000361;dtIRM1;1;1;50;;;10563;;0
IMAGES;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;LITHO;1;;;;;;;
IMAGES;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;RADIO;2;;;;;;;
IMAGES;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;SCAN;1;;;;;;;
IMAGES;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;VASC;1;;;;;;;
IMAGES;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;RADIO;1;1;358;;;;;
IMAGES;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;IRM;1;1;981;;10571;5049;;0
IMAGES;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;SCAN;1;1;1644;;12298;1909;;0
IMAGES;2020;060780996;CHS SAINTE MARIE NICE;630786754;RADIO;1;1;755;;;;;0
IMAGES;2020;060781200;CLINIQUE SAINT ANTOINE;060000635;LITHO;1;1;28;;;;;
IMAGES;2020;060781200;CLINIQUE SAINT ANTOINE;060000635;RADIO;5;5;2190;;;1498;;
IMAGES;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;IRM;3;3;4685;187;113;9401;51;0
IMAGES;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;RADIO;8;8;34946;506;23;40576;1423;0
IMAGES;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SCAN;3;3;26096;1711;253;20170;851;1
IMAGES;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;VASC;2;2;1454;66;15;1208;22;1
IMAGES;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;dtIRM2;1;1;770;87;91;4903;;
IMAGES;2020;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;RADIO;1;1;2398;7;0;57;0;0
IMAGES;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;CAM;1;1;266;1082;26;2326;1;0
IMAGES;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;IRM;1;1;562;33;12;3744;5;0
IMAGES;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;RADIO;2;2;8577;7;0;1435;121;0
IMAGES;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SCAN;2;2;5713;75;141;6992;21;1
IMAGES;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TOMO;1;1;236;421;17;2788;4;0
IMAGES;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;VASC;1;1;3650;62;352;783;18;1
IMAGES;2020;060789674;CENTRE HELIO MARIN;130037815;RADIO;1;1;2497;;;;;
IMAGES;2020;060790177;CHU DE NICE CTRE CONVALESCENCE TENDE;060785011;RADIO;1;1;153;4;0;90;0;0
IMAGES;2020;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;RADIO;2;2;6343;;64;5;;0
IMAGES;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;CAM;1;;;;;;;
IMAGES;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;IRM;2;;;;;;;
IMAGES;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SCAN;2;;;;;;;
IMAGES;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;VASC;3;3;6719;66;0;0;0;1
IMAGES;2020;060798881;MAISON DE CONVALESCENCE LA SERENA;060798873;RADIO;1;1;500;;;;;1
IMAGES;2020;060800174;FONDATION LENVAL;060800174;IRM;1;1;62;511;;7757;;
IMAGES;2020;060800174;FONDATION LENVAL;060800174;SCAN;1;1;3;843;;7147;;
IMAGES;2020;070000013;CH DES VALS D'ARDECHE;070002878;MAMM;1;1;;;;1033;;
IMAGES;2020;070000013;CH DES VALS D'ARDECHE;070002878;RADIO;2;2;1175;;;7083;35;1
IMAGES;2020;070000013;CH DES VALS D'ARDECHE;070002878;SCAN;1;1;2557;;;4521;12;1
IMAGES;2020;070000070;CH DU CHEYLARD;070780150;RADIO;1;1;71;;;1955;;
IMAGES;2020;070000096;HOPITAL DE MOZE;070780184;RADIO;1;;;;;;;
IMAGES;2020;070000179;CH ARDECHE NORD;070780358;IRM;1;1;274;;;5030;;0
IMAGES;2020;070000179;CH ARDECHE NORD;070780358;MAMM;1;1;;;;1885;;
IMAGES;2020;070000179;CH ARDECHE NORD;070780358;RADIO;3;3;5957;;;17368;;0
IMAGES;2020;070000179;CH ARDECHE NORD;070780358;SCAN;1;1;1397;;;10117;;0
IMAGES;2020;070000187;CH DE LAMASTRE;070780366;RADIO;1;1;319;130;0;1805;0;0
IMAGES;2020;070000195;CH DE TOURNON SUR RHONE;070780374;RADIO;1;1;380;83;0;71;0;0
IMAGES;2020;070000609;CH D'AUBENAS;070005566;IRM;1;1;276;;956;4763;7;0
IMAGES;2020;070000609;CH D'AUBENAS;070005566;MAMM;1;1;;;;1015;;
IMAGES;2020;070000609;CH D'AUBENAS;070005566;RADIO;2;2;3351;;;21299;134;0
IMAGES;2020;070000609;CH D'AUBENAS;070005566;SCAN;1;1;2276;;944;6980;84;0
IMAGES;2020;070780424;CLINIQUE PASTEUR;070000245;IRM;2;;;;;;;
IMAGES;2020;070780424;CLINIQUE PASTEUR;070000245;MAMM;1;;;;;;;
IMAGES;2020;070780424;CLINIQUE PASTEUR;070000245;RADIO;4;;;;;;;
IMAGES;2020;070780424;CLINIQUE PASTEUR;070000245;SCAN;1;;;;;;;
IMAGES;2020;070780424;CLINIQUE PASTEUR;070000245;VASC;1;;;;;;;
IMAGES;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;RADIO;3;3;4369;;;7949;184;0
IMAGES;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;SCAN;1;1;3018;;;2384;132;0
IMAGES;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;MAMM;1;1;;;;70;;
IMAGES;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;RADIO;3;3;2878;;;9230;45;0
IMAGES;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;SCAN;1;1;1206;30;;6840;54;0
IMAGES;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;RADIO;2;2;1219;;;4171;6;0
IMAGES;2020;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;MAMM;1;1;;;;1449;;
IMAGES;2020;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;RADIO;2;2;92;;;2202;;0
IMAGES;2020;080000284;CENTRE HOSPITALIER DE FUMAY;080011174;SCAN;1;1;11;;;1284;;0
IMAGES;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;CAM;2;2;336;;12;3428;;0
IMAGES;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;IRM;2;2;1248;;25;6317;;0
IMAGES;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;LITHO;1;1;36;;;;;1
IMAGES;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;MAMM;1;1;;;;30;;
IMAGES;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;RADIO;7;7;17886;;50;28273;;0
IMAGES;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SCAN;2;2;8096;;18;6574;;1
IMAGES;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;VASC;1;1;82;;;618;;1
IMAGES;2020;090000019;CH ST LOUIS AX LES THERMES;090180019;RADIO;1;1;729;0;0;0;0;0
IMAGES;2020;090000175;CHIVAL SITE FOIX;090781774;IRM;1;1;527;5;4;6344;32;0
IMAGES;2020;090000175;CHIVAL SITE FOIX;090781774;RADIO;5;5;10680;57;15;20722;339;1
IMAGES;2020;090000175;CHIVAL SITE FOIX;090781774;SCAN;1;1;7845;231;4;10616;294;1
IMAGES;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;MAMM;1;1;;;;1380;;
IMAGES;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;RADIO;6;3;2481;;;13880;76;0
IMAGES;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SCAN;1;1;2087;;;5028;68;0
IMAGES;2020;090001629;CHIVAL SITE LAVELANET;090781774;RADIO;2;2;511;0;0;3809;19;0
IMAGES;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;CAM;2;2;336;;;823;4;
IMAGES;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;IRM;2;2;1782;20;;4756;5;0
IMAGES;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;MAMM;2;2;;;;2928;;
IMAGES;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;RADIO;3;3;18374;476;;23803;366;1
IMAGES;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SCAN;2;2;16892;289;;9598;530;1
IMAGES;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TOMO;1;1;248;9;;571;3;
IMAGES;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;VASC;1;1;1407;;;;;1
IMAGES;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;dtIRM2;1;1;1249;11;;3320;;0
IMAGES;2020;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;IRM;2;;;;;;;
IMAGES;2020;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;SCAN;1;;;;;;;
IMAGES;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;IRM;1;1;28;7;0;702;0;0
IMAGES;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;RADIO;3;3;760;55;370;9333;153;0
IMAGES;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;SCAN;1;1;1905;220;58;4339;91;0
IMAGES;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;IRM;1;1;105;;;17701;;0
IMAGES;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;LITHO;1;1;45;;;;;
IMAGES;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;RADIO;5;5;352;;;31025;11;
IMAGES;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;SCAN;1;1;2095;;;19950;;0
IMAGES;2020;110000023;CH CARCASSONNE;110780061;CAM;2;2;358;8;2;2201;0;0
IMAGES;2020;110000023;CH CARCASSONNE;110780061;IRM;2;2;1786;30;2;4340;20;0
IMAGES;2020;110000023;CH CARCASSONNE;110780061;RADIO;4;4;12217;48;2;15332;512;0
IMAGES;2020;110000023;CH CARCASSONNE;110780061;SCAN;2;2;10471;181;0;7729;360;0
IMAGES;2020;110000023;CH CARCASSONNE;110780061;VASC;2;2;1429;0;0;0;7;1
IMAGES;2020;110000023;CH CARCASSONNE;110780061;dtIRM1;1;1;0;0;0;772;;0
IMAGES;2020;110000049;CH JEAN PIERRE CASSABEL;110780087;MAMM;1;1;;;;599;;
IMAGES;2020;110000049;CH JEAN PIERRE CASSABEL;110780087;RADIO;2;2;850;;;11316;;
IMAGES;2020;110000049;CH JEAN PIERRE CASSABEL;110780087;SCAN;1;1;900;;;5805;;
IMAGES;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;IRM;1;1;1239;;;4415;;0
IMAGES;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;MAMM;1;1;;;;837;;
IMAGES;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;RADIO;3;3;10652;;;18374;;1
IMAGES;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;SCAN;1;1;6580;;;6366;;1
IMAGES;2020;110780228;POLYCL LE LANGUEDOC;110000114;IRM;1;;;;;;;
IMAGES;2020;110780228;POLYCL LE LANGUEDOC;110000114;RADIO;3;;;;;;;
IMAGES;2020;110780228;POLYCL LE LANGUEDOC;110000114;SCAN;1;;;;;;;
IMAGES;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;CAM;1;1;244;0;0;3011;0;
IMAGES;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;IRM;1;1;1208;0;0;4835;79;0
IMAGES;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;MAMM;1;1;;;;2033;;
IMAGES;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;RADIO;3;3;8720;0;0;22862;371;1
IMAGES;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SCAN;1;1;5214;0;0;9723;323;1
IMAGES;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;TOMO;1;1;45;0;0;2262;0;
IMAGES;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;VASC;2;2;2407;0;0;193;7;1
IMAGES;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;IRM;1;1;108;;;4239;;
IMAGES;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;MAMM;1;1;;;;713;;
IMAGES;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;RADIO;10;10;2545;;;17844;;
IMAGES;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;SCAN;1;1;1373;;;6465;;
IMAGES;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;RADIO;2;2;1759;0;;6554;61;
IMAGES;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;SCAN;1;1;1000;0;;3360;17;
IMAGES;2020;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;RADIO;1;1;300;;;170;;
IMAGES;2020;120000096;CHI ESPALION ST LAURENT D'OLT;120780101;RADIO;1;1;382;;;338;;
IMAGES;2020;120004569;CH MILLAU;120004528;IRM;1;1;263;;25;4803;6;0
IMAGES;2020;120004569;CH MILLAU;120004528;MAMM;1;1;;;;1485;;
IMAGES;2020;120004569;CH MILLAU;120004528;RADIO;2;2;2697;;;13559;;0
