BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2020;020000519;CH SOISSONS;020000261;112AX;;;;8;;8;;;;;
DIALYSE;2020;020000519;CH SOISSONS;020000261;112BA;;;;15;;9648;;;;;
DIALYSE;2020;020000519;CH SOISSONS;020000261;1140X;;;;11;;;;;;;
DIALYSE;2020;020000519;CH SOISSONS;020000261;TOT;0;;;;;;572;;;;
DIALYSE;2020;020001772;UNITE DE DIALYSE DE CHAUNY;590799995;1130X;;;;12;47;7338;;;;;
DIALYSE;2020;020001913;UNITE DE DIALYSE DE LAON;590799995;1130X;;;;12;46;6040;;;;;
DIALYSE;2020;020001913;UNITE DE DIALYSE DE LAON;590799995;1140X;;;;0;0;542;;;;;
DIALYSE;2020;020006441;UNITE DIALYSE DE COURMELLES;590799995;1130X;;;;8;14;2064;;;;;
DIALYSE;2020;020006441;UNITE DIALYSE DE COURMELLES;590799995;1140X;;;;6;5;714;;;;;
DIALYSE;2020;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;112AX;;;;1;;184;;;;;
DIALYSE;2020;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;1130X;;;;24;113;16196;;;;;
DIALYSE;2020;020016242;UNITE DE DIALYSE DE GUISE;590799995;1130X;;;;8;33;4944;;;;;
DIALYSE;2020;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1130X;;;;6;14;2095;;;;;
DIALYSE;2020;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1140X;;;;2;2;338;;;;;
DIALYSE;2020;030000061;CH DE MOULINS;030780092;112BA;;;;12;49;6943;;;;;
DIALYSE;2020;030000061;CH DE MOULINS;030780092;TOT;0;;;;;;660;1;;32;0
DIALYSE;2020;030000079;CH DE MONTLUCON;030780100;112BA;;;;16;61;7902;;;;;
DIALYSE;2020;030000079;CH DE MONTLUCON;030780100;122BA;;;;2;0;;;;30;;
DIALYSE;2020;030000079;CH DE MONTLUCON;030780100;TOT;0;;;;;;624;;;38;3
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;112AX;;;;1;0;105;;;;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;112BA;;;;8;41;7553;;;;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1130X;;;;4;28;4143;;;;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1140X;;;;6;13;2212;;;;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1150A;;;;7;0;1592;;;;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1210;;;;;15;;;;2897;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;121AA;;;;;15;;;;2279;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;121CA;;;;3;;;;;618;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;122AX;;;;2;;;;;553;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;122BA;;;;4;1;;;;1054;;
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;TOT;0;;;;;;1228;;;31;14
DIALYSE;2020;030000087;CH JACQUES LACARIN VICHY;030780118;VACAN;;;;1;0;0;;;;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;112AX;;;;1;3;239;;;;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1130X;;;;8;23;3174;;;;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1140X;;;;4;18;2865;;;;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1150A;;;;1;1;360;;;;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;1210;;;;;17;;;;898;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;121AA;;;;;16;;;;841;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;121CA;;;;3;1;;;;57;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;122AX;;;;0;1;;;;82;;
DIALYSE;2020;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;TOT;0;;;;;;;;;8;1
DIALYSE;2020;030003719;UNITE DE DIALYSE DE MOULINS;630000990;112AX;;;;1;0;140;;;;;
DIALYSE;2020;030003719;UNITE DE DIALYSE DE MOULINS;630000990;1130X;;;;6;32;4679;;;;;
DIALYSE;2020;030003719;UNITE DE DIALYSE DE MOULINS;630000990;1140X;;;;1;0;130;;;;;
DIALYSE;2020;030003719;UNITE DE DIALYSE DE MOULINS;630000990;TOT;0;;;;;;;;;20;0
DIALYSE;2020;030003768;UNITE DE DIALYSE DE VICHY;630000990;112AX;;;;1;2;105;;;;;
DIALYSE;2020;030003768;UNITE DE DIALYSE DE VICHY;630000990;1130X;;;;3;28;4143;;;;;
DIALYSE;2020;030003768;UNITE DE DIALYSE DE VICHY;630000990;1140X;;;;6;13;2212;;;;;
DIALYSE;2020;030003768;UNITE DE DIALYSE DE VICHY;630000990;1150A;;;;5;6;1598;;;;;
DIALYSE;2020;030003768;UNITE DE DIALYSE DE VICHY;630000990;1210;;;;;54;;;;2680;;
DIALYSE;2020;030003768;UNITE DE DIALYSE DE VICHY;630000990;121AA;;;;;44;;;;2146;;
DIALYSE;2020;030003768;UNITE DE DIALYSE DE VICHY;630000990;121CA;;;;8;10;;;;534;;
DIALYSE;2020;030003768;UNITE DE DIALYSE DE VICHY;630000990;TOT;0;;;;;;;;;25;14
DIALYSE;2020;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;920033503;1130X;;;;7;12;1489;;;;;
DIALYSE;2020;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;112BA;;;;24;92;13942;;;;;
DIALYSE;2020;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;1130X;;;;8;31;4676;;;;;
DIALYSE;2020;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;1150A;;;;1;1;252;;;;;
DIALYSE;2020;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;TOT;1;2;19;;;;422;1;;26;0
DIALYSE;2020;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;1130X;;;;4;4;614;;;;;
DIALYSE;2020;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;1140X;;;;4;5;713;;;;;
DIALYSE;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;112BA;;;;8;44;3715;;;;;
DIALYSE;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1130X;;;;3;2;466;;;;;
DIALYSE;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1140X;;;;3;3;386;;;;;
DIALYSE;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TOT;0;;;;;;135;;;;
DIALYSE;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;112AX;;;;1;1;6;;;;;
DIALYSE;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;112BA;;;;12;53;7130;;;;;
DIALYSE;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;122AX;;;;1;;;;;50;;
DIALYSE;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;TOT;0;;;;;;342;1;;24;4
DIALYSE;2020;050003359;AGDUC UNITE DE DIALYSE MED BRIANCON;380793802;1130X;;;;3;2;471;;;;;
DIALYSE;2020;050003359;AGDUC UNITE DE DIALYSE MED BRIANCON;380793802;1140X;;;;3;3;382;;;;;
DIALYSE;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1130X;;;;6;25;3655;;;;;
DIALYSE;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1140X;;;;2;5;855;;;;;
DIALYSE;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1150A;;;;0;0;102;;;;;
DIALYSE;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;1210;;;;;9;;;;252;;
DIALYSE;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;121AA;;;;;6;;;;186;;
DIALYSE;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;121CA;;;;3;3;;;;66;;
DIALYSE;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;122BA;;;;1;0;;;;4;;
DIALYSE;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;TOT;0;;;;;;;;;;
DIALYSE;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TOT;0;;;;;;3;;;;
DIALYSE;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;112BA;;;;15;42;6502;;;;;
DIALYSE;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;1210;;;;;;;;;735;;
DIALYSE;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;121AA;;;;;;;;;309;;
DIALYSE;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;121CA;;;;1;;;;;426;;
DIALYSE;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;122BA;;;;1;2;;;;23;;
DIALYSE;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;TOT;0;;;;;;693;1;;37;5
DIALYSE;2020;060010949;AGAHTIR UDM ANTIBES;060790540;1130X;;;;12;58;9684;;;;;
DIALYSE;2020;060010949;AGAHTIR UDM ANTIBES;060790540;TOT;0;;;;;;0;;;27;0
DIALYSE;2020;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;060790540;1130X;;;;2;8;1193;;;;;
DIALYSE;2020;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;060790540;1140X;;;;8;27;4130;;;;;
DIALYSE;2020;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;112BA;;;;15;63;9459;;;;;
DIALYSE;2020;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;1130X;;;;16;78;11789;;;;;
DIALYSE;2020;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;060790540;TOT;0;;;;;;0;2;;;
DIALYSE;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112BA;;;;22;102;16426;;;;;
DIALYSE;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;112BE;;;;0;;1;;;;;
DIALYSE;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1130X;;;;2;;161;;;;;
DIALYSE;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1210;;;;;1;;;;0;;
DIALYSE;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;121AA;;;;;1;;;;;;
DIALYSE;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;122AX;;;;1;3;;;;0;;
DIALYSE;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;122BA;;;;1;1;;;;50;;
DIALYSE;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOT;0;;;;;;740;4;;35;7
DIALYSE;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;112BA;;;;0;;15;;;;;
DIALYSE;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;112BE;;;;2;8;445;;;;;
DIALYSE;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1210;;;;;2;;;;;;
DIALYSE;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;121CE;;;;;2;;;;;;
DIALYSE;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;122AX;;;;;1;;;;0;;
DIALYSE;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;122BE;;;;;2;;;;;;
DIALYSE;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TOT;0;;;;;;131;0;;1;0
DIALYSE;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;VACAN;;;;1;1;;;;;;
DIALYSE;2020;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;112AX;;;;2;0;0;;;;;
DIALYSE;2020;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;112BA;;;;28;166;25338;;;;;
DIALYSE;2020;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;1130X;;;;16;71;10701;;;;;
DIALYSE;2020;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;1150A;;;;1;0;0;;;;;
DIALYSE;2020;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;TOT;0;;;;;;0;1;;68;
DIALYSE;2020;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;1150A;;;;3;3;880;;;;;
DIALYSE;2020;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;1210;;;;;27;;;;1478;;
DIALYSE;2020;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121AA;;;;;19;;;;843;;
DIALYSE;2020;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121CA;;;;12;8;;;;592;;
DIALYSE;2020;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;121CE;;;;1;0;;;;43;;
DIALYSE;2020;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;TOT;0;;;;;;;;;83;12
DIALYSE;2020;060792736;AGAHTIR AUTODIALYSE NICE;060790540;1140X;;;;10;36;5406;;;;;
DIALYSE;2020;060792736;AGAHTIR AUTODIALYSE NICE;060790540;VACAN;;;;;;156;;;;;
DIALYSE;2020;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;1140X;;;;12;19;2772;;;;;
DIALYSE;2020;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;060790797;TOT;0;;;;;;;0;;2;
DIALYSE;2020;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;112AX;;;;;;1;;;;;
DIALYSE;2020;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;112BA;;;;19;80;13230;;;;;
DIALYSE;2020;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;TOT;0;;;;;;1617;1;;27;0
DIALYSE;2020;060801016;AGAHTIR AUTODIALYSE MANDELIEU;060790540;1140X;;;;5;16;2535;;;;;
DIALYSE;2020;070000179;CH ARDECHE NORD;070780358;112BA;;;;13;57;8139;;;;;
DIALYSE;2020;070000179;CH ARDECHE NORD;070780358;1130X;;;;8;25;4452;;;;;
DIALYSE;2020;070000179;CH ARDECHE NORD;070780358;122AX;;;;1;;;;;1;;
DIALYSE;2020;070000179;CH ARDECHE NORD;070780358;122BA;;;;2;;;;;49;;
DIALYSE;2020;070000179;CH ARDECHE NORD;070780358;TOT;0;;;;;;1544;;;;
DIALYSE;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;112BA;;;;12;34;5240;;;;;
DIALYSE;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;1130X;;;;6;12;1595;;;;;
DIALYSE;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;1210;;;;;6;;;;340;;
DIALYSE;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;121AA;;;;;3;;;;189;;
DIALYSE;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;121CA;;;;3;3;;;;151;;
DIALYSE;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;122AX;;;;1;0;;;;78;;
DIALYSE;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;122BA;;;;1;0;;;;5;;
DIALYSE;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;TOT;0;;;;;;;1;;12;0
DIALYSE;2020;070786231;AURAL UNITE DIALYSE CH AUBENAS;690796552;1140X;;;;6;14;1606;;;;;
DIALYSE;2020;070786231;AURAL UNITE DIALYSE CH AUBENAS;690796552;TOT;0;;;;;;;1;;;
DIALYSE;2020;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;112AX;;;;2;2;253;;;;;
DIALYSE;2020;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1130X;;;;4;8;1127;;;;;
DIALYSE;2020;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1140X;;;;6;8;1417;;;;;
DIALYSE;2020;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1150A;;;;2;1;253;;;;;
DIALYSE;2020;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;1210;;;;;13;;;;533;;
DIALYSE;2020;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;121AA;;;;;5;;;;210;;
DIALYSE;2020;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;121CA;;;;12;8;;;;323;;
DIALYSE;2020;070786249;AURAL UNITE DIALYSE CH ANNONAY;690796552;TOT;0;;;;;;;;;;
DIALYSE;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;112AX;;;;2;1;229;;;;;
DIALYSE;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;112BA;;;;23;87;12193;;;;;
DIALYSE;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1150A;;;;2;2;;;;;;
DIALYSE;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;122AX;;;;1;;;;;1;;
DIALYSE;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;TOT;0;;;;;;863;3;;44;5
DIALYSE;2020;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;1140X;;;;12;9;1371;;;;;
DIALYSE;2020;080005846;UNITE D AUTODIALYSE DE BAZEILLES;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2020;080006034;UNITE D AUTO DIALYSE DE CHARLEVILLE;510000953;1140X;;;;12;15;2437;;;;;
DIALYSE;2020;080006034;UNITE D AUTO DIALYSE DE CHARLEVILLE;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2020;080008568;UNITE DE DIALYSE MEDICALISEE;510000953;1130X;;;;10;36;5628;;;;;
DIALYSE;2020;080008568;UNITE DE DIALYSE MEDICALISEE;510000953;1150A;;;;2;2;357;;;;;
DIALYSE;2020;080008568;UNITE DE DIALYSE MEDICALISEE;510000953;1210;;;;;16;;;;3148;;
DIALYSE;2020;080008568;UNITE DE DIALYSE MEDICALISEE;510000953;121AA;;;;;12;;;;2341;;
DIALYSE;2020;080008568;UNITE DE DIALYSE MEDICALISEE;510000953;121CA;;;;4;4;;;;807;;
DIALYSE;2020;080008568;UNITE DE DIALYSE MEDICALISEE;510000953;TOT;0;;;;;;;1;;11;8
DIALYSE;2020;090000175;CHIVAL SITE FOIX;090781774;112BA;;;;12;54;7479;;;;;
DIALYSE;2020;090000175;CHIVAL SITE FOIX;090781774;122AX;;;;1;;;;;19;;
DIALYSE;2020;090000175;CHIVAL SITE FOIX;090781774;122BA;;;;1;;;;;11;;
DIALYSE;2020;090000175;CHIVAL SITE FOIX;090781774;TOT;0;;;;;;857;2;;;
DIALYSE;2020;090002833;AAIR UAD UDM PAMIERS;310000633;1130X;;;;9;31;4333;;;;;
DIALYSE;2020;090002833;AAIR UAD UDM PAMIERS;310000633;1140X;;;;3;13;1689;;;;;
DIALYSE;2020;090002833;AAIR UAD UDM PAMIERS;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2020;090784125;AAIR UAD LAVELANET;310000633;1140X;;;;6;12;1837;;;;;
DIALYSE;2020;090784125;AAIR UAD LAVELANET;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2020;090784679;AAIR UAD ST LIZIER;310000633;1140X;;;;6;10;2218;;;;;
DIALYSE;2020;090784679;AAIR UAD ST LIZIER;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;112AX;;;;1;;106;;;;;
DIALYSE;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;112BA;;;;20;87;12282;;;;;
DIALYSE;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1210;;;;;;;;;78;;
DIALYSE;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;121AA;;;;;;;;;78;;
DIALYSE;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;122AX;;;;1;;;;;78;;
DIALYSE;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;122BA;;;;1;1;;;;843;;
DIALYSE;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TOT;0;;;;;;2360;1;;52;15
DIALYSE;2020;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;1140X;;;;12;16;2541;;;;;
DIALYSE;2020;100005958;UNITE D'AUTO-DIALYSE DE ROMILLY;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2020;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1130X;;;;15;42;6823;;;;;
DIALYSE;2020;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1140X;;;;16;40;5841;;;;;
DIALYSE;2020;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1150A;;;;2;2;288;;;;;
DIALYSE;2020;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;1210;;;;;38;;;;1955;;
DIALYSE;2020;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;121AA;;;;;31;;;;1576;;
DIALYSE;2020;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;121CA;;;;7;7;;;;379;;
DIALYSE;2020;100006550;UNITE DE DIALYSE DE ROSIERES PRES TROY;510000953;TOT;0;;;;;;;1;;29;18
DIALYSE;2020;110000023;CH CARCASSONNE;110780061;112AX;;;;3;0;43;;;;;
DIALYSE;2020;110000023;CH CARCASSONNE;110780061;112BA;;;;24;97;13255;;;;;
DIALYSE;2020;110000023;CH CARCASSONNE;110780061;122AX;;;;1;;;;;50;;
DIALYSE;2020;110000023;CH CARCASSONNE;110780061;122BA;;;;1;;;;;16;;
DIALYSE;2020;110000023;CH CARCASSONNE;110780061;TOT;0;;;;;;1104;2;;50;6
DIALYSE;2020;110004413;AIDER SANTE UAD NARBONNE;340000264;1140X;;;;10;31;3641;;;;;
DIALYSE;2020;110004421;AIDER SANTE UAD LIMOUX QUILLAN;340000264;1140X;;;;6;21;2966;;;;;
DIALYSE;2020;110005311;AIDER SANTE UDM CH CARCASSONNE;340000264;112AX;;;;1;0;130;;;;;
DIALYSE;2020;110005311;AIDER SANTE UDM CH CARCASSONNE;340000264;1130X;;;;7;43;6396;;;;;
DIALYSE;2020;110005311;AIDER SANTE UDM CH CARCASSONNE;340000264;1140X;;;;2;6;925;;;;;
DIALYSE;2020;110005311;AIDER SANTE UDM CH CARCASSONNE;340000264;TOT;0;;;;;;0;1;;0;0
DIALYSE;2020;110007259;UDM POLYCL LE LANGUEDOC;110000114;1130X;;;;8;26;3860;;;;;
DIALYSE;2020;110007259;UDM POLYCL LE LANGUEDOC;110000114;VACAN;;;;;0;131;;;;;
DIALYSE;2020;110780228;POLYCL LE LANGUEDOC;110000114;112AX;;;;2;1;495;;;;;
DIALYSE;2020;110780228;POLYCL LE LANGUEDOC;110000114;112BA;;;;20;71;11292;;;;;
DIALYSE;2020;110780228;POLYCL LE LANGUEDOC;110000114;1210;;;;;0;;;;19;;
DIALYSE;2020;110780228;POLYCL LE LANGUEDOC;110000114;121AA;;;;;0;;;;16;;
DIALYSE;2020;110780228;POLYCL LE LANGUEDOC;110000114;121CA;;;;3;0;;;;3;;
DIALYSE;2020;110780228;POLYCL LE LANGUEDOC;110000114;122AX;;;;3;0;;;;3;;
DIALYSE;2020;110780228;POLYCL LE LANGUEDOC;110000114;122BA;;;;3;16;;;;52;;
