BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;SSR_A54;1;;;;;12653;;0;
SSR;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;SSR_TOT;;;14437;;317;14340;46;0;0
SSR;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E;;115;25200;3;628;15633;15;311;
SSR;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E50;1;58;;1;;11720;;226;
SSR;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E55;1;46;;1;;1977;;45;
SSR;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_E58;1;11;;1;;1936;;40;
SSR;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;SSR_TOT;;115;25200;3;628;15633;15;311;0
SSR;2020;010780492;CRF ROMANS-FERRARI;360000707;SSR_A;;0;0;20;0;0;0;1984;
SSR;2020;010780492;CRF ROMANS-FERRARI;360000707;SSR_A57;1;0;;20;;0;;1984;
SSR;2020;010780492;CRF ROMANS-FERRARI;360000707;SSR_E;;67;24455;20;1336;10181;13;5988;
SSR;2020;010780492;CRF ROMANS-FERRARI;360000707;SSR_E50;1;0;;0;;0;;0;
SSR;2020;010780492;CRF ROMANS-FERRARI;360000707;SSR_E51;1;6;;2;;1556;;133;
SSR;2020;010780492;CRF ROMANS-FERRARI;360000707;SSR_E52;1;29;;6;;4066;;1138;
SSR;2020;010780492;CRF ROMANS-FERRARI;360000707;SSR_E57;1;32;;12;;4559;;4717;
SSR;2020;010780492;CRF ROMANS-FERRARI;360000707;SSR_TOT;;67;24455;40;1336;10181;13;7972;0
SSR;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;SSR_A;;65;20451;10;721;19309;16;1681;
SSR;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;SSR_A50;1;65;;10;;19309;;1681;
SSR;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;SSR_TOT;;65;20451;10;721;19309;16;1681;0
SSR;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SSR_A;;30;7752;;174;7752;17;0;
SSR;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SSR_A50;1;20;;;;7660;;0;
SSR;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SSR_A51;1;10;;;;92;;0;
SSR;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;SSR_TOT;;30;7752;;174;7752;17;0;0
SSR;2020;020000089;CH GUISE;020000022;SSR_A;;42;15330;;449;12727;12;0;
SSR;2020;020000089;CH GUISE;020000022;SSR_A50;1;22;;;;6848;;0;
SSR;2020;020000089;CH GUISE;020000022;SSR_A59;1;20;;;;5879;;0;
SSR;2020;020000089;CH GUISE;020000022;SSR_TOT;;42;15330;;449;12727;12;0;0
SSR;2020;020000097;CH LA FÈRE;020000048;SSR_A;;31;11346;;254;8208;6;0;
SSR;2020;020000097;CH LA FÈRE;020000048;SSR_A59;1;31;;;;8208;;0;
SSR;2020;020000097;CH LA FÈRE;020000048;SSR_TOT;;31;11346;;254;8208;6;0;
SSR;2020;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_A;;15;5475;;201;3492;1;0;
SSR;2020;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_A50;1;15;;;;3492;;0;
SSR;2020;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;SSR_TOT;;15;5475;;201;3492;1;0;
SSR;2020;020000162;CH SAINT-QUENTIN;020000063;SSR_A;;49;18018;;565;16863;27;0;
SSR;2020;020000162;CH SAINT-QUENTIN;020000063;SSR_A51;1;8;;;;6041;;0;
SSR;2020;020000162;CH SAINT-QUENTIN;020000063;SSR_A52;1;11;;;;1859;;0;
SSR;2020;020000162;CH SAINT-QUENTIN;020000063;SSR_A59;1;30;;;;8963;;0;
SSR;2020;020000162;CH SAINT-QUENTIN;020000063;SSR_TOT;;49;18018;;565;16863;27;0;
SSR;2020;020000246;CH VERVINS;020000071;SSR_A;;33;12045;;264;6418;11;0;
SSR;2020;020000246;CH VERVINS;020000071;SSR_A50;1;33;;;;6418;;0;
SSR;2020;020000246;CH VERVINS;020000071;SSR_TOT;;33;12045;;264;6418;11;0;0
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A;;307;86756;16;2322;75218;196;5975;
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A50;1;20;;;;4076;;0;
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A51;1;113;;6;;28065;;2705;
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A52;1;30;;5;;8991;;1640;
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A53;1;9;;;;2523;;0;
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A54;1;27;;;;4636;;0;
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A55;1;47;;1;;8177;;432;
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_A59;1;61;;4;;18750;;1198;
SSR;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;SSR_TOT;;307;86756;16;2322;75218;196;5975;1
SSR;2020;020000394;CH LAON;020000253;SSR_A;;;4048;16;0;0;0;1399;
SSR;2020;020000394;CH LAON;020000253;SSR_A53;1;;;16;;0;;1399;
SSR;2020;020000394;CH LAON;020000253;SSR_TOT;;;4048;16;0;0;0;1399;
SSR;2020;020000519;CH SOISSONS;020000261;SSR_A;;60;18645;;692;16427;0;0;
SSR;2020;020000519;CH SOISSONS;020000261;SSR_A50;1;60;;;;16427;;0;
SSR;2020;020000519;CH SOISSONS;020000261;SSR_A59;1;;;;;0;;0;
SSR;2020;020000519;CH SOISSONS;020000261;SSR_TOT;;60;18645;;692;16427;0;0;
SSR;2020;020000535;CH CHAUNY;020000287;SSR_A;;38;9490;;219;6954;8;0;
SSR;2020;020000535;CH CHAUNY;020000287;SSR_A50;1;38;;;;6954;;0;
SSR;2020;020000535;CH CHAUNY;020000287;SSR_TOT;;38;9490;;219;6954;8;0;0
SSR;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A;;184;61516;16;931;37133;126;4781;
SSR;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A50;1;184;;16;;37133;;4781;
SSR;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A51;1;;;;;0;;0;
SSR;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A52;1;;;;;0;;0;
SSR;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_A55;1;;;;;0;;0;
SSR;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;SSR_TOT;;184;61516;16;931;37133;126;4781;1
SSR;2020;020001087;CH HIRSON;020004495;SSR_A;;30;10950;0;314;8420;8;0;
SSR;2020;020001087;CH HIRSON;020004495;SSR_A50;1;30;;0;;8420;;0;
SSR;2020;020001087;CH HIRSON;020004495;SSR_TOT;;30;10950;0;314;8420;8;0;0
SSR;2020;020003877;SSR CH LAON;020000253;SSR_A;;40;12706;;401;10475;4;0;
SSR;2020;020003877;SSR CH LAON;020000253;SSR_A59;1;40;;;;10475;;0;
SSR;2020;020003877;SSR CH LAON;020000253;SSR_TOT;;40;12706;;401;10475;4;0;0
SSR;2020;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_A;;14;5124;;98;5045;12;0;
SSR;2020;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_A58;1;14;;;;5045;;0;
SSR;2020;020010310;SSR AURORE BUCY-LE-LONG;750719361;SSR_TOT;;14;5124;;98;5045;12;0;0
SSR;2020;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A;;;;8;0;0;0;1950;
SSR;2020;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A51;1;;;6;;0;;1409;
SSR;2020;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A52;1;;;1;;0;;513;
SSR;2020;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_A54;1;;;1;;0;;28;
SSR;2020;020016341;SSR RENAISSANCE SOISSONS;750814030;SSR_TOT;;;;8;0;0;0;1950;0
SSR;2020;030000012;CH DE NERIS LES BAINS;030180020;SSR_A;;59;21594;10;390;15820;42;2835;
SSR;2020;030000012;CH DE NERIS LES BAINS;030180020;SSR_A51;1;35;;6;;9391;;1526;
SSR;2020;030000012;CH DE NERIS LES BAINS;030180020;SSR_A52;1;24;;4;;6429;;1309;
SSR;2020;030000012;CH DE NERIS LES BAINS;030180020;SSR_TOT;;59;21594;10;390;15820;42;2835;0
SSR;2020;030000061;CH DE MOULINS;030780092;SSR_A;;40;14640;7;360;13032;32;451;
SSR;2020;030000061;CH DE MOULINS;030780092;SSR_A50;1;18;;1;;5918;;138;
SSR;2020;030000061;CH DE MOULINS;030780092;SSR_A59;1;22;;6;;7114;;313;
SSR;2020;030000061;CH DE MOULINS;030780092;SSR_TOT;;40;14640;7;360;13032;32;451;0
SSR;2020;030000079;CH DE MONTLUCON;030780100;SSR_A;;30;10950;;404;9293;0;0;
SSR;2020;030000079;CH DE MONTLUCON;030780100;SSR_A50;1;;;;;0;;0;
SSR;2020;030000079;CH DE MONTLUCON;030780100;SSR_A59;1;30;;;;9293;;0;
SSR;2020;030000079;CH DE MONTLUCON;030780100;SSR_TOT;;30;10950;;404;9293;0;0;0
SSR;2020;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A;;70;25620;5;694;24512;56;450;
SSR;2020;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A50;1;24;;5;;8464;;450;
SSR;2020;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_A59;1;46;;;;16048;;0;
SSR;2020;030000087;CH JACQUES LACARIN VICHY;030780118;SSR_TOT;;70;25620;5;694;24512;56;450;0
SSR;2020;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_A;;40;14640;2;301;13838;36;47;
SSR;2020;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_A50;1;40;;2;;13838;;47;
SSR;2020;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;SSR_TOT;;40;14640;2;301;13838;36;47;0
SSR;2020;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A;;89;32574;;449;17341;48;0;
SSR;2020;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A50;1;61;;;;15946;;0;
SSR;2020;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_A58;1;28;;;;1395;;0;
SSR;2020;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;SSR_TOT;;89;32574;;449;17341;48;0;0
SSR;2020;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_A;;36;13176;5;218;5960;16;521;
SSR;2020;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_A50;1;36;;5;;5960;;521;
SSR;2020;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;SSR_TOT;;36;13176;5;218;5960;16;521;0
SSR;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A;;55;20075;10;351;9562;8;2956;
SSR;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A50;1;30;;10;;6067;;2956;
SSR;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_A59;1;25;;;;3495;;0;
SSR;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;SSR_TOT;;55;20075;10;351;9562;8;2956;0
SSR;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_A;;52;19032;;500;15734;10;0;
SSR;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_A50;1;52;;;;15734;;0;
SSR;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SSR_TOT;;52;19032;;500;15734;10;0;0
SSR;2020;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_A;;10;3650;10;93;2636;1;21;
SSR;2020;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_A50;1;10;;10;;2636;;21;
SSR;2020;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;SSR_TOT;;10;3650;10;93;2636;1;21;
SSR;2020;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_A;;5;1830;;66;1830;4;0;
SSR;2020;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_A50;1;5;;;;1830;;0;
SSR;2020;040000044;EPS DUCELIA DE CASTELLANE;040780140;SSR_TOT;;5;1830;;66;1830;4;0;
SSR;2020;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_A;;56;20440;;463;15854;26;0;
SSR;2020;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_A50;1;56;;;;15854;;0;
SSR;2020;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;SSR_TOT;;56;20440;;463;15854;26;0;0
SSR;2020;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_A;;15;5490;;236;5033;3;0;
SSR;2020;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_A50;1;15;;;;5033;;0;
SSR;2020;040000119;EPS LUMIERE DE RIEZ;040780231;SSR_TOT;;15;5490;;236;5033;3;0;0
SSR;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A;;10;9263;0;277;7865;8;1250;
SSR;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A50;1;10;;;;7865;;0;
SSR;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A53;1;;;0;;0;;1250;
SSR;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A54;1;;;;;0;;0;
SSR;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_A55;1;;;;;0;;0;
SSR;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;SSR_TOT;;10;9263;0;277;7865;8;1250;
SSR;2020;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;SSR_A;;85;31110;;550;24394;67;0;
SSR;2020;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;SSR_A50;1;1;;;;247;;0;
SSR;2020;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;SSR_A59;1;84;;;;24147;;0;
SSR;2020;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;SSR_TOT;;85;31110;;550;24394;67;0;0
SSR;2020;040780405;CENTRE DES CARMES;040000168;SSR_A;;70;25550;5;660;25464;54;1453;
SSR;2020;040780405;CENTRE DES CARMES;040000168;SSR_A50;1;35;;;;7276;;0;
SSR;2020;040780405;CENTRE DES CARMES;040000168;SSR_A51;1;35;;5;;18188;;1453;
SSR;2020;040780405;CENTRE DES CARMES;040000168;SSR_E;;;;5;0;0;0;104;
SSR;2020;040780405;CENTRE DES CARMES;040000168;SSR_E50;1;;;;;0;;0;
SSR;2020;040780405;CENTRE DES CARMES;040000168;SSR_E51;1;;;5;;0;;104;
SSR;2020;040780405;CENTRE DES CARMES;040000168;SSR_TOT;;70;25550;10;660;25464;54;1557;0
SSR;2020;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A;;80;29280;10;617;27545;70;2579;
SSR;2020;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A50;1;;;;;0;;0;
SSR;2020;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A51;1;40;;10;;12187;;2579;
SSR;2020;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_A52;1;40;;;;15358;;0;
SSR;2020;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;SSR_TOT;;80;29280;10;617;27545;70;2579;0
SSR;2020;040780520;KORIAN LE VERDON;750056335;SSR_A;;40;14600;;342;14923;53;0;
SSR;2020;040780520;KORIAN LE VERDON;750056335;SSR_A50;1;40;;;;14923;;0;
SSR;2020;040780520;KORIAN LE VERDON;750056335;SSR_TOT;;40;14600;;342;14923;53;0;0
SSR;2020;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A;;66;24090;;458;17354;37;0;
SSR;2020;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A50;1;20;;;;4678;;0;
SSR;2020;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_A59;1;46;;;;12676;;0;
SSR;2020;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;SSR_TOT;;66;24090;;458;17354;37;0;0
SSR;2020;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A;;90;27720;25;684;27720;73;3131;
SSR;2020;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A50;1;26;;5;;8014;;659;
SSR;2020;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A51;1;42;;19;;12878;;2173;
SSR;2020;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A53;1;;;;;0;;0;
SSR;2020;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_A54;1;22;;1;;6828;;299;
SSR;2020;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;SSR_TOT;;90;27720;25;684;27720;73;3131;
SSR;2020;050000058;CENTRE MEDICAL RIO VERT;050000033;SSR_A;;62;17520;;476;15807;24;0;
SSR;2020;050000058;CENTRE MEDICAL RIO VERT;050000033;SSR_A50;1;62;;;;15807;;0;
