BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2020;020000162;CH SAINT-QUENTIN;020000063;M3020;0;2;1;;
URGENCES_P;2020;020000162;CH SAINT-QUENTIN;020000063;M9999;3;87;10.4;2;1
URGENCES_P;2020;020000162;CH SAINT-QUENTIN;020000063;N1220;0;4;3.12;3;1
URGENCES_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2120;0;2;0.7;3;1
URGENCES_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2500;34;13;39.79;;
URGENCES_P;2020;020000162;CH SAINT-QUENTIN;020000063;N9999;80;34;93.74;;
URGENCES_P;2020;020000162;CH SAINT-QUENTIN;020000063;NINF;39;13;42.7;3;1
URGENCES_P;2020;020000394;CH LAON;020000253;M9999;1;8;5.26;1;1
URGENCES_P;2020;020000394;CH LAON;020000253;N1220;1;2;1.67;;
URGENCES_P;2020;020000394;CH LAON;020000253;N2120;0;0;0.33;;
URGENCES_P;2020;020000394;CH LAON;020000253;N2500;11;1;10.45;;
URGENCES_P;2020;020000394;CH LAON;020000253;N3120;0;2;0.82;;
URGENCES_P;2020;020000394;CH LAON;020000253;N9999;31;10;34.3;;
URGENCES_P;2020;020000394;CH LAON;020000253;NINF;19;5;21.03;1;1
URGENCES_P;2020;020000519;CH SOISSONS;020000261;M3020;;1;0.5;;
URGENCES_P;2020;020000519;CH SOISSONS;020000261;M9999;12;5;14.55;2;1
URGENCES_P;2020;020000519;CH SOISSONS;020000261;N1220;1;0;1;;
URGENCES_P;2020;020000519;CH SOISSONS;020000261;N2120;2;0;1.91;;
URGENCES_P;2020;020000519;CH SOISSONS;020000261;N2500;17;2;16.46;;
URGENCES_P;2020;020000519;CH SOISSONS;020000261;N9999;55;9;58.12;;
URGENCES_P;2020;020000519;CH SOISSONS;020000261;NINF;28;4;31.06;;
URGENCES_P;2020;020000535;CH CHAUNY;020000287;M9999;3;;3.61;;1
URGENCES_P;2020;020000535;CH CHAUNY;020000287;N1220;;;0.5;;
URGENCES_P;2020;020000535;CH CHAUNY;020000287;N2120;;1;0.2;;1
URGENCES_P;2020;020000535;CH CHAUNY;020000287;N2500;12;1;12.22;;
URGENCES_P;2020;020000535;CH CHAUNY;020000287;N3120;;;0.2;;
URGENCES_P;2020;020000535;CH CHAUNY;020000287;N9999;32;3;31.79;;
URGENCES_P;2020;020000535;CH CHAUNY;020000287;NINF;14;1;13.75;;1
URGENCES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;M9999;;;;3;1
URGENCES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N1220;1;;1;3;1
URGENCES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2120;1;;0.6;2;1
URGENCES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2500;14;;10.5;;
URGENCES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2620;6;;6;;0
URGENCES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N3120;1;;0.5;;
URGENCES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N9999;39;3;36.12;;
URGENCES_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;NINF;16;3;17.52;;0
URGENCES_P;2020;020001087;CH HIRSON;020004495;M9999;3;2;4.41;;
URGENCES_P;2020;020001087;CH HIRSON;020004495;N1220;3;0;2.5;;
URGENCES_P;2020;020001087;CH HIRSON;020004495;N2120;0;1;0.5;;
URGENCES_P;2020;020001087;CH HIRSON;020004495;N2500;3;0;3;;
URGENCES_P;2020;020001087;CH HIRSON;020004495;N2620;1;0;1;;
URGENCES_P;2020;020001087;CH HIRSON;020004495;N9999;23;1;20.5;;
URGENCES_P;2020;020001087;CH HIRSON;020004495;NINF;16;0;13.5;;
URGENCES_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M9999;5;;5;;
URGENCES_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N1220;2;1;2.32;;
URGENCES_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2120;1;;1;;
URGENCES_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2500;5;1;5.87;;
URGENCES_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N9999;18;3;19.85;;
URGENCES_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NINF;10;1;10.66;;
URGENCES_P;2020;030000061;CH DE MOULINS;030780092;M9999;5;9;11.61;3;1
URGENCES_P;2020;030000061;CH DE MOULINS;030780092;N1220;2;0;2;;
URGENCES_P;2020;030000061;CH DE MOULINS;030780092;N2120;1;1;1.5;2;1
URGENCES_P;2020;030000061;CH DE MOULINS;030780092;N2500;14;1;16.23;;
URGENCES_P;2020;030000061;CH DE MOULINS;030780092;N9999;41;12;51.72;;
URGENCES_P;2020;030000061;CH DE MOULINS;030780092;NINF;24;10;31.99;3;1
URGENCES_P;2020;030000079;CH DE MONTLUCON;030780100;M9999;6;3;4.4;3;1
URGENCES_P;2020;030000079;CH DE MONTLUCON;030780100;N1220;3;;2;3;1
URGENCES_P;2020;030000079;CH DE MONTLUCON;030780100;N2120;2;;1.33;3;1
URGENCES_P;2020;030000079;CH DE MONTLUCON;030780100;N2500;17;2;17.84;;
URGENCES_P;2020;030000079;CH DE MONTLUCON;030780100;N2620;;;;3;1
URGENCES_P;2020;030000079;CH DE MONTLUCON;030780100;N3120;1;;0.7;;
URGENCES_P;2020;030000079;CH DE MONTLUCON;030780100;N9999;52;5;45.23;;
URGENCES_P;2020;030000079;CH DE MONTLUCON;030780100;NINF;29;3;23.36;3;1
URGENCES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;10;12;13.5;3;1
URGENCES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N1220;5;0;5;;
URGENCES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;2;0;2;3;1
URGENCES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2500;24;0;21.09;;
URGENCES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N3120;0;1;0.7;;
URGENCES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;90;13;96.92;;
URGENCES_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;NINF;25;5;27.88;;
URGENCES_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M9999;4;1;4.7;;
URGENCES_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N1220;1;;1;;
URGENCES_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2120;1;;0.15;;
URGENCES_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2500;2;;2;;
URGENCES_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2620;1;;1;;
URGENCES_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N9999;11;;10.15;;
URGENCES_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;NINF;6;;6;;
URGENCES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M9999;7;8;11.52;3;1
URGENCES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N1220;1;1;1.5;3;1
URGENCES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2120;1;0;1;3;1
URGENCES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2500;12;3;11.88;;
URGENCES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2620;0;0;0;3;
URGENCES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N9999;47;11;49.23;;
URGENCES_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NINF;26;6;27.82;3;1
URGENCES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M9999;4;15;6.03;;
URGENCES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N1220;0;0;0.23;;
URGENCES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2120;0;2;0.78;;
URGENCES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2500;5;3;5.66;;
URGENCES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N9999;8;18;18.86;;
URGENCES_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;NINF;3;11;10.39;;
URGENCES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M9999;;13;5.88;2;1
URGENCES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N1220;;2;1.32;2;1
URGENCES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2120;;1;0.5;2;1
URGENCES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2500;8;1;8.4;;
URGENCES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2620;;4;3.83;2;1
URGENCES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N9999;13;31;31.55;;
URGENCES_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NINF;2;19;16.55;2;1
URGENCES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M9999;11;20;18.37;;
URGENCES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N1220;0;3;2.57;;
URGENCES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2120;0;2;0.6;;
URGENCES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2500;8;0;6.55;;
URGENCES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N9999;11;23;23.51;;
URGENCES_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NINF;0;17;9.63;;
URGENCES_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;M9999;3;2;3.95;;0
URGENCES_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2120;0;3;0.18;;0
URGENCES_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2500;2;2;3.27;;
URGENCES_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N9999;6;11;12.11;;
URGENCES_P;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NINF;4;6;8.61;;0
URGENCES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;12;24;17.95;;
URGENCES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N1220;0;1;0.11;;
URGENCES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2120;0;2;0.95;;
URGENCES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2500;9;8;15.26;;
URGENCES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;20;36;41.87;;
URGENCES_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NINF;9;23;22.52;;
URGENCES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;19;4;8.44;;
URGENCES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N1220;2;0;1.88;;
URGENCES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2120;5;0;3.47;;
URGENCES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2500;16;2;17.54;;
URGENCES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N3120;0;1;0.54;;
URGENCES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N9999;62;8;61.51;;
URGENCES_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NINF;34;4;34.38;;
URGENCES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M3020;1;3;1.3;;
URGENCES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M9999;14;8;15.92;1;1
URGENCES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N1220;3;;3;1;1
URGENCES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2120;1;;1.45;1;1
URGENCES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2500;25;2;21.54;;
URGENCES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N3120;1;;0.79;;
URGENCES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N9999;72;4;70.8;;
URGENCES_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NINF;30;2;30.99;1;1
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M1140;0;4;1.05;;0
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;6;10;11.78;3;1
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N1220;10;1;10.8;3;1
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;;1;0.8;3;1
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2500;24;12;29.83;;
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2620;7;0;5.92;;0
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N3120;;1;0.1;;
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;70;53;88.26;;
URGENCES_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;NINF;28;28;34.17;3;1
URGENCES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;M9999;9;17;12.43;1;1
URGENCES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N1220;5;;4.24;;0
URGENCES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N2500;9;;7.9;;
URGENCES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N2620;6;;6;1;1
URGENCES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N3120;1;;0.5;;
URGENCES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N9999;33;;30.64;;
URGENCES_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;NINF;12;;12;1;1
URGENCES_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;M9999;1;5;4.91;;
URGENCES_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N1220;5;;3.72;;
URGENCES_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N2120;;1;0.75;;
URGENCES_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N2500;5;;4.66;;
URGENCES_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N3120;;1;0.1;;
URGENCES_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N9999;18;2;17.82;;
URGENCES_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;NINF;8;;8.08;;
URGENCES_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;M9999;;11;0;;0
URGENCES_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N1220;5;;4.71;;
URGENCES_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2120;2;0;2.18;;
URGENCES_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2500;0;1;0.77;;
URGENCES_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2620;5;0;6.21;;
URGENCES_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N9999;24;1;25.22;;
URGENCES_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;NINF;12;;11.35;;
URGENCES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;M9999;;12;8;;0
URGENCES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N1220;5;;5;;0
URGENCES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N2500;5;1;4.8;;
URGENCES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N2620;2;;2;;0
URGENCES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N3120;;1;0.1;;
URGENCES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N9999;19;3;19.8;;
URGENCES_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;NINF;7;1;7.9;;0
URGENCES_P;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;M9999;4;;4;;
URGENCES_P;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N1220;4;2;4.7;;
URGENCES_P;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N2500;1;;1.2;;
URGENCES_P;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N2620;1;;1.1;;
URGENCES_P;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N9999;11;4;13.8;;
URGENCES_P;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;NINF;5;2;6.8;;
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M1140;5;6;8.98;;0
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M3020;;1;0.1;;
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M9999;9;10;13.63;;0
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N1220;1;3;2.47;;0
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2120;1;2;2.34;;0
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2500;15;10;23.18;;
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2620;;1;0.98;;0
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N9999;47;47;69.91;;
URGENCES_P;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;NINF;26;16;38.43;;0
URGENCES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M3020;6;0;5.16;;
URGENCES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M9999;13;44;31.33;3;1
URGENCES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N1220;8;;5.57;;
URGENCES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2120;4;;2.41;;
URGENCES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2500;62;3;61.84;;
URGENCES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N9999;221;15;198.18;;
URGENCES_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NINF;86;9;78.43;;
URGENCES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;M9999;3;1;3.49;;
URGENCES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N1220;2;;0.69;;
URGENCES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N2120;1;;1;;
URGENCES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N2500;4;2;4.92;;
URGENCES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N2620;3;;3;;
URGENCES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N9999;23;2;21.85;;
URGENCES_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;NINF;13;;12.24;;
URGENCES_P;2020;070000179;CH ARDECHE NORD;070780358;M9999;11;3;8.03;3;1
URGENCES_P;2020;070000179;CH ARDECHE NORD;070780358;N1220;0;2;1.6;3;1
URGENCES_P;2020;070000179;CH ARDECHE NORD;070780358;N2120;1;0;0.9;3;1
URGENCES_P;2020;070000179;CH ARDECHE NORD;070780358;N2500;21;4;24.17;;
URGENCES_P;2020;070000179;CH ARDECHE NORD;070780358;N9999;52;16;62.05;;
URGENCES_P;2020;070000179;CH ARDECHE NORD;070780358;NINF;23;7;25.25;3;1
URGENCES_P;2020;070000609;CH D'AUBENAS;070005566;M1140;;;0.13;;
URGENCES_P;2020;070000609;CH D'AUBENAS;070005566;M9999;5;5;7.38;;1
URGENCES_P;2020;070000609;CH D'AUBENAS;070005566;N1220;8;1;8.72;;1
URGENCES_P;2020;070000609;CH D'AUBENAS;070005566;N2120;1;;1.27;;1
URGENCES_P;2020;070000609;CH D'AUBENAS;070005566;N2500;18;1;13.77;;
URGENCES_P;2020;070000609;CH D'AUBENAS;070005566;N3120;;;0.03;;
URGENCES_P;2020;070000609;CH D'AUBENAS;070005566;N9999;52;6;47.65;;
URGENCES_P;2020;070000609;CH D'AUBENAS;070005566;NINF;22;3;20.84;;1
URGENCES_P;2020;070780424;CLINIQUE PASTEUR;070000245;M9999;3;4;4;;
URGENCES_P;2020;070780424;CLINIQUE PASTEUR;070000245;N2120;1;;1;;
URGENCES_P;2020;070780424;CLINIQUE PASTEUR;070000245;N2500;8;;8.98;;
URGENCES_P;2020;070780424;CLINIQUE PASTEUR;070000245;N2620;2;;2.14;;
URGENCES_P;2020;070780424;CLINIQUE PASTEUR;070000245;N9999;20;;21.34;;
URGENCES_P;2020;070780424;CLINIQUE PASTEUR;070000245;NINF;9;;9.22;;
URGENCES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M9999;5;1;4.89;2;1
URGENCES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N1220;4;;3.91;;0
URGENCES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2120;;1;0.32;2;1
URGENCES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2500;3;2;5.63;;
URGENCES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2620;5;;5;;0
URGENCES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N3120;1;;1;;
URGENCES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N9999;31;4;28.98;;
URGENCES_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NINF;18;1;13.12;1;1
URGENCES_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;M9999;3;6;4.57;;
URGENCES_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2120;0;2;0.23;;
URGENCES_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2500;3;9;5.78;;
URGENCES_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N9999;3;31;13.57;;
URGENCES_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;NINF;0;19;7.43;;
URGENCES_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;M9999;0;2;0.67;;
URGENCES_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N1220;0;1;0.4;;
URGENCES_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N2120;0;2;0.23;;
URGENCES_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N9999;8;9;9.69;;
URGENCES_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;NINF;8;6;9.07;;
URGENCES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1140;4;;0.63;;0
URGENCES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M9999;27;1;14.52;3;1
URGENCES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N1220;2;1;2.61;;0
URGENCES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2120;;1;0.98;;0
URGENCES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2500;16;10;19.04;;
URGENCES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N3120;1;;1;;
URGENCES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N9999;59;45;82.65;;
URGENCES_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NINF;32;29;48.82;;0
URGENCES_P;2020;090000175;CHIVAL SITE FOIX;090781774;M9999;;33;14.51;;1
