BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2340;2;2;3.02;;;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2530;20;17;32.71;;;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2700;;1;0.42;;;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2800;22;8;26.51;;;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N280H;11;1;11.95;;;;
PERINAT_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;7;8;10.75;;;;
PERINAT_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;M2050;1;;0.8;0;0;;
PERINAT_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N2800;1;;1;;;;
PERINAT_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;1;;1;;;;
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1030;;13;0;0;1;;0
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;M1140;;5;0;0;1;;
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;M2050;;9;0;0;1;;
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;MIVG;;6;0;;;;
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2530;9;2;13.38;;;;
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2700;;1;0.47;;;;
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2800;9;3;14.39;;;;
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;N280H;1;0;1;;;;
PERINAT_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;NAUT;;1;0.55;;;;
PERINAT_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;M1030;;8;3.6;1;;;
PERINAT_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;M1140;;12;5;0;0;;
PERINAT_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;M2050;;17;6;1;;;
PERINAT_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N2340;2;;2;;;;
PERINAT_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N2700;;1;0.2;;;;
PERINAT_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N2800;18;3;19.1;;;;
PERINAT_P;2020;060780715;CLINIQUE SAINT GEORGE;060000361;N280H;8;1;8.6;;;;
PERINAT_P;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;M1030;5;;5;1;0;;
PERINAT_P;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;M1140;2;4;6;0;1;;
PERINAT_P;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;M2050;;20;20;1;0;;
PERINAT_P;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;N2340;4;;3.09;;;;
PERINAT_P;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;N2700;;1;0.51;;;;
PERINAT_P;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;N2800;36;;26.52;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1030;3;4;4.29;1;0;1;0
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1140;4;7;7.09;1;0;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M2050;3;12;6.08;1;0;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MAUT;0;4;1.07;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;MIVG;0;2;0.27;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2200;19;7;20.12;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2340;32;14;41.65;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2530;38;10;40.99;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2700;3;1;1.74;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2800;58;16;65.25;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N280H;51;12;54.01;;;;
PERINAT_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;NAUT;76;17;80.36;;;;
PERINAT_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;M1140;;2;0.1;;;;
PERINAT_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;MIVG;;1;0.1;;;;
PERINAT_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N2800;3;2;4.3;;;;
PERINAT_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;NAUT;;2;1.65;;;;
PERINAT_P;2020;070000096;HOPITAL DE MOZE;070780184;N2800;;3;2;;;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;M1140;2;1;1.02;0;0;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;M2050;3;0;1.95;0;1;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;N2200;2;2;1.74;;;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;N2340;0;4;2.69;;;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;N2530;4;12;12.17;;;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;N2700;2;0;0.34;;;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;N2800;4;8;9.74;;;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;N280H;4;8;9.74;;;;
PERINAT_P;2020;070000179;CH ARDECHE NORD;070780358;NAUT;5;6;7.62;;;;
PERINAT_P;2020;070000195;CH DE TOURNON SUR RHONE;070780374;M2050;;2;0.2;0;0;;
PERINAT_P;2020;070000195;CH DE TOURNON SUR RHONE;070780374;N2530;5;3;6.47;;;;
PERINAT_P;2020;070000195;CH DE TOURNON SUR RHONE;070780374;N2700;;1;0.1;;;;
PERINAT_P;2020;070000195;CH DE TOURNON SUR RHONE;070780374;N2800;3;5;4.81;;;;
PERINAT_P;2020;070000195;CH DE TOURNON SUR RHONE;070780374;NAUT;;4;1.42;;;;
PERINAT_P;2020;070000609;CH D'AUBENAS;070005566;M2050;7;1;4.11;;;;
PERINAT_P;2020;070000609;CH D'AUBENAS;070005566;N2700;;1;0.2;;;;
PERINAT_P;2020;070000609;CH D'AUBENAS;070005566;N2800;12;7;16.2;;;;
PERINAT_P;2020;070000609;CH D'AUBENAS;070005566;N280H;12;7;16.2;;;;
PERINAT_P;2020;070000609;CH D'AUBENAS;070005566;NAUT;8;8;16.97;;;;
PERINAT_P;2020;070780424;CLINIQUE PASTEUR;070000245;M1030;9;5;13;1;1;0;1
PERINAT_P;2020;070780424;CLINIQUE PASTEUR;070000245;M1140;3;2;4;0;1;;
PERINAT_P;2020;070780424;CLINIQUE PASTEUR;070000245;M2050;5;;5;0;1;;
PERINAT_P;2020;070780424;CLINIQUE PASTEUR;070000245;N2530;11;6;12.35;;;;
PERINAT_P;2020;070780424;CLINIQUE PASTEUR;070000245;N2700;;1;0.35;;;;
PERINAT_P;2020;070780424;CLINIQUE PASTEUR;070000245;N2800;8;10;13.48;;;;
PERINAT_P;2020;070780424;CLINIQUE PASTEUR;070000245;N280H;8;10;13.48;;;;
PERINAT_P;2020;070780424;CLINIQUE PASTEUR;070000245;NAUT;1;;1.2;;;;
PERINAT_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1030;3;1;2.83;1;0;0;0
PERINAT_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M1140;2;;1.68;1;0;;
PERINAT_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M2050;4;2;3.83;1;0;;
PERINAT_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2530;7;2;8.65;;;;
PERINAT_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2700;;;0.2;;;;
PERINAT_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2800;12;3;14.79;;;;
PERINAT_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NAUT;11;7;14.56;;;;
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1030;4;1;4.51;1;0;1;0
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1140;4;1;2.61;1;0;;
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M2050;7;;5.67;1;0;;
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2200;7;9;11.54;;;;
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2340;8;5;11.63;;;;
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2530;15;9;21.45;;;;
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2800;24;7;29.08;;;;
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N280H;13;5;16.34;;;;
PERINAT_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NAUT;3;2;4.59;;;;
PERINAT_P;2020;090000175;CHIVAL SITE FOIX;090781774;M1030;;;;1;;0;
PERINAT_P;2020;090000175;CHIVAL SITE FOIX;090781774;M1140;4;3;6.03;;1;;
PERINAT_P;2020;090000175;CHIVAL SITE FOIX;090781774;M2050;7;1;6.33;1;;;
PERINAT_P;2020;090000175;CHIVAL SITE FOIX;090781774;N2200;;6;1.72;;;;
PERINAT_P;2020;090000175;CHIVAL SITE FOIX;090781774;N2340;;9;2.84;;;;
PERINAT_P;2020;090000175;CHIVAL SITE FOIX;090781774;N2800;17;13;27.42;;;;
PERINAT_P;2020;090000175;CHIVAL SITE FOIX;090781774;NAUT;21;1;22.56;;;;
PERINAT_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1030;;;0.11;1;0;;
PERINAT_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M1140;;1;0.5;0;0;;
