BOR;AN;FI;RS;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2020;020000535;CH CHAUNY;020000287;M9999;1;1;5.71;;;;
SMURSAMU_P;2020;020000535;CH CHAUNY;020000287;N1220;;;0.5;;;;
SMURSAMU_P;2020;020000535;CH CHAUNY;020000287;N2120;;1;0.1;;;;
SMURSAMU_P;2020;020000535;CH CHAUNY;020000287;N2223;5;;5.07;;;;
SMURSAMU_P;2020;020000535;CH CHAUNY;020000287;N2500;3;;3;;;;
SMURSAMU_P;2020;020000535;CH CHAUNY;020000287;N9999;8;1;8.17;;;;
SMURSAMU_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;M9999;;4;3.7;1;;;
SMURSAMU_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N1220;1;;1;;;;
SMURSAMU_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2120;1;;0.2;1;;;
SMURSAMU_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N2223;4;;2.57;1;;;
SMURSAMU_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N5140;5;;5;;;;
SMURSAMU_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;N9999;11;;8.77;;;;
SMURSAMU_P;2020;020001087;CH HIRSON;020004495;M9999;2;9;7.68;1;;;
SMURSAMU_P;2020;020001087;CH HIRSON;020004495;N2120;0;1;0.5;;;;
SMURSAMU_P;2020;020001087;CH HIRSON;020004495;N2223;5;0;3;;;;
SMURSAMU_P;2020;020001087;CH HIRSON;020004495;N2500;1;0;1;;;;
SMURSAMU_P;2020;020001087;CH HIRSON;020004495;N5140;6;0;5.91;;;;
SMURSAMU_P;2020;020001087;CH HIRSON;020004495;N9999;12;1;10.41;;;;
SMURSAMU_P;2020;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;M9999;0;3;0.47;1;;;
SMURSAMU_P;2020;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N2120;1;0;0.25;1;;;
SMURSAMU_P;2020;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N2223;6;0;0.1;0;;;
SMURSAMU_P;2020;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N9999;7;0;0.35;1;;;
SMURSAMU_P;2020;030000061;CH DE MOULINS;030780092;M9999;1;9;4.45;1;0;4;2.33
SMURSAMU_P;2020;030000061;CH DE MOULINS;030780092;MREG;1;9;4.45;1;0;4;2.33
SMURSAMU_P;2020;030000061;CH DE MOULINS;030780092;N1220;0;0;0;;15;5;19.35
SMURSAMU_P;2020;030000061;CH DE MOULINS;030780092;N2120;0;0;0;;0;1;0.6
SMURSAMU_P;2020;030000061;CH DE MOULINS;030780092;N2223;1;5;4.99;1;1;0;0.3
SMURSAMU_P;2020;030000061;CH DE MOULINS;030780092;N5140;7;1;7.34;;0;0;0
SMURSAMU_P;2020;030000061;CH DE MOULINS;030780092;N9999;8;6;12.33;;16;6;20.25
SMURSAMU_P;2020;030000079;CH DE MONTLUCON;030780100;M9999;6;3;4.4;1;;;
SMURSAMU_P;2020;030000079;CH DE MONTLUCON;030780100;N1220;2;;1;1;;;
SMURSAMU_P;2020;030000079;CH DE MONTLUCON;030780100;N2120;2;;0.67;1;;;
SMURSAMU_P;2020;030000079;CH DE MONTLUCON;030780100;N2223;29;3;8.78;1;;;
SMURSAMU_P;2020;030000079;CH DE MONTLUCON;030780100;N5140;8;;7;;;;
SMURSAMU_P;2020;030000079;CH DE MONTLUCON;030780100;N9999;41;3;17.45;;;;
SMURSAMU_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;10;12;13.5;1;;;
SMURSAMU_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;2;0;2;1;;;
SMURSAMU_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2223;12;0;11.84;0;;;
SMURSAMU_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2500;9;0;8.13;;;;
SMURSAMU_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N5140;2;0;2.87;0;;;
SMURSAMU_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;25;0;24.84;0;;;
SMURSAMU_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M9999;7;8;1.15;1;0;0;0
SMURSAMU_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;MREG;7;8;1.15;1;0;0;0
SMURSAMU_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N1220;0;0;0;1;0;0;0
SMURSAMU_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2120;0;0;0;1;0;0;0
SMURSAMU_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2223;3;0;0.28;1;0;0;0
SMURSAMU_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N9999;3;0;0.28;1;0;0;0
SMURSAMU_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M9999;0;8;2.95;;0;0;0
SMURSAMU_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2223;2;3;4.28;;0;0;0
SMURSAMU_P;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N9999;2;3;4.28;;0;0;0
SMURSAMU_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M9999;;14;3.6;1;1;11;3.9
SMURSAMU_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N1220;;;;;7;4;8.21
SMURSAMU_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2120;;1;0.13;1;;1;0.13
SMURSAMU_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2223;;18;1.61;1;;;
SMURSAMU_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N5140;;9;8.68;1;;;
SMURSAMU_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N9999;;28;10.42;1;7;5;8.34
SMURSAMU_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M9999;0;19;6.97;;0;0;0
SMURSAMU_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N1220;0;4;0.43;;0;0;0
SMURSAMU_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2223;0;16;6.25;;0;0;0
SMURSAMU_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N9999;0;20;6.68;;0;0;0
SMURSAMU_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;0;21;8.74;;0;14;5.34
SMURSAMU_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N1220;1;0;0.05;;9;3;10.62
SMURSAMU_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2120;0;0;0;;0;1;0.1
SMURSAMU_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2223;3;9;8.71;;0;0;0
SMURSAMU_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2500;0;0;0;;1;0;1.64
SMURSAMU_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;4;9;8.76;;10;4;12.37
SMURSAMU_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;3;0;1.7;;0;0;0
SMURSAMU_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MREG;3;0;1.7;1;0;0;0
SMURSAMU_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M9999;;11;5.2;1;;;
SMURSAMU_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2120;;;0.03;1;;;
SMURSAMU_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2223;3;;3;1;;;
SMURSAMU_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N9999;3;;3.1;1;;;
SMURSAMU_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;2;6;3.19;1;;;
SMURSAMU_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;;1;0.2;;;;
SMURSAMU_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2223;1;9;6;;;;
SMURSAMU_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;1;10;6.2;;;;
SMURSAMU_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;M9999;3;5;4.08;1;;;
SMURSAMU_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N2223;5;;5;1;;;
SMURSAMU_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N9999;5;;5;;;;
SMURSAMU_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M9999;5;42;19.1;1;1;1;8.1
SMURSAMU_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N1220;;;;;33;13;39.8
SMURSAMU_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2120;1;;0.25;;;;
SMURSAMU_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2223;28;2;19.55;;3;;1.31
SMURSAMU_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2500;2;;2;;;;
SMURSAMU_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N5140;22;;21.64;;1;;0.36
SMURSAMU_P;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N9999;53;2;43.44;;37;13;41.47
SMURSAMU_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M1140;0;1;0.94;0;;;
SMURSAMU_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;M9999;0;1;0.94;0;;;
SMURSAMU_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N2223;1;;1;;;;
SMURSAMU_P;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;N9999;3;1;3;;;;
SMURSAMU_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;M9999;3;3;4.64;;5;2;5.62
SMURSAMU_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;MREG;3;3;4.64;;;;
SMURSAMU_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N1220;;;;;14;;14.66
SMURSAMU_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N2120;;;;;1;;0.6
SMURSAMU_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N2223;2;;1.84;;;;
SMURSAMU_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N2500;;;;;2;;2.57
SMURSAMU_P;2020;070000013;CH DES VALS D'ARDECHE;070002878;N9999;2;;1.84;;17;;17.83
SMURSAMU_P;2020;070000179;CH ARDECHE NORD;070780358;M9999;5;1;2.8;1;;;
SMURSAMU_P;2020;070000179;CH ARDECHE NORD;070780358;N2120;1;;0.1;1;;;
SMURSAMU_P;2020;070000179;CH ARDECHE NORD;070780358;N2223;6;;6.37;1;;;
SMURSAMU_P;2020;070000179;CH ARDECHE NORD;070780358;N9999;8;1;8.17;1;;;
SMURSAMU_P;2020;070000609;CH D'AUBENAS;070005566;M9999;2;2;4.02;1;;;
SMURSAMU_P;2020;070000609;CH D'AUBENAS;070005566;MREG;2;2;4.02;1;;;
SMURSAMU_P;2020;070000609;CH D'AUBENAS;070005566;N2223;5;1;4.72;1;;;
SMURSAMU_P;2020;070000609;CH D'AUBENAS;070005566;N5140;6;;6.5;1;;;
SMURSAMU_P;2020;070000609;CH D'AUBENAS;070005566;N9999;11;1;11.22;1;;;
SMURSAMU_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M9999;4;2;1.83;1;;;
SMURSAMU_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2120;1;;1;1;;;
SMURSAMU_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2223;18;1;5.66;1;;;
SMURSAMU_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N5140;6;;5.67;1;;;
SMURSAMU_P;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N9999;25;1;12.33;1;;;
SMURSAMU_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;M9999;0;4;2.14;;0;0;0
SMURSAMU_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N1220;0;2;0.46;;0;0;0
SMURSAMU_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2120;0;2;0.2;;0;0;0
SMURSAMU_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2223;1;15;6.15;;0;0;0
SMURSAMU_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N5140;0;4;2.42;;0;0;0
SMURSAMU_P;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N9999;1;23;9.23;;0;0;0
SMURSAMU_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;M9999;0;2;0.15;;0;0;0
SMURSAMU_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N1220;0;1;0.25;;0;0;0
SMURSAMU_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N2120;0;2;0.2;;0;0;0
SMURSAMU_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N2223;0;3;1.77;;0;0;0
SMURSAMU_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N5140;0;6;4.2;;0;0;0
SMURSAMU_P;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N9999;0;12;6.42;;0;0;0
SMURSAMU_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M9999;12;3;8.04;1;9;1;3.21
SMURSAMU_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;MREG;;0;;1;9;1;3.21
SMURSAMU_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N1220;;;;;8;;7.63
SMURSAMU_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2120;;;;;1;;0.98
SMURSAMU_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2223;4;20;10.64;1;;;
SMURSAMU_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2500;;;0.03;;;;
SMURSAMU_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N5140;10;2;11.33;0;;;
SMURSAMU_P;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N9999;14;22;22;;10;;9.59
SMURSAMU_P;2020;080009814;ANTENNE DE SMUR - CH CHARLEVILLE;080011174;M9999;7;2;2.53;1;;;
SMURSAMU_P;2020;080009814;ANTENNE DE SMUR - CH CHARLEVILLE;080011174;N2223;6;;6;0;;;
SMURSAMU_P;2020;080009814;ANTENNE DE SMUR - CH CHARLEVILLE;080011174;N2500;2;1;2.5;;;;
SMURSAMU_P;2020;080009814;ANTENNE DE SMUR - CH CHARLEVILLE;080011174;N9999;8;1;8.5;0;;;
SMURSAMU_P;2020;090000175;CHIVAL SITE FOIX;090781774;M9999;;33;5.07;1;;33;4.76
SMURSAMU_P;2020;090000175;CHIVAL SITE FOIX;090781774;MREG;;;;1;;;
SMURSAMU_P;2020;090000175;CHIVAL SITE FOIX;090781774;N1220;;;;1;7;1;8.06
SMURSAMU_P;2020;090000175;CHIVAL SITE FOIX;090781774;N2120;;1;0.17;1;;;
SMURSAMU_P;2020;090000175;CHIVAL SITE FOIX;090781774;N2223;;33;6;1;;;
SMURSAMU_P;2020;090000175;CHIVAL SITE FOIX;090781774;N2500;;29;7.56;;;;
SMURSAMU_P;2020;090000175;CHIVAL SITE FOIX;090781774;N5140;;;;1;;;
SMURSAMU_P;2020;090000175;CHIVAL SITE FOIX;090781774;N9999;;63;13.73;1;7;1;8.06
SMURSAMU_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M9999;9;;4.75;1;;;
SMURSAMU_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2120;1;0;0.4;1;;;
SMURSAMU_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2223;1;;0.5;0;;;
SMURSAMU_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N5140;8;2;5.39;0;;;
SMURSAMU_P;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N9999;10;2;11.04;;;;
SMURSAMU_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;M9999;0;15;4.94;1;0;5;2.47
SMURSAMU_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;MREG;0;0;0;;0;5;2.47
SMURSAMU_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N1220;1;0;1;0;18;1;16.95
SMURSAMU_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N2223;12;5;14.78;0;0;0;0
SMURSAMU_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N5140;12;0;12.16;0;1;0;1
SMURSAMU_P;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;N9999;25;5;27.94;0;20;1;19.45
SMURSAMU_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;M9999;3;3;0.66;1;;;
SMURSAMU_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N1220;1;;1.08;;;;
SMURSAMU_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N2120;;;;1;;;
SMURSAMU_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N2223;6;;6.92;1;;;
SMURSAMU_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N5140;1;;0.92;1;;;
SMURSAMU_P;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;N9999;;;;1;;;
SMURSAMU_P;2020;100010206;ANTENNE SMUR DE BAR SUR AUBE;100000017;M9999;0;9;2.47;1;;;
SMURSAMU_P;2020;100010206;ANTENNE SMUR DE BAR SUR AUBE;100000017;N2223;4;0;4;0;;;
SMURSAMU_P;2020;100010206;ANTENNE SMUR DE BAR SUR AUBE;100000017;N9999;4;0;4;0;;;
SMURSAMU_P;2020;110000023;CH CARCASSONNE;110780061;M9999;0;26;10.71;1;0;26;5.85
SMURSAMU_P;2020;110000023;CH CARCASSONNE;110780061;MREG;;;;1;;;
SMURSAMU_P;2020;110000023;CH CARCASSONNE;110780061;N1220;0;1;0.37;0;18;6;22.9
SMURSAMU_P;2020;110000023;CH CARCASSONNE;110780061;N2120;0;1;0.09;0;0;1;0.24
SMURSAMU_P;2020;110000023;CH CARCASSONNE;110780061;N2223;;20;13.6;0;;;
SMURSAMU_P;2020;110000023;CH CARCASSONNE;110780061;N5140;13;2;13.55;0;;;
SMURSAMU_P;2020;110000023;CH CARCASSONNE;110780061;N9999;13;24;27.62;0;18;7;23.14
SMURSAMU_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;M1140;;;;1;;;
SMURSAMU_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;M9999;16;8;8.72;1;;;
SMURSAMU_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;MREG;;;;1;;;
SMURSAMU_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;N1220;0;0;0;1;;;
SMURSAMU_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;N2223;34;1;14.93;1;;;
SMURSAMU_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;N2500;5;0;0.64;;;;
SMURSAMU_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;N5140;0;0;;1;;;
SMURSAMU_P;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;N9999;39;1;15.57;1;;;
SMURSAMU_P;2020;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;M9999;0;26;1.02;1;;;
SMURSAMU_P;2020;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;MREG;;;;1;;;
SMURSAMU_P;2020;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;N1220;0;1;0.05;1;;;
SMURSAMU_P;2020;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;N2120;0;1;0.05;1;;;
SMURSAMU_P;2020;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;N2223;0;20;1.01;0;;;
SMURSAMU_P;2020;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;N5140;0;3;1.14;0;;;
SMURSAMU_P;2020;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;N9999;0;25;2.25;1;;;
SMURSAMU_P;2020;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN;110780061;M9999;0;26;4.76;1;;;
SMURSAMU_P;2020;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN;110780061;N1220;0;1;0.08;1;;;
SMURSAMU_P;2020;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN;110780061;N2120;0;1;0.08;1;;;
SMURSAMU_P;2020;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN;110780061;N2223;2;20;6.24;1;;;
SMURSAMU_P;2020;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN;110780061;N9999;2;22;6.4;1;;;
SMURSAMU_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;M9999;0;21;2;;0;21;2
SMURSAMU_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N1220;0;0;0;;10;3;10.36
SMURSAMU_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N2120;0;0;0;;0;1;0.19
SMURSAMU_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N2223;12;0;11.26;;0;0;0
SMURSAMU_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N2500;6;0;5.91;;0;1;0.5
SMURSAMU_P;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;N9999;18;0;17.22;;10;5;11.1
SMURSAMU_P;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;M9999;0;7;1.49;1;0;0;0
SMURSAMU_P;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;N2223;5;1;5.66;1;;;
SMURSAMU_P;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;N9999;5;1;5.66;1;0;0;0
SMURSAMU_P;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;M9999;;24;4.34;1;;;
SMURSAMU_P;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N2223;1;1;1.65;1;;;
SMURSAMU_P;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;N9999;1;1;1.65;;;;
SMURSAMU_P;2020;120004569;CH MILLAU;120004528;M9999;7;6;4.52;1;;;
SMURSAMU_P;2020;120004569;CH MILLAU;120004528;N2223;14;2;6.5;;;;
