BOR;AN;FI;RS;FI_EJ;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;TYPE1;;;17;;;;4;643;70;0;0;0;0;0;0;454;8;2285;0;0;0;1768;474;2072;111;564;0;472;2;8;;477;;;;2;0;1;2;0;0;0;;0;0;0
PERINAT;2020;030000061;CH DE MOULINS;030780092;TYPE2;;0;20;6;0;0;4;1141;59;158;8;0;0;0;0;794;1;4396;1083;0;0;2833;922;4106;196;1130;0;914;8;4;;934;5989;7158;337;48;0;1;233;199;164;6;1;5;0;0
PERINAT;2020;030000079;CH DE MONTLUCON;030780100;TYPE2;;1;24;6;2;0;3;1290;118;138;7;39;5;0;0;865;2;4376;1169;183;0;2809;972;3967;157;808;0;965;7;7;6;983;740;1960;;50;0;1;258;268;192;10;;6;0;0
PERINAT;2020;030000087;CH JACQUES LACARIN VICHY;030780118;TYPE2;;;18;6;0;0;3;1193;101;130;10;0;0;0;0;860;6;4212;1216;0;0;3083;954;3935;202;978;0;940;14;10;;972;16548;3680;486;21;0;1;195;161;95;6;;4;0;0
PERINAT;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;5;4;;1;;3;0;0
PERINAT;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;TYPE1;;;18;;;;2;897;85;0;0;0;0;0;0;601;3;2902;0;0;0;1997;593;2332;125;640;1;584;9;3;3;603;3880;4324;580;92;0;1;170;183;137;1;;4;0;0
PERINAT;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;TYPE1;;0;10;0;0;0;2;584;156;0;0;0;0;0;0;281;1;1628;0;0;0;1016;306;1332;80;482;0;304;2;3;;309;2626;1594;;25;0;1;134;142;78;2;1;10;0;0
PERINAT;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TYPE1;;;9;;;;2;434;70;0;0;0;0;0;0;271;0;1340;0;0;0;925;291;1187;50;278;1;290;1;1;;292;;;;24;0;1;109;109;89;2;;1;0;0
PERINAT;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;CPPR;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;89;720;6;;;1;;0;;;;;0;
PERINAT;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;TYPE2;;;16;4;;;4;1317;86;193;13;0;0;0;0;830;1;4463;1137;0;0;2573;951;3802;203;1031;1;935;16;7;;972;5031;3402;;103;0;1;134;116;23;20;;7;0;0
PERINAT;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TYPE2;;1;32;9;3;;6;2188;155;225;15;93;12;0;0;1672;0;8365;1472;460;0;5778;1819;7616;241;1567;10;1792;27;8;;1851;;;;200;0;1;374;327;262;23;;16;0;0
PERINAT;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;TYPE2;;1;16;6;;;3;1269;141;220;21;0;0;0;0;815;3;4276;1548;0;0;2440;933;3834;200;1123;1;923;10;4;0;943;12258;4469;296;125;0;1;376;428;274;26;4;6;0;0
PERINAT;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;TYPE2;;0;24;6;;;4;1674;125;149;14;0;0;0;0;1279;2;6117;1181;0;0;4296;1404;5755;276;1452;2;1398;6;6;0;1433;8653;1983;156;113;0;1;402;396;285;25;16;17;0;0
PERINAT;2020;060002102;CH LA PALMOSA DE MENTON;060791761;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1366;1428;11;0;0;1;97;163;97;0;;0;0;0
PERINAT;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;47;34;;;;;;
PERINAT;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;TYPE1;;;21;;;;5;983;92;0;0;0;0;0;0;805;11;3183;0;0;0;2609;804;3046;198;910;0;802;2;11;;808;;;;93;0;1;99;223;48;1;;2;0;0
PERINAT;2020;060780715;CLINIQUE SAINT GEORGE;060000361;TYPE1;;0;30;;;;6;1890;155;0;0;0;0;0;0;1437;14;6308;0;0;0;4717;1504;5794;382;1824;0;1490;14;15;;1518;;;;149;0;1;5;0;0;1;;5;1;744
PERINAT;2020;060780756;POLYCLINIQUE SANTA MARIA;060000403;TYPE2;;1;52;6;;;5;2459;246;329;8;0;0;0;0;1688;6;8489;1255;0;0;5084;1996;7900;666;3354;0;1977;19;11;;2019;;;;250;0;1;86;108;0;1;;4;0;0
PERINAT;2020;060781200;CLINIQUE SAINT ANTOINE;060000635;;;;;;;;;46;45;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;0;0;1;95;191;2;0;;0;0;0
PERINAT;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TYPE3;;0;59;20;9;8;9;3805;143;417;10;250;7;313;15;2770;0;16302;5209;2658;2580;8772;3095;13531;638;4104;49;2987;108;5;5;3234;3431;19418;873;411;0;1;945;911;396;89;33;69;1;250
PERINAT;2020;070000013;CH DES VALS D'ARDECHE;070002878;CPPR;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;537;2969;128;0;0;1;48;47;41;0;0;0;0;0
PERINAT;2020;070000096;HOPITAL DE MOZE;070780184;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;1291;23;;;0;;;;;;;0;
PERINAT;2020;070000179;CH ARDECHE NORD;070780358;TYPE2;;;19;6;;;3;926;80;451;68;0;0;0;0;582;2;3138;1741;0;0;1975;662;2740;163;910;0;656;6;11;;668;3470;5194;;64;0;1;157;138;120;2;;7;0;0
PERINAT;2020;070000195;CH DE TOURNON SUR RHONE;070780374;CPPR;;;;;;;;0;0;0;0;0;0;0;0;192;0;0;0;0;0;682;0;0;0;0;0;0;0;0;;0;362;1918;52;0;0;0;0;0;0;0;;0;0;0
PERINAT;2020;070000609;CH D'AUBENAS;070005566;TYPE2;;;16;4;;;3;907;95;87;12;0;0;0;0;628;1;2926;872;0;0;1999;683;2711;139;790;0;672;11;9;;702;;;;72;0;1;305;265;241;6;;22;0;0
PERINAT;2020;070780424;CLINIQUE PASTEUR;070000245;TYPE1;;0;27;;;;4;1089;109;0;0;0;0;0;0;832;15;3950;0;0;0;3053;825;3517;191;1157;9;818;7;15;;836;;;;24;8;0;0;0;0;0;0;8;1;312
PERINAT;2020;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;TYPE2;;1;15;4;;;3;851;111;161;10;0;0;0;0;420;1;2677;932;0;0;1343;543;2273;118;614;0;535;8;6;;552;4695;2229;31;41;0;1;105;127;74;7;;11;0;0
PERINAT;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;CPPR;;;0;;;;0;45;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;592;2441;4;0;0;1;32;30;0;4;;0;0;0
PERINAT;2020;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;CPPR;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;239;219;4;0;0;0;0;0;0;0;;0;0;0
PERINAT;2020;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;TYPE2;;1;26;6;6;;6;2112;401;218;9;106;16;0;0;1229;1;6976;1329;763;0;4219;1369;6051;275;1583;3;1352;17;9;;1393;15202;1566;254;29;0;1;166;207;148;9;;13;1;73
PERINAT;2020;090000175;CHIVAL SITE FOIX;090781774;TYPE2;;1;23;4;;;2;1271;111;257;68;0;0;0;0;795;14;5113;1316;0;0;2727;966;4601;191;1296;3;950;16;10;;993;2233;3253;121;76;0;1;352;371;246;23;;1;0;0
PERINAT;2020;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;TYPE1;;;4;;;;2;253;26;0;0;0;0;0;0;200;4;708;0;0;0;572;198;658;33;152;0;198;0;2;;201;5030;507;102;40;0;1;123;104;102;1;;1;0;0
PERINAT;2020;090001629;CHIVAL SITE LAVELANET;090781774;CPPR;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;400;23;;;0;;;;;;;0;
PERINAT;2020;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TYPE3;;;45;6;3;6;5;2796;194;785;10;159;2;136;5;1490;0;10238;3362;1608;2537;4240;2104;8647;478;2739;24;2071;33;1;;2167;2321;9436;;272;0;1;624;655;441;47;5;17;0;0
PERINAT;2020;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;TYPE1;;;18;;;;3;681;91;0;0;0;0;0;0;403;8;2216;0;0;0;1298;406;1621;80;404;0;404;2;8;;408;;;;29;0;1;141;100;94;6;;0;0;0
PERINAT;2020;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;100010792;TYPE1;;;15;;;;2;681;93;0;0;0;0;0;0;406;10;2103;0;0;0;1394;414;1680;108;567;0;413;1;9;;411;;;;21;0;1;104;77;58;5;;0;0;0
PERINAT;2020;110000023;CH CARCASSONNE;110780061;TYPE2;;0;30;6;;;5;2187;286;335;16;0;0;0;0;1330;2;7950;2375;0;0;4386;1579;6965;272;1592;0;1556;23;13;0;1617;15464;6268;196;81;0;1;479;495;345;27;7;8;0;0
PERINAT;2020;110000049;CH JEAN PIERRE CASSABEL;110780087;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;290;48;15;0;0;1;37;35;37;0;;0;0;0
PERINAT;2020;110000056;CH NARBONNE HOTEL DIEU;110780137;TYPE1;;0;24;0;0;0;4;1603;278;0;0;0;0;0;0;946;6;4861;0;0;0;2874;1050;4101;180;1012;0;1044;6;9;;1064;3401;4450;218;193;0;1;458;388;372;18;;5;0;0
PERINAT;2020;110780483;POLYCL MONTREAL;110000155;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;51;39;38;0;;0;0;0
PERINAT;2020;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;TYPE2;;;24;10;2;;3;1600;101;294;16;99;17;0;0;1039;1;6549;2075;350;0;3482;1239;5570;268;1516;9;1220;19;6;;1264;5997;4495;92;67;0;1;315;324;257;13;;3;0;0
PERINAT;2020;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;TYPE1;;;12;;;;3;724;154;0;0;0;0;0;0;478;14;2149;0;0;0;1691;473;1958;88;456;0;469;4;11;0;482;5444;2314;89;29;1;1;144;134;95;2;;1;0;0
PERINAT;2020;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;CPPR;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;650;1058;37;0;0;1;5;33;5;0;;0;0;0
PERINAT;2020;120004569;CH MILLAU;120004528;TYPE1;;;12;;;;2;477;53;0;0;0;0;0;0;6;0;1426;0;0;0;18;340;1248;90;427;0;337;3;6;;346;3231;1110;76;54;0;1;124;119;112;4;6;0;0;0
PERINAT;2020;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;TYPE1;;0;6;;;;2;226;37;0;0;0;0;0;0;159;4;653;0;0;0;480;158;556;31;144;0;158;0;4;;159;2840;1351;109;33;0;1;37;57;29;0;1;0;0;0
PERINAT;2020;130000409;CHI SITE D'AIX EN PROVENCE;130041916;TYPE2;;;19;6;6;;6;2251;246;321;19;179;12;0;0;1342;1;8514;2134;1921;0;4504;1562;6993;375;2232;18;1525;37;3;0;1600;9108;10799;;102;0;1;859;900;556;38;14;6;1;276
PERINAT;2020;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;TYPE1;;;19;0;0;0;3;1357;82;0;0;0;0;0;0;1042;6;4894;0;0;0;3650;1094;4480;215;1031;1;1088;6;16;;1103;6237;2191;;63;0;1;309;390;234;12;0;10;0;0
PERINAT;2020;130001225;HOPITAL DU PAYS SALONNAIS;130782634;TYPE2;;1;22;6;0;0;3;1728;282;225;24;0;0;0;0;989;1;6109;1187;0;0;3315;1125;5127;241;1392;3;1115;10;11;;1140;;;;68;0;1;422;389;273;29;16;1;0;0
PERINAT;2020;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;TYPE1;;;20;;;;3;1304;85;0;0;0;0;0;0;1113;6;4174;0;0;0;3477;1094;3900;164;756;1;1079;15;5;;1112;;;;217;0;1;436;529;365;23;;4;0;0
PERINAT;2020;130002827;CH JOSEPH IMBERT D'ARLES;130789274;TYPE1;;;20;;;;3;1076;86;0;0;0;0;0;0;839;15;3945;0;0;0;3167;828;3626;134;726;0;825;3;12;;841;748;2376;384;30;0;1;258;134;95;2;4;3;0;0
PERINAT;2020;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;TYPE2;;1;37;7;3;0;5;2642;365;248;14;122;5;0;0;1629;3;8105;996;1104;0;5052;1802;6967;457;2430;12;1784;18;4;;1825;12646;9664;239;294;0;1;724;748;406;31;8;15;0;0
PERINAT;2020;130008253;CLINIQUE DE VITROLLES;130001084;TYPE1;;;45;;;;5;1279;135;0;0;0;0;0;0;967;8;4228;0;0;0;3288;963;3774;168;882;2;960;3;6;;966;;;;78;0;1;195;240;145;6;;0;0;0
PERINAT;2020;130050917;GCS CLINIQUE JEANNE D'ARC;130050891;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;14;;11;0;1;1;0;0
PERINAT;2020;130780521;APHM HOPITAL NORD;130786049;TYPE3;EXT;0;50;9;16;12;5;3219;155;380;13;383;19;397;24;1863;22;15184;3040;5332;3633;5736;2351;11845;632;5035;1;2258;93;24;;2473;6638;6974;2;296;1;1;631;653;349;54;;64;0;0
PERINAT;2020;130781370;CLINIQUE JEANNE D'ARC;130000532;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;7;22;5;0;;1;0;0
PERINAT;2020;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;14;12;0;1;;0;0;0
PERINAT;2020;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;TYPE3;EXT;0;62;24;15;15;5;3446;159;736;23;374;18;660;243;1708;3;17039;6858;4791;5999;5842;2416;12740;664;5184;1;2339;77;21;;2563;12398;;;268;2;1;2323;2503;1358;207;54;64;1;316
PERINAT;2020;130783327;CLINIQUE BOUCHARD;130001415;TYPE2;;0;40;6;;;5;2438;309;678;25;0;0;0;0;1208;3;9135;2243;0;0;4172;1851;8310;471;2589;20;1825;26;25;;1879;;;;80;0;1;136;126;108;5;;13;1;722
PERINAT;2020;130783665;CLINIQUE DE BONNEVEINE;130043722;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;438;;;0;0;1;131;206;126;0;;0;0;0
PERINAT;2020;130784713;HOPITAL PRIVE BEAUREGARD VERT COTEAU;130038847;TYPE2;;1;37;12;;;8;4038;1300;1005;13;0;0;0;0;1437;0;11003;3376;0;0;4551;2386;10188;540;2990;13;2363;23;9;;2409;;;;85;0;1;115;134;92;1;;8;0;0
PERINAT;2020;130785652;HOPITAL SAINT JOSEPH;130014228;TYPE2;;1;75;12;6;;10;5811;335;1365;65;638;38;0;0;3470;13;19802;4214;4340;0;10117;4741;17469;820;3733;14;4658;83;15;;4825;6010;18172;;632;0;1;5;0;2;3;;91;1;491
PERINAT;2020;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130002447;;;;;;;;;39;35;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;11;8;0;1;;1;0;0
PERINAT;2020;130786445;MATERNITE CATHOLIQUE PROVENCE L'ETOILE;130002488;TYPE2;;1;62;12;;;7;3531;409;603;26;0;0;0;0;2238;2;14856;3083;0;0;8268;2737;12969;538;3281;8;2700;37;18;;2800;;5670;470;60;0;0;0;0;0;0;;0;0;0
PERINAT;2020;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;TYPE2;;1;28;9;3;;4;1672;87;435;10;120;12;0;0;1105;2;6969;2664;479;0;3714;1341;6290;261;1593;7;1325;16;5;;1374;3156;6763;;71;0;1;238;297;136;24;;6;0;0
PERINAT;2020;140000076;CENTRE HOSPITALIER AUNAY-BAYEUX;140000092;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;662;1026;65;;;0;;;;;;;0;
PERINAT;2020;140000209;CHU COTE DE NACRE - CAEN;140000100;TYPE3;INT;;72;15;10;14;7;3958;137;663;13;247;34;396;23;2603;1;19985;4503;1333;4442;9398;3051;16438;640;5204;9;2954;97;1;0;3199;10629;11760;125;178;0;1;893;896;544;67;;55;1;441
PERINAT;2020;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1595;3490;126;0;0;1;26;36;26;0;15;0;0;0
PERINAT;2020;140000373;CENTRE HOSPITALIER DE VIRE;140000159;CPPR;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1512;59;0;0;1;10;17;10;0;0;0;0;0
PERINAT;2020;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;TYPE2;;1;44;6;0;0;5;2216;252;281;20;0;0;0;0;1515;0;8529;1267;0;0;5611;1818;8168;389;2164;0;1801;17;12;52;1839;;;;27;0;1;19;23;0;0;;26;0;0
PERINAT;2020;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;TYPE1;;0;16;;;;3;631;105;0;0;0;0;0;0;458;8;2136;0;0;0;1728;457;2017;78;385;0;457;0;8;;459;3347;2994;338;6;0;1;92;85;61;3;3;1;0;0
PERINAT;2020;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;3172;2242;174;0;0;1;84;70;84;0;;0;0;0
PERINAT;2020;140026709;POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF;140000415;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;21;43;19;0;0;0;0;0
PERINAT;2020;150000032;CH DE SAINT-FLOUR;150780088;TYPE1;EXT;0;15;;;;2;354;53;0;0;0;0;0;0;254;7;1175;0;0;0;940;250;1079;59;318;0;248;2;7;0;256;1121;1770;133;1;0;1;67;54;64;0;0;1;0;0
PERINAT;2020;150000040;CH HENRI MONDOR;150780096;TYPE2;;1;18;6;;;2;988;83;214;46;0;0;0;0;644;2;3766;1083;0;0;2350;759;3413;135;794;1;750;9;10;;773;8946;6428;;32;0;1;226;212;172;3;1;3;0;0
PERINAT;2020;150000164;CH DE MAURIAC;150780468;CPPR;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;99;2313;20;0;0;0;0;0;0;0;;0;0;0
PERINAT;2020;150780732;CENTRE MEDICO CHIRURGICAL TRONQUIERES;150000271;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;12;9;12;0;;0;0;0
PERINAT;2020;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;TYPE2;;1;25;7;6;;5;1884;154;694;17;111;15;0;0;792;0;6862;3036;798;0;2592;1359;5741;250;1426;6;1339;20;6;28;1393;6586;8633;186;76;0;1;478;465;349;27;1;7;0;0
PERINAT;2020;160000303;CH HOPITAUX SUD-CHARENTE - BARBEZIEUX;160006037;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;237;1481;52;0;0;0;0;;0;0;;0;0;0
PERINAT;2020;160013207;CENTRE CLINICAL SA;160001632;TYPE1;;0;20;;;;6;1613;476;0;0;0;0;0;0;964;25;3962;0;0;0;3134;951;3505;187;803;0;939;12;25;;969;;;;77;0;1;81;61;9;13;;3;0;0
PERINAT;2020;160015368;CHI DU PAYS DE COGNAC;160014411;TYPE1;;0;15;;;;3;844;147;0;0;0;0;0;0;618;11;2645;0;0;0;2150;619;2512;79;433;2;619;0;9;0;622;6891;10332;59;47;0;1;171;171;109;8;;5;0;0
PERINAT;2020;170000038;CENTRE HOSPITALIER JONZAC;170780050;CPPR;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2564;1774;55;0;0;1;101;52;83;2;;0;0;0
PERINAT;2020;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;TYPE2;;1;30;8;4;;5;2711;335;330;15;167;24;0;0;1893;0;9534;2020;801;0;6617;2103;8914;453;2233;2;2065;38;10;;2151;9544;8051;26;68;0;1;663;699;477;30;3;18;0;0
PERINAT;2020;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;17;49;11;1;;0;0;
PERINAT;2020;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;TYPE2;;1;24;11;3;0;4;1758;118;328;15;105;15;0;0;1177;0;6252;2912;398;0;3712;1425;5797;294;1457;2;1401;24;3;;1458;8914;7998;515;161;0;1;207;304;112;24;;5;0;0
PERINAT;2020;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;TYPE2;;;18;6;;;3;1404;109;313;21;0;0;0;0;825;2;5088;1197;0;0;2867;1066;4620;186;1021;0;1051;15;14;;1089;2978;4096;38;51;0;1;228;265;164;9;;12;0;0
PERINAT;2020;170780613;CLINIQUE DU MAIL;170024053;;;;;;;;;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;6;12;6;0;;0;1;100
PERINAT;2020;170780621;POLYCLINIQUE SAINT GEORGES;170000285;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;44;53;0;3;;1;0;0
PERINAT;2020;170780662;CLINIQUE DE L'ATLANTIQUE;170024053;;;;0;;;;;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;;0;1;317
PERINAT;2020;180000010;CH BOURGES - JACQUES COEUR;180000028;TYPE2;;1;26;9;3;;4;1474;152;244;11;91;9;0;0;954;1;5660;1605;445;0;3433;1124;4860;164;869;14;1101;23;6;0;1158;7625;3365;42;24;0;1;422;471;309;24;;8;0;0
PERINAT;2020;180000200;CH DE VIERZON;180000051;TYPE1;;0;15;;;;3;594;80;0;0;0;0;0;0;396;5;1996;0;0;0;1444;397;1679;84;470;0;397;0;5;;400;;;;10;0;1;185;138;147;11;;1;0;0
PERINAT;2020;180000283;CH SAINT AMAND-MONTROND;180000069;TYPE1;;0;15;;;;2;447;71;0;0;0;0;0;0;311;3;1739;0;0;0;1467;309;1572;70;495;0;307;2;2;;313;1046;1114;;10;0;1;48;87;28;5;;1;0;0
